year,age_gr,quintil_oecd,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1986,66 und älter,3. Quintil,11.964071059455067,11.675121614265803,12.253020504644331,10.5,11.0,13.364762116842343,7.0,17.661905292105857,11.0,10.487499999999997,11.5,83.0
1986,66 und älter,4. Quintil,12.788287315310185,12.35542074053277,13.221153890087601,10.5,12.0,15.0,8.5,18.0,12.0,9.987499999999997,12.5125,40.0
1986,66 und älter,5. Quintil,,,,,,,,,,,,
1987,unter 18 J.,-6,,,,,,,,,,,,
1987,18-29 J.,1. Quintil,11.005276191302537,10.95336349720857,11.057188885396503,10.0,10.5,12.0,7.0,15.0,10.5,10.5,10.5,1267.0
1987,18-29 J.,2. Quintil,11.128328906209676,11.065045973427683,11.191611838991669,10.0,10.5,12.0,7.0,15.0,10.5,10.0,10.5,768.0
1987,18-29 J.,3. Quintil,11.426792204031402,11.342127010184532,11.511457397878273,10.5,11.5,12.0,8.25,14.25,11.5,11.5,12.5,414.0
1987,18-29 J.,4. Quintil,11.562479629917982,11.368478412175609,11.756480847660356,10.0,11.0,12.0,9.0,15.0,11.0,10.5,11.5,94.0
1987,18-29 J.,5. Quintil,12.606723839032613,12.12800922061787,13.085438457447356,10.5,11.5,13.58096721279812,9.0,18.0,11.5,10.0,12.5,30.0
1987,30-45 J.,1. Quintil,10.652354275710545,10.604909001325659,10.699799550095431,10.0,10.5,11.0,8.5,12.5,10.5,10.5,10.5,1482.0
1987,30-45 J.,2. Quintil,11.499968794077402,11.422896667244258,11.577040920910546,10.5,10.5,12.0,8.25,14.25,10.5,10.0,10.5,867.0
1987,30-45 J.,3. Quintil,12.347522281434662,12.217881862403603,12.47716270046572,10.5,11.5,14.0,7.0,18.0,11.5,11.5,12.0,464.0
1987,30-45 J.,4. Quintil,13.429076353434734,13.240722706556834,13.617430000312634,11.0,12.0,17.0,7.0,18.0,12.0,12.0,12.5,239.0
1987,30-45 J.,5. Quintil,13.524569857561458,13.193133185075444,13.856006530047472,10.981056116078573,12.0,18.0,7.0,18.0,12.0,10.0,12.0125,77.0
1987,46-65 J.,1. Quintil,10.10666000198984,10.069355233254674,10.143964770725004,9.0,10.5,10.5,7.0,12.75,10.5,10.5,10.5,1346.0
1987,46-65 J.,2. Quintil,10.633001846362212,10.573262519068535,10.69274117365589,9.0,10.5,11.0,7.0,14.0,10.5,10.5,10.5,941.0
1987,46-65 J.,3. Quintil,11.208525863510726,11.118736262903322,11.29831546411813,10.5,10.5,11.5,9.0,13.0,10.5,10.0,10.5,593.0
1987,46-65 J.,4. Quintil,12.610300866346455,12.422291647005215,12.798310085687694,10.5,11.5,15.0,7.0,18.0,11.5,11.0,12.0,204.0
1987,46-65 J.,5. Quintil,12.962170027627911,12.658134367659846,13.266205687595976,10.5,11.5,15.0,9.0,18.0,11.5,11.0,12.0,95.0
