year,rentown,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,Tenant,No,0.68054,4683,6997,0.66962,0.69147
2001,Owner,Yes,0.88184,4681,5215,0.87307,0.89060
2001,Owner,No,0.11816,534,5215,0.10940,0.12693
2001,Tenant,Yes,0.32442,2113,6271,0.31283,0.33601
2001,Tenant,No,0.67558,4158,6271,0.66399,0.68717
2002,Owner,Yes,0.87792,5204,5780,0.86948,0.88636
2002,Owner,No,0.12208,576,5780,0.11364,0.13052
2002,Tenant,Yes,0.32592,2148,6191,0.31425,0.33760
2002,Tenant,No,0.67408,4043,6191,0.66240,0.68575
2003,Owner,Yes,0.88042,5031,5592,0.87192,0.88893
2003,Owner,No,0.11958,561,5592,0.11107,0.12808
2003,Tenant,Yes,0.33071,2054,5959,0.31876,0.34266
2003,Tenant,No,0.66929,3905,5959,0.65734,0.68124
2004,Owner,Yes,0.88119,4947,5487,0.87263,0.88975
2004,Owner,No,0.11881,540,5487,0.11025,0.12737
2004,Tenant,Yes,0.33318,2024,5782,0.32103,0.34533
2004,Tenant,No,0.66682,3758,5782,0.65467,0.67897
2005,Owner,Yes,0.87878,4840,5383,0.87006,0.88750
2005,Owner,No,0.12122,543,5383,0.11250,0.12994
2005,Tenant,Yes,0.33424,2019,5787,0.32209,0.34640
2005,Tenant,No,0.66576,3768,5787,0.65360,0.67791
2006,Owner,Yes,0.87334,5375,5998,0.86493,0.88176
2006,Owner,No,0.12666,623,5998,0.11824,0.13507
2006,Tenant,Yes,0.32422,2177,6235,0.31260,0.33584
2006,Tenant,No,0.67578,4058,6235,0.66416,0.68740
2007,Owner,Yes,0.87445,5035,5616,0.86578,0.88312
2007,Owner,No,0.12555,581,5616,0.11688,0.13422
2007,Tenant,Yes,0.34023,2128,5808,0.32804,0.35242
2007,Tenant,No,0.65977,3680,5808,0.64758,0.67196
2008,Owner,Yes,0.87623,4829,5377,0.86742,0.88503
2008,Owner,No,0.12377,548,5377,0.11497,0.13258
2008,Tenant,Yes,0.34268,1973,5421,0.33004,0.35531
2008,Tenant,No,0.65732,3448,5421,0.64469,0.66996
2009,Owner,Yes,0.86756,4535,5063,0.85822,0.87690
2009,Owner,No,0.13244,528,5063,0.12310,0.14178
2009,Tenant,Yes,0.35647,1926,5104,0.34333,0.36961
2009,Tenant,No,0.64353,3178,5104,0.63039,0.65667
2010,Owner,Yes,0.87498,5726,6331,0.86683,0.88312
2010,Owner,No,0.12502,605,6331,0.11688,0.13317
2010,Tenant,Yes,0.34517,3024,7448,0.33437,0.35596
2010,Tenant,No,0.65483,4424,7448,0.64404,0.66563
2011,Owner,Yes,0.86802,6978,7720,0.86047,0.87557
2011,Owner,No,0.13198,742,7720,0.12443,0.13953
2011,Tenant,Yes,0.35810,3626,8871,0.34812,0.36808
2011,Tenant,No,0.64190,5245,8871,0.63192,0.65188
2012,Owner,Yes,0.86915,6886,7596,0.86157,0.87673
2012,Owner,No,0.13085,710,7596,0.12327,0.13843
2012,Tenant,Yes,0.35665,3525,8702,0.34659,0.36672
2012,Tenant,No,0.64335,5177,8702,0.63328,0.65341
2013,Owner,Yes,0.87015,6952,7708,0.86264,0.87765
2013,Owner,No,0.12985,756,7708,0.12235,0.13736
2013,Tenant,Yes,0.36643,3935,10158,0.35706,0.37580
2013,Tenant,No,0.63357,6223,10158,0.62420,0.64294
2014,Owner,Yes,0.86640,6356,7051,0.85846,0.87434
2014,Owner,No,0.13360,695,7051,0.12566,0.14154
2014,Tenant,Yes,0.38078,3505,8769,0.37061,0.39094
2014,Tenant,No,0.61922,5264,8769,0.60906,0.62939
2015,Owner,Yes,0.85551,6008,6739,0.84711,0.86390
2015,Owner,No,0.14449,731,6739,0.13610,0.15289
2015,Tenant,Yes,0.35768,3350,9015,0.34779,0.36758
2015,Tenant,No,0.64232,5665,9015,0.63242,0.65221
2016,Not included in this version of the questionnaire,Yes,0.22608,509,2103,0.20820,0.24397
2016,Not included in this version of the questionnaire,No,0.77392,1594,2103,0.75603,0.79180
2016,Owner,Yes,0.85708,5626,6301,0.84844,0.86572
2016,Owner,No,0.14292,675,6301,0.13428,0.15156
2016,Tenant,Yes,0.35254,2933,7990,0.34206,0.36302
2016,Tenant,No,0.64746,5057,7990,0.63698,0.65794
2017,Not included in this version of the questionnaire,Yes,0.22605,201,798,0.19701,0.25509
2017,Not included in this version of the questionnaire,No,0.77395,597,798,0.74491,0.80299
2017,Owner,Yes,0.85592,6339,7063,0.84773,0.86411
2017,Owner,No,0.14408,724,7063,0.13589,0.15227
2017,Tenant,Yes,0.35975,3750,10406,0.35053,0.36897
2017,Tenant,No,0.64025,6656,10406,0.63103,0.64947
2018,Owner,Yes,0.85227,6023,6756,0.84381,0.86074
2018,Owner,No,0.14773,733,6756,0.13926,0.15619
2018,Tenant,Yes,0.35908,3705,10936,0.35009,0.36808
2018,Tenant,No,0.64092,7231,10936,0.63192,0.64991
2019,Owner,Yes,0.85147,5299,5946,0.84243,0.86051
2019,Owner,No,0.14853,647,5946,0.13949,0.15757
2019,Tenant,Yes,0.36430,3059,8961,0.35433,0.37426
2019,Tenant,No,0.63570,5902,8961,0.62574,0.64567
2020,Owner,Yes,0.86008,6264,6988,0.85194,0.86821
2020,Owner,No,0.13992,724,6988,0.13179,0.14806
2020,Tenant,Yes,0.37467,4073,12312,0.36612,0.38322
2020,Tenant,No,0.62533,8239,12312,0.61678,0.63388
2021,Owner,Yes,0.84724,4136,4668,0.83692,0.85757
2021,Owner,No,0.15276,532,4668,0.14243,0.16308
2021,Tenant,Yes,0.37684,2285,6501,0.36506,0.38863
2021,Tenant,No,0.62316,4216,6501,0.61137,0.63494
2022,Owner,Yes,0.85614,7058,7858,0.84838,0.86390
2022,Owner,No,0.14386,800,7858,0.13610,0.15162
2022,Tenant,Yes,0.39520,4644,12185,0.38652,0.40389
2022,Tenant,No,0.60480,7541,12185,0.59611,0.61348
