year,bula_h,rentown,hgeqpgar,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
1989,Schleswig-Holstein,Tenant,No,1.00000,50,4388,0,0.82576,0,1.16750
1989,Hamburg,Tenant,No,1.00000,79,4388,0,0.87603,0,1.10288
1989,Lower Saxony,Owner,Yes,1.00000,200,4388,0,0.95508,0,1.05246
1989,Lower Saxony,Tenant,Yes,0.42891,106,4388,0,0.38953,0,0.46782
1989,Lower Saxony,Tenant,No,0.57109,161,4388,0,0.50963,0,0.62496
1989,Bremen,Tenant,No,1.00000,38,4388,0,0.87624,0,1.14579
1989,North Rhine-Westphalia,Owner,Yes,0.89271,363,4388,0,0.86080,0,0.93106
1989,North Rhine-Westphalia,Owner,No,0.10729,38,4388,0,0.09050,0,0.12414
1989,North Rhine-Westphalia,Tenant,Yes,0.33003,287,4388,0,0.30700,0,0.35608
1989,North Rhine-Westphalia,Tenant,No,0.66997,538,4388,0,0.63344,0,0.70790
1989,Hesse,Owner,Yes,1.00000,126,4388,0,0.92775,0,1.06878
1989,Hesse,Tenant,Yes,0.35034,96,4388,0,0.30111,0,0.39604
1989,Hesse,Tenant,No,0.64966,220,4388,0,0.58089,0,0.73259
1989,"Rhineland-Palatinate, Saarland",Owner,Yes,1.00000,157,4388,0,0.93822,0,1.06023
1989,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.44794,63,4388,0,0.38320,0,0.52550
1989,"Rhineland-Palatinate, Saarland",Tenant,No,0.55206,82,4388,0,0.47162,0,0.62960
1989,Baden-Wuerttemberg,Owner,Yes,0.82525,274,4388,0,0.78547,0,0.86012
1989,Baden-Wuerttemberg,Owner,No,0.17475,57,4388,0,0.14622,0,0.19609
1989,Baden-Wuerttemberg,Tenant,Yes,0.37346,170,4388,0,0.32213,0,0.42249
1989,Baden-Wuerttemberg,Tenant,No,0.62654,305,4388,0,0.55782,0,0.70330
1989,Bavaria,Owner,Yes,0.90703,288,4388,0,0.87597,0,0.94332
1989,Bavaria,Owner,No,0.09297,34,4388,0,0.07586,0,0.10808
1989,Bavaria,Tenant,Yes,0.35456,149,4388,0,0.31929,0,0.38822
1989,Bavaria,Tenant,No,0.64544,287,4388,0,0.60131,0,0.70107
1989,Berlin,Tenant,No,1.00000,154,4388,0,0.89556,0,1.09697
1990,Schleswig-Holstein,Owner,Yes,1.00000,63,5316,0,0.90434,0,1.09409
1990,Schleswig-Holstein,Tenant,No,1.00000,48,5316,0,0.83952,0,1.15362
1990,Hamburg,Tenant,No,1.00000,77,5316,0,0.88399,0,1.12208
1990,Lower Saxony,Owner,Yes,1.00000,206,5316,0,0.94426,0,1.06468
1990,Lower Saxony,Tenant,Yes,0.40829,102,5316,0,0.37047,0,0.45622
1990,Lower Saxony,Tenant,No,0.59171,159,5316,0,0.53627,0,0.64679
1990,Bremen,Tenant,No,1.00000,36,5316,0,0.85955,0,1.13936
1990,North Rhine-Westphalia,Owner,Yes,0.87556,363,5316,0,0.83606,0,0.90572
1990,North Rhine-Westphalia,Owner,No,0.12444,45,5316,0,0.10820,0,0.14501
1990,North Rhine-Westphalia,Tenant,Yes,0.35003,290,5316,0,0.32377,0,0.37668
1990,North Rhine-Westphalia,Tenant,No,0.64997,504,5316,0,0.61000,0,0.69596
1990,Hesse,Owner,Yes,1.00000,130,5316,0,0.93998,0,1.06791
1990,Hesse,Tenant,Yes,0.35214,92,5316,0,0.30510,0,0.40661
1990,Hesse,Tenant,No,0.64786,206,5316,0,0.57153,0,0.73479
1990,"Rhineland-Palatinate, Saarland",Owner,Yes,1.00000,150,5316,0,0.94556,0,1.06535
1990,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.45831,66,5316,0,0.39504,0,0.52497
1990,"Rhineland-Palatinate, Saarland",Tenant,No,0.54169,83,5316,0,0.45541,0,0.63730
1990,Baden-Wuerttemberg,Owner,Yes,0.81308,277,5316,0,0.77076,0,0.85885
1990,Baden-Wuerttemberg,Owner,No,0.18692,62,5316,0,0.16416,0,0.21505
1990,Baden-Wuerttemberg,Tenant,Yes,0.40942,167,5316,0,0.36995,0,0.45184
1990,Baden-Wuerttemberg,Tenant,No,0.59058,297,5316,0,0.52414,0,0.66992
1990,Bavaria,Owner,Yes,0.89798,297,5316,0,0.86178,0,0.93272
1990,Bavaria,Owner,No,0.10202,36,5316,0,0.08608,0,0.11778
1990,Bavaria,Tenant,Yes,0.36103,148,5316,0,0.32593,0,0.39469
1990,Bavaria,Tenant,No,0.63897,280,5316,0,0.58669,0,0.69166
1990,Berlin,Tenant,No,1.00000,141,5316,0,0.89228,0,1.10851
1990,Brandenburg,Owner,Yes,1.00000,119,5316,0,0.91936,0,1.07447
1990,Brandenburg,Tenant,Yes,1.00000,84,5316,0,0.89170,0,1.09465
1990,Mecklenburg-Western Pomerania,Owner,Yes,1.00000,61,5316,0,0.87208,0,1.11065
1990,Mecklenburg-Western Pomerania,Tenant,Yes,1.00000,69,5316,0,0.86829,0,1.14050
1990,Saxony,Owner,Yes,1.00000,140,5316,0,0.91910,0,1.09198
1990,Saxony,Tenant,Yes,1.00000,139,5316,0,0.92047,0,1.06195
1990,Saxony-Anhalt,Owner,Yes,1.00000,117,5316,0,0.87912,0,1.13274
1990,Saxony-Anhalt,Tenant,Yes,1.00000,78,5316,0,0.86791,0,1.13034
1990,Thuringa,Owner,Yes,1.00000,131,5316,0,0.91616,0,1.10446
1990,Thuringa,Tenant,Yes,1.00000,53,5316,0,0.84889,0,1.16991
1991,Schleswig-Holstein,Owner,Yes,1.00000,62,6377,0,0.90036,0,1.10354
1991,Schleswig-Holstein,Tenant,Yes,0.48043,39,6377,0,0.41419,0,0.54984
1991,Schleswig-Holstein,Tenant,No,0.51957,44,6377,0,0.42205,0,0.61134
1991,Hamburg,Tenant,No,1.00000,75,6377,0,0.87073,0,1.12413
1991,Lower Saxony,Owner,Yes,1.00000,204,6377,0,0.94231,0,1.06109
1991,Lower Saxony,Tenant,Yes,0.41450,106,6377,0,0.37619,0,0.45181
1991,Lower Saxony,Tenant,No,0.58550,162,6377,0,0.52482,0,0.66013
1991,Bremen,Tenant,No,1.00000,34,6377,0,0.84348,0,1.15718
1991,North Rhine-Westphalia,Owner,Yes,0.88146,376,6377,0,0.84042,0,0.92106
1991,North Rhine-Westphalia,Owner,No,0.11854,40,6377,0,0.10082,0,0.13699
1991,North Rhine-Westphalia,Tenant,Yes,0.33239,276,6377,0,0.30675,0,0.35223
1991,North Rhine-Westphalia,Tenant,No,0.66761,551,6377,0,0.63308,0,0.71500
1991,Hesse,Owner,Yes,1.00000,137,6377,0,0.93770,0,1.07125
1991,Hesse,Tenant,Yes,0.34890,91,6377,0,0.29466,0,0.39872
1991,Hesse,Tenant,No,0.65110,216,6377,0,0.57234,0,0.74417
1991,"Rhineland-Palatinate, Saarland",Owner,Yes,1.00000,152,6377,0,0.94037,0,1.05798
1991,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.39823,65,6377,0,0.34746,0,0.44403
