year,quintil_oecd_hh,sampreg,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1991,5th Quintile,West,Yes,0.65386,700,1066,0.62529,0.68243
1991,5th Quintile,West,No,0.34614,366,1066,0.31757,0.37471
1992,1st Quintile,West,Yes,0.42344,210,579,0.38316,0.46372
1992,1st Quintile,West,No,0.57656,369,579,0.53628,0.61684
1992,1st Quintile,East,Yes,0.44101,371,768,0.40587,0.47615
1992,1st Quintile,East,No,0.55899,397,768,0.52385,0.59413
1992,2nd Quintile,West,Yes,0.53992,433,861,0.50661,0.57323
1992,2nd Quintile,West,No,0.46008,428,861,0.42677,0.49339
1992,2nd Quintile,East,Yes,0.48057,287,590,0.44022,0.52092
1992,2nd Quintile,East,No,0.51943,303,590,0.47908,0.55978
1992,3rd Quintile,West,Yes,0.54683,532,996,0.51589,0.57776
1992,3rd Quintile,West,No,0.45317,464,996,0.42224,0.48411
1992,3rd Quintile,East,Yes,0.44740,141,311,0.39205,0.50275
1992,3rd Quintile,East,No,0.55260,170,311,0.49725,0.60795
1992,4th Quintile,West,Yes,0.59494,653,1128,0.56628,0.62361
1992,4th Quintile,West,No,0.40506,475,1128,0.37639,0.43372
1992,4th Quintile,East,Yes,0.49536,62,119,0.40515,0.58557
1992,4th Quintile,East,No,0.50464,57,119,0.41443,0.59485
1992,5th Quintile,West,Yes,0.67918,689,1025,0.65059,0.70778
1992,5th Quintile,West,No,0.32082,336,1025,0.29222,0.34941
1993,1st Quintile,West,Yes,0.45253,287,695,0.41550,0.48956
1993,1st Quintile,West,No,0.54747,408,695,0.51044,0.58450
1993,1st Quintile,East,Yes,0.41528,242,562,0.37450,0.45606
1993,1st Quintile,East,No,0.58472,320,562,0.54394,0.62550
1993,2nd Quintile,West,Yes,0.53256,421,847,0.49893,0.56618
1993,2nd Quintile,West,No,0.46744,426,847,0.43382,0.50107
1993,2nd Quintile,East,Yes,0.50112,308,598,0.46102,0.54123
1993,2nd Quintile,East,No,0.49888,290,598,0.45877,0.53898
1993,3rd Quintile,West,Yes,0.58727,538,968,0.55624,0.61830
1993,3rd Quintile,West,No,0.41273,430,968,0.38170,0.44376
1993,3rd Quintile,East,Yes,0.51820,181,366,0.46694,0.56947
1993,3rd Quintile,East,No,0.48180,185,366,0.43053,0.53306
1993,4th Quintile,West,Yes,0.61581,625,1058,0.58648,0.64513
1993,4th Quintile,West,No,0.38419,433,1058,0.35487,0.41352
1993,4th Quintile,East,Yes,0.49628,101,190,0.42500,0.56756
1993,4th Quintile,East,No,0.50372,89,190,0.43244,0.57500
1993,5th Quintile,West,Yes,0.65796,665,1008,0.62866,0.68726
1993,5th Quintile,West,No,0.34204,343,1008,0.31274,0.37134
1993,5th Quintile,East,No,0.52058,33,33,0.34748,0.69367
1994,1st Quintile,West,Yes,0.42269,303,793,0.38828,0.45709
1994,1st Quintile,West,No,0.57731,490,793,0.54291,0.61172
1994,1st Quintile,East,Yes,0.41826,212,484,0.37426,0.46225
1994,1st Quintile,East,No,0.58174,272,484,0.53775,0.62574
1994,2nd Quintile,West,Yes,0.57400,442,818,0.54009,0.60791
1994,2nd Quintile,West,No,0.42600,376,818,0.39209,0.45991
1994,2nd Quintile,East,Yes,0.49817,285,552,0.45642,0.53992
1994,2nd Quintile,East,No,0.50183,267,552,0.46008,0.54358
1994,3rd Quintile,West,Yes,0.60055,529,924,0.56895,0.63215
1994,3rd Quintile,West,No,0.39945,395,924,0.36785,0.43105
1994,3rd Quintile,East,Yes,0.47975,187,395,0.43042,0.52908
1994,3rd Quintile,East,No,0.52025,208,395,0.47092,0.56958
1994,4th Quintile,West,Yes,0.61087,582,977,0.58028,0.64146
1994,4th Quintile,West,No,0.38913,395,977,0.35854,0.41972
1994,4th Quintile,East,Yes,0.47224,105,217,0.40566,0.53882
1994,4th Quintile,East,No,0.52776,112,217,0.46118,0.59434
1994,5th Quintile,West,Yes,0.69528,680,990,0.66659,0.72396
1994,5th Quintile,West,No,0.30472,310,990,0.27604,0.33341
1994,5th Quintile,East,Yes,0.51860,62,106,0.42302,0.61417
1994,5th Quintile,East,No,0.48140,44,106,0.38583,0.57698
1995,1st Quintile,West,Yes,0.43725,357,921,0.40520,0.46931
1995,1st Quintile,West,No,0.56275,564,921,0.53069,0.59480
1995,1st Quintile,East,Yes,0.38824,164,410,0.34101,0.43547
1995,1st Quintile,East,No,0.61176,246,410,0.56453,0.65899
1995,2nd Quintile,West,Yes,0.51352,447,909,0.48101,0.54603
1995,2nd Quintile,West,No,0.48648,462,909,0.45397,0.51899
1995,2nd Quintile,East,Yes,0.47989,264,517,0.43678,0.52300
1995,2nd Quintile,East,No,0.52011,253,517,0.47700,0.56322
1995,3rd Quintile,West,Yes,0.61010,553,958,0.57920,0.64100
1995,3rd Quintile,West,No,0.38990,405,958,0.35900,0.42080
1995,3rd Quintile,East,Yes,0.47442,190,401,0.42549,0.52336
1995,3rd Quintile,East,No,0.52558,211,401,0.47664,0.57451
1995,4th Quintile,West,Yes,0.63242,580,958,0.60188,0.66297
1995,4th Quintile,West,No,0.36758,378,958,0.33703,0.39812
1995,4th Quintile,East,Yes,0.52821,137,261,0.46753,0.58889
1995,4th Quintile,East,No,0.47179,124,261,0.41111,0.53247
1995,5th Quintile,West,Yes,0.70209,674,978,0.67341,0.73077
1995,5th Quintile,West,No,0.29791,304,978,0.26923,0.32659
1995,5th Quintile,East,Yes,0.54997,71,121,0.46095,0.63898
1995,5th Quintile,East,No,0.45003,50,121,0.36102,0.53905
1996,1st Quintile,West,Yes,0.43232,358,945,0.40072,0.46393
1996,1st Quintile,West,No,0.56768,587,945,0.53607,0.59928
1996,1st Quintile,East,Yes,0.34763,144,397,0.30072,0.39453
1996,1st Quintile,East,No,0.65237,253,397,0.60547,0.69928
1996,2nd Quintile,West,Yes,0.52822,448,876,0.49515,0.56130
1996,2nd Quintile,West,No,0.47178,428,876,0.43870,0.50485
1996,2nd Quintile,East,Yes,0.48298,241,476,0.43804,0.52792
1996,2nd Quintile,East,No,0.51702,235,476,0.47208,0.56196
1996,3rd Quintile,West,Yes,0.58191,522,924,0.55008,0.61373
1996,3rd Quintile,West,No,0.41809,402,924,0.38627,0.44992
1996,3rd Quintile,East,Yes,0.52948,231,427,0.48208,0.57688
1996,3rd Quintile,East,No,0.47052,196,427,0.42312,0.51792
1996,4th Quintile,West,Yes,0.63454,597,971,0.60424,0.66485
1996,4th Quintile,West,No,0.36546,374,971,0.33515,0.39576
1996,4th Quintile,East,Yes,0.52440,148,272,0.46495,0.58386
1996,4th Quintile,East,No,0.47560,124,272,0.41614,0.53505
1996,5th Quintile,West,Yes,0.71672,669,938,0.68787,0.74557
1996,5th Quintile,West,No,0.28328,269,938,0.25443,0.31213
1996,5th Quintile,East,Yes,0.48421,80,151,0.40424,0.56419
1996,5th Quintile,East,No,0.51579,71,151,0.43581,0.59576
1997,1st Quintile,West,Yes,0.44488,356,891,0.41224,0.47753
1997,1st Quintile,West,No,0.55512,535,891,0.52247,0.58776
1997,1st Quintile,East,Yes,0.37413,148,381,0.32548,0.42278
1997,1st Quintile,East,No,0.62587,233,381,0.57722,0.67452
1997,2nd Quintile,West,Yes,0.53371,455,882,0.50077,0.56665
1997,2nd Quintile,West,No,0.46629,427,882,0.43335,0.49923
1997,2nd Quintile,East,Yes,0.44864,234,484,0.40428,0.49300
1997,2nd Quintile,East,No,0.55136,250,484,0.50700,0.59572
1997,3rd Quintile,West,Yes,0.59228,549,925,0.56060,0.62397
1997,3rd Quintile,West,No,0.40772,376,925,0.37603,0.43940
1997,3rd Quintile,East,Yes,0.48859,207,412,0.44026,0.53692
1997,3rd Quintile,East,No,0.51141,205,412,0.46308,0.55974
1997,4th Quintile,West,Yes,0.63629,588,957,0.60580,0.66679
1997,4th Quintile,West,No,0.36371,369,957,0.33321,0.39420
1997,4th Quintile,East,Yes,0.52022,154,291,0.46272,0.57773
1997,4th Quintile,East,No,0.47978,137,291,0.42227,0.53728
1997,5th Quintile,West,Yes,0.72435,678,930,0.69562,0.75309
1997,5th Quintile,West,No,0.27565,252,930,0.24691,0.30438
1997,5th Quintile,East,Yes,0.59506,88,143,0.51432,0.67580
1997,5th Quintile,East,No,0.40494,55,143,0.32420,0.48568
1998,1st Quintile,West,Yes,0.41712,414,1068,0.38754,0.44671
1998,1st Quintile,West,No,0.58288,654,1068,0.55329,0.61246
1998,1st Quintile,East,Yes,0.24707,108,416,0.20557,0.28857
1998,1st Quintile,East,No,0.75293,308,416,0.71143,0.79443
1998,2nd Quintile,West,Yes,0.52734,554,1069,0.49739,0.55728
1998,2nd Quintile,West,No,0.47266,515,1069,0.44272,0.50261
1998,2nd Quintile,East,Yes,0.43198,228,496,0.38834,0.47562
1998,2nd Quintile,East,No,0.56802,268,496,0.52438,0.61166
1998,3rd Quintile,West,Yes,0.56245,604,1039,0.53227,0.59263
1998,3rd Quintile,West,No,0.43755,435,1039,0.40737,0.46773
1998,3rd Quintile,East,Yes,0.43521,226,485,0.39104,0.47938
1998,3rd Quintile,East,No,0.56479,259,485,0.52062,0.60896
1998,4th Quintile,West,Yes,0.60710,709,1128,0.57858,0.63561
1998,4th Quintile,West,No,0.39290,419,1128,0.36439,0.42142
1998,4th Quintile,East,Yes,0.55657,203,359,0.50510,0.60803
1998,4th Quintile,East,No,0.44343,156,359,0.39197,0.49490
1998,5th Quintile,West,Yes,0.71475,816,1122,0.68832,0.74119
1998,5th Quintile,West,No,0.28525,306,1122,0.25881,0.31168
1998,5th Quintile,East,Yes,0.62175,115,178,0.55031,0.69320
1998,5th Quintile,East,No,0.37825,63,178,0.30680,0.44969
1999,1st Quintile,West,Yes,0.40006,404,1017,0.36994,0.43019
1999,1st Quintile,West,No,0.59994,613,1017,0.56981,0.63006
1999,1st Quintile,East,Yes,0.31917,160,462,0.27662,0.36173
1999,1st Quintile,East,No,0.68083,302,462,0.63827,0.72338
1999,2nd Quintile,West,Yes,0.51639,496,979,0.48507,0.54771
1999,2nd Quintile,West,No,0.48361,483,979,0.45229,0.51493
1999,2nd Quintile,East,Yes,0.44313,249,526,0.40064,0.48563
1999,2nd Quintile,East,No,0.55687,277,526,0.51437,0.59936
1999,3rd Quintile,West,Yes,0.58362,593,1013,0.55325,0.61399
1999,3rd Quintile,West,No,0.41638,420,1013,0.38601,0.44675
1999,3rd Quintile,East,Yes,0.44292,227,462,0.39758,0.48827
1999,3rd Quintile,East,No,0.55708,235,462,0.51173,0.60242
1999,4th Quintile,West,Yes,0.61320,703,1080,0.58414,0.64226
1999,4th Quintile,West,No,0.38680,377,1080,0.35774,0.41586
1999,4th Quintile,East,Yes,0.53200,155,290,0.47447,0.58952
1999,4th Quintile,East,No,0.46800,135,290,0.41048,0.52553
1999,5th Quintile,West,Yes,0.71969,790,1072,0.69279,0.74659
1999,5th Quintile,West,No,0.28031,282,1072,0.25341,0.30721
1999,5th Quintile,East,Yes,0.60582,97,155,0.52864,0.68300
1999,5th Quintile,East,No,0.39418,58,155,0.31700,0.47136
2000,1st Quintile,West,Yes,0.42098,781,1779,0.39803,0.44393
2000,1st Quintile,West,No,0.57902,998,1779,0.55607,0.60197
2000,1st Quintile,East,Yes,0.29499,236,730,0.26188,0.32809
2000,1st Quintile,East,No,0.70501,494,730,0.67191,0.73812
2000,2nd Quintile,West,Yes,0.52724,1025,1846,0.50446,0.55002
2000,2nd Quintile,West,No,0.47276,821,1846,0.44998,0.49554
2000,2nd Quintile,East,Yes,0.44610,411,827,0.41220,0.47999
2000,2nd Quintile,East,No,0.55390,416,827,0.52001,0.58780
2000,3rd Quintile,West,Yes,0.57997,1173,1876,0.55763,0.60231
2000,3rd Quintile,West,No,0.42003,703,1876,0.39769,0.44237
2000,3rd Quintile,East,Yes,0.50205,394,744,0.46609,0.53800
2000,3rd Quintile,East,No,0.49795,350,744,0.46200,0.53391
2000,4th Quintile,West,Yes,0.64505,1459,2109,0.62462,0.66548
2000,4th Quintile,West,No,0.35495,650,2109,0.33452,0.37538
2000,4th Quintile,East,Yes,0.55255,272,467,0.50740,0.59769
2000,4th Quintile,East,No,0.44745,195,467,0.40231,0.49260
2000,5th Quintile,West,Yes,0.69386,1575,2133,0.67429,0.71342
2000,5th Quintile,West,No,0.30614,558,2133,0.28658,0.32571
2000,5th Quintile,East,Yes,0.66233,182,260,0.60474,0.71993
2000,5th Quintile,East,No,0.33767,78,260,0.28007,0.39526
2001,1st Quintile,West,Yes,0.42188,643,1513,0.39699,0.44678
2001,1st Quintile,West,No,0.57812,870,1513,0.55322,0.60301
2001,1st Quintile,East,Yes,0.28042,199,659,0.24610,0.31475
2001,1st Quintile,East,No,0.71958,460,659,0.68525,0.75390
2001,2nd Quintile,West,Yes,0.52853,917,1653,0.50446,0.55260
2001,2nd Quintile,West,No,0.47147,736,1653,0.44740,0.49554
2001,2nd Quintile,East,Yes,0.45972,406,776,0.42463,0.49481
2001,2nd Quintile,East,No,0.54028,370,776,0.50519,0.57537
2001,3rd Quintile,West,Yes,0.59844,1102,1730,0.57534,0.62155
2001,3rd Quintile,West,No,0.40156,628,1730,0.37845,0.42466
2001,3rd Quintile,East,Yes,0.49964,363,664,0.46158,0.53770
2001,3rd Quintile,East,No,0.50036,301,664,0.46230,0.53842
2001,4th Quintile,West,Yes,0.65380,1324,1896,0.63238,0.67522
2001,4th Quintile,West,No,0.34620,572,1896,0.32478,0.36762
2001,4th Quintile,East,Yes,0.59389,275,445,0.54821,0.63957
2001,4th Quintile,East,No,0.40611,170,445,0.36043,0.45179
2001,5th Quintile,West,Yes,0.69129,1403,1901,0.67052,0.71206
2001,5th Quintile,West,No,0.30871,498,1901,0.28794,0.32948
2001,5th Quintile,East,Yes,0.62229,161,246,0.56158,0.68300
2001,5th Quintile,East,No,0.37771,85,246,0.31700,0.43842
2002,1st Quintile,West,Yes,0.40207,563,1399,0.37636,0.42777
2002,1st Quintile,West,No,0.59793,836,1399,0.57223,0.62364
2002,1st Quintile,East,Yes,0.28911,202,638,0.25390,0.32431
2002,1st Quintile,East,No,0.71089,436,638,0.67569,0.74610
2002,2nd Quintile,West,Yes,0.57044,870,1510,0.54547,0.59542
2002,2nd Quintile,West,No,0.42956,640,1510,0.40458,0.45453
2002,2nd Quintile,East,Yes,0.43991,336,688,0.40279,0.47703
2002,2nd Quintile,East,No,0.56009,352,688,0.52297,0.59721
2002,3rd Quintile,West,Yes,0.61818,1042,1625,0.59455,0.64181
2002,3rd Quintile,West,No,0.38182,583,1625,0.35819,0.40545
2002,3rd Quintile,East,Yes,0.52650,341,603,0.48661,0.56638
2002,3rd Quintile,East,No,0.47350,262,603,0.43362,0.51339
2002,4th Quintile,West,Yes,0.63287,1259,1830,0.61078,0.65496
2002,4th Quintile,West,No,0.36713,571,1830,0.34504,0.38922
2002,4th Quintile,East,Yes,0.57971,312,499,0.53636,0.62307
2002,4th Quintile,East,No,0.42029,187,499,0.37693,0.46364
2002,5th Quintile,West,Yes,0.68696,2177,2828,0.66987,0.70406
2002,5th Quintile,West,No,0.31304,651,2828,0.29594,0.33013
2002,5th Quintile,East,Yes,0.61495,250,348,0.56375,0.66615
2002,5th Quintile,East,No,0.38505,98,348,0.33385,0.43625
2003,1st Quintile,West,Yes,0.40181,560,1394,0.37606,0.42756
2003,1st Quintile,West,No,0.59819,834,1394,0.57244,0.62394
2003,1st Quintile,East,Yes,0.28334,186,601,0.24728,0.31940
2003,1st Quintile,East,No,0.71666,415,601,0.68060,0.75272
2003,2nd Quintile,West,Yes,0.55012,815,1452,0.52452,0.57572
2003,2nd Quintile,West,No,0.44988,637,1452,0.42428,0.47548
2003,2nd Quintile,East,Yes,0.46043,356,712,0.42379,0.49706
2003,2nd Quintile,East,No,0.53957,356,712,0.50294,0.57621
2003,3rd Quintile,West,Yes,0.62297,995,1563,0.59894,0.64701
2003,3rd Quintile,West,No,0.37703,568,1563,0.35299,0.40106
2003,3rd Quintile,East,Yes,0.48469,329,617,0.44522,0.52416
2003,3rd Quintile,East,No,0.51531,288,617,0.47584,0.55478
2003,4th Quintile,West,Yes,0.65788,1250,1769,0.63577,0.68000
2003,4th Quintile,West,No,0.34212,519,1769,0.32000,0.36423
2003,4th Quintile,East,Yes,0.61247,295,456,0.56770,0.65723
2003,4th Quintile,East,No,0.38753,161,456,0.34277,0.43230
2003,5th Quintile,West,Yes,0.69199,2046,2634,0.67436,0.70963
2003,5th Quintile,West,No,0.30801,588,2634,0.29037,0.32564
2003,5th Quintile,East,Yes,0.60257,252,349,0.55116,0.65399
2003,5th Quintile,East,No,0.39743,97,349,0.34601,0.44884
2004,1st Quintile,West,Yes,0.39022,522,1308,0.36377,0.41666
2004,1st Quintile,West,No,0.60978,786,1308,0.58334,0.63623
2004,1st Quintile,East,Yes,0.28232,182,590,0.24597,0.31867
2004,1st Quintile,East,No,0.71768,408,590,0.68133,0.75403
2004,2nd Quintile,West,Yes,0.54060,790,1422,0.51468,0.56651
2004,2nd Quintile,West,No,0.45940,632,1422,0.43349,0.48532
2004,2nd Quintile,East,Yes,0.44543,357,702,0.40863,0.48222
2004,2nd Quintile,East,No,0.55457,345,702,0.51778,0.59137
2004,3rd Quintile,West,Yes,0.65116,1030,1540,0.62735,0.67497
2004,3rd Quintile,West,No,0.34884,510,1540,0.32503,0.37265
2004,3rd Quintile,East,Yes,0.50796,326,597,0.46783,0.54810
2004,3rd Quintile,East,No,0.49204,271,597,0.45190,0.53217
2004,4th Quintile,West,Yes,0.66363,1230,1742,0.64144,0.68582
2004,4th Quintile,West,No,0.33637,512,1742,0.31418,0.35856
2004,4th Quintile,East,Yes,0.55511,290,473,0.51028,0.59995
2004,4th Quintile,East,No,0.44489,183,473,0.40005,0.48972
2004,5th Quintile,West,Yes,0.68867,1994,2569,0.67076,0.70658
2004,5th Quintile,West,No,0.31133,575,2569,0.29342,0.32924
2004,5th Quintile,East,Yes,0.67164,248,323,0.62035,0.72294
2004,5th Quintile,East,No,0.32836,75,323,0.27706,0.37965
2005,1st Quintile,West,Yes,0.39596,534,1329,0.36966,0.42227
2005,1st Quintile,West,No,0.60404,795,1329,0.57773,0.63034
2005,1st Quintile,East,Yes,0.31780,217,632,0.28147,0.35413
2005,1st Quintile,East,No,0.68220,415,632,0.64587,0.71853
2005,2nd Quintile,West,Yes,0.54484,769,1384,0.51859,0.57108
2005,2nd Quintile,West,No,0.45516,615,1384,0.42892,0.48141
2005,2nd Quintile,East,Yes,0.44524,340,680,0.40786,0.48262
2005,2nd Quintile,East,No,0.55476,340,680,0.51738,0.59214
2005,3rd Quintile,West,Yes,0.60944,972,1512,0.58484,0.63404
2005,3rd Quintile,West,No,0.39056,540,1512,0.36596,0.41516
2005,3rd Quintile,East,Yes,0.55053,345,582,0.51009,0.59098
2005,3rd Quintile,East,No,0.44947,237,582,0.40902,0.48991
2005,4th Quintile,West,Yes,0.65027,1228,1744,0.62788,0.67266
2005,4th Quintile,West,No,0.34973,516,1744,0.32734,0.37212
2005,4th Quintile,East,Yes,0.57276,290,464,0.52770,0.61782
2005,4th Quintile,East,No,0.42724,174,464,0.38218,0.47230
2005,5th Quintile,West,Yes,0.68379,1918,2517,0.66562,0.70196
2005,5th Quintile,West,No,0.31621,599,2517,0.29804,0.33438
2005,5th Quintile,East,Yes,0.66093,245,324,0.60930,0.71255
2005,5th Quintile,East,No,0.33907,79,324,0.28745,0.39070
2006,1st Quintile,West,Yes,0.38030,570,1426,0.35510,0.40551
2006,1st Quintile,West,No,0.61970,856,1426,0.59449,0.64490
2006,1st Quintile,East,Yes,0.26595,200,657,0.23214,0.29976
2006,1st Quintile,East,No,0.73405,457,657,0.70024,0.76786
2006,2nd Quintile,West,Yes,0.50220,809,1488,0.47678,0.52761
2006,2nd Quintile,West,No,0.49780,679,1488,0.47239,0.52322
2006,2nd Quintile,East,Yes,0.46242,374,730,0.42623,0.49862
2006,2nd Quintile,East,No,0.53758,356,730,0.50138,0.57377
2006,3rd Quintile,West,Yes,0.61562,1122,1709,0.59255,0.63869
2006,3rd Quintile,West,No,0.38438,587,1709,0.36131,0.40745
2006,3rd Quintile,East,Yes,0.54079,411,672,0.50308,0.57850
2006,3rd Quintile,East,No,0.45921,261,672,0.42150,0.49692
2006,4th Quintile,West,Yes,0.65198,1400,1982,0.63101,0.67296
2006,4th Quintile,West,No,0.34802,582,1982,0.32704,0.36899
2006,4th Quintile,East,Yes,0.56434,326,509,0.52122,0.60746
2006,4th Quintile,East,No,0.43566,183,509,0.39254,0.47878
2006,5th Quintile,West,Yes,0.68349,2074,2706,0.66597,0.70102
2006,5th Quintile,West,No,0.31651,632,2706,0.29898,0.33403
2006,5th Quintile,East,Yes,0.64709,264,350,0.59695,0.69722
2006,5th Quintile,East,No,0.35291,86,350,0.30278,0.40305
2007,1st Quintile,West,Yes,0.39171,562,1341,0.36558,0.41785
2007,1st Quintile,West,No,0.60829,779,1341,0.58215,0.63442
2007,1st Quintile,East,Yes,0.27177,184,607,0.23635,0.30719
2007,1st Quintile,East,No,0.72823,423,607,0.69281,0.76365
2007,2nd Quintile,West,Yes,0.53030,830,1467,0.50475,0.55585
2007,2nd Quintile,West,No,0.46970,637,1467,0.44415,0.49525
2007,2nd Quintile,East,Yes,0.46248,326,639,0.42379,0.50117
2007,2nd Quintile,East,No,0.53752,313,639,0.49883,0.57621
2007,3rd Quintile,West,Yes,0.64131,1054,1561,0.61751,0.66511
2007,3rd Quintile,West,No,0.35869,507,1561,0.33489,0.38249
2007,3rd Quintile,East,Yes,0.53674,394,650,0.49838,0.57511
2007,3rd Quintile,East,No,0.46326,256,650,0.42489,0.50162
2007,4th Quintile,West,Yes,0.66072,1296,1815,0.63893,0.68251
2007,4th Quintile,West,No,0.33928,519,1815,0.31749,0.36107
2007,4th Quintile,East,Yes,0.59827,341,513,0.55580,0.64073
2007,4th Quintile,East,No,0.40173,172,513,0.35927,0.44420
2007,5th Quintile,West,Yes,0.69413,1917,2484,0.67601,0.71226
2007,5th Quintile,West,No,0.30587,567,2484,0.28774,0.32399
2007,5th Quintile,East,Yes,0.69198,259,344,0.64312,0.74084
2007,5th Quintile,East,No,0.30802,85,344,0.25916,0.35688
2008,1st Quintile,West,Yes,0.39184,523,1276,0.36504,0.41864
2008,1st Quintile,West,No,0.60816,753,1276,0.58136,0.63496
