year,rentown,sampreg,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Owner,East,No,0.07144,77,1233,0.05706,0.08582
2014,Tenant,West,Yes,0.41190,2865,6623,0.40005,0.42376
2014,Tenant,West,No,0.58810,3758,6623,0.57624,0.59995
2014,Tenant,East,Yes,0.26948,640,2146,0.25070,0.28826
2014,Tenant,East,No,0.73052,1506,2146,0.71174,0.74930
2015,Owner,West,Yes,0.84378,4897,5545,0.83422,0.85334
2015,Owner,West,No,0.15622,648,5545,0.14666,0.16578
2015,Owner,East,Yes,0.92799,1111,1194,0.91332,0.94266
2015,Owner,East,No,0.07201,83,1194,0.05734,0.08668
2015,Tenant,West,Yes,0.38607,2748,6931,0.37461,0.39753
2015,Tenant,West,No,0.61393,4183,6931,0.60247,0.62539
2015,Tenant,East,Yes,0.25546,602,2084,0.23673,0.27419
2015,Tenant,East,No,0.74454,1482,2084,0.72581,0.76327
2016,Not included in this version of the questionnaire,West,Yes,0.25679,476,1714,0.23610,0.27748
2016,Not included in this version of the questionnaire,West,No,0.74321,1238,1714,0.72252,0.76390
2016,Not included in this version of the questionnaire,East,Yes,0.09107,33,389,0.06244,0.11970
2016,Not included in this version of the questionnaire,East,No,0.90893,356,389,0.88030,0.93756
2016,Owner,West,Yes,0.84543,4551,5145,0.83555,0.85530
2016,Owner,West,No,0.15457,594,5145,0.14470,0.16445
2016,Owner,East,Yes,0.92761,1075,1156,0.91266,0.94255
2016,Owner,East,No,0.07239,81,1156,0.05745,0.08734
2016,Tenant,West,Yes,0.38394,2404,6075,0.37171,0.39617
2016,Tenant,West,No,0.61606,3671,6075,0.60383,0.62829
2016,Tenant,East,Yes,0.23605,529,1915,0.21703,0.25508
2016,Tenant,East,No,0.76395,1386,1915,0.74492,0.78297
2017,Not included in this version of the questionnaire,West,Yes,0.25151,195,718,0.21975,0.28327
2017,Not included in this version of the questionnaire,West,No,0.74849,523,718,0.71673,0.78025
2017,Not included in this version of the questionnaire,East,No,0.96247,74,74,0.91888,1.00607
2017,Owner,West,Yes,0.84478,5117,5750,0.83542,0.85414
2017,Owner,West,No,0.15522,633,5750,0.14586,0.16458
2017,Owner,East,Yes,0.92473,1222,1313,0.91045,0.93900
2017,Owner,East,No,0.07527,91,1313,0.06100,0.08955
2017,Tenant,West,Yes,0.38718,3107,8001,0.37650,0.39785
2017,Tenant,West,No,0.61282,4894,8001,0.60215,0.62350
2017,Tenant,East,Yes,0.25622,643,2405,0.23877,0.27367
2017,Tenant,East,No,0.74378,1762,2405,0.72633,0.76123
2018,Owner,West,Yes,0.84106,4856,5502,0.83140,0.85072
2018,Owner,West,No,0.15894,646,5502,0.14928,0.16860
2018,Owner,East,Yes,0.92157,1167,1254,0.90668,0.93645
2018,Owner,East,No,0.07843,87,1254,0.06355,0.09332
2018,Tenant,West,Yes,0.38682,3107,8439,0.37643,0.39722
2018,Tenant,West,No,0.61318,5332,8439,0.60278,0.62357
2018,Tenant,East,Yes,0.25404,598,2497,0.23697,0.27112
2018,Tenant,East,No,0.74596,1899,2497,0.72888,0.76303
2019,Owner,West,Yes,0.83863,4260,4826,0.82824,0.84901
2019,Owner,West,No,0.16137,566,4826,0.15099,0.17176
2019,Owner,East,Yes,0.92889,1039,1120,0.91383,0.94395
2019,Owner,East,No,0.07111,81,1120,0.05605,0.08617
2019,Tenant,West,Yes,0.39420,2546,6918,0.38269,0.40572
2019,Tenant,West,No,0.60580,4372,6918,0.59428,0.61731
2019,Tenant,East,Yes,0.25291,513,2043,0.23406,0.27177
2019,Tenant,East,No,0.74709,1530,2043,0.72823,0.76594
2020,Owner,West,Yes,0.84877,4998,5626,0.83940,0.85813
2020,Owner,West,No,0.15123,628,5626,0.14187,0.16060
2020,Owner,East,Yes,0.92739,1266,1362,0.91360,0.94117
2020,Owner,East,No,0.07261,96,1362,0.05883,0.08640
2020,Tenant,West,Yes,0.40606,3465,9841,0.39636,0.41577
2020,Tenant,West,No,0.59394,6376,9841,0.58423,0.60364
2020,Tenant,East,Yes,0.25476,608,2471,0.23758,0.27195
2020,Tenant,East,No,0.74524,1863,2471,0.72805,0.76242
2021,Owner,West,Yes,0.83528,3327,3794,0.82348,0.84708
2021,Owner,West,No,0.16472,467,3794,0.15292,0.17652
2021,Owner,East,Yes,0.92022,809,874,0.90224,0.93819
2021,Owner,East,No,0.07978,65,874,0.06181,0.09776
2021,Tenant,West,Yes,0.40472,1895,5027,0.39115,0.41829
2021,Tenant,West,No,0.59528,3132,5027,0.58171,0.60885
2021,Tenant,East,Yes,0.26833,390,1474,0.24570,0.29095
2021,Tenant,East,No,0.73167,1084,1474,0.70905,0.75430
2022,Owner,West,Yes,0.84680,5610,6308,0.83791,0.85569
2022,Owner,West,No,0.15320,698,6308,0.14431,0.16209
2022,Owner,East,Yes,0.91453,1448,1550,0.90061,0.92845
2022,Owner,East,No,0.08547,102,1550,0.07155,0.09939
2022,Tenant,West,Yes,0.42157,3762,9394,0.41158,0.43156
2022,Tenant,West,No,0.57843,5632,9394,0.56844,0.58842
2022,Tenant,East,Yes,0.29161,882,2791,0.27475,0.30848
2022,Tenant,East,No,0.70839,1909,2791,0.69152,0.72525
