,Unnamed: 0,year,bula_h,pgisced97,pld0044,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
28,28,2003,North Rhine-Westphalia,Lower Secondary Level,Sometimes,0.13725,90,19266,0.11368,0.16143
29,29,2003,North Rhine-Westphalia,Lower Secondary Level,Seldom,0.2089,134,19266,0.18053,0.23822
30,30,2003,North Rhine-Westphalia,Lower Secondary Level,Never,0.59485,315,19266,0.55188,0.63153
31,31,2003,North Rhine-Westphalia,Upper Secondary Level,Often,0.02415,58,19266,0.0193,0.02995
32,32,2003,North Rhine-Westphalia,Upper Secondary Level,Sometimes,0.11343,271,19266,0.10507,0.12439
33,33,2003,North Rhine-Westphalia,Upper Secondary Level,Seldom,0.28395,664,19266,0.2698,0.30066
34,34,2003,North Rhine-Westphalia,Upper Secondary Level,Never,0.57847,1234,19266,0.56036,0.59781
35,35,2003,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Sometimes,0.21815,62,19266,0.18004,0.25897
36,36,2003,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Seldom,0.36233,127,19266,0.30709,0.41621
37,37,2003,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Never,0.41952,137,19266,0.36769,0.47769
38,38,2003,North Rhine-Westphalia,First Stage of Tertiary Education,Sometimes,0.11036,37,19266,0.08075,0.14068
39,39,2003,North Rhine-Westphalia,First Stage of Tertiary Education,Seldom,0.36548,116,19266,0.31019,0.42719
40,40,2003,North Rhine-Westphalia,First Stage of Tertiary Education,Never,0.52417,172,19266,0.46017,0.58336
41,41,2003,North Rhine-Westphalia,Second Stage of Tertiary Education,Sometimes,0.18789,135,19266,0.15933,0.21874
42,42,2003,North Rhine-Westphalia,Second Stage of Tertiary Education,Seldom,0.38922,312,19266,0.35519,0.43021
43,43,2003,North Rhine-Westphalia,Second Stage of Tertiary Education,Never,0.42289,365,19266,0.38504,0.46171
44,44,2003,Hesse,Lower Secondary Level,Seldom,0.27493,44,19266,0.21561,0.33237
45,45,2003,Hesse,Lower Secondary Level,Never,0.72507,122,19266,0.63993,0.81847
46,46,2003,Hesse,Upper Secondary Level,Sometimes,0.13774,94,19266,0.11493,0.1606
47,47,2003,Hesse,Upper Secondary Level,Seldom,0.27962,192,19266,0.25005,0.31188
48,48,2003,Hesse,Upper Secondary Level,Never,0.58264,376,19266,0.54827,0.62553
49,49,2003,Hesse,Post-secondary Non-tertiary Level,Seldom,0.44435,46,19266,0.3412,0.57613
50,50,2003,Hesse,Post-secondary Non-tertiary Level,Never,0.55565,47,19266,0.43768,0.63853
51,51,2003,Hesse,First Stage of Tertiary Education,Seldom,0.42645,33,19266,0.30404,0.53639
52,52,2003,Hesse,First Stage of Tertiary Education,Never,0.57355,48,19266,0.44771,0.69021
53,53,2003,Hesse,Second Stage of Tertiary Education,Sometimes,0.1458,47,19266,0.10568,0.19261
54,54,2003,Hesse,Second Stage of Tertiary Education,Seldom,0.37929,126,19266,0.31134,0.44854
55,55,2003,Hesse,Second Stage of Tertiary Education,Never,0.47491,143,19266,0.42048,0.53758
56,56,2003,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Sometimes,0.12413,33,19266,0.10132,0.15384
57,57,2003,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Seldom,0.22335,40,19266,0.19301,0.26122
58,58,2003,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Never,0.65253,139,19266,0.59886,0.71144
59,59,2003,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Sometimes,0.12721,80,19266,0.10232,0.14726
60,60,2003,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Seldom,0.29048,189,19266,0.2601,0.31719
61,61,2003,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Never,0.58232,396,19266,0.54446,0.61196
62,62,2003,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Never,1.0,61,19266,0.83159,1.19942
63,63,2003,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Seldom,0.51616,64,19266,0.39272,0.66212
64,64,2003,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Never,0.48384,87,19266,0.37822,0.59244
65,65,2003,Baden-Wuerttemberg,Primary Level,Never,1.0,34,19266,0.66364,1.32255
66,66,2003,Baden-Wuerttemberg,Lower Secondary Level,Sometimes,0.09428,49,19266,0.07129,0.11656
67,67,2003,Baden-Wuerttemberg,Lower Secondary Level,Seldom,0.27742,131,19266,0.2342,0.31751
68,68,2003,Baden-Wuerttemberg,Lower Secondary Level,Never,0.6283,253,19266,0.57571,0.69071
69,69,2003,Baden-Wuerttemberg,Upper Secondary Level,Sometimes,0.09937,137,19266,0.08708,0.11613
70,70,2003,Baden-Wuerttemberg,Upper Secondary Level,Seldom,0.35342,434,19266,0.32509,0.37603
71,71,2003,Baden-Wuerttemberg,Upper Secondary Level,Never,0.54721,649,19266,0.51573,0.57989
72,72,2003,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Seldom,0.45165,50,19266,0.33774,0.57062
73,73,2003,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Never,0.54835,63,19266,0.44253,0.65151
74,74,2003,Baden-Wuerttemberg,First Stage of Tertiary Education,Seldom,0.52635,95,19266,0.44023,0.60426
75,75,2003,Baden-Wuerttemberg,First Stage of Tertiary Education,Never,0.47365,87,19266,0.3982,0.56028
76,76,2003,Baden-Wuerttemberg,Second Stage of Tertiary Education,Sometimes,0.16352,65,19266,0.12947,0.19678
77,77,2003,Baden-Wuerttemberg,Second Stage of Tertiary Education,Seldom,0.427,180,19266,0.37234,0.48382
78,78,2003,Baden-Wuerttemberg,Second Stage of Tertiary Education,Never,0.40948,212,19266,0.37241,0.45561
79,79,2003,Bavaria,Lower Secondary Level,Sometimes,0.13937,54,19266,0.10727,0.17272
80,80,2003,Bavaria,Lower Secondary Level,Seldom,0.25099,94,19266,0.21489,0.28131
81,81,2003,Bavaria,Lower Secondary Level,Never,0.60964,215,19266,0.55807,0.66726
82,82,2003,Bavaria,Upper Secondary Level,Sometimes,0.14909,239,19266,0.13393,0.16628
83,83,2003,Bavaria,Upper Secondary Level,Seldom,0.30405,532,19266,0.28529,0.32694
84,84,2003,Bavaria,Upper Secondary Level,Never,0.54687,816,19266,0.52054,0.57475
85,85,2003,Bavaria,Post-secondary Non-tertiary Level,Seldom,0.43763,51,19266,0.35095,0.52851
86,86,2003,Bavaria,Post-secondary Non-tertiary Level,Never,0.56237,66,19266,0.43815,0.68292
87,87,2003,Bavaria,First Stage of Tertiary Education,Sometimes,0.15953,31,19266,0.11729,0.20769
88,88,2003,Bavaria,First Stage of Tertiary Education,Seldom,0.31389,84,19266,0.25355,0.37359
89,89,2003,Bavaria,First Stage of Tertiary Education,Never,0.52657,125,19266,0.46079,0.59607
90,90,2003,Bavaria,Second Stage of Tertiary Education,Sometimes,0.16408,91,19266,0.13611,0.19548
91,91,2003,Bavaria,Second Stage of Tertiary Education,Seldom,0.33393,210,19266,0.29616,0.37704
92,92,2003,Bavaria,Second Stage of Tertiary Education,Never,0.50199,268,19266,0.45301,0.57153
93,93,2003,Berlin,Lower Secondary Level,Never,1.0,31,19266,0.78277,1.18357
94,94,2003,Berlin,Upper Secondary Level,Sometimes,0.20718,73,19266,0.16555,0.24859
95,95,2003,Berlin,Upper Secondary Level,Seldom,0.28057,97,19266,0.24843,0.31136
96,96,2003,Berlin,Upper Secondary Level,Never,0.51224,158,19266,0.46452,0.5599
97,97,2003,Berlin,Second Stage of Tertiary Education,Sometimes,0.13338,32,19266,0.10193,0.17615
98,98,2003,Berlin,Second Stage of Tertiary Education,Seldom,0.40014,96,19266,0.33517,0.47756
99,99,2003,Berlin,Second Stage of Tertiary Education,Never,0.46648,111,19266,0.40109,0.53862
100,100,2003,Brandenburg,Lower Secondary Level,Never,1.0,44,19266,0.83706,1.16759
101,101,2003,Brandenburg,Upper Secondary Level,Sometimes,0.08597,41,19266,0.06642,0.10249
102,102,2003,Brandenburg,Upper Secondary Level,Seldom,0.28783,138,19266,0.25163,0.32278
103,103,2003,Brandenburg,Upper Secondary Level,Never,0.62619,269,19266,0.58255,0.67165
104,104,2003,Brandenburg,First Stage of Tertiary Education,Never,1.0,46,19266,0.74998,1.17855
105,105,2003,Brandenburg,Second Stage of Tertiary Education,Seldom,0.42257,94,19266,0.35791,0.50033
106,106,2003,Brandenburg,Second Stage of Tertiary Education,Never,0.57743,140,19266,0.5118,0.645
107,107,2003,Mecklenburg-Western Pomerania,Upper Secondary Level,Seldom,0.3207,86,19266,0.27504,0.37328
108,108,2003,Mecklenburg-Western Pomerania,Upper Secondary Level,Never,0.6793,153,19266,0.61527,0.74043
109,109,2003,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Seldom,0.41611,58,19266,0.34516,0.49691
110,110,2003,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Never,0.58389,65,19266,0.45799,0.70629
111,111,2003,Saxony,Lower Secondary Level,Never,1.0,74,19266,0.88763,1.09909
112,112,2003,Saxony,Upper Secondary Level,Sometimes,0.0996,77,19266,0.0837,0.11892
113,113,2003,Saxony,Upper Secondary Level,Seldom,0.25391,229,19266,0.23009,0.27902
114,114,2003,Saxony,Upper Secondary Level,Never,0.64649,553,19266,0.61578,0.67626
115,115,2003,Saxony,First Stage of Tertiary Education,Seldom,0.29403,41,19266,0.23364,0.35802
116,116,2003,Saxony,First Stage of Tertiary Education,Never,0.70597,80,19266,0.61817,0.81278
117,117,2003,Saxony,Second Stage of Tertiary Education,Sometimes,0.13582,45,19266,0.10451,0.16731
118,118,2003,Saxony,Second Stage of Tertiary Education,Seldom,0.34075,120,19266,0.28798,0.40155
119,119,2003,Saxony,Second Stage of Tertiary Education,Never,0.52343,201,19266,0.47351,0.57564
120,120,2003,Saxony-Anhalt,Lower Secondary Level,Never,1.0,46,19266,0.86977,1.1521
121,121,2003,Saxony-Anhalt,Upper Secondary Level,Sometimes,0.10219,52,19266,0.08507,0.12372
122,122,2003,Saxony-Anhalt,Upper Secondary Level,Seldom,0.25504,120,19266,0.22328,0.28784
123,123,2003,Saxony-Anhalt,Upper Secondary Level,Never,0.64277,279,19266,0.60137,0.69488
124,124,2003,Saxony-Anhalt,First Stage of Tertiary Education,Never,1.0,59,19266,0.85477,1.15614
125,125,2003,Saxony-Anhalt,Second Stage of Tertiary Education,Seldom,0.36292,75,19266,0.2945,0.42858
126,126,2003,Saxony-Anhalt,Second Stage of Tertiary Education,Never,0.63708,132,19266,0.55293,0.71477
127,127,2003,Thuringa,Lower Secondary Level,Never,1.0,31,19266,0.85484,1.17324
128,128,2003,Thuringa,Upper Secondary Level,Sometimes,0.08841,51,19266,0.06715,0.11252
129,129,2003,Thuringa,Upper Secondary Level,Seldom,0.26707,165,19266,0.22968,0.29837
130,130,2003,Thuringa,Upper Secondary Level,Never,0.64452,353,19266,0.59418,0.68158
131,131,2003,Thuringa,First Stage of Tertiary Education,Never,1.0,53,19266,0.77943,1.21696
132,132,2003,Thuringa,Second Stage of Tertiary Education,Seldom,0.40902,68,19266,0.31272,0.51496
133,133,2003,Thuringa,Second Stage of Tertiary Education,Never,0.59098,96,19266,0.49276,0.71739
134,134,2008,Schleswig-Holstein,Upper Secondary Level,Seldom,0.4231,96,16632,0.3665,0.47833
135,135,2008,Schleswig-Holstein,Upper Secondary Level,Never,0.5769,165,16632,0.52154,0.64284
136,136,2008,Schleswig-Holstein,Second Stage of Tertiary Education,Seldom,0.52977,39,16632,0.36523,0.69962
137,137,2008,Schleswig-Holstein,Second Stage of Tertiary Education,Never,0.47023,36,16632,0.32532,0.63303
138,138,2008,Hamburg,Upper Secondary Level,Seldom,0.34898,36,16632,0.27473,0.44353
139,139,2008,Hamburg,Upper Secondary Level,Never,0.65102,61,16632,0.53948,0.74173
140,140,2008,Hamburg,Second Stage of Tertiary Education,Never,1.0,33,16632,0.70798,1.29629
141,141,2008,Lower Saxony,Lower Secondary Level,Seldom,0.33436,52,16632,0.27286,0.41024
142,142,2008,Lower Saxony,Lower Secondary Level,Never,0.66564,123,16632,0.60074,0.75538
143,143,2008,Lower Saxony,Upper Secondary Level,Sometimes,0.11427,95,16632,0.09757,0.13508
144,144,2008,Lower Saxony,Upper Secondary Level,Seldom,0.27214,251,16632,0.24366,0.30172
145,145,2008,Lower Saxony,Upper Secondary Level,Never,0.6136,556,16632,0.58444,0.64589
146,146,2008,Lower Saxony,Post-secondary Non-tertiary Level,Seldom,0.50192,39,16632,0.3729,0.65655
147,147,2008,Lower Saxony,Post-secondary Non-tertiary Level,Never,0.49808,54,16632,0.39989,0.6215
148,148,2008,Lower Saxony,First Stage of Tertiary Education,Seldom,0.48615,43,16632,0.3453,0.60579
149,149,2008,Lower Saxony,First Stage of Tertiary Education,Never,0.51385,54,16632,0.40876,0.61135
150,150,2008,Lower Saxony,Second Stage of Tertiary Education,Sometimes,0.14121,41,16632,0.1003,0.19211
151,151,2008,Lower Saxony,Second Stage of Tertiary Education,Seldom,0.38036,112,16632,0.31421,0.44099
152,152,2008,Lower Saxony,Second Stage of Tertiary Education,Never,0.47843,150,16632,0.41528,0.55259
153,153,2008,Bremen,Upper Secondary Level,Never,1.0,35,16632,0.77896,1.19643
154,154,2008,North Rhine-Westphalia,Primary Level,Never,1.0,38,16632,0.75403,1.2659
155,155,2008,North Rhine-Westphalia,Lower Secondary Level,Sometimes,0.14777,69,16632,0.12799,0.17043
156,156,2008,North Rhine-Westphalia,Lower Secondary Level,Seldom,0.20598,94,16632,0.17418,0.2376
157,157,2008,North Rhine-Westphalia,Lower Secondary Level,Never,0.64625,289,16632,0.5982,0.69632
158,158,2008,North Rhine-Westphalia,Upper Secondary Level,Often,0.0267,41,16632,0.0213,0.03365
159,159,2008,North Rhine-Westphalia,Upper Secondary Level,Sometimes,0.11743,208,16632,0.10511,0.13116
160,160,2008,North Rhine-Westphalia,Upper Secondary Level,Seldom,0.25403,508,16632,0.23596,0.26946
161,161,2008,North Rhine-Westphalia,Upper Secondary Level,Never,0.60184,1131,16632,0.58002,0.6295
162,162,2008,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Sometimes,0.18038,45,16632,0.13944,0.22862
163,163,2008,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Seldom,0.3441,102,16632,0.28269,0.40347
164,164,2008,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Never,0.47551,140,16632,0.40943,0.54037
165,165,2008,North Rhine-Westphalia,First Stage of Tertiary Education,Seldom,0.43493,101,16632,0.34469,0.53301
166,166,2008,North Rhine-Westphalia,First Stage of Tertiary Education,Never,0.56507,139,16632,0.4863,0.63657
167,167,2008,North Rhine-Westphalia,Second Stage of Tertiary Education,Sometimes,0.137,90,16632,0.11381,0.16882
168,168,2008,North Rhine-Westphalia,Second Stage of Tertiary Education,Seldom,0.39189,295,16632,0.33557,0.44355
169,169,2008,North Rhine-Westphalia,Second Stage of Tertiary Education,Never,0.47111,383,16632,0.4199,0.52005
170,170,2008,Hesse,Lower Secondary Level,Never,1.0,82,16632,0.87233,1.15093
171,171,2008,Hesse,Upper Secondary Level,Sometimes,0.1401,72,16632,0.11261,0.16575
172,172,2008,Hesse,Upper Secondary Level,Seldom,0.32476,176,16632,0.28713,0.36556
173,173,2008,Hesse,Upper Secondary Level,Never,0.53514,354,16632,0.49954,0.57876
174,174,2008,Hesse,Post-secondary Non-tertiary Level,Seldom,0.48314,33,16632,0.35671,0.64183
175,175,2008,Hesse,Post-secondary Non-tertiary Level,Never,0.51686,41,16632,0.40931,0.65622
176,176,2008,Hesse,First Stage of Tertiary Education,Seldom,0.44093,35,16632,0.31131,0.57992
177,177,2008,Hesse,First Stage of Tertiary Education,Never,0.55907,36,16632,0.44652,0.68865
178,178,2008,Hesse,Second Stage of Tertiary Education,Sometimes,0.16506,54,16632,0.1214,0.20656
179,179,2008,Hesse,Second Stage of Tertiary Education,Seldom,0.41041,137,16632,0.36023,0.47816
180,180,2008,Hesse,Second Stage of Tertiary Education,Never,0.42453,126,16632,0.35477,0.50243
181,181,2008,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Seldom,0.2195,31,16632,0.16226,0.27599
182,182,2008,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Never,0.7805,100,16632,0.69583,0.89109
183,183,2008,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Sometimes,0.08572,45,16632,0.06775,0.11541
184,184,2008,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Seldom,0.24636,126,16632,0.2149,0.27904
185,185,2008,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Never,0.66791,364,16632,0.61759,0.71273
186,186,2008,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Never,1.0,55,16632,0.82817,1.21478
187,187,2008,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Seldom,0.43533,53,16632,0.3368,0.56609
188,188,2008,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Never,0.56467,89,16632,0.46807,0.69079
189,189,2008,Baden-Wuerttemberg,Lower Secondary Level,Sometimes,0.13528,43,16632,0.09947,0.17827
190,190,2008,Baden-Wuerttemberg,Lower Secondary Level,Seldom,0.26207,92,16632,0.21737,0.30749
191,191,2008,Baden-Wuerttemberg,Lower Secondary Level,Never,0.60265,159,16632,0.5361,0.68433
192,192,2008,Baden-Wuerttemberg,Upper Secondary Level,Sometimes,0.12057,139,16632,0.10078,0.14086
193,193,2008,Baden-Wuerttemberg,Upper Secondary Level,Seldom,0.31694,387,16632,0.28904,0.34723
194,194,2008,Baden-Wuerttemberg,Upper Secondary Level,Never,0.56249,577,16632,0.52572,0.59826
195,195,2008,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Seldom,0.54614,57,16632,0.42724,0.68222
196,196,2008,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Never,0.45386,68,16632,0.37189,0.5367
197,197,2008,Baden-Wuerttemberg,First Stage of Tertiary Education,Seldom,0.49066,77,16632,0.38545,0.60429
198,198,2008,Baden-Wuerttemberg,First Stage of Tertiary Education,Never,0.50934,76,16632,0.42126,0.59833
199,199,2008,Baden-Wuerttemberg,Second Stage of Tertiary Education,Sometimes,0.17847,78,16632,0.14098,0.21699
200,200,2008,Baden-Wuerttemberg,Second Stage of Tertiary Education,Seldom,0.40766,170,16632,0.35442,0.47075
201,201,2008,Baden-Wuerttemberg,Second Stage of Tertiary Education,Never,0.41387,201,16632,0.358,0.47319
202,202,2008,Bavaria,Lower Secondary Level,Sometimes,0.12205,37,16632,0.08903,0.15607
203,203,2008,Bavaria,Lower Secondary Level,Seldom,0.24746,74,16632,0.20072,0.30276
204,204,2008,Bavaria,Lower Secondary Level,Never,0.63048,179,16632,0.56881,0.7006
205,205,2008,Bavaria,Upper Secondary Level,Sometimes,0.11275,167,16632,0.09798,0.12769
206,206,2008,Bavaria,Upper Secondary Level,Seldom,0.32647,484,16632,0.30166,0.35171
207,207,2008,Bavaria,Upper Secondary Level,Never,0.56078,759,16632,0.53323,0.58957
208,208,2008,Bavaria,Post-secondary Non-tertiary Level,Seldom,0.43853,53,16632,0.33553,0.55977
209,209,2008,Bavaria,Post-secondary Non-tertiary Level,Never,0.56147,55,16632,0.46246,0.66824
210,210,2008,Bavaria,First Stage of Tertiary Education,Seldom,0.35485,75,16632,0.29825,0.4104
211,211,2008,Bavaria,First Stage of Tertiary Education,Never,0.64515,116,16632,0.55686,0.74046
212,212,2008,Bavaria,Second Stage of Tertiary Education,Sometimes,0.13502,70,16632,0.11052,0.16026
213,213,2008,Bavaria,Second Stage of Tertiary Education,Seldom,0.43872,227,16632,0.38461,0.49006
214,214,2008,Bavaria,Second Stage of Tertiary Education,Never,0.42626,238,16632,0.36973,0.47777
215,215,2008,Berlin,Upper Secondary Level,Sometimes,0.15208,39,16632,0.11944,0.18881
216,216,2008,Berlin,Upper Secondary Level,Seldom,0.37093,100,16632,0.32165,0.42959
217,217,2008,Berlin,Upper Secondary Level,Never,0.47698,134,16632,0.4255,0.53378
218,218,2008,Berlin,Second Stage of Tertiary Education,Sometimes,0.12908,39,16632,0.1004,0.16174
219,219,2008,Berlin,Second Stage of Tertiary Education,Seldom,0.44197,105,16632,0.36629,0.51584
220,220,2008,Berlin,Second Stage of Tertiary Education,Never,0.42895,105,16632,0.36629,0.50128
221,221,2008,Brandenburg,Lower Secondary Level,Never,1.0,36,16632,0.79291,1.27901
222,222,2008,Brandenburg,Upper Secondary Level,Sometimes,0.10359,39,16632,0.08387,0.12454
223,223,2008,Brandenburg,Upper Secondary Level,Seldom,0.36969,122,16632,0.31396,0.43167
224,224,2008,Brandenburg,Upper Secondary Level,Never,0.52671,230,16632,0.47422,0.57196
225,225,2008,Brandenburg,First Stage of Tertiary Education,Never,1.0,41,16632,0.76204,1.30349
226,226,2008,Brandenburg,Second Stage of Tertiary Education,Seldom,0.39128,83,16632,0.30795,0.47426
227,227,2008,Brandenburg,Second Stage of Tertiary Education,Never,0.60872,136,16632,0.5267,0.70356
228,228,2008,Mecklenburg-Western Pomerania,Upper Secondary Level,Seldom,0.24999,60,16632,0.20876,0.3055
229,229,2008,Mecklenburg-Western Pomerania,Upper Secondary Level,Never,0.75001,154,16632,0.65849,0.85685
230,230,2008,Mecklenburg-Western Pomerania,First Stage of Tertiary Education,Never,1.0,32,16632,0.78446,1.24206
231,231,2008,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Seldom,0.3206,50,16632,0.2441,0.40141
232,232,2008,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Never,0.6794,78,16632,0.56098,0.80474
233,233,2008,Saxony,Lower Secondary Level,Never,1.0,43,16632,0.79163,1.23799
234,234,2008,Saxony,Upper Secondary Level,Sometimes,0.11658,78,16632,0.09034,0.14279
235,235,2008,Saxony,Upper Secondary Level,Seldom,0.29275,210,16632,0.26397,0.32759
236,236,2008,Saxony,Upper Secondary Level,Never,0.59066,466,16632,0.54552,0.63927
237,237,2008,Saxony,First Stage of Tertiary Education,Seldom,0.3664,33,16632,0.25287,0.48763
238,238,2008,Saxony,First Stage of Tertiary Education,Never,0.6336,80,16632,0.52383,0.76066
239,239,2008,Saxony,Second Stage of Tertiary Education,Seldom,0.44367,135,16632,0.37832,0.52307
240,240,2008,Saxony,Second Stage of Tertiary Education,Never,0.55633,197,16632,0.49179,0.62238
241,241,2008,Saxony-Anhalt,Upper Secondary Level,Sometimes,0.10809,38,16632,0.07359,0.15081
242,242,2008,Saxony-Anhalt,Upper Secondary Level,Seldom,0.24679,113,16632,0.21009,0.29022
243,243,2008,Saxony-Anhalt,Upper Secondary Level,Never,0.64512,258,16632,0.57899,0.71778
244,244,2008,Saxony-Anhalt,First Stage of Tertiary Education,Never,1.0,41,16632,0.74852,1.23694
245,245,2008,Saxony-Anhalt,Second Stage of Tertiary Education,Seldom,0.38459,71,16632,0.31961,0.46895
246,246,2008,Saxony-Anhalt,Second Stage of Tertiary Education,Never,0.61541,110,16632,0.51001,0.70507
247,247,2008,Thuringa,Lower Secondary Level,Never,1.0,35,16632,0.8074,1.25917
248,248,2008,Thuringa,Upper Secondary Level,Sometimes,0.05361,37,16632,0.03625,0.07669
249,249,2008,Thuringa,Upper Secondary Level,Seldom,0.33154,146,16632,0.26647,0.39346
250,250,2008,Thuringa,Upper Secondary Level,Never,0.61485,328,16632,0.574,0.67
251,251,2008,Thuringa,First Stage of Tertiary Education,Never,1.0,42,16632,0.79112,1.29459
252,252,2008,Thuringa,Second Stage of Tertiary Education,Seldom,0.37984,66,16632,0.30209,0.46077
253,253,2008,Thuringa,Second Stage of Tertiary Education,Never,0.62016,111,16632,0.52615,0.7172
254,254,2013,Schleswig-Holstein,Lower Secondary Level,Never,1.0,53,22542,0.73781,1.28917
255,255,2013,Schleswig-Holstein,Upper Secondary Level,Sometimes,0.12624,65,22542,0.09738,0.15501
256,256,2013,Schleswig-Holstein,Upper Secondary Level,Seldom,0.32794,143,22542,0.27973,0.37577
257,257,2013,Schleswig-Holstein,Upper Secondary Level,Never,0.54582,248,22542,0.47996,0.62686
258,258,2013,Schleswig-Holstein,Post-secondary Non-tertiary Level,Seldom,0.57328,40,22542,0.37536,0.86253
259,259,2013,Schleswig-Holstein,Post-secondary Non-tertiary Level,Never,0.42672,32,22542,0.26948,0.66653
260,260,2013,Schleswig-Holstein,Second Stage of Tertiary Education,Seldom,0.48951,59,22542,0.33936,0.66467
261,261,2013,Schleswig-Holstein,Second Stage of Tertiary Education,Never,0.51049,68,22542,0.37685,0.69267
262,262,2013,Hamburg,Upper Secondary Level,Seldom,0.33607,49,22542,0.23897,0.46104
263,263,2013,Hamburg,Upper Secondary Level,Never,0.66393,86,22542,0.53567,0.8056
264,264,2013,Hamburg,Second Stage of Tertiary Education,Seldom,0.58995,50,22542,0.41368,0.84695
