year,bula_h,pld0044,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2008,Berlin,Sometimes,0.13602,116,687,0.11037,0.16168
2008,Berlin,Seldom,0.30923,261,687,0.27464,0.34382
2008,Berlin,Never,0.37730,310,687,0.34103,0.41357
2008,Brandenburg,Sometimes,0.07421,76,799,0.05602,0.09239
2008,Brandenburg,Seldom,0.30645,261,799,0.27447,0.33844
2008,Brandenburg,Never,0.45792,462,799,0.42335,0.49249
2008,Mecklenburg-Western Pomerania,Sometimes,0.07519,43,480,0.05158,0.09881
2008,Mecklenburg-Western Pomerania,Seldom,0.22236,137,480,0.18512,0.25960
2008,Mecklenburg-Western Pomerania,Never,0.56701,300,480,0.52264,0.61138
2008,Saxony,Sometimes,0.08453,133,1398,0.06994,0.09911
2008,Saxony,Seldom,0.27865,434,1398,0.25514,0.30216
2008,Saxony,Never,0.47978,831,1398,0.45358,0.50598
2008,Saxony-Anhalt,Sometimes,0.10471,82,799,0.08347,0.12596
2008,Saxony-Anhalt,Seldom,0.23146,241,799,0.20220,0.26073
2008,Saxony-Anhalt,Never,0.51518,476,799,0.48050,0.54986
2008,Thuringa,Sometimes,0.05528,63,860,0.04000,0.07057
2008,Thuringa,Seldom,0.28024,263,860,0.25021,0.31027
2008,Thuringa,Never,0.52306,534,860,0.48966,0.55646
2013,Schleswig-Holstein,Sometimes,0.09478,123,869,0.07529,0.11426
2013,Schleswig-Holstein,Seldom,0.27621,310,869,0.24647,0.30596
2013,Schleswig-Holstein,Never,0.37983,436,869,0.34754,0.41212
2013,Hamburg,Sometimes,0.13262,75,383,0.09860,0.16663
2013,Hamburg,Seldom,0.24537,132,383,0.20222,0.28852
2013,Hamburg,Never,0.33040,176,383,0.28323,0.37757
2013,Lower Saxony,Often,0.02226,75,2439,0.01640,0.02811
2013,Lower Saxony,Sometimes,0.08332,282,2439,0.07235,0.09429
2013,Lower Saxony,Seldom,0.24588,760,2439,0.22879,0.26298
2013,Lower Saxony,Never,0.41716,1322,2439,0.39759,0.43674
2013,Bremen,Sometimes,0.09868,34,177,0.05462,0.14274
2013,Bremen,Seldom,0.23249,59,177,0.17008,0.29490
2013,Bremen,Never,0.39244,84,177,0.32030,0.46458
2013,North Rhine-Westphalia,Often,0.02790,192,5073,0.02337,0.03244
2013,North Rhine-Westphalia,Sometimes,0.10116,715,5073,0.09286,0.10946
2013,North Rhine-Westphalia,Seldom,0.20959,1487,5073,0.19839,0.22079
2013,North Rhine-Westphalia,Never,0.39551,2679,5073,0.38205,0.40896
2013,Hesse,Often,0.01631,53,1727,0.01033,0.02228
2013,Hesse,Sometimes,0.09118,254,1727,0.07760,0.10476
2013,Hesse,Seldom,0.25319,599,1727,0.23268,0.27371
2013,Hesse,Never,0.36708,821,1727,0.34434,0.38982
2013,"Rhineland-Palatinate, Saarland",Often,0.02292,38,1369,0.01499,0.03085
2013,"Rhineland-Palatinate, Saarland",Sometimes,0.10564,175,1369,0.08935,0.12193
2013,"Rhineland-Palatinate, Saarland",Seldom,0.20921,383,1369,0.18765,0.23076
2013,"Rhineland-Palatinate, Saarland",Never,0.40263,773,1369,0.37664,0.42862
2013,Baden-Wuerttemberg,Often,0.02240,79,2988,0.01710,0.02771
2013,Baden-Wuerttemberg,Sometimes,0.08830,403,2988,0.07813,0.09848
2013,Baden-Wuerttemberg,Seldom,0.24958,1007,2988,0.23406,0.26510
2013,Baden-Wuerttemberg,Never,0.36203,1499,2988,0.34479,0.37926
2013,Bavaria,Often,0.01770,123,3997,0.01361,0.02179
2013,Bavaria,Sometimes,0.09924,523,3997,0.08997,0.10851
2013,Bavaria,Seldom,0.24410,1329,3997,0.23078,0.25742
2013,Bavaria,Never,0.39374,2022,3997,0.37859,0.40889
2013,Berlin,Often,0.01990,31,978,0.01114,0.02865
2013,Berlin,Sometimes,0.12155,170,978,0.10106,0.14204
2013,Berlin,Seldom,0.28970,358,978,0.26126,0.31815
2013,Berlin,Never,0.33920,419,978,0.30951,0.36888
2013,Brandenburg,Sometimes,0.07161,96,996,0.05559,0.08764
2013,Brandenburg,Seldom,0.25057,304,996,0.22365,0.27750
2013,Brandenburg,Never,0.48392,596,996,0.45287,0.51497
2013,Mecklenburg-Western Pomerania,Sometimes,0.07874,52,567,0.05655,0.10093
2013,Mecklenburg-Western Pomerania,Seldom,0.20032,151,567,0.16735,0.23330
2013,Mecklenburg-Western Pomerania,Never,0.55367,364,567,0.51272,0.59463
2013,Saxony,Sometimes,0.07710,158,1682,0.06435,0.08986
2013,Saxony,Seldom,0.26489,493,1682,0.24379,0.28598
2013,Saxony,Never,0.49734,1031,1682,0.47344,0.52125
2013,Saxony-Anhalt,Sometimes,0.06145,84,940,0.04609,0.07681
2013,Saxony-Anhalt,Seldom,0.21135,256,940,0.18523,0.23746
2013,Saxony-Anhalt,Never,0.54519,600,940,0.51334,0.57704
2013,Thuringa,Sometimes,0.07530,67,971,0.05869,0.09191
2013,Thuringa,Seldom,0.24924,284,971,0.22202,0.27646
2013,Thuringa,Never,0.51183,620,971,0.48037,0.54329
2018,Schleswig-Holstein,Often,0.03156,39,914,0.02022,0.04291
2018,Schleswig-Holstein,Sometimes,0.12373,141,914,0.10237,0.14509
2018,Schleswig-Holstein,Seldom,0.32406,351,914,0.29370,0.35442
2018,Schleswig-Holstein,Never,0.32836,383,914,0.29790,0.35883
2018,Hamburg,Sometimes,0.14975,105,448,0.11667,0.18283
2018,Hamburg,Seldom,0.27769,152,448,0.23617,0.31921
2018,Hamburg,Never,0.30196,191,448,0.25940,0.34452
2018,Lower Saxony,Often,0.02928,108,2496,0.02267,0.03590
2018,Lower Saxony,Sometimes,0.12319,440,2496,0.11029,0.13609
2018,Lower Saxony,Seldom,0.27679,854,2496,0.25923,0.29435
2018,Lower Saxony,Never,0.40058,1094,2496,0.38135,0.41981
2018,Bremen,Sometimes,0.11132,42,211,0.06878,0.15387
2018,Bremen,Seldom,0.35040,91,211,0.28588,0.41493
2018,Bremen,Never,0.31648,78,211,0.25357,0.37938
2018,North Rhine-Westphalia,Very often,0.00648,58,5389,0.00433,0.00862
2018,North Rhine-Westphalia,Often,0.04257,255,5389,0.03718,0.04796
2018,North Rhine-Westphalia,Sometimes,0.15875,1031,5389,0.14899,0.16851
2018,North Rhine-Westphalia,Seldom,0.26241,1732,5389,0.25066,0.27416
2018,North Rhine-Westphalia,Never,0.36995,2313,5389,0.35706,0.38284
2018,Hesse,Often,0.03907,93,1676,0.02979,0.04835
2018,Hesse,Sometimes,0.17106,336,1676,0.15303,0.18910
2018,Hesse,Seldom,0.29337,614,1676,0.27156,0.31517
2018,Hesse,Never,0.32296,633,1676,0.30056,0.34535
2018,"Rhineland-Palatinate, Saarland",Often,0.03066,61,1460,0.02181,0.03950
2018,"Rhineland-Palatinate, Saarland",Sometimes,0.14468,250,1460,0.12663,0.16274
2018,"Rhineland-Palatinate, Saarland",Seldom,0.25717,462,1460,0.23474,0.27959
2018,"Rhineland-Palatinate, Saarland",Never,0.38148,687,1460,0.35655,0.40640
2018,Baden-Wuerttemberg,Often,0.04142,132,2764,0.03399,0.04886
2018,Baden-Wuerttemberg,Sometimes,0.13856,475,2764,0.12568,0.15144
2018,Baden-Wuerttemberg,Seldom,0.27415,927,2764,0.25751,0.29078
2018,Baden-Wuerttemberg,Never,0.36994,1230,2764,0.35194,0.38794
2018,Bavaria,Often,0.03610,167,3947,0.03028,0.04192
2018,Bavaria,Sometimes,0.15054,692,3947,0.13939,0.16170
2018,Bavaria,Seldom,0.26057,1335,3947,0.24688,0.27427
2018,Bavaria,Never,0.38629,1753,3947,0.37110,0.40148
2018,Berlin,Often,0.05993,65,989,0.04513,0.07473
2018,Berlin,Sometimes,0.18861,222,989,0.16422,0.21301
2018,Berlin,Seldom,0.29361,361,989,0.26521,0.32201
2018,Berlin,Never,0.30231,341,989,0.27368,0.33095
2018,Brandenburg,Sometimes,0.09123,114,1001,0.07339,0.10908
2018,Brandenburg,Seldom,0.25366,289,1001,0.22670,0.28063
2018,Brandenburg,Never,0.44808,598,1001,0.41726,0.47891
2018,Mecklenburg-Western Pomerania,Sometimes,0.10041,73,585,0.07604,0.12479
2018,Mecklenburg-Western Pomerania,Seldom,0.21436,157,585,0.18108,0.24764
2018,Mecklenburg-Western Pomerania,Never,0.49822,355,585,0.45766,0.53877
2018,Saxony,Often,0.02020,36,1613,0.01334,0.02707
2018,Saxony,Sometimes,0.10226,195,1613,0.08747,0.11705
2018,Saxony,Seldom,0.28425,499,1613,0.26224,0.30627
2018,Saxony,Never,0.43908,883,1613,0.41486,0.46331
2018,Saxony-Anhalt,Sometimes,0.10675,102,876,0.08629,0.12721
2018,Saxony-Anhalt,Seldom,0.22972,272,876,0.20185,0.25759
2018,Saxony-Anhalt,Never,0.46298,502,876,0.42994,0.49602
2018,Thuringa,Sometimes,0.10817,118,906,0.08794,0.12841
2018,Thuringa,Seldom,0.22275,255,906,0.19564,0.24986
2018,Thuringa,Never,0.48638,533,906,0.45382,0.51895
