"pgstib","year","bula_h","n","percent","lower_confidence","upper_confidence"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","Saarland","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","Berlin","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","Brandenburg","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","Mecklenburg-Vorpommern","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","Sachsen","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","Sachsen-Anhalt","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1984","Thueringen","","","",""
"NE: arbeitslos gemeldet","1984","Schleswig-Holstein","","","",""
"NE: arbeitslos gemeldet","1984","Hamburg","","","",""
"NE: arbeitslos gemeldet","1984","Niedersachsen","49","0.0334181931835897","0.0233945545091534","0.0434418318580261"
"NE: arbeitslos gemeldet","1984","Bremen","","","",""
"NE: arbeitslos gemeldet","1984","Nordrhein-Westfalen","134","0.0344625397997276","0.0282122572884935","0.0407128223109617"
"NE: arbeitslos gemeldet","1984","Hessen","52","0.0264776458768191","0.0175701947694253","0.0353850969842128"
"NE: arbeitslos gemeldet","1984","Rheinland-Pfalz,Saarland","","","",""
"NE: arbeitslos gemeldet","1984","Baden-Wuerttemberg","49","0.0141190746600652","0.00926241488996994","0.0189757344301605"
"NE: arbeitslos gemeldet","1984","Bayern","73","0.0278627155548607","0.0208303612395154","0.0348950698702059"
"NE: arbeitslos gemeldet","1984","Saarland","","","",""
"NE: arbeitslos gemeldet","1984","Berlin","","","",""
"NE: arbeitslos gemeldet","1984","Brandenburg","","","",""
"NE: arbeitslos gemeldet","1984","Mecklenburg-Vorpommern","","","",""
"NE: arbeitslos gemeldet","1984","Sachsen","","","",""
"NE: arbeitslos gemeldet","1984","Sachsen-Anhalt","","","",""
"NE: arbeitslos gemeldet","1984","Thueringen","","","",""
"NE: Rentner/Rentnerin","1984","Schleswig-Holstein","61","0.212017372374816","0.17129466403631","0.252740080713323"
"NE: Rentner/Rentnerin","1984","Hamburg","63","0.319435129082103","0.267615536037764","0.371254722126442"
"NE: Rentner/Rentnerin","1984","Niedersachsen","209","0.239927359970038","0.216110634551897","0.26374408538818"
"NE: Rentner/Rentnerin","1984","Bremen","45","0.473075356576777","0.388223433733572","0.557927279419982"
"NE: Rentner/Rentnerin","1984","Nordrhein-Westfalen","412","0.206099372524629","0.192239384631985","0.219959360417273"
"NE: Rentner/Rentnerin","1984","Hessen","176","0.235434293970258","0.211895561809925","0.258973026130591"
"NE: Rentner/Rentnerin","1984","Rheinland-Pfalz,Saarland","150","0.232853763743531","0.204507236152229","0.261200291334832"
"NE: Rentner/Rentnerin","1984","Baden-Wuerttemberg","288","0.219843570523445","0.202795703018872","0.236891438028019"
"NE: Rentner/Rentnerin","1984","Bayern","302","0.211568655053765","0.194117152433477","0.229020157674053"
"NE: Rentner/Rentnerin","1984","Saarland","","","",""
"NE: Rentner/Rentnerin","1984","Berlin","70","0.281429906756697","0.238006971668672","0.324852841844722"
"NE: Rentner/Rentnerin","1984","Brandenburg","","","",""
"NE: Rentner/Rentnerin","1984","Mecklenburg-Vorpommern","","","",""
"NE: Rentner/Rentnerin","1984","Sachsen","","","",""
"NE: Rentner/Rentnerin","1984","Sachsen-Anhalt","","","",""
"NE: Rentner/Rentnerin","1984","Thueringen","","","",""
"NE: Wehr- und Zivildienst","1984","Schleswig-Holstein","","","",""
"NE: Wehr- und Zivildienst","1984","Hamburg","","","",""
"NE: Wehr- und Zivildienst","1984","Niedersachsen","","","",""
"NE: Wehr- und Zivildienst","1984","Bremen","","","",""
"NE: Wehr- und Zivildienst","1984","Nordrhein-Westfalen","","","",""
"NE: Wehr- und Zivildienst","1984","Hessen","","","",""
"NE: Wehr- und Zivildienst","1984","Rheinland-Pfalz,Saarland","","","",""
"NE: Wehr- und Zivildienst","1984","Baden-Wuerttemberg","","","",""
"NE: Wehr- und Zivildienst","1984","Bayern","","","",""
"NE: Wehr- und Zivildienst","1984","Saarland","","","",""
"NE: Wehr- und Zivildienst","1984","Berlin","","","",""
"NE: Wehr- und Zivildienst","1984","Brandenburg","","","",""
"NE: Wehr- und Zivildienst","1984","Mecklenburg-Vorpommern","","","",""
"NE: Wehr- und Zivildienst","1984","Sachsen","","","",""
"NE: Wehr- und Zivildienst","1984","Sachsen-Anhalt","","","",""
"NE: Wehr- und Zivildienst","1984","Thueringen","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","Schleswig-Holstein","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","Hamburg","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","Niedersachsen","50","0.0399619814317168","0.0290379652441108","0.0508859976193229"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","Bremen","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","Nordrhein-Westfalen","96","0.0255656150593024","0.0201575007004769","0.0309737294181278"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","Hessen","47","0.0351930174965412","0.0249697606979372","0.0454162742951451"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","Rheinland-Pfalz,Saarland","37","0.0420251921623124","0.0285681053561008","0.0554822789685239"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","Baden-Wuerttemberg","71","0.0288208581289455","0.0219339314714625","0.0357077847864285"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","Bayern","77","0.0340056983626165","0.0262612880490163","0.0417501086762166"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","Saarland","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","Berlin","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","Brandenburg","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","Mecklenburg-Vorpommern","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","Sachsen","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","Sachsen-Anhalt","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","Thueringen","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","Schleswig-Holstein","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","Hamburg","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","Niedersachsen","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","Bremen","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","Nordrhein-Westfalen","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","Hessen","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","Rheinland-Pfalz,Saarland","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","Baden-Wuerttemberg","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","Bayern","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","Saarland","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","Berlin","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","Brandenburg","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","Mecklenburg-Vorpommern","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","Sachsen","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","Sachsen-Anhalt","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","Thueringen","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","Schleswig-Holstein","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","Hamburg","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","Niedersachsen","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","Bremen","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","Nordrhein-Westfalen","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","Hessen","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","Rheinland-Pfalz,Saarland","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","Baden-Wuerttemberg","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","Bayern","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","Saarland","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","Berlin","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","Brandenburg","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","Mecklenburg-Vorpommern","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","Sachsen","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","Sachsen-Anhalt","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","Thueringen","","","",""
"Volontäre, Praktikanten","1984","Schleswig-Holstein","","","",""
"Volontäre, Praktikanten","1984","Hamburg","","","",""
"Volontäre, Praktikanten","1984","Niedersachsen","","","",""
"Volontäre, Praktikanten","1984","Bremen","","","",""
"Volontäre, Praktikanten","1984","Nordrhein-Westfalen","","","",""
"Volontäre, Praktikanten","1984","Hessen","","","",""
"Volontäre, Praktikanten","1984","Rheinland-Pfalz,Saarland","","","",""
"Volontäre, Praktikanten","1984","Baden-Wuerttemberg","","","",""
"Volontäre, Praktikanten","1984","Bayern","","","",""
"Volontäre, Praktikanten","1984","Saarland","","","",""
"Volontäre, Praktikanten","1984","Berlin","","","",""
"Volontäre, Praktikanten","1984","Brandenburg","","","",""
"Volontäre, Praktikanten","1984","Mecklenburg-Vorpommern","","","",""
"Volontäre, Praktikanten","1984","Sachsen","","","",""
"Volontäre, Praktikanten","1984","Sachsen-Anhalt","","","",""
"Volontäre, Praktikanten","1984","Thueringen","","","",""
"Aspiranten (1990 Ost)","1984","Schleswig-Holstein","","","",""
"Aspiranten (1990 Ost)","1984","Hamburg","","","",""
"Aspiranten (1990 Ost)","1984","Niedersachsen","","","",""
"Aspiranten (1990 Ost)","1984","Bremen","","","",""
"Aspiranten (1990 Ost)","1984","Nordrhein-Westfalen","","","",""
"Aspiranten (1990 Ost)","1984","Hessen","","","",""
"Aspiranten (1990 Ost)","1984","Rheinland-Pfalz,Saarland","","","",""
"Aspiranten (1990 Ost)","1984","Baden-Wuerttemberg","","","",""
"Aspiranten (1990 Ost)","1984","Bayern","","","",""
"Aspiranten (1990 Ost)","1984","Saarland","","","",""
"Aspiranten (1990 Ost)","1984","Berlin","","","",""
"Aspiranten (1990 Ost)","1984","Brandenburg","","","",""
"Aspiranten (1990 Ost)","1984","Mecklenburg-Vorpommern","","","",""
"Aspiranten (1990 Ost)","1984","Sachsen","","","",""
"Aspiranten (1990 Ost)","1984","Sachsen-Anhalt","","","",""
"Aspiranten (1990 Ost)","1984","Thueringen","","","",""
"ungelernter Arbeiter","1984","Schleswig-Holstein","","","",""
"ungelernter Arbeiter","1984","Hamburg","","","",""
"ungelernter Arbeiter","1984","Niedersachsen","45","0.0258273289339393","0.0169808116563923","0.0346738462114864"
"ungelernter Arbeiter","1984","Bremen","","","",""
"ungelernter Arbeiter","1984","Nordrhein-Westfalen","195","0.0301891216872227","0.0243262524478864","0.0360519909265591"
"ungelernter Arbeiter","1984","Hessen","94","0.040637369255328","0.0296828079581662","0.0515919305524899"
"ungelernter Arbeiter","1984","Rheinland-Pfalz,Saarland","34","0.0266714600019847","0.0158652779577388","0.0374776420462306"
"ungelernter Arbeiter","1984","Baden-Wuerttemberg","201","0.0477855049428198","0.0390046295381916","0.0565663803474479"
"ungelernter Arbeiter","1984","Bayern","96","0.0236375305062015","0.0171462285299644","0.0301288324824385"
"ungelernter Arbeiter","1984","Saarland","","","",""
"ungelernter Arbeiter","1984","Berlin","32","0.0516663917958087","0.0302924747052088","0.0730403088864086"
"ungelernter Arbeiter","1984","Brandenburg","","","",""
"ungelernter Arbeiter","1984","Mecklenburg-Vorpommern","","","",""
"ungelernter Arbeiter","1984","Sachsen","","","",""
"ungelernter Arbeiter","1984","Sachsen-Anhalt","","","",""
"ungelernter Arbeiter","1984","Thueringen","","","",""
"angelernter Arbeiter","1984","Schleswig-Holstein","","","",""
"angelernter Arbeiter","1984","Hamburg","","","",""
"angelernter Arbeiter","1984","Niedersachsen","107","0.0559642117139291","0.0431449198052827","0.0687835036225754"
"angelernter Arbeiter","1984","Bremen","","","",""
"angelernter Arbeiter","1984","Nordrhein-Westfalen","374","0.0744897948078362","0.0654931528215942","0.0834864367940782"
"angelernter Arbeiter","1984","Hessen","149","0.0747109933243836","0.0601237994579444","0.0892981871908228"
"angelernter Arbeiter","1984","Rheinland-Pfalz,Saarland","95","0.0726223724818454","0.0552170257497354","0.0900277192139554"
"angelernter Arbeiter","1984","Baden-Wuerttemberg","380","0.0932497892629097","0.0812799010908615","0.105219677434958"
"angelernter Arbeiter","1984","Bayern","254","0.0826792246765835","0.0709117293176604","0.0944467200355066"
"angelernter Arbeiter","1984","Saarland","","","",""
"angelernter Arbeiter","1984","Berlin","62","0.0941405891170227","0.0659425869788574","0.122338591255188"
"angelernter Arbeiter","1984","Brandenburg","","","",""
"angelernter Arbeiter","1984","Mecklenburg-Vorpommern","","","",""
"angelernter Arbeiter","1984","Sachsen","","","",""
"angelernter Arbeiter","1984","Sachsen-Anhalt","","","",""
"angelernter Arbeiter","1984","Thueringen","","","",""
"gelernte und Facharbeiter","1984","Schleswig-Holstein","36","0.0857339065466461","0.057840264588556","0.113627548504736"
"gelernte und Facharbeiter","1984","Hamburg","","","",""
"gelernte und Facharbeiter","1984","Niedersachsen","89","0.0705822158097076","0.0562976269339256","0.0848668046854896"
"gelernte und Facharbeiter","1984","Bremen","","","",""
"gelernte und Facharbeiter","1984","Nordrhein-Westfalen","245","0.0700823727007719","0.0613351923287994","0.0788295530727444"
"gelernte und Facharbeiter","1984","Hessen","96","0.0612228246590881","0.0479219947177184","0.0745236546004578"
"gelernte und Facharbeiter","1984","Rheinland-Pfalz,Saarland","81","0.0912084881360721","0.0718990820889227","0.110517894183221"
"gelernte und Facharbeiter","1984","Baden-Wuerttemberg","211","0.0844349401321374","0.0729896175883716","0.0958802626759031"
"gelernte und Facharbeiter","1984","Bayern","171","0.0719453160957495","0.060904192555333","0.082986439636166"
"gelernte und Facharbeiter","1984","Saarland","","","",""
"gelernte und Facharbeiter","1984","Berlin","32","0.0648407647009512","0.0410632570213035","0.0886182723805989"
"gelernte und Facharbeiter","1984","Brandenburg","","","",""
"gelernte und Facharbeiter","1984","Mecklenburg-Vorpommern","","","",""
"gelernte und Facharbeiter","1984","Sachsen","","","",""
"gelernte und Facharbeiter","1984","Sachsen-Anhalt","","","",""
"gelernte und Facharbeiter","1984","Thueringen","","","",""
"Vorarbeiter, Kolonnenführer","1984","Schleswig-Holstein","","","",""
"Vorarbeiter, Kolonnenführer","1984","Hamburg","","","",""
"Vorarbeiter, Kolonnenführer","1984","Niedersachsen","","","",""
"Vorarbeiter, Kolonnenführer","1984","Bremen","","","",""
"Vorarbeiter, Kolonnenführer","1984","Nordrhein-Westfalen","31","0.00933989190441113","0.00604398674640645","0.0126357970624158"
"Vorarbeiter, Kolonnenführer","1984","Hessen","","","",""
"Vorarbeiter, Kolonnenführer","1984","Rheinland-Pfalz,Saarland","","","",""
"Vorarbeiter, Kolonnenführer","1984","Baden-Wuerttemberg","31","0.013655568194447","0.00887816916199115","0.0184329672269029"
"Vorarbeiter, Kolonnenführer","1984","Bayern","","","",""
"Vorarbeiter, Kolonnenführer","1984","Saarland","","","",""
"Vorarbeiter, Kolonnenführer","1984","Berlin","","","",""
"Vorarbeiter, Kolonnenführer","1984","Brandenburg","","","",""
"Vorarbeiter, Kolonnenführer","1984","Mecklenburg-Vorpommern","","","",""
"Vorarbeiter, Kolonnenführer","1984","Sachsen","","","",""
"Vorarbeiter, Kolonnenführer","1984","Sachsen-Anhalt","","","",""
"Vorarbeiter, Kolonnenführer","1984","Thueringen","","","",""
"Meister, Polier","1984","Schleswig-Holstein","","","",""
"Meister, Polier","1984","Hamburg","","","",""
"Meister, Polier","1984","Niedersachsen","","","",""
"Meister, Polier","1984","Bremen","","","",""
"Meister, Polier","1984","Nordrhein-Westfalen","","","",""
"Meister, Polier","1984","Hessen","","","",""
"Meister, Polier","1984","Rheinland-Pfalz,Saarland","","","",""
"Meister, Polier","1984","Baden-Wuerttemberg","","","",""
"Meister, Polier","1984","Bayern","","","",""
"Meister, Polier","1984","Saarland","","","",""
"Meister, Polier","1984","Berlin","","","",""
"Meister, Polier","1984","Brandenburg","","","",""
"Meister, Polier","1984","Mecklenburg-Vorpommern","","","",""
"Meister, Polier","1984","Sachsen","","","",""
"Meister, Polier","1984","Sachsen-Anhalt","","","",""
"Meister, Polier","1984","Thueringen","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","Schleswig-Holstein","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","Hamburg","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","Niedersachsen","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","Bremen","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","Nordrhein-Westfalen","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","Hessen","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","Rheinland-Pfalz,Saarland","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","Baden-Wuerttemberg","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","Bayern","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","Saarland","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","Berlin","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","Brandenburg","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","Mecklenburg-Vorpommern","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","Sachsen","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","Sachsen-Anhalt","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","Thueringen","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","Schleswig-Holstein","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","Hamburg","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","Niedersachsen","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","Bremen","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","Nordrhein-Westfalen","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","Hessen","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","Rheinland-Pfalz,Saarland","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","Baden-Wuerttemberg","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","Bayern","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","Saarland","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","Berlin","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","Brandenburg","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","Mecklenburg-Vorpommern","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","Sachsen","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","Sachsen-Anhalt","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","Thueringen","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","Schleswig-Holstein","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","Hamburg","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","Niedersachsen","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","Bremen","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","Nordrhein-Westfalen","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","Hessen","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","Rheinland-Pfalz,Saarland","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","Baden-Wuerttemberg","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","Bayern","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","Saarland","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","Berlin","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","Brandenburg","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","Mecklenburg-Vorpommern","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","Sachsen","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","Sachsen-Anhalt","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","Thueringen","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","Schleswig-Holstein","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","Hamburg","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","Niedersachsen","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","Bremen","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","Nordrhein-Westfalen","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","Hessen","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","Rheinland-Pfalz,Saarland","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","Baden-Wuerttemberg","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","Bayern","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","Saarland","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","Berlin","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","Brandenburg","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","Mecklenburg-Vorpommern","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","Sachsen","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","Sachsen-Anhalt","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","Thueringen","","","",""
"selbständiger Landwirt","1984","Schleswig-Holstein","","","",""
"selbständiger Landwirt","1984","Hamburg","","","",""
"selbständiger Landwirt","1984","Niedersachsen","","","",""
"selbständiger Landwirt","1984","Bremen","","","",""
"selbständiger Landwirt","1984","Nordrhein-Westfalen","","","",""
"selbständiger Landwirt","1984","Hessen","","","",""
"selbständiger Landwirt","1984","Rheinland-Pfalz,Saarland","","","",""
"selbständiger Landwirt","1984","Baden-Wuerttemberg","","","",""
"selbständiger Landwirt","1984","Bayern","","","",""
"selbständiger Landwirt","1984","Saarland","","","",""
"selbständiger Landwirt","1984","Berlin","","","",""
"selbständiger Landwirt","1984","Brandenburg","","","",""
"selbständiger Landwirt","1984","Mecklenburg-Vorpommern","","","",""
"selbständiger Landwirt","1984","Sachsen","","","",""
"selbständiger Landwirt","1984","Sachsen-Anhalt","","","",""
"selbständiger Landwirt","1984","Thueringen","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","Schleswig-Holstein","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","Hamburg","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","Niedersachsen","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","Bremen","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","Nordrhein-Westfalen","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","Hessen","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","Rheinland-Pfalz,Saarland","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","Baden-Wuerttemberg","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","Bayern","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","Saarland","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","Berlin","","","",""
