"pgstib","year","n","percent","lower_confidence","upper_confidence"
"Angestellte, qualifizierte Tätigkeit","1984","1095","0.10172893636946","0.0963699192807909","0.107087953458129"
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1984","387","0.035453146845853","0.0321748502394961","0.0387314434522099"
"Angestellte, umfassende Führungsaufgaben","1984","61","0.00597879930997191","0.00461212825464148","0.00734547036530234"
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1984","","","",""
"Beamte, einfacher Dienst","1984","45","0.00409765396602015","0.00296516180838147","0.00523014612365883"
"Beamte, mittlerer Dienst","1984","164","0.0154065002258968","0.0132230682579204","0.0175899321938732"
"Beamte, gehobener Dienst","1984","164","0.0154152093202832","0.0132311699660192","0.0175992486745472"
"Beamte, höherer Dienst","1984","119","0.0108479157456093","0.00901153017317619","0.0126843013180425"
"nicht erwerbstätig (NE): keine weitere Angaben","1985","1728","0.13615194061031","0.129763064064741","0.142540817155879"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1985","697","0.059896430004521","0.0554758198471746","0.0643170401618673"
"NE: arbeitslos gemeldet","1985","509","0.039450277801605","0.0358238515028577","0.0430767041003523"
"NE: Rentner/Rentnerin","1985","1602","0.231171205245137","0.223317482127743","0.239024928362531"
"NE: Wehr- und Zivildienst","1985","39","0.00370830697533029","0.00257597182004558","0.00484064213061499"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1985","384","0.0334733845862028","0.0301225682828565","0.036824200889549"
"Auszubildende, gewerblich-technisch (ab 2000)","1985","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1985","","","",""
"Volontäre, Praktikanten","1985","","","",""
"Aspiranten (1990 Ost)","1985","","","",""
"ungelernter Arbeiter","1985","595","0.029853774199993","0.0266833883691223","0.0330241600308638"
"angelernter Arbeiter","1985","1179","0.0665428317313593","0.0618999060287204","0.0711857574339983"
"gelernte und Facharbeiter","1985","1033","0.0797333781491734","0.0746871043009964","0.0847796519973504"
"Vorarbeiter, Kolonnenführer","1985","128","0.0101913928885741","0.00832033905762822","0.0120624467195199"
"Meister, Polier","1985","43","0.00419972234435761","0.00299499072697465","0.00540445396174057"
"Arbeiter in der Landwirtschaft (1990 Ost)","1985","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1985","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1985","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1985","","","",""
"selbständiger Landwirt","1985","61","0.00670778449250336","0.00518716006130935","0.00822840892369736"
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1985","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1985","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1985","","","",""
"Freiberufler, Akademiker","1985","101","0.00976008311252366","0.00792865081093525","0.0115915154141121"
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1985","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1985","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1985","","","",""
"sonstige selbständiger","1985","280","0.0249600183076626","0.0220538045170056","0.0278662320983197"
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1985","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1985","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1985","35","0.00364330894712203","0.0025209046562799","0.00476571323796417"
"mithelfende Familienangehörige","1985","79","0.00669889014408987","0.00517926739799071","0.00821851289018904"
"Angestellte, Industrie- und Werkmeister","1985","65","0.00646841394475186","0.00497498818204002","0.0079618397074637"
"Angestellte, einfache Tätigkeit (bis 1990)","1985","544","0.050342771682064","0.0462694763674972","0.0544160669966308"
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1985","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1985","","","",""
"Angestellte, qualifizierte Tätigkeit","1985","1033","0.104142250878044","0.0984520590884982","0.10983244266759"
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1985","395","0.0385887772828716","0.035000557800303","0.0421769967654403"
"Angestellte, umfassende Führungsaufgaben","1985","53","0.00554784759907459","0.00416412796120447","0.00693156723694471"
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1985","","","",""
"Beamte, einfacher Dienst","1985","39","0.00391963032852694","0.00275560175089805","0.00508365890615584"
"Beamte, mittlerer Dienst","1985","164","0.0168605552124793","0.0144620680760948","0.0192590423488639"
"Beamte, gehobener Dienst","1985","163","0.0162822693681362","0.0139245798399563","0.0186399588963161"
"Beamte, höherer Dienst","1985","101","0.00971949922565342","0.00789184112428276","0.0115471573270241"
"nicht erwerbstätig (NE): keine weitere Angaben","1986","1628","0.135140613402858","0.128640992709051","0.141640234096666"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1986","688","0.0567560361033767","0.0523571738396556","0.0611548983670978"
"NE: arbeitslos gemeldet","1986","461","0.0364060897551666","0.0328452177837282","0.039966961726605"
"NE: Rentner/Rentnerin","1986","1529","0.234787293278129","0.226728858425627","0.24284572813063"
"NE: Wehr- und Zivildienst","1986","49","0.00515705892947835","0.00379529876203443","0.00651881909692227"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1986","393","0.0342313689715822","0.0307745948703004","0.0376881430728639"
"Auszubildende, gewerblich-technisch (ab 2000)","1986","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1986","","","",""
"Volontäre, Praktikanten","1986","","","",""
"Aspiranten (1990 Ost)","1986","","","",""
"ungelernter Arbeiter","1986","495","0.0244791433719667","0.0215412318960471","0.0274170548478863"
"angelernter Arbeiter","1986","1258","0.0736059347445869","0.0686414221546738","0.0785704473345001"
"gelernte und Facharbeiter","1986","965","0.0782340932400539","0.0731286827633294","0.0833395037167785"
"Vorarbeiter, Kolonnenführer","1986","112","0.0109315396852176","0.00895467855323749","0.0129084008171976"
"Meister, Polier","1986","48","0.00486127219759708","0.00353894447878222","0.00618359991641195"
"Arbeiter in der Landwirtschaft (1990 Ost)","1986","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1986","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1986","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1986","","","",""
"selbständiger Landwirt","1986","56","0.00646418542503762","0.00494058535312379","0.00798778549695145"
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1986","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1986","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1986","","","",""
"Freiberufler, Akademiker","1986","91","0.00887676703387678","0.00709351159394643","0.0106600224738071"
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1986","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1986","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1986","","","",""
"sonstige selbständiger","1986","290","0.0267727201201299","0.02370386981879","0.0298415704214697"
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1986","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1986","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1986","32","0.00351129399686333","0.00238670946530127","0.0046358785284254"
"mithelfende Familienangehörige","1986","64","0.00619559993940004","0.00470378669267918","0.0076874131861209"
"Angestellte, Industrie- und Werkmeister","1986","46","0.00487580327341728","0.00355151037958749","0.00620009616724706"
"Angestellte, einfache Tätigkeit (bis 1990)","1986","491","0.0469709894652132","0.0429485433679417","0.0509934355624847"
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1986","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1986","","","",""
"Angestellte, qualifizierte Tätigkeit","1986","1058","0.111640679791684","0.105653422992599","0.117627936590769"
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1986","347","0.0361034060771712","0.032556810819249","0.0396500013350934"
"Angestellte, umfassende Führungsaufgaben","1986","59","0.00587762394196092","0.00442436454218968","0.00733088334173216"
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1986","","","",""
"Beamte, einfacher Dienst","1986","33","0.00363021228086819","0.00248681118506862","0.00477361337666776"
"Beamte, mittlerer Dienst","1986","161","0.0173006061417932","0.01482168151559","0.0197795307679964"
"Beamte, gehobener Dienst","1986","151","0.0150649665414189","0.0127491177665039","0.017380815316334"
"Beamte, höherer Dienst","1986","102","0.0101088619263922","0.00820705174252293","0.0120106721102615"
"nicht erwerbstätig (NE): keine weitere Angaben","1987","1546","0.131307742369788","0.124845909759752","0.137769574979824"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1987","646","0.0495255407276078","0.0453744483360629","0.0536766331191527"
"NE: arbeitslos gemeldet","1987","474","0.0368694814213337","0.0332640798146322","0.0404748830280352"
"NE: Rentner/Rentnerin","1987","1502","0.232918114510981","0.224830879614413","0.24100534940755"
"NE: Wehr- und Zivildienst","1987","53","0.00587902987727946","0.0044163475563688","0.00734171219819013"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1987","422","0.0331749187210579","0.029748373647521","0.0366014637945948"
"Auszubildende, gewerblich-technisch (ab 2000)","1987","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1987","","","",""
"Volontäre, Praktikanten","1987","","","",""
"Aspiranten (1990 Ost)","1987","","","",""
"ungelernter Arbeiter","1987","525","0.0278799493635931","0.0247301455691885","0.0310297531579977"
"angelernter Arbeiter","1987","1212","0.075174745795229","0.070129952392641","0.080219539197817"
"gelernte und Facharbeiter","1987","968","0.0809966883994472","0.0757766976822871","0.0862166791166072"
"Vorarbeiter, Kolonnenführer","1987","110","0.0112381926250974","0.00922135173261567","0.013255033517579"
"Meister, Polier","1987","42","0.00415079268505965","0.00292069422887018","0.00538089114124913"
"Arbeiter in der Landwirtschaft (1990 Ost)","1987","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1987","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1987","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1987","","","",""
"selbständiger Landwirt","1987","51","0.00596622552328976","0.00449280076102898","0.00743965028555054"
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1987","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1987","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1987","","","",""
"Freiberufler, Akademiker","1987","107","0.0113034553701856","0.00928083358217405","0.0133260771581971"
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1987","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1987","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1987","","","",""
"sonstige selbständiger","1987","278","0.0261027940672718","0.0230522477767839","0.0291533403577598"
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1987","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1987","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1987","","","",""
"mithelfende Familienangehörige","1987","67","0.00579887731788959","0.00434614149425495","0.00725161314152424"
"Angestellte, Industrie- und Werkmeister","1987","45","0.00476995360700111","0.00345170786212586","0.00608819935187637"
"Angestellte, einfache Tätigkeit (bis 1990)","1987","516","0.049875771835267","0.045710795173337","0.0540407484971969"
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1987","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1987","","","",""
"Angestellte, qualifizierte Tätigkeit","1987","1031","0.112977489080442","0.106920722442087","0.119034255718797"
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1987","356","0.0368959753792176","0.0332893282135784","0.0405026225448567"
"Angestellte, umfassende Führungsaufgaben","1987","46","0.00471163309945903","0.00340143261067062","0.00602183358824744"
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1987","","","",""
"Beamte, einfacher Dienst","1987","37","0.00394724951052907","0.00274756784852832","0.00514693117252981"
"Beamte, mittlerer Dienst","1987","159","0.0176503067696968","0.0151309669731175","0.0201696465662761"
"Beamte, gehobener Dienst","1987","146","0.015077834794555","0.0127462672198736","0.0174094023692363"
"Beamte, höherer Dienst","1987","102","0.0101450743420307","0.00822777045700484","0.0120623782270565"
"nicht erwerbstätig (NE): keine weitere Angaben","1988","1485","0.127044290777093","0.120518799312753","0.133569782241433"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1988","573","0.0508915502075125","0.0465850913294814","0.0551980090855436"
"NE: arbeitslos gemeldet","1988","457","0.0381961104396849","0.0344403975968351","0.0419518232825347"
"NE: Rentner/Rentnerin","1988","1471","0.235939813182666","0.227620184465915","0.244259441899416"
"NE: Wehr- und Zivildienst","1988","55","0.00599834069604462","0.00448530677772648","0.00751137461436276"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1988","412","0.031496874618398","0.028074529612008","0.034919219624788"
"Auszubildende, gewerblich-technisch (ab 2000)","1988","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1988","","","",""
"Volontäre, Praktikanten","1988","","","",""
"Aspiranten (1990 Ost)","1988","","","",""
"ungelernter Arbeiter","1988","554","0.0281239874112841","0.0248844468381951","0.031363527984373"
"angelernter Arbeiter","1988","1026","0.0660871667924428","0.0612191587953181","0.0709551747895676"
"gelernte und Facharbeiter","1988","953","0.0836342923284326","0.0782097119080527","0.0890588727488126"
"Vorarbeiter, Kolonnenführer","1988","105","0.0104961170056283","0.00849918798892437","0.0124930460223322"
"Meister, Polier","1988","40","0.00423164010871551","0.00295968123852923","0.00550359897890179"
"Arbeiter in der Landwirtschaft (1990 Ost)","1988","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1988","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1988","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1988","","","",""
"selbständiger Landwirt","1988","60","0.00716961877180383","0.00551641987975588","0.00882281766385178"
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1988","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1988","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1988","","","",""
"Freiberufler, Akademiker","1988","101","0.0107331019506121","0.0087139969214697","0.0127522069797545"
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1988","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1988","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1988","","","",""
"sonstige selbständiger","1988","269","0.0261473067514975","0.0230205099406998","0.0292741035622952"
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1988","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1988","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1988","","","",""
"mithelfende Familienangehörige","1988","46","0.00473880708004524","0.00339312461275853","0.00608448954733196"
"Angestellte, Industrie- und Werkmeister","1988","54","0.005814134918717","0.00432437635914665","0.00730389347828735"
"Angestellte, einfache Tätigkeit (bis 1990)","1988","473","0.0478796631721589","0.0436959586107038","0.0520633677336141"
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1988","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1988","","","",""
"Angestellte, qualifizierte Tätigkeit","1988","1008","0.118235625489034","0.111908739692875","0.124562511285192"
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1988","368","0.0411266460657865","0.0372354616271011","0.0450178305044719"
"Angestellte, umfassende Führungsaufgaben","1988","47","0.00552883206693402","0.00407587647022884","0.0069817876636392"
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1988","","","",""
"Beamte, einfacher Dienst","1988","","","",""
"Beamte, mittlerer Dienst","1988","154","0.0176871250961002","0.0151043113661453","0.0202699388260551"
"Beamte, gehobener Dienst","1988","130","0.0148627346839702","0.012491703417574","0.0172337659503665"
"Beamte, höherer Dienst","1988","97","0.0106962060591269","0.00868053684728708","0.0127118752709667"
"nicht erwerbstätig (NE): keine weitere Angaben","1989","1455","0.127208961361303","0.120574583623139","0.133843339099468"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1989","560","0.0524300705997394","0.0479921241366577","0.0568680170628211"
"NE: arbeitslos gemeldet","1989","325","0.0288705965728749","0.0255366960790795","0.0322044970666704"
"NE: Rentner/Rentnerin","1989","1456","0.238497633157229","0.230012398287933","0.246982868026525"
"NE: Wehr- und Zivildienst","1989","47","0.00463677873949411","0.00328412952865747","0.00598942795033075"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1989","355","0.0300470714800709","0.0266479819259275","0.0334461610342142"
"Auszubildende, gewerblich-technisch (ab 2000)","1989","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1989","","","",""
"Volontäre, Praktikanten","1989","","","",""
"Aspiranten (1990 Ost)","1989","","","",""
"ungelernter Arbeiter","1989","503","0.0295499089600985","0.0261781937998859","0.0329216241203111"
"angelernter Arbeiter","1989","1133","0.0708854446535148","0.0657756979949203","0.0759951913121094"
"gelernte und Facharbeiter","1989","818","0.0745029697440434","0.0692746696236445","0.0797312698644424"
"Vorarbeiter, Kolonnenführer","1989","121","0.0128303892563945","0.01058959487186","0.015071183640929"
"Meister, Polier","1989","35","0.00413503272914146","0.00285734152318784","0.00541272393509508"
"Arbeiter in der Landwirtschaft (1990 Ost)","1989","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1989","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1989","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1989","","","",""
"selbständiger Landwirt","1989","54","0.00635777799159435","0.00477524089033053","0.00794031509285817"
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1989","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1989","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1989","","","",""
"Freiberufler, Akademiker","1989","92","0.0101812114837396","0.00818243708361455","0.0121799858838646"
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1989","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1989","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1989","","","",""
"sonstige selbständiger","1989","252","0.0255466209494183","0.0224051469649879","0.0286880949338488"
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1989","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1989","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1989","","","",""
"mithelfende Familienangehörige","1989","40","0.00405131833839505","0.00278657363892774","0.00531606303786236"
"Angestellte, Industrie- und Werkmeister","1989","58","0.00643461938680007","0.00484260913739844","0.0080266296362017"
"Angestellte, einfache Tätigkeit (bis 1990)","1989","487","0.0494762965073527","0.0451584592441076","0.0537941337705978"
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1989","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1989","","","",""
"Angestellte, qualifizierte Tätigkeit","1989","1037","0.122493403893072","0.115965590230618","0.129021217555527"
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1989","377","0.0460455061379519","0.0418725515631274","0.0502184607127763"
"Angestellte, umfassende Führungsaufgaben","1989","64","0.00707471878764758","0.0054059388203177","0.00874349875497746"
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1989","","","",""
"Beamte, einfacher Dienst","1989","30","0.00319250438340654","0.00206930307383605","0.00431570569297703"
"Beamte, mittlerer Dienst","1989","137","0.0162958163288432","0.0137749110816054","0.0188167215760811"
"Beamte, gehobener Dienst","1989","129","0.015495040570009","0.0130358537903039","0.0179542273497142"
"Beamte, höherer Dienst","1989","88","0.0101326476393806","0.00813859704633382","0.0121266982324274"
"nicht erwerbstätig (NE): keine weitere Angaben","1990","1561","0.107137784482633","0.102000362585685","0.112275206379581"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1990","670","0.0458945713676964","0.0424187254037214","0.0493704173316714"
"NE: arbeitslos gemeldet","1990","318","0.0224472538637029","0.0199866970991372","0.0249078106282686"
"NE: Rentner/Rentnerin","1990","2150","0.230691562489044","0.223693983934224","0.237689141043864"
"NE: Wehr- und Zivildienst","1990","78","0.00551948496677363","0.00428885043853859","0.00675011949500867"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1990","451","0.0281238043395495","0.025377654780141","0.0308699538989581"
"Auszubildende, gewerblich-technisch (ab 2000)","1990","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1990","","","",""
"Volontäre, Praktikanten","1990","","","",""
"Aspiranten (1990 Ost)","1990","","","",""
"ungelernter Arbeiter","1990","609","0.0283150709939477","0.0255598702928594","0.0310702716950361"
"angelernter Arbeiter","1990","1179","0.0608633853902431","0.0568921638214186","0.0648346069590676"
"gelernte und Facharbeiter","1990","1758","0.101931458778766","0.0969058284372856","0.106957089120246"
"Vorarbeiter, Kolonnenführer","1990","197","0.0130341805258649","0.0111502078420053","0.0149181532097246"
"Meister, Polier","1990","88","0.00619910440573165","0.00489534982670531","0.00750285898475798"
"Arbeiter in der Landwirtschaft (1990 Ost)","1990","58","0.00239554179956084","0.00158352923982084","0.00320755435930083"
"Facharbeiter in der Landwirtschaft (1990 Ost)","1990","196","0.00826154245719919","0.00675801685990359","0.0097650680544948"
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1990","36","0.00125966945043513","0.000670505355878826","0.00184883354499143"
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1990","45","0.00177097983732151","0.00107258087807208","0.00246937879657093"
"selbständiger Landwirt","1990","126","0.00764812680098939","0.00620104838377516","0.00909520521820361"
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1990","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1990","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1990","","","",""
"Freiberufler, Akademiker","1990","93","0.00855299882799037","0.00702340670842391","0.0100825909475568"
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1990","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1990","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1990","","","",""
"sonstige selbständiger","1990","277","0.0219637916532127","0.0195292746965846","0.0243983086098407"
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1990","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1990","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1990","32","0.00294202124668944","0.00204238946728496","0.00384165302609391"
"mithelfende Familienangehörige","1990","39","0.00329175405263218","0.00234031845898565","0.00424318964627872"
"Angestellte, Industrie- und Werkmeister","1990","129","0.00856081342371444","0.00703052872539668","0.0100910981220322"
"Angestellte, einfache Tätigkeit (bis 1990)","1990","749","0.0509776001338743","0.0473240959900086","0.0546311042777399"
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1990","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1990","","","",""
"Angestellte, qualifizierte Tätigkeit","1990","1688","0.127166075647926","0.121632152510028","0.132699998785823"
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1990","864","0.0564934644444674","0.0526585715396535","0.0603283573492812"
"Angestellte, umfassende Führungsaufgaben","1990","129","0.00865675666495021","0.00711799517118146","0.010195518158719"
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1990","","","",""
"Beamte, einfacher Dienst","1990","","","",""
"Beamte, mittlerer Dienst","1990","143","0.0147372229051878","0.012735677053399","0.0167387687569765"
"Beamte, gehobener Dienst","1990","127","0.0126748825515281","0.0108167198253099","0.0145330452777462"
