"pgstib","year","alter_gr","n","percent","lower_confidence","upper_confidence"
"angelernter Arbeiter","1985","16-34 Jahre alt","428","0.0771190368678266","0.0690276775354105","0.0852103962002427"
"angelernter Arbeiter","1985","35-65 Jahre alt","748","0.0822903675801893","0.075204607088991","0.0893761280713876"
"angelernter Arbeiter","1985","66 und älter","","","",""
"gelernte und Facharbeiter","1985","16-34 Jahre alt","444","0.110248761706185","0.100749518504948","0.119748004907421"
"gelernte und Facharbeiter","1985","35-65 Jahre alt","587","0.0872972497220867","0.0800190447426056","0.0945754547015677"
"gelernte und Facharbeiter","1985","66 und älter","","","",""
"Vorarbeiter, Kolonnenführer","1985","16-34 Jahre alt","35","0.00791442329792836","0.00522690115502706","0.0106019454408297"
"Vorarbeiter, Kolonnenführer","1985","35-65 Jahre alt","93","0.0154032215831261","0.0122278517906777","0.0185785913755745"
"Vorarbeiter, Kolonnenführer","1985","66 und älter","","","",""
"Meister, Polier","1985","16-34 Jahre alt","","","",""
"Meister, Polier","1985","35-65 Jahre alt","33","0.00663247709522059","0.00453955925369224","0.00872539493674895"
"Meister, Polier","1985","66 und älter","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1985","16-34 Jahre alt","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1985","35-65 Jahre alt","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1985","66 und älter","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1985","16-34 Jahre alt","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1985","35-65 Jahre alt","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1985","66 und älter","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1985","16-34 Jahre alt","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1985","35-65 Jahre alt","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1985","66 und älter","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1985","16-34 Jahre alt","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1985","35-65 Jahre alt","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1985","66 und älter","","","",""
"selbständiger Landwirt","1985","16-34 Jahre alt","","","",""
"selbständiger Landwirt","1985","35-65 Jahre alt","44","0.0101294387653694","0.00754752806015178","0.012711349470587"
"selbständiger Landwirt","1985","66 und älter","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1985","16-34 Jahre alt","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1985","35-65 Jahre alt","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1985","66 und älter","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1985","16-34 Jahre alt","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1985","35-65 Jahre alt","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1985","66 und älter","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1985","16-34 Jahre alt","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1985","35-65 Jahre alt","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1985","66 und älter","","","",""
"Freiberufler, Akademiker","1985","16-34 Jahre alt","31","0.0090968575267119","0.00621727754788134","0.0119764375055425"
"Freiberufler, Akademiker","1985","35-65 Jahre alt","66","0.0127463707871688","0.00985391342568132","0.0156388281486564"
"Freiberufler, Akademiker","1985","66 und älter","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1985","16-34 Jahre alt","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1985","35-65 Jahre alt","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1985","66 und älter","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1985","16-34 Jahre alt","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1985","35-65 Jahre alt","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1985","66 und älter","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1985","16-34 Jahre alt","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1985","35-65 Jahre alt","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1985","66 und älter","","","",""
"sonstige selbständiger","1985","16-34 Jahre alt","68","0.0145755420180506","0.0109406470061431","0.0182104370299582"
"sonstige selbständiger","1985","35-65 Jahre alt","203","0.0386920353317887","0.033719230893634","0.0436648397699434"
"sonstige selbständiger","1985","66 und älter","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1985","16-34 Jahre alt","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1985","35-65 Jahre alt","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1985","66 und älter","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1985","16-34 Jahre alt","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1985","35-65 Jahre alt","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1985","66 und älter","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1985","16-34 Jahre alt","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1985","35-65 Jahre alt","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1985","66 und älter","","","",""
"mithelfende Familienangehörige","1985","16-34 Jahre alt","","","",""
"mithelfende Familienangehörige","1985","35-65 Jahre alt","44","0.00805821675920348","0.00575294628921331","0.0103634872291937"
"mithelfende Familienangehörige","1985","66 und älter","","","",""
"Angestellte, Industrie- und Werkmeister","1985","16-34 Jahre alt","","","",""
"Angestellte, Industrie- und Werkmeister","1985","35-65 Jahre alt","51","0.01046293904457","0.00783931137735965","0.0130865667117804"
"Angestellte, Industrie- und Werkmeister","1985","66 und älter","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1985","16-34 Jahre alt","236","0.0629028987034297","0.0555392091145675","0.0702665882922918"
"Angestellte, einfache Tätigkeit (bis 1990)","1985","35-65 Jahre alt","306","0.0593673848886939","0.0532742148445645","0.0654605549328232"
"Angestellte, einfache Tätigkeit (bis 1990)","1985","66 und älter","","","",""
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1985","16-34 Jahre alt","","","",""
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1985","35-65 Jahre alt","","","",""
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1985","66 und älter","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1985","16-34 Jahre alt","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1985","35-65 Jahre alt","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1985","66 und älter","","","",""
"Angestellte, qualifizierte Tätigkeit","1985","16-34 Jahre alt","473","0.139764859105072","0.12924825727496","0.150281460935183"
"Angestellte, qualifizierte Tätigkeit","1985","35-65 Jahre alt","558","0.116565715912623","0.108291404451539","0.124840027373707"
"Angestellte, qualifizierte Tätigkeit","1985","66 und älter","","","",""
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1985","16-34 Jahre alt","114","0.0320740329713361","0.02673004216643","0.0374180237762421"
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1985","35-65 Jahre alt","281","0.0568865188023203","0.0509141588098782","0.0628588787947625"
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1985","66 und älter","","","",""
"Angestellte, umfassende Führungsaufgaben","1985","16-34 Jahre alt","","","",""
"Angestellte, umfassende Führungsaufgaben","1985","35-65 Jahre alt","46","0.00969508861494244","0.00716858641804296","0.0122215908118419"
"Angestellte, umfassende Führungsaufgaben","1985","66 und älter","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1985","16-34 Jahre alt","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1985","35-65 Jahre alt","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1985","66 und älter","","","",""
"Beamte, einfacher Dienst","1985","16-34 Jahre alt","","","",""
"Beamte, einfacher Dienst","1985","35-65 Jahre alt","","","",""
"Beamte, einfacher Dienst","1985","66 und älter","","","",""
"Beamte, mittlerer Dienst","1985","16-34 Jahre alt","79","0.0238214840843516","0.0191964293572328","0.0284465388114703"
"Beamte, mittlerer Dienst","1985","35-65 Jahre alt","84","0.0177046774893613","0.0143043216268961","0.0211050333518266"
"Beamte, mittlerer Dienst","1985","66 und älter","","","",""
"Beamte, gehobener Dienst","1985","16-34 Jahre alt","39","0.011467126024399","0.00823795760146715","0.0146962944473309"
"Beamte, gehobener Dienst","1985","35-65 Jahre alt","124","0.0254116340482449","0.0213538752334147","0.0294693928630751"
"Beamte, gehobener Dienst","1985","66 und älter","","","",""
"Beamte, höherer Dienst","1985","16-34 Jahre alt","","","",""
"Beamte, höherer Dienst","1985","35-65 Jahre alt","87","0.0165725858953302","0.0132808451982689","0.0198643265923915"
"Beamte, höherer Dienst","1985","66 und älter","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1986","16-34 Jahre alt","480","0.0964060195397432","0.0873595676849722","0.105452471394514"
"nicht erwerbstätig (NE): keine weitere Angaben","1986","35-65 Jahre alt","1071","0.189228616239019","0.178869434806991","0.199587797671048"
"nicht erwerbstätig (NE): keine weitere Angaben","1986","66 und älter","77","0.0594981675418667","0.045169481451523","0.0738268536322103"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1986","16-34 Jahre alt","672","0.163767088762293","0.152424387916788","0.175109789607798"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1986","35-65 Jahre alt","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1986","66 und älter","","","",""
"NE: arbeitslos gemeldet","1986","16-34 Jahre alt","223","0.0501381158089945","0.0434492301717637","0.0568270014462253"
"NE: arbeitslos gemeldet","1986","35-65 Jahre alt","238","0.0402109413981708","0.0350152560232177","0.0454066267731239"
"NE: arbeitslos gemeldet","1986","66 und älter","","","",""
"NE: Rentner/Rentnerin","1986","16-34 Jahre alt","","","",""
"NE: Rentner/Rentnerin","1986","35-65 Jahre alt","580","0.14760278733678","0.138221744554078","0.156983830119483"
"NE: Rentner/Rentnerin","1986","66 und älter","940","0.913815125359709","0.896816279009364","0.930813971710055"
"NE: Wehr- und Zivildienst","1986","16-34 Jahre alt","49","0.0153986900212856","0.0116246054422424","0.0191727746003288"
"NE: Wehr- und Zivildienst","1986","35-65 Jahre alt","","","",""
"NE: Wehr- und Zivildienst","1986","66 und älter","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1986","16-34 Jahre alt","392","0.101873582923089","0.0926023164975167","0.111144849348662"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1986","35-65 Jahre alt","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1986","66 und älter","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1986","16-34 Jahre alt","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1986","35-65 Jahre alt","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1986","66 und älter","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1986","16-34 Jahre alt","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1986","35-65 Jahre alt","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1986","66 und älter","","","",""
"Volontäre, Praktikanten","1986","16-34 Jahre alt","","","",""
"Volontäre, Praktikanten","1986","35-65 Jahre alt","","","",""
