"ple0044_h","year","age_gr","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein","1988","46-65","(noch) kein Abschluss","72","0.197780828217193","0.155441179889404","0.240120476544982"
"Nein","1988","46-65","Hauptschule","617","0.301532975723997","0.281593843898859","0.321472107549134"
"Nein","1988","46-65","Realschule","117","0.352678550281815","0.300651990622407","0.404705109941224"
"Nein","1988","46-65","(Fach-)Abitur","44","0.515657867083985","0.417707731845794","0.613608002322176"
"Nein","1988","46-65","AkademikerIn","121","0.5347797212128","0.469018671347227","0.600540771078374"
"Nein","1988","66","(noch) kein Abschluss","","","",""
"Nein","1988","66","Hauptschule","","","",""
"Nein","1988","66","Realschule","","","",""
"Nein","1988","66","(Fach-)Abitur","","","",""
"Nein","1988","66","AkademikerIn","","","",""
"Ja","1988","17-29","(noch) kein Abschluss","251","0.922326190282803","0.890975388713053","0.953676991852553"
"Ja","1988","17-29","Hauptschule","812","0.635269205615182","0.608574078701777","0.661964332528586"
"Ja","1988","17-29","Realschule","471","0.635005846393762","0.599693156460881","0.670318536326644"
"Ja","1988","17-29","(Fach-)Abitur","286","0.74449824034846","0.701156926148354","0.787839554548565"
"Ja","1988","17-29","AkademikerIn","42","0.526394919064908","0.414140016903999","0.638649821225817"
"Ja","1988","30-45","(noch) kein Abschluss","192","0.726417326603412","0.672437083370149","0.780397569836675"
"Ja","1988","30-45","Hauptschule","977","0.607736788604449","0.583797774721219","0.631675802487679"
"Ja","1988","30-45","Realschule","278","0.590569350824091","0.546066554891631","0.635072146756551"
"Ja","1988","30-45","(Fach-)Abitur","129","0.672977423767987","0.606272113900776","0.739682733635199"
"Ja","1988","30-45","AkademikerIn","164","0.491114587451052","0.437258411637106","0.544970763264997"
"Ja","1988","46-65","(noch) kein Abschluss","268","0.802219171782807","0.759879523455018","0.844558820110596"
"Ja","1988","46-65","Hauptschule","1418","0.698467024276003","0.678527892450866","0.718406156101141"
"Ja","1988","46-65","Realschule","207","0.647321449718184","0.595294890058776","0.699348009377593"
"Ja","1988","46-65","(Fach-)Abitur","56","0.484342132916015","0.386391997677824","0.582292268154206"
"Ja","1988","46-65","AkademikerIn","100","0.4652202787872","0.399459228921626","0.530981328652773"
"Ja","1988","66","(noch) kein Abschluss","","","",""
"Ja","1988","66","Hauptschule","","","",""
"Ja","1988","66","Realschule","","","",""
"Ja","1988","66","(Fach-)Abitur","","","",""
"Ja","1988","66","AkademikerIn","","","",""
"Nein","1989","17-29","(noch) kein Abschluss","29","","",""
"Nein","1989","17-29","Hauptschule","418","0.331433758354301","0.304997801187392","0.357869715521211"
"Nein","1989","17-29","Realschule","215","0.305255392581465","0.271091712655863","0.339419072507066"
"Nein","1989","17-29","(Fach-)Abitur","109","0.284618207842639","0.241256966494241","0.327979449191037"
"Nein","1989","17-29","AkademikerIn","36","0.436611711539381","0.326545913323113","0.546677509755649"
"Nein","1989","30-45","(noch) kein Abschluss","54","0.265674977332791","0.210025652730653","0.321324301934928"
"Nein","1989","30-45","Hauptschule","550","0.368226274510235","0.344191441928328","0.392261107092143"
"Nein","1989","30-45","Realschule","174","0.393313277461546","0.348770360688412","0.43785619423468"
"Nein","1989","30-45","(Fach-)Abitur","72","0.379769801709023","0.310760448290712","0.448779155127333"
"Nein","1989","30-45","AkademikerIn","162","0.485559680244115","0.432198927340707","0.538920433147522"
"Nein","1989","46-65","(noch) kein Abschluss","67","0.186489946649934","0.144401847047496","0.228578046252372"
"Nein","1989","46-65","Hauptschule","591","0.295097314571949","0.274848976529155","0.315345652614744"
"Nein","1989","46-65","Realschule","128","0.380090281608645","0.326989222898971","0.43319134031832"
"Nein","1989","46-65","(Fach-)Abitur","34","0.403321736081035","0.304675115681151","0.501968356480919"
"Nein","1989","46-65","AkademikerIn","121","0.51630349390153","0.451006101393242","0.581600886409819"
"Nein","1989","66","(noch) kein Abschluss","","","",""
"Nein","1989","66","Hauptschule","","","",""
"Nein","1989","66","Realschule","","","",""
"Nein","1989","66","(Fach-)Abitur","","","",""
"Nein","1989","66","AkademikerIn","","","",""
"Ja","1989","17-29","(noch) kein Abschluss","264","0.95217528458638","0.927741039246585","0.976609529926175"
"Ja","1989","17-29","Hauptschule","800","0.668566241645699","0.642130284478789","0.695002198812608"
"Ja","1989","17-29","Realschule","483","0.694744607418535","0.660580927492934","0.728908287344137"
"Ja","1989","17-29","(Fach-)Abitur","307","0.715381792157361","0.672020550808963","0.758743033505759"
"Ja","1989","17-29","AkademikerIn","42","0.563388288460619","0.453322490244351","0.673454086676887"
"Ja","1989","30-45","(noch) kein Abschluss","188","0.734325022667209","0.678675698065072","0.789974347269347"
"Ja","1989","30-45","Hauptschule","997","0.631773725489765","0.607738892907857","0.655808558071672"
"Ja","1989","30-45","Realschule","288","0.606686722538454","0.56214380576532","0.651229639311588"
"Ja","1989","30-45","(Fach-)Abitur","118","0.620230198290977","0.551220844872667","0.689239551709288"
"Ja","1989","30-45","AkademikerIn","175","0.514440319755885","0.461079566852478","0.567801072659293"
"Ja","1989","46-65","(noch) kein Abschluss","262","0.813510053350066","0.771421953747628","0.855598152952504"
"Ja","1989","46-65","Hauptschule","1358","0.704902685428051","0.684654347385256","0.725151023470845"
"Ja","1989","46-65","Realschule","193","0.619909718391355","0.56680865968168","0.673010777101029"
"Ja","1989","46-65","(Fach-)Abitur","61","0.596678263918965","0.498031643519081","0.695324884318849"
"Ja","1989","46-65","AkademikerIn","104","0.48369650609847","0.418399113590181","0.548993898606758"
"Ja","1989","66","(noch) kein Abschluss","","","",""
"Ja","1989","66","Hauptschule","","","",""
"Ja","1989","66","Realschule","","","",""
"Ja","1989","66","(Fach-)Abitur","","","",""
"Ja","1989","66","AkademikerIn","","","",""
"Nein","1990","17-29","(noch) kein Abschluss","","","",""
"Nein","1990","17-29","Hauptschule","","","",""
"Nein","1990","17-29","Realschule","","","",""
"Nein","1990","17-29","(Fach-)Abitur","","","",""
"Nein","1990","17-29","AkademikerIn","","","",""
"Nein","1990","30-45","(noch) kein Abschluss","","","",""
"Nein","1990","30-45","Hauptschule","","","",""
"Nein","1990","30-45","Realschule","","","",""
"Nein","1990","30-45","(Fach-)Abitur","","","",""
"Nein","1990","30-45","AkademikerIn","","","",""
"Nein","1990","46-65","(noch) kein Abschluss","","","",""
"Nein","1990","46-65","Hauptschule","","","",""
"Nein","1990","46-65","Realschule","","","",""
"Nein","1990","46-65","(Fach-)Abitur","","","",""
"Nein","1990","46-65","AkademikerIn","","","",""
"Nein","1990","66","(noch) kein Abschluss","","","",""
"Nein","1990","66","Hauptschule","","","",""
"Nein","1990","66","Realschule","","","",""
"Nein","1990","66","(Fach-)Abitur","","","",""
"Nein","1990","66","AkademikerIn","","","",""
"Ja","1990","17-29","(noch) kein Abschluss","","","",""
"Ja","1990","17-29","Hauptschule","","","",""
"Ja","1990","17-29","Realschule","","","",""
"Ja","1990","17-29","(Fach-)Abitur","","","",""
"Ja","1990","17-29","AkademikerIn","","","",""
"Ja","1990","30-45","(noch) kein Abschluss","","","",""
"Ja","1990","30-45","Hauptschule","","","",""
"Ja","1990","30-45","Realschule","","","",""
"Ja","1990","30-45","(Fach-)Abitur","","","",""
"Ja","1990","30-45","AkademikerIn","","","",""
"Ja","1990","46-65","(noch) kein Abschluss","","","",""
"Ja","1990","46-65","Hauptschule","","","",""
"Ja","1990","46-65","Realschule","","","",""
"Ja","1990","46-65","(Fach-)Abitur","","","",""
"Ja","1990","46-65","AkademikerIn","","","",""
"Ja","1990","66","(noch) kein Abschluss","","","",""
"Ja","1990","66","Hauptschule","","","",""
"Ja","1990","66","Realschule","","","",""
"Ja","1990","66","(Fach-)Abitur","","","",""
"Ja","1990","66","AkademikerIn","","","",""
"Nein","1991","17-29","(noch) kein Abschluss","29","","",""
"Nein","1991","17-29","Hauptschule","358","0.309726235127702","0.283651836282363","0.335800633973041"
"Nein","1991","17-29","Realschule","198","0.180640251603372","0.160026140538487","0.201254362668256"
"Nein","1991","17-29","(Fach-)Abitur","111","0.254083575124015","0.215576482827709","0.292590667420321"
"Nein","1991","17-29","AkademikerIn","29","","",""
"Nein","1991","30-45","(noch) kein Abschluss","61","0.265942069571198","0.207557855265797","0.324326283876599"
"Nein","1991","30-45","Hauptschule","536","0.325613053161086","0.303813158581888","0.347412947740284"
"Nein","1991","30-45","Realschule","176","0.23295328095079","0.208865264296585","0.257041297604996"
"Nein","1991","30-45","(Fach-)Abitur","73","0.31181701584774","0.253693075498423","0.369940956197056"
"Nein","1991","30-45","AkademikerIn","145","0.287471403016742","0.25638042651875","0.318562379514733"
"Nein","1991","46-65","(noch) kein Abschluss","70","0.21163267283685","0.1668789911149","0.2563863545588"
"Nein","1991","46-65","Hauptschule","554","0.226033465828915","0.210177376823291","0.24188955483454"
"Nein","1991","46-65","Realschule","121","0.314398845535873","0.270769398977536","0.358028292094209"
"Nein","1991","46-65","(Fach-)Abitur","30","0.284747771378304","0.198427416295252","0.371068126461357"
"Nein","1991","46-65","AkademikerIn","113","0.273636052769013","0.236343190491132","0.310928915046893"
"Nein","1991","66","(noch) kein Abschluss","","","",""
"Nein","1991","66","Hauptschule","","","",""
"Nein","1991","66","Realschule","","","",""
"Nein","1991","66","(Fach-)Abitur","","","",""
"Nein","1991","66","AkademikerIn","","","",""
"Ja","1991","17-29","(noch) kein Abschluss","281","0.906378101446062","0.87395081050124","0.938805392390884"
"Ja","1991","17-29","Hauptschule","850","0.690273764872298","0.664199366026959","0.716348163717637"
"Ja","1991","17-29","Realschule","1140","0.819359748396628","0.798745637331744","0.839973859461513"
"Ja","1991","17-29","(Fach-)Abitur","380","0.745916424875985","0.707409332579679","0.784423517172291"
"Ja","1991","17-29","AkademikerIn","169","0.780774577973515","0.72314787332249","0.83840128262454"
"Ja","1991","30-45","(noch) kein Abschluss","159","0.734057930428802","0.675673716123401","0.792442144734203"
"Ja","1991","30-45","Hauptschule","1239","0.674386946838914","0.652587052259716","0.696186841418112"
"Ja","1991","30-45","Realschule","1007","0.76704671904921","0.742958702395004","0.791134735703415"
"Ja","1991","30-45","(Fach-)Abitur","171","0.68818298415226","0.630059043802944","0.746306924501577"
"Ja","1991","30-45","AkademikerIn","669","0.712528596983259","0.681437620485267","0.74361957348125"
"Ja","1991","46-65","(noch) kein Abschluss","250","0.78836732716315","0.7436136454412","0.833121008885099"
"Ja","1991","46-65","Hauptschule","2119","0.773966534171085","0.75811044516546","0.789822623176709"
"Ja","1991","46-65","Realschule","314","0.685601154464127","0.641971707905791","0.729230601022464"
"Ja","1991","46-65","(Fach-)Abitur","75","0.715252228621695","0.628931873538643","0.801572583704748"
"Ja","1991","46-65","AkademikerIn","436","0.726363947230987","0.689071084953107","0.763656809508868"
"Ja","1991","66","(noch) kein Abschluss","","","",""
"Ja","1991","66","Hauptschule","","","",""
"Ja","1991","66","Realschule","","","",""
"Ja","1991","66","(Fach-)Abitur","","","",""
"Ja","1991","66","AkademikerIn","","","",""
"Nein","1992","17-29","(noch) kein Abschluss","31","0.112145307365944","0.077518356596127","0.146772258135762"
"Nein","1992","17-29","Hauptschule","367","0.332335136730685","0.305026981259367","0.359643292202004"
"Nein","1992","17-29","Realschule","477","0.360509444817119","0.334029211545409","0.38698967808883"
"Nein","1992","17-29","(Fach-)Abitur","127","0.278464482842554","0.238694816983447","0.31823414870166"
"Nein","1992","17-29","AkademikerIn","78","0.455510790986852","0.38086694480214","0.530154637171565"
"Nein","1992","30-45","(noch) kein Abschluss","53","0.25591377570343","0.197311193382482","0.314516358024377"
"Nein","1992","30-45","Hauptschule","633","0.376259245430244","0.353230552910733","0.399287937949755"
"Nein","1992","30-45","Realschule","568","0.425707204024972","0.397519380960085","0.453895027089858"
"Nein","1992","30-45","(Fach-)Abitur","96","0.397043334728455","0.335900926194187","0.458185743262722"
"Nein","1992","30-45","AkademikerIn","417","0.484266109768519","0.450039726117578","0.518492493419461"
"Nein","1992","46-65","(noch) kein Abschluss","55","0.190742058239281","0.146431080101374","0.235053036377188"
"Nein","1992","46-65","Hauptschule","833","0.314487922120204","0.296473626018162","0.332502218222247"
"Nein","1992","46-65","Realschule","191","0.417182027422755","0.370950671016749","0.463413383828762"
"Nein","1992","46-65","(Fach-)Abitur","41","0.450430813704991","0.35526550187462","0.545596125535362"
"Nein","1992","46-65","AkademikerIn","275","0.472093320139891","0.430180937892265","0.514005702387517"
"Nein","1992","66","(noch) kein Abschluss","","","",""
"Nein","1992","66","Hauptschule","","","",""
"Nein","1992","66","Realschule","","","",""
"Nein","1992","66","(Fach-)Abitur","","","",""
"Nein","1992","66","AkademikerIn","","","",""
"Ja","1992","17-29","(noch) kein Abschluss","288","0.887854692634056","0.853227741864238","0.922481643403873"
"Ja","1992","17-29","Hauptschule","776","0.667664863269315","0.640356707797996","0.694973018740633"
"Ja","1992","17-29","Realschule","786","0.63949055518288","0.61301032191117","0.665970788454591"
"Ja","1992","17-29","(Fach-)Abitur","361","0.721535517157446","0.68176585129834","0.761305183016553"
"Ja","1992","17-29","AkademikerIn","93","0.544489209013148","0.469845362828435","0.61913305519786"
"Ja","1992","30-45","(noch) kein Abschluss","160","0.74408622429657","0.685483641975623","0.802688806617518"
"Ja","1992","30-45","Hauptschule","1067","0.623740754569756","0.600712062050245","0.646769447089267"
"Ja","1992","30-45","Realschule","614","0.574292795975028","0.546104972910142","0.602480619039915"
"Ja","1992","30-45","(Fach-)Abitur","150","0.602956665271545","0.541814256737278","0.664099073805813"
"Ja","1992","30-45","AkademikerIn","402","0.515733890231481","0.481507506580539","0.549960273882422"
"Ja","1992","46-65","(noch) kein Abschluss","247","0.809257941760719","0.764946963622812","0.853568919898626"
"Ja","1992","46-65","Hauptschule","1719","0.685512077879796","0.667497781777753","0.703526373981838"
"Ja","1992","46-65","Realschule","246","0.582817972577245","0.536586616171238","0.629049328983251"
"Ja","1992","46-65","(Fach-)Abitur","64","0.549569186295009","0.454403874464638","0.64473449812538"
"Ja","1992","46-65","AkademikerIn","270","0.527906679860109","0.485994297612483","0.569819062107735"
"Ja","1992","66","(noch) kein Abschluss","","","",""
"Ja","1992","66","Hauptschule","","","",""
"Ja","1992","66","Realschule","","","",""
"Ja","1992","66","(Fach-)Abitur","","","",""
"Ja","1992","66","AkademikerIn","","","",""
"Nein","1993","17-29","(noch) kein Abschluss","","","",""
"Nein","1993","17-29","Hauptschule","","","",""
"Nein","1993","17-29","Realschule","","","",""
"Nein","1993","17-29","(Fach-)Abitur","","","",""
"Nein","1993","17-29","AkademikerIn","","","",""
"Nein","1993","30-45","(noch) kein Abschluss","","","",""
"Nein","1993","30-45","Hauptschule","","","",""
"Nein","1993","30-45","Realschule","","","",""
"Nein","1993","30-45","(Fach-)Abitur","","","",""
"Nein","1993","30-45","AkademikerIn","","","",""
"Nein","1993","46-65","(noch) kein Abschluss","","","",""
"Nein","1993","46-65","Hauptschule","","","",""
"Nein","1993","46-65","Realschule","","","",""
"Nein","1993","46-65","(Fach-)Abitur","","","",""
"Nein","1993","46-65","AkademikerIn","","","",""
"Nein","1993","66","(noch) kein Abschluss","","","",""
"Nein","1993","66","Hauptschule","","","",""
"Nein","1993","66","Realschule","","","",""
"Nein","1993","66","(Fach-)Abitur","","","",""
"Nein","1993","66","AkademikerIn","","","",""
"Ja","1993","17-29","(noch) kein Abschluss","","","",""
"Ja","1993","17-29","Hauptschule","","","",""
"Ja","1993","17-29","Realschule","","","",""
"Ja","1993","17-29","(Fach-)Abitur","","","",""
"Ja","1993","17-29","AkademikerIn","","","",""
"Ja","1993","30-45","(noch) kein Abschluss","","","",""
"Ja","1993","30-45","Hauptschule","","","",""
"Ja","1993","30-45","Realschule","","","",""
"Ja","1993","30-45","(Fach-)Abitur","","","",""
"Ja","1993","30-45","AkademikerIn","","","",""
"Ja","1993","46-65","(noch) kein Abschluss","","","",""
"Ja","1993","46-65","Hauptschule","","","",""
"Ja","1993","46-65","Realschule","","","",""
"Ja","1993","46-65","(Fach-)Abitur","","","",""
"Ja","1993","46-65","AkademikerIn","","","",""
"Ja","1993","66","(noch) kein Abschluss","","","",""
"Ja","1993","66","Hauptschule","","","",""
"Ja","1993","66","Realschule","","","",""
"Ja","1993","66","(Fach-)Abitur","","","",""
"Ja","1993","66","AkademikerIn","","","",""
"Nein","1994","17-29","(noch) kein Abschluss","22","","",""
"Nein","1994","17-29","Hauptschule","319","0.319938644609988","0.290538988353275","0.3493383008667"
"Nein","1994","17-29","Realschule","360","0.282235674885973","0.256301149770924","0.308170200001022"
"Nein","1994","17-29","(Fach-)Abitur","146","0.293033755392919","0.253178335168629","0.332889175617209"
"Nein","1994","17-29","AkademikerIn","67","0.385163197432274","0.310226784029764","0.460099610834783"
"Nein","1994","30-45","(noch) kein Abschluss","50","0.273082305106812","0.207444982394122","0.338719627819502"
"Nein","1994","30-45","Hauptschule","558","0.352974867520479","0.329335778727816","0.376613956313143"
