"ple0044_h","year","bildungsniveau","regtyp","n","percent","lower_confidence","upper_confidence"
"keinen Tag","1989","Realschule","Laendlicher Raum","129","0.336708384271979","0.287478855440603","0.385937913103356"
"keinen Tag","1989","(Fach-)Abitur","Staedtischer Raum","187","0.297846059648685","0.262716743555996","0.332975375741375"
"keinen Tag","1989","(Fach-)Abitur","Laendlicher Raum","32","0.308757236733204","0.216821132763251","0.400693340703157"
"keinen Tag","1989","AkademikerIn","Staedtischer Raum","272","0.445578351567692","0.405232773278214","0.48592392985717"
"keinen Tag","1989","AkademikerIn","Laendlicher Raum","52","0.425503460993254","0.334343500964695","0.516663421021813"
"Ja","1989","(noch) kein Abschluss","Staedtischer Raum","634","0.876859670519653","0.853604709671114","0.900114631368191"
"Ja","1989","(noch) kein Abschluss","Laendlicher Raum","95","0.905498540410663","0.851323129364011","0.959673951457314"
"Ja","1989","Hauptschule","Staedtischer Raum","2973","0.74623147394727","0.733044054539817","0.759418893354722"
"Ja","1989","Hauptschule","Laendlicher Raum","898","0.736677332053144","0.712358338640997","0.760996325465292"
"Ja","1989","Realschule","Staedtischer Raum","895","0.71053023106223","0.685733786456382","0.735326675668079"
"Ja","1989","Realschule","Laendlicher Raum","225","0.663291615728021","0.614062086896644","0.712521144559397"
"Ja","1989","(Fach-)Abitur","Staedtischer Raum","464","0.702153940351315","0.667024624258625","0.737283256444004"
"Ja","1989","(Fach-)Abitur","Laendlicher Raum","65","0.691242763266796","0.599306659296843","0.783178867236749"
"Ja","1989","AkademikerIn","Staedtischer Raum","311","0.554421648432308","0.51407607014283","0.594767226721787"
"Ja","1989","AkademikerIn","Laendlicher Raum","61","0.574496539006746","0.483336578978187","0.665656499035305"
"keinen Tag","1990","(noch) kein Abschluss","Staedtischer Raum","","","",""
"keinen Tag","1990","(noch) kein Abschluss","Laendlicher Raum","","","",""
"keinen Tag","1990","Hauptschule","Staedtischer Raum","","","",""
"keinen Tag","1990","Hauptschule","Laendlicher Raum","","","",""
"keinen Tag","1990","Realschule","Staedtischer Raum","","","",""
"keinen Tag","1990","Realschule","Laendlicher Raum","","","",""
"keinen Tag","1990","(Fach-)Abitur","Staedtischer Raum","","","",""
"keinen Tag","1990","(Fach-)Abitur","Laendlicher Raum","","","",""
"keinen Tag","1990","AkademikerIn","Staedtischer Raum","","","",""
"keinen Tag","1990","AkademikerIn","Laendlicher Raum","","","",""
"Ja","1990","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","1990","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","1990","Hauptschule","Staedtischer Raum","","","",""
"Ja","1990","Hauptschule","Laendlicher Raum","","","",""
"Ja","1990","Realschule","Staedtischer Raum","","","",""
"Ja","1990","Realschule","Laendlicher Raum","","","",""
"Ja","1990","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","1990","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","1990","AkademikerIn","Staedtischer Raum","","","",""
"Ja","1990","AkademikerIn","Laendlicher Raum","","","",""
"keinen Tag","1991","(noch) kein Abschluss","Staedtischer Raum","136","0.165981558190586","0.138747882665196","0.193215233715976"
"keinen Tag","1991","(noch) kein Abschluss","Laendlicher Raum","","","",""
"keinen Tag","1991","Hauptschule","Staedtischer Raum","1111","0.225648326161765","0.213298592668946","0.237998059654584"
"keinen Tag","1991","Hauptschule","Laendlicher Raum","347","0.172534557592807","0.157082704396949","0.187986410788665"
"keinen Tag","1991","Realschule","Staedtischer Raum","383","0.243267628976301","0.223102007201427","0.263433250751175"
"keinen Tag","1991","Realschule","Laendlicher Raum","115","0.134496166464327","0.116389839579645","0.15260249334901"
"keinen Tag","1991","(Fach-)Abitur","Staedtischer Raum","181","0.260481462908115","0.22803753916199","0.29292538665424"
"keinen Tag","1991","(Fach-)Abitur","Laendlicher Raum","37","0.253538409495935","0.18998520520188","0.31709161378999"
"keinen Tag","1991","AkademikerIn","Staedtischer Raum","246","0.309782853980882","0.28069845885353","0.338867249108233"
"keinen Tag","1991","AkademikerIn","Laendlicher Raum","46","0.128315380644403","0.103215309438762","0.153415451850044"
"Ja","1991","(noch) kein Abschluss","Staedtischer Raum","581","0.834018441809414","0.806784766284025","0.861252117334804"
"Ja","1991","(noch) kein Abschluss","Laendlicher Raum","131","0.879511580920922","0.828428247870427","0.930594913971416"
"Ja","1991","Hauptschule","Staedtischer Raum","3290","0.774351673838235","0.762001940345416","0.786701407331054"
"Ja","1991","Hauptschule","Laendlicher Raum","1950","0.827465442407193","0.812013589211335","0.842917295603051"
"Ja","1991","Realschule","Staedtischer Raum","1356","0.756732371023699","0.736566749248825","0.776897992798574"
"Ja","1991","Realschule","Laendlicher Raum","1249","0.865503833535673","0.84739750665099","0.883610160420355"
"Ja","1991","(Fach-)Abitur","Staedtischer Raum","522","0.739518537091885","0.707074613345759","0.77196246083801"
"Ja","1991","(Fach-)Abitur","Laendlicher Raum","143","0.746461590504065","0.68290838621001","0.81001479479812"
"Ja","1991","AkademikerIn","Staedtischer Raum","725","0.690217146019118","0.661132750891767","0.71930154114647"
"Ja","1991","AkademikerIn","Laendlicher Raum","636","0.871684619355597","0.846584548149956","0.896784690561238"
"keinen Tag","1992","(noch) kein Abschluss","Staedtischer Raum","107","0.151213215405855","0.124539982790417","0.177886448021294"
"keinen Tag","1992","(noch) kein Abschluss","Laendlicher Raum","32","0.171063905654381","0.114121846636503","0.228005964672259"
"keinen Tag","1992","Hauptschule","Staedtischer Raum","1150","0.242974571868483","0.230106235155996","0.255842908580969"
"keinen Tag","1992","Hauptschule","Laendlicher Raum","678","0.279014108862874","0.260103863103106","0.297924354622641"
"keinen Tag","1992","Realschule","Staedtischer Raum","591","0.303705984939478","0.281884636509228","0.325527333369728"
"keinen Tag","1992","Realschule","Laendlicher Raum","626","0.431484915974778","0.404756113702522","0.458213718247034"
"keinen Tag","1992","(Fach-)Abitur","Staedtischer Raum","203","0.29588394383384","0.262046906821726","0.329720980845953"
"keinen Tag","1992","(Fach-)Abitur","Laendlicher Raum","61","0.362706691055537","0.293048850127388","0.432364531983687"
"keinen Tag","1992","AkademikerIn","Staedtischer Raum","446","0.422910884080151","0.391996581010891","0.45382518714941"
"keinen Tag","1992","AkademikerIn","Laendlicher Raum","312","0.450055651620562","0.411269022861225","0.4888422803799"
"Ja","1992","(noch) kein Abschluss","Staedtischer Raum","586","0.848786784594145","0.822113551978706","0.875460017209583"
"Ja","1992","(noch) kein Abschluss","Laendlicher Raum","136","0.828936094345619","0.77199403532774","0.885878153363497"
"Ja","1992","Hauptschule","Staedtischer Raum","3117","0.757025428131518","0.744157091419031","0.769893764844004"
"Ja","1992","Hauptschule","Laendlicher Raum","1483","0.720985891137126","0.702075645377359","0.739896136896894"
"Ja","1992","Realschule","Staedtischer Raum","1115","0.696294015060522","0.674472666630272","0.718115363490772"
"Ja","1992","Realschule","Laendlicher Raum","693","0.568515084025222","0.541786281752966","0.595243886297478"
"Ja","1992","(Fach-)Abitur","Staedtischer Raum","496","0.70411605616616","0.670279019154047","0.737953093178274"
"Ja","1992","(Fach-)Abitur","Laendlicher Raum","122","0.637293308944463","0.567635468016313","0.706951149872612"
"Ja","1992","AkademikerIn","Staedtischer Raum","535","0.577089115919849","0.54617481285059","0.608003418989109"
"Ja","1992","AkademikerIn","Laendlicher Raum","320","0.549944348379438","0.5111577196201","0.588730977138775"
"keinen Tag","1993","(noch) kein Abschluss","Staedtischer Raum","","","",""
"keinen Tag","1993","(noch) kein Abschluss","Laendlicher Raum","","","",""
"keinen Tag","1993","Hauptschule","Staedtischer Raum","","","",""
"keinen Tag","1993","Hauptschule","Laendlicher Raum","","","",""
"keinen Tag","1993","Realschule","Staedtischer Raum","","","",""
"keinen Tag","1993","Realschule","Laendlicher Raum","","","",""
"keinen Tag","1993","(Fach-)Abitur","Staedtischer Raum","","","",""
"keinen Tag","1993","(Fach-)Abitur","Laendlicher Raum","","","",""
"keinen Tag","1993","AkademikerIn","Staedtischer Raum","","","",""
"keinen Tag","1993","AkademikerIn","Laendlicher Raum","","","",""
"Ja","1993","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","1993","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","1993","Hauptschule","Staedtischer Raum","","","",""
"Ja","1993","Hauptschule","Laendlicher Raum","","","",""
"Ja","1993","Realschule","Staedtischer Raum","","","",""
"Ja","1993","Realschule","Laendlicher Raum","","","",""
"Ja","1993","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","1993","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","1993","AkademikerIn","Staedtischer Raum","","","",""
"Ja","1993","AkademikerIn","Laendlicher Raum","","","",""
"keinen Tag","1994","(noch) kein Abschluss","Staedtischer Raum","107","0.139716543049982","0.113542980215039","0.165890105884926"
"keinen Tag","1994","(noch) kein Abschluss","Laendlicher Raum","","","",""
"keinen Tag","1994","Hauptschule","Staedtischer Raum","1061","0.231071611296904","0.218064034816221","0.244079187777587"
"keinen Tag","1994","Hauptschule","Laendlicher Raum","517","0.237808429109595","0.219210187025053","0.256406671194136"
"keinen Tag","1994","Realschule","Staedtischer Raum","578","0.297293426158969","0.275692939854207","0.318893912463731"
"keinen Tag","1994","Realschule","Laendlicher Raum","492","0.33616384042309","0.310563238899022","0.361764441947157"
"keinen Tag","1994","(Fach-)Abitur","Staedtischer Raum","208","0.274609819879826","0.241428049289446","0.307791590470205"
"keinen Tag","1994","(Fach-)Abitur","Laendlicher Raum","79","0.384163343319013","0.319447747602981","0.448878939035045"
"keinen Tag","1994","AkademikerIn","Staedtischer Raum","427","0.390938483407207","0.361036839457366","0.420840127357047"
"keinen Tag","1994","AkademikerIn","Laendlicher Raum","269","0.418842455010941","0.379881461453676","0.457803448568207"
"Ja","1994","(noch) kein Abschluss","Staedtischer Raum","567","0.860283456950018","0.834109894115074","0.886457019784961"
"Ja","1994","(noch) kein Abschluss","Laendlicher Raum","149","0.908517736373793","0.864923547010857","0.952111925736728"
"Ja","1994","Hauptschule","Staedtischer Raum","2973","0.768928388703096","0.755920812222413","0.781935965183779"
"Ja","1994","Hauptschule","Laendlicher Raum","1496","0.762191570890405","0.743593328805863","0.780789812974947"
"Ja","1994","Realschule","Staedtischer Raum","1142","0.702706573841031","0.681106087536269","0.724307060145793"
"Ja","1994","Realschule","Laendlicher Raum","816","0.66383615957691","0.638235558052843","0.689436761100978"
"Ja","1994","(Fach-)Abitur","Staedtischer Raum","487","0.725390180120175","0.692208409529795","0.758571950710554"
"Ja","1994","(Fach-)Abitur","Laendlicher Raum","138","0.615836656680987","0.551121060964955","0.680552252397019"
"Ja","1994","AkademikerIn","Staedtischer Raum","596","0.609061516592793","0.579159872642953","0.638963160542634"
"Ja","1994","AkademikerIn","Laendlicher Raum","347","0.581157544989059","0.542196551431793","0.620118538546324"
"keinen Tag","1995","(noch) kein Abschluss","Staedtischer Raum","112","0.144390366559383","0.117933391592053","0.170847341526712"
"keinen Tag","1995","(noch) kein Abschluss","Laendlicher Raum","","","",""
"keinen Tag","1995","Hauptschule","Staedtischer Raum","1000","0.219999968457353","0.207068483455343","0.232931453459362"
"keinen Tag","1995","Hauptschule","Laendlicher Raum","530","0.229491525039793","0.210988220658124","0.247994829421463"
"keinen Tag","1995","Realschule","Staedtischer Raum","575","0.298817340875852","0.277102841943689","0.320531839808014"
"keinen Tag","1995","Realschule","Laendlicher Raum","527","0.390469577265738","0.364260582876303","0.416678571655174"
"keinen Tag","1995","(Fach-)Abitur","Staedtischer Raum","238","0.2970924662371","0.264981512041909","0.329203420432291"
"keinen Tag","1995","(Fach-)Abitur","Laendlicher Raum","77","0.285552807372086","0.228645414151785","0.342460200592387"
"keinen Tag","1995","AkademikerIn","Staedtischer Raum","442","0.393686126945042","0.364288369162376","0.423083884727708"
"keinen Tag","1995","AkademikerIn","Laendlicher Raum","282","0.425748131750876","0.387500181938467","0.463996081563285"
"Ja","1995","(noch) kein Abschluss","Staedtischer Raum","566","0.855609633440617","0.829152658473288","0.882066608407947"
"Ja","1995","(noch) kein Abschluss","Laendlicher Raum","163","0.916060368880432","0.875662879153507","0.956457858607357"
"Ja","1995","Hauptschule","Staedtischer Raum","2942","0.780000031542648","0.767068546540638","0.792931516544657"
"Ja","1995","Hauptschule","Laendlicher Raum","1454","0.770508474960207","0.752005170578537","0.789011779341876"
"Ja","1995","Realschule","Staedtischer Raum","1132","0.701182659124148","0.679468160191986","0.722897158056311"
"Ja","1995","Realschule","Laendlicher Raum","804","0.609530422734262","0.583321428344826","0.635739417123697"
"Ja","1995","(Fach-)Abitur","Staedtischer Raum","540","0.7029075337629","0.670796579567709","0.735018487958091"
"Ja","1995","(Fach-)Abitur","Laendlicher Raum","165","0.714447192627914","0.657539799407613","0.771354585848215"
"Ja","1995","AkademikerIn","Staedtischer Raum","619","0.606313873054958","0.576916115272292","0.635711630837624"
"Ja","1995","AkademikerIn","Laendlicher Raum","360","0.574251868249124","0.536003918436715","0.612499818061533"
"keinen Tag","1996","(noch) kein Abschluss","Staedtischer Raum","82","0.108818986045547","0.0845977373650264","0.133040234726067"
"keinen Tag","1996","(noch) kein Abschluss","Laendlicher Raum","","","",""
"keinen Tag","1996","Hauptschule","Staedtischer Raum","993","0.22908261477552","0.21574562763899","0.242419601912049"
"keinen Tag","1996","Hauptschule","Laendlicher Raum","470","0.218098087246513","0.199655492818114","0.236540681674912"
"keinen Tag","1996","Realschule","Staedtischer Raum","542","0.304198741784298","0.28222528626025","0.326172197308346"
"keinen Tag","1996","Realschule","Laendlicher Raum","455","0.33778262113716","0.311933454608837","0.363631787665484"
"keinen Tag","1996","(Fach-)Abitur","Staedtischer Raum","235","0.312848501855051","0.279577033644603","0.346119970065499"
"keinen Tag","1996","(Fach-)Abitur","Laendlicher Raum","64","0.267199902417389","0.209509339278033","0.324890465556746"
"keinen Tag","1996","AkademikerIn","Staedtischer Raum","438","0.387745546840346","0.358646442280404","0.416844651400288"
"keinen Tag","1996","AkademikerIn","Laendlicher Raum","272","0.400233293016876","0.362005326698107","0.438461259335644"
"Ja","1996","(noch) kein Abschluss","Staedtischer Raum","553","0.891181013954453","0.866959765273933","0.915402262634974"
"Ja","1996","(noch) kein Abschluss","Laendlicher Raum","171","0.951885696726984","0.921294344987841","0.982477048466127"
"Ja","1996","Hauptschule","Staedtischer Raum","2821","0.77091738522448","0.757580398087951","0.78425437236101"
"Ja","1996","Hauptschule","Laendlicher Raum","1456","0.781901912753487","0.763459318325088","0.800344507181886"
"Ja","1996","Realschule","Staedtischer Raum","1142","0.695801258215702","0.673827802691654","0.71777471373975"
"Ja","1996","Realschule","Laendlicher Raum","831","0.66221737886284","0.636368212334516","0.688066545391163"
"Ja","1996","(Fach-)Abitur","Staedtischer Raum","511","0.687151498144949","0.653880029934501","0.720422966355397"
"Ja","1996","(Fach-)Abitur","Laendlicher Raum","162","0.732800097582611","0.675109534443255","0.790490660721967"
"Ja","1996","AkademikerIn","Staedtischer Raum","639","0.612254453159654","0.583155348599712","0.641353557719596"
"Ja","1996","AkademikerIn","Laendlicher Raum","359","0.599766706983124","0.561538740664356","0.637994673301893"
"keinen Tag","1997","(noch) kein Abschluss","Staedtischer Raum","89","0.137617999479248","0.110413220819079","0.164822778139418"
"keinen Tag","1997","(noch) kein Abschluss","Laendlicher Raum","","","",""
"keinen Tag","1997","Hauptschule","Staedtischer Raum","917","0.20923749796598","0.196127354926593","0.222347641005366"
"keinen Tag","1997","Hauptschule","Laendlicher Raum","461","0.226443807547572","0.207433707145442","0.245453907949702"
"keinen Tag","1997","Realschule","Staedtischer Raum","544","0.285599208198914","0.263830643169541","0.307367773228286"
"keinen Tag","1997","Realschule","Laendlicher Raum","507","0.376005558544693","0.34954211775686","0.402468999332525"
"keinen Tag","1997","(Fach-)Abitur","Staedtischer Raum","220","0.302267228515368","0.269574318356483","0.334960138674253"
"keinen Tag","1997","(Fach-)Abitur","Laendlicher Raum","78","0.381244162999625","0.317064415131032","0.445423910868219"
"keinen Tag","1997","AkademikerIn","Staedtischer Raum","430","0.384996914557","0.355676336447172","0.414317492666827"
"keinen Tag","1997","AkademikerIn","Laendlicher Raum","261","0.369708998913166","0.332074155275841","0.407343842550491"
"Ja","1997","(noch) kein Abschluss","Staedtischer Raum","527","0.862382000520752","0.835177221860582","0.889586779180921"
"Ja","1997","(noch) kein Abschluss","Laendlicher Raum","176","0.921173951094833","0.88325529563184","0.959092606557827"
"Ja","1997","Hauptschule","Staedtischer Raum","2781","0.79076250203402","0.777652358994634","0.803872645073407"
"Ja","1997","Hauptschule","Laendlicher Raum","1401","0.773556192452428","0.754546092050298","0.792566292854558"
"Ja","1997","Realschule","Staedtischer Raum","1110","0.714400791801086","0.692632226771714","0.736169356830459"
"Ja","1997","Realschule","Laendlicher Raum","780","0.623994441455307","0.597531000667475","0.65045788224314"
"Ja","1997","(Fach-)Abitur","Staedtischer Raum","538","0.697732771484632","0.665039861325747","0.730425681643517"
"Ja","1997","(Fach-)Abitur","Laendlicher Raum","142","0.618755837000375","0.554576089131782","0.682935584868968"
"Ja","1997","AkademikerIn","Staedtischer Raum","628","0.615003085443001","0.585682507333173","0.644323663552828"
"Ja","1997","AkademikerIn","Laendlicher Raum","371","0.630291001086834","0.592656157449509","0.667925844724159"
"keinen Tag","1998","(noch) kein Abschluss","Staedtischer Raum","84","0.136092935833523","0.10877035573776","0.163415515929286"
"keinen Tag","1998","(noch) kein Abschluss","Laendlicher Raum","","","",""
"keinen Tag","1998","Hauptschule","Staedtischer Raum","977","0.225072359067146","0.211970272248475","0.238174445885816"
"keinen Tag","1998","Hauptschule","Laendlicher Raum","502","0.208815506005345","0.191164363038599","0.226466648972091"
"keinen Tag","1998","Realschule","Staedtischer Raum","629","0.30793263036361","0.286839491005792","0.329025769721428"
"keinen Tag","1998","Realschule","Laendlicher Raum","528","0.349478728111288","0.324538199067388","0.374419257155188"
"keinen Tag","1998","(Fach-)Abitur","Staedtischer Raum","261","0.289295620004635","0.258776950927038","0.319814289082232"
"keinen Tag","1998","(Fach-)Abitur","Laendlicher Raum","75","0.28782563190917","0.230426272789541","0.3452249910288"
"keinen Tag","1998","AkademikerIn","Staedtischer Raum","495","0.391766412657589","0.363996690739074","0.419536134576104"
"keinen Tag","1998","AkademikerIn","Laendlicher Raum","291","0.407647120013423","0.371322350285151","0.443971889741696"
"Ja","1998","(noch) kein Abschluss","Staedtischer Raum","521","0.863907064166477","0.836584484070714","0.89122964426224"
