"ple0044_h","year","regtyp","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1992","Laendlicher Raum","maennlich","1201","","",""
"Ja","1992","Laendlicher Raum","weiblich","1592","","",""
"keinen Tag","1993","Staedtischer Raum","maennlich","","","",""
"keinen Tag","1993","Staedtischer Raum","weiblich","","","",""
"keinen Tag","1993","Laendlicher Raum","maennlich","","","",""
"keinen Tag","1993","Laendlicher Raum","weiblich","","","",""
"Ja","1993","Staedtischer Raum","maennlich","","","",""
"Ja","1993","Staedtischer Raum","weiblich","","","",""
"Ja","1993","Laendlicher Raum","maennlich","","","",""
"Ja","1993","Laendlicher Raum","weiblich","","","",""
"keinen Tag","1994","Staedtischer Raum","maennlich","1476","","",""
"keinen Tag","1994","Staedtischer Raum","weiblich","972","0.19450417943539","0.182711823493415","0.206296535377365"
"keinen Tag","1994","Laendlicher Raum","maennlich","840","0.375797849306864","0.355181112058801","0.396414586554926"
"keinen Tag","1994","Laendlicher Raum","weiblich","554","0.208645174200153","0.191918402450686","0.225371945949619"
"Ja","1994","Staedtischer Raum","maennlich","2570","","",""
"Ja","1994","Staedtischer Raum","weiblich","3356","0.80549582056461","0.793703464622635","0.817288176506585"
"Ja","1994","Laendlicher Raum","maennlich","1280","","",""
"Ja","1994","Laendlicher Raum","weiblich","1713","","",""
"keinen Tag","1995","Staedtischer Raum","maennlich","1442","","",""
"keinen Tag","1995","Staedtischer Raum","weiblich","993","0.198243958418479","0.186412824739837","0.210075092097122"
"keinen Tag","1995","Laendlicher Raum","maennlich","847","0.365304277874163","0.345016726743141","0.385591829005184"
"keinen Tag","1995","Laendlicher Raum","weiblich","604","0.227475918674319","0.210325273065083","0.244626564283555"
"Ja","1995","Staedtischer Raum","maennlich","2611","","",""
"Ja","1995","Staedtischer Raum","weiblich","3369","0.801756041581521","0.789924907902878","0.813587175260164"
"Ja","1995","Laendlicher Raum","maennlich","1317","","",""
"Ja","1995","Laendlicher Raum","weiblich","1691","","",""
"keinen Tag","1996","Staedtischer Raum","maennlich","1375","","",""
"keinen Tag","1996","Staedtischer Raum","weiblich","979","0.205763087257059","0.193622126974797","0.21790404753932"
"keinen Tag","1996","Laendlicher Raum","maennlich","755","0.33822288573558","0.318031451510149","0.358414319961011"
"keinen Tag","1996","Laendlicher Raum","weiblich","546","0.205267020952462","0.188518490238809","0.222015551666115"
"Ja","1996","Staedtischer Raum","maennlich","2574","","",""
"Ja","1996","Staedtischer Raum","weiblich","3280","0.794236912742941","0.78209595246068","0.806377873025203"
"Ja","1996","Laendlicher Raum","maennlich","1354","","",""
"Ja","1996","Laendlicher Raum","weiblich","1688","","",""
"keinen Tag","1997","Staedtischer Raum","maennlich","1359","","",""
"keinen Tag","1997","Staedtischer Raum","weiblich","916","0.192956338013716","0.180938645621421","0.204974030406011"
"keinen Tag","1997","Laendlicher Raum","maennlich","771","0.359468184625335","0.338866638451599","0.380069730799071"
"keinen Tag","1997","Laendlicher Raum","weiblich","574","0.218833664566115","0.201560699456638","0.236106629675593"
"Ja","1997","Staedtischer Raum","maennlich","2531","","",""
"Ja","1997","Staedtischer Raum","weiblich","3226","0.807043661986284","0.795025969593989","0.819061354378579"
"Ja","1997","Laendlicher Raum","maennlich","1313","","",""
"Ja","1997","Laendlicher Raum","weiblich","1627","","",""
"keinen Tag","1998","Staedtischer Raum","maennlich","1522","","",""
"keinen Tag","1998","Staedtischer Raum","weiblich","1053","","",""
"keinen Tag","1998","Laendlicher Raum","maennlich","862","0.339429064053183","0.320255793934385","0.358602334171981"
"keinen Tag","1998","Laendlicher Raum","weiblich","610","0.211931589653086","0.195719312901475","0.228143866404698"
"Ja","1998","Staedtischer Raum","maennlich","2736","","",""
"Ja","1998","Staedtischer Raum","weiblich","3523","0.797697045984889","0.786057790874644","0.809336301095135"
"Ja","1998","Laendlicher Raum","maennlich","1481","","",""
"Ja","1998","Laendlicher Raum","weiblich","1831","","",""
"keinen Tag","1999","Staedtischer Raum","maennlich","1482","","",""
"keinen Tag","1999","Staedtischer Raum","weiblich","1131","","",""
"keinen Tag","1999","Laendlicher Raum","maennlich","827","0.344094889922647","0.324355092015686","0.363834687829609"
"keinen Tag","1999","Laendlicher Raum","weiblich","622","0.227920678371858","0.210992627888825","0.244848728854891"
"Ja","1999","Staedtischer Raum","maennlich","2630","","",""
"Ja","1999","Staedtischer Raum","weiblich","3273","0.773556285977082","0.761195373528939","0.785917198425226"
"Ja","1999","Laendlicher Raum","maennlich","1398","","",""
"Ja","1999","Laendlicher Raum","weiblich","1737","","",""
"keinen Tag","2000","Staedtischer Raum","maennlich","2486","","",""
"keinen Tag","2000","Staedtischer Raum","weiblich","1963","","",""
"keinen Tag","2000","Laendlicher Raum","maennlich","1395","","",""
"keinen Tag","2000","Laendlicher Raum","weiblich","1070","","",""
"Ja","2000","Staedtischer Raum","maennlich","4730","0.663220416860929","0.652316019979364","0.674124813742494"
"Ja","2000","Staedtischer Raum","weiblich","5983","0.769120535072291","0.759855145854636","0.778385924289946"
"Ja","2000","Laendlicher Raum","maennlich","2520","","",""
"Ja","2000","Laendlicher Raum","weiblich","3122","0.769983510080973","0.757243855520233","0.782723164641712"
"keinen Tag","2001","Staedtischer Raum","maennlich","2310","","",""
"keinen Tag","2001","Staedtischer Raum","weiblich","1832","","",""
"keinen Tag","2001","Laendlicher Raum","maennlich","1236","","",""
"keinen Tag","2001","Laendlicher Raum","weiblich","982","0.234195382001322","0.220748123386283","0.24764264061636"
"Ja","2001","Staedtischer Raum","maennlich","4297","0.652864523991626","0.641385446906028","0.664343601077224"
"Ja","2001","Staedtischer Raum","weiblich","5408","0.763155793157734","0.75336276972231","0.772948816593158"
"Ja","2001","Laendlicher Raum","maennlich","2363","","",""
"Ja","2001","Laendlicher Raum","weiblich","2828","","",""
"keinen Tag","2002","Staedtischer Raum","maennlich","2604","","",""
"keinen Tag","2002","Staedtischer Raum","weiblich","2002","","",""
"keinen Tag","2002","Laendlicher Raum","maennlich","1304","","",""
"keinen Tag","2002","Laendlicher Raum","weiblich","1002","","",""
"Ja","2002","Staedtischer Raum","maennlich","4480","0.662114874203162","0.651100495011192","0.673129253395132"
"Ja","2002","Staedtischer Raum","weiblich","5664","0.767196300268496","0.757735848576608","0.776656751960383"
"Ja","2002","Laendlicher Raum","maennlich","2354","","",""
"Ja","2002","Laendlicher Raum","weiblich","2853","","",""
"keinen Tag","2003","Staedtischer Raum","maennlich","2422","","",""
"keinen Tag","2003","Staedtischer Raum","weiblich","1898","","",""
"keinen Tag","2003","Laendlicher Raum","maennlich","1253","","",""
"keinen Tag","2003","Laendlicher Raum","weiblich","950","0.235655423187994","0.222057283034456","0.249253563341532"
"Ja","2003","Staedtischer Raum","maennlich","4417","0.665149931027141","0.653964911137578","0.676334950916705"
"Ja","2003","Staedtischer Raum","weiblich","5500","0.77848007258922","0.769017241723847","0.787942903454594"
"Ja","2003","Laendlicher Raum","maennlich","2257","","",""
"Ja","2003","Laendlicher Raum","weiblich","2792","","",""
"keinen Tag","2004","Staedtischer Raum","maennlich","2335","","",""
"keinen Tag","2004","Staedtischer Raum","weiblich","1865","","",""
"keinen Tag","2004","Laendlicher Raum","maennlich","1199","","",""
"keinen Tag","2004","Laendlicher Raum","weiblich","1019","","",""
"Ja","2004","Staedtischer Raum","maennlich","4332","0.678173692872464","0.666959601152152","0.689387784592776"
"Ja","2004","Staedtischer Raum","weiblich","5394","0.772397765704604","0.762752405348476","0.782043126060733"
"Ja","2004","Laendlicher Raum","maennlich","2224","","",""
"Ja","2004","Laendlicher Raum","weiblich","2637","","",""
"keinen Tag","2005","Staedtischer Raum","maennlich","2164","","",""
"keinen Tag","2005","Staedtischer Raum","weiblich","1826","","",""
"keinen Tag","2005","Laendlicher Raum","maennlich","1140","","",""
"keinen Tag","2005","Laendlicher Raum","weiblich","972","0.253350402583067","0.238982413932036","0.267718391234099"
"Ja","2005","Staedtischer Raum","maennlich","4240","0.679727822567504","0.668300366534829","0.691155278600178"
"Ja","2005","Staedtischer Raum","weiblich","5171","0.763754853150168","0.753801931315905","0.773707774984431"
"Ja","2005","Laendlicher Raum","maennlich","2120","","",""
"Ja","2005","Laendlicher Raum","weiblich","2548","","",""
"keinen Tag","2006","Staedtischer Raum","maennlich","2229","","",""
"keinen Tag","2006","Staedtischer Raum","weiblich","1928","","",""
"keinen Tag","2006","Laendlicher Raum","maennlich","1233","","",""
"keinen Tag","2006","Laendlicher Raum","weiblich","1113","","",""
"Ja","2006","Staedtischer Raum","maennlich","4463","0.678036229321178","0.666841848491927","0.68923061015043"
"Ja","2006","Staedtischer Raum","weiblich","5442","0.7620287318382","0.752306582612021","0.771750881064379"
"Ja","2006","Laendlicher Raum","maennlich","2298","","",""
"Ja","2006","Laendlicher Raum","weiblich","2721","","",""
"keinen Tag","2007","Staedtischer Raum","maennlich","2042","","",""
"keinen Tag","2007","Staedtischer Raum","weiblich","1795","","",""
"keinen Tag","2007","Laendlicher Raum","maennlich","1160","","",""
"keinen Tag","2007","Laendlicher Raum","weiblich","974","0.250576394324622","0.236343413433013","0.264809375216232"
"Ja","2007","Staedtischer Raum","maennlich","4145","0.673768921906118","0.662086680238221","0.685451163574014"
"Ja","2007","Staedtischer Raum","weiblich","5077","0.765343581813982","0.755323968607136","0.775363195020828"
"Ja","2007","Laendlicher Raum","maennlich","2171","","",""
"Ja","2007","Laendlicher Raum","weiblich","2587","","",""
"keinen Tag","2008","Staedtischer Raum","maennlich","1866","","",""
"keinen Tag","2008","Staedtischer Raum","weiblich","1621","","",""
"keinen Tag","2008","Laendlicher Raum","maennlich","1034","","",""
"keinen Tag","2008","Laendlicher Raum","weiblich","938","0.252714074062713","0.238106881698434","0.267321266426991"
"Ja","2008","Staedtischer Raum","maennlich","4009","0.681716164817786","0.669805027187687","0.693627302447884"
"Ja","2008","Staedtischer Raum","weiblich","4896","0.771112611227399","0.76091275463409","0.781312467820708"
"Ja","2008","Laendlicher Raum","maennlich","2101","","",""
"Ja","2008","Laendlicher Raum","weiblich","2462","","",""
"keinen Tag","2009","Staedtischer Raum","maennlich","1659","","",""
"keinen Tag","2009","Staedtischer Raum","weiblich","1498","","",""
"keinen Tag","2009","Laendlicher Raum","maennlich","947","0.315756384412766","0.29914005665537","0.332372712170161"
"keinen Tag","2009","Laendlicher Raum","weiblich","816","0.244794873396525","0.229909227008718","0.259680519784332"
"Ja","2009","Staedtischer Raum","maennlich","3750","0.69775050480947","0.685512166002203","0.709988843616736"
"Ja","2009","Staedtischer Raum","weiblich","4512","0.765702797073283","0.754994398592544","0.776411195554022"
"Ja","2009","Laendlicher Raum","maennlich","2059","","",""
"Ja","2009","Laendlicher Raum","weiblich","2389","","",""
"keinen Tag","2010","Staedtischer Raum","maennlich","2218","","",""
"keinen Tag","2010","Staedtischer Raum","weiblich","2127","","",""
"keinen Tag","2010","Laendlicher Raum","maennlich","1316","","",""
"keinen Tag","2010","Laendlicher Raum","weiblich","1265","","",""
"Ja","2010","Staedtischer Raum","maennlich","4737","0.699499151631078","0.688724184075707","0.710274119186449"
"Ja","2010","Staedtischer Raum","weiblich","6329","0.776143531771583","0.767259267902181","0.785027795640984"
"Ja","2010","Laendlicher Raum","maennlich","2478","","",""
"Ja","2010","Laendlicher Raum","weiblich","3210","0.735023501700862","0.722093283249278","0.747953720152446"
"keinen Tag","2011","Staedtischer Raum","maennlich","1462","","",""
"keinen Tag","2011","Staedtischer Raum","weiblich","1624","","",""
"keinen Tag","2011","Laendlicher Raum","maennlich","892","0.240878035138037","0.226365123511199","0.255390946764876"
"keinen Tag","2011","Laendlicher Raum","weiblich","918","0.164183674906714","0.152988423063941","0.175378926749487"
"Ja","2011","Staedtischer Raum","maennlich","4269","0.781133667528336","0.770428707613636","0.791838627443036"
"Ja","2011","Staedtischer Raum","weiblich","6049","0.83106811061656","0.822684335496059","0.839451885737062"
"Ja","2011","Laendlicher Raum","maennlich","2443","","",""
"Ja","2011","Laendlicher Raum","weiblich","3288","0.835816325093286","0.824621073250513","0.847011576936059"
"keinen Tag","2012","Staedtischer Raum","maennlich","2296","","",""
"keinen Tag","2012","Staedtischer Raum","weiblich","2371","","",""
"keinen Tag","2012","Laendlicher Raum","maennlich","1405","","",""
"keinen Tag","2012","Laendlicher Raum","weiblich","1439","","",""
"Ja","2012","Staedtischer Raum","maennlich","5474","0.712830743453123","0.702770702132895","0.72289078477335"
"Ja","2012","Staedtischer Raum","weiblich","7148","0.774866754048198","0.766476294305844","0.783257213790553"
"Ja","2012","Laendlicher Raum","maennlich","3177","0.6934688937853","0.68011919958716","0.706818587983439"
"Ja","2012","Laendlicher Raum","weiblich","3986","0.760415319231278","0.749057285051848","0.771773353410708"
"keinen Tag","2013","Staedtischer Raum","maennlich","2615","","",""
"keinen Tag","2013","Staedtischer Raum","weiblich","2721","","",""
"keinen Tag","2013","Laendlicher Raum","maennlich","1438","","",""
"keinen Tag","2013","Laendlicher Raum","weiblich","1477","","",""
"Ja","2013","Staedtischer Raum","maennlich","6399","0.731276831461417","0.722125531791036","0.740428131131797"
"Ja","2013","Staedtischer Raum","weiblich","8146","0.784597426178517","0.77686809099005","0.792326761366984"
"Ja","2013","Laendlicher Raum","maennlich","3339","0.709980019283955","0.697112124730683","0.722847913837227"
"Ja","2013","Laendlicher Raum","weiblich","4137","0.764154729247484","0.753049791571249","0.77525966692372"
"keinen Tag","2014","Staedtischer Raum","maennlich","2572","","",""
"keinen Tag","2014","Staedtischer Raum","weiblich","2779","","",""
"keinen Tag","2014","Laendlicher Raum","maennlich","1364","","",""
"keinen Tag","2014","Laendlicher Raum","weiblich","1420","","",""
"Ja","2014","Staedtischer Raum","maennlich","5362","0.693834368274833","0.683692730007594","0.703976006542071"
"Ja","2014","Staedtischer Raum","weiblich","6638","0.753225968560715","0.744518254166774","0.761933682954657"
"Ja","2014","Laendlicher Raum","maennlich","2965","","",""
"Ja","2014","Laendlicher Raum","weiblich","3599","0.757261432697525","0.745400145961228","0.769122719433821"
"keinen Tag","2015","Staedtischer Raum","maennlich","2322","","",""
"keinen Tag","2015","Staedtischer Raum","weiblich","2263","","",""
"keinen Tag","2015","Laendlicher Raum","maennlich","1265","","",""
"keinen Tag","2015","Laendlicher Raum","weiblich","1301","","",""
"Ja","2015","Staedtischer Raum","maennlich","5537","0.719148832873149","0.709212824401627","0.729084841344671"
"Ja","2015","Staedtischer Raum","weiblich","7109","0.783942518271174","0.775610336882479","0.792274699659869"
"Ja","2015","Laendlicher Raum","maennlich","2995","","",""
"Ja","2015","Laendlicher Raum","weiblich","3654","0.757595452793293","0.745663395707696","0.769527509878889"
"keinen Tag","2016","Staedtischer Raum","maennlich","2012","","",""
"keinen Tag","2016","Staedtischer Raum","weiblich","2058","","",""
"keinen Tag","2016","Laendlicher Raum","maennlich","1144","","",""
"keinen Tag","2016","Laendlicher Raum","weiblich","1153","","",""
"Ja","2016","Staedtischer Raum","maennlich","5049","0.717779885231618","0.707281932591606","0.72827783787163"
"Ja","2016","Staedtischer Raum","weiblich","6428","0.776007709565242","0.767137249794732","0.784878169335752"
"Ja","2016","Laendlicher Raum","maennlich","2737","","",""
"Ja","2016","Laendlicher Raum","weiblich","3384","0.769966844424676","0.757720825334106","0.782212863515247"
"keinen Tag","2017","Staedtischer Raum","maennlich","2147","","",""
"keinen Tag","2017","Staedtischer Raum","weiblich","2097","","",""
"keinen Tag","2017","Laendlicher Raum","maennlich","1195","","",""
"keinen Tag","2017","Laendlicher Raum","weiblich","1174","","",""
"Ja","2017","Staedtischer Raum","maennlich","5613","0.720532343001139","0.710548224031671","0.730516461970608"
"Ja","2017","Staedtischer Raum","weiblich","7076","0.786517747912971","0.778132275285985","0.794903220539957"
"Ja","2017","Laendlicher Raum","maennlich","3142","0.743865158433907","0.730874390696394","0.75685592617142"
"Ja","2017","Laendlicher Raum","weiblich","3794","0.787866540407684","0.776498431819994","0.799234648995375"
"keinen Tag","2018","Staedtischer Raum","maennlich","1982","","",""
"keinen Tag","2018","Staedtischer Raum","weiblich","2005","","",""
"keinen Tag","2018","Laendlicher Raum","maennlich","1124","","",""
"keinen Tag","2018","Laendlicher Raum","weiblich","1147","","",""
"Ja","2018","Staedtischer Raum","maennlich","5552","0.742616410087046","0.732744345659066","0.752488474515026"
"Ja","2018","Staedtischer Raum","weiblich","6909","0.800462054767998","0.792165555127911","0.808758554408085"
"Ja","2018","Laendlicher Raum","maennlich","3016","0.730116765600204","0.71659504262243","0.743638488577979"
"Ja","2018","Laendlicher Raum","weiblich","3619","0.780929789831087","0.769187069181498","0.792672510480677"
"keinen Tag","2019","Staedtischer Raum","maennlich","2292","","",""
"keinen Tag","2019","Staedtischer Raum","weiblich","1974","","",""
"keinen Tag","2019","Laendlicher Raum","maennlich","1217","","",""
"keinen Tag","2019","Laendlicher Raum","weiblich","1090","","",""
"Ja","2019","Staedtischer Raum","maennlich","5376","0.730377070057298","0.720444559944287","0.740309580170308"
"Ja","2019","Staedtischer Raum","weiblich","6561","0.804451623160781","0.796037218342513","0.812866027979049"
"Ja","2019","Laendlicher Raum","maennlich","2964","","",""
"Ja","2019","Laendlicher Raum","weiblich","3466","0.800329094461715","0.78872134757101","0.81193684135242"
"keinen Tag","2020","Staedtischer Raum","maennlich","3128","0.258335708766907","0.249359566638585","0.267311850895228"
"keinen Tag","2020","Staedtischer Raum","weiblich","2388","","",""
"keinen Tag","2020","Laendlicher Raum","maennlich","1486","","",""
"keinen Tag","2020","Laendlicher Raum","weiblich","1280","","",""
"Ja","2020","Staedtischer Raum","maennlich","6007","0.741664291233093","0.732688149104772","0.750640433361415"
"Ja","2020","Staedtischer Raum","weiblich","7086","0.800409628187826","0.792361269067443","0.808457987308208"
"Ja","2020","Laendlicher Raum","maennlich","3035","0.720918526289699","0.707843594422989","0.73399345815641"
"Ja","2020","Laendlicher Raum","weiblich","3408","0.772897866823006","0.760904918823038","0.784890814822975"
