"ple0044_h","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"Ja","1985","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Ja","1985","Hessen","Westdeutschland","495","0.40176666354387","0.373232587247482","0.430300739840259"
"Ja","1985","Hessen","Ostdeutschland","","","",""
"Ja","1985","Rheinland-Pfalz,Saarland","Westdeutschland","306","0.381759454284862","0.347489534860529","0.416029373709194"
"Ja","1985","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Ja","1985","Baden-Wuerttemberg","Westdeutschland","785","0.368268211038574","0.347342748311875","0.389193673765274"
"Ja","1985","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Ja","1985","Bayern","Westdeutschland","760","0.395092568607091","0.373093296269943","0.417091840944239"
"Ja","1985","Bayern","Ostdeutschland","","","",""
"Ja","1985","Berlin","Westdeutschland","168","0.471502696726082","0.420291474959751","0.522713918492414"
"Ja","1985","Berlin","Ostdeutschland","","","",""
"Ja","1985","Brandenburg","Westdeutschland","","","",""
"Ja","1985","Brandenburg","Ostdeutschland","","","",""
"Ja","1985","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Ja","1985","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Ja","1985","Sachsen","Westdeutschland","","","",""
"Ja","1985","Sachsen","Ostdeutschland","","","",""
"Ja","1985","Sachsen-Anhalt","Westdeutschland","","","",""
"Ja","1985","Sachsen-Anhalt","Ostdeutschland","","","",""
"Ja","1985","Thueringen","Westdeutschland","","","",""
"Ja","1985","Thueringen","Ostdeutschland","","","",""
"keinen Tag","1986","Schleswig-Holstein","Westdeutschland","122","0.34254997651668","0.290143355637608","0.394956597395752"
"keinen Tag","1986","Schleswig-Holstein","Ostdeutschland","","","",""
"keinen Tag","1986","Hamburg","Westdeutschland","63","0.238424964239067","0.184626264096107","0.292223664382027"
"keinen Tag","1986","Hamburg","Ostdeutschland","","","",""
"keinen Tag","1986","Niedersachsen","Westdeutschland","379","0.314948209242622","0.287448754130758","0.342447664354485"
"keinen Tag","1986","Niedersachsen","Ostdeutschland","","","",""
"keinen Tag","1986","Bremen","Westdeutschland","38","0.308866357460577","0.221729371581013","0.396003343340141"
"keinen Tag","1986","Bremen","Ostdeutschland","","","",""
"keinen Tag","1986","Nordrhein-Westfalen","Westdeutschland","928","0.303474004161879","0.286517154988674","0.320430853335085"
"keinen Tag","1986","Nordrhein-Westfalen","Ostdeutschland","","","",""
"keinen Tag","1986","Hessen","Westdeutschland","346","0.312617084032811","0.284416692685102","0.34081747538052"
"keinen Tag","1986","Hessen","Ostdeutschland","","","",""
"keinen Tag","1986","Rheinland-Pfalz,Saarland","Westdeutschland","243","0.296320612876176","0.263856043900872","0.328785181851479"
"keinen Tag","1986","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"keinen Tag","1986","Baden-Wuerttemberg","Westdeutschland","681","0.344301813010868","0.323320308623866","0.36528331739787"
"keinen Tag","1986","Baden-Wuerttemberg","Ostdeutschland","","","",""
"keinen Tag","1986","Bayern","Westdeutschland","628","0.3366088799659","0.314347751884422","0.358870008047377"
"keinen Tag","1986","Bayern","Ostdeutschland","","","",""
"keinen Tag","1986","Berlin","Westdeutschland","133","0.32371034344785","0.274761865309498","0.372658821586202"
"keinen Tag","1986","Berlin","Ostdeutschland","","","",""
"keinen Tag","1986","Brandenburg","Westdeutschland","","","",""
"keinen Tag","1986","Brandenburg","Ostdeutschland","","","",""
"keinen Tag","1986","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"keinen Tag","1986","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"keinen Tag","1986","Sachsen","Westdeutschland","","","",""
"keinen Tag","1986","Sachsen","Ostdeutschland","","","",""
"keinen Tag","1986","Sachsen-Anhalt","Westdeutschland","","","",""
"keinen Tag","1986","Sachsen-Anhalt","Ostdeutschland","","","",""
"keinen Tag","1986","Thueringen","Westdeutschland","","","",""
"keinen Tag","1986","Thueringen","Ostdeutschland","","","",""
"Ja","1986","Schleswig-Holstein","Westdeutschland","193","0.65745002348332","0.605043402604248","0.709856644362392"
"Ja","1986","Schleswig-Holstein","Ostdeutschland","","","",""
"Ja","1986","Hamburg","Westdeutschland","178","0.761575035760933","0.707776335617973","0.815373735903893"
"Ja","1986","Hamburg","Ostdeutschland","","","",""
"Ja","1986","Niedersachsen","Westdeutschland","717","0.685051790757378","0.657552335645515","0.712551245869242"
"Ja","1986","Niedersachsen","Ostdeutschland","","","",""
"Ja","1986","Bremen","Westdeutschland","70","0.691133642539423","0.603996656659859","0.778270628418987"
"Ja","1986","Bremen","Ostdeutschland","","","",""
"Ja","1986","Nordrhein-Westfalen","Westdeutschland","1896","0.696525995838121","0.679569146664915","0.713482845011326"
"Ja","1986","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Ja","1986","Hessen","Westdeutschland","692","0.687382915967189","0.65918252461948","0.715583307314898"
"Ja","1986","Hessen","Ostdeutschland","","","",""
"Ja","1986","Rheinland-Pfalz,Saarland","Westdeutschland","517","0.703679387123824","0.671214818148521","0.736143956099128"
"Ja","1986","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Ja","1986","Baden-Wuerttemberg","Westdeutschland","1289","0.655698186989132","0.63471668260213","0.676679691376134"
"Ja","1986","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Ja","1986","Bayern","Westdeutschland","1103","0.6633911200341","0.641129991952623","0.685652248115578"
"Ja","1986","Bayern","Ostdeutschland","","","",""
"Ja","1986","Berlin","Westdeutschland","218","0.67628965655215","0.627341178413798","0.725238134690502"
"Ja","1986","Berlin","Ostdeutschland","","","",""
"Ja","1986","Brandenburg","Westdeutschland","","","",""
"Ja","1986","Brandenburg","Ostdeutschland","","","",""
"Ja","1986","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Ja","1986","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Ja","1986","Sachsen","Westdeutschland","","","",""
"Ja","1986","Sachsen","Ostdeutschland","","","",""
"Ja","1986","Sachsen-Anhalt","Westdeutschland","","","",""
"Ja","1986","Sachsen-Anhalt","Ostdeutschland","","","",""
"Ja","1986","Thueringen","Westdeutschland","","","",""
"Ja","1986","Thueringen","Ostdeutschland","","","",""
"keinen Tag","1987","Schleswig-Holstein","Westdeutschland","93","0.288416681232724","0.238228785258705","0.338604577206742"
"keinen Tag","1987","Schleswig-Holstein","Ostdeutschland","","","",""
"keinen Tag","1987","Hamburg","Westdeutschland","62","0.276975648915275","0.217707237071033","0.336244060759516"
"keinen Tag","1987","Hamburg","Ostdeutschland","","","",""
"keinen Tag","1987","Niedersachsen","Westdeutschland","341","0.291404089938677","0.264365728823261","0.318442451054092"
"keinen Tag","1987","Niedersachsen","Ostdeutschland","","","",""
"keinen Tag","1987","Bremen","Westdeutschland","30","0.242898562296033","0.158848585362402","0.326948539229664"
"keinen Tag","1987","Bremen","Ostdeutschland","","","",""
"keinen Tag","1987","Nordrhein-Westfalen","Westdeutschland","787","0.271944931010366","0.255395512066074","0.288494349954658"
"keinen Tag","1987","Nordrhein-Westfalen","Ostdeutschland","","","",""
"keinen Tag","1987","Hessen","Westdeutschland","321","0.262906137377272","0.236190367332884","0.289621907421659"
"keinen Tag","1987","Hessen","Ostdeutschland","","","",""
"keinen Tag","1987","Rheinland-Pfalz,Saarland","Westdeutschland","225","0.275904886420659","0.243958872603966","0.307850900237353"
"keinen Tag","1987","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"keinen Tag","1987","Baden-Wuerttemberg","Westdeutschland","609","0.306452464763906","0.285857910358673","0.327047019169139"
"keinen Tag","1987","Baden-Wuerttemberg","Ostdeutschland","","","",""
"keinen Tag","1987","Bayern","Westdeutschland","538","0.295751571831016","0.273921798972275","0.317581344689757"
"keinen Tag","1987","Bayern","Ostdeutschland","","","",""
"keinen Tag","1987","Berlin","Westdeutschland","95","0.236393797616534","0.192197419861855","0.280590175371213"
"keinen Tag","1987","Berlin","Ostdeutschland","","","",""
"keinen Tag","1987","Brandenburg","Westdeutschland","","","",""
"keinen Tag","1987","Brandenburg","Ostdeutschland","","","",""
"keinen Tag","1987","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"keinen Tag","1987","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"keinen Tag","1987","Sachsen","Westdeutschland","","","",""
"keinen Tag","1987","Sachsen","Ostdeutschland","","","",""
"keinen Tag","1987","Sachsen-Anhalt","Westdeutschland","","","",""
"keinen Tag","1987","Sachsen-Anhalt","Ostdeutschland","","","",""
"keinen Tag","1987","Thueringen","Westdeutschland","","","",""
"keinen Tag","1987","Thueringen","Ostdeutschland","","","",""
"Ja","1987","Schleswig-Holstein","Westdeutschland","220","0.711583318767276","0.661395422793257","0.761771214741295"
"Ja","1987","Schleswig-Holstein","Ostdeutschland","","","",""
"Ja","1987","Hamburg","Westdeutschland","157","0.723024351084725","0.663755939240484","0.782292762928967"
"Ja","1987","Hamburg","Ostdeutschland","","","",""
"Ja","1987","Niedersachsen","Westdeutschland","744","0.708595910061323","0.681557548945908","0.735634271176739"
"Ja","1987","Niedersachsen","Ostdeutschland","","","",""
"Ja","1987","Bremen","Westdeutschland","70","0.757101437703967","0.673051460770336","0.841151414637598"
"Ja","1987","Bremen","Ostdeutschland","","","",""
"Ja","1987","Nordrhein-Westfalen","Westdeutschland","1990","0.728055068989634","0.711505650045342","0.744604487933926"
"Ja","1987","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Ja","1987","Hessen","Westdeutschland","722","0.737093862622728","0.710378092578341","0.763809632667116"
"Ja","1987","Hessen","Ostdeutschland","","","",""
"Ja","1987","Rheinland-Pfalz,Saarland","Westdeutschland","527","0.724095113579341","0.692149099762647","0.756041127396034"
"Ja","1987","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Ja","1987","Baden-Wuerttemberg","Westdeutschland","1316","0.693547535236094","0.672952980830861","0.714142089641327"
"Ja","1987","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Ja","1987","Bayern","Westdeutschland","1141","0.704248428168984","0.682418655310243","0.726078201027725"
"Ja","1987","Bayern","Ostdeutschland","","","",""
"Ja","1987","Berlin","Westdeutschland","260","0.763606202383466","0.719409824628787","0.807802580138145"
"Ja","1987","Berlin","Ostdeutschland","","","",""
"Ja","1987","Brandenburg","Westdeutschland","","","",""
"Ja","1987","Brandenburg","Ostdeutschland","","","",""
"Ja","1987","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Ja","1987","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Ja","1987","Sachsen","Westdeutschland","","","",""
"Ja","1987","Sachsen","Ostdeutschland","","","",""
"Ja","1987","Sachsen-Anhalt","Westdeutschland","","","",""
"Ja","1987","Sachsen-Anhalt","Ostdeutschland","","","",""
"Ja","1987","Thueringen","Westdeutschland","","","",""
"Ja","1987","Thueringen","Ostdeutschland","","","",""
"keinen Tag","1988","Schleswig-Holstein","Westdeutschland","97","0.293194491685381","0.242519333827357","0.343869649543404"
"keinen Tag","1988","Schleswig-Holstein","Ostdeutschland","","","",""
"keinen Tag","1988","Hamburg","Westdeutschland","57","0.251581768273608","0.19144433956117","0.311719196986046"
"keinen Tag","1988","Hamburg","Ostdeutschland","","","",""
"keinen Tag","1988","Niedersachsen","Westdeutschland","319","0.297401460070346","0.269444622779568","0.325358297361124"
"keinen Tag","1988","Niedersachsen","Ostdeutschland","","","",""
"keinen Tag","1988","Bremen","Westdeutschland","30","0.218779755242317","0.136507664390332","0.301051846094301"
"keinen Tag","1988","Bremen","Ostdeutschland","","","",""
"keinen Tag","1988","Nordrhein-Westfalen","Westdeutschland","811","0.285269700219183","0.268041999617049","0.302497400821317"
"keinen Tag","1988","Nordrhein-Westfalen","Ostdeutschland","","","",""
"keinen Tag","1988","Hessen","Westdeutschland","288","0.25822102598155","0.230847836241601","0.285594215721498"
"keinen Tag","1988","Hessen","Ostdeutschland","","","",""
"keinen Tag","1988","Rheinland-Pfalz,Saarland","Westdeutschland","213","0.2650128996072","0.232975467984343","0.297050331230056"
"keinen Tag","1988","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"keinen Tag","1988","Baden-Wuerttemberg","Westdeutschland","553","0.297993066132961","0.277212915818225","0.318773216447697"
"keinen Tag","1988","Baden-Wuerttemberg","Ostdeutschland","","","",""
"keinen Tag","1988","Bayern","Westdeutschland","549","0.33441761516937","0.311350906257761","0.35748432408098"
"keinen Tag","1988","Bayern","Ostdeutschland","","","",""
"keinen Tag","1988","Berlin","Westdeutschland","99","0.287677479892035","0.238688043919046","0.336666915865025"
"keinen Tag","1988","Berlin","Ostdeutschland","","","",""
"keinen Tag","1988","Brandenburg","Westdeutschland","","","",""
"keinen Tag","1988","Brandenburg","Ostdeutschland","","","",""
"keinen Tag","1988","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"keinen Tag","1988","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"keinen Tag","1988","Sachsen","Westdeutschland","","","",""
"keinen Tag","1988","Sachsen","Ostdeutschland","","","",""
"keinen Tag","1988","Sachsen-Anhalt","Westdeutschland","","","",""
"keinen Tag","1988","Sachsen-Anhalt","Ostdeutschland","","","",""
"keinen Tag","1988","Thueringen","Westdeutschland","","","",""
"keinen Tag","1988","Thueringen","Ostdeutschland","","","",""
"Ja","1988","Schleswig-Holstein","Westdeutschland","213","0.706805508314619","0.656130350456596","0.757480666172643"
"Ja","1988","Schleswig-Holstein","Ostdeutschland","","","",""
"Ja","1988","Hamburg","Westdeutschland","143","0.748418231726392","0.688280803013954","0.80855566043883"
"Ja","1988","Hamburg","Ostdeutschland","","","",""
"Ja","1988","Niedersachsen","Westdeutschland","708","0.702598539929654","0.674641702638876","0.730555377220432"
"Ja","1988","Niedersachsen","Ostdeutschland","","","",""
"Ja","1988","Bremen","Westdeutschland","67","0.781220244757683","0.698948153905699","0.863492335609668"
"Ja","1988","Bremen","Ostdeutschland","","","",""
"Ja","1988","Nordrhein-Westfalen","Westdeutschland","1828","0.714730299780817","0.697502599178683","0.731958000382951"
"Ja","1988","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Ja","1988","Hessen","Westdeutschland","694","0.74177897401845","0.714405784278502","0.769152163758399"
"Ja","1988","Hessen","Ostdeutschland","","","",""
"Ja","1988","Rheinland-Pfalz,Saarland","Westdeutschland","516","0.7349871003928","0.702949668769944","0.767024532015657"
"Ja","1988","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Ja","1988","Baden-Wuerttemberg","Westdeutschland","1308","0.702006933867039","0.681226783552303","0.722787084181775"
"Ja","1988","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Ja","1988","Bayern","Westdeutschland","1058","0.66558238483063","0.64251567591902","0.688649093742239"
"Ja","1988","Bayern","Ostdeutschland","","","",""
"Ja","1988","Berlin","Westdeutschland","229","0.712322520107965","0.663333084134975","0.761311956080954"
"Ja","1988","Berlin","Ostdeutschland","","","",""
"Ja","1988","Brandenburg","Westdeutschland","","","",""
"Ja","1988","Brandenburg","Ostdeutschland","","","",""
"Ja","1988","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Ja","1988","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Ja","1988","Sachsen","Westdeutschland","","","",""
"Ja","1988","Sachsen","Ostdeutschland","","","",""
"Ja","1988","Sachsen-Anhalt","Westdeutschland","","","",""
"Ja","1988","Sachsen-Anhalt","Ostdeutschland","","","",""
"Ja","1988","Thueringen","Westdeutschland","","","",""
"Ja","1988","Thueringen","Ostdeutschland","","","",""
"keinen Tag","1989","Schleswig-Holstein","Westdeutschland","79","0.239084888677837","0.190412657933279","0.287757119422395"
"keinen Tag","1989","Schleswig-Holstein","Ostdeutschland","","","",""
"keinen Tag","1989","Hamburg","Westdeutschland","54","0.281147646076302","0.218210487664203","0.344084804488401"
"keinen Tag","1989","Hamburg","Ostdeutschland","","","",""
"keinen Tag","1989","Niedersachsen","Westdeutschland","297","0.286920742110897","0.258701887022537","0.315139597199257"
"keinen Tag","1989","Niedersachsen","Ostdeutschland","","","",""
"keinen Tag","1989","Bremen","Westdeutschland","32","0.260513778674152","0.177349544151795","0.343678013196509"
"keinen Tag","1989","Bremen","Ostdeutschland","","","",""
"keinen Tag","1989","Nordrhein-Westfalen","Westdeutschland","753","0.27408063103074","0.256915525804281","0.2912457362572"
"keinen Tag","1989","Nordrhein-Westfalen","Ostdeutschland","","","",""
"keinen Tag","1989","Hessen","Westdeutschland","310","0.264847023268583","0.237360684060878","0.292333362476289"
"keinen Tag","1989","Hessen","Ostdeutschland","","","",""
"keinen Tag","1989","Rheinland-Pfalz,Saarland","Westdeutschland","171","0.224420860495236","0.193314174969556","0.255527546020917"
"keinen Tag","1989","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"keinen Tag","1989","Baden-Wuerttemberg","Westdeutschland","521","0.289633805281115","0.268679290614621","0.310588319947609"
"keinen Tag","1989","Baden-Wuerttemberg","Ostdeutschland","","","",""
"keinen Tag","1989","Bayern","Westdeutschland","520","0.309436425996018","0.286729198519515","0.332143653472521"
"keinen Tag","1989","Bayern","Ostdeutschland","","","",""
"keinen Tag","1989","Berlin","Westdeutschland","98","0.290126555977989","0.240938640183811","0.339314471772166"
"keinen Tag","1989","Berlin","Ostdeutschland","","","",""
"keinen Tag","1989","Brandenburg","Westdeutschland","","","",""
"keinen Tag","1989","Brandenburg","Ostdeutschland","","","",""
"keinen Tag","1989","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"keinen Tag","1989","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"keinen Tag","1989","Sachsen","Westdeutschland","","","",""
"keinen Tag","1989","Sachsen","Ostdeutschland","","","",""
"keinen Tag","1989","Sachsen-Anhalt","Westdeutschland","","","",""
"keinen Tag","1989","Sachsen-Anhalt","Ostdeutschland","","","",""
"keinen Tag","1989","Thueringen","Westdeutschland","","","",""
"keinen Tag","1989","Thueringen","Ostdeutschland","","","",""
"Ja","1989","Schleswig-Holstein","Westdeutschland","216","0.760915111322163","0.712242880577605","0.809587342066721"
"Ja","1989","Schleswig-Holstein","Ostdeutschland","","","",""
"Ja","1989","Hamburg","Westdeutschland","142","0.718852353923698","0.655915195511599","0.781789512335797"
"Ja","1989","Hamburg","Ostdeutschland","","","",""
"Ja","1989","Niedersachsen","Westdeutschland","690","0.713079257889103","0.684860402800743","0.741298112977463"
"Ja","1989","Niedersachsen","Ostdeutschland","","","",""
"Ja","1989","Bremen","Westdeutschland","75","0.739486221325848","0.656321986803491","0.822650455848205"
"Ja","1989","Bremen","Ostdeutschland","","","",""
"Ja","1989","Nordrhein-Westfalen","Westdeutschland","1841","0.725919368969259","0.7087542637428","0.743084474195719"
"Ja","1989","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Ja","1989","Hessen","Westdeutschland","680","0.735152976731417","0.707666637523711","0.762639315939122"
"Ja","1989","Hessen","Ostdeutschland","","","",""
"Ja","1989","Rheinland-Pfalz,Saarland","Westdeutschland","520","0.775579139504764","0.744472453979083","0.806685825030444"
"Ja","1989","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Ja","1989","Baden-Wuerttemberg","Westdeutschland","1279","0.710366194718885","0.689411680052391","0.731320709385379"
"Ja","1989","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Ja","1989","Bayern","Westdeutschland","1072","0.690563574003982","0.667856346527479","0.713270801480485"
"Ja","1989","Bayern","Ostdeutschland","","","",""
"Ja","1989","Berlin","Westdeutschland","229","0.709873444022011","0.660685528227834","0.759061359816189"
"Ja","1989","Berlin","Ostdeutschland","","","",""
"Ja","1989","Brandenburg","Westdeutschland","","","",""
"Ja","1989","Brandenburg","Ostdeutschland","","","",""
"Ja","1989","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Ja","1989","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Ja","1989","Sachsen","Westdeutschland","","","",""
"Ja","1989","Sachsen","Ostdeutschland","","","",""
"Ja","1989","Sachsen-Anhalt","Westdeutschland","","","",""
"Ja","1989","Sachsen-Anhalt","Ostdeutschland","","","",""
"Ja","1989","Thueringen","Westdeutschland","","","",""
"Ja","1989","Thueringen","Ostdeutschland","","","",""
"keinen Tag","1990","Schleswig-Holstein","Westdeutschland","","","",""
"keinen Tag","1990","Schleswig-Holstein","Ostdeutschland","","","",""
"keinen Tag","1990","Hamburg","Westdeutschland","","","",""
"keinen Tag","1990","Hamburg","Ostdeutschland","","","",""
"keinen Tag","1990","Niedersachsen","Westdeutschland","","","",""
"keinen Tag","1990","Niedersachsen","Ostdeutschland","","","",""
"keinen Tag","1990","Bremen","Westdeutschland","","","",""
"keinen Tag","1990","Bremen","Ostdeutschland","","","",""
"keinen Tag","1990","Nordrhein-Westfalen","Westdeutschland","","","",""
"keinen Tag","1990","Nordrhein-Westfalen","Ostdeutschland","","","",""
"keinen Tag","1990","Hessen","Westdeutschland","","","",""
"keinen Tag","1990","Hessen","Ostdeutschland","","","",""
"keinen Tag","1990","Rheinland-Pfalz,Saarland","Westdeutschland","","","",""
"keinen Tag","1990","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"keinen Tag","1990","Baden-Wuerttemberg","Westdeutschland","","","",""
"keinen Tag","1990","Baden-Wuerttemberg","Ostdeutschland","","","",""
"keinen Tag","1990","Bayern","Westdeutschland","","","",""
"keinen Tag","1990","Bayern","Ostdeutschland","","","",""
"keinen Tag","1990","Berlin","Westdeutschland","","","",""
"keinen Tag","1990","Berlin","Ostdeutschland","","","",""
"keinen Tag","1990","Brandenburg","Westdeutschland","","","",""
"keinen Tag","1990","Brandenburg","Ostdeutschland","","","",""
"keinen Tag","1990","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"keinen Tag","1990","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"keinen Tag","1990","Sachsen","Westdeutschland","","","",""
"keinen Tag","1990","Sachsen","Ostdeutschland","","","",""
"keinen Tag","1990","Sachsen-Anhalt","Westdeutschland","","","",""
"keinen Tag","1990","Sachsen-Anhalt","Ostdeutschland","","","",""
"keinen Tag","1990","Thueringen","Westdeutschland","","","",""
"keinen Tag","1990","Thueringen","Ostdeutschland","","","",""
"Ja","1990","Schleswig-Holstein","Westdeutschland","","","",""
"Ja","1990","Schleswig-Holstein","Ostdeutschland","","","",""
"Ja","1990","Hamburg","Westdeutschland","","","",""
"Ja","1990","Hamburg","Ostdeutschland","","","",""
"Ja","1990","Niedersachsen","Westdeutschland","","","",""
"Ja","1990","Niedersachsen","Ostdeutschland","","","",""
"Ja","1990","Bremen","Westdeutschland","","","",""
"Ja","1990","Bremen","Ostdeutschland","","","",""
"Ja","1990","Nordrhein-Westfalen","Westdeutschland","","","",""
"Ja","1990","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Ja","1990","Hessen","Westdeutschland","","","",""
"Ja","1990","Hessen","Ostdeutschland","","","",""
"Ja","1990","Rheinland-Pfalz,Saarland","Westdeutschland","","","",""
"Ja","1990","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Ja","1990","Baden-Wuerttemberg","Westdeutschland","","","",""
"Ja","1990","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Ja","1990","Bayern","Westdeutschland","","","",""
"Ja","1990","Bayern","Ostdeutschland","","","",""
"Ja","1990","Berlin","Westdeutschland","","","",""
"Ja","1990","Berlin","Ostdeutschland","","","",""
"Ja","1990","Brandenburg","Westdeutschland","","","",""
"Ja","1990","Brandenburg","Ostdeutschland","","","",""
"Ja","1990","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Ja","1990","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Ja","1990","Sachsen","Westdeutschland","","","",""
"Ja","1990","Sachsen","Ostdeutschland","","","",""
"Ja","1990","Sachsen-Anhalt","Westdeutschland","","","",""
"Ja","1990","Sachsen-Anhalt","Ostdeutschland","","","",""
"Ja","1990","Thueringen","Westdeutschland","","","",""
"Ja","1990","Thueringen","Ostdeutschland","","","",""
"keinen Tag","1991","Schleswig-Holstein","Westdeutschland","92","0.310357407488282","0.257384065033473","0.363330749943091"
"keinen Tag","1991","Schleswig-Holstein","Ostdeutschland","","","",""
"keinen Tag","1991","Hamburg","Westdeutschland","43","0.23765612158826","0.171286474416987","0.304025768759534"
"keinen Tag","1991","Hamburg","Ostdeutschland","","","",""
