"ple0044_h","year","age_gr","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein","1986","66","Ländlicher Raum","","","",""
"Ja","1986","17-29","Städtischer Raum","1564","0.669136541276947","0.650189241040825","0.688083841513069"
"Ja","1986","17-29","Ländlicher Raum","412","0.634277298781747","0.596875376949109","0.671679220614386"
"Ja","1986","30-45","Städtischer Raum","1526","0.581995706267165","0.562874383694366","0.601117028839964"
"Ja","1986","30-45","Ländlicher Raum","369","0.535401625920486","0.49738040602281","0.573422845818163"
"Ja","1986","46-65","Städtischer Raum","1639","0.658550401386081","0.64003617229521","0.677064630476952"
"Ja","1986","46-65","Ländlicher Raum","410","0.616886528254631","0.579909636133519","0.653863420375743"
"Ja","1986","66","Städtischer Raum","","","",""
"Ja","1986","66","Ländlicher Raum","","","",""
"Nein","1987","17-29","Städtischer Raum","708","0.306121351781528","0.28737144582098","0.324871257742076"
"Nein","1987","17-29","Ländlicher Raum","218","0.354321051687761","0.317089575684898","0.391552527690624"
"Nein","1987","30-45","Städtischer Raum","875","0.378067744876366","0.358905918911367","0.397229570841365"
"Nein","1987","30-45","Ländlicher Raum","272","0.434795985382942","0.396055224158444","0.47353674660744"
"Nein","1987","46-65","Städtischer Raum","783","0.312444770390206","0.294247154373061","0.330642386407351"
"Nein","1987","46-65","Ländlicher Raum","218","0.352054598042951","0.315252704283941","0.388856491801962"
"Nein","1987","66","Städtischer Raum","","","",""
"Nein","1987","66","Ländlicher Raum","","","",""
"Ja","1987","17-29","Städtischer Raum","1613","0.693878648218472","0.675128742257924","0.71262855417902"
"Ja","1987","17-29","Ländlicher Raum","416","0.645678948312239","0.608447472309376","0.682910424315102"
"Ja","1987","30-45","Städtischer Raum","1585","0.621932255123634","0.602770429158635","0.641094081088633"
"Ja","1987","30-45","Ländlicher Raum","357","0.565204014617058","0.52646325339256","0.603944775841556"
"Ja","1987","46-65","Städtischer Raum","1709","0.687555229609794","0.669357613592649","0.705752845626939"
"Ja","1987","46-65","Ländlicher Raum","429","0.647945401957049","0.611143508198038","0.684747295716059"
"Ja","1987","66","Städtischer Raum","","","",""
"Ja","1987","66","Ländlicher Raum","","","",""
"Nein","1988","17-29","Städtischer Raum","687","0.315533212105487","0.296322269841319","0.334744154369655"
"Nein","1988","17-29","Ländlicher Raum","197","0.367542461423509","0.32778731900585","0.407297603841167"
"Nein","1988","30-45","Städtischer Raum","860","0.388835846486349","0.36885232312482","0.408819369847877"
"Nein","1988","30-45","Ländlicher Raum","264","0.457709741312804","0.417812243540632","0.497607239084976"
"Nein","1988","46-65","Städtischer Raum","757","0.321659556365052","0.303071893894405","0.340247218835699"
"Nein","1988","46-65","Ländlicher Raum","221","0.360126304327774","0.322461965598997","0.397790643056552"
"Nein","1988","66","Städtischer Raum","","","",""
"Nein","1988","66","Ländlicher Raum","","","",""
"Ja","1988","17-29","Städtischer Raum","1561","0.684466787894513","0.665255845630345","0.703677730158681"
"Ja","1988","17-29","Ländlicher Raum","368","0.632457538576491","0.592702396158833","0.67221268099415"
"Ja","1988","30-45","Städtischer Raum","1426","0.611164153513651","0.591180630152123","0.63114767687518"
"Ja","1988","30-45","Ländlicher Raum","335","0.542290258687196","0.502392760915024","0.582187756459368"
"Ja","1988","46-65","Städtischer Raum","1669","0.678340443634948","0.659752781164301","0.696928106105595"
"Ja","1988","46-65","Ländlicher Raum","403","0.639873695672226","0.602209356943448","0.677538034401003"
"Ja","1988","66","Städtischer Raum","","","",""
"Ja","1988","66","Ländlicher Raum","","","",""
"Nein","1989","17-29","Städtischer Raum","655","0.290776995521903","0.271991989103843","0.309562001939962"
"Nein","1989","17-29","Ländlicher Raum","179","0.298768822285869","0.260960087918739","0.336577556653"
"Nein","1989","30-45","Städtischer Raum","806","0.3768955661567","0.356867256458185","0.396923875855214"
"Nein","1989","30-45","Ländlicher Raum","221","0.426619202359594","0.385909461909383","0.467328942809805"
"Nein","1989","46-65","Städtischer Raum","756","0.326285436633935","0.307381465611684","0.345189407656186"
"Nein","1989","46-65","Ländlicher Raum","194","0.329310964419351","0.291227727313916","0.367394201524787"
"Nein","1989","66","Städtischer Raum","","","",""
"Nein","1989","66","Ländlicher Raum","","","",""
"Ja","1989","17-29","Städtischer Raum","1590","0.709223004478097","0.690437998060037","0.728008010896157"
"Ja","1989","17-29","Ländlicher Raum","384","0.70123117771413","0.663422443347","0.739039912081261"
"Ja","1989","30-45","Städtischer Raum","1443","0.6231044338433","0.603076124144786","0.643132743541815"
"Ja","1989","30-45","Ländlicher Raum","346","0.573380797640406","0.532671057190195","0.614090538090617"
"Ja","1989","46-65","Städtischer Raum","1607","0.673714563366065","0.654810592343814","0.692618534388316"
"Ja","1989","46-65","Ländlicher Raum","391","0.670689035580649","0.632605798475213","0.708772272686085"
"Ja","1989","66","Städtischer Raum","","","",""
"Ja","1989","66","Ländlicher Raum","","","",""
"Nein","1990","17-29","Städtischer Raum","","","",""
"Nein","1990","17-29","Ländlicher Raum","","","",""
"Nein","1990","30-45","Städtischer Raum","","","",""
"Nein","1990","30-45","Ländlicher Raum","","","",""
"Nein","1990","46-65","Städtischer Raum","","","",""
"Nein","1990","46-65","Ländlicher Raum","","","",""
"Nein","1990","66","Städtischer Raum","","","",""
"Nein","1990","66","Ländlicher Raum","","","",""
"Ja","1990","17-29","Städtischer Raum","","","",""
"Ja","1990","17-29","Ländlicher Raum","","","",""
"Ja","1990","30-45","Städtischer Raum","","","",""
"Ja","1990","30-45","Ländlicher Raum","","","",""
"Ja","1990","46-65","Städtischer Raum","","","",""
"Ja","1990","46-65","Ländlicher Raum","","","",""
"Ja","1990","66","Städtischer Raum","","","",""
"Ja","1990","66","Ländlicher Raum","","","",""
"Nein","1991","17-29","Städtischer Raum","598","0.26419434111931","0.246573206544368","0.281815475694251"
"Nein","1991","17-29","Ländlicher Raum","166","0.168231041310379","0.147502255833022","0.188959826787737"
"Nein","1991","30-45","Städtischer Raum","791","0.319350265072569","0.301829255804474","0.336871274340664"
"Nein","1991","30-45","Ländlicher Raum","222","0.236912427950031","0.215600366469169","0.258224489430892"
"Nein","1991","46-65","Städtischer Raum","710","0.28063193064429","0.263614776799833","0.297649084488748"
"Nein","1991","46-65","Ländlicher Raum","186","0.175844736614324","0.156044374908164","0.195645098320485"
"Nein","1991","66","Städtischer Raum","","","",""
"Nein","1991","66","Ländlicher Raum","","","",""
"Ja","1991","17-29","Städtischer Raum","1807","0.73580565888069","0.718184524305749","0.753426793455632"
"Ja","1991","17-29","Ländlicher Raum","1085","0.831768958689621","0.811040173212263","0.852497744166978"
"Ja","1991","30-45","Städtischer Raum","1929","0.680649734927431","0.663128725659336","0.698170744195526"
"Ja","1991","30-45","Ländlicher Raum","1307","0.763087572049969","0.741775510569108","0.784399633530831"
"Ja","1991","46-65","Städtischer Raum","1968","0.71936806935571","0.702350915511252","0.736385223200167"
"Ja","1991","46-65","Ländlicher Raum","1234","0.824155263385676","0.804354901679515","0.843955625091836"
"Ja","1991","66","Städtischer Raum","","","",""
"Ja","1991","66","Ländlicher Raum","","","",""
"Nein","1992","17-29","Städtischer Raum","682","0.293558009819094","0.275043370791593","0.312072648846595"
"Nein","1992","17-29","Ländlicher Raum","443","0.388368875227307","0.360453938937872","0.416283811516741"
"Nein","1992","30-45","Städtischer Raum","1009","0.378285155781894","0.359900568709556","0.396669742854232"
"Nein","1992","30-45","Ländlicher Raum","743","0.470429507080951","0.445043521398047","0.495815492763856"
"Nein","1992","46-65","Städtischer Raum","864","0.335434523574039","0.317328033438132","0.353541013709945"
"Nein","1992","46-65","Ländlicher Raum","530","0.37477567611691","0.348915636133479","0.400635716100341"
"Nein","1992","66","Städtischer Raum","","","",""
"Nein","1992","66","Ländlicher Raum","","","",""
"Ja","1992","17-29","Städtischer Raum","1642","0.706441990180906","0.687927351153405","0.724956629208406"
"Ja","1992","17-29","Ländlicher Raum","728","0.611631124772693","0.583716188483259","0.639546061062128"
"Ja","1992","30-45","Städtischer Raum","1664","0.621714844218106","0.603330257145768","0.640099431290444"
"Ja","1992","30-45","Ländlicher Raum","742","0.529570492919049","0.504184507236144","0.554956478601953"
"Ja","1992","46-65","Städtischer Raum","1748","0.664565476425961","0.646458986290055","0.682671966561868"
"Ja","1992","46-65","Ländlicher Raum","816","0.62522432388309","0.599364283899659","0.651084363866521"
"Ja","1992","66","Städtischer Raum","","","",""
"Ja","1992","66","Ländlicher Raum","","","",""
"Nein","1993","17-29","Städtischer Raum","","","",""
"Nein","1993","17-29","Ländlicher Raum","","","",""
"Nein","1993","30-45","Städtischer Raum","","","",""
"Nein","1993","30-45","Ländlicher Raum","","","",""
"Nein","1993","46-65","Städtischer Raum","","","",""
"Nein","1993","46-65","Ländlicher Raum","","","",""
"Nein","1993","66","Städtischer Raum","","","",""
"Nein","1993","66","Ländlicher Raum","","","",""
"Ja","1993","17-29","Städtischer Raum","","","",""
"Ja","1993","17-29","Ländlicher Raum","","","",""
"Ja","1993","30-45","Städtischer Raum","","","",""
"Ja","1993","30-45","Ländlicher Raum","","","",""
"Ja","1993","46-65","Städtischer Raum","","","",""
"Ja","1993","46-65","Ländlicher Raum","","","",""
"Ja","1993","66","Städtischer Raum","","","",""
"Ja","1993","66","Ländlicher Raum","","","",""
"Nein","1994","17-29","Städtischer Raum","617","0.256646769420868","0.238457018871366","0.274836519970369"
"Nein","1994","17-29","Ländlicher Raum","345","0.324562632599119","0.29684318224765","0.352282082950589"
"Nein","1994","30-45","Städtischer Raum","1042","0.376675388957925","0.358247532711135","0.395103245204715"
"Nein","1994","30-45","Ländlicher Raum","617","0.412601316345041","0.387279399870934","0.437923232819149"
"Nein","1994","46-65","Städtischer Raum","774","0.314905276443588","0.296834884922421","0.332975667964755"
"Nein","1994","46-65","Ländlicher Raum","425","0.319756225222618","0.294568033185693","0.344944417259542"
"Nein","1994","66","Städtischer Raum","","","",""
"Nein","1994","66","Ländlicher Raum","","","",""
"Ja","1994","17-29","Städtischer Raum","1598","0.743353230579132","0.72516348002963","0.761542981128634"
"Ja","1994","17-29","Ländlicher Raum","751","0.675437367400881","0.647717917049411","0.70315681775235"
"Ja","1994","30-45","Städtischer Raum","1614","0.623324611042075","0.604896754795285","0.641752467288865"
"Ja","1994","30-45","Ländlicher Raum","835","0.587398683654959","0.562076767180851","0.612720600129067"
"Ja","1994","46-65","Städtischer Raum","1764","0.685094723556412","0.667024332035245","0.703165115077579"
"Ja","1994","46-65","Ländlicher Raum","892","0.680243774777383","0.655055582740458","0.705431966814307"
"Ja","1994","66","Städtischer Raum","","","",""
"Ja","1994","66","Ländlicher Raum","","","",""
"Nein","1995","17-29","Städtischer Raum","601","0.268857744214103","0.250112456929427","0.28760303149878"
"Nein","1995","17-29","Ländlicher Raum","344","0.3212553517706","0.293572144472693","0.348938559068507"
"Nein","1995","30-45","Städtischer Raum","1063","0.376575928786163","0.35855171119768","0.394600146374646"
"Nein","1995","30-45","Ländlicher Raum","641","0.422838611732257","0.398020043790437","0.447657179674076"
"Nein","1995","46-65","Städtischer Raum","752","0.303414842682848","0.285350239657887","0.32147944570781"
"Nein","1995","46-65","Ländlicher Raum","456","0.319217121496955","0.29421050929922","0.34422373369469"
"Nein","1995","66","Städtischer Raum","","","",""
"Nein","1995","66","Ländlicher Raum","","","",""
"Ja","1995","17-29","Städtischer Raum","1548","0.731142255785897","0.71239696850122","0.749887543070573"
"Ja","1995","17-29","Ländlicher Raum","749","0.6787446482294","0.651061440931493","0.706427855527307"
"Ja","1995","30-45","Städtischer Raum","1713","0.623424071213837","0.605399853625354","0.64144828880232"
"Ja","1995","30-45","Ländlicher Raum","881","0.577161388267743","0.552342820325924","0.601979956209563"
"Ja","1995","46-65","Städtischer Raum","1736","0.696585157317152","0.67852055429219","0.714649760342113"
"Ja","1995","46-65","Ländlicher Raum","879","0.680782878503045","0.65577626630531","0.70578949070078"
"Ja","1995","66","Städtischer Raum","","","",""
"Ja","1995","66","Ländlicher Raum","","","",""
"Nein","1996","17-29","Städtischer Raum","547","0.276115716624324","0.25634843493093","0.295882998317719"
"Nein","1996","17-29","Ländlicher Raum","292","0.282706181723579","0.255311540894212","0.310100822552946"
"Nein","1996","30-45","Städtischer Raum","1044","0.37766166494128","0.359691823874964","0.395631506007596"
"Nein","1996","30-45","Ländlicher Raum","587","0.392931369626339","0.367913242237724","0.417949497014953"
"Nein","1996","46-65","Städtischer Raum","735","0.313725790174378","0.295261753977181","0.332189826371575"
"Nein","1996","46-65","Ländlicher Raum","416","0.305485409805162","0.280684016748196","0.330286802862128"
"Nein","1996","66","Städtischer Raum","","","",""
"Nein","1996","66","Ländlicher Raum","","","",""
"Ja","1996","17-29","Städtischer Raum","1418","0.723884283375676","0.704117001682281","0.74365156506907"
"Ja","1996","17-29","Ländlicher Raum","746","0.717293818276421","0.689899177447054","0.744688459105788"
"Ja","1996","30-45","Städtischer Raum","1752","0.62233833505872","0.604368493992404","0.640308176125036"
"Ja","1996","30-45","Ländlicher Raum","877","0.607068630373661","0.582050502985047","0.632086757762276"
"Ja","1996","46-65","Städtischer Raum","1691","0.686274209825622","0.667810173628426","0.704738246022819"
"Ja","1996","46-65","Ländlicher Raum","909","0.694514590194838","0.669713197137872","0.719315983251804"
"Ja","1996","66","Städtischer Raum","","","",""
"Ja","1996","66","Ländlicher Raum","","","",""
"Nein","1997","17-29","Städtischer Raum","519","0.281418398322547","0.261117899758845","0.30171889688625"
"Nein","1997","17-29","Ländlicher Raum","302","0.317948700967805","0.289143674256193","0.346753727679418"
"Nein","1997","30-45","Städtischer Raum","1041","0.376269729921517","0.358146943676226","0.394392516166808"
"Nein","1997","30-45","Ländlicher Raum","604","0.437663670371358","0.411968890460902","0.463358450281814"
"Nein","1997","46-65","Städtischer Raum","693","0.2803645214279","0.262242363939527","0.298486678916272"
"Nein","1997","46-65","Ländlicher Raum","432","0.303161151504049","0.278394281756928","0.32792802125117"
"Nein","1997","66","Städtischer Raum","","","",""
"Nein","1997","66","Ländlicher Raum","","","",""
"Ja","1997","17-29","Städtischer Raum","1366","0.718581601677453","0.69828110311375","0.738882100241155"
"Ja","1997","17-29","Ländlicher Raum","702","0.682051299032195","0.653246272320582","0.710856325743807"
"Ja","1997","30-45","Städtischer Raum","1704","0.623730270078483","0.605607483833192","0.641853056323775"
"Ja","1997","30-45","Ländlicher Raum","828","0.562336329628642","0.536641549718185","0.588031109539098"
"Ja","1997","46-65","Städtischer Raum","1667","0.7196354785721","0.701513321083728","0.737757636060473"
"Ja","1997","46-65","Ländlicher Raum","891","0.696838848495951","0.67207197874883","0.721605718243072"
"Ja","1997","66","Städtischer Raum","","","",""
"Ja","1997","66","Ländlicher Raum","","","",""
"Nein","1998","17-29","Städtischer Raum","502","0.250917231164482","0.231570298327348","0.270264164001615"
"Nein","1998","17-29","Ländlicher Raum","290","0.27744420068124","0.250401041367101","0.304487359995379"
"Nein","1998","30-45","Städtischer Raum","1218","0.40728990781302","0.389702361167869","0.424877454458172"
"Nein","1998","30-45","Ländlicher Raum","643","0.399661940095281","0.375547466133524","0.423776414057038"
"Nein","1998","46-65","Städtischer Raum","829","0.309185781249034","0.291701522460222","0.326670040037846"
"Nein","1998","46-65","Ländlicher Raum","533","0.320160763230305","0.296798986192083","0.343522540268528"
"Nein","1998","66","Städtischer Raum","","","",""
"Nein","1998","66","Ländlicher Raum","","","",""
"Ja","1998","17-29","Städtischer Raum","1427","0.749082768835518","0.729735835998385","0.768429701672652"
"Ja","1998","17-29","Ländlicher Raum","763","0.72255579931876","0.695512640004621","0.749598958632899"
"Ja","1998","30-45","Städtischer Raum","1780","0.592710092186979","0.575122545541828","0.610297638832131"
"Ja","1998","30-45","Ländlicher Raum","942","0.600338059904719","0.576223585942962","0.624452533866476"
"Ja","1998","46-65","Städtischer Raum","1855","0.690814218750966","0.673329959962154","0.708298477539779"
"Ja","1998","46-65","Ländlicher Raum","999","0.679839236769694","0.656477459731472","0.703201013807917"
"Ja","1998","66","Städtischer Raum","","","",""
"Ja","1998","66","Ländlicher Raum","","","",""
"Nein","1999","17-29","Städtischer Raum","588","0.317898870174716","0.296546421137112","0.339251319212321"
"Nein","1999","17-29","Ländlicher Raum","316","0.330146169415691","0.300940875868897","0.359351462962486"
"Nein","1999","30-45","Städtischer Raum","1202","0.410839414805072","0.393115684664333","0.428563144945812"
"Nein","1999","30-45","Ländlicher Raum","635","0.391106858257327","0.366898524599932","0.415315191914722"
"Nein","1999","46-65","Städtischer Raum","791","0.315246592795548","0.297280305483097","0.333212880107998"
"Nein","1999","46-65","Ländlicher Raum","487","0.326781941379995","0.302429216542376","0.351134666217613"
"Nein","1999","66","Städtischer Raum","","","",""
"Nein","1999","66","Ländlicher Raum","","","",""
"Ja","1999","17-29","Städtischer Raum","1239","0.682101129825283","0.660748680787679","0.703453578862888"
"Ja","1999","17-29","Ländlicher Raum","680","0.669853830584308","0.640648537037514","0.699059124131103"
"Ja","1999","30-45","Städtischer Raum","1758","0.589160585194928","0.571436855054188","0.606884315335667"
"Ja","1999","30-45","Ländlicher Raum","926","0.608893141742673","0.584684808085278","0.633101475400068"
"Ja","1999","46-65","Städtischer Raum","1778","0.684753407204452","0.666787119892002","0.702719694516903"
"Ja","1999","46-65","Ländlicher Raum","938","0.673218058620005","0.648865333782387","0.697570783457624"
"Ja","1999","66","Städtischer Raum","","","",""
"Ja","1999","66","Ländlicher Raum","","","",""
"Nein","2000","17-29","Städtischer Raum","790","0.285137771282046","0.26837606765393","0.301899474910163"
"Nein","2000","17-29","Ländlicher Raum","501","0.333364828717725","0.310193361752405","0.356536295683046"
"Nein","2000","30-45","Städtischer Raum","2089","0.414266317185964","0.40080500109265","0.427727633279277"
"Nein","2000","30-45","Ländlicher Raum","1088","0.399851143386602","0.381290898626586","0.418411388146618"
"Nein","2000","46-65","Städtischer Raum","1509","0.312912051693529","0.299934577592588","0.325889525794469"
"Nein","2000","46-65","Ländlicher Raum","851","0.333655506921326","0.315485778682012","0.351825235160639"
"Nein","2000","66","Städtischer Raum","","","",""
"Nein","2000","66","Ländlicher Raum","","","",""
"Ja","2000","17-29","Städtischer Raum","1997","0.714862228717954","0.698100525089837","0.73162393234607"
"Ja","2000","17-29","Ländlicher Raum","1089","0.666635171282275","0.643463704316955","0.689806638247595"
"Ja","2000","30-45","Städtischer Raum","3055","0.585733682814036","0.572272366720723","0.59919499890735"
"Ja","2000","30-45","Ländlicher Raum","1588","0.600148856613398","0.581588611853382","0.618709101373414"
"Ja","2000","46-65","Städtischer Raum","3395","0.687087948306471","0.674110474205531","0.700065422407412"
"Ja","2000","46-65","Ländlicher Raum","1736","0.666344493078674","0.648174764839361","0.684514221317988"
"Ja","2000","66","Städtischer Raum","","","",""
"Ja","2000","66","Ländlicher Raum","","","",""
"Nein","2001","17-29","Städtischer Raum","763","0.314417104137935","0.29627188718918","0.33256232108669"
"Nein","2001","17-29","Ländlicher Raum","418","0.306389938296728","0.282463212634907","0.330316663958549"
"Nein","2001","30-45","Städtischer Raum","1878","0.409662291029039","0.395547363886504","0.423777218171574"
"Nein","2001","30-45","Ländlicher Raum","988","0.409824892233114","0.390194042599227","0.429455741867"
"Nein","2001","46-65","Städtischer Raum","1443","0.328230333068103","0.314464773151549","0.341995892984658"
"Nein","2001","46-65","Ländlicher Raum","783","0.326712463701142","0.307909241450291","0.345515685951993"
"Nein","2001","66","Städtischer Raum","","","",""
"Nein","2001","66","Ländlicher Raum","","","",""
"Ja","2001","17-29","Städtischer Raum","1752","0.685582895862065","0.66743767891331","0.70372811281082"
"Ja","2001","17-29","Ländlicher Raum","1008","0.693610061703272","0.669683336041451","0.717536787365093"
"Ja","2001","30-45","Städtischer Raum","2785","0.590337708970961","0.576222781828426","0.604452636113496"
"Ja","2001","30-45","Ländlicher Raum","1423","0.590175107766886","0.570544258133","0.609805957400773"
"Ja","2001","46-65","Städtischer Raum","3027","0.671769666931897","0.658004107015342","0.685535226848451"
"Ja","2001","46-65","Ländlicher Raum","1607","0.673287536298858","0.654484314048007","0.692090758549709"
"Ja","2001","66","Städtischer Raum","","","",""
"Ja","2001","66","Ländlicher Raum","","","",""
"Nein","2002","17-29","Städtischer Raum","735","0.288553109594017","0.270987962603655","0.306118256584378"
"Nein","2002","17-29","Ländlicher Raum","416","0.296969112065149","0.27321198637169","0.320726237758608"
"Nein","2002","30-45","Städtischer Raum","2000","0.412006156924532","0.398089348869874","0.425922964979191"
"Nein","2002","30-45","Ländlicher Raum","980","0.417014178344246","0.397100245317238","0.436928111371254"
"Nein","2002","46-65","Städtischer Raum","1787","0.329959661015693","0.316991353474656","0.34292796855673"
"Nein","2002","46-65","Ländlicher Raum","869","0.325522787442547","0.307195462782102","0.343850112102992"
"Nein","2002","66","Städtischer Raum","","","",""
"Nein","2002","66","Ländlicher Raum","","","",""
"Ja","2002","17-29","Städtischer Raum","1821","0.711446890405983","0.693881743415622","0.729012037396345"
"Ja","2002","17-29","Ländlicher Raum","1005","0.703030887934851","0.679273762241392","0.72678801362831"
"Ja","2002","30-45","Städtischer Raum","2805","0.587993843075468","0.574077035020809","0.601910651130126"
"Ja","2002","30-45","Ländlicher Raum","1375","0.582985821655754","0.563071888628746","0.602899754682762"
"Ja","2002","46-65","Städtischer Raum","3263","0.670040338984307","0.65707203144327","0.683008646525344"
"Ja","2002","46-65","Ländlicher Raum","1642","0.674477212557453","0.656149887897008","0.692804537217898"
"Ja","2002","66","Städtischer Raum","","","",""
"Ja","2002","66","Ländlicher Raum","","","",""
"Nein","2003","17-29","Städtischer Raum","730","0.285182621396702","0.267498234475846","0.302867008317558"
"Nein","2003","17-29","Ländlicher Raum","382","0.302522166495455","0.278018841927753","0.327025491063157"
"Nein","2003","30-45","Städtischer Raum","1795","0.396240315918618","0.381935313058467","0.410545318778768"
"Nein","2003","30-45","Ländlicher Raum","903","0.424616042368489","0.403961583358701","0.445270501378277"
"Nein","2003","46-65","Städtischer Raum","1719","0.33141364206213","0.318180918906861","0.344646365217399"
"Nein","2003","46-65","Ländlicher Raum","884","0.341551381415188","0.32282660210572","0.360276160724656"
"Nein","2003","66","Städtischer Raum","","","",""
"Nein","2003","66","Ländlicher Raum","","","",""
"Ja","2003","17-29","Städtischer Raum","1774","0.714817378603298","0.697132991682442","0.732501765524154"
"Ja","2003","17-29","Ländlicher Raum","968","0.697477833504545","0.672974508936843","0.721981158072247"
"Ja","2003","30-45","Städtischer Raum","2696","0.603759684081382","0.589454681221232","0.618064686941533"
"Ja","2003","30-45","Ländlicher Raum","1297","0.575383957631511","0.554729498621723","0.596038416641299"
"Ja","2003","46-65","Städtischer Raum","3142","0.66858635793787","0.655353634782601","0.681819081093139"
"Ja","2003","46-65","Ländlicher Raum","1580","0.658448618584812","0.639723839275344","0.67717339789428"
"Ja","2003","66","Städtischer Raum","","","",""
"Ja","2003","66","Ländlicher Raum","","","",""
"Nein","2004","17-29","Städtischer Raum","691","0.284154743917401","0.266429295552789","0.301880192282012"
"Nein","2004","17-29","Ländlicher Raum","410","0.331976450820836","0.306733977122259","0.357218924519414"
"Nein","2004","30-45","Städtischer Raum","1727","0.394318814505564","0.379655486112613","0.408982142898514"
"Nein","2004","30-45","Ländlicher Raum","849","0.414725745960351","0.393351697131127","0.436099794789576"
"Nein","2004","46-65","Städtischer Raum","1685","0.327886503011594","0.314496885288525","0.341276120734664"
"Nein","2004","46-65","Ländlicher Raum","916","0.365100836753874","0.345906701211737","0.384294972296011"
"Nein","2004","66","Städtischer Raum","","","",""
"Nein","2004","66","Ländlicher Raum","","","",""
"Ja","2004","17-29","Städtischer Raum","1796","0.715845256082599","0.698119807717988","0.733570704447211"
"Ja","2004","17-29","Ländlicher Raum","927","0.668023549179164","0.642781075480586","0.693266022877741"
"Ja","2004","30-45","Städtischer Raum","2540","0.605681185494436","0.591017857101486","0.620344513887387"
"Ja","2004","30-45","Ländlicher Raum","1192","0.585274254039649","0.563900205210424","0.606648302868873"
"Ja","2004","46-65","Städtischer Raum","3037","0.672113496988406","0.658723879265336","0.685503114711475"
"Ja","2004","46-65","Ländlicher Raum","1501","0.634899163246126","0.615705027703989","0.654093298788263"
"Ja","2004","66","Städtischer Raum","","","",""
"Ja","2004","66","Ländlicher Raum","","","",""
"Nein","2005","17-29","Städtischer Raum","675","0.28195290257673","0.264081305741696","0.299824499411764"
"Nein","2005","17-29","Ländlicher Raum","396","0.332717109984549","0.306934473530604","0.358499746438494"
"Nein","2005","30-45","Städtischer Raum","1597","0.388454247052841","0.3733536554177","0.403554838687981"
"Nein","2005","30-45","Ländlicher Raum","779","0.411094189479186","0.388993378619293","0.433195000339079"
"Nein","2005","46-65","Städtischer Raum","1638","0.347678253662293","0.333746910807121","0.361609596517465"
"Nein","2005","46-65","Ländlicher Raum","893","0.363197566924486","0.343632364610636","0.382762769238336"
"Nein","2005","66","Städtischer Raum","","","",""
"Nein","2005","66","Ländlicher Raum","","","",""
"Ja","2005","17-29","Städtischer Raum","1760","0.71804709742327","0.700175500588235","0.735918694258304"
"Ja","2005","17-29","Ländlicher Raum","887","0.667282890015451","0.641500253561506","0.693065526469396"
"Ja","2005","30-45","Städtischer Raum","2405","0.611545752947159","0.596445161312019","0.6266463445823"
"Ja","2005","30-45","Ländlicher Raum","1125","0.588905810520814","0.566804999660921","0.611006621380707"
"Ja","2005","46-65","Städtischer Raum","2851","0.652321746337707","0.638390403482535","0.666253089192879"
"Ja","2005","46-65","Ländlicher Raum","1428","0.636802433075514","0.617237230761664","0.656367635389364"
"Ja","2005","66","Städtischer Raum","","","",""
"Ja","2005","66","Ländlicher Raum","","","",""
"Nein","2006","17-29","Städtischer Raum","650","0.282209999941271","0.263860128775368","0.300559871107174"
