"ple0044_h","year","age_gr","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2008","17-34","2943","0.684692209719097","0.670709935903097","0.698674483535098"
"Ja","2008","35-65","6419","0.62766805870012","0.618377970699297","0.636958146700943"
"Ja","2008","66 +","4106","0.962319573374743","0.956616727701424","0.968022419048062"
"keinen Tag","2009","17-34","1165","0.302947366842801","0.288482429139467","0.317412304546134"
"keinen Tag","2009","35-65","3575","0.365059162142064","0.355434912566373","0.374683411717754"
"keinen Tag","2009","66 +","180","0.0396132422275135","0.0336718093262208","0.0455546751288062"
"Ja","2009","17-34","2712","0.697052633157199","0.682587695453866","0.711517570860533"
"Ja","2009","35-65","6038","0.634940837857936","0.625316588282245","0.644565087433627"
"Ja","2009","66 +","3960","0.960386757772486","0.954445324871194","0.966328190673779"
"keinen Tag","2010","17-34","1831","0.29811239804792","0.286966379657195","0.309258416438645"
"keinen Tag","2010","35-65","4911","0.371651988963685","0.363406901051498","0.379897076875871"
"keinen Tag","2010","66 +","184","0.0379790261136868","0.0320658122117107","0.043892240015663"
"Ja","2010","17-34","4639","0.70188760195208","0.690741583561355","0.713033620342805"
"Ja","2010","35-65","8285","0.628348011036315","0.620102923124129","0.636593098948502"
"Ja","2010","66 +","3830","0.962020973886313","0.956107759984337","0.967934187788289"
"keinen Tag","2011","17-34","1162","0.238495823556438","0.226504579869762","0.250487067243113"
"keinen Tag","2011","35-65","3633","0.312923845179108","0.304300973507982","0.321546716850235"
"keinen Tag","2011","66 +","101","0.0185568346073425","0.014810556315934","0.022303112898751"
"Ja","2011","17-34","3690","0.761504176443562","0.749512932756887","0.773495420130238"
"Ja","2011","35-65","7475","0.687076154820892","0.678453283149765","0.695699026492018"
"Ja","2011","66 +","4884","0.981443165392657","0.977696887101249","0.985189443684066"
"keinen Tag","2012","17-34","1716","0.283825179900686","0.272657544574076","0.294992815227295"
"keinen Tag","2012","35-65","5557","0.352033261411198","0.344598376240097","0.359468146582299"
"keinen Tag","2012","66 +","238","0.0430542945829498","0.0375283137468072","0.0485802754190923"
"Ja","2012","17-34","4545","0.716174820099314","0.705007184772705","0.727342455425923"
"Ja","2012","35-65","10295","0.647966738588802","0.640531853417701","0.655401623759904"
"Ja","2012","66 +","4945","0.95694570541705","0.951419724580908","0.962471686253193"
"keinen Tag","2013","17-34","2024","0.269283496365189","0.25940058285734","0.279166409873039"
"keinen Tag","2013","35-65","6007","0.337574960719183","0.33056956098298","0.344580360455386"
"keinen Tag","2013","66 +","220","0.0377311392547231","0.0324648410367784","0.0429974374726678"
"Ja","2013","17-34","5715","0.730716503634811","0.720833590126961","0.74059941714266"
"Ja","2013","35-65","11497","0.662425039280817","0.655419639544614","0.66943043901702"
"Ja","2013","66 +","4809","0.962268860745277","0.957002562527332","0.967535158963222"
"keinen Tag","2014","17-34","2063","0.31165108050521","0.300337209031081","0.322964951979339"
"keinen Tag","2014","35-65","5756","0.364769937686959","0.357150485876479","0.372389389497439"
"keinen Tag","2014","66 +","316","0.0512050974143202","0.0450517497748826","0.0573584450537579"
"Ja","2014","17-34","4375","0.68834891949479","0.677035048020661","0.699662790968919"
"Ja","2014","35-65","9576","0.635230062313041","0.627610610502561","0.642849514123521"
"Ja","2014","66 +","4613","0.94879490258568","0.942641554946242","0.954948250225117"
"keinen Tag","2015","17-34","1800","0.27466342483828","0.263864011040835","0.285462838635726"
"keinen Tag","2015","35-65","5082","0.340142159737568","0.332560359082138","0.347723960392999"
"keinen Tag","2015","66 +","269","0.0521217601234966","0.0458886956337781","0.0583548246132151"
"Ja","2015","17-34","4762","0.72533657516172","0.714537161364274","0.736135988959165"
"Ja","2015","35-65","9917","0.659857840262432","0.652276039607001","0.667439640917862"
"Ja","2015","66 +","4616","0.947878239876503","0.941645175386785","0.954111304366222"
"keinen Tag","2016","17-34","1461","0.275538858306213","0.263784455352463","0.287293261259963"
"keinen Tag","2016","35-65","4633","0.338108974288671","0.330194079343538","0.346023869233804"
"keinen Tag","2016","66 +","273","0.0573051359730918","0.0506546798354578","0.0639555921107258"
"Ja","2016","17-34","4089","0.724461141693787","0.712706738740037","0.736215544647537"
"Ja","2016","35-65","9090","0.661891025711329","0.653976130766196","0.669805920656462"
"Ja","2016","66 +","4419","0.942694864026908","0.936044407889274","0.949345320164542"
"keinen Tag","2017","17-34","1496","0.257027639108432","0.246070334665958","0.267984943550906"
"keinen Tag","2017","35-65","4799","0.321827784466514","0.314398920953201","0.329256647979827"
"keinen Tag","2017","66 +","318","0.0592022319562385","0.052618415807839","0.065786048104638"
"Ja","2017","17-34","4614","0.742972360891568","0.732015056449094","0.753929665334042"
"Ja","2017","35-65","10393","0.678172215533486","0.670743352020173","0.685601079046799"
"Ja","2017","66 +","4618","0.940797768043761","0.934213951895362","0.947381584192161"
"keinen Tag","2018","17-34","1441","0.255122325344505","0.244017699019908","0.266226951669101"
"keinen Tag","2018","35-65","4508","0.305538808226752","0.298031641197665","0.313045975255839"
"keinen Tag","2018","66 +","309","0.0625655173153977","0.0558332059803888","0.0692978286504066"
"Ja","2018","17-34","4479","0.744877674655495","0.733773048330899","0.755982300980092"
"Ja","2018","35-65","9955","0.694461191773247","0.68695402474416","0.701968358802335"
"Ja","2018","66 +","4662","0.937434482684602","0.930702171349593","0.944166794019611"
"keinen Tag","2019","17-34","1260","0.248641380098542","0.237047508906858","0.260235251290225"
"keinen Tag","2019","35-65","4908","0.300022543490091","0.292673176921274","0.307371910058908"
"keinen Tag","2019","66 +","510","0.0672612413121418","0.0604599452501858","0.0740625373740979"
"Ja","2019","17-34","4079","0.751358619901458","0.739764748709774","0.762952491093142"
"Ja","2019","35-65","10028","0.699977456509909","0.692628089941092","0.707326823078726"
"Ja","2019","66 +","4700","0.932738758687858","0.925937462625902","0.939540054749814"
"keinen Tag","2020","17-34","2278","0.256492867248641","0.24644763466962","0.266538099827662"
"keinen Tag","2020","35-65","5566","0.311251004566029","0.303995626337218","0.31850638279484"
"keinen Tag","2020","66 +","438","0.0636520768154687","0.056830410772973","0.0704737428579645"
"Ja","2020","17-34","4982","0.743507132751359","0.733461900172338","0.75355236533038"
"Ja","2020","35-65","10078","0.688748995433971","0.68149361720516","0.696004373662782"
"Ja","2020","66 +","4482","0.936347923184531","0.929526257142035","0.943169589227027"
