"ple0044_h","year","regtyp","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1991","Staedtischer Raum","Westdeutschland","5274","0.731660982469796","0.721557941401808","0.741764023537783"
"Ja","1991","Staedtischer Raum","Ostdeutschland","1326","","",""
"Ja","1991","Laendlicher Raum","Westdeutschland","1419","","",""
"Ja","1991","Laendlicher Raum","Ostdeutschland","2726","","",""
"keinen Tag","1992","Staedtischer Raum","Westdeutschland","1969","","",""
"keinen Tag","1992","Staedtischer Raum","Ostdeutschland","596","0.414205202365083","0.387561396669015","0.440849008061151"
"keinen Tag","1992","Laendlicher Raum","Westdeutschland","602","0.291384671992698","0.27141507401791","0.311354269967485"
"keinen Tag","1992","Laendlicher Raum","Ostdeutschland","1122","","",""
"Ja","1992","Staedtischer Raum","Westdeutschland","5252","0.735808455759725","0.72563915100767","0.745977760511779"
"Ja","1992","Staedtischer Raum","Ostdeutschland","717","0.585794797634917","0.559150991938849","0.612438603330985"
"Ja","1992","Laendlicher Raum","Westdeutschland","1387","","",""
"Ja","1992","Laendlicher Raum","Ostdeutschland","1406","","",""
"keinen Tag","1993","Staedtischer Raum","Westdeutschland","","","",""
"keinen Tag","1993","Staedtischer Raum","Ostdeutschland","","","",""
"keinen Tag","1993","Laendlicher Raum","Westdeutschland","","","",""
"keinen Tag","1993","Laendlicher Raum","Ostdeutschland","","","",""
"Ja","1993","Staedtischer Raum","Westdeutschland","","","",""
"Ja","1993","Staedtischer Raum","Ostdeutschland","","","",""
"Ja","1993","Laendlicher Raum","Westdeutschland","","","",""
"Ja","1993","Laendlicher Raum","Ostdeutschland","","","",""
"keinen Tag","1994","Staedtischer Raum","Westdeutschland","1997","","",""
"keinen Tag","1994","Staedtischer Raum","Ostdeutschland","451","0.305306637743353","0.280291246667542","0.330322028819164"
"keinen Tag","1994","Laendlicher Raum","Westdeutschland","577","0.290008031709417","0.269789978408618","0.310226085010217"
"keinen Tag","1994","Laendlicher Raum","Ostdeutschland","817","0.288050373907076","0.270125887819043","0.305974859995109"
"Ja","1994","Staedtischer Raum","Westdeutschland","5075","0.737824132016841","0.727573521081674","0.748074742952008"
"Ja","1994","Staedtischer Raum","Ostdeutschland","851","0.694693362256647","0.669677971180836","0.719708753332458"
"Ja","1994","Laendlicher Raum","Westdeutschland","1358","","",""
"Ja","1994","Laendlicher Raum","Ostdeutschland","1635","","",""
"keinen Tag","1995","Staedtischer Raum","Westdeutschland","2040","","",""
"keinen Tag","1995","Staedtischer Raum","Ostdeutschland","395","0.29620962494087","0.270147343328298","0.322271906553441"
"keinen Tag","1995","Laendlicher Raum","Westdeutschland","611","0.282847615307449","0.26328435703865","0.302410873576247"
"keinen Tag","1995","Laendlicher Raum","Ostdeutschland","840","0.311339539198862","0.292902503460701","0.329776574937024"
"Ja","1995","Staedtischer Raum","Westdeutschland","5196","0.73924219048426","0.729126143294254","0.749358237674266"
"Ja","1995","Staedtischer Raum","Ostdeutschland","784","0.70379037505913","0.677728093446559","0.729852656671701"
"Ja","1995","Laendlicher Raum","Westdeutschland","1425","","",""
"Ja","1995","Laendlicher Raum","Ostdeutschland","1583","","",""
"keinen Tag","1996","Staedtischer Raum","Westdeutschland","1984","","",""
"keinen Tag","1996","Staedtischer Raum","Ostdeutschland","370","0.272508846065885","0.247125813117139","0.297891879014631"
"keinen Tag","1996","Laendlicher Raum","Westdeutschland","587","0.267587322396563","0.248243388640291","0.286931256152835"
"keinen Tag","1996","Laendlicher Raum","Ostdeutschland","714","0.272866377247009","0.254783851997125","0.290948902496892"
"Ja","1996","Staedtischer Raum","Westdeutschland","5042","0.73060153366306","0.720227877059541","0.740975190266579"
"Ja","1996","Staedtischer Raum","Ostdeutschland","812","0.727491153934115","0.702108120985369","0.752874186882861"
"Ja","1996","Laendlicher Raum","Westdeutschland","1425","","",""
"Ja","1996","Laendlicher Raum","Ostdeutschland","1617","","",""
"keinen Tag","1997","Staedtischer Raum","Westdeutschland","1910","","",""
"keinen Tag","1997","Staedtischer Raum","Ostdeutschland","365","0.272725902798255","0.247041507054351","0.298410298542158"
"keinen Tag","1997","Laendlicher Raum","Westdeutschland","595","0.291228852336672","0.271171435815368","0.311286268857976"
"keinen Tag","1997","Laendlicher Raum","Ostdeutschland","750","0.281303537821968","0.262983483196516","0.299623592447421"
"Ja","1997","Staedtischer Raum","Westdeutschland","4967","0.743918726114662","0.733602989735116","0.754234462494208"
"Ja","1997","Staedtischer Raum","Ostdeutschland","790","0.727274097201746","0.701589701457842","0.752958492945649"
"Ja","1997","Laendlicher Raum","Westdeutschland","1376","","",""
"Ja","1997","Laendlicher Raum","Ostdeutschland","1564","","",""
"keinen Tag","1998","Staedtischer Raum","Westdeutschland","2202","","",""
"keinen Tag","1998","Staedtischer Raum","Ostdeutschland","373","0.283616716781548","0.257887307073827","0.309346126489268"
"keinen Tag","1998","Laendlicher Raum","Westdeutschland","648","0.25982892748186","0.241812371875077","0.277845483088643"
"keinen Tag","1998","Laendlicher Raum","Ostdeutschland","824","0.294492892130826","0.276653813068304","0.312331971193348"
"Ja","1998","Staedtischer Raum","Westdeutschland","5453","0.730814944743867","0.72087910276388","0.740750786723854"
"Ja","1998","Staedtischer Raum","Ostdeutschland","806","0.716383283218452","0.690653873510732","0.742112692926173"
"Ja","1998","Laendlicher Raum","Westdeutschland","1628","","",""
"Ja","1998","Laendlicher Raum","Ostdeutschland","1684","","",""
"keinen Tag","1999","Staedtischer Raum","Westdeutschland","2213","","",""
"keinen Tag","1999","Staedtischer Raum","Ostdeutschland","400","0.311478658462977","0.285200149483395","0.337757167442559"
"keinen Tag","1999","Laendlicher Raum","Westdeutschland","664","0.27912413142644","0.260176496329232","0.298071766523647"
"keinen Tag","1999","Laendlicher Raum","Ostdeutschland","785","0.291824898820018","0.273753693925158","0.309896103714878"
"Ja","1999","Staedtischer Raum","Westdeutschland","5110","0.715087391385087","0.704749333281152","0.725425449489022"
"Ja","1999","Staedtischer Raum","Ostdeutschland","793","0.688521341537023","0.662242832557441","0.714799850516606"
"Ja","1999","Laendlicher Raum","Westdeutschland","1489","","",""
"Ja","1999","Laendlicher Raum","Ostdeutschland","1646","","",""
"keinen Tag","2000","Staedtischer Raum","Westdeutschland","3871","0.279954101835402","0.272342875708163","0.287565327962641"
"keinen Tag","2000","Staedtischer Raum","Ostdeutschland","578","0.298297163988962","0.277132223939589","0.319462104038335"
"keinen Tag","2000","Laendlicher Raum","Westdeutschland","1272","","",""
"keinen Tag","2000","Laendlicher Raum","Ostdeutschland","1193","","",""
"Ja","2000","Staedtischer Raum","Westdeutschland","9496","0.720045898164598","0.712434672037359","0.727657124291837"
"Ja","2000","Staedtischer Raum","Ostdeutschland","1217","","",""
"Ja","2000","Laendlicher Raum","Westdeutschland","2973","","",""
"Ja","2000","Laendlicher Raum","Ostdeutschland","2669","","",""
"keinen Tag","2001","Staedtischer Raum","Westdeutschland","3614","0.289756035861942","0.281692286082103","0.297819785641782"
"keinen Tag","2001","Staedtischer Raum","Ostdeutschland","528","0.291397870343124","0.26972693384284","0.313068806843408"
"keinen Tag","2001","Laendlicher Raum","Westdeutschland","1161","","",""
"keinen Tag","2001","Laendlicher Raum","Ostdeutschland","1057","","",""
"Ja","2001","Staedtischer Raum","Westdeutschland","8544","0.710243964138058","0.702180214358218","0.718307713917897"
"Ja","2001","Staedtischer Raum","Ostdeutschland","1161","","",""
"Ja","2001","Laendlicher Raum","Westdeutschland","2672","","",""
"Ja","2001","Laendlicher Raum","Ostdeutschland","2519","","",""
"keinen Tag","2002","Staedtischer Raum","Westdeutschland","4023","0.282105272438516","0.274379144831916","0.289831400045116"
"keinen Tag","2002","Staedtischer Raum","Ostdeutschland","583","0.296841537208186","0.275231680685222","0.31845139373115"
"keinen Tag","2002","Laendlicher Raum","Westdeutschland","1261","","",""
"keinen Tag","2002","Laendlicher Raum","Ostdeutschland","1045","","",""
"Ja","2002","Staedtischer Raum","Westdeutschland","9010","0.717894727561484","0.710168599954884","0.725620855168084"
"Ja","2002","Staedtischer Raum","Ostdeutschland","1134","","",""
"Ja","2002","Laendlicher Raum","Westdeutschland","2739","","",""
"Ja","2002","Laendlicher Raum","Ostdeutschland","2468","","",""
"keinen Tag","2003","Staedtischer Raum","Westdeutschland","3787","0.276471700962847","0.268641798552744","0.28430160337295"
"keinen Tag","2003","Staedtischer Raum","Ostdeutschland","533","0.277039545822704","0.255784163485318","0.29829492816009"
"keinen Tag","2003","Laendlicher Raum","Westdeutschland","1161","","",""
"keinen Tag","2003","Laendlicher Raum","Ostdeutschland","1042","","",""
"Ja","2003","Staedtischer Raum","Westdeutschland","8747","0.723528299037153","0.71569839662705","0.731358201447256"
"Ja","2003","Staedtischer Raum","Ostdeutschland","1170","","",""
"Ja","2003","Laendlicher Raum","Westdeutschland","2601","","",""
"Ja","2003","Laendlicher Raum","Ostdeutschland","2448","","",""
"keinen Tag","2004","Staedtischer Raum","Westdeutschland","3687","0.27438514312495","0.26647452662793","0.282295759621969"
"keinen Tag","2004","Staedtischer Raum","Ostdeutschland","513","0.263719294513734","0.242797161523728","0.28464142750374"
"keinen Tag","2004","Laendlicher Raum","Westdeutschland","1197","","",""
"keinen Tag","2004","Laendlicher Raum","Ostdeutschland","1021","","",""
"Ja","2004","Staedtischer Raum","Westdeutschland","8535","0.72561485687505","0.717704240378031","0.73352547337207"
"Ja","2004","Staedtischer Raum","Ostdeutschland","1191","","",""
"Ja","2004","Laendlicher Raum","Westdeutschland","2533","","",""
"Ja","2004","Laendlicher Raum","Ostdeutschland","2328","","",""
"keinen Tag","2005","Staedtischer Raum","Westdeutschland","3498","0.278690336136421","0.27058523190266","0.286795440370182"
"keinen Tag","2005","Staedtischer Raum","Ostdeutschland","492","0.261270899929614","0.240047190081327","0.282494609777901"
"keinen Tag","2005","Laendlicher Raum","Westdeutschland","1128","","",""
"keinen Tag","2005","Laendlicher Raum","Ostdeutschland","984","0.287449089901739","0.271870433300898","0.303027746502579"
"Ja","2005","Staedtischer Raum","Westdeutschland","8257","0.721309663863579","0.713204559629819","0.72941476809734"
"Ja","2005","Staedtischer Raum","Ostdeutschland","1154","","",""
"Ja","2005","Laendlicher Raum","Westdeutschland","2410","","",""
"Ja","2005","Laendlicher Raum","Ostdeutschland","2258","","",""
"keinen Tag","2006","Staedtischer Raum","Westdeutschland","3637","0.277407388195556","0.269518171130288","0.285296605260824"
"keinen Tag","2006","Staedtischer Raum","Ostdeutschland","520","0.292806830732477","0.271111595204691","0.314502066260264"
"keinen Tag","2006","Laendlicher Raum","Westdeutschland","1293","","",""
"keinen Tag","2006","Laendlicher Raum","Ostdeutschland","1053","","",""
"Ja","2006","Staedtischer Raum","Westdeutschland","8735","0.722592611804444","0.714703394739176","0.730481828869712"
"Ja","2006","Staedtischer Raum","Ostdeutschland","1170","","",""
"Ja","2006","Laendlicher Raum","Westdeutschland","2653","","",""
"Ja","2006","Laendlicher Raum","Ostdeutschland","2366","","",""
"keinen Tag","2007","Staedtischer Raum","Westdeutschland","3339","0.277943824874237","0.269735734110792","0.286151915637683"
"keinen Tag","2007","Staedtischer Raum","Ostdeutschland","498","0.289873936554041","0.267753192882127","0.311994680225954"
"keinen Tag","2007","Laendlicher Raum","Westdeutschland","1165","","",""
"keinen Tag","2007","Laendlicher Raum","Ostdeutschland","969","0.291711064916688","0.276035308376353","0.307386821457024"
"Ja","2007","Staedtischer Raum","Westdeutschland","8104","0.722056175125763","0.713848084362317","0.730264265889208"
"Ja","2007","Staedtischer Raum","Ostdeutschland","1118","","",""
"Ja","2007","Laendlicher Raum","Westdeutschland","2497","","",""
"Ja","2007","Laendlicher Raum","Ostdeutschland","2261","","",""
"keinen Tag","2008","Staedtischer Raum","Westdeutschland","3040","0.272792614265734","0.264399947587959","0.281185280943509"
"keinen Tag","2008","Staedtischer Raum","Ostdeutschland","447","0.268729684367606","0.246822804686345","0.290636564048868"
"keinen Tag","2008","Laendlicher Raum","Westdeutschland","1056","","",""
"keinen Tag","2008","Laendlicher Raum","Ostdeutschland","916","0.287819745596831","0.271804479461461","0.303835011732202"
"Ja","2008","Staedtischer Raum","Westdeutschland","7779","0.727207385734266","0.718814719056491","0.735600052412041"
"Ja","2008","Staedtischer Raum","Ostdeutschland","1126","","",""
"Ja","2008","Laendlicher Raum","Westdeutschland","2409","","",""
"Ja","2008","Laendlicher Raum","Ostdeutschland","2154","","",""
"keinen Tag","2009","Staedtischer Raum","Westdeutschland","2733","","",""
"keinen Tag","2009","Staedtischer Raum","Ostdeutschland","424","0.269091990149433","0.246596268320265","0.291587711978602"
"keinen Tag","2009","Laendlicher Raum","Westdeutschland","974","0.282313577173506","0.266918574649215","0.297708579697798"
"keinen Tag","2009","Laendlicher Raum","Ostdeutschland","789","0.27463230905006","0.258462993082875","0.290801625017246"
"Ja","2009","Staedtischer Raum","Westdeutschland","7193","0.732769266442891","0.724063885497147","0.741474647388635"
"Ja","2009","Staedtischer Raum","Ostdeutschland","1069","","",""
"Ja","2009","Laendlicher Raum","Westdeutschland","2310","","",""
"Ja","2009","Laendlicher Raum","Ostdeutschland","2138","","",""
"keinen Tag","2010","Staedtischer Raum","Westdeutschland","3819","0.260571326744115","0.253176458902919","0.26796619458531"
"keinen Tag","2010","Staedtischer Raum","Ostdeutschland","526","0.264441624043099","0.244484169237852","0.284399078848346"
"keinen Tag","2010","Laendlicher Raum","Westdeutschland","1497","","",""
"keinen Tag","2010","Laendlicher Raum","Ostdeutschland","1084","","",""
"Ja","2010","Staedtischer Raum","Westdeutschland","9716","0.739428673255885","0.732033805414689","0.746823541097081"
"Ja","2010","Staedtischer Raum","Ostdeutschland","1350","","",""
"Ja","2010","Laendlicher Raum","Westdeutschland","3251","0.695837766715796","0.682751993837083","0.708923539594509"
"Ja","2010","Laendlicher Raum","Ostdeutschland","2437","","",""
"keinen Tag","2011","Staedtischer Raum","Westdeutschland","2769","","",""
"keinen Tag","2011","Staedtischer Raum","Ostdeutschland","317","0.165940787653049","0.147088792924865","0.184792782381232"
"keinen Tag","2011","Laendlicher Raum","Westdeutschland","1183","","",""
"keinen Tag","2011","Laendlicher Raum","Ostdeutschland","627","0.191651684234336","0.17716816794534","0.206135200523332"
"Ja","2011","Staedtischer Raum","Westdeutschland","9139","0.805950800121853","0.798847848256406","0.813053751987299"
"Ja","2011","Staedtischer Raum","Ostdeutschland","1179","","",""
"Ja","2011","Laendlicher Raum","Westdeutschland","3521","0.795497156035775","0.78397102835535","0.8070232837162"
"Ja","2011","Laendlicher Raum","Ostdeutschland","2210","","",""
"keinen Tag","2012","Staedtischer Raum","Westdeutschland","4080","0.252630247941635","0.245728169782102","0.259532326101167"
"keinen Tag","2012","Staedtischer Raum","Ostdeutschland","587","0.279291451959175","0.259936063008051","0.298646840910298"
"keinen Tag","2012","Laendlicher Raum","Westdeutschland","1692","","",""
"keinen Tag","2012","Laendlicher Raum","Ostdeutschland","1152","","",""
"Ja","2012","Staedtischer Raum","Westdeutschland","11145","","",""
"Ja","2012","Staedtischer Raum","Ostdeutschland","1477","","",""
"Ja","2012","Laendlicher Raum","Westdeutschland","4294","0.731096152682311","0.71986393550723","0.742328369857392"
"Ja","2012","Laendlicher Raum","Ostdeutschland","2869","","",""
"keinen Tag","2013","Staedtischer Raum","Westdeutschland","4754","0.238865597915307","0.232597636220717","0.245133559609896"
"keinen Tag","2013","Staedtischer Raum","Ostdeutschland","582","0.263672822755749","0.24484529386576","0.282500351645737"
"keinen Tag","2013","Laendlicher Raum","Westdeutschland","1817","","",""
"keinen Tag","2013","Laendlicher Raum","Ostdeutschland","1098","","",""
"Ja","2013","Staedtischer Raum","Westdeutschland","13023","","",""
"Ja","2013","Staedtischer Raum","Ostdeutschland","1522","","",""
"Ja","2013","Laendlicher Raum","Westdeutschland","4642","0.743388470090907","0.732736953646888","0.754039986534925"
"Ja","2013","Laendlicher Raum","Ostdeutschland","2834","","",""
"keinen Tag","2014","Staedtischer Raum","Westdeutschland","4809","0.275788481866744","0.268740335560198","0.28283662817329"
"keinen Tag","2014","Staedtischer Raum","Ostdeutschland","542","0.272796013091758","0.252800443592479","0.292791582591037"
"keinen Tag","2014","Laendlicher Raum","Westdeutschland","1791","","",""
"keinen Tag","2014","Laendlicher Raum","Ostdeutschland","993","0.271496050583815","0.256952259063867","0.286039842103763"
"Ja","2014","Staedtischer Raum","Westdeutschland","10636","","",""
"Ja","2014","Staedtischer Raum","Ostdeutschland","1364","","",""
"Ja","2014","Laendlicher Raum","Westdeutschland","3965","0.725924994427895","0.714401922065962","0.737448066789828"
"Ja","2014","Laendlicher Raum","Ostdeutschland","2599","","",""
"keinen Tag","2015","Staedtischer Raum","Westdeutschland","4073","0.245882569807845","0.23906719786522","0.25269794175047"
"keinen Tag","2015","Staedtischer Raum","Ostdeutschland","512","0.263352808759757","0.243527148006687","0.283178469512827"
"keinen Tag","2015","Laendlicher Raum","Westdeutschland","1638","","",""
"keinen Tag","2015","Laendlicher Raum","Ostdeutschland","928","0.275950353034791","0.26099141782842","0.290909288241162"
"Ja","2015","Staedtischer Raum","Westdeutschland","11262","","",""
"Ja","2015","Staedtischer Raum","Ostdeutschland","1384","","",""
"Ja","2015","Laendlicher Raum","Westdeutschland","4147","0.741170047818942","0.729883461547095","0.752456634090789"
"Ja","2015","Laendlicher Raum","Ostdeutschland","2502","","",""
"keinen Tag","2016","Staedtischer Raum","Westdeutschland","3628","0.252175029504833","0.244933086433385","0.259416972576282"
"keinen Tag","2016","Staedtischer Raum","Ostdeutschland","442","0.254146704209951","0.23365431989398","0.274639088525921"
"keinen Tag","2016","Laendlicher Raum","Westdeutschland","1477","","",""
"keinen Tag","2016","Laendlicher Raum","Ostdeutschland","820","0.26713965204133","0.251830786005087","0.282448518077572"
"Ja","2016","Staedtischer Raum","Westdeutschland","10185","","",""
"Ja","2016","Staedtischer Raum","Ostdeutschland","1292","","",""
"Ja","2016","Laendlicher Raum","Westdeutschland","3732","0.743493239348282","0.731633945440683","0.755352533255881"
"Ja","2016","Laendlicher Raum","Ostdeutschland","2389","","",""
"keinen Tag","2017","Staedtischer Raum","Westdeutschland","3778","0.246486809465975","0.239591434445562","0.253382184486388"
"keinen Tag","2017","Staedtischer Raum","Ostdeutschland","466","0.23690757141463","0.21792367846166","0.2558914643676"
"keinen Tag","2017","Laendlicher Raum","Westdeutschland","1488","","",""
"keinen Tag","2017","Laendlicher Raum","Ostdeutschland","881","0.235201998000636","0.221301088637857","0.249102907363415"
"Ja","2017","Staedtischer Raum","Westdeutschland","11228","","",""
"Ja","2017","Staedtischer Raum","Ostdeutschland","1461","","",""
"Ja","2017","Laendlicher Raum","Westdeutschland","4241","0.766811966396465","0.755862164782911","0.777761768010018"
"Ja","2017","Laendlicher Raum","Ostdeutschland","2695","","",""
"keinen Tag","2018","Staedtischer Raum","Westdeutschland","3529","0.22606187600947","0.219265406416354","0.232858345602585"
"keinen Tag","2018","Staedtischer Raum","Ostdeutschland","458","0.245303240190697","0.225946248123344","0.264660232258049"
"keinen Tag","2018","Laendlicher Raum","Westdeutschland","1445","","",""
"keinen Tag","2018","Laendlicher Raum","Ostdeutschland","826","0.235234945236653","0.221227196208535","0.249242694264772"
"Ja","2018","Staedtischer Raum","Westdeutschland","11021","","",""
"Ja","2018","Staedtischer Raum","Ostdeutschland","1440","","",""
"Ja","2018","Laendlicher Raum","Westdeutschland","3939","0.751261970980855","0.739715151867692","0.762808790094018"
"Ja","2018","Laendlicher Raum","Ostdeutschland","2696","","",""
"keinen Tag","2019","Staedtischer Raum","Westdeutschland","3777","0.233702077047189","0.226771388758808","0.24063276533557"
"keinen Tag","2019","Staedtischer Raum","Ostdeutschland","489","0.208839031938416","0.190469759490432","0.2272083043864"
"keinen Tag","2019","Laendlicher Raum","Westdeutschland","1359","","",""
"keinen Tag","2019","Laendlicher Raum","Ostdeutschland","948","0.222474190126789","0.208734593469384","0.236213786784195"
"Ja","2019","Staedtischer Raum","Westdeutschland","10545","","",""
"Ja","2019","Staedtischer Raum","Ostdeutschland","1392","","",""
"Ja","2019","Laendlicher Raum","Westdeutschland","3858","0.767174176371646","0.755705844964698","0.778642507778594"
"Ja","2019","Laendlicher Raum","Ostdeutschland","2572","","",""
"keinen Tag","2020","Staedtischer Raum","Westdeutschland","4878","0.225458707024664","0.219092338629894","0.231825075419435"
"keinen Tag","2020","Staedtischer Raum","Ostdeutschland","638","0.253050505865477","0.23429440894735","0.271806602783604"
"keinen Tag","2020","Laendlicher Raum","Westdeutschland","1765","","",""
"keinen Tag","2020","Laendlicher Raum","Ostdeutschland","1001","","",""
"Ja","2020","Staedtischer Raum","Westdeutschland","11673","","",""
"Ja","2020","Staedtischer Raum","Ostdeutschland","1426","","",""
"Ja","2020","Laendlicher Raum","Westdeutschland","3917","0.732573348197724","0.721064671842975","0.744082024552474"
"Ja","2020","Laendlicher Raum","Ostdeutschland","2527","","",""
