"ple0044_h","year","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2012","Westdeutschland","15439","","",""
"Ja","2012","Ostdeutschland","4346","0.721389120862607","0.71012488775688","0.732653353968334"
"keinen Tag","2013","Westdeutschland","6571","0.243409507143215","0.238006732816581","0.24881228146985"
"keinen Tag","2013","Ostdeutschland","1680","","",""
"Ja","2013","Westdeutschland","17665","","",""
"Ja","2013","Ostdeutschland","4356","0.730445092589076","0.71925094870753","0.741639236470623"
"keinen Tag","2014","Westdeutschland","6600","0.27534952244406","0.269336727777782","0.281362317110337"
"keinen Tag","2014","Ostdeutschland","1535","","",""
"Ja","2014","Westdeutschland","14601","","",""
"Ja","2014","Ostdeutschland","3963","0.728047813063028","0.716286062851581","0.739809563274474"
"keinen Tag","2015","Westdeutschland","5711","0.249195231727931","0.243361660444108","0.255028803011754"
"keinen Tag","2015","Ostdeutschland","1440","","",""
"Ja","2015","Westdeutschland","15409","","",""
"Ja","2015","Ostdeutschland","3886","0.728622624509295","0.716680388348698","0.740564860669891"
"keinen Tag","2016","Westdeutschland","5105","0.253267680381465","0.247087625055667","0.259447735707263"
"keinen Tag","2016","Ostdeutschland","1262","","",""
"Ja","2016","Westdeutschland","13917","","",""
"Ja","2016","Ostdeutschland","3681","0.737518285223423","0.725252687719447","0.749783882727398"
"keinen Tag","2017","Westdeutschland","5266","0.243176392688022","0.237337182447887","0.249015602928158"
"keinen Tag","2017","Ostdeutschland","1347","","",""
"Ja","2017","Westdeutschland","15469","","",""
"Ja","2017","Ostdeutschland","4156","0.764170659034953","0.752954544575697","0.775386773494209"
"keinen Tag","2018","Westdeutschland","4974","0.231666963220261","0.225810199944549","0.237523726495973"
"keinen Tag","2018","Ostdeutschland","1284","","",""
"Ja","2018","Westdeutschland","14960","","",""
"Ja","2018","Ostdeutschland","4136","0.76105985040378","0.749707065250638","0.772412635556921"
"keinen Tag","2019","Westdeutschland","5213","0.232819493063443","0.226953026010492","0.238685960116394"
"keinen Tag","2019","Ostdeutschland","1451","","",""
"Ja","2019","Westdeutschland","14724","","",""
"Ja","2019","Ostdeutschland","4021","0.781809703222232","0.7708665295599","0.792752876884564"
"keinen Tag","2020","Westdeutschland","6643","0.235911754286571","0.230330965240513","0.24149254333263"
"keinen Tag","2020","Ostdeutschland","1639","","",""
"Ja","2020","Westdeutschland","15590","","",""
"Ja","2020","Ostdeutschland","3953","0.763892920881616","0.752761893358108","0.775023948405124"
