"ple0044_h","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Ja","1986","66 +","maennlich","383","0.9224260650647","0.89678219048803","0.94806993964137"
"Ja","1986","66 +","weiblich","570","0.938824942387426","0.919791429615822","0.95785845515903"
"keinen Tag","1987","17-34","maennlich","752","0.384116287001244","0.362926648009024","0.405305925993464"
"keinen Tag","1987","17-34","weiblich","507","0.270893384082006","0.251066057715743","0.290720710448269"
"keinen Tag","1987","35-65","maennlich","1178","0.468928010201201","0.449753502144355","0.488102518258048"
"keinen Tag","1987","35-65","weiblich","637","0.239953683876885","0.223623096912327","0.256284270841442"
"keinen Tag","1987","66 +","maennlich","16","","",""
"keinen Tag","1987","66 +","weiblich","11","","",""
"Ja","1987","17-34","maennlich","1272","0.615883712998756","0.594694074006536","0.637073351990976"
"Ja","1987","17-34","weiblich","1423","0.729106615917994","0.709279289551731","0.748933942284256"
"Ja","1987","35-65","maennlich","1424","0.531071989798799","0.511897481741952","0.550246497855645"
"Ja","1987","35-65","weiblich","1990","0.760046316123115","0.743715729158558","0.776376903087673"
"Ja","1987","66 +","maennlich","407","0.968373839350922","0.95169665736641","0.985051021335434"
"Ja","1987","66 +","weiblich","631","0.985503557172077","0.97625784437579","0.994749269968363"
"keinen Tag","1988","17-34","maennlich","734","0.394283904187257","0.372481292602941","0.416086515771573"
"keinen Tag","1988","17-34","weiblich","515","0.300280037014136","0.279347173551992","0.32121290047628"
"keinen Tag","1988","35-65","maennlich","1113","0.465041057624705","0.445438349523338","0.484643765726073"
"keinen Tag","1988","35-65","weiblich","624","0.25033189488086","0.233313121586937","0.267350668174782"
"keinen Tag","1988","66 +","maennlich","17","","",""
"keinen Tag","1988","66 +","weiblich","13","","",""
"Ja","1988","17-34","maennlich","1196","0.605716095812743","0.583913484228427","0.627518707397059"
"Ja","1988","17-34","weiblich","1327","0.699719962985864","0.67878709952372","0.720652826448008"
"Ja","1988","35-65","maennlich","1374","0.534958942375295","0.515356234273927","0.554561650476662"
"Ja","1988","35-65","weiblich","1865","0.74966810511914","0.732649331825218","0.766686878413063"
"Ja","1988","66 +","maennlich","397","0.964795011434027","0.947042183291293","0.982547839576762"
"Ja","1988","66 +","weiblich","605","0.980143472071643","0.969144544686518","0.991142399456769"
"keinen Tag","1989","17-34","maennlich","675","0.334039089791962","0.312909058548281","0.355169121035642"
"keinen Tag","1989","17-34","weiblich","485","0.290305800942764","0.269463897025938","0.311147704859589"
"keinen Tag","1989","35-65","maennlich","1034","0.448658277621862","0.428813889989984","0.468502665253739"
"keinen Tag","1989","35-65","weiblich","617","0.256703574404397","0.239310820016867","0.274096328791928"
"keinen Tag","1989","66 +","maennlich","15","","",""
"keinen Tag","1989","66 +","weiblich","9","","",""
"Ja","1989","17-34","maennlich","1239","0.665960910208039","0.644830878964358","0.687090941451719"
"Ja","1989","17-34","weiblich","1337","0.709694199057236","0.688852295140411","0.730536102974062"
"Ja","1989","35-65","maennlich","1379","0.551341722378138","0.53149733474626","0.571186110010016"
"Ja","1989","35-65","weiblich","1806","0.743296425595603","0.725903671208073","0.760689179983133"
"Ja","1989","66 +","maennlich","377","0.966589112113152","0.948799355129396","0.984378869096908"
"Ja","1989","66 +","weiblich","606","0.98719226651447","0.978305422725398","0.996079110303541"
"keinen Tag","1990","17-34","maennlich","","","",""
"keinen Tag","1990","17-34","weiblich","","","",""
"keinen Tag","1990","35-65","maennlich","","","",""
"keinen Tag","1990","35-65","weiblich","","","",""
"keinen Tag","1990","66 +","maennlich","","","",""
"keinen Tag","1990","66 +","weiblich","","","",""
"Ja","1990","17-34","maennlich","","","",""
"Ja","1990","17-34","weiblich","","","",""
"Ja","1990","35-65","maennlich","","","",""
"Ja","1990","35-65","weiblich","","","",""
"Ja","1990","66 +","maennlich","","","",""
"Ja","1990","66 +","weiblich","","","",""
"keinen Tag","1991","17-34","maennlich","619","0.278035999964955","0.260751278882125","0.295320721047786"
"keinen Tag","1991","17-34","weiblich","453","0.207722346904108","0.191992193703518","0.223452500104699"
"keinen Tag","1991","35-65","maennlich","962","0.324720973685409","0.309122526741983","0.340319420628835"
"keinen Tag","1991","35-65","weiblich","639","0.207855778810029","0.194391571587271","0.221319986032787"
"keinen Tag","1991","66 +","maennlich","16","","",""
"keinen Tag","1991","66 +","weiblich","7","","",""
"Ja","1991","17-34","maennlich","1962","0.721964000035045","0.704679278952214","0.739248721117875"
"Ja","1991","17-34","weiblich","2102","0.792277653095892","0.776547499895301","0.808007806296482"
"Ja","1991","35-65","maennlich","2500","0.675279026314591","0.659680579371165","0.690877473258017"
"Ja","1991","35-65","weiblich","2850","0.792144221189971","0.778680013967213","0.805608428412729"
"Ja","1991","66 +","maennlich","535","0.972595702644965","0.958964072307332","0.986227332982598"
"Ja","1991","66 +","weiblich","886","0.992296406624067","0.986561983348263","0.998030829899871"
"keinen Tag","1992","17-34","maennlich","963","0.400655765377217","0.381299216389964","0.420012314364471"
"keinen Tag","1992","17-34","weiblich","703","0.278721807044204","0.260982049195916","0.296461564892491"
"keinen Tag","1992","35-65","maennlich","1547","0.444960678803068","0.428239039394897","0.461682318211239"
"keinen Tag","1992","35-65","weiblich","1113","0.306290859916539","0.290824101337524","0.321757618495554"
"keinen Tag","1992","66 +","maennlich","13","","",""
"keinen Tag","1992","66 +","weiblich","5","","",""
"Ja","1992","17-34","maennlich","1499","0.599344234622783","0.579987685635529","0.618700783610036"
"Ja","1992","17-34","weiblich","1751","0.721278192955796","0.703538435107509","0.739017950804084"
"Ja","1992","35-65","maennlich","1846","0.555039321196932","0.538317681788761","0.571760960605103"
"Ja","1992","35-65","weiblich","2299","0.693709140083461","0.678242381504446","0.709175898662476"
"Ja","1992","66 +","maennlich","536","0.977871326062729","0.96556635860825","0.990176293517209"
"Ja","1992","66 +","weiblich","893","0.995330961233757","0.990872269783324","0.99978965268419"
"keinen Tag","1993","17-34","maennlich","","","",""
"keinen Tag","1993","17-34","weiblich","","","",""
"keinen Tag","1993","35-65","maennlich","","","",""
"keinen Tag","1993","35-65","weiblich","","","",""
"keinen Tag","1993","66 +","maennlich","","","",""
"keinen Tag","1993","66 +","weiblich","","","",""
"Ja","1993","17-34","maennlich","","","",""
"Ja","1993","17-34","weiblich","","","",""
"Ja","1993","35-65","maennlich","","","",""
"Ja","1993","35-65","weiblich","","","",""
"Ja","1993","66 +","maennlich","","","",""
"Ja","1993","66 +","weiblich","","","",""
"keinen Tag","1994","17-34","maennlich","883","0.371851501552925","0.352311252596858","0.391391750508991"
"keinen Tag","1994","17-34","weiblich","613","0.236171359758202","0.219189596195827","0.253153123320577"
"keinen Tag","1994","35-65","maennlich","1420","0.430956456894296","0.413938966846938","0.447973946941653"
"keinen Tag","1994","35-65","weiblich","904","0.265236061766181","0.250100544454518","0.280371579077844"
"keinen Tag","1994","66 +","maennlich","13","","",""
"keinen Tag","1994","66 +","weiblich","9","","",""
"Ja","1994","17-34","maennlich","1467","0.628148498447075","0.608608249491009","0.647688747403142"
"Ja","1994","17-34","weiblich","1790","0.763828640241798","0.746846876679423","0.780810403804173"
"Ja","1994","35-65","maennlich","1833","0.569043543105704","0.552026053058347","0.586061033153062"
"Ja","1994","35-65","weiblich","2364","0.734763938233819","0.719628420922156","0.749899455545482"
"Ja","1994","66 +","maennlich","550","0.976572965465562","0.964078867663292","0.989067063267833"
"Ja","1994","66 +","weiblich","915","0.988950416517904","0.982210223741332","0.995690609294475"
"keinen Tag","1995","17-34","maennlich","895","0.373563561030492","0.3540589636633","0.393068158397683"
"keinen Tag","1995","17-34","weiblich","616","0.258073856982019","0.240596643416062","0.275551070547976"
"keinen Tag","1995","35-65","maennlich","1375","0.414143713396926","0.397268620501046","0.431018806292806"
"keinen Tag","1995","35-65","weiblich","971","0.271231555443501","0.256106068958954","0.286357041928049"
"keinen Tag","1995","66 +","maennlich","19","","",""
"keinen Tag","1995","66 +","weiblich","10","","",""
"Ja","1995","17-34","maennlich","1468","0.626436438969508","0.606931841602317","0.6459410363367"
"Ja","1995","17-34","weiblich","1792","0.741926143017981","0.724448929452024","0.759403356583939"
"Ja","1995","35-65","maennlich","1898","0.585856286603074","0.568981193707194","0.602731379498954"
"Ja","1995","35-65","weiblich","2348","0.728768444556498","0.713642958071951","0.743893931041046"
"Ja","1995","66 +","maennlich","562","0.968870226146427","0.954748726721081","0.982991725571774"
"Ja","1995","66 +","weiblich","920","0.988371465385566","0.981481306907578","0.995261623863554"
"keinen Tag","1996","17-34","maennlich","813","0.36845164944173","0.348510807427691","0.388392491455768"
"keinen Tag","1996","17-34","weiblich","567","0.238381814496828","0.220930201921416","0.25583342707224"
"keinen Tag","1996","35-65","maennlich","1295","0.408150435778925","0.391161217323645","0.425139654234206"
"keinen Tag","1996","35-65","weiblich","946","0.279882919092581","0.264474345206601","0.295291492978562"
"keinen Tag","1996","66 +","maennlich","22","","",""
"keinen Tag","1996","66 +","weiblich","12","","",""
"Ja","1996","17-34","maennlich","1435","0.63154835055827","0.611607508544232","0.651489192572309"
"Ja","1996","17-34","weiblich","1723","0.761618185503172","0.74416657292776","0.779069798078584"
"Ja","1996","35-65","maennlich","1920","0.591849564221075","0.574860345765794","0.608838782676355"
"Ja","1996","35-65","weiblich","2315","0.720117080907419","0.704708507021439","0.735525654793399"
"Ja","1996","66 +","maennlich","573","0.965947082641088","0.951374268099785","0.980519897182392"
"Ja","1996","66 +","weiblich","930","0.988001143759549","0.981048158825933","0.994954128693165"
"keinen Tag","1997","17-34","maennlich","810","0.388191731526566","0.367813622852467","0.408569840200666"
"keinen Tag","1997","17-34","weiblich","538","0.237555878787929","0.219711177945142","0.255400579630717"
"keinen Tag","1997","35-65","maennlich","1302","0.40099084843822","0.383878569582032","0.418103127294409"
"keinen Tag","1997","35-65","weiblich","941","0.27145286947507","0.256085532839232","0.286820206110909"
"keinen Tag","1997","66 +","maennlich","18","","",""
"keinen Tag","1997","66 +","weiblich","11","","",""
"Ja","1997","17-34","maennlich","1387","0.611808268473434","0.591430159799334","0.632186377147533"
"Ja","1997","17-34","weiblich","1647","0.762444121212071","0.744599420369284","0.780288822054858"
"Ja","1997","35-65","maennlich","1849","0.59900915156178","0.581896872705591","0.616121430417969"
"Ja","1997","35-65","weiblich","2276","0.72854713052493","0.713179793889091","0.743914467160768"
"Ja","1997","66 +","maennlich","608","0.980849602814267","0.970113392075067","0.991585813553467"
"Ja","1997","66 +","weiblich","931","0.987744918939733","0.980718999984034","0.994770837895432"
"keinen Tag","1998","17-34","maennlich","846","0.368457188162738","0.348751557152275","0.388162819173201"
"keinen Tag","1998","17-34","weiblich","551","0.225165549165529","0.20813598430638","0.242195114024677"
"keinen Tag","1998","35-65","maennlich","1517","0.420481853636492","0.404250391759307","0.436713315513677"
"keinen Tag","1998","35-65","weiblich","1101","0.288166819081477","0.273402784949918","0.302930853213036"
"keinen Tag","1998","66 +","maennlich","21","","",""
"keinen Tag","1998","66 +","weiblich","11","","",""
"Ja","1998","17-34","maennlich","1456","0.631542811837262","0.611837180826799","0.651248442847725"
"Ja","1998","17-34","weiblich","1760","0.774834450834471","0.757804885975323","0.79186401569362"
"Ja","1998","35-65","maennlich","2036","0.579518146363508","0.563286684486323","0.595749608240693"
"Ja","1998","35-65","weiblich","2514","0.711833180918523","0.697069146786964","0.726597215050081"
"Ja","1998","66 +","maennlich","725","0.975506724939443","0.964414536449307","0.98659891342958"
"Ja","1998","66 +","weiblich","1080","0.992986067077762","0.988033982001304","0.99793815215422"
"keinen Tag","1999","17-34","maennlich","836","0.403522402050443","0.382779917416171","0.424264886684715"
"keinen Tag","1999","17-34","weiblich","647","0.283538528122942","0.264814987738001","0.302262068507883"
"keinen Tag","1999","35-65","maennlich","1449","0.415916136027307","0.399478952148982","0.432353319905633"
"keinen Tag","1999","35-65","weiblich","1087","0.293963637954436","0.278890046235768","0.309037229673103"
"keinen Tag","1999","66 +","maennlich","24","","",""
"keinen Tag","1999","66 +","weiblich","19","","",""
"Ja","1999","17-34","maennlich","1313","0.596477597949557","0.575735113315285","0.617220082583829"
"Ja","1999","17-34","weiblich","1579","0.716461471877058","0.697737931492117","0.735185012261999"
"Ja","1999","35-65","maennlich","2005","0.584083863972693","0.567646680094367","0.600521047851018"
"Ja","1999","35-65","weiblich","2422","0.706036362045564","0.690962770326897","0.721109953764232"
"Ja","1999","66 +","maennlich","710","0.971009840769717","0.958872119026152","0.983147562513281"
"Ja","1999","66 +","weiblich","1009","0.979999543822776","0.971441304614749","0.988557783030803"
"keinen Tag","2000","17-34","maennlich","1216","0.374819749850843","0.358195078448518","0.391444421253169"
"keinen Tag","2000","17-34","weiblich","974","0.281208992362409","0.266344053334251","0.296073931390568"
"keinen Tag","2000","35-65","maennlich","2604","0.413047366300158","0.400936849265795","0.425157883334521"
"keinen Tag","2000","35-65","weiblich","2034","0.30666998264967","0.295517534346413","0.317822430952928"
"keinen Tag","2000","66 +","maennlich","61","0.0433471042230983","0.033123292391268","0.0535709160549285"
"keinen Tag","2000","66 +","weiblich","25","","",""
"Ja","2000","17-34","maennlich","2041","0.625180250149157","0.608555578746831","0.641804921551482"
"Ja","2000","17-34","weiblich","2540","0.718791007637591","0.703926068609432","0.733655946665749"
"Ja","2000","35-65","maennlich","3746","0.586952633699842","0.574842116665479","0.599063150734205"
"Ja","2000","35-65","weiblich","4533","0.69333001735033","0.682177569047072","0.704482465653587"
"Ja","2000","66 +","maennlich","1463","0.956652895776902","0.946429083945072","0.966876707608732"
"Ja","2000","66 +","weiblich","2032","0.986931642111539","0.982023863184698","0.99183942103838"
"keinen Tag","2001","17-34","maennlich","1095","0.385983270056842","0.368280168309886","0.403686371803797"
"keinen Tag","2001","17-34","weiblich","856","0.285688026110257","0.269793514514112","0.301582537706402"
"keinen Tag","2001","35-65","maennlich","2390","0.41277575133688","0.400145490397565","0.425406012276194"
"keinen Tag","2001","35-65","weiblich","1932","0.315525305925841","0.303795651120295","0.327254960731387"
"keinen Tag","2001","66 +","maennlich","61","0.0472176247035532","0.0363527060742772","0.0580825433328293"
"keinen Tag","2001","66 +","weiblich","26","","",""
"Ja","2001","17-34","maennlich","1810","0.614016729943158","0.596313628196202","0.631719831690114"
"Ja","2001","17-34","weiblich","2247","0.714311973889743","0.698417462293599","0.730206485485888"
"Ja","2001","35-65","maennlich","3447","0.58722424866312","0.574593987723806","0.599854509602435"
"Ja","2001","35-65","weiblich","4098","0.684474694074159","0.672745039268613","0.696204348879705"
"Ja","2001","66 +","maennlich","1403","0.952782375296447","0.941917456667171","0.963647293925723"
"Ja","2001","66 +","weiblich","1891","0.984558109000295","0.979038504595043","0.990077713405547"
"keinen Tag","2002","17-34","maennlich","1048","0.368689947533795","0.350930740914604","0.386449154152986"
"keinen Tag","2002","17-34","weiblich","830","0.276187941375044","0.260338438856878","0.29203744389321"
"keinen Tag","2002","35-65","maennlich","2767","0.418696381480423","0.406522783815702","0.430869979145144"
"keinen Tag","2002","35-65","weiblich","2142","0.31564782787551","0.304346411256203","0.326949244494817"
"keinen Tag","2002","66 +","maennlich","93","0.0423473001032884","0.0324736760842552","0.0522209241223216"
"keinen Tag","2002","66 +","weiblich","32","0.0165784068463999","0.0109357040330537","0.022221109659746"
"Ja","2002","17-34","maennlich","1787","0.631310052466205","0.613550845847014","0.649069259085396"
"Ja","2002","17-34","weiblich","2227","0.723812058624956","0.70796255610679","0.739661561143122"
"Ja","2002","35-65","maennlich","3542","0.581303618519577","0.569130020854856","0.593477216184298"
"Ja","2002","35-65","weiblich","4355","0.68435217212449","0.673050755505183","0.695653588743797"
"Ja","2002","66 +","maennlich","1505","0.957652699896712","0.947779075877678","0.967526323915745"
"Ja","2002","66 +","weiblich","1935","0.9834215931536","0.977778890340254","0.989064295966946"
"keinen Tag","2003","17-34","maennlich","967","0.363797238196011","0.345670833631937","0.381923642760085"
"keinen Tag","2003","17-34","weiblich","786","0.263654001681655","0.247675337784252","0.279632665579058"
"keinen Tag","2003","35-65","maennlich","2630","0.425621034666633","0.413118618990716","0.438123450342551"
"keinen Tag","2003","35-65","weiblich","2030","0.310670952493066","0.299184300162943","0.32215760482319"
"keinen Tag","2003","66 +","maennlich","78","0.0399462166265128","0.0304538430735974","0.0494385901794282"
"keinen Tag","2003","66 +","weiblich","32","0.0162954943497078","0.010724363519054","0.0218666251803615"
"Ja","2003","17-34","maennlich","1739","0.636202761803989","0.618076357239915","0.654329166368063"
"Ja","2003","17-34","weiblich","2135","0.736345998318345","0.720367334420942","0.752324662215748"
"Ja","2003","35-65","maennlich","3378","0.574378965333367","0.561876549657449","0.586881381009284"
"Ja","2003","35-65","weiblich","4205","0.689329047506934","0.67784239517681","0.700815699837057"
"Ja","2003","66 +","maennlich","1557","0.960053783373487","0.950561409820572","0.969546156926403"
"Ja","2003","66 +","weiblich","1952","0.983704505650292","0.978133374819638","0.989275636480946"
"keinen Tag","2004","17-34","maennlich","930","0.364554116129086","0.346110354116096","0.382997878142077"
"keinen Tag","2004","17-34","weiblich","771","0.283405185292065","0.266742858122653","0.300067512461477"
"keinen Tag","2004","35-65","maennlich","2503","0.406720932218008","0.394050615347057","0.41939124908896"
"keinen Tag","2004","35-65","weiblich","2074","0.326062782925771","0.314271031646074","0.337854534205469"
"keinen Tag","2004","66 +","maennlich","101","0.0484104019731547","0.0382076385217997","0.0586131654245098"
"keinen Tag","2004","66 +","weiblich","39","0.0191129976884643","0.0131625929035728","0.0250634024733558"
"Ja","2004","17-34","maennlich","1686","0.635445883870914","0.617002121857923","0.653889645883904"
"Ja","2004","17-34","weiblich","2039","0.716594814707935","0.699932487538523","0.733257141877347"
"Ja","2004","35-65","maennlich","3271","0.593279067781991","0.58060875091104","0.605949384652943"
"Ja","2004","35-65","weiblich","3997","0.673937217074229","0.662145465794531","0.685728968353926"
"Ja","2004","66 +","maennlich","1599","0.951589598026845","0.94138683457549","0.9617923614782"
"Ja","2004","66 +","weiblich","1995","0.980887002311536","0.974936597526644","0.986837407096427"
"keinen Tag","2005","17-34","maennlich","844","0.365902591153369","0.346914356520426","0.384890825786313"
"keinen Tag","2005","17-34","weiblich","734","0.271927636734901","0.255072283723315","0.288782989746486"
"keinen Tag","2005","35-65","maennlich","2373","0.410400039116225","0.39736307262994","0.42343700560251"
"keinen Tag","2005","35-65","weiblich","2027","0.336120555919857","0.323980294475675","0.348260817364038"
"keinen Tag","2005","66 +","maennlich","87","0.0422234258991271","0.0327280034414269","0.0517188483568273"
"keinen Tag","2005","66 +","weiblich","37","0.0194785355801023","0.013457800182691","0.0254992709775136"
"Ja","2005","17-34","maennlich","1628","0.634097408846631","0.615109174213687","0.653085643479574"
"Ja","2005","17-34","weiblich","1943","0.728072363265099","0.711217010253514","0.744927716276685"
"Ja","2005","35-65","maennlich","3096","0.589599960883775","0.57656299439749","0.60263692737006"
"Ja","2005","35-65","weiblich","3789","0.663879444080143","0.651739182635962","0.676019705524325"
"Ja","2005","66 +","maennlich","1636","0.957776574100873","0.948281151643173","0.967271996558573"
"Ja","2005","66 +","weiblich","1987","0.980521464419898","0.974500729022486","0.986542199817309"
"keinen Tag","2006","17-34","maennlich","817","0.368046318167515","0.348493354296474","0.387599282038555"
"keinen Tag","2006","17-34","weiblich","732","0.287315976189511","0.269912319178917","0.304719633200106"
"keinen Tag","2006","35-65","maennlich","2519","0.417196671025486","0.404526202872585","0.429867139178388"
"keinen Tag","2006","35-65","weiblich","2257","0.344743942120669","0.332978647685722","0.356509236555616"
"keinen Tag","2006","66 +","maennlich","126","0.0484880373134931","0.0392304620231648","0.0577456126038214"
"keinen Tag","2006","66 +","weiblich","52","0.0211313445559378","0.0153015719604036","0.026961117151472"
"Ja","2006","17-34","maennlich","1520","0.631953681832485","0.612400717961445","0.651506645703525"
"Ja","2006","17-34","weiblich","1865","0.712684023810488","0.695280366799894","0.730087680821083"
"Ja","2006","35-65","maennlich","3299","0.582803328974513","0.570132860821612","0.595473797127415"
"Ja","2006","35-65","weiblich","4012","0.655256057879331","0.643490763444384","0.667021352314278"
"Ja","2006","66 +","maennlich","1942","0.951511962686507","0.942254387396179","0.960769537976835"
"Ja","2006","66 +","weiblich","2286","0.978868655444062","0.973038882848528","0.984698428039596"
"keinen Tag","2007","17-34","maennlich","777","0.388170774224192","0.367580909957321","0.408760638491063"
"keinen Tag","2007","17-34","weiblich","646","0.279428765976808","0.261374774269881","0.297482757683734"
"keinen Tag","2007","35-65","maennlich","2321","0.419854491154485","0.406622270476545","0.433086711832424"
"keinen Tag","2007","35-65","weiblich","2063","0.332980056824098","0.320818859294559","0.345141254353638"
"keinen Tag","2007","66 +","maennlich","104","0.049103456070673","0.03968498994727","0.0585219221940761"
"keinen Tag","2007","66 +","weiblich","60","0.0269758604765992","0.0203417147488902","0.0336100062043081"
"Ja","2007","17-34","maennlich","1375","0.611829225775808","0.591239361508937","0.632419090042679"
"Ja","2007","17-34","weiblich","1727","0.720571234023192","0.702517242316266","0.738625225730119"
"Ja","2007","35-65","maennlich","3023","0.580145508845515","0.566913288167575","0.593377729523455"
"Ja","2007","35-65","weiblich","3706","0.667019943175902","0.654858745646362","0.679181140705441"
"Ja","2007","66 +","maennlich","1918","0.950896543929327","0.941478077805924","0.96031501005273"
"Ja","2007","66 +","weiblich","2231","0.973024139523401","0.966389993795692","0.97965828525111"
"keinen Tag","2008","17-34","maennlich","724","0.371237069826243","0.35012109243267","0.392353047219815"
"keinen Tag","2008","17-34","weiblich","575","0.258395045614792","0.240230409245334","0.276559681984251"
"keinen Tag","2008","35-65","maennlich","2065","0.408532537322098","0.394870432397861","0.422194642246336"
"keinen Tag","2008","35-65","weiblich","1918","0.335796995626623","0.323234469119388","0.348359522133859"
"keinen Tag","2008","66 +","maennlich","111","0.0489729113747339","0.0395756182085541","0.0583702045409137"
"keinen Tag","2008","66 +","weiblich","66","0.0291557236393166","0.0222147721155748","0.0360966751630585"
"Ja","2008","17-34","maennlich","1287","0.628762930173757","0.607646952780185","0.64987890756733"
"Ja","2008","17-34","weiblich","1656","0.741604954385208","0.723440318015749","0.759769590754667"
"Ja","2008","35-65","maennlich","2908","0.591467462677902","0.577805357753664","0.605129567602139"
"Ja","2008","35-65","weiblich","3511","0.664203004373377","0.651640477866141","0.676765530880613"
"Ja","2008","66 +","maennlich","1915","0.951027088625266","0.941629795459086","0.960424381791446"
"Ja","2008","66 +","weiblich","2191","0.970844276360683","0.963903324836942","0.977785227884425"
"keinen Tag","2009","17-34","maennlich","609","0.324660026038573","0.30336305809944","0.345956993977705"
"keinen Tag","2009","17-34","weiblich","556","0.280752637789641","0.261156365385485","0.300348910193797"
"keinen Tag","2009","35-65","maennlich","1880","0.400034776357473","0.385862041550127","0.414207511164818"
"keinen Tag","2009","35-65","weiblich","1695","0.32947916279863","0.316480860946321","0.34247746465094"
"keinen Tag","2009","66 +","maennlich","117","0.0542217569137538","0.0442167591388865","0.0642267546886211"
"keinen Tag","2009","66 +","weiblich","63","0.0283842871768259","0.0214002837885588","0.035368290565093"
"Ja","2009","17-34","maennlich","1248","0.675339973961427","0.654043006022295","0.69663694190056"
"Ja","2009","17-34","weiblich","1464","0.719247362210359","0.699651089806203","0.738843634614515"
"Ja","2009","35-65","maennlich","2710","0.599965223642527","0.585792488835182","0.614137958449873"
"Ja","2009","35-65","weiblich","3328","0.67052083720137","0.65752253534906","0.683519139053679"
"Ja","2009","66 +","maennlich","1851","0.945778243086246","0.935773245311379","0.955783240861114"
"Ja","2009","66 +","weiblich","2109","0.971615712823174","0.964631709434907","0.978599716211441"
"keinen Tag","2010","17-34","maennlich","912","0.3413061910806","0.323454583995356","0.359157798165843"
"keinen Tag","2010","17-34","weiblich","919","0.254212385468881","0.240294921524315","0.268129849413447"
"keinen Tag","2010","35-65","maennlich","2502","0.402754536171869","0.390473901810078","0.415035170533661"
"keinen Tag","2010","35-65","weiblich","2409","0.34042192052392","0.329375769774703","0.351468071273138"
"keinen Tag","2010","66 +","maennlich","120","0.0529235871281356","0.0428884966228688","0.0629586776334025"
"keinen Tag","2010","66 +","weiblich","64","0.0264848139041258","0.0196204300154357","0.0333491977928159"
"Ja","2010","17-34","maennlich","1798","0.6586938089194","0.640842201834156","0.676545416004644"
"Ja","2010","17-34","weiblich","2841","0.745787614531119","0.731870150586553","0.759705078475685"
"Ja","2010","35-65","maennlich","3625","0.597245463828131","0.584964829466339","0.609526098189922"
"Ja","2010","35-65","weiblich","4660","0.65957807947608","0.648531928726862","0.670624230225297"
"Ja","2010","66 +","maennlich","1792","0.947076412871864","0.937041322366598","0.957111503377131"
"Ja","2010","66 +","weiblich","2038","0.973515186095874","0.966650802207184","0.980379569984564"
"keinen Tag","2011","17-34","maennlich","541","0.262737445503137","0.243172797638969","0.282302093367305"
"keinen Tag","2011","17-34","weiblich","621","0.214954966437717","0.200024550143102","0.229885382732332"
"keinen Tag","2011","35-65","maennlich","1753","0.354894107896843","0.341298433002986","0.368489782790701"
"keinen Tag","2011","35-65","weiblich","1880","0.276061195931761","0.265065699576826","0.287056692286697"
"keinen Tag","2011","66 +","maennlich","60","0.0231177915410244","0.0170599399909478","0.029175643091101"
"keinen Tag","2011","66 +","weiblich","41","0.0151582473032846","0.0104806557042673","0.0198358389023018"
"Ja","2011","17-34","maennlich","1403","0.737262554496863","0.717697906632694","0.756827202361031"
"Ja","2011","17-34","weiblich","2287","0.785045033562283","0.770114617267668","0.799975449856898"
"Ja","2011","35-65","maennlich","3005","0.645105892103157","0.631510217209299","0.658701566997014"
"Ja","2011","35-65","weiblich","4470","0.723938804068239","0.712943307713303","0.734934300423174"
"Ja","2011","66 +","maennlich","2304","0.976882208458976","0.970824356908899","0.982940060009052"
