"ple0044_h","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2001","Hauptschule","Westdeutschland","5617","0.754329197157678","0.744620200940681","0.764038193374675"
"Ja","2001","Hauptschule","Ostdeutschland","1316","","",""
"Ja","2001","Realschule","Westdeutschland","2362","","",""
"Ja","2001","Realschule","Ostdeutschland","1246","","",""
"Ja","2001","(Fach-)Abitur","Westdeutschland","1217","","",""
"Ja","2001","(Fach-)Abitur","Ostdeutschland","226","","",""
"Ja","2001","AkademikerIn","Westdeutschland","1387","","",""
"Ja","2001","AkademikerIn","Ostdeutschland","726","0.641802523735455","0.614651784849211","0.668953262621699"
"keinen Tag","2002","(noch) kein Abschluss","Westdeutschland","106","","",""
"keinen Tag","2002","(noch) kein Abschluss","Ostdeutschland","11","","",""
"keinen Tag","2002","Hauptschule","Westdeutschland","1829","","",""
"keinen Tag","2002","Hauptschule","Ostdeutschland","219","","",""
"keinen Tag","2002","Realschule","Westdeutschland","1336","","",""
"keinen Tag","2002","Realschule","Ostdeutschland","766","0.398204515812634","0.376387396393688","0.420021635231579"
"keinen Tag","2002","(Fach-)Abitur","Westdeutschland","636","0.286408020051206","0.2667225432542","0.306093496848211"
"keinen Tag","2002","(Fach-)Abitur","Ostdeutschland","126","","",""
"keinen Tag","2002","AkademikerIn","Westdeutschland","1326","","",""
"keinen Tag","2002","AkademikerIn","Ostdeutschland","494","0.323257531425447","0.29762456548585","0.348890497365044"
"Ja","2002","(noch) kein Abschluss","Westdeutschland","614","0.85973903646973","0.834374111910836","0.885103961028625"
"Ja","2002","(noch) kein Abschluss","Ostdeutschland","160","","",""
"Ja","2002","Hauptschule","Westdeutschland","5347","0.760293365200337","0.750416082050423","0.770170648350251"
"Ja","2002","Hauptschule","Ostdeutschland","1243","","",""
"Ja","2002","Realschule","Westdeutschland","2501","","",""
"Ja","2002","Realschule","Ostdeutschland","1168","","",""
"Ja","2002","(Fach-)Abitur","Westdeutschland","1390","","",""
"Ja","2002","(Fach-)Abitur","Ostdeutschland","214","","",""
"Ja","2002","AkademikerIn","Westdeutschland","1810","","",""
"Ja","2002","AkademikerIn","Ostdeutschland","785","0.676742468574553","0.651109502634956","0.70237543451415"
"keinen Tag","2003","(noch) kein Abschluss","Westdeutschland","83","0.121875071267095","0.0975184485927265","0.146231693941463"
"keinen Tag","2003","(noch) kein Abschluss","Ostdeutschland","11","","",""
"keinen Tag","2003","Hauptschule","Westdeutschland","1720","","",""
"keinen Tag","2003","Hauptschule","Ostdeutschland","187","","",""
"keinen Tag","2003","Realschule","Westdeutschland","1263","","",""
"keinen Tag","2003","Realschule","Ostdeutschland","771","0.404356202113568","0.382472545249261","0.426239858977875"
"keinen Tag","2003","(Fach-)Abitur","Westdeutschland","646","0.310848310858627","0.290404733153999","0.331291888563255"
"keinen Tag","2003","(Fach-)Abitur","Ostdeutschland","115","","",""
"keinen Tag","2003","AkademikerIn","Westdeutschland","1175","","",""
"keinen Tag","2003","AkademikerIn","Ostdeutschland","474","0.323521014248541","0.297534871602368","0.349507156894714"
"Ja","2003","(noch) kein Abschluss","Westdeutschland","610","0.878124928732905","0.853768306058537","0.902481551407273"
"Ja","2003","(noch) kein Abschluss","Ostdeutschland","172","","",""
"Ja","2003","Hauptschule","Westdeutschland","5108","0.765085833259214","0.755030163107838","0.77514150341059"
"Ja","2003","Hauptschule","Ostdeutschland","1230","","",""
"Ja","2003","Realschule","Westdeutschland","2378","","",""
"Ja","2003","Realschule","Ostdeutschland","1161","","",""
"Ja","2003","(Fach-)Abitur","Westdeutschland","1323","","",""
"Ja","2003","(Fach-)Abitur","Ostdeutschland","245","","",""
"Ja","2003","AkademikerIn","Westdeutschland","1798","","",""
"Ja","2003","AkademikerIn","Ostdeutschland","771","0.676478985751459","0.650492843105286","0.702465128397632"
"keinen Tag","2004","(noch) kein Abschluss","Westdeutschland","85","0.129583309055543","0.104897269029648","0.154269349081438"
"keinen Tag","2004","(noch) kein Abschluss","Ostdeutschland","12","","",""
"keinen Tag","2004","Hauptschule","Westdeutschland","1689","","",""
"keinen Tag","2004","Hauptschule","Ostdeutschland","175","","",""
"keinen Tag","2004","Realschule","Westdeutschland","1197","","",""
"keinen Tag","2004","Realschule","Ostdeutschland","746","0.403602577733362","0.381276060662929","0.425929094803795"
"keinen Tag","2004","(Fach-)Abitur","Westdeutschland","650","0.320679918225738","0.299979930970271","0.341379905481205"
"keinen Tag","2004","(Fach-)Abitur","Ostdeutschland","114","","",""
"keinen Tag","2004","AkademikerIn","Westdeutschland","1191","","",""
"keinen Tag","2004","AkademikerIn","Ostdeutschland","468","0.31898837042378","0.293046461062136","0.344930279785424"
"Ja","2004","(noch) kein Abschluss","Westdeutschland","626","0.870416690944457","0.845730650918562","0.895102730970352"
"Ja","2004","(noch) kein Abschluss","Ostdeutschland","173","","",""
"Ja","2004","Hauptschule","Westdeutschland","4830","0.761685119735964","0.75134272959755","0.772027509874378"
"Ja","2004","Hauptschule","Ostdeutschland","1157","","",""
"Ja","2004","Realschule","Westdeutschland","2397","","",""
"Ja","2004","Realschule","Ostdeutschland","1109","","",""
"Ja","2004","(Fach-)Abitur","Westdeutschland","1303","","",""
"Ja","2004","(Fach-)Abitur","Ostdeutschland","261","","",""
"Ja","2004","AkademikerIn","Westdeutschland","1750","","",""
"Ja","2004","AkademikerIn","Ostdeutschland","772","0.68101162957622","0.655069720214576","0.706953538937864"
"keinen Tag","2005","(noch) kein Abschluss","Westdeutschland","82","0.138699387897495","0.113592259039475","0.163806516755516"
"keinen Tag","2005","(noch) kein Abschluss","Ostdeutschland","8","0.0723593047003041","0.0327074728418664","0.112011136558742"
"keinen Tag","2005","Hauptschule","Westdeutschland","1554","","",""
"keinen Tag","2005","Hauptschule","Ostdeutschland","147","","",""
"keinen Tag","2005","Realschule","Westdeutschland","1173","","",""
"keinen Tag","2005","Realschule","Ostdeutschland","721","0.404285958371847","0.381462058276473","0.427109858467222"
"keinen Tag","2005","(Fach-)Abitur","Westdeutschland","596","0.321879911771182","0.300664967009893","0.343094856532471"
"keinen Tag","2005","(Fach-)Abitur","Ostdeutschland","129","","",""
"keinen Tag","2005","AkademikerIn","Westdeutschland","1143","","",""
"keinen Tag","2005","AkademikerIn","Ostdeutschland","447","0.319234578044281","0.293032543742417","0.345436612346145"
"Ja","2005","(noch) kein Abschluss","Westdeutschland","646","0.861300612102505","0.836193483244484","0.886407740960525"
"Ja","2005","(noch) kein Abschluss","Ostdeutschland","156","","",""
"Ja","2005","Hauptschule","Westdeutschland","4582","0.759721779910593","0.749031479559858","0.770412080261328"
"Ja","2005","Hauptschule","Ostdeutschland","1116","","",""
"Ja","2005","Realschule","Westdeutschland","2275","","",""
"Ja","2005","Realschule","Ostdeutschland","1055","","",""
"Ja","2005","(Fach-)Abitur","Westdeutschland","1267","","",""
"Ja","2005","(Fach-)Abitur","Ostdeutschland","256","","",""
"Ja","2005","AkademikerIn","Westdeutschland","1705","","",""
"Ja","2005","AkademikerIn","Ostdeutschland","769","0.680765421955719","0.654563387653854","0.706967456257584"
"keinen Tag","2006","(noch) kein Abschluss","Westdeutschland","61","0.125900964825961","0.0981260547623397","0.153675874889582"
"keinen Tag","2006","(noch) kein Abschluss","Ostdeutschland","8","0.103023417358815","0.0425282402901723","0.163518594427458"
"keinen Tag","2006","Hauptschule","Westdeutschland","1653","","",""
"keinen Tag","2006","Hauptschule","Ostdeutschland","169","","",""
"keinen Tag","2006","Realschule","Westdeutschland","1241","","",""
"keinen Tag","2006","Realschule","Ostdeutschland","769","0.408977334183244","0.386723792310821","0.431230876055668"
"keinen Tag","2006","(Fach-)Abitur","Westdeutschland","654","0.332146628749612","0.311500093611844","0.352793163887379"
"keinen Tag","2006","(Fach-)Abitur","Ostdeutschland","131","","",""
"keinen Tag","2006","AkademikerIn","Westdeutschland","1227","","",""
"keinen Tag","2006","AkademikerIn","Ostdeutschland","477","0.351107869741384","0.325050644455507","0.377165095027262"
"Ja","2006","(noch) kein Abschluss","Westdeutschland","487","0.874099035174039","0.846324125110418","0.90187394523766"
"Ja","2006","(noch) kein Abschluss","Ostdeutschland","89","0.896976582641185","0.836481405572542","0.957471759709828"
"Ja","2006","Hauptschule","Westdeutschland","4918","0.757490958839357","0.747127969497792","0.767853948180922"
"Ja","2006","Hauptschule","Ostdeutschland","1191","","",""
"Ja","2006","Realschule","Westdeutschland","2469","","",""
"Ja","2006","Realschule","Ostdeutschland","1106","","",""
"Ja","2006","(Fach-)Abitur","Westdeutschland","1345","","",""
"Ja","2006","(Fach-)Abitur","Ostdeutschland","268","","",""
"Ja","2006","AkademikerIn","Westdeutschland","1941","","",""
"Ja","2006","AkademikerIn","Ostdeutschland","812","0.648892130258616","0.622834904972738","0.674949355544493"
"keinen Tag","2007","(noch) kein Abschluss","Westdeutschland","55","0.14668013059691","0.11395612233695","0.17940413885687"
"keinen Tag","2007","(noch) kein Abschluss","Ostdeutschland","8","0.0938922378478342","0.0370079697435701","0.150776505952098"
"keinen Tag","2007","Hauptschule","Westdeutschland","1462","","",""
"keinen Tag","2007","Hauptschule","Ostdeutschland","138","","",""
"keinen Tag","2007","Realschule","Westdeutschland","1142","","",""
"keinen Tag","2007","Realschule","Ostdeutschland","735","0.410689936486535","0.387712722315835","0.433667150657235"
"keinen Tag","2007","(Fach-)Abitur","Westdeutschland","615","0.329093831144019","0.307987857944394","0.350199804343644"
"keinen Tag","2007","(Fach-)Abitur","Ostdeutschland","126","","",""
"keinen Tag","2007","AkademikerIn","Westdeutschland","1138","","",""
"keinen Tag","2007","AkademikerIn","Ostdeutschland","438","0.312182359965478","0.286524915943046","0.337839803987911"
"Ja","2007","(noch) kein Abschluss","Westdeutschland","394","0.85331986940309","0.82059586114313","0.88604387766305"
"Ja","2007","(noch) kein Abschluss","Ostdeutschland","93","0.906107762152166","0.849223494047902","0.96299203025643"
"Ja","2007","Hauptschule","Westdeutschland","4470","0.76196373390904","0.751126056118058","0.772801411700022"
"Ja","2007","Hauptschule","Ostdeutschland","1116","","",""
"Ja","2007","Realschule","Westdeutschland","2327","","",""
"Ja","2007","Realschule","Ostdeutschland","1026","","",""
"Ja","2007","(Fach-)Abitur","Westdeutschland","1289","","",""
"Ja","2007","(Fach-)Abitur","Ostdeutschland","248","","",""
"Ja","2007","AkademikerIn","Westdeutschland","1879","","",""
"Ja","2007","AkademikerIn","Ostdeutschland","815","0.687817640034522","0.662160196012089","0.713475084056954"
"keinen Tag","2008","(noch) kein Abschluss","Westdeutschland","49","0.145744451580599","0.11269981689178","0.178789086269418"
"keinen Tag","2008","(noch) kein Abschluss","Ostdeutschland","5","0.0414972754164253","0.00221135240875197","0.0807831984240986"
"keinen Tag","2008","Hauptschule","Westdeutschland","1326","","",""
"keinen Tag","2008","Hauptschule","Ostdeutschland","129","","",""
"keinen Tag","2008","Realschule","Westdeutschland","1021","","",""
"keinen Tag","2008","Realschule","Ostdeutschland","684","0.398706980721046","0.375342262356809","0.422071699085283"
"keinen Tag","2008","(Fach-)Abitur","Westdeutschland","591","0.322347075210311","0.300579786578636","0.344114363841986"
"keinen Tag","2008","(Fach-)Abitur","Ostdeutschland","110","","",""
"keinen Tag","2008","AkademikerIn","Westdeutschland","1019","","",""
"keinen Tag","2008","AkademikerIn","Ostdeutschland","404","0.317890649858907","0.291685685760488","0.344095613957325"
"Ja","2008","(noch) kein Abschluss","Westdeutschland","389","0.854255548419401","0.821210913730582","0.88730018310822"
"Ja","2008","(noch) kein Abschluss","Ostdeutschland","94","0.958502724583575","0.919216801575901","0.997788647591248"
"Ja","2008","Hauptschule","Westdeutschland","4192","0.760700909566113","0.749443596742027","0.771958222390198"
"Ja","2008","Hauptschule","Ostdeutschland","1048","","",""
"Ja","2008","Realschule","Westdeutschland","2285","","",""
"Ja","2008","Realschule","Ostdeutschland","1003","","",""
"Ja","2008","(Fach-)Abitur","Westdeutschland","1180","","",""
"Ja","2008","(Fach-)Abitur","Ostdeutschland","243","","",""
"Ja","2008","AkademikerIn","Westdeutschland","1885","","",""
"Ja","2008","AkademikerIn","Ostdeutschland","809","0.682109350141093","0.655904386042675","0.708314314239512"
"keinen Tag","2009","(noch) kein Abschluss","Westdeutschland","54","0.155951716472748","0.120660729906125","0.191242703039371"
"keinen Tag","2009","(noch) kein Abschluss","Ostdeutschland","8","0.146780924002606","0.0650386096176022","0.22852323838761"
"keinen Tag","2009","Hauptschule","Westdeutschland","1190","","",""
"keinen Tag","2009","Hauptschule","Ostdeutschland","119","","",""
"keinen Tag","2009","Realschule","Westdeutschland","954","0.296236855444212","0.280127323052813","0.312346387835612"
"keinen Tag","2009","Realschule","Ostdeutschland","585","0.354025642275527","0.330688057616214","0.377363226934839"
"keinen Tag","2009","(Fach-)Abitur","Westdeutschland","492","0.294855702413153","0.272712964808715","0.31699844001759"
"keinen Tag","2009","(Fach-)Abitur","Ostdeutschland","102","","",""
"keinen Tag","2009","AkademikerIn","Westdeutschland","926","0.335834557489386","0.318227778989105","0.353441335989668"
"keinen Tag","2009","AkademikerIn","Ostdeutschland","366","0.314149263123416","0.287631145839592","0.340667380407239"
"Ja","2009","(noch) kein Abschluss","Westdeutschland","352","0.844048283527252","0.808757296960629","0.879339270093875"
"Ja","2009","(noch) kein Abschluss","Ostdeutschland","64","0.853219075997394","0.77147676161239","0.934961390382398"
"Ja","2009","Hauptschule","Westdeutschland","3802","0.767753476051245","0.756039716373691","0.779467235728799"
"Ja","2009","Hauptschule","Ostdeutschland","981","0.887839818897199","0.869191554895704","0.906488082898695"
"Ja","2009","Realschule","Westdeutschland","2132","","",""
"Ja","2009","Realschule","Ostdeutschland","1028","","",""
"Ja","2009","(Fach-)Abitur","Westdeutschland","1137","","",""
"Ja","2009","(Fach-)Abitur","Ostdeutschland","235","","",""
"Ja","2009","AkademikerIn","Westdeutschland","1838","","",""
"Ja","2009","AkademikerIn","Ostdeutschland","811","0.685850736876584","0.659332619592761","0.712368854160408"
"keinen Tag","2010","(noch) kein Abschluss","Westdeutschland","89","0.118669928667571","0.0944162636942366","0.142923593640906"
"keinen Tag","2010","(noch) kein Abschluss","Ostdeutschland","7","0.0881648334281434","0.0275310996711876","0.148798567185099"
"keinen Tag","2010","Hauptschule","Westdeutschland","1604","","",""
"keinen Tag","2010","Hauptschule","Ostdeutschland","157","","",""
"keinen Tag","2010","Realschule","Westdeutschland","1448","","",""
"keinen Tag","2010","Realschule","Ostdeutschland","834","0.382762168202525","0.362297278567319","0.40322705783773"
"keinen Tag","2010","(Fach-)Abitur","Westdeutschland","783","0.31956303576273","0.301410749681794","0.337715321843665"
"keinen Tag","2010","(Fach-)Abitur","Ostdeutschland","148","","",""
"keinen Tag","2010","AkademikerIn","Westdeutschland","1311","","",""
"keinen Tag","2010","AkademikerIn","Ostdeutschland","443","0.312858204709638","0.288395441875682","0.337320967543594"
"Ja","2010","(noch) kein Abschluss","Westdeutschland","594","0.881330071332429","0.857076406359094","0.905583736305763"
"Ja","2010","(noch) kein Abschluss","Ostdeutschland","77","0.911835166571857","0.851201432814901","0.972468900328812"
"Ja","2010","Hauptschule","Westdeutschland","4621","0.767550985200203","0.757058076723567","0.77804389367684"
"Ja","2010","Hauptschule","Ostdeutschland","1012","","",""
"Ja","2010","Realschule","Westdeutschland","3100","0.70032102075468","0.687006835835331","0.713635205674029"
"Ja","2010","Realschule","Ostdeutschland","1333","","",""
"Ja","2010","(Fach-)Abitur","Westdeutschland","1752","","",""
"Ja","2010","(Fach-)Abitur","Ostdeutschland","346","0.734750586051652","0.69582081912049","0.773680352982815"
"Ja","2010","AkademikerIn","Westdeutschland","2629","","",""
"Ja","2010","AkademikerIn","Ostdeutschland","937","0.687141795290362","0.662679032456406","0.711604558124318"
"keinen Tag","2011","(noch) kein Abschluss","Westdeutschland","88","0.121574967143363","0.0982026078059963","0.144947326480729"
"keinen Tag","2011","(noch) kein Abschluss","Ostdeutschland","12","","",""
"keinen Tag","2011","Hauptschule","Westdeutschland","1175","","",""
"keinen Tag","2011","Hauptschule","Ostdeutschland","100","","",""
"keinen Tag","2011","Realschule","Westdeutschland","1102","","",""
"keinen Tag","2011","Realschule","Ostdeutschland","509","0.311514082962886","0.288707675694327","0.334320490231445"
"keinen Tag","2011","(Fach-)Abitur","Westdeutschland","608","0.234873169877649","0.217445802221871","0.252300537533427"
"keinen Tag","2011","(Fach-)Abitur","Ostdeutschland","84","0.210838655130543","0.169663481737166","0.25201382852392"
"keinen Tag","2011","AkademikerIn","Westdeutschland","876","0.2506170932656","0.235559511192699","0.265674675338502"
"keinen Tag","2011","AkademikerIn","Ostdeutschland","217","","",""
"Ja","2011","(noch) kein Abschluss","Westdeutschland","663","0.878425032856637","0.855052673519271","0.901797392194004"
"Ja","2011","(noch) kein Abschluss","Ostdeutschland","86","0.912926171658115","0.857105288716056","0.968747054600174"
"Ja","2011","Hauptschule","Westdeutschland","4855","0.846598402834294","0.837502556849962","0.855694248818627"
"Ja","2011","Hauptschule","Ostdeutschland","1142","","",""
"Ja","2011","Realschule","Westdeutschland","2820","","",""
"Ja","2011","Realschule","Ostdeutschland","1075","","",""
"Ja","2011","(Fach-)Abitur","Westdeutschland","1665","","",""
"Ja","2011","(Fach-)Abitur","Ostdeutschland","293","","",""
"Ja","2011","AkademikerIn","Westdeutschland","2306","","",""
"Ja","2011","AkademikerIn","Ostdeutschland","720","0.824988213062509","0.800658565547301","0.849317860577717"
"keinen Tag","2012","(noch) kein Abschluss","Westdeutschland","114","","",""
"keinen Tag","2012","(noch) kein Abschluss","Ostdeutschland","8","0.0685195200292034","0.0197303406032873","0.117308699455119"
"keinen Tag","2012","Hauptschule","Westdeutschland","1692","","",""
"keinen Tag","2012","Hauptschule","Ostdeutschland","201","","",""
"keinen Tag","2012","Realschule","Westdeutschland","1571","","",""
"keinen Tag","2012","Realschule","Ostdeutschland","857","0.362937681965717","0.343748059586764","0.38212730434467"
"keinen Tag","2012","(Fach-)Abitur","Westdeutschland","842","0.275203752220328","0.259111725238839","0.291295779201818"
"keinen Tag","2012","(Fach-)Abitur","Ostdeutschland","171","","",""
"keinen Tag","2012","AkademikerIn","Westdeutschland","1419","","",""
"keinen Tag","2012","AkademikerIn","Ostdeutschland","467","0.299610108074811","0.276573561747914","0.322646654401707"
"Ja","2012","(noch) kein Abschluss","Westdeutschland","670","0.856352893640643","0.83180213677096","0.880903650510325"
"Ja","2012","(noch) kein Abschluss","Ostdeutschland","95","0.931480479970797","0.882691300544881","0.980269659396713"
"Ja","2012","Hauptschule","Westdeutschland","5497","0.777300810124086","0.767683187594486","0.786918432653686"
"Ja","2012","Hauptschule","Ostdeutschland","1175","","",""
"Ja","2012","Realschule","Westdeutschland","3668","0.714985816504788","0.702762027595905","0.72720960541367"
"Ja","2012","Realschule","Ostdeutschland","1555","","",""
"Ja","2012","(Fach-)Abitur","Westdeutschland","2117","","",""
"Ja","2012","(Fach-)Abitur","Ostdeutschland","389","0.675823137916458","0.637056189817623","0.714590086015293"
"Ja","2012","AkademikerIn","Westdeutschland","3125","0.705435706405834","0.692181684027721","0.718689728783946"
"Ja","2012","AkademikerIn","Ostdeutschland","1052","","",""
"keinen Tag","2013","(noch) kein Abschluss","Westdeutschland","184","","",""
"keinen Tag","2013","(noch) kein Abschluss","Ostdeutschland","21","","",""
"keinen Tag","2013","Hauptschule","Westdeutschland","1903","","",""
"keinen Tag","2013","Hauptschule","Ostdeutschland","203","","",""
"keinen Tag","2013","Realschule","Westdeutschland","1531","","",""
"keinen Tag","2013","Realschule","Ostdeutschland","784","0.342751985412984","0.323467656491381","0.362036314334587"
"keinen Tag","2013","(Fach-)Abitur","Westdeutschland","1194","","",""
"keinen Tag","2013","(Fach-)Abitur","Ostdeutschland","177","","",""
"keinen Tag","2013","AkademikerIn","Westdeutschland","1604","","",""
"keinen Tag","2013","AkademikerIn","Ostdeutschland","459","0.292222143082839","0.269486030886199","0.314958255279478"
"Ja","2013","(noch) kein Abschluss","Westdeutschland","973","0.861358374749131","0.841446132267595","0.881270617230667"
"Ja","2013","(noch) kein Abschluss","Ostdeutschland","118","","",""
"Ja","2013","Hauptschule","Westdeutschland","6061","0.793228580543019","0.784333970822587","0.802123190263451"
"Ja","2013","Hauptschule","Ostdeutschland","1157","","",""
"Ja","2013","Realschule","Westdeutschland","3844","0.738012010121946","0.72625677655016","0.749767243693732"
"Ja","2013","Realschule","Ostdeutschland","1543","","",""
"Ja","2013","(Fach-)Abitur","Westdeutschland","2654","","",""
"Ja","2013","(Fach-)Abitur","Ostdeutschland","387","0.691341193547513","0.653217576990538","0.729464810104488"
"Ja","2013","AkademikerIn","Westdeutschland","3646","0.721866259433942","0.709745672548219","0.733986846319666"
"Ja","2013","AkademikerIn","Ostdeutschland","1078","","",""
"keinen Tag","2014","(noch) kein Abschluss","Westdeutschland","278","","",""
"keinen Tag","2014","(noch) kein Abschluss","Ostdeutschland","23","","",""
"keinen Tag","2014","Hauptschule","Westdeutschland","1897","","",""
"keinen Tag","2014","Hauptschule","Ostdeutschland","210","","",""
"keinen Tag","2014","Realschule","Westdeutschland","1462","","",""
"keinen Tag","2014","Realschule","Ostdeutschland","666","0.344643291346283","0.324219319042346","0.36506726365022"
"keinen Tag","2014","(Fach-)Abitur","Westdeutschland","1223","","",""
"keinen Tag","2014","(Fach-)Abitur","Ostdeutschland","180","","",""
"keinen Tag","2014","AkademikerIn","Westdeutschland","1526","","",""
"keinen Tag","2014","AkademikerIn","Ostdeutschland","409","0.267082526823547","0.244046188832712","0.290118864814382"
"Ja","2014","(noch) kein Abschluss","Westdeutschland","590","0.737140270502947","0.707856612540523","0.766423928465371"
"Ja","2014","(noch) kein Abschluss","Ostdeutschland","87","0.808847028331786","0.735365958186878","0.882328098476693"
"Ja","2014","Hauptschule","Westdeutschland","4962","0.769477331934676","0.759510149130763","0.779444514738589"
"Ja","2014","Hauptschule","Ostdeutschland","1028","","",""
"Ja","2014","Realschule","Westdeutschland","3253","0.721974708859845","0.709186480386812","0.734762937332878"
"Ja","2014","Realschule","Ostdeutschland","1414","","",""
"Ja","2014","(Fach-)Abitur","Westdeutschland","2151","","",""
"Ja","2014","(Fach-)Abitur","Ostdeutschland","339","0.658767944940319","0.61797777147141","0.699558118409229"
"Ja","2014","AkademikerIn","Westdeutschland","3201","0.6876003133851","0.674388007563962","0.700812619206238"
"Ja","2014","AkademikerIn","Ostdeutschland","1008","","",""
"keinen Tag","2015","(noch) kein Abschluss","Westdeutschland","141","","",""
"keinen Tag","2015","(noch) kein Abschluss","Ostdeutschland","17","","",""
"keinen Tag","2015","Hauptschule","Westdeutschland","1508","","",""
"keinen Tag","2015","Hauptschule","Ostdeutschland","185","","",""
"keinen Tag","2015","Realschule","Westdeutschland","1311","","",""
"keinen Tag","2015","Realschule","Ostdeutschland","627","0.331546787267901","0.310768844047785","0.352324730488017"
"keinen Tag","2015","(Fach-)Abitur","Westdeutschland","1097","","",""
"keinen Tag","2015","(Fach-)Abitur","Ostdeutschland","169","","",""
"keinen Tag","2015","AkademikerIn","Westdeutschland","1498","","",""
"keinen Tag","2015","AkademikerIn","Ostdeutschland","399","0.283002512538568","0.259440168134634","0.306564856942501"
"Ja","2015","(noch) kein Abschluss","Westdeutschland","702","0.84617509026106","0.821820672220683","0.870529508301437"
"Ja","2015","(noch) kein Abschluss","Ostdeutschland","98","0.855921445879676","0.791739069102295","0.920103822657057"
"Ja","2015","Hauptschule","Westdeutschland","5026","0.793278652388438","0.783459724436091","0.803097580340786"
"Ja","2015","Hauptschule","Ostdeutschland","1006","","",""
"Ja","2015","Realschule","Westdeutschland","3177","0.723975112071763","0.71089662201877","0.737053602124755"
"Ja","2015","Realschule","Ostdeutschland","1345","","",""
"Ja","2015","(Fach-)Abitur","Westdeutschland","2495","","",""
"Ja","2015","(Fach-)Abitur","Ostdeutschland","345","0.652622527042956","0.611460345139024","0.693784708946888"
"Ja","2015","AkademikerIn","Westdeutschland","3444","0.721980034791636","0.709489031959693","0.734471037623578"
"Ja","2015","AkademikerIn","Ostdeutschland","1005","","",""
"keinen Tag","2016","(noch) kein Abschluss","Westdeutschland","132","","",""
"keinen Tag","2016","(noch) kein Abschluss","Ostdeutschland","12","","",""
"keinen Tag","2016","Hauptschule","Westdeutschland","1337","","",""
"keinen Tag","2016","Hauptschule","Ostdeutschland","164","","",""
"keinen Tag","2016","Realschule","Westdeutschland","1145","","",""
"keinen Tag","2016","Realschule","Ostdeutschland","547","0.308536929956315","0.287489440590001","0.329584419322628"
"keinen Tag","2016","(Fach-)Abitur","Westdeutschland","955","0.281288099652179","0.265648367043958","0.2969278322604"
"keinen Tag","2016","(Fach-)Abitur","Ostdeutschland","139","","",""
"keinen Tag","2016","AkademikerIn","Westdeutschland","1384","","",""
"keinen Tag","2016","AkademikerIn","Ostdeutschland","366","0.293371517531246","0.268818706276175","0.317924328786317"
"Ja","2016","(noch) kein Abschluss","Westdeutschland","595","0.844423966347789","0.818076885226648","0.870771047468931"
"Ja","2016","(noch) kein Abschluss","Ostdeutschland","82","0.879493197331037","0.813681030733408","0.945305363928666"
"Ja","2016","Hauptschule","Westdeutschland","4515","0.784499754390086","0.773965198708118","0.795034310072054"
"Ja","2016","Hauptschule","Ostdeutschland","892","0.842756925253594","0.820800933416765","0.864712917090423"
"Ja","2016","Realschule","Westdeutschland","2937","","",""
"Ja","2016","Realschule","Ostdeutschland","1303","","",""
"Ja","2016","(Fach-)Abitur","Westdeutschland","2220","","",""
"Ja","2016","(Fach-)Abitur","Ostdeutschland","349","0.76212671536417","0.724349964020028","0.799903466708311"
"Ja","2016","AkademikerIn","Westdeutschland","3134","0.704953866074667","0.691655438567223","0.718252293582111"
"Ja","2016","AkademikerIn","Ostdeutschland","955","0.706628482468754","0.682075671213683","0.731181293723825"
"keinen Tag","2017","(noch) kein Abschluss","Westdeutschland","115","","",""
"keinen Tag","2017","(noch) kein Abschluss","Ostdeutschland","14","","",""
"keinen Tag","2017","Hauptschule","Westdeutschland","1370","","",""
"keinen Tag","2017","Hauptschule","Ostdeutschland","167","","",""
"keinen Tag","2017","Realschule","Westdeutschland","1214","","",""
"keinen Tag","2017","Realschule","Ostdeutschland","620","0.28733490704703","0.26821151959295","0.306458294501111"
"keinen Tag","2017","(Fach-)Abitur","Westdeutschland","1003","","",""
"keinen Tag","2017","(Fach-)Abitur","Ostdeutschland","148","","",""
"keinen Tag","2017","AkademikerIn","Westdeutschland","1432","","",""
"keinen Tag","2017","AkademikerIn","Ostdeutschland","365","0.249353021317622","0.226850607520122","0.271855435115122"
"Ja","2017","(noch) kein Abschluss","Westdeutschland","681","0.865590898711625","0.841895597352912","0.889286200070339"
"Ja","2017","(noch) kein Abschluss","Ostdeutschland","111","","",""
"Ja","2017","Hauptschule","Westdeutschland","4635","0.787066810462081","0.776712550501116","0.797421070423046"
"Ja","2017","Hauptschule","Ostdeutschland","915","0.865535748153835","0.845208415921184","0.885863080386486"
"Ja","2017","Realschule","Westdeutschland","3478","0.745689846715846","0.73322950209302","0.758150191338672"
"Ja","2017","Realschule","Ostdeutschland","1531","","",""
"Ja","2017","(Fach-)Abitur","Westdeutschland","2519","","",""
"Ja","2017","(Fach-)Abitur","Ostdeutschland","439","0.777655626034209","0.744017191842254","0.811294060226164"
"Ja","2017","AkademikerIn","Westdeutschland","3597","0.726028698675677","0.713702285997149","0.738355111354204"
"Ja","2017","AkademikerIn","Ostdeutschland","1055","","",""
"keinen Tag","2018","(noch) kein Abschluss","Westdeutschland","110","","",""
"keinen Tag","2018","(noch) kein Abschluss","Ostdeutschland","15","","",""
"keinen Tag","2018","Hauptschule","Westdeutschland","1263","","",""
"keinen Tag","2018","Hauptschule","Ostdeutschland","133","","",""
