year,sampreg,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1993,East,Too Expensive,0.07012,129,1244,0.05592,0.08431
1994,West,Very Inexpensive,0.06943,310,2717,0.05987,0.07899
1994,West,Inexpensive,0.16869,822,2717,0.15461,0.18277
1994,West,Reasonable,0.22499,1101,2717,0.20928,0.24069
1994,West,Slightly Expensive,0.06108,387,2717,0.05207,0.07008
1994,West,Too Expensive,0.01587,97,2717,0.01117,0.02057
1994,East,Very Inexpensive,0.02023,36,1232,0.01236,0.02809
1994,East,Inexpensive,0.09587,165,1232,0.07942,0.11231
1994,East,Reasonable,0.35120,620,1232,0.32453,0.37787
1994,East,Slightly Expensive,0.18508,344,1232,0.16338,0.20677
1994,East,Too Expensive,0.03929,67,1232,0.02843,0.05014
1995,West,Very Inexpensive,0.06201,298,2890,0.05322,0.07081
1995,West,Inexpensive,0.16948,871,2890,0.15580,0.18316
1995,West,Reasonable,0.21700,1175,2890,0.20196,0.23203
1995,West,Slightly Expensive,0.07388,441,2890,0.06434,0.08342
1995,West,Too Expensive,0.01243,105,2890,0.00839,0.01647
1995,East,Very Inexpensive,0.02625,45,1191,0.01716,0.03533
1995,East,Inexpensive,0.10953,202,1191,0.09178,0.12727
1995,East,Reasonable,0.34634,609,1191,0.31931,0.37338
1995,East,Slightly Expensive,0.16408,282,1191,0.14304,0.18512
1995,East,Too Expensive,0.03396,53,1191,0.02367,0.04425
1996,West,Very Inexpensive,0.05666,276,2822,0.04813,0.06520
1996,West,Inexpensive,0.16941,831,2822,0.15556,0.18325
1996,West,Reasonable,0.21240,1142,2822,0.19731,0.22750
1996,West,Slightly Expensive,0.08236,484,2822,0.07221,0.09250
1996,West,Too Expensive,0.01224,89,2822,0.00818,0.01630
1996,East,Very Inexpensive,0.03240,56,1186,0.02232,0.04248
1996,East,Inexpensive,0.11581,204,1186,0.09759,0.13403
1996,East,Reasonable,0.34984,594,1186,0.32268,0.37699
1996,East,Slightly Expensive,0.15467,284,1186,0.13408,0.17526
1996,East,Too Expensive,0.02989,48,1186,0.02019,0.03958
1997,West,Very Inexpensive,0.05557,254,2714,0.04695,0.06419
1997,West,Inexpensive,0.13954,698,2714,0.12650,0.15257
1997,West,Reasonable,0.23011,1198,2714,0.21427,0.24595
1997,West,Slightly Expensive,0.08827,459,2714,0.07759,0.09894
1997,West,Too Expensive,0.01372,105,2714,0.00934,0.01810
1997,East,Very Inexpensive,0.04171,71,1155,0.03018,0.05325
1997,East,Inexpensive,0.12707,215,1155,0.10785,0.14629
1997,East,Reasonable,0.32423,552,1155,0.29722,0.35124
1997,East,Slightly Expensive,0.15323,272,1155,0.13245,0.17402
1997,East,Too Expensive,0.02846,45,1155,0.01886,0.03805
1998,West,Very Inexpensive,0.04743,256,3042,0.03987,0.05498
1998,West,Inexpensive,0.14121,793,3042,0.12884,0.15359
1998,West,Reasonable,0.22691,1313,3042,0.21203,0.24180
1998,West,Slightly Expensive,0.09816,580,3042,0.08758,0.10873
1998,West,Too Expensive,0.01430,100,3042,0.01008,0.01852
1998,East,Very Inexpensive,0.04026,76,1200,0.02913,0.05139
1998,East,Inexpensive,0.14508,264,1200,0.12515,0.16501
1998,East,Reasonable,0.28506,525,1200,0.25950,0.31061
1998,East,Slightly Expensive,0.15633,291,1200,0.13577,0.17688
1998,East,Too Expensive,0.02070,44,1200,0.01264,0.02876
1999,West,Very Inexpensive,0.05266,252,2875,0.04450,0.06083
1999,West,Inexpensive,0.12936,711,2875,0.11709,0.14163
1999,West,Reasonable,0.23209,1277,2875,0.21666,0.24753
1999,West,Slightly Expensive,0.10288,566,2875,0.09177,0.11398
1999,West,Too Expensive,0.01035,69,2875,0.00665,0.01405
1999,East,Very Inexpensive,0.03438,70,1169,0.02393,0.04483
1999,East,Inexpensive,0.15086,273,1169,0.13033,0.17139
1999,East,Reasonable,0.28680,521,1169,0.26086,0.31274
1999,East,Slightly Expensive,0.15297,269,1169,0.13233,0.17362
1999,East,Too Expensive,0.01852,36,1169,0.01079,0.02626
2000,West,Very Inexpensive,0.04463,391,4877,0.03883,0.05042
2000,West,Inexpensive,0.13586,1264,4877,0.12624,0.14547
2000,West,Reasonable,0.23696,2224,4877,0.22503,0.24890
2000,West,Slightly Expensive,0.09173,872,4877,0.08363,0.09983
2000,West,Too Expensive,0.01344,126,4877,0.01021,0.01667
2000,East,Very Inexpensive,0.04305,126,1796,0.03366,0.05243
2000,East,Inexpensive,0.16014,458,1796,0.14317,0.17710
2000,East,Reasonable,0.26482,733,1796,0.24440,0.28523
2000,East,Slightly Expensive,0.14246,412,1796,0.12629,0.15863
2000,East,Too Expensive,0.02204,67,1796,0.01524,0.02883
2001,West,Very Inexpensive,0.04088,340,4386,0.03502,0.04674
2001,West,Inexpensive,0.13142,1107,4386,0.12142,0.14142
2001,West,Reasonable,0.24287,2064,4386,0.23018,0.25556
2001,West,Slightly Expensive,0.09119,766,4386,0.08267,0.09971
2001,West,Too Expensive,0.01170,109,4386,0.00852,0.01488
2001,East,Very Inexpensive,0.04159,108,1627,0.03189,0.05130
2001,East,Inexpensive,0.16288,416,1627,0.14494,0.18083
2001,East,Reasonable,0.27755,722,1627,0.25578,0.29931
2001,East,Slightly Expensive,0.12877,344,1627,0.11249,0.14505
2001,East,Too Expensive,0.01366,37,1627,0.00801,0.01930
2002,West,Very Inexpensive,0.04155,346,4332,0.03560,0.04749
2002,West,Inexpensive,0.12615,1070,4332,0.11626,0.13604
2002,West,Reasonable,0.23501,2013,4332,0.22238,0.24764
2002,West,Slightly Expensive,0.09151,773,4332,0.08293,0.10010
2002,West,Too Expensive,0.01667,130,4332,0.01286,0.02048
2002,East,Very Inexpensive,0.03596,96,1604,0.02685,0.04508
2002,East,Inexpensive,0.16544,431,1604,0.14725,0.18363
2002,East,Reasonable,0.28703,719,1604,0.26489,0.30918
2002,East,Slightly Expensive,0.12262,317,1604,0.10657,0.13868
2002,East,Too Expensive,0.01472,41,1604,0.00882,0.02061
2005,West,Very Inexpensive,0.03341,263,3925,0.02779,0.03903
2005,West,Inexpensive,0.12772,945,3925,0.11728,0.13816
2005,West,Reasonable,0.24707,1904,3925,0.23357,0.26056
2005,West,Slightly Expensive,0.09038,708,3925,0.08141,0.09935
2005,West,Too Expensive,0.01472,105,3925,0.01095,0.01848
2005,East,Very Inexpensive,0.03434,81,1468,0.02502,0.04366
2005,East,Inexpensive,0.13319,324,1468,0.11580,0.15057
2005,East,Reasonable,0.30779,718,1468,0.28417,0.33141
2005,East,Slightly Expensive,0.12779,301,1468,0.11071,0.14488
2005,East,Too Expensive,0.02058,44,1468,0.01332,0.02785
2006,West,Very Inexpensive,0.03279,278,4237,0.02742,0.03815
2006,West,Inexpensive,0.12735,1029,4237,0.11731,0.13739
2006,West,Reasonable,0.24635,2008,4237,0.23337,0.25933
2006,West,Slightly Expensive,0.09859,796,4237,0.08962,0.10757
2006,West,Too Expensive,0.01700,126,4237,0.01310,0.02089
2006,East,Very Inexpensive,0.03376,87,1585,0.02486,0.04265
2006,East,Inexpensive,0.14929,393,1585,0.13173,0.16684
2006,East,Reasonable,0.28913,748,1585,0.26681,0.31146
2006,East,Slightly Expensive,0.13188,320,1585,0.11522,0.14855
2006,East,Too Expensive,0.01596,37,1585,0.00979,0.02213
2007,West,Very Inexpensive,0.03568,271,3913,0.02987,0.04149
2007,West,Inexpensive,0.12075,935,3913,0.11054,0.13096
2007,West,Reasonable,0.24451,1876,3913,0.23104,0.25798
2007,West,Slightly Expensive,0.09210,714,3913,0.08303,0.10116
2007,West,Too Expensive,0.01777,117,3913,0.01363,0.02190
2007,East,Very Inexpensive,0.03462,87,1481,0.02530,0.04393
2007,East,Inexpensive,0.13445,347,1481,0.11707,0.15183
2007,East,Reasonable,0.28888,696,1481,0.26579,0.31197
2007,East,Slightly Expensive,0.12687,308,1481,0.10991,0.14382
2007,East,Too Expensive,0.02109,43,1481,0.01377,0.02841
2008,West,Very Inexpensive,0.03630,260,3614,0.03020,0.04240
2008,West,Inexpensive,0.12256,895,3614,0.11186,0.13325
2008,West,Reasonable,0.23418,1706,3614,0.22037,0.24799
2008,West,Slightly Expensive,0.09430,655,3614,0.08477,0.10383
2008,West,Too Expensive,0.01416,98,3614,0.01031,0.01802
2008,East,Very Inexpensive,0.04043,92,1432,0.03022,0.05063
2008,East,Inexpensive,0.15017,343,1432,0.13166,0.16868
2008,East,Reasonable,0.27391,665,1432,0.25080,0.29701
2008,East,Slightly Expensive,0.12580,286,1432,0.10862,0.14298
2008,East,Too Expensive,0.02181,46,1432,0.01424,0.02937
2009,West,Very Inexpensive,0.03339,236,3379,0.02733,0.03945
2009,West,Inexpensive,0.11962,829,3379,0.10868,0.13057
2009,West,Reasonable,0.23568,1637,3379,0.22137,0.25000
2009,West,Slightly Expensive,0.09126,599,3379,0.08155,0.10097
2009,West,Too Expensive,0.01217,78,3379,0.00847,0.01587
2009,East,Very Inexpensive,0.04242,98,1355,0.03168,0.05315
2009,East,Inexpensive,0.13870,336,1355,0.12029,0.15711
2009,East,Reasonable,0.26852,600,1355,0.24491,0.29212
2009,East,Slightly Expensive,0.12338,281,1355,0.10586,0.14089
2009,East,Too Expensive,0.02057,40,1355,0.01301,0.02813
2010,West,Very Inexpensive,0.03894,423,5230,0.03370,0.04418
2010,West,Inexpensive,0.11434,1325,5230,0.10572,0.12297
2010,West,Reasonable,0.22691,2356,5230,0.21556,0.23826
2010,West,Slightly Expensive,0.09442,973,5230,0.08649,0.10234
2010,West,Too Expensive,0.01014,153,5230,0.00743,0.01286
2010,East,Very Inexpensive,0.03800,124,1790,0.02914,0.04686
2010,East,Inexpensive,0.14321,439,1790,0.12697,0.15944
2010,East,Reasonable,0.26867,804,1790,0.24813,0.28921
2010,East,Slightly Expensive,0.12279,358,1790,0.10758,0.13800
2010,East,Too Expensive,0.01552,65,1790,0.00979,0.02125
2011,West,Very Inexpensive,0.03692,511,6179,0.03222,0.04162
2011,West,Inexpensive,0.11920,1563,6179,0.11112,0.12728
2011,West,Reasonable,0.23115,2866,6179,0.22063,0.24166
2011,West,Slightly Expensive,0.08392,1057,6179,0.07700,0.09083
2011,West,Too Expensive,0.01232,182,6179,0.00957,0.01507
2011,East,Very Inexpensive,0.04557,163,2174,0.03681,0.05434
2011,East,Inexpensive,0.14310,508,2174,0.12838,0.15783
2011,East,Reasonable,0.26267,946,2174,0.24416,0.28117
2011,East,Slightly Expensive,0.12283,472,2174,0.10903,0.13663
2011,East,Too Expensive,0.01766,85,2174,0.01212,0.02320
2012,West,Very Inexpensive,0.03705,493,6000,0.03227,0.04183
2012,West,Inexpensive,0.12190,1614,6000,0.11362,0.13017
2012,West,Reasonable,0.23305,2784,6000,0.22235,0.24375
2012,West,Slightly Expensive,0.08083,936,6000,0.07394,0.08773
2012,West,Too Expensive,0.01145,173,6000,0.00876,0.01415
2012,East,Very Inexpensive,0.04174,132,2194,0.03337,0.05011
2012,East,Inexpensive,0.15673,574,2194,0.14151,0.17195
2012,East,Reasonable,0.26190,964,2194,0.24350,0.28030
2012,East,Slightly Expensive,0.12094,435,2194,0.10729,0.13458
2012,East,Too Expensive,0.02271,89,2194,0.01648,0.02895
2013,West,Very Inexpensive,0.03835,574,7463,0.03399,0.04271
2013,West,Inexpensive,0.13068,1949,7463,0.12304,0.13833
2013,West,Reasonable,0.22785,3391,7463,0.21834,0.23737
2013,West,Slightly Expensive,0.08101,1292,7463,0.07482,0.08720
2013,West,Too Expensive,0.01189,257,7463,0.00943,0.01435
2013,East,Very Inexpensive,0.04173,147,2201,0.03338,0.05009
2013,East,Inexpensive,0.15330,529,2201,0.13824,0.16835
2013,East,Reasonable,0.28033,1061,2201,0.26157,0.29910
2013,East,Slightly Expensive,0.09568,391,2201,0.08339,0.10797
2013,East,Too Expensive,0.01819,73,2201,0.01261,0.02378
2014,West,Very Inexpensive,0.04280,551,6415,0.03785,0.04775
2014,West,Inexpensive,0.13600,1708,6415,0.12761,0.14439
2014,West,Reasonable,0.22858,2867,6415,0.21831,0.23886
2014,West,Slightly Expensive,0.08179,1106,6415,0.07509,0.08850
2014,West,Too Expensive,0.01147,183,6415,0.00887,0.01408
2014,East,Very Inexpensive,0.05675,193,2084,0.04681,0.06668
2014,East,Inexpensive,0.17621,541,2084,0.15984,0.19257
2014,East,Reasonable,0.25602,898,2084,0.23727,0.27476
2014,East,Slightly Expensive,0.11506,381,2084,0.10136,0.12876
2014,East,Too Expensive,0.01746,71,2084,0.01184,0.02309
