year,bula_h,pgisced97,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Bayern,middle vocational,937,1.015777744328456,0.9403850908136657,1.091170397843246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Bayern,vocational + Abi,46,0.815097720467655,0.5341292248974429,1.0960662160378671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Bayern,higher vocational,120,1.1109732108213386,0.8968632596108608,1.3250831620318164,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1985,Bayern,higher education,147,1.0741780656490894,0.8788153640829172,1.2695407672152617,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1985,Berlin,in school,,,,,,,,,,,,
1985,Berlin,inadequately,,,,,,,,,,,,
1985,Berlin,general elemantary,82,0.8543659619248122,0.6228712815594224,1.085860642290202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Berlin,middle vocational,162,0.8727690395330133,0.6831329450680715,1.062405133997955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Berlin,vocational + Abi,,,,,,,,,,,,
1985,Berlin,higher vocational,,,,,,,,,,,,
1985,Berlin,higher education,37,1.3972059186354961,0.8675462935168328,1.9268655437541595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Schleswig-Holstein,in school,,,,,,,,,,,,
1986,Schleswig-Holstein,inadequately,,,,,,,,,,,,
1986,Schleswig-Holstein,general elemantary,72,1.0565370069833684,0.6748341509427352,1.4382398630240014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Schleswig-Holstein,middle vocational,181,1.2810621853279456,1.08306074105468,1.4790636296012112,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1986,Schleswig-Holstein,vocational + Abi,,,,,,,,,,,,
1986,Schleswig-Holstein,higher vocational,,,,,,,,,,,,
1986,Schleswig-Holstein,higher education,,,,,,,,,,,,
1986,Hamburg,in school,,,,,,,,,,,,
1986,Hamburg,inadequately,,,,,,,,,,,,
1986,Hamburg,general elemantary,52,0.7289395014801562,0.35031376634407846,1.1075652366162339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Hamburg,middle vocational,130,0.734837549234466,0.537872146714285,0.931802951754647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Hamburg,vocational + Abi,,,,,,,,,,,,
1986,Hamburg,higher vocational,,,,,,,,,,,,
1986,Hamburg,higher education,,,,,,,,,,,,
1986,Niedersachsen,in school,,,,,,,,,,,,
1986,Niedersachsen,inadequately,50,1.809712928860137,1.419164914197276,2.200260943522998,0.0,0.0,3.0,0.0,7.5,0.0,-2.0,0.0
1986,Niedersachsen,general elemantary,294,0.5199743157735199,0.41624387702926113,0.6237047545177787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Niedersachsen,middle vocational,533,1.1441503041397525,1.0265712542099965,1.2617293540695085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Niedersachsen,vocational + Abi,,,,,,,,,,,,
1986,Niedersachsen,higher vocational,70,1.3394508173197135,1.0350706037119763,1.6438310309274506,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1986,Niedersachsen,higher education,81,1.3416902420132601,0.9315345380322155,1.7518459459943048,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1986,Bremen,inadequately,,,,,,,,,,,,
1986,Bremen,general elemantary,33,0.16109437187789266,0.05061626382959865,0.27157247992618666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Bremen,middle vocational,61,0.43950412290534974,0.2517373018022142,0.6272709440084853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Bremen,vocational + Abi,,,,,,,,,,,,
1986,Bremen,higher vocational,,,,,,,,,,,,
1986,Bremen,higher education,,,,,,,,,,,,
1986,Nordrhein-Westfalen,in school,38,0.04963861284917105,-0.00294109155503669,0.1022183172533788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Nordrhein-Westfalen,inadequately,237,1.9722054733921872,1.720405056190302,2.2240058905940723,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1986,Nordrhein-Westfalen,general elemantary,676,0.7457964994414356,0.6640757057899567,0.8275172930929144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Nordrhein-Westfalen,middle vocational,1348,1.0768705707956567,1.010229062734357,1.1435120788569564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Nordrhein-Westfalen,vocational + Abi,85,0.7310355820443575,0.5169860930263355,0.9450850710623795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Nordrhein-Westfalen,higher vocational,147,1.744910672424164,1.4670208806353593,2.0228004642129687,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1986,Nordrhein-Westfalen,higher education,219,1.4400400868289864,1.2313547210605138,1.648725452597459,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1986,Hessen,in school,,,,,,,,,,,,
1986,Hessen,inadequately,77,1.2861726101237336,1.053278012956134,1.5190672072913332,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1986,Hessen,general elemantary,281,0.9321334251374991,0.7796141041906842,1.084652746084314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Hessen,middle vocational,470,1.1542939018449567,1.023587450983321,1.2850003527065925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Hessen,vocational + Abi,32,1.821486655022242,1.2265205913971515,2.4164527186473324,0.0,0.0,1.73980186330181,0.0,4.349504658254524,0.0,0.0,0.0
1986,Hessen,higher vocational,50,1.27535570893941,0.9002576238775528,1.6504537940012673,0.0,0.0,1.2683704462076544,0.0,3.170926115519136,0.0,0.0,0.0
1986,Hessen,higher education,91,1.4675095331984804,1.136114764140942,1.798904302256019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,"Rheinland-Pfalz,Saarland",in school,,,,,,,,,,,,
1986,"Rheinland-Pfalz,Saarland",inadequately,47,0.5956749984772767,0.3068369038097639,0.8845130931447894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,"Rheinland-Pfalz,Saarland",general elemantary,245,0.8430989910660565,0.709373707691513,0.9768242744405999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,"Rheinland-Pfalz,Saarland",middle vocational,368,1.012915087658835,0.8961598977363765,1.1296702775812937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,"Rheinland-Pfalz,Saarland",vocational + Abi,,,,,,,,,,,,
1986,"Rheinland-Pfalz,Saarland",higher vocational,33,1.5816604863124342,1.0655469291363793,2.097774043488489,0.0,0.0,1.3129226851911178,0.0,3.2823067129777943,0.0,0.0,0.0
