"religion","year","alter_gr","sex","n","percent","lower_confidence","upper_confidence"
"konfessionslos","1990","66 und älter","weiblich","139","0.10714403430969","0.0873294545272101","0.126958614092171"
"andere","1990","16-34 Jahre alt","maennlich","111","0.0173631158123117","0.0124261166698039","0.0223001149548194"
"andere","1990","16-34 Jahre alt","weiblich","133","0.0258007401563701","0.0197576740416335","0.0318438062711067"
"andere","1990","35-65 Jahre alt","maennlich","225","0.0305346052237402","0.0248540282164622","0.0362151822310182"
"andere","1990","35-65 Jahre alt","weiblich","208","0.0290198613894118","0.0234948705089432","0.0345448522698804"
"andere","1990","66 und älter","maennlich","","","",""
"andere","1990","66 und älter","weiblich","","","",""
"katholisch","1991","16-34 Jahre alt","maennlich","34","0.0480198431252676","0.0327485814329357","0.0632911048175995"
"katholisch","1991","16-34 Jahre alt","weiblich","","","",""
"katholisch","1991","35-65 Jahre alt","maennlich","60","0.0557543733125984","0.0422442233046895","0.0692645233205073"
"katholisch","1991","35-65 Jahre alt","weiblich","57","0.0514310931633522","0.0385070326559402","0.0643551536707642"
"katholisch","1991","66 und älter","maennlich","","","",""
"katholisch","1991","66 und älter","weiblich","","","",""
"evangelisch","1991","16-34 Jahre alt","maennlich","115","0.151059861880193","0.125482032951221","0.176637690809166"
"evangelisch","1991","16-34 Jahre alt","weiblich","176","0.219472073384908","0.19061060640301","0.248333540366806"
"evangelisch","1991","35-65 Jahre alt","maennlich","282","0.253074310719825","0.227474253240468","0.278674368199182"
"evangelisch","1991","35-65 Jahre alt","weiblich","353","0.321857276684894","0.294520715480673","0.349193837889115"
"evangelisch","1991","66 und älter","maennlich","54","0.387962881672012","0.305764138750934","0.470161624593089"
"evangelisch","1991","66 und älter","weiblich","145","0.539150923724352","0.480021818783272","0.598280028665432"
"islamische Religionsgemeinschaft","1991","16-34 Jahre alt","maennlich","","","",""
"islamische Religionsgemeinschaft","1991","16-34 Jahre alt","weiblich","","","",""
"islamische Religionsgemeinschaft","1991","35-65 Jahre alt","maennlich","","","",""
"islamische Religionsgemeinschaft","1991","35-65 Jahre alt","weiblich","","","",""
"islamische Religionsgemeinschaft","1991","66 und älter","maennlich","","","",""
"islamische Religionsgemeinschaft","1991","66 und älter","weiblich","","","",""
"konfessionslos","1991","16-34 Jahre alt","maennlich","599","0.796035662910847","0.767255451192539","0.824815874629155"
"konfessionslos","1991","16-34 Jahre alt","weiblich","581","0.736297095547219","0.705570209795481","0.767023981298958"
"konfessionslos","1991","35-65 Jahre alt","maennlich","760","0.686764514133019","0.659454771182375","0.714074257083664"
"konfessionslos","1991","35-65 Jahre alt","weiblich","702","0.619502222493781","0.591093666497768","0.647910778489793"
"konfessionslos","1991","66 und älter","maennlich","70","0.516434384763631","0.43213653674434","0.600732232782923"
"konfessionslos","1991","66 und älter","weiblich","103","0.369003547624537","0.31176409170049","0.426243003548584"
"andere","1991","16-34 Jahre alt","maennlich","","","",""
"andere","1991","16-34 Jahre alt","weiblich","","","",""
"andere","1991","35-65 Jahre alt","maennlich","","","",""
"andere","1991","35-65 Jahre alt","weiblich","","","",""
"andere","1991","66 und älter","maennlich","","","",""
"andere","1991","66 und älter","weiblich","","","",""
"katholisch","1992","16-34 Jahre alt","maennlich","","","",""
"katholisch","1992","16-34 Jahre alt","weiblich","","","",""
"katholisch","1992","35-65 Jahre alt","maennlich","","","",""
"katholisch","1992","35-65 Jahre alt","weiblich","","","",""
"katholisch","1992","66 und älter","maennlich","","","",""
"katholisch","1992","66 und älter","weiblich","","","",""
"evangelisch","1992","16-34 Jahre alt","maennlich","","","",""
"evangelisch","1992","16-34 Jahre alt","weiblich","","","",""
"evangelisch","1992","35-65 Jahre alt","maennlich","","","",""
"evangelisch","1992","35-65 Jahre alt","weiblich","","","",""
"evangelisch","1992","66 und älter","maennlich","","","",""
"evangelisch","1992","66 und älter","weiblich","","","",""
"islamische Religionsgemeinschaft","1992","16-34 Jahre alt","maennlich","","","",""
"islamische Religionsgemeinschaft","1992","16-34 Jahre alt","weiblich","","","",""
"islamische Religionsgemeinschaft","1992","35-65 Jahre alt","maennlich","","","",""
"islamische Religionsgemeinschaft","1992","35-65 Jahre alt","weiblich","","","",""
"islamische Religionsgemeinschaft","1992","66 und älter","maennlich","","","",""
"islamische Religionsgemeinschaft","1992","66 und älter","weiblich","","","",""
"konfessionslos","1992","16-34 Jahre alt","maennlich","","","",""
"konfessionslos","1992","16-34 Jahre alt","weiblich","","","",""
"konfessionslos","1992","35-65 Jahre alt","maennlich","","","",""
"konfessionslos","1992","35-65 Jahre alt","weiblich","","","",""
"konfessionslos","1992","66 und älter","maennlich","","","",""
"konfessionslos","1992","66 und älter","weiblich","","","",""
"andere","1992","16-34 Jahre alt","maennlich","","","",""
"andere","1992","16-34 Jahre alt","weiblich","","","",""
"andere","1992","35-65 Jahre alt","maennlich","","","",""
"andere","1992","35-65 Jahre alt","weiblich","","","",""
"andere","1992","66 und älter","maennlich","","","",""
"andere","1992","66 und älter","weiblich","","","",""
"katholisch","1993","16-34 Jahre alt","maennlich","","","",""
"katholisch","1993","16-34 Jahre alt","weiblich","","","",""
"katholisch","1993","35-65 Jahre alt","maennlich","","","",""
"katholisch","1993","35-65 Jahre alt","weiblich","","","",""
"katholisch","1993","66 und älter","maennlich","","","",""
"katholisch","1993","66 und älter","weiblich","","","",""
"evangelisch","1993","16-34 Jahre alt","maennlich","","","",""
"evangelisch","1993","16-34 Jahre alt","weiblich","","","",""
"evangelisch","1993","35-65 Jahre alt","maennlich","","","",""
"evangelisch","1993","35-65 Jahre alt","weiblich","","","",""
"evangelisch","1993","66 und älter","maennlich","","","",""
"evangelisch","1993","66 und älter","weiblich","","","",""
"islamische Religionsgemeinschaft","1993","16-34 Jahre alt","maennlich","","","",""
"islamische Religionsgemeinschaft","1993","16-34 Jahre alt","weiblich","","","",""
"islamische Religionsgemeinschaft","1993","35-65 Jahre alt","maennlich","","","",""
"islamische Religionsgemeinschaft","1993","35-65 Jahre alt","weiblich","","","",""
"islamische Religionsgemeinschaft","1993","66 und älter","maennlich","","","",""
"islamische Religionsgemeinschaft","1993","66 und älter","weiblich","","","",""
"konfessionslos","1993","16-34 Jahre alt","maennlich","","","",""
"konfessionslos","1993","16-34 Jahre alt","weiblich","","","",""
"konfessionslos","1993","35-65 Jahre alt","maennlich","","","",""
"konfessionslos","1993","35-65 Jahre alt","weiblich","","","",""
"konfessionslos","1993","66 und älter","maennlich","","","",""
"konfessionslos","1993","66 und älter","weiblich","","","",""
"andere","1993","16-34 Jahre alt","maennlich","","","",""
"andere","1993","16-34 Jahre alt","weiblich","","","",""
"andere","1993","35-65 Jahre alt","maennlich","","","",""
"andere","1993","35-65 Jahre alt","weiblich","","","",""
"andere","1993","66 und älter","maennlich","","","",""
"andere","1993","66 und älter","weiblich","","","",""
"katholisch","1994","16-34 Jahre alt","maennlich","","","",""
"katholisch","1994","16-34 Jahre alt","weiblich","","","",""
"katholisch","1994","35-65 Jahre alt","maennlich","","","",""
"katholisch","1994","35-65 Jahre alt","weiblich","","","",""
"katholisch","1994","66 und älter","maennlich","","","",""
"katholisch","1994","66 und älter","weiblich","","","",""
"evangelisch","1994","16-34 Jahre alt","maennlich","","","",""
"evangelisch","1994","16-34 Jahre alt","weiblich","","","",""
"evangelisch","1994","35-65 Jahre alt","maennlich","","","",""
"evangelisch","1994","35-65 Jahre alt","weiblich","","","",""
"evangelisch","1994","66 und älter","maennlich","","","",""
"evangelisch","1994","66 und älter","weiblich","","","",""
"islamische Religionsgemeinschaft","1994","16-34 Jahre alt","maennlich","","","",""
"islamische Religionsgemeinschaft","1994","16-34 Jahre alt","weiblich","","","",""
"islamische Religionsgemeinschaft","1994","35-65 Jahre alt","maennlich","","","",""
"islamische Religionsgemeinschaft","1994","35-65 Jahre alt","weiblich","","","",""
"islamische Religionsgemeinschaft","1994","66 und älter","maennlich","","","",""
"islamische Religionsgemeinschaft","1994","66 und älter","weiblich","","","",""
"konfessionslos","1994","16-34 Jahre alt","maennlich","","","",""
"konfessionslos","1994","16-34 Jahre alt","weiblich","","","",""
"konfessionslos","1994","35-65 Jahre alt","maennlich","","","",""
"konfessionslos","1994","35-65 Jahre alt","weiblich","","","",""
"konfessionslos","1994","66 und älter","maennlich","","","",""
"konfessionslos","1994","66 und älter","weiblich","","","",""
"andere","1994","16-34 Jahre alt","maennlich","","","",""
"andere","1994","16-34 Jahre alt","weiblich","","","",""
"andere","1994","35-65 Jahre alt","maennlich","","","",""
"andere","1994","35-65 Jahre alt","weiblich","","","",""
"andere","1994","66 und älter","maennlich","","","",""
"andere","1994","66 und älter","weiblich","","","",""
"katholisch","1995","16-34 Jahre alt","maennlich","","","",""
"katholisch","1995","16-34 Jahre alt","weiblich","","","",""
"katholisch","1995","35-65 Jahre alt","maennlich","","","",""
"katholisch","1995","35-65 Jahre alt","weiblich","","","",""
"katholisch","1995","66 und älter","maennlich","","","",""
"katholisch","1995","66 und älter","weiblich","","","",""
"evangelisch","1995","16-34 Jahre alt","maennlich","","","",""
"evangelisch","1995","16-34 Jahre alt","weiblich","","","",""
"evangelisch","1995","35-65 Jahre alt","maennlich","","","",""
"evangelisch","1995","35-65 Jahre alt","weiblich","","","",""
"evangelisch","1995","66 und älter","maennlich","","","",""
"evangelisch","1995","66 und älter","weiblich","","","",""
"islamische Religionsgemeinschaft","1995","16-34 Jahre alt","maennlich","","","",""
"islamische Religionsgemeinschaft","1995","16-34 Jahre alt","weiblich","","","",""
"islamische Religionsgemeinschaft","1995","35-65 Jahre alt","maennlich","","","",""
"islamische Religionsgemeinschaft","1995","35-65 Jahre alt","weiblich","","","",""
"islamische Religionsgemeinschaft","1995","66 und älter","maennlich","","","",""
"islamische Religionsgemeinschaft","1995","66 und älter","weiblich","","","",""
"konfessionslos","1995","16-34 Jahre alt","maennlich","","","",""
"konfessionslos","1995","16-34 Jahre alt","weiblich","","","",""
"konfessionslos","1995","35-65 Jahre alt","maennlich","","","",""
"konfessionslos","1995","35-65 Jahre alt","weiblich","","","",""
"konfessionslos","1995","66 und älter","maennlich","","","",""
"konfessionslos","1995","66 und älter","weiblich","","","",""
"andere","1995","16-34 Jahre alt","maennlich","","","",""
"andere","1995","16-34 Jahre alt","weiblich","","","",""
"andere","1995","35-65 Jahre alt","maennlich","","","",""
"andere","1995","35-65 Jahre alt","weiblich","","","",""
"andere","1995","66 und älter","maennlich","","","",""
"andere","1995","66 und älter","weiblich","","","",""
"katholisch","1996","16-34 Jahre alt","maennlich","","","",""
"katholisch","1996","16-34 Jahre alt","weiblich","","","",""
"katholisch","1996","35-65 Jahre alt","maennlich","","","",""
"katholisch","1996","35-65 Jahre alt","weiblich","","","",""
"katholisch","1996","66 und älter","maennlich","","","",""
"katholisch","1996","66 und älter","weiblich","","","",""
"evangelisch","1996","16-34 Jahre alt","maennlich","","","",""
"evangelisch","1996","16-34 Jahre alt","weiblich","","","",""
"evangelisch","1996","35-65 Jahre alt","maennlich","","","",""
"evangelisch","1996","35-65 Jahre alt","weiblich","","","",""
"evangelisch","1996","66 und älter","maennlich","","","",""
"evangelisch","1996","66 und älter","weiblich","","","",""
"islamische Religionsgemeinschaft","1996","16-34 Jahre alt","maennlich","","","",""
"islamische Religionsgemeinschaft","1996","16-34 Jahre alt","weiblich","","","",""
"islamische Religionsgemeinschaft","1996","35-65 Jahre alt","maennlich","","","",""
"islamische Religionsgemeinschaft","1996","35-65 Jahre alt","weiblich","","","",""
"islamische Religionsgemeinschaft","1996","66 und älter","maennlich","","","",""
"islamische Religionsgemeinschaft","1996","66 und älter","weiblich","","","",""
"konfessionslos","1996","16-34 Jahre alt","maennlich","","","",""
"konfessionslos","1996","16-34 Jahre alt","weiblich","","","",""
"konfessionslos","1996","35-65 Jahre alt","maennlich","","","",""
"konfessionslos","1996","35-65 Jahre alt","weiblich","","","",""
"konfessionslos","1996","66 und älter","maennlich","","","",""
"konfessionslos","1996","66 und älter","weiblich","","","",""
"andere","1996","16-34 Jahre alt","maennlich","","","",""
"andere","1996","16-34 Jahre alt","weiblich","","","",""
"andere","1996","35-65 Jahre alt","maennlich","","","",""
"andere","1996","35-65 Jahre alt","weiblich","","","",""
"andere","1996","66 und älter","maennlich","","","",""
"andere","1996","66 und älter","weiblich","","","",""
"katholisch","1997","16-34 Jahre alt","maennlich","664","0.325250555839148","0.306046618977342","0.344454492700954"
"katholisch","1997","16-34 Jahre alt","weiblich","678","0.326435221737926","0.307366934876925","0.345503508598927"
"katholisch","1997","35-65 Jahre alt","maennlich","940","0.316745550330868","0.300788486074967","0.332702614586768"
"katholisch","1997","35-65 Jahre alt","weiblich","993","0.336327769729565","0.320329099958388","0.352326439500743"
"katholisch","1997","66 und älter","maennlich","212","0.347968041855858","0.311007198476693","0.384928885235022"
"katholisch","1997","66 und älter","weiblich","308","0.343272133726371","0.313315263955641","0.373229003497101"
"evangelisch","1997","16-34 Jahre alt","maennlich","559","0.293063865318859","0.274405172918295","0.311722557719424"
"evangelisch","1997","16-34 Jahre alt","weiblich","671","0.331951417208799","0.312801593811431","0.351101240606166"
"evangelisch","1997","35-65 Jahre alt","maennlich","857","0.312257596470266","0.296362033805379","0.328153159135152"
"evangelisch","1997","35-65 Jahre alt","weiblich","1043","0.367593026554606","0.351265979492772","0.38392007361644"
"evangelisch","1997","66 und älter","maennlich","260","0.436776481170794","0.398290039012208","0.475262923329381"
"evangelisch","1997","66 und älter","weiblich","467","0.506141258038669","0.474596901172267","0.537685614905071"
"islamische Religionsgemeinschaft","1997","16-34 Jahre alt","maennlich","","","",""
"islamische Religionsgemeinschaft","1997","16-34 Jahre alt","weiblich","","","",""
"islamische Religionsgemeinschaft","1997","35-65 Jahre alt","maennlich","","","",""
"islamische Religionsgemeinschaft","1997","35-65 Jahre alt","weiblich","","","",""
"islamische Religionsgemeinschaft","1997","66 und älter","maennlich","","","",""
"islamische Religionsgemeinschaft","1997","66 und älter","weiblich","","","",""
"konfessionslos","1997","16-34 Jahre alt","maennlich","719","0.298861650098995","0.280096720729464","0.317626579468525"
"konfessionslos","1997","16-34 Jahre alt","weiblich","641","0.257548091433218","0.239765837077716","0.275330345788721"
"konfessionslos","1997","35-65 Jahre alt","maennlich","1159","0.319060456799599","0.303072341665204","0.335048571933994"
"konfessionslos","1997","35-65 Jahre alt","weiblich","1012","0.23912585078152","0.224681588488171","0.253570113074869"
"konfessionslos","1997","66 und älter","maennlich","140","0.189892840217032","0.159458542685531","0.220327137748533"
"konfessionslos","1997","66 und älter","weiblich","168","0.134349488294034","0.11283288376376","0.155866092824308"
"andere","1997","16-34 Jahre alt","maennlich","344","0.0828239287429983","0.071525598896592","0.0941222585894046"
"andere","1997","16-34 Jahre alt","weiblich","333","0.084065269620057","0.0727812442303169","0.095349295009797"
"andere","1997","35-65 Jahre alt","maennlich","309","0.0519363963992676","0.044325056059831","0.0595477367387042"
"andere","1997","35-65 Jahre alt","weiblich","302","0.0569533529343087","0.0491054807080393","0.064801225160578"
"andere","1997","66 und älter","maennlich","","","",""
"andere","1997","66 und älter","weiblich","","","",""
"katholisch","1998","16-34 Jahre alt","maennlich","","","",""
"katholisch","1998","16-34 Jahre alt","weiblich","","","",""
"katholisch","1998","35-65 Jahre alt","maennlich","","","",""
"katholisch","1998","35-65 Jahre alt","weiblich","","","",""
"katholisch","1998","66 und älter","maennlich","","","",""
"katholisch","1998","66 und älter","weiblich","","","",""
"evangelisch","1998","16-34 Jahre alt","maennlich","","","",""
"evangelisch","1998","16-34 Jahre alt","weiblich","","","",""
"evangelisch","1998","35-65 Jahre alt","maennlich","","","",""
"evangelisch","1998","35-65 Jahre alt","weiblich","","","",""
"evangelisch","1998","66 und älter","maennlich","","","",""
"evangelisch","1998","66 und älter","weiblich","","","",""
"islamische Religionsgemeinschaft","1998","16-34 Jahre alt","maennlich","","","",""
"islamische Religionsgemeinschaft","1998","16-34 Jahre alt","weiblich","","","",""
"islamische Religionsgemeinschaft","1998","35-65 Jahre alt","maennlich","","","",""
"islamische Religionsgemeinschaft","1998","35-65 Jahre alt","weiblich","","","",""
"islamische Religionsgemeinschaft","1998","66 und älter","maennlich","","","",""
"islamische Religionsgemeinschaft","1998","66 und älter","weiblich","","","",""
"konfessionslos","1998","16-34 Jahre alt","maennlich","","","",""
"konfessionslos","1998","16-34 Jahre alt","weiblich","","","",""
"konfessionslos","1998","35-65 Jahre alt","maennlich","","","",""
"konfessionslos","1998","35-65 Jahre alt","weiblich","","","",""
"konfessionslos","1998","66 und älter","maennlich","","","",""
"konfessionslos","1998","66 und älter","weiblich","","","",""
"andere","1998","16-34 Jahre alt","maennlich","","","",""
"andere","1998","16-34 Jahre alt","weiblich","","","",""
"andere","1998","35-65 Jahre alt","maennlich","","","",""
"andere","1998","35-65 Jahre alt","weiblich","","","",""
"andere","1998","66 und älter","maennlich","","","",""
"andere","1998","66 und älter","weiblich","","","",""
"katholisch","1999","16-34 Jahre alt","maennlich","","","",""
"katholisch","1999","16-34 Jahre alt","weiblich","","","",""
"katholisch","1999","35-65 Jahre alt","maennlich","","","",""
"katholisch","1999","35-65 Jahre alt","weiblich","","","",""
"katholisch","1999","66 und älter","maennlich","","","",""
"katholisch","1999","66 und älter","weiblich","","","",""
"evangelisch","1999","16-34 Jahre alt","maennlich","","","",""
"evangelisch","1999","16-34 Jahre alt","weiblich","","","",""
"evangelisch","1999","35-65 Jahre alt","maennlich","","","",""
"evangelisch","1999","35-65 Jahre alt","weiblich","","","",""
"evangelisch","1999","66 und älter","maennlich","","","",""
"evangelisch","1999","66 und älter","weiblich","","","",""
"islamische Religionsgemeinschaft","1999","16-34 Jahre alt","maennlich","","","",""
"islamische Religionsgemeinschaft","1999","16-34 Jahre alt","weiblich","","","",""
"islamische Religionsgemeinschaft","1999","35-65 Jahre alt","maennlich","","","",""
"islamische Religionsgemeinschaft","1999","35-65 Jahre alt","weiblich","","","",""
"islamische Religionsgemeinschaft","1999","66 und älter","maennlich","","","",""
"islamische Religionsgemeinschaft","1999","66 und älter","weiblich","","","",""
"konfessionslos","1999","16-34 Jahre alt","maennlich","","","",""
"konfessionslos","1999","16-34 Jahre alt","weiblich","","","",""
"konfessionslos","1999","35-65 Jahre alt","maennlich","","","",""
"konfessionslos","1999","35-65 Jahre alt","weiblich","","","",""
"konfessionslos","1999","66 und älter","maennlich","","","",""
"konfessionslos","1999","66 und älter","weiblich","","","",""
"andere","1999","16-34 Jahre alt","maennlich","","","",""
"andere","1999","16-34 Jahre alt","weiblich","","","",""
"andere","1999","35-65 Jahre alt","maennlich","","","",""
"andere","1999","35-65 Jahre alt","weiblich","","","",""
"andere","1999","66 und älter","maennlich","","","",""
"andere","1999","66 und älter","weiblich","","","",""
"katholisch","2000","16-34 Jahre alt","maennlich","","","",""
"katholisch","2000","16-34 Jahre alt","weiblich","","","",""
"katholisch","2000","35-65 Jahre alt","maennlich","","","",""
"katholisch","2000","35-65 Jahre alt","weiblich","","","",""
"katholisch","2000","66 und älter","maennlich","","","",""
"katholisch","2000","66 und älter","weiblich","","","",""
"evangelisch","2000","16-34 Jahre alt","maennlich","","","",""
"evangelisch","2000","16-34 Jahre alt","weiblich","","","",""
"evangelisch","2000","35-65 Jahre alt","maennlich","","","",""
"evangelisch","2000","35-65 Jahre alt","weiblich","","","",""
"evangelisch","2000","66 und älter","maennlich","","","",""
"evangelisch","2000","66 und älter","weiblich","","","",""
"islamische Religionsgemeinschaft","2000","16-34 Jahre alt","maennlich","","","",""
"islamische Religionsgemeinschaft","2000","16-34 Jahre alt","weiblich","","","",""
"islamische Religionsgemeinschaft","2000","35-65 Jahre alt","maennlich","","","",""
"islamische Religionsgemeinschaft","2000","35-65 Jahre alt","weiblich","","","",""
"islamische Religionsgemeinschaft","2000","66 und älter","maennlich","","","",""
"islamische Religionsgemeinschaft","2000","66 und älter","weiblich","","","",""
"konfessionslos","2000","16-34 Jahre alt","maennlich","","","",""
"konfessionslos","2000","16-34 Jahre alt","weiblich","","","",""
"konfessionslos","2000","35-65 Jahre alt","maennlich","","","",""
"konfessionslos","2000","35-65 Jahre alt","weiblich","","","",""
"konfessionslos","2000","66 und älter","maennlich","","","",""
"konfessionslos","2000","66 und älter","weiblich","","","",""
"andere","2000","16-34 Jahre alt","maennlich","","","",""
"andere","2000","16-34 Jahre alt","weiblich","","","",""
"andere","2000","35-65 Jahre alt","maennlich","","","",""
"andere","2000","35-65 Jahre alt","weiblich","","","",""
"andere","2000","66 und älter","maennlich","","","",""
"andere","2000","66 und älter","weiblich","","","",""
"katholisch","2001","16-34 Jahre alt","maennlich","","","",""
"katholisch","2001","16-34 Jahre alt","weiblich","","","",""
"katholisch","2001","35-65 Jahre alt","maennlich","","","",""
"katholisch","2001","35-65 Jahre alt","weiblich","","","",""
"katholisch","2001","66 und älter","maennlich","","","",""
"katholisch","2001","66 und älter","weiblich","","","",""
"evangelisch","2001","16-34 Jahre alt","maennlich","","","",""
"evangelisch","2001","16-34 Jahre alt","weiblich","","","",""
"evangelisch","2001","35-65 Jahre alt","maennlich","","","",""
"evangelisch","2001","35-65 Jahre alt","weiblich","","","",""
"evangelisch","2001","66 und älter","maennlich","","","",""
"evangelisch","2001","66 und älter","weiblich","","","",""
"islamische Religionsgemeinschaft","2001","16-34 Jahre alt","maennlich","","","",""
"islamische Religionsgemeinschaft","2001","16-34 Jahre alt","weiblich","","","",""
"islamische Religionsgemeinschaft","2001","35-65 Jahre alt","maennlich","","","",""
"islamische Religionsgemeinschaft","2001","35-65 Jahre alt","weiblich","","","",""
"islamische Religionsgemeinschaft","2001","66 und älter","maennlich","","","",""
"islamische Religionsgemeinschaft","2001","66 und älter","weiblich","","","",""
"konfessionslos","2001","16-34 Jahre alt","maennlich","","","",""
"konfessionslos","2001","16-34 Jahre alt","weiblich","","","",""
"konfessionslos","2001","35-65 Jahre alt","maennlich","","","",""
"konfessionslos","2001","35-65 Jahre alt","weiblich","","","",""
"konfessionslos","2001","66 und älter","maennlich","","","",""
"konfessionslos","2001","66 und älter","weiblich","","","",""
"andere","2001","16-34 Jahre alt","maennlich","","","",""
"andere","2001","16-34 Jahre alt","weiblich","","","",""
"andere","2001","35-65 Jahre alt","maennlich","","","",""
"andere","2001","35-65 Jahre alt","weiblich","","","",""
"andere","2001","66 und älter","maennlich","","","",""
"andere","2001","66 und älter","weiblich","","","",""
"katholisch","2002","16-34 Jahre alt","maennlich","","","",""
"katholisch","2002","16-34 Jahre alt","weiblich","","","",""
"katholisch","2002","35-65 Jahre alt","maennlich","","","",""
"katholisch","2002","35-65 Jahre alt","weiblich","","","",""
"katholisch","2002","66 und älter","maennlich","","","",""
"katholisch","2002","66 und älter","weiblich","","","",""
"evangelisch","2002","16-34 Jahre alt","maennlich","","","",""
"evangelisch","2002","16-34 Jahre alt","weiblich","","","",""
"evangelisch","2002","35-65 Jahre alt","maennlich","","","",""
"evangelisch","2002","35-65 Jahre alt","weiblich","","","",""
"evangelisch","2002","66 und älter","maennlich","","","",""
"evangelisch","2002","66 und älter","weiblich","","","",""
"islamische Religionsgemeinschaft","2002","16-34 Jahre alt","maennlich","","","",""
"islamische Religionsgemeinschaft","2002","16-34 Jahre alt","weiblich","","","",""
"islamische Religionsgemeinschaft","2002","35-65 Jahre alt","maennlich","","","",""
"islamische Religionsgemeinschaft","2002","35-65 Jahre alt","weiblich","","","",""
"islamische Religionsgemeinschaft","2002","66 und älter","maennlich","","","",""
"islamische Religionsgemeinschaft","2002","66 und älter","weiblich","","","",""
"konfessionslos","2002","16-34 Jahre alt","maennlich","","","",""
"konfessionslos","2002","16-34 Jahre alt","weiblich","","","",""
"konfessionslos","2002","35-65 Jahre alt","maennlich","","","",""
"konfessionslos","2002","35-65 Jahre alt","weiblich","","","",""
"konfessionslos","2002","66 und älter","maennlich","","","",""
"konfessionslos","2002","66 und älter","weiblich","","","",""
"andere","2002","16-34 Jahre alt","maennlich","","","",""
"andere","2002","16-34 Jahre alt","weiblich","","","",""
"andere","2002","35-65 Jahre alt","maennlich","","","",""
"andere","2002","35-65 Jahre alt","weiblich","","","",""
"andere","2002","66 und älter","maennlich","","","",""
"andere","2002","66 und älter","weiblich","","","",""
"katholisch","2003","16-34 Jahre alt","maennlich","806","0.298926299656299","0.281985045453958","0.315867553858639"
"katholisch","2003","16-34 Jahre alt","weiblich","904","0.321460004743942","0.304877006184618","0.338043003303266"
"katholisch","2003","35-65 Jahre alt","maennlich","1765","0.292281277068288","0.280955753807891","0.303606800328685"
"katholisch","2003","35-65 Jahre alt","weiblich","1967","0.325416244910969","0.31396160358165","0.336870886240288"
"katholisch","2003","66 und älter","maennlich","529","0.332919813386008","0.310263386270147","0.355576240501868"
"katholisch","2003","66 und älter","weiblich","649","0.34615219454149","0.325400583843421","0.36690380523956"
"evangelisch","2003","16-34 Jahre alt","maennlich","841","0.311239401445532","0.294105230664059","0.328373572227005"
"evangelisch","2003","16-34 Jahre alt","weiblich","987","0.346099573203009","0.329208073643985","0.362991072762034"
"evangelisch","2003","35-65 Jahre alt","maennlich","1758","0.294895500177898","0.283540471075431","0.306250529280366"
"evangelisch","2003","35-65 Jahre alt","weiblich","2188","0.347376395432109","0.335735792322615","0.359016998541603"
"evangelisch","2003","66 und älter","maennlich","692","0.430961790352474","0.407153803211023","0.454769777493924"
