"religion","year","n","percent","lower_confidence","upper_confidence"
"konfessionslos","2007","6273","0.280946721709559","0.27480527498513","0.287088168433989"
"andere","2007","555","0.0298401629714996","0.0275152836739378","0.0321650422690614"
"katholisch","2008","","","",""
"evangelisch","2008","","","",""
"islamische Religionsgemeinschaft","2008","","","",""
"konfessionslos","2008","","","",""
"andere","2008","","","",""
"katholisch","2009","","","",""
"evangelisch","2009","","","",""
"islamische Religionsgemeinschaft","2009","","","",""
"konfessionslos","2009","","","",""
"andere","2009","","","",""
"katholisch","2010","","","",""
"evangelisch","2010","","","",""
"islamische Religionsgemeinschaft","2010","","","",""
"konfessionslos","2010","","","",""
"andere","2010","","","",""
"katholisch","2011","6412","0.29737184081808","0.29135839462884","0.30338528700732"
"evangelisch","2011","7597","0.342205746713574","0.335964096603006","0.348447396824143"
"islamische Religionsgemeinschaft","2011","505","0.0236066802716162","0.0216093927363806","0.0256039678068519"
"konfessionslos","2011","7115","0.309690157108948","0.30360745613434","0.315772858083557"
"andere","2011","567","0.0271255750877809","0.0249884565891874","0.0292626935863743"
"katholisch","2012","","","",""
"evangelisch","2012","","","",""
"islamische Religionsgemeinschaft","2012","","","",""
"konfessionslos","2012","","","",""
"andere","2012","","","",""
"katholisch","2013","1130","0.219849020827325","0.208302575133645","0.231395466521005"
"evangelisch","2013","662","0.128647226614329","0.119312664639609","0.137981788589048"
"islamische Religionsgemeinschaft","2013","1081","0.270502548157011","0.258117597222563","0.282887499091459"
"konfessionslos","2013","1205","0.252719803281178","0.240603835923469","0.264835770638886"
"andere","2013","864","0.128281401120158","0.118958164127674","0.137604638112642"
"katholisch","2014","","","",""
"evangelisch","2014","","","",""
"islamische Religionsgemeinschaft","2014","","","",""
"konfessionslos","2014","","","",""
"andere","2014","","","",""
"katholisch","2015","7479","0.289821122563628","0.284389297279482","0.295252947847774"
"evangelisch","2015","7757","0.312539121684711","0.306989375930777","0.318088867438646"
"islamische Religionsgemeinschaft","2015","1436","0.039271781015617","0.0369461678790892","0.0415973941521448"
"konfessionslos","2015","8578","0.325268604602187","0.319659630534231","0.330877578670143"
"andere","2015","1548","0.0330993701338568","0.0309574775559875","0.0352412627117262"
"katholisch","2016","168","0.102805513709065","0.0939152381302615","0.111695789287869"
"evangelisch","2016","126","0.0540064854888626","0.0473899482795778","0.0606230226981473"
"islamische Religionsgemeinschaft","2016","3109","0.546554351100123","0.531981550614364","0.561127151585883"
"konfessionslos","2016","313","0.131932558726685","0.122026145313746","0.141838972139624"
"andere","2016","767","0.164701090975264","0.153843514008788","0.17555866794174"
"katholisch","2017","85","0.159184964448997","0.146115249966339","0.172254678931656"
"evangelisch","2017","107","0.0980152172880008","0.0873930973207961","0.108637337255205"
"islamische Religionsgemeinschaft","2017","2186","0.501541342696288","0.483679231690208","0.519403453702368"
"konfessionslos","2017","172","0.115600671142713","0.104177959247125","0.1270233830383"
"andere","2017","460","0.125657804424001","0.113816479568501","0.137499129279501"
"katholisch","2018","","","",""
"evangelisch","2018","","","",""
"islamische Religionsgemeinschaft","2018","330","0.444273789784598","0.400097855546167","0.488449724023028"
"konfessionslos","2018","33","0.289959679812424","0.249619273539594","0.330300086085255"
"andere","2018","92","0.11994675653612","0.0910613366653754","0.148832176406864"
"katholisch","2019","6643","0.265766536262679","0.260725252704159","0.270807819821199"
"evangelisch","2019","7419","0.288467687957237","0.283297339766175","0.2936380361483"
"islamische Religionsgemeinschaft","2019","3829","0.0505168165667141","0.0480174179983749","0.0530162151350533"
"konfessionslos","2019","9932","0.355879194221343","0.350415217331238","0.361343171111449"
"andere","2019","1672","0.0393697649920259","0.0371503759994916","0.0415891539845603"
