"religion","year","sex","n","percent","lower_confidence","upper_confidence"
"evangelisch","1997","maennlich","1676","0.325614582134534","0.313939932440856","0.337289231828212"
"evangelisch","1997","weiblich","2181","0.390274560875819","0.378539597286454","0.402009524465185"
"islamische Religionsgemeinschaft","1997","maennlich","","","",""
"islamische Religionsgemeinschaft","1997","weiblich","","","",""
"konfessionslos","1997","maennlich","2018","0.292986559402819","0.281647539083085","0.304325579722553"
"konfessionslos","1997","weiblich","1821","0.219625109210781","0.20966596305789","0.229584255363673"
"andere","1997","maennlich","679","0.0572471906872402","0.0514593861368518","0.0630349952376285"
"andere","1997","weiblich","657","0.0548665781700432","0.0493884780504627","0.0603446782896237"
"katholisch","1998","maennlich","","","",""
"katholisch","1998","weiblich","","","",""
"evangelisch","1998","maennlich","","","",""
"evangelisch","1998","weiblich","","","",""
"islamische Religionsgemeinschaft","1998","maennlich","","","",""
"islamische Religionsgemeinschaft","1998","weiblich","","","",""
"konfessionslos","1998","maennlich","","","",""
"konfessionslos","1998","weiblich","","","",""
"andere","1998","maennlich","","","",""
"andere","1998","weiblich","","","",""
"katholisch","1999","maennlich","","","",""
"katholisch","1999","weiblich","","","",""
"evangelisch","1999","maennlich","","","",""
"evangelisch","1999","weiblich","","","",""
"islamische Religionsgemeinschaft","1999","maennlich","","","",""
"islamische Religionsgemeinschaft","1999","weiblich","","","",""
"konfessionslos","1999","maennlich","","","",""
"konfessionslos","1999","weiblich","","","",""
"andere","1999","maennlich","","","",""
"andere","1999","weiblich","","","",""
"katholisch","2000","maennlich","","","",""
"katholisch","2000","weiblich","","","",""
"evangelisch","2000","maennlich","","","",""
"evangelisch","2000","weiblich","","","",""
"islamische Religionsgemeinschaft","2000","maennlich","","","",""
"islamische Religionsgemeinschaft","2000","weiblich","","","",""
"konfessionslos","2000","maennlich","","","",""
"konfessionslos","2000","weiblich","","","",""
"andere","2000","maennlich","","","",""
"andere","2000","weiblich","","","",""
"katholisch","2001","maennlich","","","",""
"katholisch","2001","weiblich","","","",""
"evangelisch","2001","maennlich","","","",""
"evangelisch","2001","weiblich","","","",""
"islamische Religionsgemeinschaft","2001","maennlich","","","",""
"islamische Religionsgemeinschaft","2001","weiblich","","","",""
"konfessionslos","2001","maennlich","","","",""
"konfessionslos","2001","weiblich","","","",""
"andere","2001","maennlich","","","",""
"andere","2001","weiblich","","","",""
"katholisch","2002","maennlich","","","",""
"katholisch","2002","weiblich","","","",""
"evangelisch","2002","maennlich","","","",""
"evangelisch","2002","weiblich","","","",""
"islamische Religionsgemeinschaft","2002","maennlich","","","",""
"islamische Religionsgemeinschaft","2002","weiblich","","","",""
"konfessionslos","2002","maennlich","","","",""
"konfessionslos","2002","weiblich","","","",""
"andere","2002","maennlich","","","",""
"andere","2002","weiblich","","","",""
"katholisch","2003","maennlich","3100","0.301458057058047","0.292747650148366","0.310168463967727"
"katholisch","2003","weiblich","3520","0.329593314995511","0.320999425736897","0.338187204254125"
"evangelisch","2003","maennlich","3291","0.324093797210267","0.31520982221498","0.332977772205554"
"evangelisch","2003","weiblich","4133","0.379697922848462","0.370825298062325","0.388570547634599"
"islamische Religionsgemeinschaft","2003","maennlich","","","",""
"islamische Religionsgemeinschaft","2003","weiblich","","","",""
"konfessionslos","2003","maennlich","3589","0.312592696330281","0.303793860061251","0.321391532599311"
"konfessionslos","2003","weiblich","3143","0.23697456644714","0.229200437076572","0.244748695817707"
"andere","2003","maennlich","682","0.0618554494014049","0.0572829609705737","0.066427937832236"
"andere","2003","weiblich","697","0.0537341957088871","0.049611670337931","0.0578567210798433"
"katholisch","2004","maennlich","","","",""
"katholisch","2004","weiblich","","","",""
"evangelisch","2004","maennlich","","","",""
"evangelisch","2004","weiblich","","","",""
"islamische Religionsgemeinschaft","2004","maennlich","","","",""
"islamische Religionsgemeinschaft","2004","weiblich","","","",""
"konfessionslos","2004","maennlich","","","",""
"konfessionslos","2004","weiblich","","","",""
"andere","2004","maennlich","","","",""
"andere","2004","weiblich","","","",""
"katholisch","2005","maennlich","","","",""
"katholisch","2005","weiblich","","","",""
"evangelisch","2005","maennlich","","","",""
"evangelisch","2005","weiblich","","","",""
"islamische Religionsgemeinschaft","2005","maennlich","","","",""
"islamische Religionsgemeinschaft","2005","weiblich","","","",""
"konfessionslos","2005","maennlich","","","",""
"konfessionslos","2005","weiblich","","","",""
"andere","2005","maennlich","","","",""
"andere","2005","weiblich","","","",""
"katholisch","2006","maennlich","","","",""
"katholisch","2006","weiblich","","","",""
"evangelisch","2006","maennlich","","","",""
"evangelisch","2006","weiblich","","","",""
"islamische Religionsgemeinschaft","2006","maennlich","","","",""
"islamische Religionsgemeinschaft","2006","weiblich","","","",""
"konfessionslos","2006","maennlich","","","",""
"konfessionslos","2006","weiblich","","","",""
"andere","2006","maennlich","","","",""
"andere","2006","weiblich","","","",""
"katholisch","2007","maennlich","2760","0.291284769927691","0.282288258308351","0.300281281547032"
"katholisch","2007","weiblich","3219","0.316924603475182","0.308140216711923","0.325708990238441"
"evangelisch","2007","maennlich","3181","0.324608744685515","0.31533751804722","0.33387997132381"
"evangelisch","2007","weiblich","3961","0.371601474088738","0.362478100846613","0.380724847330863"
"islamische Religionsgemeinschaft","2007","maennlich","322","0.0408446769589392","0.03692552974644","0.0447638241714385"
"islamische Religionsgemeinschaft","2007","weiblich","304","0.0313324659760256","0.028043314989132","0.0346216169629192"
"konfessionslos","2007","maennlich","3287","0.315706558399009","0.306503284140566","0.324909832657451"
"konfessionslos","2007","weiblich","2986","0.248145102572718","0.239990195429901","0.256300009715535"
"andere","2007","maennlich","248","0.0275552500288456","0.0243139889107686","0.0307965111469227"
"andere","2007","weiblich","307","0.0319963538873367","0.0286736786722201","0.0353190291024534"
"katholisch","2008","maennlich","","","",""
"katholisch","2008","weiblich","","","",""
"evangelisch","2008","maennlich","","","",""
"evangelisch","2008","weiblich","","","",""
"islamische Religionsgemeinschaft","2008","maennlich","","","",""
"islamische Religionsgemeinschaft","2008","weiblich","","","",""
"konfessionslos","2008","maennlich","","","",""
"konfessionslos","2008","weiblich","","","",""
"andere","2008","maennlich","","","",""
"andere","2008","weiblich","","","",""
"katholisch","2009","maennlich","","","",""
"katholisch","2009","weiblich","","","",""
"evangelisch","2009","maennlich","","","",""
"evangelisch","2009","weiblich","","","",""
"islamische Religionsgemeinschaft","2009","maennlich","","","",""
"islamische Religionsgemeinschaft","2009","weiblich","","","",""
"konfessionslos","2009","maennlich","","","",""
"konfessionslos","2009","weiblich","","","",""
"andere","2009","maennlich","","","",""
"andere","2009","weiblich","","","",""
"katholisch","2010","maennlich","","","",""
"katholisch","2010","weiblich","","","",""
"evangelisch","2010","maennlich","","","",""
"evangelisch","2010","weiblich","","","",""
"islamische Religionsgemeinschaft","2010","maennlich","","","",""
"islamische Religionsgemeinschaft","2010","weiblich","","","",""
"konfessionslos","2010","maennlich","","","",""
"konfessionslos","2010","weiblich","","","",""
"andere","2010","maennlich","","","",""
"andere","2010","weiblich","","","",""
"katholisch","2011","maennlich","2922","0.288585961050297","0.279838100777121","0.297333821323473"
"katholisch","2011","weiblich","3490","0.305708526450899","0.297427544168075","0.313989508733723"
"evangelisch","2011","maennlich","3284","0.316723750896623","0.307742403391843","0.325705098401404"
"evangelisch","2011","weiblich","4313","0.366384928996686","0.35772451379745","0.375045344195922"
"islamische Religionsgemeinschaft","2011","maennlich","249","0.0256487258389823","0.0225966614027268","0.0287007902752378"
"islamische Religionsgemeinschaft","2011","weiblich","256","0.0216690380100584","0.0190519406552135","0.0242861353649033"
"konfessionslos","2011","maennlich","3610","0.344344154016705","0.335170605799042","0.353517702234368"
"konfessionslos","2011","weiblich","3505","0.276807909027201","0.268765739104715","0.284850078949688"
"andere","2011","maennlich","241","0.0246974081973927","0.0217010177695705","0.0276937986252149"
"andere","2011","weiblich","326","0.0294295975151551","0.0263917718514663","0.0324674231788439"
"katholisch","2012","maennlich","","","",""
"katholisch","2012","weiblich","","","",""
"evangelisch","2012","maennlich","","","",""
"evangelisch","2012","weiblich","","","",""
"islamische Religionsgemeinschaft","2012","maennlich","","","",""
"islamische Religionsgemeinschaft","2012","weiblich","","","",""
"konfessionslos","2012","maennlich","","","",""
"konfessionslos","2012","weiblich","","","",""
"andere","2012","maennlich","","","",""
"andere","2012","weiblich","","","",""
"katholisch","2013","maennlich","509","0.202366981228565","0.186157710423117","0.218576252034013"
"katholisch","2013","weiblich","621","0.238620203103446","0.222179353675487","0.255061052531406"
"evangelisch","2013","maennlich","304","0.125754421510154","0.112377060614233","0.139131782406074"
"evangelisch","2013","weiblich","358","0.131753349992725","0.118707500511381","0.144799199474069"
"islamische Religionsgemeinschaft","2013","maennlich","545","0.28778991701887","0.269524317327254","0.306055516710487"
"islamische Religionsgemeinschaft","2013","weiblich","536","0.251940391828093","0.23519532153399","0.268685462122196"
"konfessionslos","2013","maennlich","627","0.268380854271394","0.250503206107841","0.286258502434947"
"konfessionslos","2013","weiblich","578","0.235903891092428","0.219527752004294","0.252280030180561"
"andere","2013","maennlich","375","0.115707825971016","0.102802429619694","0.128613222322339"
"andere","2013","weiblich","489","0.141782163983308","0.128327292918019","0.155237035048596"
"katholisch","2014","maennlich","","","",""
"katholisch","2014","weiblich","","","",""
"evangelisch","2014","maennlich","","","",""
"evangelisch","2014","weiblich","","","",""
"islamische Religionsgemeinschaft","2014","maennlich","","","",""
"islamische Religionsgemeinschaft","2014","weiblich","","","",""
"konfessionslos","2014","maennlich","","","",""
"konfessionslos","2014","weiblich","","","",""
"andere","2014","maennlich","","","",""
"andere","2014","weiblich","","","",""
"katholisch","2015","maennlich","3373","0.281061008753777","0.273120510681118","0.289001506826437"
"katholisch","2015","weiblich","4106","0.298185796521189","0.290736531694041","0.305635061348338"
"evangelisch","2015","maennlich","3317","0.287863771768981","0.27986586253531","0.295861681002652"
"evangelisch","2015","weiblich","4440","0.336100602883931","0.328408507803276","0.343792697964586"
"islamische Religionsgemeinschaft","2015","maennlich","709","0.0441612441277056","0.0405320149550307","0.0477904733003804"
"islamische Religionsgemeinschaft","2015","weiblich","727","0.0346030329093818","0.0316267863325534","0.0375792794862102"
"konfessionslos","2015","maennlich","4251","0.356403521098347","0.347943348017125","0.364863694179569"
"konfessionslos","2015","weiblich","4327","0.29553914778926","0.288109045354182","0.302969250224338"
"andere","2015","maennlich","661","0.0305104542511888","0.0274723873910778","0.0335485211112998"
"andere","2015","weiblich","887","0.0355714198962377","0.0325553285019776","0.0385875112904978"
"katholisch","2016","maennlich","91","0.0726242733260599","0.0629440884917311","0.0823044581603886"
"katholisch","2016","weiblich","77","0.159791922080196","0.14248569674457","0.177098147415822"
"evangelisch","2016","maennlich","68","0.0422094841986242","0.0347095893167966","0.0497093790804517"
"evangelisch","2016","weiblich","58","0.0762808759562213","0.0637434228756206","0.0888183290368219"
"islamische Religionsgemeinschaft","2016","maennlich","1964","0.61537379364827","0.597226836148861","0.633520751147678"
"islamische Religionsgemeinschaft","2016","weiblich","1145","0.416613606215082","0.393328598284864","0.4398986141453"
"konfessionslos","2016","maennlich","204","0.121739037849547","0.109542358403127","0.133935717295967"
"konfessionslos","2016","weiblich","109","0.151179353625523","0.134259923668857","0.16809878358219"
"andere","2016","maennlich","434","0.1480534109775","0.134806022239171","0.161300799715828"
"andere","2016","weiblich","333","0.196134242122977","0.177379979511716","0.214888504734239"
"katholisch","2017","maennlich","44","0.124018693005095","0.108369055218099","0.139668330792092"
"katholisch","2017","weiblich","41","0.204480549889191","0.182606565090978","0.226354534687405"
"evangelisch","2017","maennlich","61","0.0753052718162097","0.0627760188756111","0.0878345247568083"
"evangelisch","2017","weiblich","46","0.127266549124548","0.109191709697197","0.145341388551899"
"islamische Religionsgemeinschaft","2017","maennlich","1247","0.572697797070915","0.549209927965081","0.59618566617675"
"islamische Religionsgemeinschaft","2017","weiblich","939","0.409888940368429","0.383215656940549","0.436562223796309"
"konfessionslos","2017","maennlich","107","0.119613088791443","0.104205331200256","0.13502084638263"
"konfessionslos","2017","weiblich","65","0.110432514299024","0.0934338642556181","0.12743116434243"
"andere","2017","maennlich","245","0.108365149316336","0.0936063295153964","0.123123969117277"
"andere","2017","weiblich","215","0.147931446318808","0.128676424147892","0.167186468489724"
"katholisch","2018","maennlich","","","",""
"katholisch","2018","weiblich","","","",""
"evangelisch","2018","maennlich","","","",""
"evangelisch","2018","weiblich","","","",""
"islamische Religionsgemeinschaft","2018","maennlich","150","0.35975496199954","0.297730832169004","0.421779091830077"
"islamische Religionsgemeinschaft","2018","weiblich","180","0.555713239244365","0.494845781057121","0.61658069743161"
"konfessionslos","2018","maennlich","","","",""
"konfessionslos","2018","weiblich","","","",""
"andere","2018","maennlich","48","0.162242605783509","0.114596680614016","0.209888530953002"
"andere","2018","weiblich","44","0.0641789911980906","0.03415828205274","0.0941997003434413"
"katholisch","2019","maennlich","3084","0.255151751674963","0.248063835480851","0.262239667869075"
"katholisch","2019","weiblich","3558","0.275983025323256","0.268818540573094","0.283147510073419"
"evangelisch","2019","maennlich","3290","0.262813613085873","0.255657157534084","0.269970068637662"
"evangelisch","2019","weiblich","4128","0.31330243687363","0.305868240266533","0.320736633480726"
"islamische Religionsgemeinschaft","2019","maennlich","2214","0.056724822614581","0.0529639279256883","0.0604857173034738"
"islamische Religionsgemeinschaft","2019","weiblich","1615","0.0445560225481646","0.0412490908577282","0.0478629542386009"
"konfessionslos","2019","maennlich","5159","0.388475520815277","0.380550979236135","0.396400062394419"
"konfessionslos","2019","weiblich","4768","0.324420525962482","0.316917062227129","0.331923989697836"
"andere","2019","maennlich","785","0.036834291809306","0.033771890762476","0.0398966928561361"
"andere","2019","weiblich","885","0.0417379892924669","0.0385326256968878","0.044943352888046"
