year,migback,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Direct migration background,Yes,0.12432,324,2589,0.11161,0.13703
1996,Direct migration background,No,0.81380,2265,2589,0.79881,0.82880
1996,Indirect migration background,Yes,0.03046,55,542,0.01598,0.04494
1996,Indirect migration background,No,0.29914,487,542,0.26056,0.33772
1997,No migration background,Yes,0.10823,1196,9758,0.10207,0.11440
1997,No migration background,No,0.72256,8562,9758,0.71367,0.73144
1997,Direct migration background,Yes,0.11450,291,2454,0.10190,0.12710
1997,Direct migration background,No,0.82745,2163,2454,0.81250,0.84241
1997,Indirect migration background,Yes,0.03616,62,565,0.02075,0.05157
1997,Indirect migration background,No,0.32768,503,565,0.28894,0.36642
1998,No migration background,Yes,0.10740,1382,11225,0.10167,0.11312
1998,No migration background,No,0.72908,9843,11225,0.72086,0.73730
1998,Direct migration background,Yes,0.12519,303,2396,0.11194,0.13845
1998,Direct migration background,No,0.81872,2093,2396,0.80329,0.83415
1998,Indirect migration background,Yes,0.02481,48,597,0.01232,0.03729
1998,Indirect migration background,No,0.36437,549,597,0.32573,0.40301
1999,No migration background,Yes,0.10966,1340,10853,0.10378,0.11554
1999,No migration background,No,0.73076,9513,10853,0.72242,0.73911
1999,Direct migration background,Yes,0.12864,282,2198,0.11464,0.14263
1999,Direct migration background,No,0.81910,1916,2198,0.80300,0.83519
1999,Indirect migration background,Yes,0.03516,47,603,0.02044,0.04987
1999,Indirect migration background,No,0.35994,556,603,0.32160,0.39829
2000,No migration background,Yes,0.10400,2400,19944,0.09977,0.10824
2000,No migration background,No,0.73904,17544,19944,0.73294,0.74513
2000,Direct migration background,Yes,0.10333,373,3296,0.09293,0.11372
2000,Direct migration background,No,0.81194,2923,3296,0.79859,0.82528
2000,Indirect migration background,Yes,0.03778,82,814,0.02467,0.05088
2000,Indirect migration background,No,0.35010,732,814,0.31732,0.38289
2001,No migration background,Yes,0.10659,2195,18183,0.10210,0.11108
2001,No migration background,No,0.73856,15988,18183,0.73217,0.74495
2001,Direct migration background,Yes,0.10892,347,2906,0.09759,0.12025
2001,Direct migration background,No,0.82113,2559,2906,0.80719,0.83506
2001,Indirect migration background,Yes,0.03713,79,763,0.02370,0.05055
2001,Indirect migration background,No,0.33545,684,763,0.30193,0.36898
2002,No migration background,Yes,0.10831,2293,19422,0.10394,0.11268
2002,No migration background,No,0.73871,17129,19422,0.73253,0.74489
2002,Direct migration background,Yes,0.10986,324,2791,0.09825,0.12146
2002,Direct migration background,No,0.83158,2467,2791,0.81769,0.84546
2002,Indirect migration background,Yes,0.03396,83,766,0.02112,0.04680
2002,Indirect migration background,No,0.34033,683,766,0.30676,0.37391
2003,No migration background,Yes,0.10506,2239,18717,0.10067,0.10945
2003,No migration background,No,0.74314,16478,18717,0.73688,0.74940
2003,Direct migration background,Yes,0.12001,304,2596,0.10750,0.13251
2003,Direct migration background,No,0.81847,2292,2596,0.80364,0.83330
2003,Indirect migration background,Yes,0.03965,73,771,0.02586,0.05343
2003,Indirect migration background,No,0.34740,698,771,0.31377,0.38103
2004,No migration background,Yes,0.11071,2199,18240,0.10616,0.11527
2004,No migration background,No,0.74071,16041,18240,0.73435,0.74707
2004,Direct migration background,Yes,0.11582,300,2520,0.10333,0.12832
2004,Direct migration background,No,0.83791,2220,2520,0.82352,0.85230
2004,Indirect migration background,Yes,0.03603,77,790,0.02303,0.04904
2004,Indirect migration background,No,0.37986,713,790,0.34599,0.41372
2005,No migration background,Yes,0.10129,1960,17452,0.09681,0.10576
2005,No migration background,No,0.75124,15492,17452,0.74483,0.75765
2005,Direct migration background,Yes,0.10856,256,2357,0.09600,0.12112
2005,Direct migration background,No,0.85115,2101,2357,0.83678,0.86553
2005,Indirect migration background,Yes,0.04342,64,816,0.02943,0.05741
2005,Indirect migration background,No,0.41213,752,816,0.37833,0.44592
2006,No migration background,Yes,0.10740,2219,18745,0.10297,0.11184
2006,No migration background,No,0.74254,16526,18745,0.73628,0.74880
2006,Direct migration background,Yes,0.11231,262,2373,0.09961,0.12502
2006,Direct migration background,No,0.84664,2111,2373,0.83213,0.86114
2006,Indirect migration background,Yes,0.04008,71,811,0.02657,0.05359
2006,Indirect migration background,No,0.40871,740,811,0.37485,0.44256
2007,No migration background,Yes,0.10737,2134,17564,0.10279,0.11195
2007,No migration background,No,0.74122,15430,17564,0.73475,0.74770
2007,Direct migration background,Yes,0.10187,237,2113,0.08897,0.11477
2007,Direct migration background,No,0.85987,1876,2113,0.84507,0.87467
2007,Indirect migration background,Yes,0.04911,64,775,0.03389,0.06434
2007,Indirect migration background,No,0.41764,711,775,0.38289,0.45238
2008,No migration background,Yes,0.10269,1964,16590,0.09807,0.10731
2008,No migration background,No,0.74855,14626,16590,0.74195,0.75515
2008,Direct migration background,Yes,0.10124,213,1903,0.08768,0.11479
2008,Direct migration background,No,0.87465,1690,1903,0.85977,0.88954
2008,Indirect migration background,Yes,0.03344,68,757,0.02063,0.04626
2008,Indirect migration background,No,0.45221,689,757,0.41673,0.48769
2009,No migration background,Yes,0.11334,2034,15613,0.10837,0.11831
2009,No migration background,No,0.74062,13579,15613,0.73375,0.74750
2009,Direct migration background,Yes,0.11067,197,1657,0.09556,0.12578
2009,Direct migration background,No,0.86360,1460,1657,0.84707,0.88013
2009,Indirect migration background,Yes,0.04968,62,706,0.03364,0.06572
2009,Indirect migration background,No,0.48008,644,706,0.44320,0.51696
2010,No migration background,Yes,0.11188,2696,19881,0.10750,0.11627
2010,No migration background,No,0.74819,17185,19881,0.74216,0.75422
2010,Direct migration background,Yes,0.10950,431,2940,0.09821,0.12079
2010,Direct migration background,No,0.85924,2509,2940,0.84667,0.87181
2010,Indirect migration background,Yes,0.04533,144,1102,0.03304,0.05762
2010,Indirect migration background,No,0.42178,958,1102,0.39261,0.45095
2011,No migration background,Yes,0.11898,3274,23800,0.11486,0.12309
2011,No migration background,No,0.73510,20526,23800,0.72950,0.74071
2011,Direct migration background,Yes,0.12069,492,3297,0.10957,0.13181
2011,Direct migration background,No,0.84688,2805,3297,0.83459,0.85918
2011,Indirect migration background,Yes,0.03893,134,1255,0.02822,0.04963
2011,Indirect migration background,No,0.42137,1121,1255,0.39404,0.44870
2012,No migration background,Yes,0.12150,3159,23240,0.11730,0.12570
2012,No migration background,No,0.73285,20081,23240,0.72716,0.73854
2012,Direct migration background,Yes,0.12254,412,3125,0.11104,0.13404
2012,Direct migration background,No,0.84289,2713,3125,0.83013,0.85565
2012,Indirect migration background,Yes,0.06282,153,1215,0.04917,0.07647
2012,Indirect migration background,No,0.39793,1062,1215,0.37040,0.42547
2013,No migration background,Yes,0.12516,2968,21711,0.12076,0.12956
2013,No migration background,No,0.72687,18743,21711,0.72095,0.73280
2013,Direct migration background,Yes,0.07730,353,2796,0.06740,0.08720
2013,Direct migration background,No,0.48081,2443,2796,0.46229,0.49934
2013,Indirect migration background,Yes,0.03087,124,1145,0.02084,0.04089
2013,Indirect migration background,No,0.25075,1021,1145,0.22563,0.27587
2014,No migration background,Yes,0.11928,2605,20095,0.11480,0.12376
2014,No migration background,No,0.73877,17490,20095,0.73270,0.74484
2014,Direct migration background,Yes,0.13285,733,5219,0.12364,0.14205
2014,Direct migration background,No,0.83109,4486,5219,0.82093,0.84126
2014,Indirect migration background,Yes,0.05792,213,1715,0.04687,0.06898
2014,Indirect migration background,No,0.43036,1502,1715,0.40692,0.45380
2015,No migration background,Yes,0.12275,2539,19030,0.11809,0.12741
2015,No migration background,No,0.73553,16491,19030,0.72927,0.74180
2015,Direct migration background,Yes,0.11048,595,4406,0.10122,0.11974
2015,Direct migration background,No,0.72241,3811,4406,0.70918,0.73563
2015,Indirect migration background,Yes,0.05245,184,1556,0.04137,0.06353
2015,Indirect migration background,No,0.42707,1372,1556,0.40248,0.45165
2016,No migration background,Yes,0.11922,2345,17772,0.11445,0.12398
2016,No migration background,No,0.73846,15427,17772,0.73200,0.74492
2016,Direct migration background,Yes,0.11195,660,4876,0.10310,0.12080
2016,Direct migration background,No,0.79286,4216,4876,0.78148,0.80423
2016,Indirect migration background,Yes,0.05143,179,1472,0.04014,0.06271
2016,Indirect migration background,No,0.45219,1293,1472,0.42675,0.47762
2017,No migration background,Yes,0.12196,2735,20098,0.11744,0.12649
2017,No migration background,No,0.73496,17363,20098,0.72886,0.74106
2017,Direct migration background,Yes,0.13378,628,4672,0.12402,0.14354
2017,Direct migration background,No,0.75646,4044,4672,0.74415,0.76877
2017,Indirect migration background,Yes,0.05907,194,1612,0.04756,0.07058
2017,Indirect migration background,No,0.44248,1418,1612,0.41822,0.46673
2018,No migration background,Yes,0.12434,2633,19407,0.11970,0.12899
2018,No migration background,No,0.73639,16774,19407,0.73019,0.74259
2018,Direct migration background,Yes,0.11638,593,4495,0.10700,0.12575
2018,Direct migration background,No,0.77412,3902,4495,0.76189,0.78634
2018,Indirect migration background,Yes,0.06164,193,1617,0.04992,0.07337
2018,Indirect migration background,No,0.45368,1424,1617,0.42941,0.47796
2019,No migration background,Yes,0.12442,2729,20154,0.11987,0.12898
2019,No migration background,No,0.73221,17425,20154,0.72610,0.73833
2019,Direct migration background,Yes,0.10980,526,3954,0.10006,0.11955
2019,Direct migration background,No,0.78745,3428,3954,0.77470,0.80021
2019,Indirect migration background,Yes,0.06124,187,1568,0.04937,0.07311
2019,Indirect migration background,No,0.44859,1381,1568,0.42396,0.47322
2020,No migration background,Yes,0.12631,2524,18544,0.12152,0.13109
2020,No migration background,No,0.72826,16020,18544,0.72185,0.73466
2020,Direct migration background,Yes,0.11260,992,8281,0.10579,0.11940
2020,Direct migration background,No,0.81452,7289,8281,0.80615,0.82289
2020,Indirect migration background,Yes,0.05866,155,1533,0.04689,0.07042
2020,Indirect migration background,No,0.44120,1378,1533,0.41634,0.46607
2021,No migration background,Yes,0.11180,1639,13188,0.10642,0.11718
2021,No migration background,No,0.74210,11549,13188,0.73464,0.74957
2021,Direct migration background,Yes,0.09348,343,3038,0.08313,0.10383
2021,Direct migration background,No,0.77571,2695,3038,0.76088,0.79055
2021,Indirect migration background,Yes,0.04896,92,939,0.03515,0.06277
2021,Indirect migration background,No,0.42801,847,939,0.39634,0.45967
