year,sex,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2018,male,Yes,0.10553,1471,11740,0.09997,0.11109
2018,male,No,0.71747,10269,11740,0.70933,0.72561
2018,female,Yes,0.12898,1948,13779,0.12338,0.13458
2018,female,No,0.71334,11831,13779,0.70579,0.72089
2019,male,Yes,0.10518,1565,12246,0.09975,0.11061
2019,male,No,0.71424,10681,12246,0.70624,0.72225
2019,female,Yes,0.12707,1874,13423,0.12144,0.13270
2019,female,No,0.71165,11549,13423,0.70399,0.71931
2020,male,Yes,0.11148,1662,13935,0.10626,0.11671
2020,male,No,0.71394,12273,13935,0.70643,0.72144
2020,female,Yes,0.12503,2007,14415,0.11963,0.13043
2020,female,No,0.71327,12408,14415,0.70589,0.72065
2021,male,Yes,0.09679,970,8067,0.09034,0.10325
2021,male,No,0.71445,7097,8067,0.70460,0.72431
2021,female,Yes,0.10989,1104,9091,0.10346,0.11632
2021,female,No,0.71964,7987,9091,0.71040,0.72887
