year,age_gr,sampreg,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,30-45 y.,West,Yes,0.09966,288,2799,0.08856,0.11076
1994,30-45 y.,West,No,0.89724,2511,2799,0.88598,0.90849
1994,30-45 y.,East,Yes,0.07500,109,1341,0.06090,0.08911
1994,30-45 y.,East,No,0.92386,1232,1341,0.90966,0.93806
1994,46-65 y.,West,Yes,0.12614,323,2687,0.11359,0.13870
1994,46-65 y.,West,No,0.86612,2364,2687,0.85324,0.87900
1994,46-65 y.,East,Yes,0.10104,118,1188,0.08390,0.11819
1994,46-65 y.,East,No,0.89770,1070,1188,0.88046,0.91494
1994,66 and older,West,Yes,0.23380,238,1087,0.20862,0.25897
1994,66 and older,West,No,0.75609,849,1087,0.73055,0.78163
1994,66 and older,East,Yes,0.20136,78,397,0.16187,0.24086
1994,66 and older,East,No,0.79493,319,397,0.75517,0.83470
1995,17-29 y.,West,Yes,0.10662,269,2512,0.09455,0.11869
1995,17-29 y.,West,No,0.88983,2243,2512,0.87758,0.90207
1995,17-29 y.,East,Yes,0.10697,93,827,0.08589,0.12804
1995,17-29 y.,East,No,0.88461,734,827,0.86282,0.90640
1995,30-45 y.,West,Yes,0.09507,306,3145,0.08482,0.10532
1995,30-45 y.,West,No,0.89837,2839,3145,0.88781,0.90893
1995,30-45 y.,East,Yes,0.09018,128,1276,0.07446,0.10591
1995,30-45 y.,East,No,0.90563,1148,1276,0.88958,0.92168
1995,46-65 y.,West,Yes,0.12652,351,2772,0.11414,0.13890
1995,46-65 y.,West,No,0.86547,2421,2772,0.85276,0.87817
1995,46-65 y.,East,Yes,0.10673,123,1168,0.08901,0.12444
1995,46-65 y.,East,No,0.88766,1045,1168,0.86954,0.90577
1995,66 and older,West,Yes,0.20053,213,1111,0.17698,0.22409
1995,66 and older,West,No,0.79172,898,1111,0.76783,0.81561
1995,66 and older,East,Yes,0.20383,84,404,0.16450,0.24316
1995,66 and older,East,No,0.79224,320,404,0.75263,0.83186
1996,17-29 y.,West,Yes,0.08835,232,2323,0.07681,0.09990
1996,17-29 y.,West,No,0.90775,2091,2323,0.89598,0.91952
1996,17-29 y.,East,Yes,0.13260,98,833,0.10955,0.15564
1996,17-29 y.,East,No,0.86679,735,833,0.84370,0.88988
1996,30-45 y.,West,Yes,0.09829,326,3168,0.08792,0.10866
1996,30-45 y.,West,No,0.89917,2842,3168,0.88868,0.90966
1996,30-45 y.,East,Yes,0.09952,130,1256,0.08296,0.11608
1996,30-45 y.,East,No,0.89548,1126,1256,0.87855,0.91240
1996,46-65 y.,West,Yes,0.12394,343,2713,0.11154,0.13634
1996,46-65 y.,West,No,0.86404,2370,2713,0.85114,0.87694
1996,46-65 y.,East,Yes,0.11771,140,1172,0.09926,0.13617
1996,46-65 y.,East,No,0.88229,1032,1172,0.86383,0.90074
1996,66 and older,West,Yes,0.21268,235,1122,0.18873,0.23664
1996,66 and older,West,No,0.77813,887,1122,0.75380,0.80245
1996,66 and older,East,Yes,0.21590,84,417,0.17636,0.25544
1996,66 and older,East,No,0.78258,333,417,0.74294,0.82222
1997,17-29 y.,West,Yes,0.10343,229,2184,0.09066,0.11621
1997,17-29 y.,West,No,0.89274,1955,2184,0.87976,0.90572
1997,17-29 y.,East,Yes,0.11428,89,832,0.09264,0.13591
1997,17-29 y.,East,No,0.88349,743,832,0.86168,0.90530
1997,30-45 y.,West,Yes,0.10213,340,3162,0.09158,0.11269
1997,30-45 y.,West,No,0.89376,2822,3162,0.88302,0.90451
1997,30-45 y.,East,Yes,0.08899,106,1186,0.07278,0.10520
1997,30-45 y.,East,No,0.90939,1080,1186,0.89304,0.92573
1997,46-65 y.,West,Yes,0.11914,323,2666,0.10684,0.13144
1997,46-65 y.,West,No,0.87637,2343,2666,0.86387,0.88886
1997,46-65 y.,East,Yes,0.14069,152,1173,0.12079,0.16060
1997,46-65 y.,East,No,0.85518,1021,1173,0.83504,0.87533
1997,66 and older,West,Yes,0.20589,236,1139,0.18240,0.22939
1997,66 and older,West,No,0.78342,903,1139,0.75949,0.80735
1997,66 and older,East,Yes,0.17203,74,435,0.13652,0.20754
1997,66 and older,East,No,0.82545,361,435,0.78973,0.86116
1998,17-29 y.,West,Yes,0.10345,242,2290,0.09097,0.11592
1998,17-29 y.,West,No,0.89405,2048,2290,0.88144,0.90666
1998,17-29 y.,East,Yes,0.11404,96,870,0.09291,0.13518
1998,17-29 y.,East,No,0.88596,774,870,0.86482,0.90709
1998,30-45 y.,West,Yes,0.10101,366,3573,0.09113,0.11090
1998,30-45 y.,West,No,0.89489,3207,3573,0.88483,0.90495
1998,30-45 y.,East,Yes,0.10100,126,1248,0.08427,0.11772
1998,30-45 y.,East,No,0.89900,1122,1248,0.88228,0.91573
1998,46-65 y.,West,Yes,0.12092,375,3116,0.10947,0.13237
1998,46-65 y.,West,No,0.87711,2741,3116,0.86558,0.88864
1998,46-65 y.,East,Yes,0.13461,165,1270,0.11584,0.15339
1998,46-65 y.,East,No,0.86345,1105,1270,0.84456,0.88234
1998,66 and older,West,Yes,0.19390,267,1379,0.17302,0.21477
1998,66 and older,West,No,0.80554,1112,1379,0.78464,0.82643
1998,66 and older,East,Yes,0.19201,96,472,0.15643,0.22758
1998,66 and older,East,No,0.79772,376,472,0.76144,0.83400
1999,17-29 y.,West,Yes,0.09117,191,2137,0.07897,0.10338
1999,17-29 y.,West,No,0.90750,1946,2137,0.89521,0.91978
1999,17-29 y.,East,Yes,0.10372,90,834,0.08301,0.12442
1999,17-29 y.,East,No,0.89628,744,834,0.87558,0.91699
1999,30-45 y.,West,Yes,0.10102,355,3486,0.09102,0.11103
1999,30-45 y.,West,No,0.89794,3131,3486,0.88789,0.90799
1999,30-45 y.,East,Yes,0.10254,121,1225,0.08554,0.11953
1999,30-45 y.,East,No,0.89746,1104,1225,0.88047,0.91446
1999,46-65 y.,West,Yes,0.13265,393,2939,0.12039,0.14492
1999,46-65 y.,West,No,0.86435,2546,2939,0.85197,0.87674
1999,46-65 y.,East,Yes,0.13210,164,1237,0.11322,0.15098
1999,46-65 y.,East,No,0.86339,1073,1237,0.84424,0.88253
1999,66 and older,West,Yes,0.19861,251,1313,0.17702,0.22020
1999,66 and older,West,No,0.79922,1062,1313,0.77754,0.82090
1999,66 and older,East,Yes,0.21639,104,483,0.17963,0.25315
1999,66 and older,East,No,0.78093,379,483,0.74401,0.81786
2000,17-29 y.,West,Yes,0.09000,318,3365,0.08033,0.09967
2000,17-29 y.,West,No,0.90474,3047,3365,0.89482,0.91466
2000,17-29 y.,East,Yes,0.10920,137,1196,0.09151,0.12688
2000,17-29 y.,East,No,0.88118,1059,1196,0.86284,0.89953
2000,30-45 y.,West,Yes,0.08961,582,6332,0.08257,0.09665
2000,30-45 y.,West,No,0.90841,5750,6332,0.90131,0.91552
2000,30-45 y.,East,Yes,0.08408,158,1818,0.07132,0.09684
2000,30-45 y.,East,No,0.91249,1660,1818,0.89950,0.92549
2000,46-65 y.,West,Yes,0.11893,713,5805,0.11060,0.12726
2000,46-65 y.,West,No,0.87835,5092,5805,0.86995,0.88676
2000,46-65 y.,East,Yes,0.13513,253,1946,0.11993,0.15032
2000,46-65 y.,East,No,0.86189,1693,1946,0.84656,0.87722
2000,66 and older,West,Yes,0.19396,529,2716,0.17909,0.20883
2000,66 and older,West,No,0.80390,2187,2716,0.78896,0.81883
2000,66 and older,East,Yes,0.18834,165,876,0.16243,0.21425
2000,66 and older,East,No,0.81166,711,876,0.78575,0.83757
2001,17-29 y.,West,Yes,0.08892,285,2984,0.07870,0.09913
2001,17-29 y.,West,No,0.90709,2699,2984,0.89667,0.91751
2001,17-29 y.,East,Yes,0.10856,119,1103,0.09020,0.12693
2001,17-29 y.,East,No,0.89073,984,1103,0.87231,0.90915
2001,30-45 y.,West,Yes,0.09479,552,5673,0.08717,0.10241
2001,30-45 y.,West,No,0.90303,5121,5673,0.89533,0.91073
2001,30-45 y.,East,Yes,0.08803,148,1643,0.07432,0.10173
2001,30-45 y.,East,No,0.90909,1495,1643,0.89518,0.92299
2001,46-65 y.,West,Yes,0.12352,633,5227,0.11460,0.13244
2001,46-65 y.,West,No,0.87097,4594,5227,0.86188,0.88006
2001,46-65 y.,East,Yes,0.12142,227,1836,0.10647,0.13636
2001,46-65 y.,East,No,0.87301,1609,1836,0.85777,0.88824
2001,66 and older,West,Yes,0.20082,509,2548,0.18527,0.21638
2001,66 and older,West,No,0.79438,2039,2548,0.77869,0.81008
2001,66 and older,East,Yes,0.17626,148,838,0.15045,0.20208
2001,66 and older,East,No,0.82098,690,838,0.79501,0.84695
2002,17-29 y.,West,Yes,0.08865,277,3059,0.07857,0.09872
2002,17-29 y.,West,No,0.90720,2782,3059,0.89691,0.91748
2002,17-29 y.,East,Yes,0.08963,89,1074,0.07254,0.10673
2002,17-29 y.,East,No,0.90883,985,1074,0.89161,0.92605
2002,30-45 y.,West,Yes,0.08446,497,5843,0.07733,0.09159
2002,30-45 y.,West,No,0.91245,5346,5843,0.90520,0.91970
2002,30-45 y.,East,Yes,0.09810,148,1583,0.08345,0.11276
2002,30-45 y.,East,No,0.90176,1435,1583,0.88710,0.91643
2002,46-65 y.,West,Yes,0.12352,723,5961,0.11517,0.13188
2002,46-65 y.,West,No,0.87421,5238,5961,0.86579,0.88263
2002,46-65 y.,East,Yes,0.12227,227,1878,0.10745,0.13709
2002,46-65 y.,East,No,0.87515,1651,1878,0.86020,0.89011
2002,66 and older,West,Yes,0.21165,555,2694,0.19622,0.22708
2002,66 and older,West,No,0.78409,2139,2694,0.76855,0.79963
2002,66 and older,East,Yes,0.21349,184,887,0.18651,0.24048
2002,66 and older,East,No,0.78414,703,887,0.75705,0.81123
2003,17-29 y.,West,Yes,0.08735,255,2923,0.07711,0.09759
2003,17-29 y.,West,No,0.90662,2668,2923,0.89607,0.91717
2003,17-29 y.,East,Yes,0.10184,101,1066,0.08367,0.12000
2003,17-29 y.,East,No,0.89536,965,1066,0.87698,0.91375
2003,30-45 y.,West,Yes,0.09250,520,5429,0.08480,0.10021
2003,30-45 y.,West,No,0.90241,4909,5429,0.89451,0.91030
2003,30-45 y.,East,Yes,0.09390,148,1485,0.07906,0.10875
2003,30-45 y.,East,No,0.90351,1337,1485,0.88849,0.91854
2003,46-65 y.,West,Yes,0.12105,677,5674,0.11256,0.12954
2003,46-65 y.,West,No,0.87361,4997,5674,0.86496,0.88225
2003,46-65 y.,East,Yes,0.13418,233,1871,0.11873,0.14963
2003,46-65 y.,East,No,0.86168,1638,1871,0.84603,0.87733
2003,66 and older,West,Yes,0.18895,508,2728,0.17426,0.20365
2003,66 and older,West,No,0.80477,2220,2728,0.78989,0.81964
2003,66 and older,East,Yes,0.19493,174,908,0.16915,0.22072
2003,66 and older,East,No,0.80397,734,908,0.77813,0.82981
2004,17-29 y.,West,Yes,0.06484,207,2869,0.05583,0.07385
2004,17-29 y.,West,No,0.92839,2662,2869,0.91895,0.93782
2004,17-29 y.,East,Yes,0.08810,96,1072,0.07113,0.10508
2004,17-29 y.,East,No,0.91140,976,1072,0.89438,0.92842
2004,30-45 y.,West,Yes,0.09142,490,5139,0.08354,0.09930
2004,30-45 y.,West,No,0.90437,4649,5139,0.89633,0.91241
2004,30-45 y.,East,Yes,0.10245,129,1374,0.08641,0.11849
2004,30-45 y.,East,No,0.89755,1245,1374,0.88151,0.91359
2004,46-65 y.,West,Yes,0.12497,671,5525,0.11625,0.13369
2004,46-65 y.,West,No,0.87153,4854,5525,0.86270,0.88035
2004,46-65 y.,East,Yes,0.11933,213,1821,0.10444,0.13422
2004,46-65 y.,East,No,0.87538,1608,1821,0.86020,0.89055
2004,66 and older,West,Yes,0.22233,583,2800,0.20693,0.23774
2004,66 and older,West,No,0.77379,2217,2800,0.75829,0.78929
2004,66 and older,East,Yes,0.20687,187,950,0.18110,0.23264
2004,66 and older,East,No,0.79100,763,950,0.76513,0.81687
2005,17-29 y.,West,Yes,0.06722,186,2799,0.05794,0.07650
2005,17-29 y.,West,No,0.92704,2613,2799,0.91740,0.93668
2005,17-29 y.,East,Yes,0.08653,74,1012,0.06920,0.10386
2005,17-29 y.,East,No,0.90212,938,1012,0.88381,0.92044
2005,30-45 y.,West,Yes,0.08933,399,4781,0.08125,0.09742
2005,30-45 y.,West,No,0.90790,4382,4781,0.89971,0.91610
2005,30-45 y.,East,Yes,0.10799,138,1288,0.09104,0.12495
2005,30-45 y.,East,No,0.87985,1150,1288,0.86209,0.89761
2005,46-65 y.,West,Yes,0.10603,538,5234,0.09769,0.11437
2005,46-65 y.,West,No,0.88894,4696,5234,0.88043,0.89745
2005,46-65 y.,East,Yes,0.14334,235,1756,0.12695,0.15974
2005,46-65 y.,East,No,0.84101,1521,1756,0.82390,0.85812
2005,66 and older,West,Yes,0.19593,546,2798,0.18122,0.21064
2005,66 and older,West,No,0.79887,2252,2798,0.78401,0.81372
2005,66 and older,East,Yes,0.17405,164,957,0.15001,0.19808
2005,66 and older,East,No,0.82420,793,957,0.80007,0.84833
2006,17-29 y.,West,Yes,0.07567,209,2713,0.06572,0.08562
2006,17-29 y.,West,No,0.86679,2504,2713,0.85400,0.87958
2006,17-29 y.,East,Yes,0.08345,85,961,0.06595,0.10094
2006,17-29 y.,East,No,0.83986,876,961,0.81666,0.86306
2006,30-45 y.,West,Yes,0.08222,414,4961,0.07458,0.08987
2006,30-45 y.,West,No,0.91687,4547,4961,0.90918,0.92455
2006,30-45 y.,East,Yes,0.08157,105,1314,0.06676,0.09637
2006,30-45 y.,East,No,0.90952,1209,1314,0.89400,0.92504
2006,46-65 y.,West,Yes,0.11333,598,5696,0.10510,0.12156
2006,46-65 y.,West,No,0.88477,5098,5696,0.87648,0.89307
2006,46-65 y.,East,Yes,0.13106,238,1866,0.11575,0.14638
2006,46-65 y.,East,No,0.86595,1628,1866,0.85048,0.88141
2006,66 and older,West,Yes,0.21289,675,3294,0.19891,0.22687
2006,66 and older,West,No,0.78239,2619,3294,0.76830,0.79648
2006,66 and older,East,Yes,0.22857,228,1124,0.20401,0.25313
2006,66 and older,East,No,0.77026,896,1124,0.74566,0.79487
2007,17-29 y.,West,Yes,0.08081,194,2486,0.07009,0.09152
2007,17-29 y.,West,No,0.83250,2292,2486,0.81782,0.84719
2007,17-29 y.,East,Yes,0.08064,87,897,0.06281,0.09847
2007,17-29 y.,East,No,0.83758,810,897,0.81343,0.86173
2007,30-45 y.,West,Yes,0.08581,374,4483,0.07761,0.09401
2007,30-45 y.,West,No,0.91259,4109,4483,0.90432,0.92086
2007,30-45 y.,East,Yes,0.08344,104,1215,0.06789,0.09900
2007,30-45 y.,East,No,0.90552,1111,1215,0.88907,0.92198
2007,46-65 y.,West,Yes,0.10422,567,5279,0.09598,0.11247
2007,46-65 y.,West,No,0.89149,4712,5279,0.88310,0.89988
2007,46-65 y.,East,Yes,0.11826,207,1765,0.10319,0.13333
2007,46-65 y.,East,No,0.87884,1558,1765,0.86361,0.89407
2007,66 and older,West,Yes,0.21455,670,3211,0.20035,0.22875
2007,66 and older,West,No,0.78080,2541,3211,0.76649,0.79512
2007,66 and older,East,Yes,0.21078,232,1116,0.18684,0.23472
2007,66 and older,East,No,0.78244,884,1116,0.75823,0.80666
2008,17-29 y.,West,Yes,0.05967,163,2323,0.05003,0.06930
2008,17-29 y.,West,No,0.85707,2160,2323,0.84283,0.87130
2008,17-29 y.,East,Yes,0.08223,71,816,0.06337,0.10109
2008,17-29 y.,East,No,0.86751,745,816,0.84424,0.89079
2008,30-45 y.,West,Yes,0.07836,334,4015,0.07005,0.08668
2008,30-45 y.,West,No,0.91890,3681,4015,0.91045,0.92734
2008,30-45 y.,East,Yes,0.07606,86,1146,0.06071,0.09142
2008,30-45 y.,East,No,0.92299,1060,1146,0.90755,0.93843
2008,46-65 y.,West,Yes,0.10609,523,5000,0.09755,0.11462
2008,46-65 y.,West,No,0.88902,4477,5000,0.88032,0.89773
2008,46-65 y.,East,Yes,0.12550,214,1674,0.10963,0.14138
2008,46-65 y.,East,No,0.86811,1460,1674,0.85189,0.88432
2008,66 and older,West,Yes,0.19733,620,3164,0.18346,0.21120
2008,66 and older,West,No,0.79507,2544,3164,0.78100,0.80914
2008,66 and older,East,Yes,0.21585,234,1112,0.19166,0.24004
2008,66 and older,East,No,0.77747,878,1112,0.75301,0.80193
2009,17-29 y.,West,Yes,0.07026,161,2125,0.05939,0.08113
2009,17-29 y.,West,No,0.85340,1964,2125,0.83836,0.86845
2009,17-29 y.,East,Yes,0.08607,62,724,0.06562,0.10651
2009,17-29 y.,East,No,0.88038,662,724,0.85673,0.90404
2009,30-45 y.,West,Yes,0.09754,349,3605,0.08785,0.10723
2009,30-45 y.,West,No,0.90014,3256,3605,0.89035,0.90993
2009,30-45 y.,East,Yes,0.08179,93,1063,0.06530,0.09827
2009,30-45 y.,East,No,0.91701,970,1063,0.90042,0.93361
2009,46-65 y.,West,Yes,0.11473,537,4680,0.10559,0.12386
2009,46-65 y.,West,No,0.88312,4143,4680,0.87392,0.89233
2009,46-65 y.,East,Yes,0.12569,217,1628,0.10958,0.14180
2009,46-65 y.,East,No,0.86313,1411,1628,0.84643,0.87983
2009,66 and older,West,Yes,0.21600,640,3038,0.20137,0.23064
2009,66 and older,West,No,0.78105,2398,3038,0.76635,0.79576
2009,66 and older,East,Yes,0.22003,234,1113,0.19568,0.24438
2009,66 and older,East,No,0.77509,879,1113,0.75055,0.79963
2010,17-29 y.,West,Yes,0.06385,371,2982,0.05507,0.07262
2010,17-29 y.,West,No,0.87198,2611,2982,0.85999,0.88397
2010,17-29 y.,East,Yes,0.09849,131,929,0.07932,0.11766
2010,17-29 y.,East,No,0.86944,798,929,0.84776,0.89112
2010,30-45 y.,West,Yes,0.08820,910,7269,0.08168,0.09472
2010,30-45 y.,West,No,0.91064,6359,7269,0.90408,0.91720
2010,30-45 y.,East,Yes,0.08630,208,1794,0.07330,0.09930
2010,30-45 y.,East,No,0.91242,1586,1794,0.89933,0.92550
2010,46-65 y.,West,Yes,0.12260,609,5249,0.11373,0.13148
2010,46-65 y.,West,No,0.87517,4640,5249,0.86622,0.88411
2010,46-65 y.,East,Yes,0.10777,196,1684,0.09295,0.12258
2010,46-65 y.,East,No,0.89126,1488,1684,0.87639,0.90613
2010,66 and older,West,Yes,0.20894,610,2958,0.19429,0.22360
2010,66 and older,West,No,0.78852,2348,2958,0.77381,0.80324
2010,66 and older,East,Yes,0.23097,236,1058,0.20556,0.25638
2010,66 and older,East,No,0.76848,822,1058,0.74305,0.79391
2011,17-29 y.,West,Yes,0.08235,373,3238,0.07288,0.09182
2011,17-29 y.,West,No,0.83993,2865,3238,0.82730,0.85256
2011,17-29 y.,East,Yes,0.07792,105,934,0.06072,0.09512
2011,17-29 y.,East,No,0.87639,829,934,0.85527,0.89751
2011,30-45 y.,West,Yes,0.10697,971,7921,0.10017,0.11378
2011,30-45 y.,West,No,0.89284,6950,7921,0.88602,0.89965
2011,30-45 y.,East,Yes,0.07886,231,2007,0.06707,0.09066
2011,30-45 y.,East,No,0.92114,1776,2007,0.90934,0.93293
2011,46-65 y.,West,Yes,0.12347,842,7020,0.11577,0.13116
2011,46-65 y.,West,No,0.87533,6178,7020,0.86760,0.88306
2011,46-65 y.,East,Yes,0.13167,294,2098,0.11720,0.14614
2011,46-65 y.,East,No,0.86833,1804,2098,0.85386,0.88280
2011,66 and older,West,Yes,0.20746,785,3865,0.19467,0.22024
2011,66 and older,West,No,0.79033,3080,3865,0.77749,0.80316
2011,66 and older,East,Yes,0.24968,299,1269,0.22586,0.27350
2011,66 and older,East,No,0.74613,970,1269,0.72217,0.77008
2012,17-29 y.,West,Yes,0.09073,318,3137,0.08067,0.10078
2012,17-29 y.,West,No,0.83103,2819,3137,0.81791,0.84414
2012,17-29 y.,East,Yes,0.09499,107,832,0.07506,0.11493
2012,17-29 y.,East,No,0.86403,725,832,0.84072,0.88733
2012,30-45 y.,West,Yes,0.09745,762,7194,0.09060,0.10430
2012,30-45 y.,West,No,0.90047,6432,7194,0.89356,0.90739
2012,30-45 y.,East,Yes,0.10462,207,1868,0.09074,0.11850
2012,30-45 y.,East,No,0.89387,1661,1868,0.87990,0.90784
2012,46-65 y.,West,Yes,0.12724,897,7176,0.11953,0.13495
2012,46-65 y.,West,No,0.86875,6279,7176,0.86094,0.87657
2012,46-65 y.,East,Yes,0.14832,292,2180,0.13340,0.16325
2012,46-65 y.,East,No,0.84800,1888,2180,0.83293,0.86308
2012,66 and older,West,Yes,0.21839,860,3914,0.20544,0.23133
2012,66 and older,West,No,0.77901,3054,3914,0.76600,0.79201
2012,66 and older,East,Yes,0.23100,281,1279,0.20789,0.25411
2012,66 and older,East,No,0.76650,998,1279,0.74330,0.78969
2013,17-29 y.,West,Yes,0.07343,321,2926,0.06398,0.08288
2013,17-29 y.,West,No,0.67538,2605,2926,0.65841,0.69234
2013,17-29 y.,East,Yes,0.08631,86,708,0.06561,0.10701
2013,17-29 y.,East,No,0.80690,622,708,0.77780,0.83600
2013,30-45 y.,West,Yes,0.09534,687,6335,0.08810,0.10257
2013,30-45 y.,West,No,0.72926,5648,6335,0.71832,0.74020
2013,30-45 y.,East,Yes,0.09466,196,1712,0.08079,0.10853
2013,30-45 y.,East,No,0.84924,1516,1712,0.83228,0.86619
2013,46-65 y.,West,Yes,0.11723,827,6934,0.10966,0.12480
2013,46-65 y.,West,No,0.82366,6107,6934,0.81469,0.83263
2013,46-65 y.,East,Yes,0.13474,264,2086,0.12009,0.14940
2013,46-65 y.,East,No,0.84426,1822,2086,0.82869,0.85982
2013,66 and older,West,Yes,0.22419,813,3731,0.21081,0.23757
2013,66 and older,West,No,0.76751,2918,3731,0.75395,0.78107
2013,66 and older,East,Yes,0.20979,251,1220,0.18693,0.23265
2013,66 and older,East,No,0.78408,969,1220,0.76098,0.80717
2014,17-29 y.,West,Yes,0.09319,384,3577,0.08366,0.10272
2014,17-29 y.,West,No,0.83259,3193,3577,0.82035,0.84483
2014,17-29 y.,East,Yes,0.09405,97,707,0.07252,0.11558
2014,17-29 y.,East,No,0.85255,610,707,0.82639,0.87870
2014,30-45 y.,West,Yes,0.10115,738,6886,0.09402,0.10827
2014,30-45 y.,West,No,0.89811,6148,6886,0.89096,0.90525
2014,30-45 y.,East,Yes,0.10112,182,1623,0.08644,0.11579
2014,30-45 y.,East,No,0.89729,1441,1623,0.88251,0.91206
