year,quintil_oecd,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1988,1st Quintile,No,0.66013,1695,1958,0.63915,0.68112
1988,2nd Quintile,Yes,0.11079,260,1980,0.09696,0.12462
1988,2nd Quintile,No,0.67336,1720,1980,0.65270,0.69403
1988,3rd Quintile,Yes,0.09473,221,1997,0.08188,0.10758
1988,3rd Quintile,No,0.73113,1776,1997,0.71167,0.75058
1988,4th Quintile,Yes,0.09444,228,2070,0.08183,0.10704
1988,4th Quintile,No,0.77517,1842,2070,0.75718,0.79315
1988,5th Quintile,Yes,0.10804,228,1931,0.09419,0.12189
1988,5th Quintile,No,0.79807,1703,1931,0.78016,0.81598
1989,1st Quintile,Yes,0.10945,238,1905,0.09543,0.12347
1989,1st Quintile,No,0.66679,1667,1905,0.64562,0.68797
1989,2nd Quintile,Yes,0.11505,264,1955,0.10090,0.12920
1989,2nd Quintile,No,0.65977,1691,1955,0.63877,0.68078
1989,3rd Quintile,Yes,0.10186,226,1889,0.08822,0.11551
1989,3rd Quintile,No,0.72604,1663,1889,0.70592,0.74616
1989,4th Quintile,Yes,0.10559,248,2032,0.09222,0.11895
1989,4th Quintile,No,0.78471,1784,2032,0.76684,0.80259
1989,5th Quintile,Yes,0.08218,169,1848,0.06965,0.09470
1989,5th Quintile,No,0.81958,1679,1848,0.80205,0.83712
1991,1st Quintile,Yes,0.14623,291,1830,0.13004,0.16243
1991,1st Quintile,No,0.62549,1539,1830,0.60331,0.64768
1991,2nd Quintile,Yes,0.10050,237,1882,0.08691,0.11409
1991,2nd Quintile,No,0.67395,1645,1882,0.65277,0.69513
1991,3rd Quintile,Yes,0.09991,231,1895,0.08641,0.11342
1991,3rd Quintile,No,0.70512,1664,1895,0.68458,0.72565
1991,4th Quintile,Yes,0.10279,210,1938,0.08927,0.11631
1991,4th Quintile,No,0.77351,1728,1938,0.75487,0.79215
1991,5th Quintile,Yes,0.10077,200,1833,0.08698,0.11455
1991,5th Quintile,No,0.79450,1633,1833,0.77600,0.81300
1992,1st Quintile,Yes,0.11453,346,2770,0.10267,0.12639
1992,1st Quintile,No,0.66921,2424,2770,0.65169,0.68674
1992,2nd Quintile,Yes,0.08778,293,2837,0.07736,0.09819
1992,2nd Quintile,No,0.67156,2544,2837,0.65427,0.68885
1992,3rd Quintile,Yes,0.10631,299,2658,0.09459,0.11803
1992,3rd Quintile,No,0.69759,2359,2658,0.68013,0.71506
1992,4th Quintile,Yes,0.09341,296,2623,0.08227,0.10455
1992,4th Quintile,No,0.76781,2327,2623,0.75165,0.78397
1992,5th Quintile,Yes,0.09758,247,2370,0.08563,0.10953
1992,5th Quintile,No,0.79294,2123,2370,0.77663,0.80926
1994,1st Quintile,Yes,0.12775,353,2507,0.11468,0.14082
1994,1st Quintile,No,0.64398,2154,2507,0.62524,0.66273
1994,2nd Quintile,Yes,0.10061,307,2689,0.08924,0.11198
1994,2nd Quintile,No,0.67156,2382,2689,0.65380,0.68931
1994,3rd Quintile,Yes,0.09986,307,2693,0.08854,0.11119
1994,3rd Quintile,No,0.70268,2386,2693,0.68541,0.71994
1994,4th Quintile,Yes,0.10053,279,2540,0.08884,0.11223
1994,4th Quintile,No,0.75034,2261,2540,0.73350,0.76717
1994,5th Quintile,Yes,0.10219,250,2397,0.09006,0.11432
1994,5th Quintile,No,0.79148,2147,2397,0.77522,0.80775
1995,1st Quintile,Yes,0.11694,356,2526,0.10440,0.12947
1995,1st Quintile,No,0.62437,2170,2526,0.60548,0.64326
1995,2nd Quintile,Yes,0.10271,341,2851,0.09157,0.11386
1995,2nd Quintile,No,0.67986,2510,2851,0.66273,0.69698
1995,3rd Quintile,Yes,0.10702,339,2706,0.09537,0.11867
1995,3rd Quintile,No,0.70091,2367,2706,0.68365,0.71816
1995,4th Quintile,Yes,0.08996,277,2662,0.07909,0.10083
1995,4th Quintile,No,0.76699,2385,2662,0.75093,0.78305
1995,5th Quintile,Yes,0.09815,253,2466,0.08640,0.10989
1995,5th Quintile,No,0.79412,2213,2466,0.77816,0.81008
1996,1st Quintile,Yes,0.12667,372,2531,0.11371,0.13963
1996,1st Quintile,No,0.62994,2159,2531,0.61113,0.64875
1996,2nd Quintile,Yes,0.10061,343,2727,0.08932,0.11191
1996,2nd Quintile,No,0.66850,2384,2727,0.65083,0.68617
1996,3rd Quintile,Yes,0.10370,322,2646,0.09208,0.11532
1996,3rd Quintile,No,0.71874,2324,2646,0.70160,0.73587
1996,4th Quintile,Yes,0.09545,292,2702,0.08436,0.10653
1996,4th Quintile,No,0.75266,2410,2702,0.73639,0.76893
1996,5th Quintile,Yes,0.09948,259,2393,0.08748,0.11147
1996,5th Quintile,No,0.79385,2134,2393,0.77764,0.81006
1997,1st Quintile,Yes,0.11865,360,2370,0.10563,0.13168
1997,1st Quintile,No,0.63958,2010,2370,0.62025,0.65892
1997,2nd Quintile,Yes,0.11577,347,2755,0.10382,0.12772
1997,2nd Quintile,No,0.66715,2408,2755,0.64955,0.68475
1997,3rd Quintile,Yes,0.10939,300,2554,0.09728,0.12149
1997,3rd Quintile,No,0.69435,2254,2554,0.67648,0.71222
1997,4th Quintile,Yes,0.09074,284,2658,0.07982,0.10166
1997,4th Quintile,No,0.76665,2374,2658,0.75057,0.78273
1997,5th Quintile,Yes,0.09185,258,2439,0.08039,0.10332
1997,5th Quintile,No,0.80688,2181,2439,0.79121,0.82255
1998,1st Quintile,Yes,0.11323,321,2333,0.10037,0.12610
1998,1st Quintile,No,0.64241,2012,2333,0.62296,0.66187
1998,2nd Quintile,Yes,0.10571,329,2564,0.09381,0.11762
1998,2nd Quintile,No,0.67087,2235,2564,0.65268,0.68906
1998,3rd Quintile,Yes,0.10491,323,2540,0.09299,0.11683
1998,3rd Quintile,No,0.71736,2217,2540,0.69985,0.73488
1998,4th Quintile,Yes,0.10035,282,2591,0.08877,0.11192
1998,4th Quintile,No,0.76653,2309,2591,0.75023,0.78282
1998,5th Quintile,Yes,0.10326,250,2282,0.09077,0.11575
1998,5th Quintile,No,0.78691,2032,2282,0.77010,0.80371
1999,1st Quintile,Yes,0.11537,362,2579,0.10303,0.12770
1999,1st Quintile,No,0.64385,2217,2579,0.62536,0.66233
1999,2nd Quintile,Yes,0.10976,373,2874,0.09833,0.12119
1999,2nd Quintile,No,0.68907,2501,2874,0.67215,0.70600
1999,3rd Quintile,Yes,0.11291,359,2816,0.10122,0.12461
1999,3rd Quintile,No,0.70097,2457,2816,0.68405,0.71788
1999,4th Quintile,Yes,0.10470,317,2780,0.09332,0.11609
1999,4th Quintile,No,0.75678,2463,2780,0.74083,0.77273
1999,5th Quintile,Yes,0.09436,258,2605,0.08313,0.10559
1999,5th Quintile,No,0.80407,2347,2605,0.78882,0.81931
2000,1st Quintile,Yes,0.10462,329,2577,0.09280,0.11644
2000,1st Quintile,No,0.66849,2248,2577,0.65031,0.68667
2000,2nd Quintile,Yes,0.10149,338,2758,0.09022,0.11276
2000,2nd Quintile,No,0.68114,2420,2758,0.66375,0.69854
2000,3rd Quintile,Yes,0.10741,345,2712,0.09575,0.11907
2000,3rd Quintile,No,0.71028,2367,2712,0.69321,0.72736
2000,4th Quintile,Yes,0.09434,295,2694,0.08330,0.10538
2000,4th Quintile,No,0.76139,2399,2694,0.74529,0.77749
2000,5th Quintile,Yes,0.09350,259,2528,0.08215,0.10485
2000,5th Quintile,No,0.79434,2269,2528,0.77858,0.81010
2001,1st Quintile,Yes,0.10886,548,3857,0.09903,0.11869
2001,1st Quintile,No,0.66096,3309,3857,0.64602,0.67590
2001,2nd Quintile,Yes,0.09774,513,4364,0.08893,0.10656
2001,2nd Quintile,No,0.69128,3851,4364,0.67757,0.70498
2001,3rd Quintile,Yes,0.10445,569,4526,0.09554,0.11336
2001,3rd Quintile,No,0.71861,3957,4526,0.70551,0.73171
2001,4th Quintile,Yes,0.10213,517,4591,0.09337,0.11089
2001,4th Quintile,No,0.75394,4074,4591,0.74148,0.76640
2001,5th Quintile,Yes,0.09926,473,4512,0.09053,0.10799
2001,5th Quintile,No,0.79152,4039,4512,0.77967,0.80337
2002,1st Quintile,Yes,0.10380,446,3450,0.09362,0.11398
2002,1st Quintile,No,0.67282,3004,3450,0.65716,0.68847
2002,2nd Quintile,Yes,0.10819,512,3937,0.09849,0.11790
2002,2nd Quintile,No,0.69579,3425,3937,0.68141,0.71016
2002,3rd Quintile,Yes,0.10675,520,4057,0.09725,0.11626
2002,3rd Quintile,No,0.70459,3537,4057,0.69055,0.71863
2002,4th Quintile,Yes,0.09615,470,4348,0.08738,0.10491
2002,4th Quintile,No,0.75573,3878,4348,0.74296,0.76851
2002,5th Quintile,Yes,0.10823,519,4962,0.09958,0.11687
2002,5th Quintile,No,0.80396,4443,4962,0.79291,0.81501
2003,1st Quintile,Yes,0.11810,488,3387,0.10723,0.12897
2003,1st Quintile,No,0.66833,2899,3387,0.65247,0.68419
2003,2nd Quintile,Yes,0.09938,471,3854,0.08993,0.10882
2003,2nd Quintile,No,0.69362,3383,3854,0.67906,0.70817
2003,3rd Quintile,Yes,0.10247,497,4113,0.09320,0.11174
2003,3rd Quintile,No,0.71397,3616,4113,0.70016,0.72779
2003,4th Quintile,Yes,0.09370,474,4413,0.08510,0.10230
2003,4th Quintile,No,0.76273,3939,4413,0.75018,0.77528
2003,5th Quintile,Yes,0.09914,686,6313,0.09177,0.10652
2003,5th Quintile,No,0.79169,5627,6313,0.78167,0.80171
2004,1st Quintile,Yes,0.11636,481,3289,0.10540,0.12732
2004,1st Quintile,No,0.67448,2808,3289,0.65846,0.69049
2004,2nd Quintile,Yes,0.09962,472,3802,0.09010,0.10914
2004,2nd Quintile,No,0.69984,3330,3802,0.68527,0.71441
2004,3rd Quintile,Yes,0.10182,468,3926,0.09235,0.11128
2004,3rd Quintile,No,0.72164,3458,3926,0.70762,0.73566
2004,4th Quintile,Yes,0.11075,492,4341,0.10142,0.12009
2004,4th Quintile,No,0.74522,3849,4341,0.73226,0.75819
2004,5th Quintile,Yes,0.10289,663,6189,0.09532,0.11046
2004,5th Quintile,No,0.79611,5526,6189,0.78607,0.80615
2005,1st Quintile,Yes,0.10739,424,3143,0.09656,0.11821
2005,1st Quintile,No,0.68076,2719,3143,0.66446,0.69706
2005,2nd Quintile,Yes,0.09928,427,3676,0.08961,0.10894
2005,2nd Quintile,No,0.71647,3249,3676,0.70190,0.73104
2005,3rd Quintile,Yes,0.09426,410,3726,0.08488,0.10365
2005,3rd Quintile,No,0.73050,3316,3726,0.71625,0.74475
2005,4th Quintile,Yes,0.09877,441,4188,0.08974,0.10781
2005,4th Quintile,No,0.75739,3747,4188,0.74440,0.77037
2005,5th Quintile,Yes,0.09074,578,5889,0.08341,0.09808
2005,5th Quintile,No,0.80939,5311,5889,0.79936,0.81943
2006,1st Quintile,Yes,0.10697,391,2947,0.09581,0.11813
2006,1st Quintile,No,0.68476,2556,2947,0.66798,0.70154
2006,2nd Quintile,Yes,0.10963,423,3287,0.09894,0.12031
2006,2nd Quintile,No,0.69224,2864,3287,0.67646,0.70803
2006,3rd Quintile,Yes,0.09580,416,3641,0.08624,0.10536
2006,3rd Quintile,No,0.72273,3225,3641,0.70819,0.73727
2006,4th Quintile,Yes,0.10387,446,3933,0.09433,0.11340
2006,4th Quintile,No,0.74194,3487,3933,0.72826,0.75561
2006,5th Quintile,Yes,0.09280,541,5504,0.08514,0.10047
2006,5th Quintile,No,0.80804,4963,5504,0.79763,0.81844
2007,1st Quintile,Yes,0.11066,433,3170,0.09973,0.12158
2007,1st Quintile,No,0.69319,2737,3170,0.67713,0.70924
2007,2nd Quintile,Yes,0.10477,457,3545,0.09469,0.11485
2007,2nd Quintile,No,0.68236,3088,3545,0.66703,0.69769
2007,3rd Quintile,Yes,0.09856,460,3836,0.08913,0.10799
2007,3rd Quintile,No,0.72556,3376,3836,0.71144,0.73969
2007,4th Quintile,Yes,0.09947,475,4306,0.09053,0.10841
2007,4th Quintile,No,0.74912,3831,4306,0.73617,0.76207
2007,5th Quintile,Yes,0.09802,610,5592,0.09023,0.10582
2007,5th Quintile,No,0.79769,4982,5592,0.78716,0.80822
2008,1st Quintile,Yes,0.10535,409,3006,0.09438,0.11633
2008,1st Quintile,No,0.69223,2597,3006,0.67572,0.70873
2008,2nd Quintile,Yes,0.09493,413,3338,0.08499,0.10488
2008,2nd Quintile,No,0.71185,2925,3338,0.69648,0.72721
2008,3rd Quintile,Yes,0.09302,424,3756,0.08373,0.10231
2008,3rd Quintile,No,0.73403,3332,3756,0.71990,0.74816
2008,4th Quintile,Yes,0.09964,447,3928,0.09027,0.10900
2008,4th Quintile,No,0.75641,3481,3928,0.74298,0.76983
2008,5th Quintile,Yes,0.09166,551,5220,0.08383,0.09949
2008,5th Quintile,No,0.80096,4669,5220,0.79013,0.81179
2009,1st Quintile,Yes,0.11874,408,2872,0.10690,0.13057
2009,1st Quintile,No,0.69671,2464,2872,0.67990,0.71353
2009,2nd Quintile,Yes,0.11138,452,3157,0.10040,0.12236
2009,2nd Quintile,No,0.69230,2705,3157,0.67620,0.70841
2009,3rd Quintile,Yes,0.11071,460,3427,0.10020,0.12122
2009,3rd Quintile,No,0.72869,2967,3427,0.71380,0.74358
2009,4th Quintile,Yes,0.10238,457,3721,0.09264,0.11212
2009,4th Quintile,No,0.74739,3264,3721,0.73343,0.76136
2009,5th Quintile,Yes,0.09740,516,4794,0.08901,0.10580
2009,5th Quintile,No,0.79928,4278,4794,0.78794,0.81062
2010,1st Quintile,Yes,0.12763,374,2643,0.11491,0.14036
2010,1st Quintile,No,0.79731,2269,2643,0.78198,0.81264
2010,2nd Quintile,Yes,0.13194,438,2988,0.11980,0.14407
2010,2nd Quintile,No,0.76674,2550,2988,0.75157,0.78191
2010,3rd Quintile,Yes,0.11315,432,3163,0.10211,0.12420
2010,3rd Quintile,No,0.76656,2731,3163,0.75182,0.78131
2010,4th Quintile,Yes,0.10235,410,3428,0.09220,0.11250
2010,4th Quintile,No,0.79170,3018,3428,0.77810,0.80529
2010,5th Quintile,Yes,0.08737,442,4372,0.07900,0.09574
2010,5th Quintile,No,0.83068,3930,4372,0.81957,0.84180
2011,1st Quintile,Yes,0.12792,733,4519,0.11818,0.13766
2011,1st Quintile,No,0.68634,3786,4519,0.67281,0.69986
2011,2nd Quintile,Yes,0.12498,655,4432,0.11525,0.13472
2011,2nd Quintile,No,0.69755,3777,4432,0.68402,0.71107
2011,3rd Quintile,Yes,0.10206,546,4099,0.09279,0.11133
2011,3rd Quintile,No,0.73862,3553,4099,0.72517,0.75208
2011,4th Quintile,Yes,0.09956,502,4030,0.09031,0.10880
2011,4th Quintile,No,0.75305,3528,4030,0.73973,0.76636
2011,5th Quintile,Yes,0.10372,550,4796,0.09509,0.11235
2011,5th Quintile,No,0.78550,4246,4796,0.77388,0.79712
2012,1st Quintile,Yes,0.13984,839,5380,0.13057,0.14911
2012,1st Quintile,No,0.65812,4541,5380,0.64545,0.67080
2012,2nd Quintile,Yes,0.12147,678,4927,0.11235,0.13059
2012,2nd Quintile,No,0.70214,4249,4927,0.68937,0.71491
2012,3rd Quintile,Yes,0.11792,639,4823,0.10882,0.12702
2012,3rd Quintile,No,0.71116,4184,4823,0.69837,0.72395
2012,4th Quintile,Yes,0.10191,580,4763,0.09332,0.11051
2012,4th Quintile,No,0.74561,4183,4763,0.73325,0.75798
2012,5th Quintile,Yes,0.10119,590,5238,0.09302,0.10936
2012,5th Quintile,No,0.78656,4648,5238,0.77546,0.79766
2013,1st Quintile,Yes,0.14524,833,5181,0.13564,0.15483
2013,1st Quintile,No,0.66868,4348,5181,0.65586,0.68150
2013,2nd Quintile,Yes,0.13492,723,5188,0.12562,0.14421
2013,2nd Quintile,No,0.69702,4465,5188,0.68451,0.70952
2013,3rd Quintile,Yes,0.12792,672,4928,0.11860,0.13725
2013,3rd Quintile,No,0.71412,4256,4928,0.70150,0.72673
2013,4th Quintile,Yes,0.11580,624,4887,0.10683,0.12477
2013,4th Quintile,No,0.74888,4263,4887,0.73672,0.76104
2013,5th Quintile,Yes,0.09759,593,5463,0.08972,0.10546
2013,5th Quintile,No,0.79904,4870,5463,0.78841,0.80967
2014,1st Quintile,Yes,0.13906,962,5785,0.13014,0.14797
2014,1st Quintile,No,0.64853,4823,5785,0.63623,0.66084
2014,2nd Quintile,Yes,0.12312,771,5512,0.11445,0.13180
2014,2nd Quintile,No,0.69289,4741,5512,0.68072,0.70507
2014,3rd Quintile,Yes,0.11171,675,5171,0.10312,0.12029
2014,3rd Quintile,No,0.72897,4496,5171,0.71685,0.74108
2014,4th Quintile,Yes,0.10286,586,5153,0.09457,0.11116
2014,4th Quintile,No,0.75793,4567,5153,0.74624,0.76963
2014,5th Quintile,Yes,0.10192,554,5401,0.09385,0.10998
2014,5th Quintile,No,0.79357,4847,5401,0.78277,0.80436
2015,1st Quintile,Yes,0.12771,751,4991,0.11845,0.13697
2015,1st Quintile,No,0.66485,4240,4991,0.65176,0.67795
2015,2nd Quintile,Yes,0.13123,764,5277,0.12212,0.14034
2015,2nd Quintile,No,0.69422,4513,5277,0.68178,0.70665
2015,3rd Quintile,Yes,0.11969,660,4868,0.11057,0.12881
2015,3rd Quintile,No,0.71588,4208,4868,0.70321,0.72855
2015,4th Quintile,Yes,0.11653,578,4762,0.10741,0.12564
2015,4th Quintile,No,0.74465,4184,4762,0.73226,0.75703
2015,5th Quintile,Yes,0.09504,564,5090,0.08698,0.10310
2015,5th Quintile,No,0.79955,4526,5090,0.78855,0.81055
2016,1st Quintile,Yes,0.13163,799,4962,0.12222,0.14104
2016,1st Quintile,No,0.64955,4163,4962,0.63627,0.66283
2016,2nd Quintile,Yes,0.12330,734,5123,0.11430,0.13231
2016,2nd Quintile,No,0.69462,4389,5123,0.68201,0.70723
2016,3rd Quintile,Yes,0.12277,623,4641,0.11333,0.13222
2016,3rd Quintile,No,0.71055,4018,4641,0.69750,0.72360
2016,4th Quintile,Yes,0.09216,512,4575,0.08378,0.10054
2016,4th Quintile,No,0.77184,4063,4575,0.75968,0.78400
2016,5th Quintile,Yes,0.09592,516,4814,0.08760,0.10424
2016,5th Quintile,No,0.79686,4298,4814,0.78549,0.80823
2017,1st Quintile,Yes,0.13541,792,4611,0.12554,0.14529
2017,1st Quintile,No,0.62407,3819,4611,0.61008,0.63805
2017,2nd Quintile,Yes,0.14164,726,4818,0.13179,0.15148
2017,2nd Quintile,No,0.68226,4092,4818,0.66911,0.69541
2017,3rd Quintile,Yes,0.10932,540,4391,0.10009,0.11855
2017,3rd Quintile,No,0.72401,3851,4391,0.71079,0.73723
2017,4th Quintile,Yes,0.10583,509,4316,0.09665,0.11501
2017,4th Quintile,No,0.76487,3807,4316,0.75221,0.77752
2017,5th Quintile,Yes,0.10924,532,4538,0.10016,0.11831
2017,5th Quintile,No,0.77781,4006,4538,0.76572,0.78991
2018,1st Quintile,Yes,0.13370,736,4639,0.12390,0.14349
2018,1st Quintile,No,0.62935,3903,4639,0.61545,0.64325
2018,2nd Quintile,Yes,0.12443,727,5226,0.11548,0.13338
2018,2nd Quintile,No,0.69338,4499,5226,0.68088,0.70588
2018,3rd Quintile,Yes,0.12172,623,4742,0.11241,0.13102
2018,3rd Quintile,No,0.71749,4119,4742,0.70467,0.73030
2018,4th Quintile,Yes,0.10375,532,4601,0.09494,0.11257
2018,4th Quintile,No,0.75851,4069,4601,0.74614,0.77087
2018,5th Quintile,Yes,0.10110,571,5071,0.09280,0.10939
2018,5th Quintile,No,0.78880,4500,5071,0.77757,0.80004
2019,1st Quintile,Yes,0.13155,752,4389,0.12155,0.14155
2019,1st Quintile,No,0.62551,3637,4389,0.61119,0.63983
2019,2nd Quintile,Yes,0.11247,665,4757,0.10349,0.12144
2019,2nd Quintile,No,0.70315,4092,4757,0.69017,0.71614
2019,3rd Quintile,Yes,0.11548,590,4498,0.10614,0.12482
2019,3rd Quintile,No,0.71907,3908,4498,0.70593,0.73220
2019,4th Quintile,Yes,0.10738,513,4264,0.09809,0.11667
2019,4th Quintile,No,0.74904,3751,4264,0.73603,0.76206
2019,5th Quintile,Yes,0.11351,545,4777,0.10452,0.12251
2019,5th Quintile,No,0.78099,4232,4777,0.76926,0.79272
2020,1st Quintile,Yes,0.13202,1008,6612,0.12386,0.14018
2020,1st Quintile,No,0.66232,5604,6612,0.65092,0.67372
2020,2nd Quintile,Yes,0.13270,683,4698,0.12299,0.14240
2020,2nd Quintile,No,0.67716,4015,4698,0.66379,0.69053
2020,3rd Quintile,Yes,0.12041,612,4399,0.11079,0.13003
2020,3rd Quintile,No,0.71659,3787,4399,0.70327,0.72991
2020,4th Quintile,Yes,0.10361,511,4427,0.09463,0.11259
2020,4th Quintile,No,0.74886,3916,4427,0.73608,0.76164
2020,5th Quintile,Yes,0.10710,668,5987,0.09926,0.11493
2020,5th Quintile,No,0.77468,5319,5987,0.76409,0.78526
2021,1st Quintile,Yes,0.11941,447,3178,0.10813,0.13069
2021,1st Quintile,No,0.64408,2731,3178,0.62743,0.66072
2021,2nd Quintile,Yes,0.10465,444,3377,0.09433,0.11498
2021,2nd Quintile,No,0.70031,2933,3377,0.68486,0.71576
2021,3rd Quintile,Yes,0.09990,364,3009,0.08918,0.11061
2021,3rd Quintile,No,0.71982,2645,3009,0.70377,0.73586
2021,4th Quintile,Yes,0.10502,333,3239,0.09446,0.11558
2021,4th Quintile,No,0.75353,2906,3239,0.73868,0.76837
2021,5th Quintile,Yes,0.09121,474,4301,0.08261,0.09982
2021,5th Quintile,No,0.78407,3827,4301,0.77177,0.79637
