year,bula_h,regtyp,pld0045,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2003,Hesse,Rural regions,Never,0.53348,122,21397,0.53246,0.53451
2003,"Rhineland-Palatinate, Saarland",Urban regions,Very often,0.05639,61,21397,0.05614,0.05664
2003,"Rhineland-Palatinate, Saarland",Urban regions,Often,0.08346,89,21397,0.08316,0.08376
2003,"Rhineland-Palatinate, Saarland",Urban regions,Sometimes,0.07337,74,21397,0.07309,0.07366
2003,"Rhineland-Palatinate, Saarland",Urban regions,Seldom,0.12687,124,21397,0.12650,0.12723
2003,"Rhineland-Palatinate, Saarland",Urban regions,Never,0.65992,661,21397,0.65940,0.66043
2003,"Rhineland-Palatinate, Saarland",Rural regions,Often,0.12278,33,21397,0.12211,0.12345
2003,"Rhineland-Palatinate, Saarland",Rural regions,Sometimes,0.10067,34,21397,0.10006,0.10129
2003,"Rhineland-Palatinate, Saarland",Rural regions,Seldom,0.24124,74,21397,0.24037,0.24212
2003,"Rhineland-Palatinate, Saarland",Rural regions,Never,0.53531,156,21397,0.53428,0.53633
2003,Baden-Wuerttemberg,Urban regions,Very often,0.04299,104,21397,0.04285,0.04314
2003,Baden-Wuerttemberg,Urban regions,Often,0.08323,208,21397,0.08304,0.08342
2003,Baden-Wuerttemberg,Urban regions,Sometimes,0.09514,223,21397,0.09494,0.09535
2003,Baden-Wuerttemberg,Urban regions,Seldom,0.15406,422,21397,0.15380,0.15431
2003,Baden-Wuerttemberg,Urban regions,Never,0.62458,1483,21397,0.62424,0.62492
2003,Baden-Wuerttemberg,Rural regions,Sometimes,0.19377,40,21397,0.19284,0.19470
2003,Baden-Wuerttemberg,Rural regions,Seldom,0.24132,48,21397,0.24031,0.24232
2003,Baden-Wuerttemberg,Rural regions,Never,0.56491,99,21397,0.56374,0.56608
2003,Bavaria,Urban regions,Very often,0.07246,114,21397,0.07224,0.07269
2003,Bavaria,Urban regions,Often,0.09138,152,21397,0.09113,0.09163
2003,Bavaria,Urban regions,Sometimes,0.09634,156,21397,0.09608,0.09660
2003,Bavaria,Urban regions,Seldom,0.21182,321,21397,0.21147,0.21218
2003,Bavaria,Urban regions,Never,0.52799,823,21397,0.52756,0.52843
2003,Bavaria,Rural regions,Very often,0.07225,113,21397,0.07202,0.07248
2003,Bavaria,Rural regions,Often,0.09255,174,21397,0.09230,0.09281
2003,Bavaria,Rural regions,Sometimes,0.12298,206,21397,0.12268,0.12327
2003,Bavaria,Rural regions,Seldom,0.17794,292,21397,0.17759,0.17828
2003,Bavaria,Rural regions,Never,0.53428,762,21397,0.53383,0.53473
2003,Berlin,Urban regions,Often,0.05067,42,21397,0.05041,0.05094
2003,Berlin,Urban regions,Sometimes,0.08945,71,21397,0.08911,0.08979
2003,Berlin,Urban regions,Seldom,0.16339,149,21397,0.16295,0.16384
2003,Berlin,Urban regions,Never,0.69648,534,21397,0.69593,0.69703
2003,Brandenburg,Urban regions,Never,1.00000,36,21397,1.00000,1.00000
2003,Brandenburg,Rural regions,Often,0.06400,49,21397,0.06367,0.06434
2003,Brandenburg,Rural regions,Sometimes,0.10658,88,21397,0.10616,0.10701
2003,Brandenburg,Rural regions,Seldom,0.20109,182,21397,0.20054,0.20164
2003,Brandenburg,Rural regions,Never,0.62832,516,21397,0.62766,0.62899
2003,Mecklenburg-Western Pomerania,Urban regions,Never,1.00000,55,21397,1.00000,1.00000
2003,Mecklenburg-Western Pomerania,Rural regions,Sometimes,0.10678,52,21397,0.10622,0.10735
2003,Mecklenburg-Western Pomerania,Rural regions,Seldom,0.19443,81,21397,0.19370,0.19516
2003,Mecklenburg-Western Pomerania,Rural regions,Never,0.69879,276,21397,0.69794,0.69963
2003,Saxony,Urban regions,Often,0.06849,59,21397,0.06810,0.06887
2003,Saxony,Urban regions,Sometimes,0.11012,87,21397,0.10965,0.11059
2003,Saxony,Urban regions,Seldom,0.16136,119,21397,0.16080,0.16192
2003,Saxony,Urban regions,Never,0.66003,482,21397,0.65931,0.66075
2003,Saxony,Rural regions,Often,0.07318,56,21397,0.07283,0.07354
2003,Saxony,Rural regions,Sometimes,0.09044,81,21397,0.09005,0.09083
2003,Saxony,Rural regions,Seldom,0.18785,146,21397,0.18731,0.18838
2003,Saxony,Rural regions,Never,0.64853,521,21397,0.64788,0.64918
2003,Saxony-Anhalt,Urban regions,Seldom,0.24613,33,21397,0.24459,0.24766
2003,Saxony-Anhalt,Urban regions,Never,0.75387,100,21397,0.75234,0.75541
2003,Saxony-Anhalt,Rural regions,Often,0.11434,83,21397,0.11386,0.11482
2003,Saxony-Anhalt,Rural regions,Sometimes,0.11483,92,21397,0.11435,0.11531
2003,Saxony-Anhalt,Rural regions,Seldom,0.16055,146,21397,0.16000,0.16110
2003,Saxony-Anhalt,Rural regions,Never,0.61028,398,21397,0.60955,0.61102
2003,Thuringa,Urban regions,Seldom,0.20491,52,21397,0.20375,0.20606
2003,Thuringa,Urban regions,Never,0.79509,180,21397,0.79394,0.79625
2003,Thuringa,Rural regions,Often,0.05555,46,21397,0.05516,0.05594
2003,Thuringa,Rural regions,Sometimes,0.13056,77,21397,0.12999,0.13114
2003,Thuringa,Rural regions,Seldom,0.20072,138,21397,0.20004,0.20140
2003,Thuringa,Rural regions,Never,0.61316,389,21397,0.61234,0.61399
2008,Schleswig-Holstein,Urban regions,Seldom,0.26319,38,18631,0.26217,0.26420
2008,Schleswig-Holstein,Urban regions,Never,0.73681,151,18631,0.73580,0.73783
2008,Schleswig-Holstein,Rural regions,Often,0.13191,42,18631,0.13134,0.13248
2008,Schleswig-Holstein,Rural regions,Sometimes,0.11088,33,18631,0.11035,0.11141
2008,Schleswig-Holstein,Rural regions,Seldom,0.21867,60,18631,0.21798,0.21937
2008,Schleswig-Holstein,Rural regions,Never,0.53853,169,18631,0.53770,0.53937
2008,Hamburg,Urban regions,Seldom,0.22739,50,18631,0.22658,0.22821
2008,Hamburg,Urban regions,Never,0.77261,174,18631,0.77179,0.77342
2008,Lower Saxony,Urban regions,Very often,0.04991,44,18631,0.04967,0.05016
2008,Lower Saxony,Urban regions,Often,0.07644,69,18631,0.07614,0.07673
2008,Lower Saxony,Urban regions,Sometimes,0.12027,123,18631,0.11991,0.12064
2008,Lower Saxony,Urban regions,Seldom,0.17306,143,18631,0.17263,0.17348
2008,Lower Saxony,Urban regions,Never,0.58032,446,18631,0.57977,0.58087
2008,Lower Saxony,Rural regions,Very often,0.05685,55,18631,0.05660,0.05710
2008,Lower Saxony,Rural regions,Often,0.11894,101,18631,0.11860,0.11929
2008,Lower Saxony,Rural regions,Sometimes,0.13350,119,18631,0.13314,0.13386
2008,Lower Saxony,Rural regions,Seldom,0.19687,181,18631,0.19644,0.19729
2008,Lower Saxony,Rural regions,Never,0.49384,445,18631,0.49331,0.49438
2008,Bremen,Urban regions,Never,1.00000,100,18631,1.00000,1.00000
2008,North Rhine-Westphalia,Urban regions,Very often,0.03596,141,18631,0.03586,0.03605
2008,North Rhine-Westphalia,Urban regions,Often,0.08097,293,18631,0.08083,0.08111
2008,North Rhine-Westphalia,Urban regions,Sometimes,0.08236,310,18631,0.08222,0.08250
2008,North Rhine-Westphalia,Urban regions,Seldom,0.14513,528,18631,0.14495,0.14531
2008,North Rhine-Westphalia,Urban regions,Never,0.65558,2541,18631,0.65534,0.65583
2008,North Rhine-Westphalia,Rural regions,Never,1.00000,65,18631,1.00000,1.00000
2008,Hesse,Urban regions,Very often,0.04583,59,18631,0.04562,0.04603
2008,Hesse,Urban regions,Often,0.09183,102,18631,0.09155,0.09211
2008,Hesse,Urban regions,Sometimes,0.09387,116,18631,0.09359,0.09415
2008,Hesse,Urban regions,Seldom,0.14863,159,18631,0.14829,0.14898
2008,Hesse,Urban regions,Never,0.61985,641,18631,0.61938,0.62031
2008,Hesse,Rural regions,Often,0.15370,31,18631,0.15290,0.15450
2008,Hesse,Rural regions,Seldom,0.24231,36,18631,0.24136,0.24327
2008,Hesse,Rural regions,Never,0.60399,106,18631,0.60290,0.60507
2008,"Rhineland-Palatinate, Saarland",Urban regions,Very often,0.05475,45,18631,0.05449,0.05501
2008,"Rhineland-Palatinate, Saarland",Urban regions,Often,0.05674,57,18631,0.05648,0.05700
2008,"Rhineland-Palatinate, Saarland",Urban regions,Sometimes,0.07063,66,18631,0.07034,0.07092
2008,"Rhineland-Palatinate, Saarland",Urban regions,Seldom,0.15060,114,18631,0.15020,0.15101
2008,"Rhineland-Palatinate, Saarland",Urban regions,Never,0.66728,536,18631,0.66674,0.66781
2008,"Rhineland-Palatinate, Saarland",Rural regions,Seldom,0.22686,40,18631,0.22591,0.22781
2008,"Rhineland-Palatinate, Saarland",Rural regions,Never,0.77314,164,18631,0.77219,0.77409
2008,Baden-Wuerttemberg,Urban regions,Very often,0.05765,117,18631,0.05749,0.05782
2008,Baden-Wuerttemberg,Urban regions,Often,0.08879,185,18631,0.08859,0.08899
2008,Baden-Wuerttemberg,Urban regions,Sometimes,0.10617,208,18631,0.10596,0.10639
2008,Baden-Wuerttemberg,Urban regions,Seldom,0.20237,455,18631,0.20209,0.20265
2008,Baden-Wuerttemberg,Urban regions,Never,0.54501,1163,18631,0.54466,0.54536
2008,Baden-Wuerttemberg,Rural regions,Often,0.18652,32,18631,0.18565,0.18738
2008,Baden-Wuerttemberg,Rural regions,Sometimes,0.16220,36,18631,0.16138,0.16302
2008,Baden-Wuerttemberg,Rural regions,Seldom,0.22890,42,18631,0.22797,0.22984
2008,Baden-Wuerttemberg,Rural regions,Never,0.42239,78,18631,0.42129,0.42349
2008,Bavaria,Urban regions,Very often,0.07300,102,18631,0.07277,0.07323
2008,Bavaria,Urban regions,Often,0.10695,147,18631,0.10668,0.10722
2008,Bavaria,Urban regions,Sometimes,0.15072,191,18631,0.15040,0.15103
2008,Bavaria,Urban regions,Seldom,0.16539,230,18631,0.16506,0.16572
2008,Bavaria,Urban regions,Never,0.50394,625,18631,0.50350,0.50438
2008,Bavaria,Rural regions,Very often,0.07775,112,18631,0.07752,0.07797
2008,Bavaria,Rural regions,Often,0.11623,174,18631,0.11596,0.11650
2008,Bavaria,Rural regions,Sometimes,0.09954,164,18631,0.09929,0.09980
2008,Bavaria,Rural regions,Seldom,0.22350,331,18631,0.22315,0.22385
2008,Bavaria,Rural regions,Never,0.48297,655,18631,0.48255,0.48340
2008,Berlin,Urban regions,Often,0.07548,57,18631,0.07518,0.07579
2008,Berlin,Urban regions,Sometimes,0.06544,51,18631,0.06515,0.06572
2008,Berlin,Urban regions,Seldom,0.17916,121,18631,0.17871,0.17960
2008,Berlin,Urban regions,Never,0.67992,466,18631,0.67938,0.68047
2008,Brandenburg,Urban regions,Never,1.00000,35,18631,1.00000,1.00000
2008,Brandenburg,Rural regions,Very often,0.05516,46,18631,0.05484,0.05548
2008,Brandenburg,Rural regions,Often,0.07439,63,18631,0.07403,0.07476
2008,Brandenburg,Rural regions,Sometimes,0.13165,96,18631,0.13118,0.13212
2008,Brandenburg,Rural regions,Seldom,0.17220,134,18631,0.17167,0.17273
2008,Brandenburg,Rural regions,Never,0.56659,409,18631,0.56590,0.56728
2008,Mecklenburg-Western Pomerania,Urban regions,Never,1.00000,42,18631,1.00000,1.00000
2008,Mecklenburg-Western Pomerania,Rural regions,Sometimes,0.06856,37,18631,0.06811,0.06902
2008,Mecklenburg-Western Pomerania,Rural regions,Seldom,0.11672,53,18631,0.11614,0.11730
2008,Mecklenburg-Western Pomerania,Rural regions,Never,0.81472,283,18631,0.81402,0.81541
2008,Saxony,Urban regions,Very often,0.04772,36,18631,0.04741,0.04803
2008,Saxony,Urban regions,Often,0.07927,56,18631,0.07888,0.07967
2008,Saxony,Urban regions,Sometimes,0.05193,45,18631,0.05161,0.05226
2008,Saxony,Urban regions,Seldom,0.15992,129,18631,0.15938,0.16045
2008,Saxony,Urban regions,Never,0.66115,459,18631,0.66046,0.66184
2008,Saxony,Rural regions,Often,0.05578,52,18631,0.05545,0.05610
2008,Saxony,Rural regions,Sometimes,0.11373,81,18631,0.11328,0.11418
2008,Saxony,Rural regions,Seldom,0.26181,170,18631,0.26119,0.26244
2008,Saxony,Rural regions,Never,0.56868,378,18631,0.56798,0.56938
2008,Saxony-Anhalt,Urban regions,Seldom,0.20468,31,18631,0.20328,0.20607
2008,Saxony-Anhalt,Urban regions,Never,0.79532,98,18631,0.79393,0.79672
2008,Saxony-Anhalt,Rural regions,Very often,0.05427,32,18631,0.05392,0.05462
2008,Saxony-Anhalt,Rural regions,Often,0.10003,64,18631,0.09957,0.10049
2008,Saxony-Anhalt,Rural regions,Sometimes,0.10301,67,18631,0.10254,0.10347
2008,Saxony-Anhalt,Rural regions,Seldom,0.15142,102,18631,0.15087,0.15196
2008,Saxony-Anhalt,Rural regions,Never,0.59128,381,18631,0.59052,0.59203
2008,Thuringa,Urban regions,Seldom,0.25249,59,18631,0.25122,0.25376
2008,Thuringa,Urban regions,Never,0.74751,147,18631,0.74624,0.74878
2008,Thuringa,Rural regions,Very often,0.04229,33,18631,0.04195,0.04263
2008,Thuringa,Rural regions,Often,0.10740,58,18631,0.10688,0.10792
2008,Thuringa,Rural regions,Sometimes,0.10414,55,18631,0.10363,0.10466
2008,Thuringa,Rural regions,Seldom,0.13935,92,18631,0.13877,0.13993
2008,Thuringa,Rural regions,Never,0.60682,373,18631,0.60600,0.60764
2013,Schleswig-Holstein,Urban regions,Seldom,0.30581,49,24987,0.30456,0.30706
2013,Schleswig-Holstein,Urban regions,Never,0.69419,145,24987,0.69294,0.69544
2013,Schleswig-Holstein,Rural regions,Very often,0.06223,52,24987,0.06185,0.06262
2013,Schleswig-Holstein,Rural regions,Often,0.09861,87,24987,0.09814,0.09908
2013,Schleswig-Holstein,Rural regions,Sometimes,0.13287,86,24987,0.13234,0.13341
2013,Schleswig-Holstein,Rural regions,Seldom,0.19966,128,24987,0.19903,0.20029
2013,Schleswig-Holstein,Rural regions,Never,0.50663,294,24987,0.50584,0.50741
2013,Hamburg,Urban regions,Often,0.07171,33,24987,0.07125,0.07217
2013,Hamburg,Urban regions,Sometimes,0.14615,58,24987,0.14552,0.14678
2013,Hamburg,Urban regions,Seldom,0.12140,56,24987,0.12081,0.12198
2013,Hamburg,Urban regions,Never,0.66074,242,24987,0.65989,0.66159
2013,Lower Saxony,Urban regions,Very often,0.04611,58,24987,0.04585,0.04637
2013,Lower Saxony,Urban regions,Often,0.08000,133,24987,0.07967,0.08033
2013,Lower Saxony,Urban regions,Sometimes,0.10044,118,24987,0.10007,0.10081
2013,Lower Saxony,Urban regions,Seldom,0.16449,167,24987,0.16403,0.16495
2013,Lower Saxony,Urban regions,Never,0.60896,539,24987,0.60836,0.60956
2013,Lower Saxony,Rural regions,Very often,0.04243,95,24987,0.04222,0.04264
2013,Lower Saxony,Rural regions,Often,0.14737,229,24987,0.14700,0.14774
2013,Lower Saxony,Rural regions,Sometimes,0.13927,184,24987,0.13891,0.13963
2013,Lower Saxony,Rural regions,Seldom,0.20631,306,24987,0.20589,0.20673
2013,Lower Saxony,Rural regions,Never,0.46462,614,24987,0.46410,0.46514
2013,Bremen,Urban regions,Never,1.00000,115,24987,1.00000,1.00000
2013,North Rhine-Westphalia,Urban regions,Very often,0.04269,252,24987,0.04258,0.04280
2013,North Rhine-Westphalia,Urban regions,Often,0.07263,433,24987,0.07249,0.07278
2013,North Rhine-Westphalia,Urban regions,Sometimes,0.07939,420,24987,0.07924,0.07954
2013,North Rhine-Westphalia,Urban regions,Seldom,0.17489,846,24987,0.17468,0.17509
2013,North Rhine-Westphalia,Urban regions,Never,0.63040,3020,24987,0.63013,0.63066
2013,North Rhine-Westphalia,Rural regions,Never,1.00000,70,24987,1.00000,1.00000
2013,Hesse,Urban regions,Very often,0.03902,90,24987,0.03882,0.03923
2013,Hesse,Urban regions,Often,0.08923,150,24987,0.08892,0.08953
2013,Hesse,Urban regions,Sometimes,0.09756,146,24987,0.09724,0.09788
2013,Hesse,Urban regions,Seldom,0.15598,233,24987,0.15559,0.15637
2013,Hesse,Urban regions,Never,0.61822,765,24987,0.61769,0.61874
2013,Hesse,Rural regions,Very often,0.11680,46,24987,0.11614,0.11746
2013,Hesse,Rural regions,Often,0.15183,56,24987,0.15109,0.15257
2013,Hesse,Rural regions,Sometimes,0.13417,50,24987,0.13347,0.13488
2013,Hesse,Rural regions,Seldom,0.19504,61,24987,0.19422,0.19586
2013,Hesse,Rural regions,Never,0.40216,150,24987,0.40114,0.40317
2013,"Rhineland-Palatinate, Saarland",Urban regions,Very often,0.05423,61,24987,0.05395,0.05450
2013,"Rhineland-Palatinate, Saarland",Urban regions,Often,0.09764,112,24987,0.09729,0.09800
2013,"Rhineland-Palatinate, Saarland",Urban regions,Sometimes,0.09996,108,24987,0.09960,0.10033
2013,"Rhineland-Palatinate, Saarland",Urban regions,Seldom,0.15585,158,24987,0.15541,0.15629
2013,"Rhineland-Palatinate, Saarland",Urban regions,Never,0.59232,577,24987,0.59172,0.59291
2013,"Rhineland-Palatinate, Saarland",Rural regions,Often,0.08907,33,24987,0.08848,0.08966
2013,"Rhineland-Palatinate, Saarland",Rural regions,Sometimes,0.08501,41,24987,0.08443,0.08559
2013,"Rhineland-Palatinate, Saarland",Rural regions,Seldom,0.18919,53,24987,0.18837,0.19001
2013,"Rhineland-Palatinate, Saarland",Rural regions,Never,0.63673,206,24987,0.63573,0.63774
2013,Baden-Wuerttemberg,Urban regions,Very often,0.08665,256,24987,0.08644,0.08686
2013,Baden-Wuerttemberg,Urban regions,Often,0.10994,368,24987,0.10971,0.11018
2013,Baden-Wuerttemberg,Urban regions,Sometimes,0.10701,342,24987,0.10677,0.10724
2013,Baden-Wuerttemberg,Urban regions,Seldom,0.19019,470,24987,0.18989,0.19049
2013,Baden-Wuerttemberg,Urban regions,Never,0.50621,1227,24987,0.50583,0.50659
2013,Baden-Wuerttemberg,Rural regions,Very often,0.07416,45,24987,0.07361,0.07471
2013,Baden-Wuerttemberg,Rural regions,Often,0.11906,52,24987,0.11837,0.11974
2013,Baden-Wuerttemberg,Rural regions,Sometimes,0.19208,59,24987,0.19125,0.19291
2013,Baden-Wuerttemberg,Rural regions,Seldom,0.26971,68,24987,0.26877,0.27064
2013,Baden-Wuerttemberg,Rural regions,Never,0.34500,114,24987,0.34400,0.34600
2013,Bavaria,Urban regions,Very often,0.07865,174,24987,0.07839,0.07891
2013,Bavaria,Urban regions,Often,0.12288,206,24987,0.12256,0.12319
2013,Bavaria,Urban regions,Sometimes,0.12618,255,24987,0.12587,0.12650
2013,Bavaria,Urban regions,Seldom,0.19779,337,24987,0.19741,0.19817
2013,Bavaria,Urban regions,Never,0.47450,748,24987,0.47402,0.47497
2013,Bavaria,Rural regions,Very often,0.08097,222,24987,0.08073,0.08122
2013,Bavaria,Rural regions,Often,0.12427,323,24987,0.12398,0.12456
2013,Bavaria,Rural regions,Sometimes,0.10888,276,24987,0.10861,0.10916
2013,Bavaria,Rural regions,Seldom,0.19405,423,24987,0.19370,0.19440
2013,Bavaria,Rural regions,Never,0.49182,1029,24987,0.49137,0.49226
2013,Berlin,Urban regions,Very often,0.03608,39,24987,0.03585,0.03631
2013,Berlin,Urban regions,Often,0.06236,82,24987,0.06206,0.06265
2013,Berlin,Urban regions,Sometimes,0.06346,69,24987,0.06316,0.06376
2013,Berlin,Urban regions,Seldom,0.15527,165,24987,0.15483,0.15572
2013,Berlin,Urban regions,Never,0.68283,621,24987,0.68226,0.68340
2013,Brandenburg,Urban regions,Never,1.00000,46,24987,1.00000,1.00000
2013,Brandenburg,Rural regions,Very often,0.04457,39,24987,0.04427,0.04487
2013,Brandenburg,Rural regions,Often,0.08622,88,24987,0.08581,0.08663
2013,Brandenburg,Rural regions,Sometimes,0.12412,103,24987,0.12364,0.12461
2013,Brandenburg,Rural regions,Seldom,0.22206,197,24987,0.22145,0.22267
2013,Brandenburg,Rural regions,Never,0.52303,501,24987,0.52229,0.52376
2013,Mecklenburg-Western Pomerania,Urban regions,Never,1.00000,40,24987,1.00000,1.00000
2013,Mecklenburg-Western Pomerania,Rural regions,Often,0.09417,51,24987,0.09363,0.09471
2013,Mecklenburg-Western Pomerania,Rural regions,Sometimes,0.10836,62,24987,0.10778,0.10894
2013,Mecklenburg-Western Pomerania,Rural regions,Seldom,0.21242,99,24987,0.21166,0.21318
2013,Mecklenburg-Western Pomerania,Rural regions,Never,0.58505,290,24987,0.58414,0.58597
2013,Saxony,Urban regions,Very often,0.04075,42,24987,0.04045,0.04105
2013,Saxony,Urban regions,Often,0.10433,95,24987,0.10387,0.10479
2013,Saxony,Urban regions,Sometimes,0.10358,84,24987,0.10312,0.10404
2013,Saxony,Urban regions,Seldom,0.17272,146,24987,0.17216,0.17329
2013,Saxony,Urban regions,Never,0.57862,497,24987,0.57788,0.57936
2013,Saxony,Rural regions,Very often,0.03566,35,24987,0.03540,0.03591
2013,Saxony,Rural regions,Often,0.06682,73,24987,0.06648,0.06717
2013,Saxony,Rural regions,Sometimes,0.10869,93,24987,0.10826,0.10912
2013,Saxony,Rural regions,Seldom,0.18837,154,24987,0.18783,0.18891
2013,Saxony,Rural regions,Never,0.60046,485,24987,0.59978,0.60114
2013,Saxony-Anhalt,Urban regions,Seldom,0.25562,39,24987,0.25393,0.25732
2013,Saxony-Anhalt,Urban regions,Never,0.74438,125,24987,0.74268,0.74607
2013,Saxony-Anhalt,Rural regions,Very often,0.06606,41,24987,0.06566,0.06645
2013,Saxony-Anhalt,Rural regions,Often,0.10876,75,24987,0.10826,0.10925
2013,Saxony-Anhalt,Rural regions,Sometimes,0.08386,68,24987,0.08342,0.08430
2013,Saxony-Anhalt,Rural regions,Seldom,0.16811,135,24987,0.16752,0.16871
2013,Saxony-Anhalt,Rural regions,Never,0.57321,439,24987,0.57243,0.57400
2013,Thuringa,Urban regions,Often,0.14930,33,24987,0.14831,0.15028
2013,Thuringa,Urban regions,Seldom,0.15869,54,24987,0.15768,0.15970
2013,Thuringa,Urban regions,Never,0.69201,169,24987,0.69073,0.69329
2013,Thuringa,Rural regions,Very often,0.03999,35,24987,0.03965,0.04033
2013,Thuringa,Rural regions,Often,0.07656,54,24987,0.07610,0.07702
2013,Thuringa,Rural regions,Sometimes,0.15487,113,24987,0.15424,0.15550
2013,Thuringa,Rural regions,Seldom,0.19194,142,24987,0.19126,0.19262
2013,Thuringa,Rural regions,Never,0.53664,350,24987,0.53577,0.53750
2018,Schleswig-Holstein,Urban regions,Sometimes,0.09454,31,25021,0.09387,0.09520
2018,Schleswig-Holstein,Urban regions,Seldom,0.24433,54,25021,0.24334,0.24531
2018,Schleswig-Holstein,Urban regions,Never,0.66114,180,25021,0.66006,0.66222
2018,Schleswig-Holstein,Rural regions,Very often,0.04913,36,25021,0.04880,0.04946
2018,Schleswig-Holstein,Rural regions,Often,0.09986,75,25021,0.09940,0.10031
2018,Schleswig-Holstein,Rural regions,Sometimes,0.13008,68,25021,0.12957,0.13060
2018,Schleswig-Holstein,Rural regions,Seldom,0.16176,102,25021,0.16120,0.16232
2018,Schleswig-Holstein,Rural regions,Never,0.55917,321,25021,0.55842,0.55993
2018,Hamburg,Urban regions,Sometimes,0.16645,57,25021,0.16583,0.16708
2018,Hamburg,Urban regions,Seldom,0.16286,76,25021,0.16224,0.16348
2018,Hamburg,Urban regions,Never,0.67069,314,25021,0.66990,0.67147
2018,Lower Saxony,Urban regions,Very often,0.04450,76,25021,0.04426,0.04474
2018,Lower Saxony,Urban regions,Often,0.09725,107,25021,0.09690,0.09760
2018,Lower Saxony,Urban regions,Sometimes,0.12312,122,25021,0.12274,0.12351
2018,Lower Saxony,Urban regions,Seldom,0.15385,186,25021,0.15342,0.15427
2018,Lower Saxony,Urban regions,Never,0.58128,560,25021,0.58070,0.58186
2018,Lower Saxony,Rural regions,Very often,0.06437,119,25021,0.06413,0.06462
2018,Lower Saxony,Rural regions,Often,0.11401,186,25021,0.11369,0.11433
2018,Lower Saxony,Rural regions,Sometimes,0.12924,179,25021,0.12891,0.12958
2018,Lower Saxony,Rural regions,Seldom,0.21327,310,25021,0.21286,0.21368
2018,Lower Saxony,Rural regions,Never,0.47910,681,25021,0.47860,0.47961
2018,Bremen,Urban regions,Seldom,0.17075,34,25021,0.16973,0.17177
2018,Bremen,Urban regions,Never,0.82925,135,25021,0.82823,0.83027
2018,North Rhine-Westphalia,Urban regions,Very often,0.05479,329,25021,0.05467,0.05490
2018,North Rhine-Westphalia,Urban regions,Often,0.07192,457,25021,0.07179,0.07205
2018,North Rhine-Westphalia,Urban regions,Sometimes,0.09929,494,25021,0.09914,0.09945
2018,North Rhine-Westphalia,Urban regions,Seldom,0.17568,855,25021,0.17549,0.17588
2018,North Rhine-Westphalia,Urban regions,Never,0.59831,3150,25021,0.59806,0.59857
2018,North Rhine-Westphalia,Rural regions,Never,1.00000,40,25021,1.00000,1.00000
2018,Hesse,Urban regions,Very often,0.09713,136,25021,0.09685,0.09741
