"pld0045","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Selten","2006","Realschule","Laendlicher Raum","","","",""
"Selten","2006","(Fach-)Abitur","Staedtischer Raum","","","",""
"Selten","2006","(Fach-)Abitur","Laendlicher Raum","","","",""
"Selten","2006","AkademikerIn","Staedtischer Raum","","","",""
"Selten","2006","AkademikerIn","Laendlicher Raum","","","",""
"Nie","2006","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Nie","2006","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Nie","2006","Hauptschule","Staedtischer Raum","","","",""
"Nie","2006","Hauptschule","Laendlicher Raum","","","",""
"Nie","2006","Realschule","Staedtischer Raum","","","",""
"Nie","2006","Realschule","Laendlicher Raum","","","",""
"Nie","2006","(Fach-)Abitur","Staedtischer Raum","","","",""
"Nie","2006","(Fach-)Abitur","Laendlicher Raum","","","",""
"Nie","2006","AkademikerIn","Staedtischer Raum","","","",""
"Nie","2006","AkademikerIn","Laendlicher Raum","","","",""
"Sehr oft","2007","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Sehr oft","2007","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Sehr oft","2007","Hauptschule","Staedtischer Raum","","","",""
"Sehr oft","2007","Hauptschule","Laendlicher Raum","","","",""
"Sehr oft","2007","Realschule","Staedtischer Raum","","","",""
"Sehr oft","2007","Realschule","Laendlicher Raum","","","",""
"Sehr oft","2007","(Fach-)Abitur","Staedtischer Raum","","","",""
"Sehr oft","2007","(Fach-)Abitur","Laendlicher Raum","","","",""
"Sehr oft","2007","AkademikerIn","Staedtischer Raum","","","",""
"Sehr oft","2007","AkademikerIn","Laendlicher Raum","","","",""
"Oft","2007","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Oft","2007","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Oft","2007","Hauptschule","Staedtischer Raum","","","",""
"Oft","2007","Hauptschule","Laendlicher Raum","","","",""
"Oft","2007","Realschule","Staedtischer Raum","","","",""
"Oft","2007","Realschule","Laendlicher Raum","","","",""
"Oft","2007","(Fach-)Abitur","Staedtischer Raum","","","",""
"Oft","2007","(Fach-)Abitur","Laendlicher Raum","","","",""
"Oft","2007","AkademikerIn","Staedtischer Raum","","","",""
"Oft","2007","AkademikerIn","Laendlicher Raum","","","",""
"Manchmal","2007","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Manchmal","2007","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Manchmal","2007","Hauptschule","Staedtischer Raum","","","",""
"Manchmal","2007","Hauptschule","Laendlicher Raum","","","",""
"Manchmal","2007","Realschule","Staedtischer Raum","","","",""
"Manchmal","2007","Realschule","Laendlicher Raum","","","",""
"Manchmal","2007","(Fach-)Abitur","Staedtischer Raum","","","",""
"Manchmal","2007","(Fach-)Abitur","Laendlicher Raum","","","",""
"Manchmal","2007","AkademikerIn","Staedtischer Raum","","","",""
"Manchmal","2007","AkademikerIn","Laendlicher Raum","","","",""
"Selten","2007","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Selten","2007","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Selten","2007","Hauptschule","Staedtischer Raum","","","",""
"Selten","2007","Hauptschule","Laendlicher Raum","","","",""
"Selten","2007","Realschule","Staedtischer Raum","","","",""
"Selten","2007","Realschule","Laendlicher Raum","","","",""
"Selten","2007","(Fach-)Abitur","Staedtischer Raum","","","",""
"Selten","2007","(Fach-)Abitur","Laendlicher Raum","","","",""
"Selten","2007","AkademikerIn","Staedtischer Raum","","","",""
"Selten","2007","AkademikerIn","Laendlicher Raum","","","",""
"Nie","2007","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Nie","2007","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Nie","2007","Hauptschule","Staedtischer Raum","","","",""
"Nie","2007","Hauptschule","Laendlicher Raum","","","",""
"Nie","2007","Realschule","Staedtischer Raum","","","",""
"Nie","2007","Realschule","Laendlicher Raum","","","",""
"Nie","2007","(Fach-)Abitur","Staedtischer Raum","","","",""
"Nie","2007","(Fach-)Abitur","Laendlicher Raum","","","",""
"Nie","2007","AkademikerIn","Staedtischer Raum","","","",""
"Nie","2007","AkademikerIn","Laendlicher Raum","","","",""
"Sehr oft","2008","(noch) kein Abschluss","Staedtischer Raum","17","","",""
"Sehr oft","2008","(noch) kein Abschluss","Laendlicher Raum","9","0.0448911403124649","0.0131032984137556","0.0766789822111743"
"Sehr oft","2008","Hauptschule","Staedtischer Raum","162","","",""
"Sehr oft","2008","Hauptschule","Laendlicher Raum","139","","",""
"Sehr oft","2008","Realschule","Staedtischer Raum","153","","",""
"Sehr oft","2008","Realschule","Laendlicher Raum","119","","",""
"Sehr oft","2008","(Fach-)Abitur","Staedtischer Raum","98","0.0585874629418882","0.0471688397139278","0.0700060861698486"
"Sehr oft","2008","(Fach-)Abitur","Laendlicher Raum","46","0.0723562905126624","0.0504234719981825","0.0942891090271424"
"Sehr oft","2008","AkademikerIn","Staedtischer Raum","147","","",""
"Sehr oft","2008","AkademikerIn","Laendlicher Raum","85","0.0639548572450775","0.0502310242976522","0.0776786901925028"
"Oft","2008","(noch) kein Abschluss","Staedtischer Raum","30","0.0796503677629766","0.0522470736823291","0.107053661843624"
"Oft","2008","(noch) kein Abschluss","Laendlicher Raum","17","","",""
"Oft","2008","Hauptschule","Staedtischer Raum","298","","",""
"Oft","2008","Hauptschule","Laendlicher Raum","220","","",""
"Oft","2008","Realschule","Staedtischer Raum","250","","",""
"Oft","2008","Realschule","Laendlicher Raum","201","","",""
"Oft","2008","(Fach-)Abitur","Staedtischer Raum","149","","",""
"Oft","2008","(Fach-)Abitur","Laendlicher Raum","83","0.14630532080887","0.116386322868593","0.176224318749147"
"Oft","2008","AkademikerIn","Staedtischer Raum","277","","",""
"Oft","2008","AkademikerIn","Laendlicher Raum","154","","",""
"Manchmal","2008","(noch) kein Abschluss","Staedtischer Raum","35","0.0994559964540426","0.0691659169671608","0.129746075940924"
"Manchmal","2008","(noch) kein Abschluss","Laendlicher Raum","17","","",""
"Manchmal","2008","Hauptschule","Staedtischer Raum","365","0.0862321881439157","0.0778508671280654","0.0946135091597661"
"Manchmal","2008","Hauptschule","Laendlicher Raum","238","","",""
"Manchmal","2008","Realschule","Staedtischer Raum","319","0.107861288070448","0.0967256246295267","0.118996951511369"
"Manchmal","2008","Realschule","Laendlicher Raum","237","","",""
"Manchmal","2008","(Fach-)Abitur","Staedtischer Raum","151","","",""
"Manchmal","2008","(Fach-)Abitur","Laendlicher Raum","71","0.128916719907118","0.100547319396348","0.157286120417888"
"Manchmal","2008","AkademikerIn","Staedtischer Raum","328","0.0999662903688786","0.0891458212373939","0.110786759500363"
"Manchmal","2008","AkademikerIn","Laendlicher Raum","176","","",""
"Selten","2008","(noch) kein Abschluss","Staedtischer Raum","71","0.17635615114664","0.137781900963588","0.214930401329692"
"Selten","2008","(noch) kein Abschluss","Laendlicher Raum","32","0.242508079429934","0.176711033234846","0.308305125625023"
"Selten","2008","Hauptschule","Staedtischer Raum","631","0.144229719980558","0.133739953406565","0.15471948655455"
"Selten","2008","Hauptschule","Laendlicher Raum","419","0.168372638523044","0.153555470950234","0.183189806095855"
"Selten","2008","Realschule","Staedtischer Raum","514","0.167444281898757","0.154041068951421","0.180847494846093"
"Selten","2008","Realschule","Laendlicher Raum","435","0.209426818654877","0.192048566510629","0.226805070799126"
"Selten","2008","(Fach-)Abitur","Staedtischer Raum","272","","",""
"Selten","2008","(Fach-)Abitur","Laendlicher Raum","100","","",""
"Selten","2008","AkademikerIn","Staedtischer Raum","554","0.204666355847722","0.190112173225027","0.219220538470417"
"Selten","2008","AkademikerIn","Laendlicher Raum","250","","",""
"Nie","2008","(noch) kein Abschluss","Staedtischer Raum","222","","",""
"Nie","2008","(noch) kein Abschluss","Laendlicher Raum","88","0.513620616027128","0.436890988200052","0.590350243854205"
"Nie","2008","Hauptschule","Staedtischer Raum","2853","","",""
"Nie","2008","Hauptschule","Laendlicher Raum","1434","","",""
"Nie","2008","Realschule","Staedtischer Raum","1745","","",""
"Nie","2008","Realschule","Laendlicher Raum","1114","","",""
"Nie","2008","(Fach-)Abitur","Staedtischer Raum","955","0.600905658987081","0.577095497539094","0.624715820435069"
"Nie","2008","(Fach-)Abitur","Laendlicher Raum","236","","",""
"Nie","2008","AkademikerIn","Staedtischer Raum","1646","","",""
"Nie","2008","AkademikerIn","Laendlicher Raum","556","0.454638652328195","0.426708994572113","0.482568310084276"
"Sehr oft","2009","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Sehr oft","2009","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Sehr oft","2009","Hauptschule","Staedtischer Raum","","","",""
"Sehr oft","2009","Hauptschule","Laendlicher Raum","","","",""
"Sehr oft","2009","Realschule","Staedtischer Raum","","","",""
"Sehr oft","2009","Realschule","Laendlicher Raum","","","",""
"Sehr oft","2009","(Fach-)Abitur","Staedtischer Raum","","","",""
"Sehr oft","2009","(Fach-)Abitur","Laendlicher Raum","","","",""
"Sehr oft","2009","AkademikerIn","Staedtischer Raum","","","",""
"Sehr oft","2009","AkademikerIn","Laendlicher Raum","","","",""
"Oft","2009","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Oft","2009","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Oft","2009","Hauptschule","Staedtischer Raum","","","",""
"Oft","2009","Hauptschule","Laendlicher Raum","","","",""
"Oft","2009","Realschule","Staedtischer Raum","","","",""
"Oft","2009","Realschule","Laendlicher Raum","","","",""
"Oft","2009","(Fach-)Abitur","Staedtischer Raum","","","",""
"Oft","2009","(Fach-)Abitur","Laendlicher Raum","","","",""
"Oft","2009","AkademikerIn","Staedtischer Raum","","","",""
"Oft","2009","AkademikerIn","Laendlicher Raum","","","",""
"Manchmal","2009","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Manchmal","2009","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Manchmal","2009","Hauptschule","Staedtischer Raum","","","",""
"Manchmal","2009","Hauptschule","Laendlicher Raum","","","",""
"Manchmal","2009","Realschule","Staedtischer Raum","","","",""
"Manchmal","2009","Realschule","Laendlicher Raum","","","",""
"Manchmal","2009","(Fach-)Abitur","Staedtischer Raum","","","",""
"Manchmal","2009","(Fach-)Abitur","Laendlicher Raum","","","",""
"Manchmal","2009","AkademikerIn","Staedtischer Raum","","","",""
"Manchmal","2009","AkademikerIn","Laendlicher Raum","","","",""
"Selten","2009","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Selten","2009","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Selten","2009","Hauptschule","Staedtischer Raum","","","",""
"Selten","2009","Hauptschule","Laendlicher Raum","","","",""
"Selten","2009","Realschule","Staedtischer Raum","","","",""
"Selten","2009","Realschule","Laendlicher Raum","","","",""
"Selten","2009","(Fach-)Abitur","Staedtischer Raum","","","",""
"Selten","2009","(Fach-)Abitur","Laendlicher Raum","","","",""
"Selten","2009","AkademikerIn","Staedtischer Raum","","","",""
"Selten","2009","AkademikerIn","Laendlicher Raum","","","",""
"Nie","2009","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Nie","2009","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Nie","2009","Hauptschule","Staedtischer Raum","","","",""
"Nie","2009","Hauptschule","Laendlicher Raum","","","",""
"Nie","2009","Realschule","Staedtischer Raum","","","",""
"Nie","2009","Realschule","Laendlicher Raum","","","",""
"Nie","2009","(Fach-)Abitur","Staedtischer Raum","","","",""
"Nie","2009","(Fach-)Abitur","Laendlicher Raum","","","",""
"Nie","2009","AkademikerIn","Staedtischer Raum","","","",""
"Nie","2009","AkademikerIn","Laendlicher Raum","","","",""
"Sehr oft","2010","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Sehr oft","2010","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Sehr oft","2010","Hauptschule","Staedtischer Raum","","","",""
"Sehr oft","2010","Hauptschule","Laendlicher Raum","","","",""
"Sehr oft","2010","Realschule","Staedtischer Raum","","","",""
"Sehr oft","2010","Realschule","Laendlicher Raum","","","",""
"Sehr oft","2010","(Fach-)Abitur","Staedtischer Raum","","","",""
"Sehr oft","2010","(Fach-)Abitur","Laendlicher Raum","","","",""
"Sehr oft","2010","AkademikerIn","Staedtischer Raum","","","",""
"Sehr oft","2010","AkademikerIn","Laendlicher Raum","","","",""
"Oft","2010","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Oft","2010","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Oft","2010","Hauptschule","Staedtischer Raum","","","",""
"Oft","2010","Hauptschule","Laendlicher Raum","","","",""
"Oft","2010","Realschule","Staedtischer Raum","","","",""
"Oft","2010","Realschule","Laendlicher Raum","","","",""
"Oft","2010","(Fach-)Abitur","Staedtischer Raum","","","",""
"Oft","2010","(Fach-)Abitur","Laendlicher Raum","","","",""
"Oft","2010","AkademikerIn","Staedtischer Raum","","","",""
"Oft","2010","AkademikerIn","Laendlicher Raum","","","",""
"Manchmal","2010","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Manchmal","2010","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Manchmal","2010","Hauptschule","Staedtischer Raum","","","",""
"Manchmal","2010","Hauptschule","Laendlicher Raum","","","",""
"Manchmal","2010","Realschule","Staedtischer Raum","","","",""
"Manchmal","2010","Realschule","Laendlicher Raum","","","",""
"Manchmal","2010","(Fach-)Abitur","Staedtischer Raum","","","",""
"Manchmal","2010","(Fach-)Abitur","Laendlicher Raum","","","",""
"Manchmal","2010","AkademikerIn","Staedtischer Raum","","","",""
"Manchmal","2010","AkademikerIn","Laendlicher Raum","","","",""
"Selten","2010","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Selten","2010","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Selten","2010","Hauptschule","Staedtischer Raum","","","",""
"Selten","2010","Hauptschule","Laendlicher Raum","","","",""
"Selten","2010","Realschule","Staedtischer Raum","","","",""
"Selten","2010","Realschule","Laendlicher Raum","","","",""
"Selten","2010","(Fach-)Abitur","Staedtischer Raum","","","",""
"Selten","2010","(Fach-)Abitur","Laendlicher Raum","","","",""
"Selten","2010","AkademikerIn","Staedtischer Raum","","","",""
"Selten","2010","AkademikerIn","Laendlicher Raum","","","",""
"Nie","2010","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Nie","2010","(noch) kein Abschluss","Laendlicher Raum","","","",""
