year,migback,sampreg,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,No migration background,East,Yes,0.14153,766,5502,0.13232,0.15074
2013,No migration background,East,No,0.85847,4736,5502,0.84926,0.86768
2013,Direct migration background,West,Yes,0.13605,340,2698,0.12311,0.14899
2013,Direct migration background,West,No,0.86395,2358,2698,0.85101,0.87689
2013,Direct migration background,East,No,0.83735,133,133,0.77439,0.90030
2013,Indirect migration background,West,Yes,0.10028,115,1059,0.08218,0.11839
2013,Indirect migration background,West,No,0.89972,944,1059,0.88161,0.91782
2013,Indirect migration background,East,No,0.75012,60,60,0.63965,0.86060
2014,No migration background,West,Yes,0.13907,1880,14943,0.13352,0.14462
2014,No migration background,West,No,0.86093,13063,14943,0.85538,0.86648
2014,No migration background,East,Yes,0.14003,718,5113,0.13052,0.14954
2014,No migration background,East,No,0.85997,4395,5113,0.85046,0.86948
2014,Direct migration background,West,Yes,0.13572,682,4910,0.12613,0.14530
2014,Direct migration background,West,No,0.86428,4228,4910,0.85470,0.87387
2014,Direct migration background,East,Yes,0.14970,58,367,0.11315,0.18625
2014,Direct migration background,East,No,0.85030,309,367,0.81375,0.88685
2014,Indirect migration background,West,Yes,0.12092,203,1607,0.10498,0.13687
2014,Indirect migration background,West,No,0.87908,1404,1607,0.86313,0.89502
2014,Indirect migration background,East,No,0.92434,79,79,0.86564,0.98303
2015,No migration background,West,Yes,0.14281,1840,14154,0.13705,0.14858
2015,No migration background,West,No,0.85719,12314,14154,0.85142,0.86295
2015,No migration background,East,Yes,0.14379,695,4837,0.13390,0.15368
2015,No migration background,East,No,0.85621,4142,4837,0.84632,0.86610
2015,Direct migration background,West,Yes,0.12867,558,4148,0.11847,0.13886
2015,Direct migration background,West,No,0.87133,3590,4148,0.86114,0.88153
2015,Direct migration background,East,Yes,0.15515,42,316,0.11517,0.19513
2015,Direct migration background,East,No,0.84485,274,316,0.80487,0.88483
2015,Indirect migration background,West,Yes,0.10779,172,1445,0.09180,0.12379
2015,Indirect migration background,West,No,0.89221,1273,1445,0.87621,0.90820
2015,Indirect migration background,East,No,0.91083,81,81,0.84838,0.97328
2016,No migration background,West,Yes,0.13872,1719,13179,0.13282,0.14462
2016,No migration background,West,No,0.86128,11460,13179,0.85538,0.86718
2016,No migration background,East,Yes,0.13934,620,4547,0.12928,0.14941
2016,No migration background,East,No,0.86066,3927,4547,0.85059,0.87072
2016,Direct migration background,West,Yes,0.12655,617,4565,0.11690,0.13620
2016,Direct migration background,West,No,0.87345,3948,4565,0.86380,0.88310
2016,Direct migration background,East,Yes,0.06984,50,371,0.04387,0.09582
2016,Direct migration background,East,No,0.93016,321,371,0.90418,0.95613
2016,Indirect migration background,West,Yes,0.10348,167,1360,0.08728,0.11967
2016,Indirect migration background,West,No,0.89652,1193,1360,0.88033,0.91272
2016,Indirect migration background,East,No,0.92869,87,87,0.87430,0.98308
2017,No migration background,West,Yes,0.14189,2023,14951,0.13630,0.14748
2017,No migration background,West,No,0.85811,12928,14951,0.85252,0.86370
2017,No migration background,East,Yes,0.14491,708,5100,0.13525,0.15457
2017,No migration background,East,No,0.85509,4392,5100,0.84543,0.86475
2017,Direct migration background,West,Yes,0.14655,572,4354,0.13605,0.15706
2017,Direct migration background,West,No,0.85345,3782,4354,0.84294,0.86395
2017,Direct migration background,East,Yes,0.18984,64,380,0.15036,0.22933
2017,Direct migration background,East,No,0.81016,316,380,0.77067,0.84964
2017,Indirect migration background,West,Yes,0.11357,175,1499,0.09750,0.12964
2017,Indirect migration background,West,No,0.88643,1324,1499,0.87036,0.90250
2017,Indirect migration background,East,No,0.84037,83,83,0.76109,0.91965
2018,No migration background,West,Yes,0.14108,1899,14373,0.13539,0.14677
2018,No migration background,West,No,0.85892,12474,14373,0.85323,0.86461
2018,No migration background,East,Yes,0.15664,729,4987,0.14655,0.16673
2018,No migration background,East,No,0.84336,4258,4987,0.83327,0.85345
2018,Direct migration background,West,Yes,0.12863,537,4190,0.11849,0.13876
2018,Direct migration background,West,No,0.87137,3653,4190,0.86124,0.88151
2018,Direct migration background,East,Yes,0.14722,63,368,0.11097,0.18347
2018,Direct migration background,East,No,0.85278,305,368,0.81653,0.88903
2018,Indirect migration background,West,Yes,0.12105,179,1486,0.10446,0.13764
2018,Indirect migration background,West,No,0.87895,1307,1486,0.86236,0.89554
2018,Indirect migration background,East,No,0.89942,103,103,0.84105,0.95779
2019,No migration background,Does not apply,No,0.96258,63,63,0.91534,1.00982
2019,No migration background,West,Yes,0.14561,2007,14920,0.13995,0.15127
2019,No migration background,West,No,0.85439,12913,14920,0.84873,0.86005
2019,No migration background,East,Yes,0.14623,710,5107,0.13654,0.15592
2019,No migration background,East,No,0.85377,4397,5107,0.84408,0.86346
2019,Direct migration background,West,Yes,0.12608,505,3705,0.11539,0.13677
2019,Direct migration background,West,No,0.87392,3200,3705,0.86323,0.88461
2019,Direct migration background,East,Yes,0.07473,33,313,0.04555,0.10391
2019,Direct migration background,East,No,0.92527,280,313,0.89609,0.95445
2019,Indirect migration background,West,Yes,0.11631,166,1439,0.09974,0.13288
2019,Indirect migration background,West,No,0.88369,1273,1439,0.86712,0.90026
2019,Indirect migration background,East,No,0.88402,102,102,0.82157,0.94647
2020,No migration background,West,Yes,0.14830,1881,13788,0.14236,0.15423
2020,No migration background,West,No,0.85170,11907,13788,0.84577,0.85764
2020,No migration background,East,Yes,0.14256,633,4699,0.13256,0.15255
2020,No migration background,East,No,0.85744,4066,4699,0.84745,0.86744
2020,Direct migration background,West,Yes,0.12380,913,7452,0.11633,0.13128
2020,Direct migration background,West,No,0.87620,6539,7452,0.86872,0.88367
2020,Direct migration background,East,Yes,0.09615,92,891,0.07678,0.11552
2020,Direct migration background,East,No,0.90385,799,891,0.88448,0.92322
2020,Indirect migration background,West,Yes,0.11615,141,1413,0.09944,0.13286
2020,Indirect migration background,West,No,0.88385,1272,1413,0.86714,0.90056
2020,Indirect migration background,East,No,0.87449,104,104,0.81050,0.93847
2021,No migration background,West,Yes,0.13293,1224,9879,0.12623,0.13962
2021,No migration background,West,No,0.86707,8655,9879,0.86038,0.87377
2021,No migration background,East,Yes,0.12601,411,3254,0.11461,0.13742
2021,No migration background,East,No,0.87399,2843,3254,0.86258,0.88539
2021,Direct migration background,West,Yes,0.10723,325,2824,0.09582,0.11864
2021,Direct migration background,West,No,0.89277,2499,2824,0.88136,0.90418
2021,Direct migration background,East,No,0.90751,254,254,0.87181,0.94321
2021,Indirect migration background,West,Yes,0.10656,85,848,0.08578,0.12734
2021,Indirect migration background,West,No,0.89344,763,848,0.87266,0.91422
2021,Indirect migration background,East,No,0.94311,77,77,0.89103,0.99519
2022,No migration background,West,Yes,0.12616,1534,13625,0.12058,0.13174
2022,No migration background,West,No,0.87384,12091,13625,0.86826,0.87942
2022,No migration background,East,Yes,0.12175,519,4638,0.11234,0.13117
2022,No migration background,East,No,0.87825,4119,4638,0.86883,0.88766
2022,Direct migration background,West,Yes,0.12658,701,7093,0.11884,0.13432
2022,Direct migration background,West,No,0.87342,6392,7093,0.86568,0.88116
2022,Direct migration background,East,Yes,0.09665,107,1015,0.07846,0.11484
2022,Direct migration background,East,No,0.90335,908,1015,0.88516,0.92154
2022,Indirect migration background,West,Yes,0.10732,132,1292,0.09044,0.12421
2022,Indirect migration background,West,No,0.89268,1160,1292,0.87579,0.90956
2022,Indirect migration background,East,No,0.89056,139,139,0.83847,0.94264
