year,migback,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Indirect migration background,Yes,0.10057,80,763,0.07922,0.12193
2001,Indirect migration background,No,0.89943,683,763,0.87807,0.92078
2002,No migration background,Yes,0.12785,2292,19421,0.12315,0.13254
2002,No migration background,No,0.87215,17129,19421,0.86746,0.87685
2002,Direct migration background,Yes,0.11669,324,2791,0.10478,0.12860
2002,Direct migration background,No,0.88331,2467,2791,0.87140,0.89522
2002,Indirect migration background,Yes,0.09157,84,767,0.07115,0.11200
2002,Indirect migration background,No,0.90843,683,767,0.88800,0.92885
2003,No migration background,Yes,0.12388,2239,18715,0.11916,0.12860
2003,No migration background,No,0.87612,16476,18715,0.87140,0.88084
2003,Direct migration background,Yes,0.12789,304,2596,0.11504,0.14074
2003,Direct migration background,No,0.87211,2292,2596,0.85926,0.88496
2003,Indirect migration background,Yes,0.10216,73,773,0.08080,0.12353
2003,Indirect migration background,No,0.89784,700,773,0.87647,0.91920
2004,No migration background,Yes,0.13004,2199,18238,0.12516,0.13492
2004,No migration background,No,0.86996,16039,18238,0.86508,0.87484
2004,Direct migration background,Yes,0.12146,300,2520,0.10870,0.13422
2004,Direct migration background,No,0.87854,2220,2520,0.86578,0.89130
2004,Indirect migration background,Yes,0.08655,77,792,0.06695,0.10614
2004,Indirect migration background,No,0.91345,715,792,0.89386,0.93305
2005,No migration background,Yes,0.11862,1959,17449,0.11382,0.12342
2005,No migration background,No,0.88138,15490,17449,0.87658,0.88618
2005,Direct migration background,Yes,0.11312,256,2357,0.10033,0.12591
2005,Direct migration background,No,0.88688,2101,2357,0.87409,0.89967
2005,Indirect migration background,Yes,0.09943,65,819,0.07893,0.11994
2005,Indirect migration background,No,0.90057,754,819,0.88006,0.92107
2006,No migration background,Yes,0.12637,2220,18743,0.12161,0.13112
2006,No migration background,No,0.87363,16523,18743,0.86888,0.87839
2006,Direct migration background,Yes,0.11713,262,2373,0.10419,0.13007
2006,Direct migration background,No,0.88287,2111,2373,0.86993,0.89581
2006,Indirect migration background,Yes,0.08898,70,813,0.06940,0.10856
2006,Indirect migration background,No,0.91102,743,813,0.89144,0.93060
2007,No migration background,Yes,0.12657,2134,17561,0.12165,0.13149
2007,No migration background,No,0.87343,15427,17561,0.86851,0.87835
2007,Direct migration background,Yes,0.10592,237,2113,0.09280,0.11905
2007,Direct migration background,No,0.89408,1876,2113,0.88095,0.90720
2007,Indirect migration background,Yes,0.10489,64,778,0.08334,0.12643
2007,Indirect migration background,No,0.89511,714,778,0.87357,0.91666
2008,No migration background,Yes,0.12066,1964,16588,0.11570,0.12562
2008,No migration background,No,0.87934,14624,16588,0.87438,0.88430
2008,Direct migration background,Yes,0.10376,213,1903,0.09005,0.11746
2008,Direct migration background,No,0.89624,1690,1903,0.88254,0.90995
2008,Indirect migration background,Yes,0.06870,68,759,0.05070,0.08671
2008,Indirect migration background,No,0.93130,691,759,0.91329,0.94930
2009,No migration background,Yes,0.13287,2035,15610,0.12755,0.13820
2009,No migration background,No,0.86713,13575,15610,0.86180,0.87245
2009,Direct migration background,Yes,0.11363,197,1657,0.09835,0.12892
2009,Direct migration background,No,0.88637,1460,1657,0.87108,0.90165
2009,Indirect migration background,Yes,0.09159,61,709,0.07034,0.11284
2009,Indirect migration background,No,0.90841,648,709,0.88716,0.92966
2010,No migration background,Yes,0.13020,2693,19860,0.12552,0.13488
2010,No migration background,No,0.86980,17167,19860,0.86512,0.87448
2010,Direct migration background,Yes,0.11312,439,2976,0.10174,0.12451
2010,Direct migration background,No,0.88688,2537,2976,0.87549,0.89826
2010,Indirect migration background,Yes,0.09493,139,1087,0.07749,0.11236
2010,Indirect migration background,No,0.90507,948,1087,0.88764,0.92251
2011,No migration background,Yes,0.13926,3270,23771,0.13486,0.14366
2011,No migration background,No,0.86074,20501,23771,0.85634,0.86514
2011,Direct migration background,Yes,0.12358,498,3344,0.11242,0.13473
2011,Direct migration background,No,0.87642,2846,3344,0.86527,0.88758
2011,Indirect migration background,Yes,0.08807,132,1237,0.07227,0.10386
2011,Indirect migration background,No,0.91193,1105,1237,0.89614,0.92773
2012,No migration background,Yes,0.14245,3157,23199,0.13795,0.14695
2012,No migration background,No,0.85755,20042,23199,0.85305,0.86205
2012,Direct migration background,Yes,0.12612,417,3185,0.11459,0.13765
2012,Direct migration background,No,0.87388,2768,3185,0.86235,0.88541
2012,Indirect migration background,Yes,0.13450,150,1196,0.11515,0.15384
2012,Indirect migration background,No,0.86550,1046,1196,0.84616,0.88485
2013,No migration background,Yes,0.14686,2959,21671,0.14214,0.15157
2013,No migration background,No,0.85314,18712,21671,0.84843,0.85786
2013,Direct migration background,Yes,0.13702,364,2855,0.12441,0.14964
2013,Direct migration background,No,0.86298,2491,2855,0.85036,0.87559
2013,Indirect migration background,Yes,0.10734,122,1126,0.08925,0.12543
2013,Indirect migration background,No,0.89266,1004,1126,0.87457,0.91075
2014,No migration background,Yes,0.13927,2598,20056,0.13448,0.14406
2014,No migration background,No,0.86073,17458,20056,0.85594,0.86552
2014,Direct migration background,Yes,0.13639,740,5277,0.12712,0.14565
2014,Direct migration background,No,0.86361,4537,5277,0.85435,0.87288
2014,Indirect migration background,Yes,0.11928,213,1696,0.10385,0.13471
2014,Indirect migration background,No,0.88072,1483,1696,0.86529,0.89615
2015,No migration background,Yes,0.14302,2535,18991,0.13804,0.14800
2015,No migration background,No,0.85698,16456,18991,0.85200,0.86196
2015,Direct migration background,Yes,0.12988,600,4464,0.12002,0.13975
2015,Direct migration background,No,0.87012,3864,4464,0.86025,0.87998
2015,Indirect migration background,Yes,0.10709,183,1537,0.09162,0.12255
2015,Indirect migration background,No,0.89291,1354,1537,0.87745,0.90838
2016,No migration background,Yes,0.13885,2339,17726,0.13376,0.14394
2016,No migration background,No,0.86115,15387,17726,0.85606,0.86624
2016,Direct migration background,Yes,0.12348,667,4936,0.11430,0.13266
2016,Direct migration background,No,0.87652,4269,4936,0.86734,0.88570
2016,Indirect migration background,Yes,0.10195,178,1458,0.08642,0.11749
2016,Indirect migration background,No,0.89805,1280,1458,0.88251,0.91358
2017,No migration background,Yes,0.14251,2731,20051,0.13767,0.14735
2017,No migration background,No,0.85749,17320,20051,0.85265,0.86233
2017,Direct migration background,Yes,0.14878,636,4734,0.13864,0.15892
2017,Direct migration background,No,0.85122,4098,4734,0.84108,0.86136
2017,Indirect migration background,Yes,0.11567,190,1597,0.09998,0.13136
2017,Indirect migration background,No,0.88433,1407,1597,0.86864,0.90002
2018,No migration background,Yes,0.14426,2628,19360,0.13931,0.14921
2018,No migration background,No,0.85574,16732,19360,0.85079,0.86069
2018,Direct migration background,Yes,0.12956,600,4558,0.11981,0.13931
2018,Direct migration background,No,0.87044,3958,4558,0.86069,0.88019
2018,Indirect migration background,Yes,0.11999,191,1601,0.10407,0.13591
2018,Indirect migration background,No,0.88001,1410,1601,0.86409,0.89593
2019,No migration background,Yes,0.14557,2721,20094,0.14070,0.15045
2019,No migration background,No,0.85443,17373,20094,0.84955,0.85930
2019,Direct migration background,Yes,0.12352,538,4021,0.11335,0.13370
2019,Direct migration background,No,0.87648,3483,4021,0.86630,0.88665
2019,Indirect migration background,Yes,0.11668,183,1562,0.10075,0.13261
2019,Indirect migration background,No,0.88332,1379,1562,0.86739,0.89925
2020,No migration background,Yes,0.14713,2514,18487,0.14202,0.15224
2020,No migration background,No,0.85287,15973,18487,0.84776,0.85798
2020,Direct migration background,Yes,0.12231,1005,8343,0.11528,0.12934
2020,Direct migration background,No,0.87769,7338,8343,0.87066,0.88472
2020,Indirect migration background,Yes,0.11674,152,1528,0.10063,0.13285
2020,Indirect migration background,No,0.88326,1376,1528,0.86715,0.89937
2021,No migration background,Yes,0.13155,1635,13133,0.12577,0.13733
2021,No migration background,No,0.86845,11498,13133,0.86267,0.87423
2021,Direct migration background,Yes,0.10637,349,3102,0.09552,0.11722
2021,Direct migration background,No,0.89363,2753,3102,0.88278,0.90448
2021,Indirect migration background,Yes,0.10378,90,930,0.08417,0.12339
2021,Indirect migration background,No,0.89622,840,930,0.87661,0.91583
2022,No migration background,Yes,0.12531,2053,18263,0.12051,0.13012
2022,No migration background,No,0.87469,16210,18263,0.86988,0.87949
2022,Direct migration background,Yes,0.12425,808,8108,0.11707,0.13144
2022,Direct migration background,No,0.87575,7300,8108,0.86856,0.88293
2022,Indirect migration background,Yes,0.10748,152,1451,0.09154,0.12342
2022,Indirect migration background,No,0.89252,1299,1451,0.87658,0.90846
