year,sampreg,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,West,Yes,0.13712,2837,21421,0.13251,0.14173
2012,West,No,0.86288,18584,21421,0.85827,0.86749
2012,East,Yes,0.15233,887,6159,0.14336,0.16131
2012,East,No,0.84767,5272,6159,0.83869,0.85664
2013,West,Yes,0.14531,2648,19926,0.14042,0.15021
2013,West,No,0.85469,17278,19926,0.84979,0.85958
2013,East,Yes,0.14268,797,5726,0.13362,0.15174
2013,East,No,0.85732,4929,5726,0.84826,0.86638
2014,West,Yes,0.13747,2765,21460,0.13286,0.14208
2014,West,No,0.86253,18695,21460,0.85792,0.86714
2014,East,Yes,0.13976,786,5569,0.13065,0.14887
2014,East,No,0.86024,4783,5569,0.85113,0.86935
2015,West,Yes,0.13863,2570,19747,0.13381,0.14345
2015,West,No,0.86137,17177,19747,0.85655,0.86619
2015,East,Yes,0.14361,748,5245,0.13412,0.15310
2015,East,No,0.85639,4497,5245,0.84690,0.86588
2016,West,Yes,0.13450,2503,19104,0.12966,0.13933
2016,West,No,0.86550,16601,19104,0.86067,0.87034
2016,East,Yes,0.13522,681,5016,0.12576,0.14469
2016,East,No,0.86478,4335,5016,0.85531,0.87424
2017,West,Yes,0.14089,2770,20804,0.13616,0.14562
2017,West,No,0.85911,18034,20804,0.85438,0.86384
2017,East,Yes,0.14709,787,5578,0.13780,0.15639
2017,East,No,0.85291,4791,5578,0.84361,0.86220
2018,West,Yes,0.13760,2615,20049,0.13283,0.14237
2018,West,No,0.86240,17434,20049,0.85763,0.86717
2018,East,Yes,0.15525,804,5470,0.14566,0.16485
2018,East,No,0.84475,4666,5470,0.83515,0.85434
2019,Does not apply,No,0.94107,70,70,0.88551,0.99664
2019,West,Yes,0.14019,2678,20064,0.13539,0.14500
2019,West,No,0.85981,17386,20064,0.85500,0.86461
2019,East,Yes,0.14265,758,5537,0.13343,0.15186
2019,East,No,0.85735,4779,5537,0.84814,0.86657
2020,West,Yes,0.14221,2935,22653,0.13766,0.14676
2020,West,No,0.85779,19718,22653,0.85324,0.86234
2020,East,Yes,0.14012,736,5705,0.13111,0.14913
2020,East,No,0.85988,4969,5705,0.85087,0.86889
2021,West,Yes,0.12704,1634,13551,0.12143,0.13265
2021,West,No,0.87296,11917,13551,0.86735,0.87857
2021,East,Yes,0.12312,440,3614,0.11240,0.13383
2021,East,No,0.87688,3174,3614,0.86617,0.88760
2022,West,Yes,0.12486,2367,22012,0.12049,0.12922
2022,West,No,0.87514,19645,22012,0.87078,0.87951
2022,East,Yes,0.11854,646,5817,0.11023,0.12684
2022,East,No,0.88146,5171,5817,0.87316,0.88977
