year,bula_h,migback,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,No migration background,Yes,0.10816,43,313,0.07370,0.14262
1985,Schleswig-Holstein,No migration background,No,0.72204,270,313,0.67233,0.77175
1985,Schleswig-Holstein,Direct migration background,No,0.84491,38,38,0.72827,0.96155
1985,Hamburg,No migration background,No,0.83636,186,186,0.78305,0.88967
1985,Hamburg,Direct migration background,No,0.74750,60,60,0.63665,0.85836
1985,Lower Saxony,No migration background,Yes,0.09449,102,945,0.07583,0.11315
1985,Lower Saxony,No migration background,No,0.76146,843,945,0.73427,0.78865
1985,Lower Saxony,Direct migration background,No,0.78100,138,138,0.71174,0.85025
1985,Bremen,No migration background,No,0.85559,83,83,0.77951,0.93168
1985,North Rhine-Westphalia,No migration background,Yes,0.09696,247,2110,0.08433,0.10959
1985,North Rhine-Westphalia,No migration background,No,0.74525,1863,2110,0.72666,0.76385
1985,North Rhine-Westphalia,Direct migration background,Yes,0.08485,89,799,0.06552,0.10419
1985,North Rhine-Westphalia,Direct migration background,No,0.80953,710,799,0.78228,0.83677
1985,North Rhine-Westphalia,Indirect migration background,No,0.08343,33,33,-0.01238,0.17925
1985,Hesse,No migration background,Yes,0.08522,68,701,0.06454,0.10590
1985,Hesse,No migration background,No,0.78514,633,701,0.75471,0.81556
1985,Hesse,Direct migration background,Yes,0.08626,42,420,0.05938,0.11314
1985,Hesse,Direct migration background,No,0.85905,378,420,0.82573,0.89237
1985,"Rhineland-Palatinate, Saarland",No migration background,Yes,0.09834,68,633,0.07512,0.12156
1985,"Rhineland-Palatinate, Saarland",No migration background,No,0.77469,565,633,0.74211,0.80726
1985,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.80833,110,110,0.73443,0.88222
1985,Baden-Wuerttemberg,No migration background,Yes,0.08881,129,1220,0.07284,0.10478
1985,Baden-Wuerttemberg,No migration background,No,0.74316,1091,1220,0.71864,0.76769
1985,Baden-Wuerttemberg,Direct migration background,Yes,0.11085,108,785,0.08887,0.13283
1985,Baden-Wuerttemberg,Direct migration background,No,0.80589,677,785,0.77820,0.83358
1985,Baden-Wuerttemberg,Indirect migration background,No,0.15008,32,32,0.02435,0.27581
1985,Bavaria,No migration background,Yes,0.11020,190,1483,0.09426,0.12615
1985,Bavaria,No migration background,No,0.73755,1293,1483,0.71515,0.75995
1985,Bavaria,Direct migration background,Yes,0.08718,41,380,0.05878,0.11558
1985,Bavaria,Direct migration background,No,0.81729,339,380,0.77838,0.85619
1985,Berlin,No migration background,No,0.78868,234,234,0.73626,0.84110
1985,Berlin,Direct migration background,No,0.82313,92,92,0.74474,0.90153
1986,Schleswig-Holstein,No migration background,Yes,0.08925,31,282,0.05592,0.12259
1986,Schleswig-Holstein,No migration background,No,0.73596,251,282,0.68442,0.78751
1986,Schleswig-Holstein,Direct migration background,No,0.82569,35,35,0.69817,0.95321
1986,Hamburg,No migration background,No,0.81975,160,160,0.76000,0.87950
1986,Hamburg,Direct migration background,No,0.87234,64,64,0.78994,0.95475
1986,Lower Saxony,No migration background,Yes,0.09608,97,925,0.07708,0.11508
1986,Lower Saxony,No migration background,No,0.76280,828,925,0.73537,0.79023
1986,Lower Saxony,Direct migration background,No,0.80595,158,158,0.74409,0.86781
1986,Bremen,No migration background,No,0.82207,75,75,0.73493,0.90921
1986,North Rhine-Westphalia,No migration background,Yes,0.10305,244,2038,0.08985,0.11625
1986,North Rhine-Westphalia,No migration background,No,0.73897,1794,2038,0.71990,0.75804
1986,North Rhine-Westphalia,Direct migration background,Yes,0.11997,106,772,0.09703,0.14290
1986,North Rhine-Westphalia,Direct migration background,No,0.78702,666,772,0.75812,0.81592
1986,North Rhine-Westphalia,Indirect migration background,No,0.10635,41,41,0.01081,0.20189
1986,Hesse,No migration background,Yes,0.09839,73,657,0.07560,0.12118
1986,Hesse,No migration background,No,0.75958,584,657,0.72688,0.79229
1986,Hesse,Direct migration background,Yes,0.17121,58,377,0.13314,0.20929
1986,Hesse,Direct migration background,No,0.76281,319,377,0.71982,0.80581
1986,"Rhineland-Palatinate, Saarland",No migration background,Yes,0.12175,80,631,0.09621,0.14728
1986,"Rhineland-Palatinate, Saarland",No migration background,No,0.74599,551,631,0.71200,0.77998
1986,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.79351,113,113,0.71854,0.86848
1986,Baden-Wuerttemberg,No migration background,Yes,0.09648,135,1176,0.07959,0.11336
1986,Baden-Wuerttemberg,No migration background,No,0.74113,1041,1176,0.71608,0.76617
1986,Baden-Wuerttemberg,Direct migration background,Yes,0.13875,117,763,0.11420,0.16329
1986,Baden-Wuerttemberg,Direct migration background,No,0.78801,646,763,0.75899,0.81703
1986,Baden-Wuerttemberg,Indirect migration background,No,0.13900,39,39,0.02900,0.24899
1986,Bavaria,No migration background,Yes,0.10824,168,1363,0.09174,0.12474
1986,Bavaria,No migration background,No,0.73458,1195,1363,0.71113,0.75803
1986,Bavaria,Direct migration background,Yes,0.09259,53,372,0.06310,0.12209
1986,Bavaria,Direct migration background,No,0.80976,319,372,0.76982,0.84970
1986,Berlin,No migration background,No,0.76268,213,213,0.70541,0.81995
1986,Berlin,Direct migration background,No,0.84351,94,94,0.76966,0.91735
1987,Schleswig-Holstein,No migration background,Yes,0.09704,31,277,0.06212,0.13197
1987,Schleswig-Holstein,No migration background,No,0.71290,246,277,0.65953,0.76628
1987,Schleswig-Holstein,Direct migration background,No,0.94112,42,42,0.86907,1.01318
1987,Hamburg,No migration background,No,0.80918,141,141,0.74409,0.87427
1987,Hamburg,Direct migration background,No,0.81886,56,56,0.71708,0.92065
1987,Lower Saxony,No migration background,Yes,0.10633,119,924,0.08644,0.12622
1987,Lower Saxony,No migration background,No,0.74872,805,924,0.72074,0.77670
1987,Lower Saxony,Direct migration background,No,0.87122,157,157,0.81866,0.92378
1987,Bremen,No migration background,No,0.81184,69,69,0.71894,0.90474
1987,North Rhine-Westphalia,No migration background,Yes,0.10170,234,2002,0.08845,0.11494
1987,North Rhine-Westphalia,No migration background,No,0.73784,1768,2002,0.71857,0.75711
1987,North Rhine-Westphalia,Direct migration background,Yes,0.11684,97,762,0.09401,0.13966
1987,North Rhine-Westphalia,Direct migration background,No,0.81331,665,762,0.78563,0.84100
1987,North Rhine-Westphalia,Indirect migration background,No,0.08808,43,43,0.00237,0.17379
1987,Hesse,No migration background,Yes,0.10947,81,645,0.08536,0.13359
1987,Hesse,No migration background,No,0.75095,564,645,0.71755,0.78435
1987,Hesse,Direct migration background,Yes,0.11423,40,394,0.08278,0.14568
1987,Hesse,Direct migration background,No,0.81525,354,394,0.77688,0.85362
1987,"Rhineland-Palatinate, Saarland",No migration background,Yes,0.09823,70,626,0.07490,0.12157
1987,"Rhineland-Palatinate, Saarland",No migration background,No,0.77055,556,626,0.73758,0.80351
1987,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.82780,120,120,0.75997,0.89564
1987,Baden-Wuerttemberg,No migration background,Yes,0.10801,150,1156,0.09011,0.12591
1987,Baden-Wuerttemberg,No migration background,No,0.72333,1006,1156,0.69753,0.74913
1987,Baden-Wuerttemberg,Direct migration background,Yes,0.12842,96,757,0.10457,0.15227
1987,Baden-Wuerttemberg,Direct migration background,No,0.81264,661,757,0.78483,0.84046
1987,Baden-Wuerttemberg,Indirect migration background,No,0.12816,41,41,0.02457,0.23175
1987,Bavaria,No migration background,Yes,0.11025,155,1326,0.09339,0.12712
1987,Bavaria,No migration background,No,0.72992,1171,1326,0.70601,0.75382
1987,Bavaria,Direct migration background,Yes,0.12194,44,359,0.08805,0.15584
1987,Bavaria,Direct migration background,No,0.80735,315,359,0.76650,0.84820
1987,Berlin,No migration background,Yes,0.12567,32,244,0.08400,0.16735
1987,Berlin,No migration background,No,0.77412,212,244,0.72154,0.82669
1987,Berlin,Direct migration background,No,0.81942,101,101,0.74403,0.89482
1988,Schleswig-Holstein,No migration background,Yes,0.09771,35,275,0.06255,0.13286
1988,Schleswig-Holstein,No migration background,No,0.70335,240,275,0.64927,0.75744
1988,Schleswig-Holstein,Direct migration background,No,0.88481,41,41,0.78587,0.98375
1988,Hamburg,No migration background,No,0.81675,128,128,0.74947,0.88404
1988,Hamburg,Direct migration background,No,0.78718,44,44,0.66485,0.90952
1988,Lower Saxony,No migration background,Yes,0.11125,106,866,0.09029,0.13220
1988,Lower Saxony,No migration background,No,0.74784,760,866,0.71890,0.77678
1988,Lower Saxony,Direct migration background,No,0.77733,137,137,0.70741,0.84725
1988,Bremen,No migration background,No,0.80351,70,70,0.70976,0.89727
1988,North Rhine-Westphalia,No migration background,Yes,0.10666,245,1929,0.09288,0.12044
1988,North Rhine-Westphalia,No migration background,No,0.73684,1684,1929,0.71718,0.75649
1988,North Rhine-Westphalia,Direct migration background,Yes,0.12235,90,690,0.09788,0.14682
1988,North Rhine-Westphalia,Direct migration background,No,0.80762,600,690,0.77819,0.83706
1988,North Rhine-Westphalia,Indirect migration background,No,0.10750,57,57,0.02637,0.18862
1988,Hesse,No migration background,Yes,0.09491,67,600,0.07144,0.11839
1988,Hesse,No migration background,No,0.75366,533,600,0.71915,0.78817
1988,Hesse,Direct migration background,Yes,0.09348,38,379,0.06413,0.12282
1988,Hesse,Direct migration background,No,0.82399,341,379,0.78559,0.86238
1988,"Rhineland-Palatinate, Saarland",No migration background,Yes,0.11832,77,597,0.09239,0.14425
1988,"Rhineland-Palatinate, Saarland",No migration background,No,0.75151,520,597,0.71682,0.78620
1988,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.82264,113,113,0.75189,0.89338
1988,Baden-Wuerttemberg,No migration background,Yes,0.10476,138,1099,0.08664,0.12287
1988,Baden-Wuerttemberg,No migration background,No,0.73188,961,1099,0.70567,0.75808
1988,Baden-Wuerttemberg,Direct migration background,Yes,0.07817,65,721,0.05856,0.09777
1988,Baden-Wuerttemberg,Direct migration background,No,0.86432,656,721,0.83931,0.88933
1988,Baden-Wuerttemberg,Indirect migration background,No,0.18426,53,53,0.07888,0.28964
1988,Bavaria,No migration background,Yes,0.11623,161,1244,0.09841,0.13405
1988,Bavaria,No migration background,No,0.72658,1083,1244,0.70180,0.75136
1988,Bavaria,Direct migration background,Yes,0.11189,43,358,0.07919,0.14459
1988,Bavaria,Direct migration background,No,0.81292,315,358,0.77247,0.85338
1988,Bavaria,Indirect migration background,No,0.20578,36,36,0.07185,0.33972
1988,Berlin,No migration background,No,0.78864,199,199,0.73178,0.84551
1988,Berlin,Direct migration background,No,0.84898,95,95,0.77660,0.92137
1989,Schleswig-Holstein,No migration background,Yes,0.10449,35,260,0.06724,0.14175
1989,Schleswig-Holstein,No migration background,No,0.68494,225,260,0.62837,0.74152
1989,Schleswig-Holstein,Direct migration background,No,0.81742,34,34,0.68562,0.94923
1989,Hamburg,No migration background,No,0.84914,127,127,0.78665,0.91164
1989,Hamburg,Direct migration background,No,0.87782,46,46,0.78213,0.97351
1989,Lower Saxony,No migration background,Yes,0.14101,121,818,0.11714,0.16487
1989,Lower Saxony,No migration background,No,0.72137,697,818,0.69063,0.75212
1989,Lower Saxony,Direct migration background,No,0.80176,135,135,0.73426,0.86926
1989,Bremen,No migration background,No,0.74931,74,74,0.64989,0.84873
1989,North Rhine-Westphalia,No migration background,Yes,0.10187,223,1861,0.08812,0.11562
1989,North Rhine-Westphalia,No migration background,No,0.74522,1638,1861,0.72541,0.76502
1989,North Rhine-Westphalia,Direct migration background,Yes,0.08450,75,672,0.06346,0.10555
1989,North Rhine-Westphalia,Direct migration background,No,0.86024,597,672,0.83400,0.88648
1989,North Rhine-Westphalia,Indirect migration background,No,0.15641,68,68,0.06943,0.24338
1989,Hesse,No migration background,Yes,0.11115,79,610,0.08619,0.13612
1989,Hesse,No migration background,No,0.74881,531,610,0.71437,0.78326
1989,Hesse,Direct migration background,Yes,0.09238,33,361,0.06246,0.12229
1989,Hesse,Direct migration background,No,0.82556,328,361,0.78636,0.86476
1989,"Rhineland-Palatinate, Saarland",No migration background,Yes,0.09719,67,561,0.07265,0.12172
1989,"Rhineland-Palatinate, Saarland",No migration background,No,0.77708,494,561,0.74261,0.81155
1989,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.83518,105,105,0.76387,0.90649
1989,Baden-Wuerttemberg,No migration background,Yes,0.10969,132,1049,0.09077,0.12861
1989,Baden-Wuerttemberg,No migration background,No,0.73164,917,1049,0.70481,0.75847
1989,Baden-Wuerttemberg,Direct migration background,Yes,0.11444,79,696,0.09077,0.13811
1989,Baden-Wuerttemberg,Direct migration background,No,0.83537,617,696,0.80780,0.86294
1989,Baden-Wuerttemberg,Indirect migration background,No,0.17004,57,57,0.07165,0.26843
1989,Bavaria,No migration background,Yes,0.09804,130,1197,0.08119,0.11490
1989,Bavaria,No migration background,No,0.74501,1067,1197,0.72031,0.76971
1989,Bavaria,Direct migration background,Yes,0.12008,42,357,0.08631,0.15384
1989,Bavaria,Direct migration background,No,0.82561,315,357,0.78619,0.86502
1989,Bavaria,Indirect migration background,No,0.25160,49,49,0.12884,0.37436
1989,Berlin,No migration background,No,0.80392,199,199,0.74862,0.85923
1989,Berlin,Direct migration background,No,0.87906,89,89,0.81093,0.94718
1991,Schleswig-Holstein,No migration background,Yes,0.10604,36,254,0.06810,0.14398
1991,Schleswig-Holstein,No migration background,No,0.66615,218,254,0.60804,0.72426
1991,Hamburg,No migration background,No,0.81864,104,104,0.74423,0.89306
1991,Hamburg,Direct migration background,No,0.74581,32,32,0.59254,0.89909
1991,Lower Saxony,No migration background,Yes,0.10498,95,795,0.08366,0.12630
1991,Lower Saxony,No migration background,No,0.75229,700,795,0.72227,0.78232
1991,Lower Saxony,Direct migration background,No,0.84170,132,132,0.77919,0.90421
1991,Bremen,No migration background,No,0.74799,67,67,0.64325,0.85274
1991,North Rhine-Westphalia,No migration background,Yes,0.12031,239,1786,0.10522,0.13541
1991,North Rhine-Westphalia,No migration background,No,0.71134,1547,1786,0.69032,0.73236
1991,North Rhine-Westphalia,Direct migration background,Yes,0.11318,76,650,0.08880,0.13755
1991,North Rhine-Westphalia,Direct migration background,No,0.85862,574,650,0.83181,0.88542
1991,North Rhine-Westphalia,Indirect migration background,No,0.18445,87,87,0.10247,0.26642
1991,Hesse,No migration background,Yes,0.11017,74,583,0.08473,0.13561
1991,Hesse,No migration background,No,0.74080,509,583,0.70520,0.77640
1991,Hesse,Direct migration background,Yes,0.09344,35,338,0.06237,0.12452
1991,Hesse,Direct migration background,No,0.83222,303,338,0.79232,0.87211
1991,Hesse,Indirect migration background,No,0.22105,37,37,0.08549,0.35660
1991,"Rhineland-Palatinate, Saarland",No migration background,Yes,0.13443,81,534,0.10547,0.16339
1991,"Rhineland-Palatinate, Saarland",No migration background,No,0.72153,453,534,0.68348,0.75959
1991,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.79704,102,102,0.71860,0.87548
1991,Baden-Wuerttemberg,No migration background,Yes,0.10419,132,1019,0.08542,0.12295
1991,Baden-Wuerttemberg,No migration background,No,0.72134,887,1019,0.69380,0.74888
1991,Baden-Wuerttemberg,Direct migration background,Yes,0.12029,81,682,0.09585,0.14472
1991,Baden-Wuerttemberg,Direct migration background,No,0.85453,601,682,0.82805,0.88101
1991,Baden-Wuerttemberg,Indirect migration background,No,0.18754,76,76,0.09920,0.27588
1991,Bavaria,No migration background,Yes,0.11434,149,1183,0.09619,0.13248
1991,Bavaria,No migration background,No,0.71782,1034,1183,0.69216,0.74348
1991,Bavaria,Direct migration background,Yes,0.13927,41,356,0.10325,0.17528
1991,Bavaria,Direct migration background,No,0.83251,315,356,0.79367,0.87136
1991,Bavaria,Indirect migration background,No,0.22227,48,48,0.10340,0.34114
1991,Berlin,No migration background,Yes,0.07618,33,214,0.04055,0.11180
1991,Berlin,No migration background,No,0.45606,181,214,0.38917,0.52295
1991,Berlin,Direct migration background,No,0.75178,91,91,0.66253,0.84102
1992,Schleswig-Holstein,No migration background,Yes,0.12028,38,236,0.07869,0.16187
1992,Schleswig-Holstein,No migration background,No,0.65794,198,236,0.59729,0.71860
1992,Hamburg,No migration background,No,0.79026,95,95,0.70795,0.87256
1992,Hamburg,Direct migration background,No,0.81686,35,35,0.68685,0.94687
1992,Lower Saxony,No migration background,Yes,0.11225,107,792,0.09025,0.13425
1992,Lower Saxony,No migration background,No,0.72258,685,792,0.69137,0.75378
1992,Lower Saxony,Direct migration background,No,0.81636,120,120,0.74679,0.88593
1992,Bremen,No migration background,No,0.77448,69,69,0.67515,0.87381
1992,North Rhine-Westphalia,No migration background,Yes,0.10991,220,1768,0.09533,0.12449
1992,North Rhine-Westphalia,No migration background,No,0.71731,1548,1768,0.69631,0.73831
1992,North Rhine-Westphalia,Direct migration background,Yes,0.10463,75,632,0.08075,0.12851
1992,North Rhine-Westphalia,Direct migration background,No,0.88124,557,632,0.85599,0.90648
1992,North Rhine-Westphalia,Indirect migration background,No,0.20311,96,96,0.12221,0.28401
1992,Hesse,No migration background,Yes,0.09571,63,585,0.07185,0.11957
1992,Hesse,No migration background,No,0.76216,522,585,0.72763,0.79669
1992,Hesse,Direct migration background,No,0.86746,290,290,0.82836,0.90655
1992,Hesse,Indirect migration background,No,0.26825,40,40,0.12920,0.40730
1992,"Rhineland-Palatinate, Saarland",No migration background,Yes,0.11311,75,531,0.08615,0.14008
1992,"Rhineland-Palatinate, Saarland",No migration background,No,0.74175,456,531,0.70449,0.77901
1992,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.86577,102,102,0.79928,0.93225
1992,Baden-Wuerttemberg,No migration background,Yes,0.09649,114,988,0.07807,0.11492
1992,Baden-Wuerttemberg,No migration background,No,0.72331,874,988,0.69540,0.75122
1992,Baden-Wuerttemberg,Direct migration background,Yes,0.09961,74,670,0.07691,0.12230
1992,Baden-Wuerttemberg,Direct migration background,No,0.87958,596,670,0.85491,0.90424
1992,Baden-Wuerttemberg,Indirect migration background,No,0.21401,87,87,0.12733,0.30070
1992,Bavaria,No migration background,Yes,0.10809,146,1220,0.09066,0.12552
1992,Bavaria,No migration background,No,0.72617,1074,1220,0.70113,0.75120
1992,Bavaria,Direct migration background,Yes,0.12241,40,359,0.08846,0.15636
1992,Bavaria,Direct migration background,No,0.86203,319,359,0.82631,0.89776
1992,Bavaria,Indirect migration background,No,0.22056,52,52,0.10676,0.33435
1992,Berlin,No migration background,Yes,0.09462,46,470,0.06813,0.12110
1992,Berlin,No migration background,No,0.75938,424,470,0.72069,0.79806
1992,Berlin,Direct migration background,No,0.85015,92,92,0.77682,0.92349
1992,Brandenburg,No migration background,Yes,0.07737,58,637,0.05660,0.09813
1992,Brandenburg,No migration background,No,0.72890,579,637,0.69435,0.76345
1992,Mecklenburg-Western Pomerania,No migration background,Yes,0.09208,41,401,0.06375,0.12042
1992,Mecklenburg-Western Pomerania,No migration background,No,0.71442,360,401,0.67015,0.75868
1992,Saxony,No migration background,Yes,0.07140,94,1113,0.05626,0.08653
1992,Saxony,No migration background,No,0.74279,1019,1113,0.71710,0.76848
1992,Saxony,Direct migration background,No,0.88169,37,37,0.77619,0.98720
1992,Saxony-Anhalt,No migration background,Yes,0.08324,64,735,0.06326,0.10323
1992,Saxony-Anhalt,No migration background,No,0.74922,671,735,0.71786,0.78058
1992,Thuringa,No migration background,Yes,0.09261,74,653,0.07036,0.11487
1992,Thuringa,No migration background,No,0.69326,579,653,0.65787,0.72866
1994,Schleswig-Holstein,No migration background,No,0.71098,225,225,0.65162,0.77035
1994,Hamburg,No migration background,No,0.72207,84,84,0.62569,0.81845
1994,Lower Saxony,No migration background,Yes,0.10622,90,795,0.08479,0.12766
1994,Lower Saxony,No migration background,No,0.72425,705,795,0.69317,0.75533
1994,Lower Saxony,Direct migration background,No,0.93509,123,123,0.89137,0.97881
1994,Lower Saxony,Indirect migration background,No,0.29390,31,31,0.13089,0.45692
1994,Bremen,No migration background,No,0.78298,63,63,0.68037,0.88559
1994,North Rhine-Westphalia,No migration background,Yes,0.11843,228,1720,0.10316,0.13371
1994,North Rhine-Westphalia,No migration background,No,0.70012,1492,1720,0.67846,0.72178
1994,North Rhine-Westphalia,Direct migration background,Yes,0.09740,61,576,0.07316,0.12164
1994,North Rhine-Westphalia,Direct migration background,No,0.89500,515,576,0.86994,0.92005
1994,North Rhine-Westphalia,Indirect migration background,No,0.28317,124,124,0.20354,0.36279
1994,Hesse,No migration background,Yes,0.12384,70,562,0.09658,0.15110
1994,Hesse,No migration background,No,0.72577,492,562,0.68885,0.76269
1994,Hesse,Direct migration background,No,0.88016,271,271,0.84142,0.91890
1994,Hesse,Indirect migration background,No,0.37281,52,52,0.24010,0.50552
1994,"Rhineland-Palatinate, Saarland",No migration background,Yes,0.14784,88,518,0.11724,0.17844
1994,"Rhineland-Palatinate, Saarland",No migration background,No,0.69170,430,518,0.65189,0.73151
1994,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.91657,95,95,0.86067,0.97247
1994,Baden-Wuerttemberg,No migration background,Yes,0.09570,108,973,0.07721,0.11419
1994,Baden-Wuerttemberg,No migration background,No,0.73045,865,973,0.70255,0.75834
1994,Baden-Wuerttemberg,Direct migration background,Yes,0.11549,80,630,0.09051,0.14046
1994,Baden-Wuerttemberg,Direct migration background,No,0.86568,550,630,0.83903,0.89233
1994,Baden-Wuerttemberg,Indirect migration background,No,0.27732,117,117,0.19585,0.35878
1994,Bavaria,No migration background,Yes,0.11452,150,1188,0.09640,0.13263
1994,Bavaria,No migration background,No,0.70587,1038,1188,0.67995,0.73179
1994,Bavaria,Direct migration background,Yes,0.16942,40,327,0.12870,0.21015
1994,Bavaria,Direct migration background,No,0.82104,287,327,0.77943,0.86265
1994,Bavaria,Indirect migration background,No,0.30706,62,62,0.19130,0.42282
1994,Berlin,No migration background,Yes,0.08235,48,445,0.05678,0.10792
1994,Berlin,No migration background,No,0.75863,397,445,0.71883,0.79843
1994,Berlin,Direct migration background,No,0.82303,73,73,0.73488,0.91119
1994,Brandenburg,No migration background,Yes,0.07866,54,585,0.05683,0.10049
1994,Brandenburg,No migration background,No,0.74502,531,585,0.70967,0.78037
1994,Mecklenburg-Western Pomerania,No migration background,Yes,0.10429,52,398,0.07423,0.13436
1994,Mecklenburg-Western Pomerania,No migration background,No,0.68461,346,398,0.63890,0.73032
1994,Saxony,No migration background,Yes,0.09347,110,1080,0.07610,0.11084
1994,Saxony,No migration background,No,0.72903,970,1080,0.70251,0.75555
1994,Saxony,Direct migration background,No,0.90535,37,37,0.80972,1.00098
1994,Saxony-Anhalt,No migration background,Yes,0.08538,60,669,0.06418,0.10657
1994,Saxony-Anhalt,No migration background,No,0.74906,609,669,0.71619,0.78194
1994,Thuringa,No migration background,Yes,0.10521,77,636,0.08134,0.12907
1994,Thuringa,No migration background,No,0.69256,559,636,0.65667,0.72845
1995,Schleswig-Holstein,No migration background,Yes,0.10820,31,242,0.06898,0.14742
1995,Schleswig-Holstein,No migration background,No,0.67464,211,242,0.61549,0.73379
1995,Schleswig-Holstein,Direct migration background,No,0.93232,32,32,0.84389,1.02075
1995,Hamburg,No migration background,No,0.78316,85,85,0.69503,0.87128
1995,Lower Saxony,No migration background,Yes,0.08958,82,793,0.06969,0.10946
1995,Lower Saxony,No migration background,No,0.72708,711,793,0.69606,0.75811
1995,Lower Saxony,Direct migration background,No,0.76797,188,188,0.70746,0.82847
1995,Lower Saxony,Indirect migration background,No,0.26182,33,33,0.10949,0.41414
1995,Bremen,No migration background,No,0.75788,62,62,0.65038,0.86538
1995,North Rhine-Westphalia,No migration background,Yes,0.11345,213,1732,0.09851,0.12839
1995,North Rhine-Westphalia,No migration background,No,0.71139,1519,1732,0.69005,0.73274
1995,North Rhine-Westphalia,Direct migration background,Yes,0.08939,80,684,0.06799,0.11079
1995,North Rhine-Westphalia,Direct migration background,No,0.83992,604,684,0.81242,0.86742
1995,North Rhine-Westphalia,Indirect migration background,No,0.33056,132,132,0.25001,0.41112
1995,Hesse,No migration background,Yes,0.12634,77,575,0.09916,0.15352
1995,Hesse,No migration background,No,0.73480,498,575,0.69869,0.77092
1995,Hesse,Direct migration background,Yes,0.13125,41,318,0.09408,0.16842
1995,Hesse,Direct migration background,No,0.80661,277,318,0.76313,0.85009
1995,Hesse,Indirect migration background,No,0.27239,47,47,0.14374,0.40105
1995,"Rhineland-Palatinate, Saarland",No migration background,Yes,0.11411,71,515,0.08662,0.14160
1995,"Rhineland-Palatinate, Saarland",No migration background,No,0.70999,444,515,0.67076,0.74922
1995,"Rhineland-Palatinate, Saarland",Direct migration background,No,0.77014,164,164,0.70555,0.83473
1995,Baden-Wuerttemberg,No migration background,Yes,0.09363,112,983,0.07541,0.11185
1995,Baden-Wuerttemberg,No migration background,No,0.72424,871,983,0.69629,0.75219
1995,Baden-Wuerttemberg,Direct migration background,Yes,0.16266,95,675,0.13479,0.19052
1995,Baden-Wuerttemberg,Direct migration background,No,0.79669,580,675,0.76631,0.82708
1995,Baden-Wuerttemberg,Indirect migration background,No,0.30911,119,119,0.22573,0.39250
1995,Bavaria,No migration background,Yes,0.11818,165,1206,0.09995,0.13641
