year,quintil_oecd,sex,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,5th Quintile,male,No,0.91231,1012,1103,0.89561,0.92901
1987,5th Quintile,female,Yes,0.13910,138,980,0.11742,0.16077
1987,5th Quintile,female,No,0.86090,842,980,0.83923,0.88258
1988,1st Quintile,male,Yes,0.13385,92,879,0.11133,0.15637
1988,1st Quintile,male,No,0.86615,787,879,0.84363,0.88867
1988,1st Quintile,female,Yes,0.15261,170,1085,0.13121,0.17402
1988,1st Quintile,female,No,0.84739,915,1085,0.82598,0.86879
1988,2nd Quintile,male,Yes,0.11636,95,931,0.09575,0.13697
1988,2nd Quintile,male,No,0.88364,836,931,0.86303,0.90425
1988,2nd Quintile,female,Yes,0.15707,161,1047,0.13502,0.17912
1988,2nd Quintile,female,No,0.84293,886,1047,0.82088,0.86498
1988,3rd Quintile,male,Yes,0.11147,101,1001,0.09196,0.13098
1988,3rd Quintile,male,No,0.88853,900,1001,0.86902,0.90804
1988,3rd Quintile,female,Yes,0.12495,128,995,0.10440,0.14551
1988,3rd Quintile,female,No,0.87505,867,995,0.85449,0.89560
1988,4th Quintile,male,Yes,0.09169,102,1088,0.07454,0.10885
1988,4th Quintile,male,No,0.90831,986,1088,0.89115,0.92546
1988,4th Quintile,female,Yes,0.12734,122,975,0.10640,0.14827
1988,4th Quintile,female,No,0.87266,853,975,0.85173,0.89360
1988,5th Quintile,male,Yes,0.10318,108,1018,0.08449,0.12188
1988,5th Quintile,male,No,0.89682,910,1018,0.87812,0.91551
1988,5th Quintile,female,Yes,0.13762,121,917,0.11531,0.15993
1988,5th Quintile,female,No,0.86238,796,917,0.84007,0.88469
1989,1st Quintile,male,Yes,0.12044,85,854,0.09860,0.14228
1989,1st Quintile,male,No,0.87956,769,854,0.85772,0.90140
1989,1st Quintile,female,Yes,0.15548,155,1060,0.13365,0.17730
1989,1st Quintile,female,No,0.84452,905,1060,0.82270,0.86635
1989,2nd Quintile,male,Yes,0.11561,89,919,0.09492,0.13629
1989,2nd Quintile,male,No,0.88439,830,919,0.86371,0.90508
1989,2nd Quintile,female,Yes,0.17932,179,1039,0.15599,0.20266
1989,2nd Quintile,female,No,0.82068,860,1039,0.79734,0.84401
1989,3rd Quintile,male,Yes,0.10398,94,961,0.08467,0.12329
1989,3rd Quintile,male,No,0.89602,867,961,0.87671,0.91533
1989,3rd Quintile,female,Yes,0.14045,130,929,0.11810,0.16281
1989,3rd Quintile,female,No,0.85955,799,929,0.83719,0.88190
1989,4th Quintile,male,Yes,0.10237,107,1043,0.08396,0.12078
1989,4th Quintile,male,No,0.89763,936,1043,0.87922,0.91604
1989,4th Quintile,female,Yes,0.13836,140,963,0.11654,0.16018
1989,4th Quintile,female,No,0.86164,823,963,0.83982,0.88346
1989,5th Quintile,male,Yes,0.07596,74,970,0.05928,0.09264
1989,5th Quintile,male,No,0.92404,896,970,0.90736,0.94072
1989,5th Quintile,female,Yes,0.10067,92,891,0.08090,0.12044
1989,5th Quintile,female,No,0.89933,799,891,0.87956,0.91910
1991,1st Quintile,male,Yes,0.14476,103,813,0.12056,0.16897
1991,1st Quintile,male,No,0.85524,710,813,0.83103,0.87944
1991,1st Quintile,female,Yes,0.21223,185,1021,0.18714,0.23733
1991,1st Quintile,female,No,0.78777,836,1021,0.76267,0.81286
1991,2nd Quintile,male,Yes,0.10420,87,886,0.08407,0.12433
1991,2nd Quintile,male,No,0.89580,799,886,0.87567,0.91593
1991,2nd Quintile,female,Yes,0.15209,151,999,0.12981,0.17437
1991,2nd Quintile,female,No,0.84791,848,999,0.82563,0.87019
1991,3rd Quintile,male,Yes,0.10588,97,946,0.08626,0.12550
1991,3rd Quintile,male,No,0.89412,849,946,0.87450,0.91374
1991,3rd Quintile,female,Yes,0.15372,137,930,0.13053,0.17692
1991,3rd Quintile,female,No,0.84628,793,930,0.82308,0.86947
1991,4th Quintile,male,Yes,0.10405,94,1014,0.08525,0.12285
1991,4th Quintile,male,No,0.89595,920,1014,0.87715,0.91475
1991,4th Quintile,female,Yes,0.12995,116,925,0.10827,0.15163
1991,4th Quintile,female,No,0.87005,809,925,0.84837,0.89173
1991,5th Quintile,male,Yes,0.09252,86,962,0.07420,0.11085
1991,5th Quintile,male,No,0.90748,876,962,0.88915,0.92580
1991,5th Quintile,female,Yes,0.13006,113,882,0.10785,0.15227
1991,5th Quintile,female,No,0.86994,769,882,0.84773,0.89215
1992,1st Quintile,male,Yes,0.12705,125,1175,0.10800,0.14610
1992,1st Quintile,male,No,0.87295,1050,1175,0.85390,0.89200
1992,1st Quintile,female,Yes,0.15822,218,1579,0.14021,0.17623
1992,1st Quintile,female,No,0.84178,1361,1579,0.82377,0.85979
1992,2nd Quintile,male,Yes,0.08804,103,1364,0.07300,0.10308
1992,2nd Quintile,male,No,0.91196,1261,1364,0.89692,0.92700
1992,2nd Quintile,female,Yes,0.14790,197,1492,0.12988,0.16592
1992,2nd Quintile,female,No,0.85210,1295,1492,0.83408,0.87012
1992,3rd Quintile,male,Yes,0.12246,132,1308,0.10469,0.14024
1992,3rd Quintile,male,No,0.87754,1176,1308,0.85976,0.89531
1992,3rd Quintile,female,Yes,0.14122,169,1353,0.12266,0.15979
1992,3rd Quintile,female,No,0.85878,1184,1353,0.84021,0.87734
1992,4th Quintile,male,Yes,0.08560,116,1331,0.07057,0.10064
1992,4th Quintile,male,No,0.91440,1215,1331,0.89936,0.92943
1992,4th Quintile,female,Yes,0.12875,171,1265,0.11029,0.14721
1992,4th Quintile,female,No,0.87125,1094,1265,0.85279,0.88971
1992,5th Quintile,male,Yes,0.09943,123,1263,0.08292,0.11594
1992,5th Quintile,male,No,0.90057,1140,1263,0.88406,0.91708
1992,5th Quintile,female,Yes,0.11759,127,1128,0.09879,0.13640
1992,5th Quintile,female,No,0.88241,1001,1128,0.86360,0.90121
1994,1st Quintile,male,Yes,0.13591,121,1075,0.11541,0.15641
1994,1st Quintile,male,No,0.86409,954,1075,0.84359,0.88459
1994,1st Quintile,female,Yes,0.18312,234,1439,0.16313,0.20311
1994,1st Quintile,female,No,0.81688,1205,1439,0.79689,0.83687
1994,2nd Quintile,male,Yes,0.11973,119,1245,0.10169,0.13777
1994,2nd Quintile,male,No,0.88027,1126,1245,0.86223,0.89831
1994,2nd Quintile,female,Yes,0.13587,180,1413,0.11800,0.15375
1994,2nd Quintile,female,No,0.86413,1233,1413,0.84625,0.88200
1994,3rd Quintile,male,Yes,0.10852,120,1322,0.09175,0.12529
1994,3rd Quintile,male,No,0.89148,1202,1322,0.87471,0.90825
1994,3rd Quintile,female,Yes,0.14880,193,1380,0.13002,0.16759
1994,3rd Quintile,female,No,0.85120,1187,1380,0.83241,0.86998
1994,4th Quintile,male,Yes,0.08486,105,1278,0.06958,0.10015
1994,4th Quintile,male,No,0.91514,1173,1278,0.89985,0.93042
1994,4th Quintile,female,Yes,0.14874,170,1259,0.12908,0.16840
1994,4th Quintile,female,No,0.85126,1089,1259,0.83160,0.87092
1994,5th Quintile,male,Yes,0.08645,103,1275,0.07102,0.10189
1994,5th Quintile,male,No,0.91355,1172,1275,0.89811,0.92898
1994,5th Quintile,female,Yes,0.14782,151,1140,0.12721,0.16843
1994,5th Quintile,female,No,0.85218,989,1140,0.83157,0.87279
1995,1st Quintile,male,Yes,0.13260,126,1100,0.11255,0.15265
1995,1st Quintile,male,No,0.86740,974,1100,0.84735,0.88745
1995,1st Quintile,female,Yes,0.17366,227,1420,0.15395,0.19337
1995,1st Quintile,female,No,0.82634,1193,1420,0.80663,0.84605
1995,2nd Quintile,male,Yes,0.11007,127,1341,0.09332,0.12683
1995,2nd Quintile,male,No,0.88993,1214,1341,0.87317,0.90668
1995,2nd Quintile,female,Yes,0.15076,219,1528,0.13281,0.16870
1995,2nd Quintile,female,No,0.84924,1309,1528,0.83130,0.86719
1995,3rd Quintile,male,Yes,0.11143,145,1334,0.09454,0.12832
1995,3rd Quintile,male,No,0.88857,1189,1334,0.87168,0.90546
1995,3rd Quintile,female,Yes,0.15476,202,1381,0.13568,0.17384
1995,3rd Quintile,female,No,0.84524,1179,1381,0.82616,0.86432
1995,4th Quintile,male,Yes,0.09196,120,1346,0.07652,0.10740
1995,4th Quintile,male,No,0.90804,1226,1346,0.89260,0.92348
1995,4th Quintile,female,Yes,0.11896,149,1305,0.10139,0.13653
1995,4th Quintile,female,No,0.88104,1156,1305,0.86347,0.89861
1995,5th Quintile,male,Yes,0.08110,98,1258,0.06600,0.09619
1995,5th Quintile,male,No,0.91890,1160,1258,0.90381,0.93400
1995,5th Quintile,female,Yes,0.13928,153,1198,0.11967,0.15890
1995,5th Quintile,female,No,0.86072,1045,1198,0.84110,0.88033
1996,1st Quintile,male,Yes,0.13436,130,1118,0.11436,0.15436
1996,1st Quintile,male,No,0.86564,988,1118,0.84564,0.88564
1996,1st Quintile,female,Yes,0.18618,249,1447,0.16612,0.20624
1996,1st Quintile,female,No,0.81382,1198,1447,0.79376,0.83388
1996,2nd Quintile,male,Yes,0.12007,120,1201,0.10168,0.13846
1996,2nd Quintile,male,No,0.87993,1081,1201,0.86154,0.89832
1996,2nd Quintile,female,Yes,0.14694,215,1418,0.12851,0.16538
1996,2nd Quintile,female,No,0.85306,1203,1418,0.83462,0.87149
1996,3rd Quintile,male,Yes,0.10863,124,1316,0.09181,0.12545
1996,3rd Quintile,male,No,0.89137,1192,1316,0.87455,0.90819
1996,3rd Quintile,female,Yes,0.14717,193,1360,0.12833,0.16600
1996,3rd Quintile,female,No,0.85283,1167,1360,0.83400,0.87167
1996,4th Quintile,male,Yes,0.09802,129,1372,0.08228,0.11376
1996,4th Quintile,male,No,0.90198,1243,1372,0.88624,0.91772
1996,4th Quintile,female,Yes,0.11214,157,1332,0.09519,0.12909
1996,4th Quintile,female,No,0.88786,1175,1332,0.87091,0.90481
1996,5th Quintile,male,Yes,0.09761,118,1267,0.08126,0.11396
1996,5th Quintile,male,No,0.90239,1149,1267,0.88604,0.91874
1996,5th Quintile,female,Yes,0.13686,153,1168,0.11714,0.15658
1996,5th Quintile,female,No,0.86314,1015,1168,0.84342,0.88286
1997,1st Quintile,male,Yes,0.13929,121,1028,0.11812,0.16047
1997,1st Quintile,male,No,0.86071,907,1028,0.83953,0.88188
1997,1st Quintile,female,Yes,0.17638,250,1346,0.15601,0.19675
1997,1st Quintile,female,No,0.82362,1096,1346,0.80325,0.84399
1997,2nd Quintile,male,Yes,0.11223,122,1278,0.09492,0.12954
1997,2nd Quintile,male,No,0.88777,1156,1278,0.87046,0.90508
1997,2nd Quintile,female,Yes,0.17070,214,1446,0.15130,0.19009
1997,2nd Quintile,female,No,0.82930,1232,1446,0.80991,0.84870
1997,3rd Quintile,male,Yes,0.12280,135,1279,0.10480,0.14079
1997,3rd Quintile,male,No,0.87720,1144,1279,0.85921,0.89520
1997,3rd Quintile,female,Yes,0.14517,171,1336,0.12627,0.16407
1997,3rd Quintile,female,No,0.85483,1165,1336,0.83593,0.87373
1997,4th Quintile,male,Yes,0.09338,122,1345,0.07782,0.10893
1997,4th Quintile,male,No,0.90662,1223,1345,0.89107,0.92218
1997,4th Quintile,female,Yes,0.11739,161,1308,0.09994,0.13485
1997,4th Quintile,female,No,0.88261,1147,1308,0.86515,0.90006
1997,5th Quintile,male,Yes,0.08830,116,1254,0.07259,0.10401
1997,5th Quintile,male,No,0.91170,1138,1254,0.89599,0.92741
1997,5th Quintile,female,Yes,0.12306,137,1156,0.10411,0.14200
1997,5th Quintile,female,No,0.87694,1019,1156,0.85800,0.89589
1998,1st Quintile,male,Yes,0.11366,109,1030,0.09426,0.13305
1998,1st Quintile,male,No,0.88634,921,1030,0.86695,0.90574
1998,1st Quintile,female,Yes,0.16927,213,1302,0.14889,0.18964
1998,1st Quintile,female,No,0.83073,1089,1302,0.81036,0.85111
1998,2nd Quintile,male,Yes,0.11379,127,1180,0.09567,0.13192
1998,2nd Quintile,male,No,0.88621,1053,1180,0.86808,0.90433
1998,2nd Quintile,female,Yes,0.15706,192,1321,0.13743,0.17669
1998,2nd Quintile,female,No,0.84294,1129,1321,0.82331,0.86257
1998,3rd Quintile,male,Yes,0.10030,126,1239,0.08357,0.11704
1998,3rd Quintile,male,No,0.89970,1113,1239,0.88296,0.91643
1998,3rd Quintile,female,Yes,0.15466,199,1339,0.13529,0.17404
1998,3rd Quintile,female,No,0.84534,1140,1339,0.82596,0.86471
1998,4th Quintile,male,Yes,0.09791,128,1316,0.08184,0.11397
1998,4th Quintile,male,No,0.90209,1188,1316,0.88603,0.91816
1998,4th Quintile,female,Yes,0.14456,166,1286,0.12533,0.16378
1998,4th Quintile,female,No,0.85544,1120,1286,0.83622,0.87467
1998,5th Quintile,male,Yes,0.09020,101,1184,0.07388,0.10653
1998,5th Quintile,male,No,0.90980,1083,1184,0.89347,0.92612
1998,5th Quintile,female,Yes,0.13908,144,1113,0.11874,0.15942
1998,5th Quintile,female,No,0.86092,969,1113,0.84058,0.88126
1999,1st Quintile,male,Yes,0.11856,126,1138,0.09977,0.13735
1999,1st Quintile,male,No,0.88144,1012,1138,0.86265,0.90023
1999,1st Quintile,female,Yes,0.17961,239,1453,0.15986,0.19935
1999,1st Quintile,female,No,0.82039,1214,1453,0.80065,0.84014
1999,2nd Quintile,male,Yes,0.11506,155,1379,0.09821,0.13191
1999,2nd Quintile,male,No,0.88494,1224,1379,0.86809,0.90179
1999,2nd Quintile,female,Yes,0.15773,220,1491,0.13922,0.17624
1999,2nd Quintile,female,No,0.84227,1271,1491,0.82376,0.86078
1999,3rd Quintile,male,Yes,0.12836,157,1365,0.11061,0.14612
1999,3rd Quintile,male,No,0.87164,1208,1365,0.85388,0.88939
1999,3rd Quintile,female,Yes,0.14042,191,1456,0.12257,0.15827
1999,3rd Quintile,female,No,0.85958,1265,1456,0.84173,0.87743
1999,4th Quintile,male,Yes,0.09938,136,1374,0.08356,0.11521
1999,4th Quintile,male,No,0.90062,1238,1374,0.88479,0.91644
1999,4th Quintile,female,Yes,0.14334,186,1388,0.12490,0.16178
1999,4th Quintile,female,No,0.85666,1202,1388,0.83822,0.87510
1999,5th Quintile,male,Yes,0.08773,114,1348,0.07262,0.10284
1999,5th Quintile,male,No,0.91227,1234,1348,0.89716,0.92738
1999,5th Quintile,female,Yes,0.13015,145,1262,0.11158,0.14872
1999,5th Quintile,female,No,0.86985,1117,1262,0.85128,0.88842
2000,1st Quintile,male,Yes,0.11756,124,1117,0.09866,0.13646
2000,1st Quintile,male,No,0.88244,993,1117,0.86354,0.90134
2000,1st Quintile,female,Yes,0.14977,208,1454,0.13142,0.16812
2000,1st Quintile,female,No,0.85023,1246,1454,0.83188,0.86858
2000,2nd Quintile,male,Yes,0.11509,136,1296,0.09770,0.13247
2000,2nd Quintile,male,No,0.88491,1160,1296,0.86753,0.90230
2000,2nd Quintile,female,Yes,0.13562,194,1441,0.11794,0.15330
2000,2nd Quintile,female,No,0.86438,1247,1441,0.84670,0.88206
2000,3rd Quintile,male,Yes,0.12122,147,1346,0.10378,0.13866
2000,3rd Quintile,male,No,0.87878,1199,1346,0.86134,0.89622
2000,3rd Quintile,female,Yes,0.15197,203,1386,0.13306,0.17087
2000,3rd Quintile,female,No,0.84803,1183,1386,0.82913,0.86694
2000,4th Quintile,male,Yes,0.09363,130,1356,0.07812,0.10914
2000,4th Quintile,male,No,0.90637,1226,1356,0.89086,0.92188
2000,4th Quintile,female,Yes,0.12379,170,1335,0.10612,0.14147
2000,4th Quintile,female,No,0.87621,1165,1335,0.85853,0.89388
2000,5th Quintile,male,Yes,0.08698,120,1306,0.07169,0.10227
2000,5th Quintile,male,No,0.91302,1186,1306,0.89773,0.92831
2000,5th Quintile,female,Yes,0.12165,134,1232,0.10339,0.13991
2000,5th Quintile,female,No,0.87835,1098,1232,0.86009,0.89661
2001,1st Quintile,male,Yes,0.12299,205,1649,0.10713,0.13884
2001,1st Quintile,male,No,0.87701,1444,1649,0.86116,0.89287
2001,1st Quintile,female,Yes,0.15294,345,2223,0.13798,0.16791
2001,1st Quintile,female,No,0.84706,1878,2223,0.83209,0.86202
2001,2nd Quintile,male,Yes,0.11062,215,2023,0.09694,0.12429
2001,2nd Quintile,male,No,0.88938,1808,2023,0.87571,0.90306
2001,2nd Quintile,female,Yes,0.13817,299,2307,0.12409,0.15226
2001,2nd Quintile,female,No,0.86183,2008,2307,0.84774,0.87591
2001,3rd Quintile,male,Yes,0.11658,236,2204,0.10318,0.12998
2001,3rd Quintile,male,No,0.88342,1968,2204,0.87002,0.89682
2001,3rd Quintile,female,Yes,0.14641,339,2331,0.13206,0.16077
2001,3rd Quintile,female,No,0.85359,1992,2331,0.83923,0.86794
2001,4th Quintile,male,Yes,0.09787,225,2300,0.08573,0.11002
2001,4th Quintile,male,No,0.90213,2075,2300,0.88998,0.91427
2001,4th Quintile,female,Yes,0.13192,283,2299,0.11809,0.14576
2001,4th Quintile,female,No,0.86808,2016,2299,0.85424,0.88191
2001,5th Quintile,male,Yes,0.09097,196,2318,0.07926,0.10268
2001,5th Quintile,male,No,0.90903,2122,2318,0.89732,0.92074
2001,5th Quintile,female,Yes,0.13387,277,2195,0.11962,0.14812
2001,5th Quintile,female,No,0.86613,1918,2195,0.85188,0.88038
2002,1st Quintile,male,Yes,0.10329,169,1479,0.08778,0.11881
2002,1st Quintile,male,No,0.89671,1310,1479,0.88119,0.91222
2002,1st Quintile,female,Yes,0.15211,279,1981,0.13629,0.16793
2002,1st Quintile,female,No,0.84789,1702,1981,0.83207,0.86371
2002,2nd Quintile,male,Yes,0.11836,214,1807,0.10346,0.13326
2002,2nd Quintile,male,No,0.88164,1593,1807,0.86674,0.89654
2002,2nd Quintile,female,Yes,0.14885,295,2111,0.13366,0.16404
2002,2nd Quintile,female,No,0.85115,1816,2111,0.83596,0.86634
2002,3rd Quintile,male,Yes,0.11750,223,1943,0.10318,0.13182
2002,3rd Quintile,male,No,0.88250,1720,1943,0.86818,0.89682
2002,3rd Quintile,female,Yes,0.14508,293,2083,0.12996,0.16021
2002,3rd Quintile,female,No,0.85492,1790,2083,0.83979,0.87004
2002,4th Quintile,male,Yes,0.10631,226,2186,0.09339,0.11924
2002,4th Quintile,male,No,0.89369,1960,2186,0.88076,0.90661
2002,4th Quintile,female,Yes,0.12193,254,2175,0.10818,0.13568
2002,4th Quintile,female,No,0.87807,1921,2175,0.86432,0.89182
2002,5th Quintile,male,Yes,0.11701,244,2547,0.10453,0.12950
2002,5th Quintile,male,No,0.88299,2303,2547,0.87050,0.89547
2002,5th Quintile,female,Yes,0.12305,270,2442,0.11002,0.13608
2002,5th Quintile,female,No,0.87695,2172,2442,0.86392,0.88998
2003,1st Quintile,male,Yes,0.14049,192,1440,0.12254,0.15844
2003,1st Quintile,male,No,0.85951,1248,1440,0.84156,0.87746
2003,1st Quintile,female,Yes,0.16057,300,1954,0.14428,0.17685
2003,1st Quintile,female,No,0.83943,1654,1954,0.82315,0.85572
2003,2nd Quintile,male,Yes,0.11133,203,1756,0.09662,0.12605
2003,2nd Quintile,male,No,0.88867,1553,1756,0.87395,0.90338
2003,2nd Quintile,female,Yes,0.13742,271,2089,0.12266,0.15219
2003,2nd Quintile,female,No,0.86258,1818,2089,0.84781,0.87734
2003,3rd Quintile,male,Yes,0.11176,214,1994,0.09792,0.12559
2003,3rd Quintile,male,No,0.88824,1780,1994,0.87441,0.90208
2003,3rd Quintile,female,Yes,0.12449,256,2061,0.11024,0.13875
2003,3rd Quintile,female,No,0.87551,1805,2061,0.86125,0.88976
2003,4th Quintile,male,Yes,0.09220,202,2213,0.08014,0.10426
2003,4th Quintile,male,No,0.90780,2011,2213,0.89574,0.91986
2003,4th Quintile,female,Yes,0.13897,285,2238,0.12463,0.15330
2003,4th Quintile,female,No,0.86103,1953,2238,0.84670,0.87537
2003,5th Quintile,male,Yes,0.09892,317,3232,0.08862,0.10921
2003,5th Quintile,male,No,0.90108,2915,3232,0.89079,0.91138
2003,5th Quintile,female,Yes,0.12449,376,3103,0.11288,0.13611
2003,5th Quintile,female,No,0.87551,2727,3103,0.86389,0.88712
2004,1st Quintile,male,Yes,0.13413,168,1365,0.11604,0.15221
2004,1st Quintile,male,No,0.86587,1197,1365,0.84779,0.88396
2004,1st Quintile,female,Yes,0.15849,311,1887,0.14201,0.17498
2004,1st Quintile,female,No,0.84151,1576,1887,0.82502,0.85799
2004,2nd Quintile,male,Yes,0.10324,186,1727,0.08889,0.11760
2004,2nd Quintile,male,No,0.89676,1541,1727,0.88240,0.91111
2004,2nd Quintile,female,Yes,0.13927,271,2047,0.12427,0.15428
2004,2nd Quintile,female,No,0.86073,1776,2047,0.84572,0.87573
2004,3rd Quintile,male,Yes,0.11581,215,1939,0.10157,0.13006
2004,3rd Quintile,male,No,0.88419,1724,1939,0.86994,0.89843
2004,3rd Quintile,female,Yes,0.13157,261,2063,0.11698,0.14616
2004,3rd Quintile,female,No,0.86843,1802,2063,0.85384,0.88302
2004,4th Quintile,male,Yes,0.11220,215,2148,0.09885,0.12555
2004,4th Quintile,male,No,0.88780,1933,2148,0.87445,0.90115
2004,4th Quintile,female,Yes,0.15108,290,2190,0.13608,0.16608
2004,4th Quintile,female,No,0.84892,1900,2190,0.83392,0.86392
2004,5th Quintile,male,Yes,0.10676,306,3161,0.09599,0.11752
2004,5th Quintile,male,No,0.89324,2855,3161,0.88248,0.90401
2004,5th Quintile,female,Yes,0.12169,353,3020,0.11002,0.13335
2004,5th Quintile,female,No,0.87831,2667,3020,0.86665,0.88998
2005,1st Quintile,male,Yes,0.12930,165,1328,0.11124,0.14735
2005,1st Quintile,male,No,0.87070,1163,1328,0.85265,0.88876
2005,1st Quintile,female,Yes,0.14678,257,1813,0.13049,0.16308
2005,1st Quintile,female,No,0.85322,1556,1813,0.83692,0.86951
2005,2nd Quintile,male,Yes,0.11054,179,1652,0.09542,0.12567
2005,2nd Quintile,male,No,0.88946,1473,1652,0.87433,0.90458
2005,2nd Quintile,female,Yes,0.12604,240,1965,0.11136,0.14072
2005,2nd Quintile,female,No,0.87396,1725,1965,0.85928,0.88864
2005,3rd Quintile,male,Yes,0.09502,169,1780,0.08139,0.10865
2005,3rd Quintile,male,No,0.90498,1611,1780,0.89135,0.91861
