year,age_gr,migback,hospitalyn,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1995,17-29 y.,Indirect migration background,Yes,0.05590322688402242,37,13195,0.055440487008525614,0.05636596675951922
1995,17-29 y.,Indirect migration background,No,0.9440967731159776,405,13195,0.9436340332404808,0.9445595129914744
1995,30-45 y.,No migration background,Yes,0.09283048505161587,340,13195,0.0926918578845821,0.09296911221864963
1995,30-45 y.,No migration background,No,0.9071695149483842,3116,13195,0.9070308877813504,0.9073081421154179
1995,30-45 y.,Direct migration background,Yes,0.10423562304007275,88,13195,0.10388517749526892,0.10458606858487658
1995,30-45 y.,Direct migration background,No,0.8957643769599273,831,13195,0.8954139314151235,0.8961148225047311
1995,30-45 y.,Indirect migration background,No,1.0,40,13195,1.0,1.0
1995,46-65 y.,No migration background,Yes,0.12359909614680811,339,13195,0.12344445669145912,0.1237537356021571
1995,46-65 y.,No migration background,No,0.8764009038531918,2557,13195,0.8762462643978428,0.8765555433085408
1995,46-65 y.,Direct migration background,Yes,0.12352647965282193,135,13195,0.12317435988350287,0.123878599422141
1995,46-65 y.,Direct migration background,No,0.876473520347178,899,13195,0.8761214005778589,0.876825640116497
1995,66 and older,No migration background,Yes,0.20799502256561403,263,13195,0.20775462804514916,0.2082354170860789
1995,66 and older,No migration background,No,0.7920049774343859,1036,13195,0.791764582913921,0.7922453719548508
1995,66 and older,Direct migration background,Yes,0.16339173288745235,34,13195,0.16275251606117855,0.16403094971372614
1995,66 and older,Direct migration background,No,0.8366082671125477,178,13195,0.8359690502862739,0.8372474839388214
1996,17-29 y.,No migration background,Yes,0.09936606946486158,229,12978,0.09917865235735429,0.09955348657236887
1996,17-29 y.,No migration background,No,0.9006339305351385,1931,12978,0.9004465134276313,0.9008213476426458
1996,17-29 y.,Direct migration background,Yes,0.09776537121073256,58,12978,0.09732076562385669,0.09820997679760843
1996,17-29 y.,Direct migration background,No,0.9022346287892674,476,12978,0.9017900232023915,0.9026792343761433
1996,17-29 y.,Indirect migration background,Yes,0.08099128283437582,43,12978,0.08047096631737057,0.08151159935138107
