year,sex,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,female,No,0.85150,12910,15055,0.84582,0.85718
2013,male,Yes,0.13852,1459,11612,0.13224,0.14480
2013,male,No,0.86148,10153,11612,0.85520,0.86776
2013,female,Yes,0.15070,1986,14040,0.14478,0.15662
2013,female,No,0.84930,12054,14040,0.84338,0.85522
2014,male,Yes,0.12691,1477,12414,0.12105,0.13276
2014,male,No,0.87309,10937,12414,0.86724,0.87895
2014,female,Yes,0.14835,2074,14615,0.14259,0.15412
2014,female,No,0.85165,12541,14615,0.84588,0.85741
2015,male,Yes,0.13035,1429,11436,0.12418,0.13652
2015,male,No,0.86965,10007,11436,0.86348,0.87582
2015,female,Yes,0.14824,1889,13556,0.14226,0.15422
2015,female,No,0.85176,11667,13556,0.84578,0.85774
2016,male,Yes,0.12276,1310,11043,0.11664,0.12889
2016,male,No,0.87724,9733,11043,0.87111,0.88336
2016,female,Yes,0.14601,1874,13077,0.13996,0.15206
2016,female,No,0.85399,11203,13077,0.84794,0.86004
2017,male,Yes,0.13347,1545,12193,0.12743,0.13951
2017,male,No,0.86653,10648,12193,0.86049,0.87257
2017,female,Yes,0.15014,2012,14189,0.14426,0.15602
2017,female,No,0.84986,12177,14189,0.84398,0.85574
2018,male,Yes,0.12810,1471,11740,0.12206,0.13415
2018,male,No,0.87190,10269,11740,0.86585,0.87794
2018,female,Yes,0.15265,1948,13779,0.14664,0.15865
2018,female,No,0.84735,11831,13779,0.84135,0.85336
2019,male,Yes,0.12835,1565,12247,0.12242,0.13427
2019,male,No,0.87165,10682,12247,0.86573,0.87758
2019,female,Yes,0.15198,1874,13424,0.14590,0.15805
2019,female,No,0.84802,11550,13424,0.84195,0.85410
2020,male,Yes,0.13440,1662,13936,0.12873,0.14006
2020,male,No,0.86560,12274,13936,0.85994,0.87127
2020,female,Yes,0.14890,2007,14415,0.14309,0.15472
2020,female,No,0.85110,12408,14415,0.84528,0.85691
2021,male,Yes,0.12020,970,8065,0.11311,0.12730
2021,male,No,0.87980,7095,8065,0.87270,0.88689
2021,female,Yes,0.13237,1104,9093,0.12540,0.13933
2021,female,No,0.86763,7989,9093,0.86067,0.87460
2022,male,Yes,0.11671,1356,13552,0.11130,0.12212
2022,male,No,0.88329,12196,13552,0.87788,0.88870
2022,female,Yes,0.13058,1654,14257,0.12505,0.13611
2022,female,No,0.86942,12603,14257,0.86389,0.87495
