year,migback,quintil_oecd,hospitalyn,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1987,No migration background,1st Quintile,Yes,0.16277,183,10336,0.16252,0.16303
1987,No migration background,1st Quintile,No,0.83723,1002,10336,0.83697,0.83748
1987,No migration background,2nd Quintile,Yes,0.14635,191,10336,0.14611,0.14659
1987,No migration background,2nd Quintile,No,0.85365,1173,10336,0.85341,0.85389
1987,No migration background,3rd Quintile,Yes,0.12365,174,10336,0.12344,0.12387
1987,No migration background,3rd Quintile,No,0.87635,1304,10336,0.87613,0.87656
1987,No migration background,4th Quintile,Yes,0.09314,155,10336,0.09296,0.09333
1987,No migration background,4th Quintile,No,0.90686,1480,10336,0.90667,0.90704
1987,No migration background,5th Quintile,Yes,0.11101,197,10336,0.11081,0.11120
1987,No migration background,5th Quintile,No,0.88899,1578,10336,0.88880,0.88919
1987,Direct migration background,1st Quintile,Yes,0.14291,102,10336,0.14230,0.14351
1987,Direct migration background,1st Quintile,No,0.85709,685,10336,0.85649,0.85770
1987,Direct migration background,2nd Quintile,Yes,0.12252,82,10336,0.12190,0.12313
1987,Direct migration background,2nd Quintile,No,0.87748,561,10336,0.87687,0.87810
1987,Direct migration background,3rd Quintile,Yes,0.09597,57,10336,0.09542,0.09652
1987,Direct migration background,3rd Quintile,No,0.90403,527,10336,0.90348,0.90458
1987,Direct migration background,4th Quintile,Yes,0.12949,51,10336,0.12881,0.13016
1987,Direct migration background,4th Quintile,No,0.87051,459,10336,0.86984,0.87119
1987,Direct migration background,5th Quintile,No,1.00000,259,10336,1.00000,1.00000
1987,Indirect migration background,1st Quintile,No,1.00000,42,10336,1.00000,1.00000
1987,Indirect migration background,2nd Quintile,No,1.00000,37,10336,1.00000,1.00000
1987,Indirect migration background,4th Quintile,No,1.00000,37,10336,1.00000,1.00000
1988,No migration background,1st Quintile,Yes,0.15022,161,9905,0.14997,0.15046
1988,No migration background,1st Quintile,No,0.84978,963,9905,0.84954,0.85003
1988,No migration background,2nd Quintile,Yes,0.14394,179,9905,0.14370,0.14418
1988,No migration background,2nd Quintile,No,0.85606,1104,9905,0.85582,0.85630
1988,No migration background,3rd Quintile,Yes,0.11670,167,9905,0.11649,0.11691
1988,No migration background,3rd Quintile,No,0.88330,1274,9905,0.88309,0.88351
1988,No migration background,4th Quintile,Yes,0.11272,178,9905,0.11251,0.11292
1988,No migration background,4th Quintile,No,0.88728,1363,9905,0.88708,0.88749
1988,No migration background,5th Quintile,Yes,0.11821,195,9905,0.11801,0.11841
1988,No migration background,5th Quintile,No,0.88179,1473,9905,0.88159,0.88199
1988,Direct migration background,1st Quintile,Yes,0.13764,99,9905,0.13705,0.13822
1988,Direct migration background,1st Quintile,No,0.86236,668,9905,0.86178,0.86295
1988,Direct migration background,2nd Quintile,Yes,0.12840,77,9905,0.12777,0.12904
1988,Direct migration background,2nd Quintile,No,0.87160,561,9905,0.87096,0.87223
1988,Direct migration background,3rd Quintile,Yes,0.08970,47,9905,0.08914,0.09026
1988,Direct migration background,3rd Quintile,No,0.91030,467,9905,0.90974,0.91086
1988,Direct migration background,4th Quintile,Yes,0.07237,47,9905,0.07186,0.07288
1988,Direct migration background,4th Quintile,No,0.92763,444,9905,0.92712,0.92814
1988,Direct migration background,5th Quintile,Yes,0.13581,31,9905,0.13501,0.13661
1988,Direct migration background,5th Quintile,No,0.86419,218,9905,0.86339,0.86499
1988,Indirect migration background,1st Quintile,No,1.00000,64,9905,1.00000,1.00000
1988,Indirect migration background,2nd Quintile,No,1.00000,55,9905,1.00000,1.00000
1988,Indirect migration background,3rd Quintile,No,1.00000,35,9905,1.00000,1.00000
1988,Indirect migration background,4th Quintile,No,1.00000,35,9905,1.00000,1.00000
1989,No migration background,1st Quintile,Yes,0.14613,145,9573,0.14588,0.14638
1989,No migration background,1st Quintile,No,0.85387,923,9573,0.85362,0.85412
1989,No migration background,2nd Quintile,Yes,0.15239,180,9573,0.15214,0.15264
1989,No migration background,2nd Quintile,No,0.84761,1029,9573,0.84736,0.84786
1989,No migration background,3rd Quintile,Yes,0.12802,177,9573,0.12780,0.12824
1989,No migration background,3rd Quintile,No,0.87198,1202,9573,0.87176,0.87220
1989,No migration background,4th Quintile,Yes,0.11787,178,9573,0.11767,0.11807
1989,No migration background,4th Quintile,No,0.88213,1354,9573,0.88193,0.88233
1989,No migration background,5th Quintile,Yes,0.09288,151,9573,0.09270,0.09306
1989,No migration background,5th Quintile,No,0.90712,1460,9573,0.90694,0.90730
1989,Direct migration background,1st Quintile,Yes,0.12081,90,9573,0.12028,0.12135
1989,Direct migration background,1st Quintile,No,0.87919,678,9573,0.87865,0.87972
1989,Direct migration background,2nd Quintile,Yes,0.12727,75,9573,0.12671,0.12783
1989,Direct migration background,2nd Quintile,No,0.87273,593,9573,0.87217,0.87329
1989,Direct migration background,3rd Quintile,Yes,0.08390,46,9573,0.08337,0.08443
1989,Direct migration background,3rd Quintile,No,0.91610,420,9573,0.91557,0.91663
1989,Direct migration background,4th Quintile,Yes,0.12743,65,9573,0.12675,0.12810
1989,Direct migration background,4th Quintile,No,0.87257,391,9573,0.87190,0.87325
1989,Direct migration background,5th Quintile,No,1.00000,201,9573,1.00000,1.00000
1989,Indirect migration background,1st Quintile,No,1.00000,66,9573,1.00000,1.00000
1989,Indirect migration background,2nd Quintile,No,1.00000,69,9573,1.00000,1.00000
1989,Indirect migration background,3rd Quintile,No,1.00000,41,9573,1.00000,1.00000
1989,Indirect migration background,4th Quintile,No,1.00000,39,9573,1.00000,1.00000
1991,No migration background,1st Quintile,Yes,0.19886,183,9273,0.19858,0.19913
1991,No migration background,1st Quintile,No,0.80114,818,9273,0.80087,0.80142
1991,No migration background,2nd Quintile,Yes,0.13039,147,9273,0.13016,0.13062
1991,No migration background,2nd Quintile,No,0.86961,1039,9273,0.86938,0.86984
1991,No migration background,3rd Quintile,Yes,0.12696,178,9273,0.12674,0.12718
1991,No migration background,3rd Quintile,No,0.87304,1140,9273,0.87282,0.87326
1991,No migration background,4th Quintile,Yes,0.12306,177,9273,0.12285,0.12326
1991,No migration background,4th Quintile,No,0.87694,1307,9273,0.87674,0.87715
1991,No migration background,5th Quintile,Yes,0.11245,176,9273,0.11226,0.11265
1991,No migration background,5th Quintile,No,0.88755,1395,9273,0.88735,0.88774
1991,Direct migration background,1st Quintile,Yes,0.15043,99,9273,0.14988,0.15098
1991,Direct migration background,1st Quintile,No,0.84957,634,9273,0.84902,0.85012
1991,Direct migration background,2nd Quintile,Yes,0.13511,83,9273,0.13456,0.13566
1991,Direct migration background,2nd Quintile,No,0.86489,523,9273,0.86434,0.86544
1991,Direct migration background,3rd Quintile,Yes,0.10827,48,9273,0.10772,0.10883
1991,Direct migration background,3rd Quintile,No,0.89173,453,9273,0.89117,0.89228
1991,Direct migration background,4th Quintile,No,1.00000,370,9273,1.00000,1.00000
1991,Direct migration background,5th Quintile,No,1.00000,211,9273,1.00000,1.00000
1991,Indirect migration background,1st Quintile,No,1.00000,87,9273,1.00000,1.00000
1991,Indirect migration background,2nd Quintile,No,1.00000,83,9273,1.00000,1.00000
1991,Indirect migration background,3rd Quintile,No,1.00000,71,9273,1.00000,1.00000
1991,Indirect migration background,4th Quintile,No,1.00000,51,9273,1.00000,1.00000
1992,No migration background,1st Quintile,Yes,0.14992,280,13165,0.14971,0.15014
1992,No migration background,1st Quintile,No,0.85008,1892,13165,0.84986,0.85029
1992,No migration background,2nd Quintile,Yes,0.11228,216,13165,0.11209,0.11247
1992,No migration background,2nd Quintile,No,0.88772,1939,13165,0.88753,0.88791
1992,No migration background,3rd Quintile,Yes,0.13576,225,13165,0.13556,0.13597
1992,No migration background,3rd Quintile,No,0.86424,1727,13165,0.86403,0.86444
1992,No migration background,4th Quintile,Yes,0.10896,226,13165,0.10878,0.10914
1992,No migration background,4th Quintile,No,0.89104,1750,13165,0.89086,0.89122
