year,regtyp,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Rural regions,Yes,0.14394,1453,10154,0.13711,0.15077
2011,Rural regions,No,0.85606,8701,10154,0.84923,0.86289
2012,Urban regions,Yes,0.13516,2277,17497,0.13009,0.14023
2012,Urban regions,No,0.86484,15220,17497,0.85977,0.86991
2012,Rural regions,Yes,0.14943,1447,10083,0.14247,0.15639
2012,Rural regions,No,0.85057,8636,10083,0.84361,0.85753
2013,Urban regions,Yes,0.14088,2123,16313,0.13555,0.14622
2013,Urban regions,No,0.85912,14190,16313,0.85378,0.86445
2013,Rural regions,Yes,0.15243,1322,9339,0.14514,0.15972
2013,Rural regions,No,0.84757,8017,9339,0.84028,0.85486
2014,Urban regions,Yes,0.13119,2257,17631,0.12621,0.13617
2014,Urban regions,No,0.86881,15374,17631,0.86383,0.87379
2014,Rural regions,Yes,0.15180,1294,9398,0.14455,0.15906
2014,Rural regions,No,0.84820,8104,9398,0.84094,0.85545
2015,Urban regions,Yes,0.13144,2045,16167,0.12623,0.13665
2015,Urban regions,No,0.86856,14122,16167,0.86335,0.87377
2015,Rural regions,Yes,0.15640,1273,8825,0.14882,0.16398
2015,Rural regions,No,0.84360,7552,8825,0.83602,0.85118
2016,Urban regions,Yes,0.13074,1983,15668,0.12546,0.13602
2016,Urban regions,No,0.86926,13685,15668,0.86398,0.87454
2016,Rural regions,Yes,0.14284,1201,8452,0.13538,0.15030
2016,Rural regions,No,0.85716,7251,8452,0.84970,0.86462
2017,Urban regions,Yes,0.13867,2262,17066,0.13348,0.14385
2017,Urban regions,No,0.86133,14804,17066,0.85615,0.86652
2017,Rural regions,Yes,0.14917,1295,9316,0.14194,0.15641
2017,Rural regions,No,0.85083,8021,9316,0.84359,0.85806
2018,Urban regions,Yes,0.13735,2166,16606,0.13211,0.14258
2018,Urban regions,No,0.86265,14440,16606,0.85742,0.86789
2018,Rural regions,Yes,0.14790,1253,8913,0.14052,0.15527
2018,Rural regions,No,0.85210,7660,8913,0.84473,0.85948
2019,No answer / don't know,Yes,0.18578,90,554,0.15337,0.21820
2019,No answer / don't know,No,0.81422,464,554,0.78180,0.84663
2019,Urban regions,Yes,0.13718,2153,16359,0.13191,0.14245
2019,Urban regions,No,0.86282,14206,16359,0.85755,0.86809
2019,Rural regions,Yes,0.14540,1199,8764,0.13802,0.15278
2019,Rural regions,No,0.85460,7565,8764,0.84722,0.86198
2020,Urban regions,Yes,0.14090,2394,19028,0.13596,0.14585
2020,Urban regions,No,0.85910,16634,19028,0.85415,0.86404
2020,Rural regions,Yes,0.14388,1277,9330,0.13676,0.15100
2020,Rural regions,No,0.85612,8053,9330,0.84900,0.86324
2021,Urban regions,Yes,0.12257,1331,11383,0.11655,0.12860
2021,Urban regions,No,0.87743,10052,11383,0.87140,0.88345
2021,Rural regions,Yes,0.13453,743,5781,0.12573,0.14332
2021,Rural regions,No,0.86547,5038,5781,0.85668,0.87427
2022,Urban regions,Yes,0.11974,1967,19067,0.11514,0.12435
2022,Urban regions,No,0.88026,17100,19067,0.87565,0.88486
2022,Rural regions,Yes,0.13269,1046,8762,0.12559,0.13980
2022,Rural regions,No,0.86731,7716,8762,0.86020,0.87441
