year,quintil_oecd,sampreg,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,4th Quintile,West,No,0.89583,1777,1984,0.88239,0.90928
1995,4th Quintile,East,Yes,0.10908,62,667,0.08540,0.13275
1995,4th Quintile,East,No,0.89092,605,667,0.86725,0.91460
1995,5th Quintile,West,Yes,0.11391,229,2127,0.10040,0.12741
1995,5th Quintile,West,No,0.88609,1898,2127,0.87259,0.89960
1995,5th Quintile,East,No,0.94717,307,307,0.92211,0.97223
1996,1st Quintile,West,Yes,0.15475,244,1791,0.13799,0.17150
1996,1st Quintile,West,No,0.84525,1547,1791,0.82850,0.86201
1996,1st Quintile,East,Yes,0.19570,135,774,0.16773,0.22367
1996,1st Quintile,East,No,0.80430,639,774,0.77633,0.83227
1996,2nd Quintile,West,Yes,0.14011,219,1687,0.12354,0.15667
1996,2nd Quintile,West,No,0.85989,1468,1687,0.84333,0.87646
1996,2nd Quintile,East,Yes,0.12147,116,932,0.10048,0.14245
1996,2nd Quintile,East,No,0.87853,816,932,0.85755,0.89952
1996,3rd Quintile,West,Yes,0.13010,218,1768,0.11441,0.14578
1996,3rd Quintile,West,No,0.86990,1550,1768,0.85422,0.88559
1996,3rd Quintile,East,Yes,0.12084,99,908,0.09963,0.14206
1996,3rd Quintile,East,No,0.87916,809,908,0.85794,0.90037
1996,4th Quintile,West,Yes,0.10679,222,2016,0.09331,0.12028
1996,4th Quintile,West,No,0.89321,1794,2016,0.87972,0.90669
1996,4th Quintile,East,Yes,0.09462,64,688,0.07273,0.11651
1996,4th Quintile,East,No,0.90538,624,688,0.88349,0.92727
1996,5th Quintile,West,Yes,0.11672,233,2059,0.10285,0.13060
1996,5th Quintile,West,No,0.88328,1826,2059,0.86940,0.89715
1996,5th Quintile,East,Yes,0.10739,38,376,0.07605,0.13873
1996,5th Quintile,East,No,0.89261,338,376,0.86127,0.92395
1997,1st Quintile,West,Yes,0.15718,252,1664,0.13969,0.17467
1997,1st Quintile,West,No,0.84282,1412,1664,0.82533,0.86031
1997,1st Quintile,East,Yes,0.17453,119,710,0.14659,0.20247
1997,1st Quintile,East,No,0.82547,591,710,0.79753,0.85341
1997,2nd Quintile,West,Yes,0.15108,227,1739,0.13425,0.16792
1997,2nd Quintile,West,No,0.84892,1512,1739,0.83208,0.86575
1997,2nd Quintile,East,Yes,0.12494,109,985,0.10428,0.14560
1997,2nd Quintile,East,No,0.87506,876,985,0.85440,0.89572
1997,3rd Quintile,West,Yes,0.14306,222,1765,0.12672,0.15940
1997,3rd Quintile,West,No,0.85694,1543,1765,0.84060,0.87328
1997,3rd Quintile,East,Yes,0.10272,84,850,0.08230,0.12314
1997,3rd Quintile,East,No,0.89728,766,850,0.87686,0.91770
1997,4th Quintile,West,Yes,0.10409,213,1945,0.09052,0.11767
1997,4th Quintile,West,No,0.89591,1732,1945,0.88233,0.90948
1997,4th Quintile,East,Yes,0.11004,70,708,0.08698,0.13311
1997,4th Quintile,East,No,0.88996,638,708,0.86689,0.91302
1997,5th Quintile,West,Yes,0.10443,214,2037,0.09114,0.11771
1997,5th Quintile,West,No,0.89557,1823,2037,0.88229,0.90886
1997,5th Quintile,East,Yes,0.10307,39,373,0.07217,0.13397
1997,5th Quintile,East,No,0.89693,334,373,0.86603,0.92783
1998,1st Quintile,West,Yes,0.15001,233,1697,0.13302,0.16701
1998,1st Quintile,West,No,0.84999,1464,1697,0.83299,0.86698
1998,1st Quintile,East,Yes,0.13184,89,635,0.10550,0.15817
1998,1st Quintile,East,No,0.86816,546,635,0.84183,0.89450
1998,2nd Quintile,West,Yes,0.13642,219,1673,0.11997,0.15287
1998,2nd Quintile,West,No,0.86358,1454,1673,0.84713,0.88003
1998,2nd Quintile,East,Yes,0.14014,100,828,0.11648,0.16380
1998,2nd Quintile,East,No,0.85986,728,828,0.83620,0.88352
1998,3rd Quintile,West,Yes,0.12118,199,1645,0.10540,0.13695
1998,3rd Quintile,West,No,0.87882,1446,1645,0.86305,0.89460
1998,3rd Quintile,East,Yes,0.14792,126,933,0.12513,0.17072
1998,3rd Quintile,East,No,0.85208,807,933,0.82928,0.87487
1998,4th Quintile,West,Yes,0.12195,217,1889,0.10719,0.13671
1998,4th Quintile,West,No,0.87805,1672,1889,0.86329,0.89281
1998,4th Quintile,East,Yes,0.11449,77,713,0.09110,0.13788
1998,4th Quintile,East,No,0.88551,636,713,0.86212,0.90890
1998,5th Quintile,West,Yes,0.11168,197,1885,0.09746,0.12590
1998,5th Quintile,West,No,0.88832,1688,1885,0.87410,0.90254
1998,5th Quintile,East,Yes,0.12699,48,412,0.09480,0.15918
1998,5th Quintile,East,No,0.87301,364,412,0.84082,0.90520
1999,1st Quintile,West,Yes,0.14863,241,1788,0.13214,0.16512
1999,1st Quintile,West,No,0.85137,1547,1788,0.83488,0.86786
1999,1st Quintile,East,Yes,0.16903,124,803,0.14309,0.19497
1999,1st Quintile,East,No,0.83097,679,803,0.80503,0.85691
1999,2nd Quintile,West,Yes,0.13323,234,1845,0.11772,0.14874
1999,2nd Quintile,West,No,0.86677,1611,1845,0.85126,0.88228
1999,2nd Quintile,East,Yes,0.14927,141,1025,0.12744,0.17110
1999,2nd Quintile,East,No,0.85073,884,1025,0.82890,0.87256
1999,3rd Quintile,West,Yes,0.13678,241,1895,0.12130,0.15225
1999,3rd Quintile,West,No,0.86322,1654,1895,0.84775,0.87870
1999,3rd Quintile,East,Yes,0.12683,107,926,0.10538,0.14827
1999,3rd Quintile,East,No,0.87317,819,926,0.85173,0.89462
1999,4th Quintile,West,Yes,0.12411,250,2130,0.11010,0.13811
1999,4th Quintile,West,No,0.87589,1880,2130,0.86189,0.88990
1999,4th Quintile,East,Yes,0.10466,72,632,0.08077,0.12854
1999,4th Quintile,East,No,0.89534,560,632,0.87146,0.91923
1999,5th Quintile,West,Yes,0.11051,224,2217,0.09745,0.12356
1999,5th Quintile,West,No,0.88949,1993,2217,0.87644,0.90255
1999,5th Quintile,East,Yes,0.07869,35,393,0.05203,0.10534
1999,5th Quintile,East,No,0.92131,358,393,0.89466,0.94797
2000,1st Quintile,West,Yes,0.14376,225,1746,0.12730,0.16023
2000,1st Quintile,West,No,0.85624,1521,1746,0.83977,0.87270
2000,1st Quintile,East,Yes,0.11863,107,825,0.09655,0.14071
2000,1st Quintile,East,No,0.88137,718,825,0.85929,0.90345
2000,2nd Quintile,West,Yes,0.12923,215,1808,0.11376,0.14470
2000,2nd Quintile,West,No,0.87077,1593,1808,0.85530,0.88624
2000,2nd Quintile,East,Yes,0.11884,115,929,0.09802,0.13966
2000,2nd Quintile,East,No,0.88116,814,929,0.86034,0.90198
2000,3rd Quintile,West,Yes,0.13218,232,1774,0.11642,0.14795
2000,3rd Quintile,West,No,0.86782,1542,1774,0.85205,0.88358
2000,3rd Quintile,East,Yes,0.14866,118,958,0.12612,0.17120
2000,3rd Quintile,East,No,0.85134,840,958,0.82880,0.87388
2000,4th Quintile,West,Yes,0.10474,226,2026,0.09140,0.11808
2000,4th Quintile,West,No,0.89526,1800,2026,0.88192,0.90860
2000,4th Quintile,East,Yes,0.12570,74,665,0.10048,0.15091
2000,4th Quintile,East,No,0.87430,591,665,0.84909,0.89952
2000,5th Quintile,West,Yes,0.10274,215,2189,0.09002,0.11546
2000,5th Quintile,West,No,0.89726,1974,2189,0.88454,0.90998
2000,5th Quintile,East,Yes,0.11413,39,349,0.08072,0.14754
2000,5th Quintile,East,No,0.88587,310,349,0.85246,0.91928
2001,1st Quintile,West,Yes,0.13932,382,2694,0.12624,0.15240
2001,1st Quintile,West,No,0.86068,2312,2694,0.84760,0.87376
2001,1st Quintile,East,Yes,0.14335,168,1178,0.12333,0.16337
2001,1st Quintile,East,No,0.85665,1010,1178,0.83663,0.87667
2001,2nd Quintile,West,Yes,0.12697,351,2943,0.11494,0.13901
2001,2nd Quintile,West,No,0.87303,2592,2943,0.86099,0.88506
2001,2nd Quintile,East,Yes,0.12081,163,1387,0.10365,0.13797
2001,2nd Quintile,East,No,0.87919,1224,1387,0.86203,0.89635
2001,3rd Quintile,West,Yes,0.13250,414,3228,0.12081,0.14420
2001,3rd Quintile,West,No,0.86750,2814,3228,0.85580,0.87919
2001,3rd Quintile,East,Yes,0.12832,161,1307,0.11018,0.14645
2001,3rd Quintile,East,No,0.87168,1146,1307,0.85355,0.88982
2001,4th Quintile,West,Yes,0.11742,410,3637,0.10696,0.12789
2001,4th Quintile,West,No,0.88258,3227,3637,0.87211,0.89304
2001,4th Quintile,East,Yes,0.09995,98,962,0.08098,0.11891
2001,4th Quintile,East,No,0.90005,864,962,0.88109,0.91902
2001,5th Quintile,West,Yes,0.11277,421,3927,0.10287,0.12266
2001,5th Quintile,West,No,0.88723,3506,3927,0.87734,0.89713
2001,5th Quintile,East,Yes,0.09436,52,586,0.07067,0.11805
2001,5th Quintile,East,No,0.90564,534,586,0.88195,0.92933
2002,1st Quintile,West,Yes,0.12482,300,2397,0.11158,0.13805
2002,1st Quintile,West,No,0.87518,2097,2397,0.86195,0.88842
2002,1st Quintile,East,Yes,0.15093,148,1063,0.12940,0.17247
2002,1st Quintile,East,No,0.84907,915,1063,0.82753,0.87060
2002,2nd Quintile,West,Yes,0.13560,361,2695,0.12268,0.14853
2002,2nd Quintile,West,No,0.86440,2334,2695,0.85147,0.87732
2002,2nd Quintile,East,Yes,0.13227,148,1223,0.11327,0.15126
2002,2nd Quintile,East,No,0.86773,1075,1223,0.84874,0.88673
2002,3rd Quintile,West,Yes,0.13084,360,2853,0.11847,0.14322
2002,3rd Quintile,West,No,0.86916,2493,2853,0.85678,0.88153
2002,3rd Quintile,East,Yes,0.13400,156,1173,0.11450,0.15351
2002,3rd Quintile,East,No,0.86600,1017,1173,0.84649,0.88550
2002,4th Quintile,West,Yes,0.11418,368,3327,0.10337,0.12499
2002,4th Quintile,West,No,0.88582,2959,3327,0.87501,0.89663
2002,4th Quintile,East,Yes,0.11310,112,1034,0.09378,0.13241
2002,4th Quintile,East,No,0.88690,922,1034,0.86759,0.90622
2002,5th Quintile,West,Yes,0.12148,453,4298,0.11171,0.13125
2002,5th Quintile,West,No,0.87852,3845,4298,0.86875,0.88829
2002,5th Quintile,East,Yes,0.10309,61,691,0.08040,0.12578
2002,5th Quintile,East,No,0.89691,630,691,0.87422,0.91960
2003,1st Quintile,West,Yes,0.15139,341,2367,0.13694,0.16583
2003,1st Quintile,West,No,0.84861,2026,2367,0.83417,0.86306
2003,1st Quintile,East,Yes,0.15399,151,1027,0.13191,0.17608
2003,1st Quintile,East,No,0.84601,876,1027,0.82392,0.86809
2003,2nd Quintile,West,Yes,0.11755,292,2540,0.10502,0.13008
2003,2nd Quintile,West,No,0.88245,2248,2540,0.86992,0.89498
2003,2nd Quintile,East,Yes,0.14859,182,1305,0.12929,0.16790
2003,2nd Quintile,East,No,0.85141,1123,1305,0.83210,0.87071
2003,3rd Quintile,West,Yes,0.11841,329,2858,0.10656,0.13026
2003,3rd Quintile,West,No,0.88159,2529,2858,0.86974,0.89344
2003,3rd Quintile,East,Yes,0.11691,141,1197,0.09870,0.13512
2003,3rd Quintile,East,No,0.88309,1056,1197,0.86488,0.90130
2003,4th Quintile,West,Yes,0.11603,384,3463,0.10536,0.12670
2003,4th Quintile,West,No,0.88397,3079,3463,0.87330,0.89464
2003,4th Quintile,East,Yes,0.11086,103,988,0.09127,0.13044
2003,4th Quintile,East,No,0.88914,885,988,0.86956,0.90873
2003,5th Quintile,West,Yes,0.11132,614,5522,0.10302,0.11962
2003,5th Quintile,West,No,0.88868,4908,5522,0.88038,0.89698
2003,5th Quintile,East,Yes,0.10825,79,813,0.08688,0.12962
2003,5th Quintile,East,No,0.89175,734,813,0.87038,0.91312
2004,1st Quintile,West,Yes,0.14716,330,2243,0.13249,0.16182
2004,1st Quintile,West,No,0.85284,1913,2243,0.83818,0.86751
2004,1st Quintile,East,Yes,0.15122,149,1009,0.12910,0.17334
2004,1st Quintile,East,No,0.84878,860,1009,0.82666,0.87090
2004,2nd Quintile,West,Yes,0.11953,304,2523,0.10687,0.13220
2004,2nd Quintile,West,No,0.88047,2219,2523,0.86780,0.89313
2004,2nd Quintile,East,Yes,0.13249,153,1251,0.11370,0.15129
2004,2nd Quintile,East,No,0.86751,1098,1251,0.84871,0.88630
2004,3rd Quintile,West,Yes,0.12240,340,2829,0.11032,0.13448
2004,3rd Quintile,West,No,0.87760,2489,2829,0.86552,0.88968
2004,3rd Quintile,East,Yes,0.12883,136,1173,0.10965,0.14801
2004,3rd Quintile,East,No,0.87117,1037,1173,0.85199,0.89035
2004,4th Quintile,West,Yes,0.13171,394,3344,0.12025,0.14317
2004,4th Quintile,West,No,0.86829,2950,3344,0.85683,0.87975
2004,4th Quintile,East,Yes,0.12788,111,994,0.10711,0.14865
2004,4th Quintile,East,No,0.87212,883,994,0.85135,0.89289
2004,5th Quintile,West,Yes,0.11687,583,5391,0.10829,0.12544
2004,5th Quintile,West,No,0.88313,4808,5391,0.87456,0.89171
2004,5th Quintile,East,Yes,0.08082,76,790,0.06180,0.09984
2004,5th Quintile,East,No,0.91918,714,790,0.90016,0.93820
2005,1st Quintile,West,Yes,0.13585,284,2131,0.12130,0.15040
2005,1st Quintile,West,No,0.86415,1847,2131,0.84960,0.87870
2005,1st Quintile,East,Yes,0.14852,138,1010,0.12658,0.17046
2005,1st Quintile,East,No,0.85148,872,1010,0.82954,0.87342
2005,2nd Quintile,West,Yes,0.11404,263,2401,0.10133,0.12676
2005,2nd Quintile,West,No,0.88596,2138,2401,0.87324,0.89867
2005,2nd Quintile,East,Yes,0.13394,156,1216,0.11478,0.15309
2005,2nd Quintile,East,No,0.86606,1060,1216,0.84691,0.88522
2005,3rd Quintile,West,Yes,0.11741,294,2669,0.10519,0.12962
2005,3rd Quintile,West,No,0.88259,2375,2669,0.87038,0.89481
2005,3rd Quintile,East,Yes,0.12719,133,1074,0.10725,0.14712
2005,3rd Quintile,East,No,0.87281,941,1074,0.85288,0.89275
2005,4th Quintile,West,Yes,0.10426,315,3312,0.09385,0.11467
2005,4th Quintile,West,No,0.89574,2997,3312,0.88533,0.90615
2005,4th Quintile,East,Yes,0.13050,119,980,0.10940,0.15161
2005,4th Quintile,East,No,0.86950,861,980,0.84839,0.89060
2005,5th Quintile,West,Yes,0.10357,513,5097,0.09521,0.11194
2005,5th Quintile,West,No,0.89643,4584,5097,0.88806,0.90479
2005,5th Quintile,East,Yes,0.09519,65,732,0.07391,0.11646
2005,5th Quintile,East,No,0.90481,667,732,0.88354,0.92609
2006,1st Quintile,West,Yes,0.13459,270,1998,0.11962,0.14956
2006,1st Quintile,West,No,0.86541,1728,1998,0.85044,0.88038
2006,1st Quintile,East,Yes,0.14072,127,942,0.11850,0.16293
2006,1st Quintile,East,No,0.85928,815,942,0.83707,0.88150
2006,2nd Quintile,West,Yes,0.13011,261,2201,0.11606,0.14417
2006,2nd Quintile,West,No,0.86989,1940,2201,0.85583,0.88394
2006,2nd Quintile,East,Yes,0.15659,155,1115,0.13525,0.17794
2006,2nd Quintile,East,No,0.84341,960,1115,0.82206,0.86475
2006,3rd Quintile,West,Yes,0.11590,286,2504,0.10336,0.12844
2006,3rd Quintile,West,No,0.88410,2218,2504,0.87156,0.89664
2006,3rd Quintile,East,Yes,0.13600,132,1072,0.11547,0.15653
2006,3rd Quintile,East,No,0.86400,940,1072,0.84347,0.88453
2006,4th Quintile,West,Yes,0.11593,330,3095,0.10465,0.12721
2006,4th Quintile,West,No,0.88407,2765,3095,0.87279,0.89535
2006,4th Quintile,East,Yes,0.12028,102,871,0.09867,0.14190
2006,4th Quintile,East,No,0.87972,769,871,0.85810,0.90133
2006,5th Quintile,West,Yes,0.10637,488,4797,0.09764,0.11510
2006,5th Quintile,West,No,0.89363,4309,4797,0.88490,0.90236
2006,5th Quintile,East,Yes,0.08890,66,717,0.06805,0.10975
2006,5th Quintile,East,No,0.91110,651,717,0.89025,0.93195
2007,1st Quintile,West,Yes,0.14451,312,2176,0.12973,0.15928
2007,1st Quintile,West,No,0.85549,1864,2176,0.84072,0.87027
2007,1st Quintile,East,Yes,0.11383,124,1011,0.09424,0.13342
2007,1st Quintile,East,No,0.88617,887,1011,0.86658,0.90576
2007,2nd Quintile,West,Yes,0.13155,299,2423,0.11809,0.14501
2007,2nd Quintile,West,No,0.86845,2124,2423,0.85499,0.88191
2007,2nd Quintile,East,Yes,0.13351,143,1082,0.11323,0.15379
2007,2nd Quintile,East,No,0.86649,939,1082,0.84621,0.88677
2007,3rd Quintile,West,Yes,0.11308,301,2702,0.10114,0.12503
2007,3rd Quintile,West,No,0.88692,2401,2702,0.87497,0.89886
2007,3rd Quintile,East,Yes,0.14662,170,1163,0.12628,0.16696
2007,3rd Quintile,East,No,0.85338,993,1163,0.83304,0.87372
2007,4th Quintile,West,Yes,0.11715,363,3296,0.10617,0.12813
2007,4th Quintile,West,No,0.88285,2933,3296,0.87187,0.89383
2007,4th Quintile,East,Yes,0.11456,109,1007,0.09488,0.13424
2007,4th Quintile,East,No,0.88544,898,1007,0.86576,0.90512
2007,5th Quintile,West,Yes,0.10897,530,4860,0.10021,0.11773
2007,5th Quintile,West,No,0.89103,4330,4860,0.88227,0.89979
2007,5th Quintile,East,Yes,0.12948,84,729,0.10509,0.15387
2007,5th Quintile,East,No,0.87052,645,729,0.84613,0.89491
2008,1st Quintile,West,Yes,0.13125,269,2025,0.11654,0.14596
2008,1st Quintile,West,No,0.86875,1756,2025,0.85404,0.88346
2008,1st Quintile,East,Yes,0.12449,126,933,0.10330,0.14569
2008,1st Quintile,East,No,0.87551,807,933,0.85431,0.89670
2008,2nd Quintile,West,Yes,0.11428,275,2282,0.10123,0.12734
2008,2nd Quintile,West,No,0.88572,2007,2282,0.87266,0.89877
2008,2nd Quintile,East,Yes,0.14857,154,1082,0.12737,0.16978
2008,2nd Quintile,East,No,0.85143,928,1082,0.83022,0.87263
2008,3rd Quintile,West,Yes,0.11105,284,2602,0.09898,0.12313
2008,3rd Quintile,West,No,0.88895,2318,2602,0.87687,0.90102
2008,3rd Quintile,East,Yes,0.12491,150,1202,0.10621,0.14361
2008,3rd Quintile,East,No,0.87509,1052,1202,0.85639,0.89379
2008,4th Quintile,West,Yes,0.10868,339,3058,0.09765,0.11972
2008,4th Quintile,West,No,0.89132,2719,3058,0.88028,0.90235
2008,4th Quintile,East,Yes,0.12380,93,812,0.10113,0.14646
2008,4th Quintile,East,No,0.87620,719,812,0.85354,0.89887
2008,5th Quintile,West,Yes,0.10318,472,4533,0.09433,0.11204
2008,5th Quintile,West,No,0.89682,4061,4533,0.88796,0.90567
2008,5th Quintile,East,Yes,0.11821,82,719,0.09460,0.14183
2008,5th Quintile,East,No,0.88179,637,719,0.85817,0.90540
2009,1st Quintile,West,Yes,0.15743,298,1935,0.14120,0.17367
2009,1st Quintile,West,No,0.84257,1637,1935,0.82633,0.85880
2009,1st Quintile,East,Yes,0.12209,112,926,0.10099,0.14318
2009,1st Quintile,East,No,0.87791,814,926,0.85682,0.89901
2009,2nd Quintile,West,Yes,0.13278,281,2089,0.11823,0.14734
