year,migback,sex,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,Indirect migration background,female,No,0.15716,83,83,0.07839,0.23594
1988,No migration background,male,Yes,0.09354,359,3410,0.08376,0.10331
1988,No migration background,male,No,0.74749,3051,3410,0.73290,0.76207
1988,No migration background,female,Yes,0.12145,522,3649,0.11085,0.13205
1988,No migration background,female,No,0.73432,3127,3649,0.71999,0.74865
1988,Direct migration background,male,Yes,0.09302,133,1403,0.07781,0.10822
1988,Direct migration background,male,No,0.83483,1270,1403,0.81540,0.85427
1988,Direct migration background,female,Yes,0.11883,168,1256,0.10093,0.13673
1988,Direct migration background,female,No,0.81581,1088,1256,0.79437,0.83726
1988,Indirect migration background,male,No,0.13422,98,98,0.06638,0.20206
1988,Indirect migration background,female,No,0.17571,103,103,0.10185,0.24957
1989,No migration background,male,Yes,0.08610,319,3288,0.07651,0.09569
1989,No migration background,male,No,0.75666,2969,3288,0.74199,0.77133
1989,No migration background,female,Yes,0.12552,512,3512,0.11456,0.13648
1989,No migration background,female,No,0.73308,3000,3512,0.71845,0.74772
1989,Direct migration background,male,Yes,0.08894,121,1338,0.07368,0.10420
1989,Direct migration background,male,No,0.84192,1217,1338,0.82237,0.86148
1989,Direct migration background,female,Yes,0.11760,170,1236,0.09964,0.13557
1989,Direct migration background,female,No,0.83666,1066,1236,0.81604,0.85728
1989,Indirect migration background,male,No,0.15149,112,112,0.08479,0.21819
1989,Indirect migration background,female,No,0.19463,121,121,0.12379,0.26546
1991,No migration background,male,Yes,0.07022,332,3151,0.06130,0.07914
1991,No migration background,male,No,0.56610,2819,3151,0.54880,0.58341
1991,No migration background,female,Yes,0.10443,529,3410,0.09416,0.11470
1991,No migration background,female,No,0.55220,2881,3410,0.53551,0.56890
1991,Direct migration background,male,Yes,0.08610,123,1299,0.07084,0.10136
1991,Direct migration background,male,No,0.80850,1176,1299,0.78709,0.82990
1991,Direct migration background,female,Yes,0.12708,159,1174,0.10802,0.14615
1991,Direct migration background,female,No,0.74875,1015,1174,0.72392,0.77357
1991,Indirect migration background,male,No,0.18472,159,159,0.12421,0.24523
1991,Indirect migration background,female,No,0.19582,159,159,0.13394,0.25770
1992,No migration background,male,Yes,0.08473,467,4919,0.07694,0.09251
1992,No migration background,male,No,0.73552,4452,4919,0.72320,0.74785
1992,No migration background,female,Yes,0.11724,697,5398,0.10866,0.12582
1992,No migration background,female,No,0.72030,4701,5398,0.70832,0.73227
1992,Direct migration background,male,Yes,0.10487,118,1320,0.08834,0.12141
1992,Direct migration background,male,No,0.87487,1202,1320,0.85701,0.89273
1992,Direct migration background,female,Yes,0.12190,162,1221,0.10354,0.14026
1992,Direct migration background,female,No,0.85155,1059,1221,0.83160,0.87151
1992,Indirect migration background,male,No,0.22714,188,188,0.16709,0.28719
1992,Indirect migration background,female,No,0.22053,176,176,0.15910,0.28196
1994,No migration background,male,Yes,0.08475,442,4749,0.07683,0.09268
1994,No migration background,male,No,0.72871,4307,4749,0.71606,0.74136
1994,No migration background,female,Yes,0.13241,750,5249,0.12324,0.14158
1994,No migration background,female,No,0.70512,4499,5249,0.69278,0.71745
1994,Direct migration background,male,Yes,0.10711,112,1205,0.08965,0.12458
1994,Direct migration background,male,No,0.87863,1093,1205,0.86018,0.89707
1994,Direct migration background,female,Yes,0.11348,146,1145,0.09510,0.13186
1994,Direct migration background,female,No,0.87053,999,1145,0.85107,0.88998
1994,Indirect migration background,male,No,0.29823,230,230,0.23898,0.35749
1994,Indirect migration background,female,Yes,0.05576,33,241,0.02673,0.08479
1994,Indirect migration background,female,No,0.27945,208,241,0.22268,0.33622
1995,No migration background,male,Yes,0.08508,472,4730,0.07713,0.09303
1995,No migration background,male,No,0.72929,4258,4730,0.71662,0.74195
1995,No migration background,female,Yes,0.12616,733,5219,0.11716,0.13517
1995,No migration background,female,No,0.70896,4486,5219,0.69663,0.72129
1995,Direct migration background,male,Yes,0.09786,136,1400,0.08229,0.11343
1995,Direct migration background,male,No,0.83068,1264,1400,0.81103,0.85034
1995,Direct migration background,female,Yes,0.12517,183,1365,0.10761,0.14273
1995,Direct migration background,female,No,0.81525,1182,1365,0.79466,0.83585
1995,Indirect migration background,male,No,0.30867,241,241,0.25023,0.36712
1995,Indirect migration background,female,Yes,0.03548,35,252,0.01259,0.05836
1995,Indirect migration background,female,No,0.30450,217,252,0.24757,0.36144
1996,No migration background,male,Yes,0.08762,455,4705,0.07954,0.09570
1996,No migration background,male,No,0.72907,4250,4705,0.71637,0.74177
1996,No migration background,female,Yes,0.12426,754,5169,0.11527,0.13325
1996,No migration background,female,No,0.71382,4415,5169,0.70150,0.72615
1996,Direct migration background,male,Yes,0.12074,149,1306,0.10306,0.13842
1996,Direct migration background,male,No,0.81781,1157,1306,0.79687,0.83875
1996,Direct migration background,female,Yes,0.12815,175,1283,0.10985,0.14645
1996,Direct migration background,female,No,0.81048,1108,1283,0.78902,0.83193
1996,Indirect migration background,male,No,0.30071,247,247,0.24341,0.35802
1996,Indirect migration background,female,Yes,0.04276,38,277,0.01889,0.06663
1996,Indirect migration background,female,No,0.31345,239,277,0.25872,0.36818
1997,No migration background,male,Yes,0.09187,482,4658,0.08358,0.10017
1997,No migration background,male,No,0.72871,4176,4658,0.71593,0.74148
1997,No migration background,female,Yes,0.12356,715,5101,0.11453,0.13259
1997,No migration background,female,No,0.71493,4386,5101,0.70253,0.72732
1997,Direct migration background,male,Yes,0.08756,112,1239,0.07182,0.10331
1997,Direct migration background,male,No,0.84545,1127,1239,0.82532,0.86559
1997,Direct migration background,female,Yes,0.14247,179,1215,0.12280,0.16213
1997,Direct migration background,female,No,0.80961,1036,1215,0.78752,0.83169
1997,Indirect migration background,male,No,0.33081,265,265,0.27406,0.38757
1997,Indirect migration background,female,Yes,0.04542,39,277,0.02086,0.06999
1997,Indirect migration background,female,No,0.33700,238,277,0.28124,0.39277
1998,No migration background,male,Yes,0.08669,549,5363,0.07916,0.09422
1998,No migration background,male,No,0.73838,4814,5363,0.72661,0.75014
1998,No migration background,female,Yes,0.12692,834,5864,0.11840,0.13544
1998,No migration background,female,No,0.71882,5030,5864,0.70731,0.73033
1998,Direct migration background,male,Yes,0.08751,115,1211,0.07159,0.10343
1998,Direct migration background,male,No,0.85470,1096,1211,0.83484,0.87455
1998,Direct migration background,female,Yes,0.16367,188,1185,0.14260,0.18474
1998,Direct migration background,female,No,0.78302,997,1185,0.75954,0.80650
1998,Indirect migration background,male,No,0.38914,285,285,0.33243,0.44584
1998,Indirect migration background,female,No,0.34831,263,263,0.29062,0.40600
1999,No migration background,male,Yes,0.08975,551,5194,0.08198,0.09753
1999,No migration background,male,No,0.74145,4643,5194,0.72954,0.75336
1999,No migration background,female,Yes,0.12818,789,5659,0.11947,0.13689
1999,No migration background,female,No,0.71846,4870,5659,0.70674,0.73018
1999,Direct migration background,male,Yes,0.11123,117,1106,0.09269,0.12977
1999,Direct migration background,male,No,0.83280,989,1106,0.81080,0.85480
1999,Direct migration background,female,Yes,0.14651,165,1092,0.12552,0.16749
1999,Direct migration background,female,No,0.80615,927,1092,0.78270,0.82961
1999,Indirect migration background,male,No,0.37869,284,284,0.32217,0.43520
1999,Indirect migration background,female,No,0.35488,272,272,0.29791,0.41185
2000,No migration background,male,Yes,0.09003,1005,9536,0.08429,0.09578
2000,No migration background,male,No,0.74126,8531,9536,0.73247,0.75005
2000,No migration background,female,Yes,0.11696,1394,10407,0.11078,0.12313
2000,No migration background,female,No,0.73470,9013,10407,0.72622,0.74319
2000,Direct migration background,male,Yes,0.09012,157,1617,0.07616,0.10408
2000,Direct migration background,male,No,0.82416,1460,1617,0.80560,0.84272
2000,Direct migration background,female,Yes,0.11613,216,1679,0.10080,0.13146
2000,Direct migration background,female,No,0.80048,1463,1679,0.78136,0.81960
2000,Indirect migration background,male,No,0.36230,370,370,0.31326,0.41135
2000,Indirect migration background,female,Yes,0.04665,53,415,0.02633,0.06696
2000,Indirect migration background,female,No,0.35340,362,415,0.30735,0.39945
2001,No migration background,male,Yes,0.08985,900,8698,0.08384,0.09586
2001,No migration background,male,No,0.74386,7798,8698,0.73469,0.75304
2001,No migration background,female,Yes,0.12227,1294,9485,0.11568,0.12887
2001,No migration background,female,No,0.73124,8191,9485,0.72231,0.74016
2001,Direct migration background,male,Yes,0.09833,154,1426,0.08287,0.11379
2001,Direct migration background,male,No,0.83851,1272,1426,0.81940,0.85761
2001,Direct migration background,female,Yes,0.11918,193,1480,0.10267,0.13569
2001,Direct migration background,female,No,0.80529,1287,1480,0.78510,0.82547
2001,Indirect migration background,male,No,0.35488,348,348,0.30453,0.40522
2001,Indirect migration background,female,Yes,0.04788,57,392,0.02672,0.06905
2001,Indirect migration background,female,No,0.32955,335,392,0.28296,0.37614
2002,No migration background,male,Yes,0.09712,1028,9389,0.09113,0.10311
2002,No migration background,male,No,0.73968,8361,9389,0.73081,0.74856
2002,No migration background,female,Yes,0.11875,1264,10032,0.11242,0.12509
2002,No migration background,female,No,0.73584,8768,10032,0.72721,0.74447
2002,Direct migration background,male,Yes,0.09242,143,1358,0.07701,0.10783
2002,Direct migration background,male,No,0.85034,1215,1358,0.83136,0.86932
2002,Direct migration background,female,Yes,0.12641,181,1433,0.10920,0.14362
2002,Direct migration background,female,No,0.81466,1252,1433,0.79453,0.83479
2002,Indirect migration background,male,No,0.34944,336,336,0.29838,0.40050
2002,Indirect migration background,female,Yes,0.04130,56,403,0.02185,0.06076
2002,Indirect migration background,female,No,0.34309,347,403,0.29668,0.38950
2003,No migration background,male,Yes,0.09041,953,9019,0.08449,0.09633
2003,No migration background,male,No,0.74853,8066,9019,0.73958,0.75749
2003,No migration background,female,Yes,0.11881,1286,9696,0.11237,0.12525
2003,No migration background,female,No,0.73523,8410,9696,0.72645,0.74401
2003,Direct migration background,male,Yes,0.11433,150,1253,0.09671,0.13196
2003,Direct migration background,male,No,0.82610,1103,1253,0.80510,0.84709
2003,Direct migration background,female,Yes,0.12555,154,1343,0.10782,0.14328
2003,Direct migration background,female,No,0.81229,1189,1343,0.79140,0.83318
2003,Indirect migration background,male,No,0.35121,340,340,0.30039,0.40202
2003,Indirect migration background,female,Yes,0.04406,48,408,0.02412,0.06400
2003,Indirect migration background,female,No,0.36068,360,408,0.31403,0.40733
2004,No migration background,male,Yes,0.09741,938,8757,0.09120,0.10362
2004,No migration background,male,No,0.74377,7819,8757,0.73462,0.75291
2004,No migration background,female,Yes,0.12311,1261,9481,0.11650,0.12973
2004,No migration background,female,No,0.73502,8220,9481,0.72613,0.74390
2004,Direct migration background,male,Yes,0.10557,126,1207,0.08822,0.12291
2004,Direct migration background,male,No,0.85284,1081,1207,0.83285,0.87284
2004,Direct migration background,female,Yes,0.12544,174,1313,0.10752,0.14337
2004,Direct migration background,female,No,0.82393,1139,1313,0.80331,0.84454
2004,Indirect migration background,male,No,0.39321,352,352,0.34210,0.44431
2004,Indirect migration background,female,Yes,0.04244,51,414,0.02300,0.06188
2004,Indirect migration background,female,No,0.38412,363,414,0.33721,0.43103
2005,No migration background,male,Yes,0.08832,854,8357,0.08223,0.09440
2005,No migration background,male,No,0.75571,7503,8357,0.74650,0.76492
2005,No migration background,female,Yes,0.11320,1105,9092,0.10669,0.11972
2005,No migration background,female,No,0.74537,7987,9092,0.73641,0.75432
2005,Direct migration background,male,Yes,0.10019,113,1112,0.08253,0.11785
2005,Direct migration background,male,No,0.86101,999,1112,0.84067,0.88135
2005,Direct migration background,female,Yes,0.11611,143,1245,0.09831,0.13392
2005,Direct migration background,female,No,0.84116,1102,1245,0.82084,0.86147
2005,Indirect migration background,male,No,0.42014,375,375,0.37011,0.47016
2005,Indirect migration background,female,Yes,0.05810,44,423,0.03578,0.08042
2005,Indirect migration background,female,No,0.41580,379,423,0.36878,0.46283
2006,No migration background,male,Yes,0.09477,954,8962,0.08871,0.10084
2006,No migration background,male,No,0.74422,8008,8962,0.73518,0.75325
2006,No migration background,female,Yes,0.11909,1266,9781,0.11267,0.12551
2006,No migration background,female,No,0.73711,8515,9781,0.72839,0.74584
2006,Direct migration background,male,Yes,0.10893,120,1101,0.09052,0.12734
2006,Direct migration background,male,No,0.85206,981,1101,0.83108,0.87304
2006,Direct migration background,female,Yes,0.11515,142,1272,0.09760,0.13270
2006,Direct migration background,female,No,0.84023,1130,1272,0.82008,0.86037
2006,Indirect migration background,male,No,0.43432,368,368,0.38361,0.48504
2006,Indirect migration background,female,Yes,0.05197,49,424,0.03082,0.07312
2006,Indirect migration background,female,No,0.40886,375,424,0.36201,0.45571
2007,No migration background,male,Yes,0.09768,949,8401,0.09133,0.10403
2007,No migration background,male,No,0.73898,7452,8401,0.72959,0.74837
2007,No migration background,female,Yes,0.11634,1185,9160,0.10978,0.12291
2007,No migration background,female,No,0.73986,7975,9160,0.73087,0.74884
2007,Direct migration background,male,Yes,0.09546,106,976,0.07702,0.11391
2007,Direct migration background,male,No,0.87071,870,976,0.84965,0.89177
2007,Direct migration background,female,Yes,0.10752,131,1137,0.08951,0.12554
2007,Direct migration background,female,No,0.84970,1006,1137,0.82892,0.87049
2007,Indirect migration background,male,No,0.43691,346,346,0.38457,0.48925
2007,Indirect migration background,female,Yes,0.06348,45,413,0.03994,0.08702
2007,Indirect migration background,female,No,0.42192,368,413,0.37423,0.46961
2008,No migration background,male,Yes,0.09579,892,7928,0.08931,0.10227
2008,No migration background,male,No,0.74694,7036,7928,0.73737,0.75651
2008,No migration background,female,Yes,0.10906,1072,8660,0.10249,0.11562
2008,No migration background,female,No,0.74772,7588,8660,0.73857,0.75686
2008,Direct migration background,male,Yes,0.08420,88,880,0.06584,0.10255
2008,Direct migration background,male,No,0.88743,792,880,0.86653,0.90832
2008,Direct migration background,female,Yes,0.11667,125,1023,0.09698,0.13635
2008,Direct migration background,female,No,0.86058,898,1023,0.83934,0.88181
2008,Indirect migration background,male,No,0.46455,340,340,0.41145,0.51764
2008,Indirect migration background,female,Yes,0.04556,46,397,0.02502,0.06610
2008,Indirect migration background,female,No,0.45763,351,397,0.40856,0.50670
2009,No migration background,male,Yes,0.10264,934,7477,0.09576,0.10952
2009,No migration background,male,No,0.74366,6543,7477,0.73376,0.75356
2009,No migration background,female,Yes,0.12366,1101,8133,0.11651,0.13082
2009,No migration background,female,No,0.73531,7032,8133,0.72572,0.74490
2009,Direct migration background,male,Yes,0.08917,74,759,0.06888,0.10946
2009,Direct migration background,male,No,0.88078,685,759,0.85771,0.90385
2009,Direct migration background,female,Yes,0.12969,123,898,0.10771,0.15168
2009,Direct migration background,female,No,0.84655,775,898,0.82296,0.87013
2009,Indirect migration background,male,No,0.48637,321,321,0.43161,0.54113
2009,Indirect migration background,female,Yes,0.05663,42,369,0.03301,0.08025
2009,Indirect migration background,female,No,0.49315,327,369,0.44207,0.54423
2010,No migration background,male,Yes,0.10648,1024,9070,0.10013,0.11283
2010,No migration background,male,No,0.75019,8046,9070,0.74128,0.75910
2010,No migration background,female,Yes,0.11759,1669,10790,0.11151,0.12367
2010,No migration background,female,No,0.74787,9121,10790,0.73967,0.75606
2010,Direct migration background,male,Yes,0.09239,130,1323,0.07678,0.10801
2010,Direct migration background,male,No,0.87662,1193,1323,0.85889,0.89435
2010,Direct migration background,female,Yes,0.12427,309,1653,0.10836,0.14018
2010,Direct migration background,female,No,0.84327,1344,1653,0.82573,0.86080
2010,Indirect migration background,male,Yes,0.04074,39,493,0.02327,0.05821
2010,Indirect migration background,male,No,0.41699,454,493,0.37342,0.46056
2010,Indirect migration background,female,Yes,0.04771,100,594,0.03055,0.06487
2010,Indirect migration background,female,No,0.42325,494,594,0.38349,0.46302
2011,No migration background,male,Yes,0.10640,1293,10822,0.10059,0.11220
2011,No migration background,male,No,0.74321,9529,10822,0.73497,0.75144
2011,No migration background,female,Yes,0.13135,1977,12949,0.12554,0.13717
2011,No migration background,female,No,0.72963,10972,12949,0.72198,0.73728
2011,Direct migration background,male,Yes,0.09764,150,1464,0.08243,0.11285
2011,Direct migration background,male,No,0.86664,1314,1464,0.84922,0.88406
2011,Direct migration background,female,Yes,0.13819,348,1880,0.12259,0.15379
2011,Direct migration background,female,No,0.83162,1532,1880,0.81470,0.84854
2011,Indirect migration background,male,Yes,0.03900,42,557,0.02291,0.05509
2011,Indirect migration background,male,No,0.41109,515,557,0.37019,0.45199
2011,Indirect migration background,female,Yes,0.04108,90,680,0.02615,0.05601
2011,Indirect migration background,female,No,0.41737,590,680,0.38028,0.45446
2012,No migration background,male,Yes,0.11712,1384,10577,0.11099,0.12325
2012,No migration background,male,No,0.73341,9193,10577,0.72498,0.74183
2012,No migration background,female,Yes,0.12631,1773,12622,0.12052,0.13211
2012,No migration background,female,No,0.73316,10849,12622,0.72545,0.74088
2012,Direct migration background,male,Yes,0.09935,147,1401,0.08368,0.11502
2012,Direct migration background,male,No,0.86488,1254,1401,0.84697,0.88279
2012,Direct migration background,female,Yes,0.14148,270,1784,0.12531,0.15766
2012,Direct migration background,female,No,0.82497,1514,1784,0.80733,0.84261
2012,Indirect migration background,male,Yes,0.03827,48,547,0.02218,0.05436
2012,Indirect migration background,male,No,0.41361,499,547,0.37230,0.45492
2012,Indirect migration background,female,Yes,0.08722,102,649,0.06550,0.10895
2012,Indirect migration background,female,No,0.37731,547,649,0.33999,0.41463
2013,No migration background,male,Yes,0.11991,1291,9863,0.11350,0.12632
2013,No migration background,male,No,0.72362,8572,9863,0.71479,0.73244
2013,No migration background,female,Yes,0.13041,1668,11808,0.12433,0.13648
2013,No migration background,female,No,0.73162,10140,11808,0.72363,0.73961
2013,Direct migration background,male,Yes,0.06798,129,1232,0.05392,0.08204
2013,Direct migration background,male,No,0.47733,1103,1232,0.44942,0.50523
2013,Direct migration background,female,Yes,0.08508,235,1623,0.07151,0.09866
2013,Direct migration background,female,No,0.49043,1388,1623,0.46610,0.51476
2013,Indirect migration background,male,Yes,0.02004,39,517,0.00795,0.03214
2013,Indirect migration background,male,No,0.25208,478,517,0.21461,0.28954
2013,Indirect migration background,female,Yes,0.03995,83,609,0.02438,0.05552
2013,Indirect migration background,female,No,0.24138,526,609,0.20737,0.27540
2014,No migration background,male,Yes,0.11114,1119,9229,0.10473,0.11756
2014,No migration background,male,No,0.74264,8110,9229,0.73372,0.75156
2014,No migration background,female,Yes,0.12745,1479,10827,0.12117,0.13374
2014,No migration background,female,No,0.73460,9348,10827,0.72628,0.74291
2014,Direct migration background,male,Yes,0.10958,267,2384,0.09703,0.12212
2014,Direct migration background,male,No,0.85588,2117,2384,0.84178,0.86998
2014,Direct migration background,female,Yes,0.15195,473,2893,0.13886,0.16503
2014,Direct migration background,female,No,0.80937,2420,2893,0.79505,0.82368
2014,Indirect migration background,male,Yes,0.05638,91,801,0.04039,0.07236
2014,Indirect migration background,male,No,0.44000,710,801,0.40560,0.47440
2014,Indirect migration background,female,Yes,0.06080,122,895,0.04514,0.07647
2014,Indirect migration background,female,No,0.42176,773,895,0.38938,0.45413
2015,No migration background,male,Yes,0.11535,1136,8722,0.10865,0.12206
2015,No migration background,male,No,0.73662,7586,8722,0.72738,0.74587
2015,No migration background,female,Yes,0.12981,1399,10269,0.12331,0.13631
2015,No migration background,female,No,0.73428,8870,10269,0.72574,0.74283
2015,Direct migration background,male,Yes,0.09958,233,1996,0.08644,0.11272
2015,Direct migration background,male,No,0.72033,1763,1996,0.70064,0.74003
2015,Direct migration background,female,Yes,0.11625,367,2468,0.10360,0.12890
2015,Direct migration background,female,No,0.72815,2101,2468,0.71060,0.74571
2015,Indirect migration background,male,Yes,0.03602,60,718,0.02238,0.04966
2015,Indirect migration background,male,No,0.44773,658,718,0.41133,0.48413
2015,Indirect migration background,female,Yes,0.06839,123,819,0.05109,0.08568
2015,Indirect migration background,female,No,0.40802,696,819,0.37434,0.44170
2016,No migration background,male,Yes,0.10935,1010,8149,0.10257,0.11612
2016,No migration background,male,No,0.74181,7139,8149,0.73230,0.75131
2016,No migration background,female,Yes,0.12861,1329,9577,0.12191,0.13532
2016,No migration background,female,No,0.73601,8248,9577,0.72718,0.74484
2016,Direct migration background,male,Yes,0.09055,233,2213,0.07859,0.10251
2016,Direct migration background,male,No,0.80317,1980,2213,0.78660,0.81974
2016,Direct migration background,female,Yes,0.13203,434,2723,0.11931,0.14474
2016,Direct migration background,female,No,0.78214,2289,2723,0.76664,0.79765
2016,Indirect migration background,male,Yes,0.04931,67,681,0.03303,0.06558
2016,Indirect migration background,male,No,0.45421,614,681,0.41679,0.49163
2016,Indirect migration background,female,Yes,0.05342,111,777,0.03760,0.06924
2016,Indirect migration background,female,No,0.44878,666,777,0.41378,0.48377
2017,No migration background,male,Yes,0.11339,1226,9337,0.10696,0.11983
2017,No migration background,male,No,0.73792,8111,9337,0.72900,0.74684
2017,No migration background,female,Yes,0.13073,1505,10714,0.12435,0.13712
2017,No migration background,female,No,0.73215,9209,10714,0.72376,0.74053
2017,Direct migration background,male,Yes,0.11771,238,2103,0.10393,0.13148
2017,Direct migration background,male,No,0.75710,1865,2103,0.73877,0.77544
2017,Direct migration background,female,Yes,0.14583,398,2631,0.13234,0.15931
2017,Direct migration background,female,No,0.75767,2233,2631,0.74129,0.77405
2017,Indirect migration background,male,Yes,0.06710,81,753,0.04922,0.08498
2017,Indirect migration background,male,No,0.43168,672,753,0.39628,0.46709
2017,Indirect migration background,female,Yes,0.04735,109,844,0.03301,0.06168
2017,Indirect migration background,female,No,0.45328,735,844,0.41967,0.48688
2018,No migration background,male,Yes,0.11232,1156,8980,0.10579,0.11885
2018,No migration background,male,No,0.74299,7824,8980,0.73395,0.75203
2018,No migration background,female,Yes,0.13584,1472,10380,0.12925,0.14243
2018,No migration background,female,No,0.73082,8908,10380,0.72229,0.73935
2018,Direct migration background,male,Yes,0.10868,250,2021,0.09511,0.12226
2018,Direct migration background,male,No,0.76246,1771,2021,0.74390,0.78102
2018,Direct migration background,female,Yes,0.12138,350,2537,0.10867,0.13409
2018,Direct migration background,female,No,0.78555,2187,2537,0.76957,0.80152
2018,Indirect migration background,male,Yes,0.04750,65,739,0.03216,0.06285
2018,Indirect migration background,male,No,0.45790,674,739,0.42195,0.49385
2018,Indirect migration background,female,Yes,0.07737,126,862,0.05952,0.09521
2018,Indirect migration background,female,No,0.44698,736,862,0.41377,0.48019
2019,No migration background,male,Yes,0.11422,1276,9709,0.10790,0.12055
2019,No migration background,male,No,0.73680,8433,9709,0.72804,0.74556
2019,No migration background,female,Yes,0.13480,1442,10379,0.12823,0.14137
2019,No migration background,female,No,0.72774,8937,10379,0.71918,0.73631
2019,Direct migration background,male,Yes,0.09416,213,1801,0.08066,0.10765
2019,Direct migration background,male,No,0.78637,1588,1801,0.76743,0.80530
2019,Direct migration background,female,Yes,0.12670,325,2220,0.11286,0.14054
2019,Direct migration background,female,No,0.78747,1895,2220,0.77045,0.80450
2019,Indirect migration background,male,Yes,0.05232,76,737,0.03623,0.06840
2019,Indirect migration background,male,No,0.44731,661,737,0.41139,0.48323
2019,Indirect migration background,female,Yes,0.06727,107,825,0.05017,0.08438
2019,Indirect migration background,female,No,0.45374,718,825,0.41975,0.48774
2020,No migration background,male,Yes,0.12188,1158,8768,0.11503,0.12872
2020,No migration background,male,No,0.72909,7610,8768,0.71979,0.73839
2020,No migration background,female,Yes,0.12932,1354,9712,0.12265,0.13600
2020,No migration background,female,No,0.72879,8358,9712,0.71994,0.73763
2020,Direct migration background,male,Yes,0.09126,445,4445,0.08279,0.09973
2020,Direct migration background,male,No,0.83503,4000,4445,0.82411,0.84594
2020,Direct migration background,female,Yes,0.13486,560,3898,0.12413,0.14558
2020,Direct migration background,female,No,0.79422,3338,3898,0.78152,0.80691
2020,Indirect migration background,male,Yes,0.05177,59,723,0.03561,0.06793
2020,Indirect migration background,male,No,0.44469,664,723,0.40844,0.48094
2020,Indirect migration background,female,Yes,0.06634,93,805,0.04913,0.08354
2020,Indirect migration background,female,No,0.44005,712,805,0.40574,0.47437
2021,No migration background,male,Yes,0.10729,789,6196,0.09958,0.11500
2021,No migration background,male,No,0.74663,5407,6196,0.73580,0.75746
2021,No migration background,female,Yes,0.11748,846,6930,0.10990,0.12506
2021,No migration background,female,No,0.73783,6084,6930,0.72748,0.74819
2021,Direct migration background,male,Yes,0.08546,146,1426,0.07094,0.09997
2021,Direct migration background,male,No,0.76284,1280,1426,0.74075,0.78492
2021,Direct migration background,female,Yes,0.09926,203,1676,0.08494,0.11358
2021,Direct migration background,female,No,0.79113,1473,1676,0.77167,0.81060
2021,Indirect migration background,male,Yes,0.04088,35,443,0.02242,0.05934
2021,Indirect migration background,male,No,0.40457,408,443,0.35882,0.45033
2021,Indirect migration background,female,Yes,0.05818,55,487,0.03737,0.07899
2021,Indirect migration background,female,No,0.44254,432,487,0.39838,0.48670
2022,No migration background,male,Yes,0.10088,943,8763,0.09457,0.10719
2022,No migration background,male,No,0.73608,7820,8763,0.72685,0.74531
2022,No migration background,female,Yes,0.11020,1107,9487,0.10390,0.11650
2022,No migration background,female,No,0.73894,8380,9487,0.73010,0.74778
