year,bula_h,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,Hesse,No,0.73887,911,1044,0.71222,0.76553
1986,"Rhineland-Palatinate, Saarland",Yes,0.12097,94,766,0.09786,0.14408
1986,"Rhineland-Palatinate, Saarland",No,0.73158,672,766,0.70018,0.76298
1986,Baden-Wuerttemberg,Yes,0.09864,256,1982,0.08551,0.11178
1986,Baden-Wuerttemberg,No,0.72117,1726,1982,0.70142,0.74091
1986,Bavaria,Yes,0.10440,226,1766,0.09014,0.11867
1986,Bavaria,No,0.72542,1540,1766,0.70459,0.74624
1986,Berlin,Yes,0.11488,42,351,0.08147,0.14829
1986,Berlin,No,0.73828,309,351,0.69223,0.78433
1987,Schleswig-Holstein,Yes,0.09277,32,322,0.06103,0.12450
1987,Schleswig-Holstein,No,0.71276,290,322,0.66326,0.76226
1987,Hamburg,No,0.77856,200,200,0.72087,0.83625
1987,Lower Saxony,Yes,0.10141,131,1103,0.08359,0.11924
1987,Lower Saxony,No,0.74274,972,1103,0.71693,0.76855
1987,Bremen,No,0.80896,90,90,0.72728,0.89063
1987,North Rhine-Westphalia,Yes,0.10036,337,2813,0.08926,0.11147
1987,North Rhine-Westphalia,No,0.72194,2476,2813,0.70537,0.73850
1987,Hesse,Yes,0.10611,121,1053,0.08750,0.12472
1987,Hesse,No,0.73685,932,1053,0.71024,0.76346
1987,"Rhineland-Palatinate, Saarland",Yes,0.09626,80,764,0.07533,0.11719
1987,"Rhineland-Palatinate, Saarland",No,0.75763,684,764,0.72722,0.78803
1987,Baden-Wuerttemberg,Yes,0.10650,250,1958,0.09284,0.12017
1987,Baden-Wuerttemberg,No,0.70654,1708,1958,0.68637,0.72671
1987,Bavaria,Yes,0.10863,204,1720,0.09392,0.12334
1987,Bavaria,No,0.71861,1516,1720,0.69736,0.73987
1987,Berlin,Yes,0.11065,43,361,0.07824,0.14305
1987,Berlin,No,0.74822,318,361,0.70339,0.79306
1988,Schleswig-Holstein,Yes,0.09559,40,322,0.06343,0.12776
1988,Schleswig-Holstein,No,0.70014,282,322,0.65002,0.75027
1988,Hamburg,No,0.78703,176,176,0.72637,0.84769
1988,Lower Saxony,Yes,0.11117,135,1047,0.09212,0.13022
1988,Lower Saxony,No,0.73597,912,1047,0.70925,0.76268
1988,Bremen,No,0.80150,87,87,0.71720,0.88581
1988,North Rhine-Westphalia,Yes,0.10486,341,2682,0.09326,0.11646
1988,North Rhine-Westphalia,No,0.72011,2341,2682,0.70312,0.73711
1988,Hesse,Yes,0.09105,105,1000,0.07321,0.10889
1988,Hesse,No,0.73998,895,1000,0.71278,0.76718
1988,"Rhineland-Palatinate, Saarland",Yes,0.11601,93,734,0.09283,0.13920
1988,"Rhineland-Palatinate, Saarland",No,0.74151,641,734,0.70982,0.77321
1988,Baden-Wuerttemberg,Yes,0.09624,208,1878,0.08290,0.10958
1988,Baden-Wuerttemberg,No,0.72064,1670,1878,0.70034,0.74093
1988,Bavaria,Yes,0.11288,209,1643,0.09758,0.12819
1988,Bavaria,No,0.71579,1434,1643,0.69397,0.73760
1988,Berlin,Yes,0.09653,34,333,0.06476,0.12830
1988,Berlin,No,0.76403,299,333,0.71835,0.80970
1989,Schleswig-Holstein,Yes,0.10583,42,303,0.07113,0.14052
1989,Schleswig-Holstein,No,0.67934,261,303,0.62670,0.73198
1989,Hamburg,No,0.81386,176,176,0.75619,0.87153
1989,Lower Saxony,Yes,0.13725,146,992,0.11582,0.15867
1989,Lower Saxony,No,0.71214,846,992,0.68395,0.74033
1989,Bremen,No,0.74488,92,92,0.65531,0.83445
1989,North Rhine-Westphalia,Yes,0.09669,305,2608,0.08534,0.10803
1989,North Rhine-Westphalia,No,0.73291,2303,2608,0.71593,0.74989
1989,Hesse,Yes,0.10436,114,995,0.08536,0.12337
1989,Hesse,No,0.73492,881,995,0.70748,0.76235
1989,"Rhineland-Palatinate, Saarland",Yes,0.09558,82,690,0.07362,0.11753
1989,"Rhineland-Palatinate, Saarland",No,0.76513,608,690,0.73348,0.79679
1989,Baden-Wuerttemberg,Yes,0.10569,217,1808,0.09151,0.11987
1989,Baden-Wuerttemberg,No,0.71493,1591,1808,0.69412,0.73575
1989,Bavaria,Yes,0.09670,175,1606,0.08224,0.11116
1989,Bavaria,No,0.73366,1431,1606,0.71204,0.75529
1989,Berlin,Yes,0.07562,31,327,0.04692,0.10432
1989,Berlin,No,0.77855,296,327,0.73348,0.82363
1991,Schleswig-Holstein,Yes,0.10272,41,292,0.06784,0.13760
1991,Schleswig-Holstein,No,0.66811,251,292,0.61400,0.72221
1991,Hamburg,No,0.77462,141,141,0.70540,0.84383
1991,Lower Saxony,Yes,0.10180,112,969,0.08275,0.12085
1991,Lower Saxony,No,0.73873,857,969,0.71105,0.76641
1991,Bremen,No,0.73469,80,80,0.63733,0.83205
1991,North Rhine-Westphalia,Yes,0.11587,327,2535,0.10341,0.12834
1991,North Rhine-Westphalia,No,0.70109,2208,2535,0.68327,0.71892
1991,Hesse,Yes,0.10268,110,959,0.08346,0.12191
1991,Hesse,No,0.73006,849,959,0.70194,0.75817
1991,"Rhineland-Palatinate, Saarland",Yes,0.12986,94,665,0.10429,0.15543
1991,"Rhineland-Palatinate, Saarland",No,0.70958,571,665,0.67505,0.74411
1991,Baden-Wuerttemberg,Yes,0.10074,221,1785,0.08678,0.11471
1991,Baden-Wuerttemberg,No,0.70519,1564,1785,0.68403,0.72635
1991,Bavaria,Yes,0.11212,191,1588,0.09659,0.12764
1991,Bavaria,No,0.70812,1397,1588,0.68575,0.73049
1991,Berlin,Yes,0.06938,41,332,0.04200,0.09675
1991,Berlin,No,0.47494,291,332,0.42114,0.52874
1992,Schleswig-Holstein,Yes,0.12619,44,272,0.08666,0.16573
1992,Schleswig-Holstein,No,0.65572,228,272,0.59915,0.71229
1992,Hamburg,No,0.75823,136,136,0.68600,0.83045
1992,Lower Saxony,Yes,0.11085,125,960,0.09098,0.13072
1992,Lower Saxony,No,0.71243,835,960,0.68378,0.74107
1992,Bremen,No,0.75293,79,79,0.65721,0.84865
1992,North Rhine-Westphalia,Yes,0.10703,310,2511,0.09494,0.11913
1992,North Rhine-Westphalia,No,0.70828,2201,2511,0.69049,0.72606
1992,Hesse,Yes,0.09059,95,947,0.07230,0.10888
1992,Hesse,No,0.75248,852,947,0.72498,0.77998
1992,"Rhineland-Palatinate, Saarland",Yes,0.10890,87,660,0.08511,0.13268
1992,"Rhineland-Palatinate, Saarland",No,0.73065,573,660,0.69678,0.76452
1992,Baden-Wuerttemberg,Yes,0.09224,198,1755,0.07869,0.10578
1992,Baden-Wuerttemberg,No,0.71247,1557,1755,0.69129,0.73366
1992,Bavaria,Yes,0.10668,193,1638,0.09172,0.12163
1992,Bavaria,No,0.71742,1445,1638,0.69561,0.73923
1992,Berlin,Yes,0.09216,57,595,0.06890,0.11542
1992,Berlin,No,0.74472,538,595,0.70966,0.77979
1992,Brandenburg,Yes,0.08013,62,658,0.05937,0.10089
1992,Brandenburg,No,0.73007,596,658,0.69612,0.76401
1992,Mecklenburg-Western Pomerania,Yes,0.08783,41,417,0.06063,0.11503
1992,Mecklenburg-Western Pomerania,No,0.71401,376,417,0.67058,0.75743
1992,Saxony,Yes,0.07156,97,1155,0.05669,0.08643
1992,Saxony,No,0.74107,1058,1155,0.71580,0.76634
1992,Saxony-Anhalt,Yes,0.08480,68,769,0.06510,0.10450
1992,Saxony-Anhalt,No,0.75209,701,769,0.72155,0.78263
1992,Thuringa,Yes,0.09313,77,680,0.07127,0.11499
1992,Thuringa,No,0.69718,603,680,0.66262,0.73174
1994,Schleswig-Holstein,No,0.72263,257,257,0.66778,0.77747
1994,Hamburg,No,0.72296,117,117,0.64152,0.80440
1994,Lower Saxony,Yes,0.10062,105,964,0.08162,0.11962
1994,Lower Saxony,No,0.72269,859,964,0.69441,0.75096
1994,Bremen,No,0.72886,74,74,0.62688,0.83084
1994,North Rhine-Westphalia,Yes,0.11218,307,2438,0.09965,0.12471
1994,North Rhine-Westphalia,No,0.69672,2131,2438,0.67847,0.71497
1994,Hesse,Yes,0.11243,98,913,0.09192,0.13293
1994,Hesse,No,0.72906,815,913,0.70021,0.75790
1994,"Rhineland-Palatinate, Saarland",Yes,0.13600,96,633,0.10927,0.16273
1994,"Rhineland-Palatinate, Saarland",No,0.68694,537,633,0.65079,0.72310
1994,Baden-Wuerttemberg,Yes,0.09196,195,1727,0.07832,0.10559
1994,Baden-Wuerttemberg,No,0.71464,1532,1727,0.69334,0.73595
1994,Bavaria,Yes,0.11854,196,1583,0.10262,0.13447
1994,Bavaria,No,0.69976,1387,1583,0.67717,0.72234
1994,Berlin,Yes,0.08745,65,550,0.06382,0.11108
1994,Berlin,No,0.73119,485,550,0.69410,0.76827
1994,Brandenburg,Yes,0.08251,58,605,0.06057,0.10445
1994,Brandenburg,No,0.74335,547,605,0.70851,0.77818
1994,Mecklenburg-Western Pomerania,Yes,0.10235,53,413,0.07308,0.13162
1994,Mecklenburg-Western Pomerania,No,0.68616,360,413,0.64135,0.73097
1994,Saxony,Yes,0.09228,114,1126,0.07537,0.10920
1994,Saxony,No,0.73146,1012,1126,0.70556,0.75736
1994,Saxony-Anhalt,Yes,0.08411,63,703,0.06358,0.10464
1994,Saxony-Anhalt,No,0.75475,640,703,0.72292,0.78657
1994,Thuringa,Yes,0.10460,79,662,0.08127,0.12794
1994,Thuringa,No,0.69810,583,662,0.66310,0.73310
1995,Schleswig-Holstein,Yes,0.10083,33,283,0.06569,0.13597
1995,Schleswig-Holstein,No,0.68804,250,283,0.63396,0.74211
1995,Hamburg,No,0.78548,117,117,0.71078,0.86018
1995,Lower Saxony,Yes,0.08782,104,1036,0.07058,0.10507
1995,Lower Saxony,No,0.71547,932,1036,0.68799,0.74296
1995,Bremen,No,0.76322,81,81,0.67006,0.85637
1995,North Rhine-Westphalia,Yes,0.10603,312,2567,0.09411,0.11794
1995,North Rhine-Westphalia,No,0.70801,2255,2567,0.69042,0.72561
1995,Hesse,Yes,0.12096,120,942,0.10012,0.14179
1995,Hesse,No,0.72264,822,942,0.69404,0.75125
1995,"Rhineland-Palatinate, Saarland",Yes,0.10144,87,708,0.07918,0.12369
1995,"Rhineland-Palatinate, Saarland",No,0.69366,621,708,0.65968,0.72764
1995,Baden-Wuerttemberg,Yes,0.09962,214,1784,0.08572,0.11352
1995,Baden-Wuerttemberg,No,0.70631,1570,1784,0.68517,0.72745
1995,Bavaria,Yes,0.11327,211,1676,0.09809,0.12845
1995,Bavaria,No,0.70261,1465,1676,0.68072,0.72450
1995,Berlin,Yes,0.07719,55,567,0.05520,0.09917
1995,Berlin,No,0.75297,512,567,0.71744,0.78850
1995,Brandenburg,Yes,0.10298,71,587,0.07837,0.12759
1995,Brandenburg,No,0.72539,516,587,0.68925,0.76153
1995,Mecklenburg-Western Pomerania,Yes,0.10593,55,417,0.07636,0.13551
1995,Mecklenburg-Western Pomerania,No,0.70997,362,417,0.66636,0.75358
1995,Saxony,Yes,0.08468,108,1093,0.06817,0.10120
1995,Saxony,No,0.73671,985,1093,0.71059,0.76283
1995,Saxony-Anhalt,Yes,0.11217,89,683,0.08848,0.13585
1995,Saxony-Anhalt,No,0.72913,594,683,0.69577,0.76248
1995,Thuringa,Yes,0.10638,82,648,0.08263,0.13014
1995,Thuringa,No,0.69651,566,648,0.66109,0.73194
1996,Schleswig-Holstein,Yes,0.10464,35,283,0.06892,0.14037
1996,Schleswig-Holstein,No,0.68436,248,283,0.63011,0.73860
1996,Hamburg,No,0.76666,110,110,0.68726,0.84607
1996,Lower Saxony,Yes,0.09792,124,1038,0.07983,0.11601
1996,Lower Saxony,No,0.70983,914,1038,0.68221,0.73745
1996,Bremen,No,0.76286,85,85,0.67191,0.85382
1996,North Rhine-Westphalia,Yes,0.10098,323,2548,0.08927,0.11268
1996,North Rhine-Westphalia,No,0.71832,2225,2548,0.70085,0.73579
1996,Hesse,Yes,0.10152,102,902,0.08180,0.12124
1996,Hesse,No,0.73341,800,902,0.70454,0.76228
1996,"Rhineland-Palatinate, Saarland",Yes,0.08713,74,689,0.06606,0.10821
1996,"Rhineland-Palatinate, Saarland",No,0.71045,615,689,0.67656,0.74434
1996,Baden-Wuerttemberg,Yes,0.11146,223,1701,0.09650,0.12642
1996,Baden-Wuerttemberg,No,0.69211,1478,1701,0.67017,0.71406
1996,Bavaria,Yes,0.10972,191,1651,0.09464,0.12480
1996,Bavaria,No,0.70903,1460,1651,0.68711,0.73094
1996,Berlin,Yes,0.12350,70,539,0.09570,0.15130
1996,Berlin,No,0.69843,469,539,0.65965,0.73721
1996,Brandenburg,Yes,0.10364,71,598,0.07919,0.12809
1996,Brandenburg,No,0.72765,527,598,0.69194,0.76336
1996,Mecklenburg-Western Pomerania,Yes,0.10810,57,398,0.07756,0.13865
1996,Mecklenburg-Western Pomerania,No,0.71553,341,398,0.67115,0.75991
1996,Saxony,Yes,0.09763,116,1107,0.08013,0.11512
1996,Saxony,No,0.72873,991,1107,0.70252,0.75493
1996,Saxony-Anhalt,Yes,0.13765,102,673,0.11160,0.16370
1996,Saxony-Anhalt,No,0.70966,571,673,0.67534,0.74398
1996,Thuringa,Yes,0.09939,77,659,0.07653,0.12225
1996,Thuringa,No,0.71296,582,659,0.67839,0.74753
1997,Schleswig-Holstein,No,0.71400,243,243,0.65707,0.77094
1997,Hamburg,No,0.76645,109,109,0.68665,0.84624
1997,Lower Saxony,Yes,0.12245,133,1030,0.10242,0.14248
1997,Lower Saxony,No,0.68935,897,1030,0.66107,0.71762
1997,Bremen,No,0.77543,79,79,0.68282,0.86804
1997,North Rhine-Westphalia,Yes,0.10726,310,2500,0.09512,0.11939
1997,North Rhine-Westphalia,No,0.71464,2190,2500,0.69694,0.73235
1997,Hesse,Yes,0.12181,104,837,0.09964,0.14398
1997,Hesse,No,0.70317,733,837,0.67220,0.73414
1997,"Rhineland-Palatinate, Saarland",Yes,0.09901,83,709,0.07701,0.12101
1997,"Rhineland-Palatinate, Saarland",No,0.71302,626,709,0.67970,0.74634
1997,Baden-Wuerttemberg,Yes,0.10030,212,1698,0.08601,0.11460
1997,Baden-Wuerttemberg,No,0.70078,1486,1698,0.67900,0.72257
1997,Bavaria,Yes,0.10154,209,1618,0.08681,0.11626
1997,Bavaria,No,0.71586,1409,1618,0.69388,0.73784
1997,Berlin,Yes,0.07384,47,509,0.05110,0.09658
1997,Berlin,No,0.75126,462,509,0.71367,0.78885
1997,Brandenburg,Yes,0.11642,76,593,0.09058,0.14225
1997,Brandenburg,No,0.72600,517,593,0.69007,0.76192
1997,Mecklenburg-Western Pomerania,Yes,0.09878,43,388,0.06906,0.12851
1997,Mecklenburg-Western Pomerania,No,0.73841,345,388,0.69462,0.78220
1997,Saxony,Yes,0.09944,116,1085,0.08162,0.11725
1997,Saxony,No,0.73428,969,1085,0.70798,0.76057
1997,Saxony-Anhalt,Yes,0.13255,89,664,0.10674,0.15836
1997,Saxony-Anhalt,No,0.72979,575,664,0.69599,0.76359
1997,Thuringa,Yes,0.09458,74,661,0.07225,0.11691
1997,Thuringa,No,0.70752,587,661,0.67281,0.74222
1998,Schleswig-Holstein,Yes,0.07965,34,348,0.05116,0.10813
1998,Schleswig-Holstein,No,0.73003,314,348,0.68332,0.77674
1998,Hamburg,No,0.73376,135,135,0.65892,0.80859
1998,Lower Saxony,Yes,0.10066,134,1195,0.08359,0.11772
1998,Lower Saxony,No,0.70872,1061,1195,0.68295,0.73450
1998,Bremen,No,0.81475,90,90,0.73404,0.89547
1998,North Rhine-Westphalia,Yes,0.09856,325,2832,0.08758,0.10954
1998,North Rhine-Westphalia,No,0.72082,2507,2832,0.70429,0.73734
1998,Hesse,Yes,0.09739,119,946,0.07849,0.11630
1998,Hesse,No,0.72992,827,946,0.70161,0.75822
1998,"Rhineland-Palatinate, Saarland",Yes,0.10713,102,804,0.08574,0.12852
1998,"Rhineland-Palatinate, Saarland",No,0.71625,702,804,0.68507,0.74743
1998,Baden-Wuerttemberg,Yes,0.09374,219,1815,0.08033,0.10715
1998,Baden-Wuerttemberg,No,0.72088,1596,1815,0.70023,0.74152
1998,Bavaria,Yes,0.12646,257,1869,0.11139,0.14153
1998,Bavaria,No,0.69844,1612,1869,0.67762,0.71925
1998,Berlin,Yes,0.08404,49,529,0.06038,0.10771
1998,Berlin,No,0.74623,480,529,0.70912,0.78335
1998,Brandenburg,Yes,0.13175,95,618,0.10506,0.15843
1998,Brandenburg,No,0.71036,523,618,0.67457,0.74615
1998,Mecklenburg-Western Pomerania,Yes,0.10572,55,408,0.07584,0.13559
1998,Mecklenburg-Western Pomerania,No,0.71837,353,408,0.67467,0.76206
1998,Saxony,Yes,0.09202,106,1178,0.07551,0.10854
1998,Saxony,No,0.73877,1072,1178,0.71367,0.76386
1998,Saxony-Anhalt,Yes,0.13257,101,691,0.10727,0.15787
1998,Saxony-Anhalt,No,0.73621,590,691,0.70332,0.76909
1998,Thuringa,Yes,0.12700,108,731,0.10285,0.15116
1998,Thuringa,No,0.68566,623,731,0.65198,0.71934
1999,Schleswig-Holstein,Yes,0.08068,32,322,0.05089,0.11048
1999,Schleswig-Holstein,No,0.71782,290,322,0.66858,0.76705
1999,Hamburg,No,0.79377,124,124,0.72227,0.86528
1999,Lower Saxony,Yes,0.10265,143,1166,0.08522,0.12008
1999,Lower Saxony,No,0.71553,1023,1166,0.68962,0.74143
1999,Bremen,No,0.78484,76,76,0.69183,0.87784
1999,North Rhine-Westphalia,Yes,0.11549,334,2690,0.10341,0.12757
1999,North Rhine-Westphalia,No,0.70560,2356,2690,0.68837,0.72283
1999,Hesse,Yes,0.09644,104,894,0.07708,0.11580
1999,Hesse,No,0.73600,790,894,0.70709,0.76491
1999,"Rhineland-Palatinate, Saarland",Yes,0.10624,100,770,0.08446,0.12802
1999,"Rhineland-Palatinate, Saarland",No,0.71934,670,770,0.68758,0.75110
1999,Baden-Wuerttemberg,Yes,0.09866,202,1727,0.08459,0.11272
1999,Baden-Wuerttemberg,No,0.71118,1525,1727,0.68980,0.73256
1999,Bavaria,Yes,0.11340,211,1791,0.09871,0.12809
1999,Bavaria,No,0.71643,1580,1791,0.69555,0.73731
1999,Berlin,Yes,0.09632,55,513,0.07076,0.12187
1999,Berlin,No,0.72614,458,513,0.68752,0.76477
1999,Brandenburg,Yes,0.13368,88,596,0.10633,0.16102
1999,Brandenburg,No,0.70691,508,596,0.67034,0.74349
1999,Mecklenburg-Western Pomerania,Yes,0.10661,50,399,0.07629,0.13693
1999,Mecklenburg-Western Pomerania,No,0.72548,349,399,0.68163,0.76932
1999,Saxony,Yes,0.10091,125,1150,0.08349,0.11832
1999,Saxony,No,0.74340,1025,1150,0.71814,0.76865
1999,Saxony-Anhalt,Yes,0.12223,91,692,0.09780,0.14665
1999,Saxony-Anhalt,No,0.75917,601,692,0.72729,0.79105
1999,Thuringa,Yes,0.13849,108,718,0.11321,0.16377
1999,Thuringa,No,0.67809,610,718,0.64390,0.71229
2000,Schleswig-Holstein,Yes,0.09344,73,706,0.07196,0.11492
2000,Schleswig-Holstein,No,0.73259,633,706,0.69991,0.76526
2000,Hamburg,No,0.77155,270,270,0.72138,0.82172
2000,Lower Saxony,Yes,0.10796,251,2022,0.09443,0.12149
2000,Lower Saxony,No,0.70040,1771,2022,0.68042,0.72037
2000,Bremen,No,0.73593,159,159,0.66719,0.80467
2000,North Rhine-Westphalia,Yes,0.10205,610,5135,0.09377,0.11033
2000,North Rhine-Westphalia,No,0.72824,4525,5135,0.71607,0.74041
2000,Hesse,Yes,0.08939,186,1670,0.07570,0.10308
2000,Hesse,No,0.73129,1484,1670,0.71002,0.75255
2000,"Rhineland-Palatinate, Saarland",Yes,0.10737,195,1460,0.09148,0.12325
2000,"Rhineland-Palatinate, Saarland",No,0.69414,1265,1460,0.67049,0.71778
2000,Baden-Wuerttemberg,Yes,0.09331,342,2940,0.08280,0.10383
2000,Baden-Wuerttemberg,No,0.70611,2598,2940,0.68964,0.72258
2000,Bavaria,Yes,0.09592,386,3367,0.08597,0.10587
2000,Bavaria,No,0.73917,2981,3367,0.72433,0.75400
2000,Berlin,Yes,0.08452,87,807,0.06532,0.10373
2000,Berlin,No,0.72465,720,807,0.69381,0.75549
2000,Brandenburg,Yes,0.11489,131,1017,0.09528,0.13450
2000,Brandenburg,No,0.74554,886,1017,0.71876,0.77232
2000,Mecklenburg-Western Pomerania,Yes,0.11275,74,566,0.08667,0.13883
2000,Mecklenburg-Western Pomerania,No,0.73552,492,566,0.69916,0.77189
2000,Saxony,Yes,0.09293,187,1769,0.07940,0.10647
2000,Saxony,No,0.74112,1582,1769,0.72070,0.76154
2000,Saxony-Anhalt,Yes,0.12566,145,1059,0.10569,0.14564
2000,Saxony-Anhalt,No,0.74692,914,1059,0.72072,0.77312
2000,Thuringa,Yes,0.11570,132,1051,0.09635,0.13504
2000,Thuringa,No,0.73192,919,1051,0.70513,0.75872
2001,Schleswig-Holstein,Yes,0.08114,59,643,0.06002,0.10226
2001,Schleswig-Holstein,No,0.74016,584,643,0.70624,0.77409
2001,Hamburg,Yes,0.15249,46,273,0.10976,0.19521
2001,Hamburg,No,0.71077,227,273,0.65688,0.76465
2001,Lower Saxony,Yes,0.11337,252,1850,0.09892,0.12782
2001,Lower Saxony,No,0.69669,1598,1850,0.67573,0.71764
2001,Bremen,No,0.76481,142,142,0.69480,0.83482
2001,North Rhine-Westphalia,Yes,0.09857,541,4629,0.08998,0.10716
2001,North Rhine-Westphalia,No,0.72702,4088,4629,0.71418,0.73985
2001,Hesse,Yes,0.10524,184,1479,0.08959,0.12088
2001,Hesse,No,0.71360,1295,1479,0.69055,0.73665
2001,"Rhineland-Palatinate, Saarland",Yes,0.11365,177,1349,0.09671,0.13060
2001,"Rhineland-Palatinate, Saarland",No,0.68058,1172,1349,0.65569,0.70547
2001,Baden-Wuerttemberg,Yes,0.09819,302,2591,0.08673,0.10965
2001,Baden-Wuerttemberg,No,0.70239,2289,2591,0.68478,0.72000
2001,Bavaria,Yes,0.10273,365,3028,0.09192,0.11355
2001,Bavaria,No,0.73510,2663,3028,0.71938,0.75082
2001,Berlin,Yes,0.07181,76,788,0.05377,0.08984
2001,Berlin,No,0.74110,712,788,0.71049,0.77170
2001,Brandenburg,Yes,0.09905,109,954,0.08009,0.11802
2001,Brandenburg,No,0.76432,845,954,0.73737,0.79126
2001,Mecklenburg-Western Pomerania,Yes,0.10983,64,508,0.08261,0.13705
2001,Mecklenburg-Western Pomerania,No,0.73369,444,508,0.69521,0.77216
2001,Saxony,Yes,0.10364,190,1638,0.08887,0.11840
2001,Saxony,No,0.74551,1448,1638,0.72441,0.76661
2001,Saxony-Anhalt,Yes,0.11685,133,999,0.09692,0.13678
2001,Saxony-Anhalt,No,0.75499,866,999,0.72831,0.78168
2001,Thuringa,Yes,0.10893,108,966,0.08928,0.12859
2001,Thuringa,No,0.75740,858,966,0.73036,0.78445
2002,Schleswig-Holstein,Yes,0.08368,67,717,0.06340,0.10397
2002,Schleswig-Holstein,No,0.74368,650,717,0.71170,0.77566
2002,Hamburg,Yes,0.10330,37,324,0.07011,0.13650
2002,Hamburg,No,0.76577,287,324,0.71958,0.81196
2002,Lower Saxony,Yes,0.10894,245,1977,0.09520,0.12268
2002,Lower Saxony,No,0.70652,1732,1977,0.68645,0.72660
2002,Bremen,No,0.71867,147,147,0.64573,0.79160
2002,North Rhine-Westphalia,Yes,0.10127,569,4851,0.09278,0.10976
2002,North Rhine-Westphalia,No,0.72956,4282,4851,0.71705,0.74206
2002,Hesse,Yes,0.10815,207,1638,0.09311,0.12320
2002,Hesse,No,0.70238,1431,1638,0.68023,0.72453
2002,"Rhineland-Palatinate, Saarland",Yes,0.09273,167,1374,0.07739,0.10807
2002,"Rhineland-Palatinate, Saarland",No,0.70566,1207,1374,0.68156,0.72977
2002,Baden-Wuerttemberg,Yes,0.09994,315,2796,0.08882,0.11106
2002,Baden-Wuerttemberg,No,0.70656,2481,2796,0.68968,0.72345
2002,Bavaria,Yes,0.10756,381,3247,0.09690,0.11822
2002,Bavaria,No,0.72355,2866,3247,0.70816,0.73894
2002,Berlin,Yes,0.07608,72,825,0.05797,0.09418
2002,Berlin,No,0.75174,753,825,0.72224,0.78124
2002,Brandenburg,Yes,0.11496,123,960,0.09477,0.13515
2002,Brandenburg,No,0.75669,837,960,0.72954,0.78385
