year,quintil_oecd,regtyp,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,4th Quintile,Urban regions,No,0.89278,1665,1876,0.87878,0.90678
1992,4th Quintile,Rural regions,Yes,0.10435,74,708,0.08181,0.12688
1992,4th Quintile,Rural regions,No,0.89565,634,708,0.87312,0.91819
1992,5th Quintile,Urban regions,Yes,0.10360,204,1946,0.09005,0.11714
1992,5th Quintile,Urban regions,No,0.89640,1742,1946,0.88286,0.90995
1992,5th Quintile,Rural regions,Yes,0.12802,45,433,0.09651,0.15953
1992,5th Quintile,Rural regions,No,0.87198,388,433,0.84047,0.90349
1994,1st Quintile,Urban regions,Yes,0.15651,216,1537,0.13834,0.17468
1994,1st Quintile,Urban regions,No,0.84349,1321,1537,0.82532,0.86166
1994,1st Quintile,Rural regions,Yes,0.17652,139,977,0.15260,0.20044
1994,1st Quintile,Rural regions,No,0.82348,838,977,0.79956,0.84740
1994,2nd Quintile,Urban regions,Yes,0.13213,179,1615,0.11561,0.14865
1994,2nd Quintile,Urban regions,No,0.86787,1436,1615,0.85135,0.88439
1994,2nd Quintile,Rural regions,Yes,0.12248,120,1043,0.10257,0.14238
1994,2nd Quintile,Rural regions,No,0.87752,923,1043,0.85762,0.89743
1994,3rd Quintile,Urban regions,Yes,0.13426,197,1660,0.11786,0.15067
1994,3rd Quintile,Urban regions,No,0.86574,1463,1660,0.84933,0.88214
1994,3rd Quintile,Rural regions,Yes,0.12002,116,1042,0.10028,0.13977
1994,3rd Quintile,Rural regions,No,0.87998,926,1042,0.86023,0.89972
1994,4th Quintile,Urban regions,Yes,0.12579,205,1768,0.11033,0.14125
1994,4th Quintile,Urban regions,No,0.87421,1563,1768,0.85875,0.88967
1994,4th Quintile,Rural regions,Yes,0.09168,70,769,0.07127,0.11209
1994,4th Quintile,Rural regions,No,0.90832,699,769,0.88791,0.92873
1994,5th Quintile,Urban regions,Yes,0.11929,203,1863,0.10457,0.13401
1994,5th Quintile,Urban regions,No,0.88071,1660,1863,0.86599,0.89543
1994,5th Quintile,Rural regions,Yes,0.09750,51,552,0.07273,0.12227
1994,5th Quintile,Rural regions,No,0.90250,501,552,0.87773,0.92727
1995,1st Quintile,Urban regions,Yes,0.16280,224,1602,0.14472,0.18089
1995,1st Quintile,Urban regions,No,0.83720,1378,1602,0.81911,0.85528
1995,1st Quintile,Rural regions,Yes,0.14463,129,918,0.12187,0.16740
1995,1st Quintile,Rural regions,No,0.85537,789,918,0.83260,0.87813
1995,2nd Quintile,Urban regions,Yes,0.12771,210,1797,0.11228,0.14315
1995,2nd Quintile,Urban regions,No,0.87229,1587,1797,0.85685,0.88772
1995,2nd Quintile,Rural regions,Yes,0.14071,136,1072,0.11988,0.16153
1995,2nd Quintile,Rural regions,No,0.85929,936,1072,0.83847,0.88012
1995,3rd Quintile,Urban regions,Yes,0.13329,205,1676,0.11701,0.14956
1995,3rd Quintile,Urban regions,No,0.86671,1471,1676,0.85044,0.88299
1995,3rd Quintile,Rural regions,Yes,0.13487,142,1039,0.11409,0.15566
1995,3rd Quintile,Rural regions,No,0.86513,897,1039,0.84434,0.88591
1995,4th Quintile,Urban regions,Yes,0.10532,181,1761,0.09098,0.11966
1995,4th Quintile,Urban regions,No,0.89468,1580,1761,0.88034,0.90902
1995,4th Quintile,Rural regions,Yes,0.10400,88,890,0.08393,0.12407
1995,4th Quintile,Rural regions,No,0.89600,802,890,0.87593,0.91607
1995,5th Quintile,Urban regions,Yes,0.10430,184,1849,0.09036,0.11823
1995,5th Quintile,Urban regions,No,0.89570,1665,1849,0.88177,0.90964
1995,5th Quintile,Rural regions,Yes,0.12592,67,607,0.09950,0.15233
1995,5th Quintile,Rural regions,No,0.87408,540,607,0.84767,0.90050
1996,1st Quintile,Urban regions,Yes,0.15296,239,1667,0.13568,0.17025
1996,1st Quintile,Urban regions,No,0.84704,1428,1667,0.82975,0.86432
1996,1st Quintile,Rural regions,Yes,0.18674,140,898,0.16124,0.21224
1996,1st Quintile,Rural regions,No,0.81326,758,898,0.78776,0.83876
1996,2nd Quintile,Urban regions,Yes,0.13015,198,1684,0.11408,0.14623
1996,2nd Quintile,Urban regions,No,0.86985,1486,1684,0.85377,0.88592
1996,2nd Quintile,Rural regions,Yes,0.14547,137,935,0.12286,0.16808
1996,2nd Quintile,Rural regions,No,0.85453,798,935,0.83192,0.87714
1996,3rd Quintile,Urban regions,Yes,0.12994,195,1569,0.11330,0.14658
1996,3rd Quintile,Urban regions,No,0.87006,1374,1569,0.85342,0.88670
1996,3rd Quintile,Rural regions,Yes,0.12441,122,1107,0.10496,0.14387
1996,3rd Quintile,Rural regions,No,0.87559,985,1107,0.85613,0.89504
1996,4th Quintile,Urban regions,Yes,0.10974,197,1790,0.09526,0.12423
1996,4th Quintile,Urban regions,No,0.89026,1593,1790,0.87577,0.90474
1996,4th Quintile,Rural regions,Yes,0.09360,89,914,0.07470,0.11249
1996,4th Quintile,Rural regions,No,0.90640,825,914,0.88751,0.92530
1996,5th Quintile,Urban regions,Yes,0.10948,190,1799,0.09505,0.12391
1996,5th Quintile,Urban regions,No,0.89052,1609,1799,0.87609,0.90495
1996,5th Quintile,Rural regions,Yes,0.13835,81,636,0.11149,0.16520
1996,5th Quintile,Rural regions,No,0.86165,555,636,0.83480,0.88851
1997,1st Quintile,Urban regions,Yes,0.16573,245,1557,0.14726,0.18421
1997,1st Quintile,Urban regions,No,0.83427,1312,1557,0.81579,0.85274
1997,1st Quintile,Rural regions,Yes,0.15356,126,816,0.12881,0.17831
1997,1st Quintile,Rural regions,No,0.84644,690,816,0.82169,0.87119
1997,2nd Quintile,Urban regions,Yes,0.13376,192,1655,0.11736,0.15016
1997,2nd Quintile,Urban regions,No,0.86624,1463,1655,0.84984,0.88264
1997,2nd Quintile,Rural regions,Yes,0.16239,144,1069,0.14027,0.18451
1997,2nd Quintile,Rural regions,No,0.83761,925,1069,0.81549,0.85973
1997,3rd Quintile,Urban regions,Yes,0.13953,190,1612,0.12261,0.15645
1997,3rd Quintile,Urban regions,No,0.86047,1422,1612,0.84355,0.87739
1997,3rd Quintile,Rural regions,Yes,0.12445,116,1003,0.10401,0.14489
1997,3rd Quintile,Rural regions,No,0.87555,887,1003,0.85511,0.89599
1997,4th Quintile,Urban regions,Yes,0.10919,196,1771,0.09466,0.12372
1997,4th Quintile,Urban regions,No,0.89081,1575,1771,0.87628,0.90534
1997,4th Quintile,Rural regions,Yes,0.09476,87,882,0.07542,0.11410
1997,4th Quintile,Rural regions,No,0.90524,795,882,0.88590,0.92458
1997,5th Quintile,Urban regions,Yes,0.10371,181,1756,0.08944,0.11797
1997,5th Quintile,Urban regions,No,0.89629,1575,1756,0.88203,0.91056
1997,5th Quintile,Rural regions,Yes,0.10631,72,654,0.08267,0.12996
1997,5th Quintile,Rural regions,No,0.89369,582,654,0.87004,0.91733
1998,1st Quintile,Urban regions,Yes,0.14567,208,1558,0.12815,0.16319
1998,1st Quintile,Urban regions,No,0.85433,1350,1558,0.83681,0.87185
1998,1st Quintile,Rural regions,Yes,0.14641,114,774,0.12148,0.17133
1998,1st Quintile,Rural regions,No,0.85359,660,774,0.82867,0.87852
1998,2nd Quintile,Urban regions,Yes,0.13332,192,1544,0.11636,0.15028
1998,2nd Quintile,Urban regions,No,0.86668,1352,1544,0.84972,0.88364
1998,2nd Quintile,Rural regions,Yes,0.14490,127,957,0.12259,0.16721
1998,2nd Quintile,Rural regions,No,0.85510,830,957,0.83279,0.87741
1998,3rd Quintile,Urban regions,Yes,0.11348,168,1540,0.09763,0.12933
1998,3rd Quintile,Urban regions,No,0.88652,1372,1540,0.87067,0.90237
1998,3rd Quintile,Rural regions,Yes,0.15501,157,1038,0.13298,0.17703
1998,3rd Quintile,Rural regions,No,0.84499,881,1038,0.82297,0.86702
1998,4th Quintile,Urban regions,Yes,0.11718,192,1694,0.10186,0.13251
1998,4th Quintile,Urban regions,No,0.88282,1502,1694,0.86749,0.89814
1998,4th Quintile,Rural regions,Yes,0.12854,102,908,0.10676,0.15033
1998,4th Quintile,Rural regions,No,0.87146,806,908,0.84967,0.89324
1998,5th Quintile,Urban regions,Yes,0.11128,169,1659,0.09614,0.12642
1998,5th Quintile,Urban regions,No,0.88872,1490,1659,0.87358,0.90386
1998,5th Quintile,Rural regions,Yes,0.11958,76,638,0.09438,0.14478
1998,5th Quintile,Rural regions,No,0.88042,562,638,0.85522,0.90562
1999,1st Quintile,Urban regions,Yes,0.15608,231,1659,0.13861,0.17355
1999,1st Quintile,Urban regions,No,0.84392,1428,1659,0.82645,0.86139
1999,1st Quintile,Rural regions,Yes,0.14857,134,932,0.12572,0.17142
1999,1st Quintile,Rural regions,No,0.85143,798,932,0.82858,0.87428
1999,2nd Quintile,Urban regions,Yes,0.12904,219,1733,0.11325,0.14483
1999,2nd Quintile,Urban regions,No,0.87096,1514,1733,0.85517,0.88675
1999,2nd Quintile,Rural regions,Yes,0.15186,156,1137,0.13099,0.17273
1999,2nd Quintile,Rural regions,No,0.84814,981,1137,0.82727,0.86901
1999,3rd Quintile,Urban regions,Yes,0.12948,210,1713,0.11358,0.14538
1999,3rd Quintile,Urban regions,No,0.87052,1503,1713,0.85462,0.88642
1999,3rd Quintile,Rural regions,Yes,0.14399,138,1108,0.12330,0.16467
1999,3rd Quintile,Rural regions,No,0.85601,970,1108,0.83533,0.87670
1999,4th Quintile,Urban regions,Yes,0.11677,204,1872,0.10222,0.13133
1999,4th Quintile,Urban regions,No,0.88323,1668,1872,0.86867,0.89778
1999,4th Quintile,Rural regions,Yes,0.13303,118,890,0.11070,0.15535
1999,4th Quintile,Rural regions,No,0.86697,772,890,0.84465,0.88930
1999,5th Quintile,Urban regions,Yes,0.11467,201,1899,0.10033,0.12900
1999,5th Quintile,Urban regions,No,0.88533,1698,1899,0.87100,0.89967
1999,5th Quintile,Rural regions,Yes,0.08546,58,711,0.06489,0.10602
1999,5th Quintile,Rural regions,No,0.91454,653,711,0.89398,0.93511
2000,1st Quintile,Urban regions,Yes,0.12834,187,1598,0.11194,0.14475
2000,1st Quintile,Urban regions,No,0.87166,1411,1598,0.85525,0.88806
2000,1st Quintile,Rural regions,Yes,0.15060,145,973,0.12811,0.17308
2000,1st Quintile,Rural regions,No,0.84940,828,973,0.82692,0.87189
2000,2nd Quintile,Urban regions,Yes,0.10836,184,1711,0.09363,0.12310
2000,2nd Quintile,Urban regions,No,0.89164,1527,1711,0.87690,0.90637
2000,2nd Quintile,Rural regions,Yes,0.15819,146,1026,0.13585,0.18053
2000,2nd Quintile,Rural regions,No,0.84181,880,1026,0.81947,0.86415
2000,3rd Quintile,Urban regions,Yes,0.12814,203,1623,0.11187,0.14440
2000,3rd Quintile,Urban regions,No,0.87186,1420,1623,0.85560,0.88813
2000,3rd Quintile,Rural regions,Yes,0.15219,147,1109,0.13104,0.17334
2000,3rd Quintile,Rural regions,No,0.84781,962,1109,0.82666,0.86896
2000,4th Quintile,Urban regions,Yes,0.09975,189,1811,0.08594,0.11355
2000,4th Quintile,Urban regions,No,0.90025,1622,1811,0.88645,0.91406
2000,4th Quintile,Rural regions,Yes,0.13113,111,880,0.10882,0.15345
2000,4th Quintile,Rural regions,No,0.86887,769,880,0.84655,0.89118
2000,5th Quintile,Urban regions,Yes,0.10749,192,1871,0.09345,0.12152
2000,5th Quintile,Urban regions,No,0.89251,1679,1871,0.87848,0.90655
2000,5th Quintile,Rural regions,Yes,0.09223,62,667,0.07025,0.11420
2000,5th Quintile,Rural regions,No,0.90777,605,667,0.88580,0.92975
2001,1st Quintile,Urban regions,Yes,0.13092,327,2445,0.11755,0.14430
2001,1st Quintile,Urban regions,No,0.86908,2118,2445,0.85570,0.88245
2001,1st Quintile,Rural regions,Yes,0.15857,223,1427,0.13961,0.17753
2001,1st Quintile,Rural regions,No,0.84143,1204,1427,0.82247,0.86039
2001,2nd Quintile,Urban regions,Yes,0.12247,307,2610,0.10989,0.13505
2001,2nd Quintile,Urban regions,No,0.87753,2303,2610,0.86495,0.89011
2001,2nd Quintile,Rural regions,Yes,0.13002,207,1720,0.11413,0.14592
2001,2nd Quintile,Rural regions,No,0.86998,1513,1720,0.85408,0.88587
2001,3rd Quintile,Urban regions,Yes,0.11910,344,2841,0.10718,0.13101
2001,3rd Quintile,Urban regions,No,0.88090,2497,2841,0.86899,0.89282
2001,3rd Quintile,Rural regions,Yes,0.15662,231,1694,0.13931,0.17393
2001,3rd Quintile,Rural regions,No,0.84338,1463,1694,0.82607,0.86069
2001,4th Quintile,Urban regions,Yes,0.11295,320,2984,0.10159,0.12431
2001,4th Quintile,Urban regions,No,0.88705,2664,2984,0.87569,0.89841
2001,4th Quintile,Rural regions,Yes,0.11864,188,1615,0.10286,0.13441
2001,4th Quintile,Rural regions,No,0.88136,1427,1615,0.86559,0.89714
2001,5th Quintile,Urban regions,Yes,0.11067,356,3403,0.10013,0.12122
2001,5th Quintile,Urban regions,No,0.88933,3047,3403,0.87878,0.89987
2001,5th Quintile,Rural regions,Yes,0.11309,117,1110,0.09445,0.13173
2001,5th Quintile,Rural regions,No,0.88691,993,1110,0.86827,0.90555
2002,1st Quintile,Urban regions,Yes,0.11641,254,2164,0.10289,0.12992
2002,1st Quintile,Urban regions,No,0.88359,1910,2164,0.87008,0.89711
2002,1st Quintile,Rural regions,Yes,0.15850,194,1296,0.13861,0.17839
2002,1st Quintile,Rural regions,No,0.84150,1102,1296,0.82161,0.86139
2002,2nd Quintile,Urban regions,Yes,0.13165,294,2373,0.11804,0.14525
2002,2nd Quintile,Urban regions,No,0.86835,2079,2373,0.85475,0.88196
2002,2nd Quintile,Rural regions,Yes,0.14023,215,1545,0.12291,0.15755
2002,2nd Quintile,Rural regions,No,0.85977,1330,1545,0.84245,0.87709
2002,3rd Quintile,Urban regions,Yes,0.12879,325,2568,0.11583,0.14174
2002,3rd Quintile,Urban regions,No,0.87121,2243,2568,0.85826,0.88417
2002,3rd Quintile,Rural regions,Yes,0.13717,191,1458,0.11950,0.15484
2002,3rd Quintile,Rural regions,No,0.86283,1267,1458,0.84516,0.88050
2002,4th Quintile,Urban regions,Yes,0.11217,313,2754,0.10038,0.12396
2002,4th Quintile,Urban regions,No,0.88783,2441,2754,0.87604,0.89962
2002,4th Quintile,Rural regions,Yes,0.11783,167,1607,0.10206,0.13360
2002,4th Quintile,Rural regions,No,0.88217,1440,1607,0.86640,0.89794
2002,5th Quintile,Urban regions,Yes,0.12278,378,3679,0.11218,0.13339
2002,5th Quintile,Urban regions,No,0.87722,3301,3679,0.86661,0.88782
2002,5th Quintile,Rural regions,Yes,0.11104,136,1310,0.09402,0.12806
2002,5th Quintile,Rural regions,No,0.88896,1174,1310,0.87194,0.90598
2003,1st Quintile,Urban regions,Yes,0.14237,303,2177,0.12769,0.15705
2003,1st Quintile,Urban regions,No,0.85763,1874,2177,0.84295,0.87231
2003,1st Quintile,Rural regions,Yes,0.17150,189,1217,0.15031,0.19268
2003,1st Quintile,Rural regions,No,0.82850,1028,1217,0.80732,0.84969
2003,2nd Quintile,Urban regions,Yes,0.12162,265,2290,0.10823,0.13501
2003,2nd Quintile,Urban regions,No,0.87838,2025,2290,0.86499,0.89177
2003,2nd Quintile,Rural regions,Yes,0.13228,209,1555,0.11544,0.14913
2003,2nd Quintile,Rural regions,No,0.86772,1346,1555,0.85087,0.88456
2003,3rd Quintile,Urban regions,Yes,0.12214,306,2566,0.10947,0.13481
2003,3rd Quintile,Urban regions,No,0.87786,2260,2566,0.86519,0.89053
2003,3rd Quintile,Rural regions,Yes,0.11012,164,1489,0.09421,0.12602
2003,3rd Quintile,Rural regions,No,0.88988,1325,1489,0.87398,0.90579
2003,4th Quintile,Urban regions,Yes,0.11393,315,2896,0.10235,0.12550
2003,4th Quintile,Urban regions,No,0.88607,2581,2896,0.87450,0.89765
2003,4th Quintile,Rural regions,Yes,0.11798,172,1555,0.10194,0.13402
2003,4th Quintile,Rural regions,No,0.88202,1383,1555,0.86598,0.89806
2003,5th Quintile,Urban regions,Yes,0.10859,518,4766,0.09975,0.11742
2003,5th Quintile,Urban regions,No,0.89141,4248,4766,0.88258,0.90025
2003,5th Quintile,Rural regions,Yes,0.11847,175,1569,0.10248,0.13447
2003,5th Quintile,Rural regions,No,0.88153,1394,1569,0.86553,0.89752
2004,1st Quintile,Urban regions,Yes,0.14100,293,2062,0.12597,0.15602
2004,1st Quintile,Urban regions,No,0.85900,1769,2062,0.84398,0.87403
