year,regtyp,sampreg,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2008,Rural regions,West,No,0.87602,3034,3450,0.86502,0.88702
2008,Rural regions,East,Yes,0.13816,424,3143,0.12609,0.15022
2008,Rural regions,East,No,0.86184,2719,3143,0.84978,0.87391
2009,Urban regions,West,Yes,0.12279,1246,10163,0.11641,0.12918
2009,Urban regions,West,No,0.87721,8917,10163,0.87082,0.88359
2009,Urban regions,East,Yes,0.11672,187,1529,0.10062,0.13282
2009,Urban regions,East,No,0.88328,1342,1529,0.86718,0.89938
2009,Rural regions,West,Yes,0.14116,441,3285,0.12925,0.15307
2009,Rural regions,West,No,0.85884,2844,3285,0.84693,0.87075
2009,Rural regions,East,Yes,0.14227,419,2999,0.12977,0.15478
2009,Rural regions,East,No,0.85773,2580,2999,0.84522,0.87023
2010,Urban regions,West,Yes,0.12789,1864,13744,0.12230,0.13347
2010,Urban regions,West,No,0.87211,11880,13744,0.86653,0.87770
2010,Urban regions,East,Yes,0.11420,262,1894,0.09987,0.12853
2010,Urban regions,East,No,0.88580,1632,1894,0.87147,0.90013
2010,Rural regions,West,Yes,0.11547,636,4714,0.10635,0.12460
2010,Rural regions,West,No,0.88453,4078,4714,0.87540,0.89365
2010,Rural regions,East,Yes,0.14388,509,3571,0.13236,0.15539
2010,Rural regions,East,No,0.85612,3062,3571,0.84461,0.86764
2011,Urban regions,West,Yes,0.13117,2126,16021,0.12594,0.13640
2011,Urban regions,West,No,0.86883,13895,16021,0.86360,0.87406
2011,Urban regions,East,Yes,0.12715,321,2177,0.11315,0.14115
2011,Urban regions,East,No,0.87285,1856,2177,0.85885,0.88685
2011,Rural regions,West,Yes,0.14130,845,6023,0.13250,0.15010
2011,Rural regions,West,No,0.85870,5178,6023,0.84990,0.86750
2011,Rural regions,East,Yes,0.14856,608,4131,0.13771,0.15941
2011,Rural regions,East,No,0.85144,3523,4131,0.84059,0.86229
2012,Urban regions,West,Yes,0.13617,2006,15412,0.13075,0.14158
2012,Urban regions,West,No,0.86383,13406,15412,0.85842,0.86925
2012,Urban regions,East,Yes,0.12526,271,2085,0.11105,0.13947
2012,Urban regions,East,No,0.87474,1814,2085,0.86053,0.88895
2012,Rural regions,West,Yes,0.13987,831,6009,0.13110,0.14864
2012,Rural regions,West,No,0.86013,5178,6009,0.85136,0.86890
2012,Rural regions,East,Yes,0.16674,616,4074,0.15529,0.17819
2012,Rural regions,East,No,0.83326,3458,4074,0.82181,0.84471
2013,Urban regions,West,Yes,0.14207,1874,14348,0.13635,0.14778
2013,Urban regions,West,No,0.85793,12474,14348,0.85222,0.86365
2013,Urban regions,East,Yes,0.13005,249,1965,0.11518,0.14493
2013,Urban regions,East,No,0.86995,1716,1965,0.85507,0.88482
2013,Rural regions,West,Yes,0.15435,774,5578,0.14487,0.16383
2013,Rural regions,West,No,0.84565,4804,5578,0.83617,0.85513
2013,Rural regions,East,Yes,0.14917,548,3761,0.13779,0.16056
2013,Rural regions,East,No,0.85083,3213,3761,0.83944,0.86221
2014,Urban regions,West,Yes,0.13435,2032,15700,0.12902,0.13969
2014,Urban regions,West,No,0.86565,13668,15700,0.86031,0.87098
2014,Urban regions,East,Yes,0.10030,225,1931,0.08690,0.11370
2014,Urban regions,East,No,0.89970,1706,1931,0.88630,0.91310
2014,Rural regions,West,Yes,0.14661,733,5760,0.13748,0.15575
2014,Rural regions,West,No,0.85339,5027,5760,0.84425,0.86252
2014,Rural regions,East,Yes,0.16117,561,3638,0.14922,0.17312
2014,Rural regions,East,No,0.83883,3077,3638,0.82688,0.85078
2015,Urban regions,West,Yes,0.13320,1813,14330,0.12763,0.13876
2015,Urban regions,West,No,0.86680,12517,14330,0.86124,0.87237
2015,Urban regions,East,Yes,0.11466,232,1837,0.10008,0.12923
2015,Urban regions,East,No,0.88534,1605,1837,0.87077,0.89992
2015,Rural regions,West,Yes,0.15455,757,5417,0.14492,0.16417
2015,Rural regions,West,No,0.84545,4660,5417,0.83583,0.85508
2015,Rural regions,East,Yes,0.15978,516,3408,0.14747,0.17208
2015,Rural regions,East,No,0.84022,2892,3408,0.82792,0.85253
2016,Urban regions,West,Yes,0.13326,1778,13909,0.12761,0.13891
2016,Urban regions,West,No,0.86674,12131,13909,0.86109,0.87239
2016,Urban regions,East,Yes,0.10617,205,1759,0.09177,0.12057
2016,Urban regions,East,No,0.89383,1554,1759,0.87943,0.90823
2016,Rural regions,West,Yes,0.13815,725,5195,0.12877,0.14754
2016,Rural regions,West,No,0.86185,4470,5195,0.85246,0.87123
2016,Rural regions,East,Yes,0.15146,476,3257,0.13914,0.16377
2016,Rural regions,East,No,0.84854,2781,3257,0.83623,0.86086
2017,Urban regions,West,Yes,0.13934,1999,15122,0.13382,0.14486
2017,Urban regions,West,No,0.86066,13123,15122,0.85514,0.86618
2017,Urban regions,East,Yes,0.13209,263,1944,0.11703,0.14714
2017,Urban regions,East,No,0.86791,1681,1944,0.85286,0.88297
2017,Rural regions,West,Yes,0.14563,771,5682,0.13646,0.15480
2017,Rural regions,West,No,0.85437,4911,5682,0.84520,0.86354
2017,Rural regions,East,Yes,0.15573,524,3634,0.14394,0.16752
2017,Rural regions,East,No,0.84427,3110,3634,0.83248,0.85606
2018,Urban regions,West,Yes,0.13622,1898,14685,0.13067,0.14177
2018,Urban regions,West,No,0.86378,12787,14685,0.85823,0.86933
2018,Urban regions,East,Yes,0.14845,268,1921,0.13255,0.16435
2018,Urban regions,East,No,0.85155,1653,1921,0.83565,0.86745
2018,Rural regions,West,Yes,0.14184,717,5364,0.13250,0.15118
2018,Rural regions,West,No,0.85816,4647,5364,0.84882,0.86750
2018,Rural regions,East,Yes,0.15924,536,3549,0.14720,0.17128
2018,Rural regions,East,No,0.84076,3013,3549,0.82872,0.85280
2019,No answer / don't know,Does not apply,No,0.94107,70,70,0.88551,0.99664
2019,No answer / don't know,West,Yes,0.21128,77,404,0.17143,0.25114
2019,No answer / don't know,West,No,0.78872,327,404,0.74886,0.82857
2019,No answer / don't know,East,No,0.88547,67,67,0.80864,0.96230
2019,Urban regions,West,Yes,0.13621,1874,14463,0.13062,0.14180
2019,Urban regions,West,No,0.86379,12589,14463,0.85820,0.86938
2019,Urban regions,East,Yes,0.14701,279,1896,0.13107,0.16296
2019,Urban regions,East,No,0.85299,1617,1896,0.83704,0.86893
2019,Rural regions,West,Yes,0.14794,727,5197,0.13829,0.15760
2019,Rural regions,West,No,0.85206,4470,5197,0.84240,0.86171
2019,Rural regions,East,Yes,0.14075,472,3567,0.12934,0.15216
2019,Rural regions,East,No,0.85925,3095,3567,0.84784,0.87066
2020,Urban regions,West,Yes,0.14090,2142,16925,0.13566,0.14615
2020,Urban regions,West,No,0.85910,14783,16925,0.85385,0.86434
2020,Urban regions,East,Yes,0.14092,252,2103,0.12604,0.15579
2020,Urban regions,East,No,0.85908,1851,2103,0.84421,0.87396
2020,Rural regions,West,Yes,0.14617,793,5728,0.13702,0.15532
2020,Rural regions,West,No,0.85383,4935,5728,0.84468,0.86298
2020,Rural regions,East,Yes,0.13967,484,3602,0.12835,0.15099
2020,Rural regions,East,No,0.86033,3118,3602,0.84901,0.87165
2021,Urban regions,West,Yes,0.12386,1182,10050,0.11742,0.13030
2021,Urban regions,West,No,0.87614,8868,10050,0.86970,0.88258
2021,Urban regions,East,Yes,0.10924,149,1333,0.09249,0.12599
2021,Urban regions,East,No,0.89076,1184,1333,0.87401,0.90751
2021,Rural regions,West,Yes,0.13664,452,3500,0.12526,0.14802
2021,Rural regions,West,No,0.86336,3048,3500,0.85198,0.87474
2021,Rural regions,East,Yes,0.13056,291,2281,0.11673,0.14439
2021,Rural regions,East,No,0.86944,1990,2281,0.85561,0.88327
2022,Urban regions,West,Yes,0.12190,1749,16777,0.11695,0.12685
2022,Urban regions,West,No,0.87810,15028,16777,0.87315,0.88305
2022,Urban regions,East,Yes,0.09882,218,2290,0.08660,0.11105
2022,Urban regions,East,No,0.90118,2072,2290,0.88895,0.91340
2022,Rural regions,West,Yes,0.13349,618,5235,0.12427,0.14270
2022,Rural regions,West,No,0.86651,4617,5235,0.85730,0.87573
2022,Rural regions,East,Yes,0.13101,428,3527,0.11988,0.14215
2022,Rural regions,East,No,0.86899,3099,3527,0.85785,0.88012
