year,sampreg,sex,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,West,female,Yes,0.14497,684,4804,0.13501,0.15492
1996,West,female,No,0.85503,4120,4804,0.84508,0.86499
1996,East,male,Yes,0.11315,169,1753,0.09832,0.12799
1996,East,male,No,0.88685,1584,1753,0.87201,0.90168
1996,East,female,Yes,0.15108,283,1925,0.13508,0.16709
1996,East,female,No,0.84892,1642,1925,0.83291,0.86492
1997,West,male,Yes,0.10752,433,4442,0.09841,0.11663
1997,West,male,No,0.89248,4009,4442,0.88337,0.90159
1997,West,female,Yes,0.14859,695,4709,0.13843,0.15875
1997,West,female,No,0.85141,4014,4709,0.84125,0.86157
1997,East,male,Yes,0.11207,183,1742,0.09725,0.12688
1997,East,male,No,0.88793,1559,1742,0.87312,0.90275
1997,East,female,Yes,0.14035,238,1884,0.12466,0.15604
1997,East,female,No,0.85965,1646,1884,0.84396,0.87534
1998,West,male,Yes,0.09804,471,5012,0.08980,0.10627
1998,West,male,No,0.90196,4541,5012,0.89373,0.91020
1998,West,female,Yes,0.15257,779,5346,0.14293,0.16221
1998,West,female,No,0.84743,4567,5346,0.83779,0.85707
1998,East,male,Yes,0.11649,214,1868,0.10194,0.13104
1998,East,male,No,0.88351,1654,1868,0.86896,0.89806
1998,East,female,Yes,0.14618,269,1992,0.13066,0.16170
1998,East,female,No,0.85382,1723,1992,0.83830,0.86934
1999,West,male,Yes,0.10428,472,4787,0.09562,0.11293
1999,West,male,No,0.89572,4315,4787,0.88707,0.90438
1999,West,female,Yes,0.15215,718,5088,0.14228,0.16202
1999,West,female,No,0.84785,4370,5088,0.83798,0.85772
1999,East,male,Yes,0.12655,216,1817,0.11125,0.14184
1999,East,male,No,0.87345,1601,1817,0.85816,0.88875
1999,East,female,Yes,0.14236,263,1962,0.12690,0.15783
1999,East,female,No,0.85764,1699,1962,0.84217,0.87310
2000,West,male,Yes,0.10372,889,8761,0.09733,0.11010
2000,West,male,No,0.89628,7872,8761,0.88990,0.90267
2000,West,female,Yes,0.13491,1253,9457,0.12802,0.14179
2000,West,female,No,0.86509,8204,9457,0.85821,0.87198
2000,East,male,Yes,0.11696,303,2792,0.10503,0.12888
2000,East,male,No,0.88304,2489,2792,0.87112,0.89497
2000,East,female,Yes,0.13768,410,3044,0.12543,0.14992
2000,East,female,No,0.86232,2634,3044,0.85008,0.87457
2001,West,male,Yes,0.10655,810,7879,0.09974,0.11337
2001,West,male,No,0.89345,7069,7879,0.88663,0.90026
2001,West,female,Yes,0.14196,1169,8553,0.13456,0.14935
2001,West,female,No,0.85804,7384,8553,0.85065,0.86544
2001,East,male,Yes,0.10605,267,2616,0.09425,0.11785
2001,East,male,No,0.89395,2349,2616,0.88215,0.90575
2001,East,female,Yes,0.13708,375,2804,0.12435,0.14982
2001,East,female,No,0.86292,2429,2804,0.85018,0.87565
2002,West,male,Yes,0.11015,894,8479,0.10348,0.11681
2002,West,male,No,0.88985,7585,8479,0.88319,0.89652
2002,West,female,Yes,0.13747,1158,9078,0.13039,0.14456
2002,West,female,No,0.86253,7920,9078,0.85544,0.86961
2002,East,male,Yes,0.12291,305,2632,0.11036,0.13545
2002,East,male,No,0.87709,2327,2632,0.86455,0.88964
2002,East,female,Yes,0.13760,343,2790,0.12482,0.15039
2002,East,female,No,0.86240,2447,2790,0.84961,0.87518
2003,West,male,Yes,0.10782,845,8063,0.10105,0.11459
2003,West,male,No,0.89218,7218,8063,0.88541,0.89895
2003,West,female,Yes,0.13503,1115,8691,0.12784,0.14221
2003,West,female,No,0.86497,7576,8691,0.85779,0.87216
2003,East,male,Yes,0.11477,283,2574,0.10245,0.12708
2003,East,male,No,0.88523,2291,2574,0.87292,0.89755
2003,East,female,Yes,0.14846,373,2756,0.13518,0.16174
2003,East,female,No,0.85154,2383,2756,0.83826,0.86482
2004,West,male,Yes,0.11219,821,7844,0.10521,0.11918
2004,West,male,No,0.88781,7023,7844,0.88082,0.89479
2004,West,female,Yes,0.14057,1130,8489,0.13317,0.14796
2004,West,female,No,0.85943,7359,8489,0.85204,0.86683
2004,East,male,Yes,0.11963,269,2498,0.10690,0.13236
2004,East,male,No,0.88037,2229,2498,0.86764,0.89310
2004,East,female,Yes,0.14055,356,2719,0.12749,0.15362
2004,East,female,No,0.85945,2363,2719,0.84638,0.87251
2005,West,male,Yes,0.09866,708,7454,0.09189,0.10543
2005,West,male,No,0.90134,6746,7454,0.89457,0.90811
2005,West,female,Yes,0.12802,961,8158,0.12077,0.13527
2005,West,female,No,0.87198,7197,8158,0.86473,0.87923
2005,East,male,Yes,0.12410,280,2411,0.11093,0.13726
2005,East,male,No,0.87590,2131,2411,0.86274,0.88907
2005,East,female,Yes,0.13947,331,2602,0.12615,0.15278
2005,East,female,No,0.86053,2271,2602,0.84722,0.87385
2006,West,male,Yes,0.10849,822,7928,0.10165,0.11534
2006,West,male,No,0.89151,7106,7928,0.88466,0.89835
2006,West,female,Yes,0.13245,1074,8736,0.12534,0.13956
2006,West,female,No,0.86755,7662,8736,0.86044,0.87466
2006,East,male,Yes,0.12178,273,2524,0.10902,0.13454
2006,East,male,No,0.87822,2251,2524,0.86546,0.89098
2006,East,female,Yes,0.14939,383,2741,0.13604,0.16274
2006,East,female,No,0.85061,2358,2741,0.83726,0.86396
2007,West,male,Yes,0.11082,785,7337,0.10364,0.11801
2007,West,male,No,0.88918,6552,7337,0.88199,0.89636
2007,West,female,Yes,0.13217,1020,8122,0.12481,0.13954
2007,West,female,No,0.86783,7102,8122,0.86046,0.87519
2007,East,male,Yes,0.12117,289,2405,0.10813,0.13421
2007,East,male,No,0.87883,2116,2405,0.86579,0.89187
2007,East,female,Yes,0.13430,341,2588,0.12116,0.14744
2007,East,female,No,0.86570,2247,2588,0.85256,0.87884
2008,West,male,Yes,0.10421,734,6881,0.09699,0.11143
2008,West,male,No,0.89579,6147,6881,0.88857,0.90301
2008,West,female,Yes,0.12126,906,7621,0.11393,0.12859
2008,West,female,No,0.87874,6715,7621,0.87141,0.88607
2008,East,male,Yes,0.11943,268,2289,0.10614,0.13272
2008,East,male,No,0.88057,2021,2289,0.86728,0.89386
2008,East,female,Yes,0.13977,337,2459,0.12607,0.15348
2008,East,female,No,0.86023,2122,2459,0.84652,0.87393
2009,West,male,Yes,0.11296,743,6399,0.10521,0.12072
2009,West,male,No,0.88704,5656,6399,0.87928,0.89479
2009,West,female,Yes,0.14094,944,7049,0.13281,0.14906
2009,West,female,No,0.85906,6105,7049,0.85094,0.86719
2009,East,male,Yes,0.12756,284,2177,0.11355,0.14158
2009,East,male,No,0.87244,1893,2177,0.85842,0.88645
2009,East,female,Yes,0.13886,322,2351,0.12487,0.15284
2009,East,female,No,0.86114,2029,2351,0.84716,0.87513
2010,West,male,Yes,0.11618,894,8380,0.10932,0.12304
2010,West,male,No,0.88382,7486,8380,0.87696,0.89068
2010,West,female,Yes,0.13299,1606,10078,0.12636,0.13962
2010,West,female,No,0.86701,8472,10078,0.86038,0.87364
2010,East,male,Yes,0.13104,299,2506,0.11783,0.14426
2010,East,male,No,0.86896,2207,2506,0.85574,0.88217
2010,East,female,Yes,0.13557,472,2959,0.12323,0.14790
2010,East,female,No,0.86443,2487,2959,0.85210,0.87677
2011,West,male,Yes,0.11929,1122,9965,0.11293,0.12566
2011,West,male,No,0.88071,8843,9965,0.87434,0.88707
2011,West,female,Yes,0.14718,1849,12079,0.14087,0.15350
2011,West,female,No,0.85282,10230,12079,0.84650,0.85913
2011,East,male,Yes,0.12588,363,2878,0.11376,0.13800
2011,East,male,No,0.87412,2515,2878,0.86200,0.88624
2011,East,female,Yes,0.15601,566,3430,0.14386,0.16815
2011,East,female,No,0.84399,2864,3430,0.83185,0.85614
2012,West,male,Yes,0.12687,1192,9714,0.12025,0.13349
2012,West,male,No,0.87313,8522,9714,0.86651,0.87975
2012,West,female,Yes,0.14673,1645,11707,0.14032,0.15314
2012,West,female,No,0.85327,10062,11707,0.84686,0.85968
2012,East,male,Yes,0.14776,387,2811,0.13464,0.16088
2012,East,male,No,0.85224,2424,2811,0.83912,0.86536
2012,East,female,Yes,0.15683,500,3348,0.14451,0.16915
2012,East,female,No,0.84317,2848,3348,0.83085,0.85549
2013,West,male,Yes,0.13825,1126,9001,0.13112,0.14538
2013,West,male,No,0.86175,7875,9001,0.85462,0.86888
2013,West,female,Yes,0.15187,1522,10925,0.14514,0.15860
2013,West,female,No,0.84813,9403,10925,0.84140,0.85486
2013,East,male,Yes,0.13964,333,2611,0.12634,0.15294
2013,East,male,No,0.86036,2278,2611,0.84706,0.87366
2013,East,female,Yes,0.14564,464,3115,0.13325,0.15803
2013,East,female,No,0.85436,2651,3115,0.84197,0.86675
2014,West,male,Yes,0.12724,1147,9877,0.12066,0.13381
2014,West,male,No,0.87276,8730,9877,0.86619,0.87934
2014,West,female,Yes,0.14723,1618,11583,0.14077,0.15368
2014,West,female,No,0.85277,9965,11583,0.84632,0.85923
2014,East,male,Yes,0.12539,330,2537,0.11250,0.13828
2014,East,male,No,0.87461,2207,2537,0.86172,0.88750
2014,East,female,Yes,0.15355,456,3032,0.14072,0.16638
2014,East,female,No,0.84645,2576,3032,0.83362,0.85928
2015,West,male,Yes,0.13046,1110,9045,0.12352,0.13740
2015,West,male,No,0.86954,7935,9045,0.86260,0.87648
2015,West,female,Yes,0.14638,1460,10702,0.13968,0.15308
2015,West,female,No,0.85362,9242,10702,0.84692,0.86032
2015,East,male,Yes,0.12983,319,2391,0.11636,0.14331
2015,East,male,No,0.87017,2072,2391,0.85669,0.88364
2015,East,female,Yes,0.15683,429,2854,0.14349,0.17018
2015,East,female,No,0.84317,2425,2854,0.82982,0.85651
2016,West,male,Yes,0.12128,1025,8768,0.11444,0.12811
2016,West,male,No,0.87872,7743,8768,0.87189,0.88556
2016,West,female,Yes,0.14720,1478,10336,0.14037,0.15403
2016,West,female,No,0.85280,8858,10336,0.84597,0.85963
2016,East,male,Yes,0.12974,285,2275,0.11593,0.14355
2016,East,male,No,0.87026,1990,2275,0.85645,0.88407
2016,East,female,Yes,0.14045,396,2741,0.12744,0.15346
2016,East,female,No,0.85955,2345,2741,0.84654,0.87256
2017,West,male,Yes,0.13501,1219,9625,0.12818,0.14184
2017,West,male,No,0.86499,8406,9625,0.85816,0.87182
2017,West,female,Yes,0.14653,1551,11179,0.13997,0.15308
2017,West,female,No,0.85347,9628,11179,0.84692,0.86003
2017,East,male,Yes,0.12618,326,2568,0.11333,0.13902
2017,East,male,No,0.87382,2242,2568,0.86098,0.88667
2017,East,female,Yes,0.16750,461,3010,0.15415,0.18084
2017,East,female,No,0.83250,2549,3010,0.81916,0.84585
2018,West,male,Yes,0.12801,1141,9224,0.12119,0.13483
2018,West,male,No,0.87199,8083,9224,0.86517,0.87881
2018,West,female,Yes,0.14679,1474,10825,0.14012,0.15346
2018,West,female,No,0.85321,9351,10825,0.84654,0.85988
2018,East,male,Yes,0.12854,330,2516,0.11546,0.14162
2018,East,male,No,0.87146,2186,2516,0.85838,0.88454
2018,East,female,Yes,0.18077,474,2954,0.16689,0.19465
2018,East,female,No,0.81923,2480,2954,0.80535,0.83311
2019,Does not apply,male,No,0.89872,32,32,0.79252,1.00493
2019,Does not apply,female,No,0.99201,36,36,0.96251,1.02151
2019,West,male,Yes,0.12431,1193,9574,0.11770,0.13092
2019,West,male,No,0.87569,8381,9574,0.86908,0.88230
2019,West,female,Yes,0.15528,1483,10488,0.14835,0.16222
2019,West,female,No,0.84472,9005,10488,0.83778,0.85165
2019,East,male,Yes,0.14833,368,2637,0.13476,0.16190
2019,East,male,No,0.85167,2269,2637,0.83810,0.86524
2019,East,female,Yes,0.13750,390,2899,0.12496,0.15004
2019,East,female,No,0.86250,2509,2899,0.84996,0.87504
2020,West,male,Yes,0.13573,1325,11175,0.12938,0.14208
2020,West,male,No,0.86427,9850,11175,0.85792,0.87062
2020,West,female,Yes,0.14833,1609,11473,0.14182,0.15483
2020,West,female,No,0.85167,9864,11473,0.84517,0.85818
2020,East,male,Yes,0.12801,337,2761,0.11555,0.14048
2020,East,male,No,0.87199,2424,2761,0.85952,0.88445
2020,East,female,Yes,0.15162,398,2942,0.13866,0.16458
2020,East,female,No,0.84838,2544,2942,0.83542,0.86134
2021,West,male,Yes,0.12087,776,6390,0.11288,0.12887
2021,West,male,No,0.87913,5614,6390,0.87113,0.88712
2021,West,female,Yes,0.13304,858,7156,0.12517,0.14091
2021,West,female,No,0.86696,6298,7156,0.85909,0.87483
2021,East,male,Yes,0.11692,194,1675,0.10153,0.13232
2021,East,male,No,0.88308,1481,1675,0.86768,0.89847
2021,East,female,Yes,0.12915,246,1937,0.11421,0.14409
2021,East,female,No,0.87085,1691,1937,0.85591,0.88579
2022,West,male,Yes,0.11917,1078,10789,0.11305,0.12528
2022,West,male,No,0.88083,9711,10789,0.87472,0.88695
2022,West,female,Yes,0.13032,1287,11206,0.12408,0.13655
2022,West,female,No,0.86968,9919,11206,0.86345,0.87592
2022,East,male,Yes,0.10390,278,2763,0.09252,0.11528
2022,East,male,No,0.89610,2485,2763,0.88472,0.90748
2022,East,female,Yes,0.13187,367,3051,0.11986,0.14388
2022,East,female,No,0.86813,2684,3051,0.85612,0.88014
