year,bula_h,quintil_oecd,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,Hamburg,3rd Quintile,No,0.64446,38,38,0.49022,0.79870
1986,Hamburg,4th Quintile,No,0.82914,52,52,0.72584,0.93244
1986,Hamburg,5th Quintile,No,0.86821,55,55,0.77799,0.95844
1986,Lower Saxony,1st Quintile,Yes,0.11534,31,237,0.07459,0.15610
1986,Lower Saxony,1st Quintile,No,0.69506,206,237,0.63632,0.75379
1986,Lower Saxony,2nd Quintile,No,0.72400,197,197,0.66142,0.78658
1986,Lower Saxony,3rd Quintile,No,0.73173,199,199,0.67001,0.79344
1986,Lower Saxony,4th Quintile,No,0.82784,196,196,0.77485,0.88083
1986,Lower Saxony,5th Quintile,No,0.79226,197,197,0.73546,0.84905
1986,Bremen,1st Quintile,No,0.78727,33,33,0.64548,0.92907
1986,North Rhine-Westphalia,1st Quintile,Yes,0.09954,85,625,0.07605,0.12303
1986,North Rhine-Westphalia,1st Quintile,No,0.65406,540,625,0.61674,0.69139
1986,North Rhine-Westphalia,2nd Quintile,Yes,0.10864,77,543,0.08244,0.13484
1986,North Rhine-Westphalia,2nd Quintile,No,0.67820,466,543,0.63887,0.71753
1986,North Rhine-Westphalia,3rd Quintile,Yes,0.10341,73,558,0.07812,0.12870
1986,North Rhine-Westphalia,3rd Quintile,No,0.71678,485,558,0.67936,0.75420
1986,North Rhine-Westphalia,4th Quintile,Yes,0.10741,65,586,0.08232,0.13250
1986,North Rhine-Westphalia,4th Quintile,No,0.77430,521,586,0.74043,0.80818
1986,North Rhine-Westphalia,5th Quintile,Yes,0.09015,53,539,0.06595,0.11435
1986,North Rhine-Westphalia,5th Quintile,No,0.79697,486,539,0.76297,0.83096
1986,Hesse,1st Quintile,Yes,0.13926,42,237,0.09509,0.18343
1986,Hesse,1st Quintile,No,0.67410,195,237,0.61430,0.73390
1986,Hesse,2nd Quintile,No,0.70808,169,169,0.63933,0.77683
1986,Hesse,3rd Quintile,No,0.70778,124,124,0.62740,0.78815
1986,Hesse,4th Quintile,No,0.73782,220,220,0.67957,0.79607
1986,Hesse,5th Quintile,No,0.83742,202,202,0.78641,0.88843
1986,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.66512,137,137,0.58580,0.74444
1986,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.66098,139,139,0.58200,0.73996
1986,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.70959,137,137,0.63329,0.78588
1986,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.86529,145,145,0.80953,0.92106
1986,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.80632,113,113,0.73313,0.87950
1986,Baden-Wuerttemberg,1st Quintile,Yes,0.07503,44,334,0.04673,0.10332
1986,Baden-Wuerttemberg,1st Quintile,No,0.68098,290,334,0.63092,0.73104
1986,Baden-Wuerttemberg,2nd Quintile,Yes,0.08081,49,425,0.05487,0.10676
1986,Baden-Wuerttemberg,2nd Quintile,No,0.66800,376,425,0.62318,0.71283
1986,Baden-Wuerttemberg,3rd Quintile,Yes,0.10624,62,427,0.07697,0.13550
1986,Baden-Wuerttemberg,3rd Quintile,No,0.71461,365,427,0.67172,0.75749
1986,Baden-Wuerttemberg,4th Quintile,Yes,0.11728,58,412,0.08618,0.14839
1986,Baden-Wuerttemberg,4th Quintile,No,0.74561,354,412,0.70351,0.78772
1986,Baden-Wuerttemberg,5th Quintile,Yes,0.11128,43,384,0.07979,0.14278
1986,Baden-Wuerttemberg,5th Quintile,No,0.79227,341,384,0.75164,0.83290
1986,Bavaria,1st Quintile,Yes,0.13119,48,281,0.09165,0.17074
1986,Bavaria,1st Quintile,No,0.65170,233,281,0.59589,0.70750
1986,Bavaria,2nd Quintile,Yes,0.08945,38,327,0.05847,0.12043
1986,Bavaria,2nd Quintile,No,0.67892,289,327,0.62824,0.72960
1986,Bavaria,3rd Quintile,Yes,0.09716,51,398,0.06802,0.12629
1986,Bavaria,3rd Quintile,No,0.72503,347,398,0.68111,0.76895
1986,Bavaria,4th Quintile,Yes,0.10969,48,377,0.07810,0.14127
1986,Bavaria,4th Quintile,No,0.75043,329,377,0.70668,0.79417
1986,Bavaria,5th Quintile,Yes,0.09980,41,383,0.06974,0.12986
1986,Bavaria,5th Quintile,No,0.80249,342,383,0.76257,0.84242
1986,Berlin,1st Quintile,No,0.67458,55,55,0.54962,0.79955
1986,Berlin,2nd Quintile,No,0.73467,55,55,0.61691,0.85243
1986,Berlin,3rd Quintile,No,0.74869,61,61,0.63893,0.85845
1986,Berlin,4th Quintile,No,0.74228,71,71,0.63982,0.84475
1986,Berlin,5th Quintile,No,0.77090,66,66,0.66874,0.87307
1987,Schleswig-Holstein,1st Quintile,No,0.78344,65,65,0.68252,0.88435
1987,Schleswig-Holstein,2nd Quintile,No,0.59753,60,60,0.47239,0.72266
1987,Schleswig-Holstein,3rd Quintile,No,0.70996,55,55,0.58892,0.83099
1987,Schleswig-Holstein,4th Quintile,No,0.72798,47,47,0.59938,0.85658
1987,Schleswig-Holstein,5th Quintile,No,0.77798,63,63,0.67453,0.88143
1987,Hamburg,1st Quintile,No,0.56620,37,37,0.40431,0.72810
1987,Hamburg,2nd Quintile,No,0.84187,34,34,0.71738,0.96636
1987,Hamburg,4th Quintile,No,0.84840,45,45,0.74243,0.95437
1987,Hamburg,5th Quintile,No,0.85321,54,54,0.75793,0.94849
1987,Lower Saxony,1st Quintile,Yes,0.11960,34,243,0.07872,0.16049
1987,Lower Saxony,1st Quintile,No,0.66588,209,243,0.60645,0.72531
1987,Lower Saxony,2nd Quintile,No,0.72660,174,174,0.66018,0.79301
1987,Lower Saxony,3rd Quintile,No,0.75544,192,192,0.69448,0.81640
1987,Lower Saxony,4th Quintile,No,0.76789,201,201,0.70938,0.82641
1987,Lower Saxony,5th Quintile,No,0.81514,195,195,0.76052,0.86977
1987,North Rhine-Westphalia,1st Quintile,Yes,0.13642,102,624,0.10947,0.16337
1987,North Rhine-Westphalia,1st Quintile,No,0.64008,522,624,0.60239,0.67777
1987,North Rhine-Westphalia,2nd Quintile,Yes,0.10154,75,586,0.07706,0.12601
1987,North Rhine-Westphalia,2nd Quintile,No,0.68480,511,586,0.64715,0.72245
1987,North Rhine-Westphalia,3rd Quintile,Yes,0.06695,46,539,0.04583,0.08807
1987,North Rhine-Westphalia,3rd Quintile,No,0.74158,493,539,0.70459,0.77857
1987,North Rhine-Westphalia,4th Quintile,Yes,0.08913,52,506,0.06428,0.11398
1987,North Rhine-Westphalia,4th Quintile,No,0.78528,454,506,0.74947,0.82109
1987,North Rhine-Westphalia,5th Quintile,Yes,0.10263,62,558,0.07743,0.12784
1987,North Rhine-Westphalia,5th Quintile,No,0.77284,496,558,0.73804,0.80763
1987,Hesse,1st Quintile,No,0.70698,200,200,0.64374,0.77021
1987,Hesse,2nd Quintile,No,0.70607,161,161,0.63548,0.77666
1987,Hesse,3rd Quintile,No,0.66029,157,157,0.58596,0.73461
1987,Hesse,4th Quintile,No,0.77245,228,228,0.71791,0.82699
1987,Hesse,5th Quintile,No,0.80288,186,186,0.74556,0.86021
1987,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.66991,128,128,0.58813,0.75170
1987,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.71315,139,139,0.63769,0.78861
1987,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.76146,156,156,0.69437,0.82856
1987,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.88512,144,144,0.83285,0.93738
1987,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.80522,117,117,0.73315,0.87729
1987,Baden-Wuerttemberg,1st Quintile,Yes,0.11610,44,297,0.07961,0.15259
1987,Baden-Wuerttemberg,1st Quintile,No,0.63426,253,297,0.57939,0.68913
1987,Baden-Wuerttemberg,2nd Quintile,Yes,0.12741,60,420,0.09549,0.15934
1987,Baden-Wuerttemberg,2nd Quintile,No,0.62045,360,420,0.57398,0.66691
1987,Baden-Wuerttemberg,3rd Quintile,Yes,0.10025,53,413,0.07125,0.12925
1987,Baden-Wuerttemberg,3rd Quintile,No,0.69724,360,413,0.65288,0.74161
1987,Baden-Wuerttemberg,4th Quintile,Yes,0.09531,49,456,0.06833,0.12229
1987,Baden-Wuerttemberg,4th Quintile,No,0.76412,407,456,0.72511,0.80313
1987,Baden-Wuerttemberg,5th Quintile,Yes,0.09514,43,371,0.06525,0.12504
1987,Baden-Wuerttemberg,5th Quintile,No,0.79914,328,371,0.75831,0.83996
1987,Bavaria,1st Quintile,Yes,0.14167,45,285,0.10111,0.18223
1987,Bavaria,1st Quintile,No,0.61717,240,285,0.56064,0.67370
1987,Bavaria,2nd Quintile,Yes,0.13084,50,337,0.09479,0.16690
1987,Bavaria,2nd Quintile,No,0.64981,287,337,0.59881,0.70082
1987,Bavaria,3rd Quintile,Yes,0.07305,31,372,0.04657,0.09953
1987,Bavaria,3rd Quintile,No,0.74470,341,372,0.70033,0.78907
1987,Bavaria,4th Quintile,Yes,0.09027,39,350,0.06020,0.12033
1987,Bavaria,4th Quintile,No,0.78289,311,350,0.73964,0.82615
1987,Bavaria,5th Quintile,Yes,0.10925,39,375,0.07763,0.14086
1987,Bavaria,5th Quintile,No,0.79259,336,375,0.75150,0.83368
1987,Berlin,1st Quintile,No,0.65743,48,48,0.52175,0.79310
1987,Berlin,2nd Quintile,No,0.63997,47,47,0.50126,0.77869
1987,Berlin,3rd Quintile,No,0.67392,74,74,0.56638,0.78146
1987,Berlin,4th Quintile,No,0.83024,81,81,0.74798,0.91251
1987,Berlin,5th Quintile,No,0.86087,68,68,0.77800,0.94374
1988,Schleswig-Holstein,1st Quintile,No,0.62133,52,52,0.48820,0.75446
1988,Schleswig-Holstein,2nd Quintile,No,0.65318,61,61,0.53274,0.77361
1988,Schleswig-Holstein,3rd Quintile,No,0.63437,60,60,0.51148,0.75726
1988,Schleswig-Holstein,4th Quintile,No,0.85420,55,55,0.76008,0.94833
1988,Schleswig-Holstein,5th Quintile,No,0.77439,54,54,0.66185,0.88692
1988,Hamburg,1st Quintile,No,0.48589,32,32,0.30994,0.66183
1988,Hamburg,3rd Quintile,No,0.68831,36,36,0.53486,0.84176
1988,Hamburg,4th Quintile,No,0.85569,34,34,0.73580,0.97559
1988,Hamburg,5th Quintile,No,0.94399,46,46,0.87681,1.01117
1988,Lower Saxony,1st Quintile,No,0.66536,182,182,0.59662,0.73411
1988,Lower Saxony,2nd Quintile,Yes,0.12883,34,203,0.08263,0.17503
1988,Lower Saxony,2nd Quintile,No,0.68372,169,203,0.61959,0.74785
1988,Lower Saxony,3rd Quintile,No,0.78389,160,160,0.71992,0.84787
1988,Lower Saxony,4th Quintile,No,0.77529,216,216,0.71950,0.83108
1988,Lower Saxony,5th Quintile,No,0.77407,185,185,0.71365,0.83450
1988,North Rhine-Westphalia,1st Quintile,Yes,0.09551,78,634,0.07261,0.11841
1988,North Rhine-Westphalia,1st Quintile,No,0.66494,556,634,0.62817,0.70171
1988,North Rhine-Westphalia,2nd Quintile,Yes,0.10452,74,548,0.07888,0.13016
1988,North Rhine-Westphalia,2nd Quintile,No,0.69280,474,548,0.65414,0.73146
1988,North Rhine-Westphalia,3rd Quintile,Yes,0.11015,65,482,0.08217,0.13813
1988,North Rhine-Westphalia,3rd Quintile,No,0.70895,417,482,0.66836,0.74955
1988,North Rhine-Westphalia,4th Quintile,Yes,0.09304,55,498,0.06750,0.11858
1988,North Rhine-Westphalia,4th Quintile,No,0.77627,443,498,0.73963,0.81291
1988,North Rhine-Westphalia,5th Quintile,Yes,0.12237,69,520,0.09418,0.15057
1988,North Rhine-Westphalia,5th Quintile,No,0.77209,451,520,0.73600,0.80818
1988,Hesse,1st Quintile,No,0.73624,172,172,0.67019,0.80229
1988,Hesse,2nd Quintile,No,0.72158,181,181,0.65610,0.78706
1988,Hesse,3rd Quintile,No,0.70176,146,146,0.62730,0.77623
1988,Hesse,4th Quintile,No,0.71373,227,227,0.65480,0.77267
1988,Hesse,5th Quintile,No,0.82871,169,169,0.77174,0.88568
1988,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.66973,135,135,0.59010,0.74936
1988,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.64080,103,103,0.54769,0.73390
1988,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.77211,161,161,0.70711,0.83711
1988,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.83159,136,136,0.76846,0.89472
1988,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.81744,106,106,0.74355,0.89133
1988,Baden-Wuerttemberg,1st Quintile,Yes,0.10772,39,308,0.07304,0.14240
1988,Baden-Wuerttemberg,1st Quintile,No,0.67053,269,308,0.61795,0.72311
1988,Baden-Wuerttemberg,2nd Quintile,Yes,0.11173,51,413,0.08131,0.14215
1988,Baden-Wuerttemberg,2nd Quintile,No,0.62010,362,413,0.57323,0.66697
1988,Baden-Wuerttemberg,3rd Quintile,Yes,0.08167,38,401,0.05483,0.10851
1988,Baden-Wuerttemberg,3rd Quintile,No,0.71475,363,401,0.67050,0.75900
1988,Baden-Wuerttemberg,4th Quintile,Yes,0.09201,45,408,0.06393,0.12009
1988,Baden-Wuerttemberg,4th Quintile,No,0.78836,363,408,0.74867,0.82804
1988,Baden-Wuerttemberg,5th Quintile,Yes,0.08985,35,348,0.05976,0.11993
1988,Baden-Wuerttemberg,5th Quintile,No,0.80937,313,348,0.76804,0.85070
1988,Bavaria,1st Quintile,Yes,0.13164,36,266,0.09093,0.17235
1988,Bavaria,1st Quintile,No,0.62629,230,266,0.56804,0.68454
1988,Bavaria,2nd Quintile,No,0.67237,282,282,0.61749,0.72724
1988,Bavaria,3rd Quintile,Yes,0.09975,52,380,0.06958,0.12992
1988,Bavaria,3rd Quintile,No,0.73649,328,380,0.69214,0.78084
1988,Bavaria,4th Quintile,Yes,0.09838,40,343,0.06682,0.12995
1988,Bavaria,4th Quintile,No,0.75102,303,343,0.70519,0.79685
1988,Bavaria,5th Quintile,Yes,0.14414,51,342,0.10686,0.18142
1988,Bavaria,5th Quintile,No,0.77639,291,342,0.73216,0.82061
1988,Berlin,1st Quintile,No,0.64762,54,54,0.51900,0.77623
1988,Berlin,2nd Quintile,No,0.63557,42,42,0.48826,0.78289
1988,Berlin,3rd Quintile,No,0.78912,70,70,0.69287,0.88538
1988,Berlin,4th Quintile,No,0.74961,55,55,0.63406,0.86517
1988,Berlin,5th Quintile,No,0.89565,78,78,0.82736,0.96393
1989,Schleswig-Holstein,1st Quintile,No,0.66163,53,53,0.53303,0.79024
1989,Schleswig-Holstein,2nd Quintile,No,0.55369,63,63,0.42995,0.67743
1989,Schleswig-Holstein,3rd Quintile,No,0.65886,55,55,0.53241,0.78532
1989,Schleswig-Holstein,4th Quintile,No,0.83594,42,42,0.72259,0.94930
1989,Schleswig-Holstein,5th Quintile,No,0.81212,48,48,0.70045,0.92380
1989,Hamburg,1st Quintile,No,0.73556,35,35,0.58732,0.88381
1989,Hamburg,4th Quintile,No,0.79442,35,35,0.65858,0.93026
1989,Hamburg,5th Quintile,No,0.94593,50,50,0.88261,1.00925
1989,Lower Saxony,1st Quintile,Yes,0.17782,40,208,0.12573,0.22991
1989,Lower Saxony,1st Quintile,No,0.61049,168,208,0.54406,0.67692
1989,Lower Saxony,2nd Quintile,Yes,0.17677,34,164,0.11821,0.23534
1989,Lower Saxony,2nd Quintile,No,0.59705,130,164,0.52175,0.67235
1989,Lower Saxony,3rd Quintile,No,0.75912,168,168,0.69427,0.82398
1989,Lower Saxony,4th Quintile,No,0.81770,217,217,0.76621,0.86919
1989,Lower Saxony,5th Quintile,No,0.76618,163,163,0.70100,0.83136
1989,Bremen,3rd Quintile,No,0.82812,31,31,0.69312,0.96313
1989,North Rhine-Westphalia,1st Quintile,Yes,0.10392,71,596,0.07940,0.12845
1989,North Rhine-Westphalia,1st Quintile,No,0.66835,525,596,0.63052,0.70618
1989,North Rhine-Westphalia,2nd Quintile,Yes,0.09391,67,515,0.06870,0.11913
1989,North Rhine-Westphalia,2nd Quintile,No,0.68660,448,515,0.64650,0.72670
1989,North Rhine-Westphalia,3rd Quintile,Yes,0.09906,58,516,0.07326,0.12487
1989,North Rhine-Westphalia,3rd Quintile,No,0.74096,458,516,0.70312,0.77880
1989,North Rhine-Westphalia,4th Quintile,Yes,0.10560,63,478,0.07802,0.13318
1989,North Rhine-Westphalia,4th Quintile,No,0.76778,415,478,0.72989,0.80568
1989,North Rhine-Westphalia,5th Quintile,Yes,0.08154,46,502,0.05757,0.10550
1989,North Rhine-Westphalia,5th Quintile,No,0.80779,456,502,0.77328,0.84229
1989,Hesse,1st Quintile,No,0.67446,197,197,0.60886,0.74006
1989,Hesse,2nd Quintile,No,0.65461,152,152,0.57877,0.73045
1989,Hesse,3rd Quintile,No,0.75966,175,175,0.69618,0.82315
1989,Hesse,4th Quintile,No,0.74488,167,167,0.67857,0.81120
