"hlf0094","year","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"Viel zu hoch","2002","1 Einkommensschwächstes Quintil","","","",""
"Viel zu hoch","2002","2","44","0.0163829928700853","0.0119107292012881","0.0208552565388825"
"Viel zu hoch","2002","3","20","","",""
"Viel zu hoch","2002","4","48","0.0106458767046483","0.00725842168505719","0.0140333317242393"
"Viel zu hoch","2002","5 Einkommensstärkstes Quintil","","","",""
"Sehr guenstig","2003","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","2003","2","","","",""
"Sehr guenstig","2003","3","","","",""
"Sehr guenstig","2003","4","","","",""
"Sehr guenstig","2003","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","2003","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","2003","2","","","",""
"Guenstig","2003","3","","","",""
"Guenstig","2003","4","","","",""
"Guenstig","2003","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","2003","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","2003","2","","","",""
"Angemessen","2003","3","","","",""
"Angemessen","2003","4","","","",""
"Angemessen","2003","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","2003","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","2003","2","","","",""
"Etwas zu hoch","2003","3","","","",""
"Etwas zu hoch","2003","4","","","",""
"Etwas zu hoch","2003","5 Einkommensstärkstes Quintil","","","",""
"Viel zu hoch","2003","1 Einkommensschwächstes Quintil","","","",""
"Viel zu hoch","2003","2","","","",""
"Viel zu hoch","2003","3","","","",""
"Viel zu hoch","2003","4","","","",""
"Viel zu hoch","2003","5 Einkommensstärkstes Quintil","","","",""
"Sehr guenstig","2004","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","2004","2","","","",""
"Sehr guenstig","2004","3","","","",""
"Sehr guenstig","2004","4","","","",""
"Sehr guenstig","2004","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","2004","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","2004","2","","","",""
"Guenstig","2004","3","","","",""
"Guenstig","2004","4","","","",""
"Guenstig","2004","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","2004","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","2004","2","","","",""
"Angemessen","2004","3","","","",""
"Angemessen","2004","4","","","",""
"Angemessen","2004","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","2004","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","2004","2","","","",""
"Etwas zu hoch","2004","3","","","",""
"Etwas zu hoch","2004","4","","","",""
"Etwas zu hoch","2004","5 Einkommensstärkstes Quintil","","","",""
"Viel zu hoch","2004","1 Einkommensschwächstes Quintil","","","",""
"Viel zu hoch","2004","2","","","",""
"Viel zu hoch","2004","3","","","",""
"Viel zu hoch","2004","4","","","",""
"Viel zu hoch","2004","5 Einkommensstärkstes Quintil","","","",""
"Sehr guenstig","2005","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","2005","2","252","0.112256164024777","0.1002528478635","0.124259480186055"
"Sehr guenstig","2005","3","237","0.0868118854983704","0.0765925172059346","0.0970312537908063"
"Sehr guenstig","2005","4","365","0.105573256842178","0.0952563942651837","0.115890119419172"
"Sehr guenstig","2005","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","2005","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","2005","2","773","0.26948627516053","0.252615508080201","0.286357042240858"
"Guenstig","2005","3","882","0.285428266766837","0.269036501070908","0.301820032462766"
"Guenstig","2005","4","925","0.291053389409942","0.275802632670821","0.306304146149063"
"Guenstig","2005","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","2005","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","2005","2","1385","0.53106488556381","0.512089854992291","0.550039916135329"
"Angemessen","2005","3","1481","0.522287106061049","0.504157328940395","0.540416883181703"
"Angemessen","2005","4","1806","0.511135543510583","0.494352892244655","0.527918194776511"
"Angemessen","2005","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","2005","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","2005","2","219","0.0838347750722674","0.0732969419416742","0.0943726082028605"
"Etwas zu hoch","2005","3","283","0.0959623337198168","0.0852718342947132","0.10665283314492"
"Etwas zu hoch","2005","4","255","0.0766820101325054","0.0677485296868252","0.0856154905781856"
"Etwas zu hoch","2005","5 Einkommensstärkstes Quintil","","","",""
"Viel zu hoch","2005","1 Einkommensschwächstes Quintil","","","",""
"Viel zu hoch","2005","2","28","","",""
"Viel zu hoch","2005","3","33","0.00951040795392726","0.00598768197077562","0.0130331339370789"
"Viel zu hoch","2005","4","57","0.015555800104792","0.0114010966882133","0.0197105035213708"
"Viel zu hoch","2005","5 Einkommensstärkstes Quintil","","","",""
"Sehr guenstig","2006","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","2006","2","273","0.0975337892655681","0.086752535852585","0.108315042678551"
"Sehr guenstig","2006","3","305","0.0981332680339912","0.0879754671357682","0.108291068932214"
"Sehr guenstig","2006","4","454","0.126380389642817","0.115699819650586","0.137060959635048"
"Sehr guenstig","2006","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","2006","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","2006","2","757","0.253624691208814","0.237814008328842","0.269435374088785"
"Guenstig","2006","3","952","0.287939325730303","0.272478617875924","0.303400033584681"
"Guenstig","2006","4","1103","0.312534285963725","0.29763492115551","0.327433650771939"
"Guenstig","2006","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","2006","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","2006","2","1596","0.558361099929001","0.540315660288114","0.576406539569888"
"Angemessen","2006","3","1634","0.477741314324775","0.460686004337648","0.494796624311902"
"Angemessen","2006","4","1769","0.457581402067572","0.441567584872246","0.473595219262898"
"Angemessen","2006","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","2006","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","2006","2","231","0.0727668301861112","0.0633275812758478","0.0822060790963745"
"Etwas zu hoch","2006","3","346","0.125308196582521","0.114004053399226","0.136612339765815"
"Etwas zu hoch","2006","4","357","0.096559364699297","0.0870655574863643","0.10605317191223"
"Etwas zu hoch","2006","5 Einkommensstärkstes Quintil","","","",""
"Viel zu hoch","2006","1 Einkommensschwächstes Quintil","","","",""
"Viel zu hoch","2006","2","52","0.0177135894105062","0.0129201351768845","0.0225070436441279"
"Viel zu hoch","2006","3","58","0.0108778953284106","0.00733614638458585","0.0144196442722353"
"Viel zu hoch","2006","4","35","0.0069445576265892","0.00427522657032779","0.00961388868285062"
"Viel zu hoch","2006","5 Einkommensstärkstes Quintil","","","",""
"Sehr guenstig","2007","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","2007","2","186","0.0672160197515739","0.0575050057591985","0.0769270337439492"
"Sehr guenstig","2007","3","347","0.101811529156003","0.0912294001925987","0.112393658119407"
"Sehr guenstig","2007","4","329","0.0989196459941227","0.089008875096852","0.108830416891393"
"Sehr guenstig","2007","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","2007","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","2007","2","748","0.316015926688507","0.297985121355128","0.334046732021887"
"Guenstig","2007","3","934","0.290720274503375","0.274829785407716","0.306610763599033"
"Guenstig","2007","4","1063","0.309275728066254","0.293932749538254","0.324618706594254"
"Guenstig","2007","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","2007","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","2007","2","1334","0.512153126957478","0.492767523637293","0.531538730277664"
"Angemessen","2007","3","1510","0.491642602118241","0.474148157494676","0.509137046741806"
"Angemessen","2007","4","1758","0.498479519457076","0.481881648036282","0.51507739087787"
"Angemessen","2007","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","2007","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","2007","2","233","0.0879842089946724","0.0769981686265315","0.0989702493628132"
"Etwas zu hoch","2007","3","303","0.105853294037705","0.0950874666879137","0.116619121387497"
"Etwas zu hoch","2007","4","287","0.0771716059489538","0.0683128315280933","0.0860303803698143"
"Etwas zu hoch","2007","5 Einkommensstärkstes Quintil","","","",""
"Viel zu hoch","2007","1 Einkommensschwächstes Quintil","","","",""
"Viel zu hoch","2007","2","53","0.0166307176077681","0.0116710627134366","0.0215903725020996"
"Viel zu hoch","2007","3","43","0.00997230018467636","0.00649524025502604","0.0134493601143267"
"Viel zu hoch","2007","4","49","0.0161535005335938","0.0119686360676274","0.0203383649995602"
"Viel zu hoch","2007","5 Einkommensstärkstes Quintil","","","",""
"Sehr guenstig","2008","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","2008","2","202","0.0789667085909009","0.0677305705379509","0.0902028466438509"
"Sehr guenstig","2008","3","275","0.0885461399667883","0.0783769950161881","0.0987152849173885"
"Sehr guenstig","2008","4","390","0.113309242183828","0.102631301282319","0.123987183085337"
"Sehr guenstig","2008","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","2008","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","2008","2","605","0.287353491683309","0.268499526350161","0.306207457016458"
"Guenstig","2008","3","911","0.29325200105271","0.276955849209044","0.309548152896376"
"Guenstig","2008","4","869","0.246424457212243","0.231907551491355","0.260941362933132"
"Guenstig","2008","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","2008","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","2008","2","1138","0.486010032865171","0.465186360489117","0.506833705241226"
"Angemessen","2008","3","1500","0.521126562603977","0.503244638145891","0.539008487062063"
"Angemessen","2008","4","1758","0.517594947540547","0.500761630906958","0.534428264174137"
"Angemessen","2008","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","2008","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","2008","2","245","0.138087595133402","0.123713971039605","0.152461219227199"
"Etwas zu hoch","2008","3","263","0.07906146055749","0.0694025083502606","0.0887204127647194"
"Etwas zu hoch","2008","4","307","0.102670651188065","0.0924455444794934","0.112895757896637"
"Etwas zu hoch","2008","5 Einkommensstärkstes Quintil","","","",""
"Viel zu hoch","2008","1 Einkommensschwächstes Quintil","","","",""
"Viel zu hoch","2008","2","23","","",""
"Viel zu hoch","2008","3","49","0.0180138358190347","0.0132529467617515","0.0227747248763178"
"Viel zu hoch","2008","4","61","0.0200007018753159","0.0152843711137768","0.0247170326368549"
"Viel zu hoch","2008","5 Einkommensstärkstes Quintil","","","",""
"Sehr guenstig","2009","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","2009","2","200","0.0981485006356053","0.0852632620204698","0.111033739250741"
"Sehr guenstig","2009","3","261","0.104068436777446","0.0926268310412082","0.115510042513684"
"Sehr guenstig","2009","4","358","0.120617731985954","0.109526051306979","0.13170941266493"
"Sehr guenstig","2009","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","2009","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","2009","2","593","0.284367835963251","0.264830368075376","0.303905303851125"
"Guenstig","2009","3","849","0.327802136040624","0.310213000395354","0.345391271685894"
"Guenstig","2009","4","991","0.302223100855271","0.286583522175029","0.317862679535514"
"Guenstig","2009","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","2009","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","2009","2","996","0.475753078725706","0.454123808680578","0.497382348770835"
"Angemessen","2009","3","1374","0.468580228323259","0.44988198192029","0.487278474726227"
"Angemessen","2009","4","1670","0.471023357548119","0.454023612945933","0.488023102150305"
"Angemessen","2009","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","2009","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","2009","2","223","0.116393079581362","0.102503911016498","0.130282248146226"
"Etwas zu hoch","2009","3","210","0.0836159500332646","0.0732436906331722","0.0939882094333571"
"Etwas zu hoch","2009","4","259","0.0944858628638306","0.0845241513363837","0.104447574391278"
"Etwas zu hoch","2009","5 Einkommensstärkstes Quintil","","","",""
"Viel zu hoch","2009","1 Einkommensschwächstes Quintil","","","",""
"Viel zu hoch","2009","2","36","0.0253375050940757","0.0185315016155686","0.0321435085725827"
"Viel zu hoch","2009","3","42","0.0159332488254065","0.0112412867515469","0.0206252108992662"
"Viel zu hoch","2009","4","34","0.0116499467468246","0.00799551132288038","0.0153043821707688"
"Viel zu hoch","2009","5 Einkommensstärkstes Quintil","","","",""
"Sehr guenstig","2010","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","2010","2","279","0.0868438453017855","0.0774470321504611","0.0962406584531099"
"Sehr guenstig","2010","3","328","0.0893229378989008","0.0803429461843863","0.0983029296134152"
"Sehr guenstig","2010","4","380","0.0923469225989412","0.0837739266129549","0.100919918584927"
"Sehr guenstig","2010","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","2010","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","2010","2","1013","0.290987847866017","0.275831212271157","0.306144483460876"
