"hlf0094","year","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Angemessen","1989","Städtischer Raum","425","0.334519940809935","0.308141405428537","0.360898476191333"
"Angemessen","1989","Ländlicher Raum","161","0.344217384083216","0.301218417361685","0.387216350804748"
"Etwas zu hoch","1989","Städtischer Raum","91","0.0664716210363812","0.0525447341904407","0.0803985078823217"
"Etwas zu hoch","1989","Ländlicher Raum","32","0.0551302027969229","0.034474382426878","0.0757860231669678"
"Viel zu hoch","1989","Städtischer Raum","14","","",""
"Viel zu hoch","1989","Ländlicher Raum","9","","",""
"Sehr günstig","1990","Städtischer Raum","235","0.195132993759916","0.173021507907157","0.217244479612675"
"Sehr günstig","1990","Ländlicher Raum","111","0.231559609159899","0.19366467902597","0.269454539293828"
"Günstig","1990","Städtischer Raum","458","0.381427343302033","0.354325939819959","0.408528746784107"
"Günstig","1990","Ländlicher Raum","162","0.343113119647403","0.300464147310353","0.385762091984452"
"Angemessen","1990","Städtischer Raum","447","0.355934835079545","0.329220727937223","0.382648942221868"
"Angemessen","1990","Ländlicher Raum","165","0.351314065010228","0.308428649319416","0.39419948070104"
"Etwas zu hoch","1990","Städtischer Raum","79","0.0578010854972532","0.0447805211490052","0.0708216498455012"
"Etwas zu hoch","1990","Ländlicher Raum","33","0.0650694238516858","0.0429118208435362","0.0872270268598353"
"Viel zu hoch","1990","Städtischer Raum","15","","",""
"Viel zu hoch","1990","Ländlicher Raum","5","","",""
"Sehr günstig","1991","Städtischer Raum","223","0.174422732508133","0.153967106757077","0.194878358259189"
"Sehr günstig","1991","Ländlicher Raum","94","0.134206551169589","0.112929882076773","0.155483220262406"
"Günstig","1991","Städtischer Raum","452","0.354911878353192","0.329118860819893","0.380704895886492"
"Günstig","1991","Ländlicher Raum","265","0.302563860872495","0.273891042480217","0.331236679264773"
"Angemessen","1991","Städtischer Raum","517","0.391665417165992","0.365352970693565","0.417977863638418"
"Angemessen","1991","Ländlicher Raum","328","0.362825502377938","0.332814000552547","0.39283700420333"
"Etwas zu hoch","1991","Städtischer Raum","99","0.0620278710437652","0.0490255535050466","0.0750301885824838"
"Etwas zu hoch","1991","Ländlicher Raum","187","0.1304310658523","0.109410124374549","0.15145200733005"
"Viel zu hoch","1991","Städtischer Raum","31","0.0169721009289175","0.0100093142762872","0.0239348875815478"
"Viel zu hoch","1991","Ländlicher Raum","112","0.0699730197276783","0.0540500996339636","0.085895939821393"
"Sehr günstig","1992","Städtischer Raum","217","0.179894543942417","0.159212950413287","0.200576137471547"
"Sehr günstig","1992","Ländlicher Raum","112","0.153414214208485","0.130351258869851","0.17647716954712"
"Günstig","1992","Städtischer Raum","445","0.342602556697904","0.317049111756301","0.368156001639508"
"Günstig","1992","Ländlicher Raum","274","0.315896860557444","0.286147329900585","0.345646391214303"
"Angemessen","1992","Städtischer Raum","537","0.401298394515046","0.374905982987901","0.42769080604219"
"Angemessen","1992","Ländlicher Raum","385","0.409412701931727","0.377944684711482","0.440880719151971"
"Etwas zu hoch","1992","Städtischer Raum","100","0.0593035473977339","0.0465859450519453","0.0720211497435225"
"Etwas zu hoch","1992","Ländlicher Raum","122","0.0871511769017996","0.0691009473259086","0.105201406477691"
"Viel zu hoch","1992","Städtischer Raum","26","","",""
"Viel zu hoch","1992","Ländlicher Raum","45","0.0341250464005445","0.0225067152887984","0.0457433775122906"
"Sehr günstig","1993","Städtischer Raum","216","0.17103821396497","0.150702049978168","0.191374377951771"
"Sehr günstig","1993","Ländlicher Raum","129","0.164001060257731","0.140430488711898","0.187571631803565"
"Günstig","1993","Städtischer Raum","461","0.355880740387983","0.330022998930753","0.381738481845213"
"Günstig","1993","Ländlicher Raum","309","0.337609651626136","0.307506750848104","0.367712552404169"
"Angemessen","1993","Städtischer Raum","529","0.395924569431747","0.369512221103614","0.42233691775988"
"Angemessen","1993","Ländlicher Raum","401","0.41249509977326","0.381157980840966","0.443832218705555"
"Etwas zu hoch","1993","Städtischer Raum","88","0.0612767868483409","0.0483237388636168","0.074229834833065"
"Etwas zu hoch","1993","Ländlicher Raum","81","0.0587765293282378","0.0438041002172301","0.0737489584392454"
"Viel zu hoch","1993","Städtischer Raum","23","","",""
"Viel zu hoch","1993","Ländlicher Raum","28","","",""
"Sehr günstig","1994","Städtischer Raum","248","0.207472716935272","0.185564463588981","0.229380970281563"
"Sehr günstig","1994","Ländlicher Raum","116","0.145460388390458","0.123227391937111","0.167693384843805"
"Günstig","1994","Städtischer Raum","423","0.315678105046509","0.290566608564914","0.340789601528104"
"Günstig","1994","Ländlicher Raum","302","0.329712131067634","0.300066706755113","0.359357555380154"
"Angemessen","1994","Städtischer Raum","541","0.40314046409507","0.37663811254456","0.42964281564558"
"Angemessen","1994","Ländlicher Raum","439","0.444910913258462","0.41357247125139","0.476249355265534"
"Etwas zu hoch","1994","Städtischer Raum","88","0.0641454173606793","0.0509078814994701","0.0773829532218885"
"Etwas zu hoch","1994","Ländlicher Raum","88","0.0630187748167443","0.0476952050501848","0.0783423445833037"
"Viel zu hoch","1994","Städtischer Raum","16","","",""
"Viel zu hoch","1994","Ländlicher Raum","21","","",""
"Sehr günstig","1995","Städtischer Raum","232","0.178239369569715","0.157943987781497","0.198534751357934"
"Sehr günstig","1995","Ländlicher Raum","120","0.156357291434765","0.133442137325702","0.179272445543829"
"Günstig","1995","Städtischer Raum","454","0.338492545422277","0.3133988474206","0.363586243423955"
"Günstig","1995","Ländlicher Raum","324","0.344086609575548","0.314112825881612","0.374060393269485"
"Angemessen","1995","Städtischer Raum","547","0.391835704945253","0.365948497451725","0.417722912438782"
"Angemessen","1995","Ländlicher Raum","419","0.417155118547455","0.386044423332745","0.448265813762164"
"Etwas zu hoch","1995","Städtischer Raum","119","0.0832768098385433","0.0686245743429728","0.0979290453341137"
"Etwas zu hoch","1995","Ländlicher Raum","87","0.0666902839677226","0.0509494183545348","0.0824311495809104"
"Viel zu hoch","1995","Städtischer Raum","14","","",""
"Viel zu hoch","1995","Ländlicher Raum","15","","",""
"Sehr günstig","1996","Städtischer Raum","219","0.182013621824816","0.161588984896826","0.202438258752807"
"Sehr günstig","1996","Ländlicher Raum","124","0.154966822653271","0.132447853840975","0.177485791465567"
"Günstig","1996","Städtischer Raum","454","0.337929387242357","0.312891683306699","0.362967091178016"
"Günstig","1996","Ländlicher Raum","325","0.326248470709226","0.297073100253923","0.35542384116453"
"Angemessen","1996","Städtischer Raum","569","0.397291983085616","0.371389717709124","0.423194248462109"
"Angemessen","1996","Ländlicher Raum","448","0.437082808256099","0.40621566954912","0.467949946963079"
"Etwas zu hoch","1996","Städtischer Raum","105","0.0667929277684152","0.0535774272949771","0.0800084282418532"
"Etwas zu hoch","1996","Ländlicher Raum","81","0.065542524633259","0.0501420676067409","0.0809429816597771"
"Viel zu hoch","1996","Städtischer Raum","24","","",""
"Viel zu hoch","1996","Ländlicher Raum","14","","",""
"Sehr günstig","1997","Städtischer Raum","216","0.170675256933683","0.150896987677557","0.19045352618981"
"Sehr günstig","1997","Ländlicher Raum","129","0.15681383949182","0.13436614443454","0.179261534549101"
"Günstig","1997","Städtischer Raum","439","0.326631290635836","0.301976799110776","0.351285782160895"
"Günstig","1997","Ländlicher Raum","311","0.31794696414915","0.289199188996483","0.346694739301817"
"Angemessen","1997","Städtischer Raum","613","0.4249052664952","0.398918248740154","0.450892284250247"
"Angemessen","1997","Ländlicher Raum","463","0.431164598156461","0.400591976562691","0.461737219750232"
"Etwas zu hoch","1997","Städtischer Raum","96","0.0623522071949791","0.0496410094637571","0.0750634049262011"
"Etwas zu hoch","1997","Ländlicher Raum","90","0.0775744963071766","0.0610608507744003","0.094088141839953"
"Viel zu hoch","1997","Städtischer Raum","26","","",""
"Viel zu hoch","1997","Ländlicher Raum","15","","",""
"Sehr günstig","1998","Städtischer Raum","267","0.176721963922683","0.158142071467994","0.195301856377372"
"Sehr günstig","1998","Ländlicher Raum","172","0.170115708792311","0.148713764893429","0.191517652691192"
"Günstig","1998","Städtischer Raum","493","0.314342032682423","0.291727914438224","0.336956150926622"
"Günstig","1998","Ländlicher Raum","390","0.336476039654566","0.309562078777767","0.363390000531365"
"Angemessen","1998","Städtischer Raum","697","0.421747168289478","0.397691931382122","0.445802405196835"
"Angemessen","1998","Ländlicher Raum","502","0.403964689182969","0.376014809873489","0.431914568492449"
"Etwas zu hoch","1998","Städtischer Raum","135","0.0714515040014477","0.0589047134128233","0.0839982945900721"
"Etwas zu hoch","1998","Ländlicher Raum","107","0.0755425251409073","0.0604899273302607","0.0905951229515539"
"Viel zu hoch","1998","Städtischer Raum","27","","",""
"Viel zu hoch","1998","Ländlicher Raum","13","","",""
"Sehr günstig","1999","Städtischer Raum","260","0.165338944307153","0.147181792520344","0.183496096093962"
"Sehr günstig","1999","Ländlicher Raum","174","0.174176617049833","0.152463468749464","0.195889765350203"
"Günstig","1999","Städtischer Raum","508","0.336959602462904","0.313856836305479","0.360062368620329"
"Günstig","1999","Ländlicher Raum","411","0.366324312332472","0.338740729305527","0.393907895359417"
"Angemessen","1999","Städtischer Raum","665","0.402342047569099","0.378374194646952","0.426309900491246"
"Angemessen","1999","Ländlicher Raum","487","0.385083132725648","0.357223862474252","0.412942402977044"
"Etwas zu hoch","1999","Städtischer Raum","135","0.0732764657302066","0.060539604356967","0.0860133271034461"
"Etwas zu hoch","1999","Ländlicher Raum","88","0.0668724466330575","0.0525710517504715","0.0811738415156435"
"Viel zu hoch","1999","Städtischer Raum","40","0.0220829399306379","0.0149002928869897","0.0292655869742862"
"Viel zu hoch","1999","Ländlicher Raum","12","","",""
"Sehr günstig","2000","Städtischer Raum","500","0.154205666302316","0.142037770961174","0.166373561643459"
"Sehr günstig","2000","Ländlicher Raum","285","0.144624657826459","0.130158970971516","0.159090344681402"
"Günstig","2000","Städtischer Raum","1100","0.326946040293675","0.311140989474153","0.342751091113196"
"Günstig","2000","Ländlicher Raum","772","0.351700956370309","0.332062199705402","0.371339713035217"
"Angemessen","2000","Städtischer Raum","1411","0.41250119785503","0.395914917054416","0.429087478655645"
"Angemessen","2000","Ländlicher Raum","981","0.410862670845212","0.390628000325841","0.431097341364583"
"Etwas zu hoch","2000","Städtischer Raum","314","0.0897775158289801","0.0801460921955199","0.0994089394624402"
"Etwas zu hoch","2000","Ländlicher Raum","199","0.0793447730330057","0.0682288073697966","0.0904607386962149"
"Viel zu hoch","2000","Städtischer Raum","59","0.0165695797199981","0.0122686684856261","0.0208704909543702"
"Viel zu hoch","2000","Ländlicher Raum","34","0.0134669419250139","0.00872637983767576","0.018207504012352"
"Sehr günstig","2001","Städtischer Raum","372","0.129277220787971","0.117370309223866","0.141184132352076"
"Sehr günstig","2001","Ländlicher Raum","250","0.137257878356499","0.12241212003116","0.152103636681838"
"Günstig","2001","Städtischer Raum","971","0.318711756361037","0.302174530399377","0.335248982322698"
"Günstig","2001","Ländlicher Raum","672","0.321301685289779","0.301155717664803","0.341447652914755"
"Angemessen","2001","Städtischer Raum","1391","0.457093739244534","0.439414513849186","0.474772964639881"
"Angemessen","2001","Ländlicher Raum","956","0.456813620007741","0.435323581067051","0.478303658948431"
"Etwas zu hoch","2001","Städtischer Raum","251","0.075913238457216","0.0665135533451266","0.0853129235693055"
"Etwas zu hoch","2001","Ländlicher Raum","167","0.0758641215025347","0.0644411425424383","0.0872871004626311"
"Viel zu hoch","2001","Städtischer Raum","65","0.0190040451492419","0.0141583643049018","0.023849725993582"
"Viel zu hoch","2001","Ländlicher Raum","19","","",""
"Sehr günstig","2002","Städtischer Raum","464","0.138686114235997","0.127340825884683","0.150031402587311"
"Sehr günstig","2002","Ländlicher Raum","266","0.139891087876247","0.1252083363922","0.154573839360294"
"Günstig","2002","Städtischer Raum","1115","0.319120966569722","0.303819573425512","0.334422359713933"
"Günstig","2002","Ländlicher Raum","647","0.301754169287439","0.282324450463045","0.321183888111833"
"Angemessen","2002","Städtischer Raum","1619","0.447520797179546","0.431198439052623","0.463843155306469"
"Angemessen","2002","Ländlicher Raum","1022","0.473831513105743","0.45269613177292","0.494966894438567"
"Etwas zu hoch","2002","Städtischer Raum","319","0.0847277087571007","0.0755864455807308","0.0938689719334706"
"Etwas zu hoch","2002","Ländlicher Raum","186","0.071480687867345","0.0605756913160684","0.0823856844186215"
"Viel zu hoch","2002","Städtischer Raum","48","0.00994441325763421","0.0066872637385979","0.0132015627766705"
"Viel zu hoch","2002","Ländlicher Raum","23","","",""
"Sehr günstig","2003","Städtischer Raum","","","",""
"Sehr günstig","2003","Ländlicher Raum","","","",""
"Günstig","2003","Städtischer Raum","","","",""
"Günstig","2003","Ländlicher Raum","","","",""
"Angemessen","2003","Städtischer Raum","","","",""
"Angemessen","2003","Ländlicher Raum","","","",""
"Etwas zu hoch","2003","Städtischer Raum","","","",""
"Etwas zu hoch","2003","Ländlicher Raum","","","",""
"Viel zu hoch","2003","Städtischer Raum","","","",""
"Viel zu hoch","2003","Ländlicher Raum","","","",""
"Sehr günstig","2004","Städtischer Raum","","","",""
"Sehr günstig","2004","Ländlicher Raum","","","",""
"Günstig","2004","Städtischer Raum","","","",""
"Günstig","2004","Ländlicher Raum","","","",""
"Angemessen","2004","Städtischer Raum","","","",""
"Angemessen","2004","Ländlicher Raum","","","",""
"Etwas zu hoch","2004","Städtischer Raum","","","",""
"Etwas zu hoch","2004","Ländlicher Raum","","","",""
"Viel zu hoch","2004","Städtischer Raum","","","",""
"Viel zu hoch","2004","Ländlicher Raum","","","",""
"Sehr günstig","2005","Städtischer Raum","342","0.10556161686409","0.0950410751894007","0.116082158538779"
"Sehr günstig","2005","Ländlicher Raum","217","0.113099218052285","0.0992671958311001","0.12693124027347"
"Günstig","2005","Städtischer Raum","986","0.313673262991809","0.297787280479648","0.32955924550397"
"Günstig","2005","Ländlicher Raum","584","0.293140022676865","0.273259737373906","0.313020307979825"
"Angemessen","2005","Städtischer Raum","1653","0.496911824233434","0.479793092313229","0.514030556153639"
"Angemessen","2005","Ländlicher Raum","995","0.488259783812878","0.466429036173037","0.510090531452719"
"Etwas zu hoch","2005","Städtischer Raum","258","0.0750404301438948","0.0660201733227996","0.0840606869649901"
"Etwas zu hoch","2005","Ländlicher Raum","188","0.0899378207852663","0.0774431427072448","0.102432498863288"
"Viel zu hoch","2005","Städtischer Raum","38","0.00881286576677251","0.00561289304612165","0.0120128384874234"
"Viel zu hoch","2005","Ländlicher Raum","30","0.0155631546727048","0.0101573405970033","0.0209689687484063"
"Sehr günstig","2006","Städtischer Raum","393","0.10590688334699","0.0958785836092841","0.115935183084696"
"Sehr günstig","2006","Ländlicher Raum","257","0.124670732227136","0.111078248456008","0.138263215998264"
"Günstig","2006","Städtischer Raum","1074","0.306089559658916","0.291070255726005","0.321108863591826"
"Günstig","2006","Ländlicher Raum","677","0.301804283835016","0.282916450889574","0.320692116780458"
"Angemessen","2006","Städtischer Raum","1769","0.478640439141343","0.462360708989388","0.494920169293298"
"Angemessen","2006","Ländlicher Raum","1083","0.468328064369365","0.447796227589285","0.488859901149445"
"Etwas zu hoch","2006","Städtischer Raum","335","0.0975781495274314","0.0879075159788482","0.107248783076015"
"Etwas zu hoch","2006","Ländlicher Raum","221","0.0930158286544535","0.081064694356195","0.104966962952712"
"Viel zu hoch","2006","Städtischer Raum","46","0.0117849683253199","0.00826803792100125","0.0153018987296385"
"Viel zu hoch","2006","Ländlicher Raum","31","0.0121810909140295","0.00766759968325856","0.0166945821448004"
"Sehr günstig","2007","Städtischer Raum","354","0.103779424950688","0.0934964901984778","0.114062359702898"
"Sehr günstig","2007","Ländlicher Raum","220","0.0984623861187891","0.0858007027274908","0.111124069510087"
"Günstig","2007","Städtischer Raum","1008","0.300896986033407","0.285432570843018","0.316361401223796"
"Günstig","2007","Ländlicher Raum","661","0.332637527953843","0.312614449043034","0.352660606864653"
"Angemessen","2007","Städtischer Raum","1679","0.496055966556049","0.479197794273807","0.512914138838291"
"Angemessen","2007","Ländlicher Raum","1033","0.474645055259423","0.45342359626963","0.495866514249217"
"Etwas zu hoch","2007","Städtischer Raum","294","0.0882585070414268","0.0786938777229116","0.097823136359942"
"Etwas zu hoch","2007","Ländlicher Raum","179","0.0762889120478948","0.065007508486246","0.0875703156095435"
"Viel zu hoch","2007","Städtischer Raum","44","0.0110091154184295","0.00749086820841566","0.0145273626284433"
"Viel zu hoch","2007","Ländlicher Raum","34","0.0179661186200494","0.0123212386294513","0.0236109986106475"
"Sehr günstig","2008","Städtischer Raum","360","0.111840715548692","0.100976693527119","0.122704737570265"
"Sehr günstig","2008","Ländlicher Raum","235","0.110926971566585","0.0973193390537184","0.124534604079451"
"Günstig","2008","Städtischer Raum","944","0.282939055335523","0.267412692793095","0.298465417877952"
"Günstig","2008","Ländlicher Raum","571","0.289808050839677","0.270150094249599","0.309466007429754"
"Angemessen","2008","Städtischer Raum","1629","0.505382148564636","0.488147990145917","0.522616306983356"
"Angemessen","2008","Ländlicher Raum","1003","0.478870600409941","0.457224625479199","0.500516575340684"
"Etwas zu hoch","2008","Städtischer Raum","260","0.0858127688424896","0.0761580691025764","0.0954674685824027"
"Etwas zu hoch","2008","Ländlicher Raum","205","0.104126495835044","0.0908922484313455","0.117360743238742"
"Viel zu hoch","2008","Städtischer Raum","40","0.0140253117086583","0.00997177245719498","0.0180788509601216"
"Viel zu hoch","2008","Ländlicher Raum","32","0.0162678813487538","0.0107863841053185","0.0217493785921892"
"Sehr günstig","2009","Städtischer Raum","330","0.114695921181469","0.103387072557495","0.126004769805443"
"Sehr günstig","2009","Ländlicher Raum","250","0.132083742372347","0.117040541054569","0.147126943690124"
"Günstig","2009","Städtischer Raum","900","0.291289191142036","0.275164370807638","0.307414011476434"
"Günstig","2009","Ländlicher Raum","593","0.32475840498778","0.303952506919957","0.345564303055602"
"Angemessen","2009","Städtischer Raum","1548","0.502050762861941","0.484306231961947","0.519795293761935"
"Angemessen","2009","Ländlicher Raum","894","0.421713637635078","0.399772609659137","0.443654665611019"
"Etwas zu hoch","2009","Städtischer Raum","245","0.0835455476040528","0.0737254621034848","0.0933656331046208"
"Etwas zu hoch","2009","Ländlicher Raum","184","0.102208417149223","0.0887495728461603","0.115667261452285"
"Viel zu hoch","2009","Städtischer Raum","27","","",""
"Viel zu hoch","2009","Ländlicher Raum","25","","",""
"Sehr günstig","2010","Städtischer Raum","374","0.10435946844782","0.0945964731617937","0.114122463733847"
"Sehr günstig","2010","Ländlicher Raum","239","0.0955250493194997","0.0839448136851619","0.107105284953837"
"Günstig","2010","Städtischer Raum","1022","0.27894114192445","0.264619529175798","0.293262754673102"
"Günstig","2010","Ländlicher Raum","729","0.305953183569149","0.287798764307596","0.324107602830701"
"Angemessen","2010","Städtischer Raum","1975","0.519964827589165","0.504010673057036","0.535918982121295"
"Angemessen","2010","Ländlicher Raum","1213","0.474513635447382","0.454840863233932","0.494186407660831"
"Etwas zu hoch","2010","Städtischer Raum","343","0.0859067901583542","0.0769581041773567","0.0948554761393518"
"Etwas zu hoch","2010","Ländlicher Raum","241","0.100830350172343","0.0889678304672055","0.112692869877481"
"Viel zu hoch","2010","Städtischer Raum","53","0.01082777188021","0.00752289117948875","0.0141326525809313"
"Viel zu hoch","2010","Ländlicher Raum","53","0.0231777814916264","0.0172498362100458","0.029105726773207"
"Sehr günstig","2011","Städtischer Raum","475","0.112454925207586","0.103239748588084","0.121670101827088"
"Sehr günstig","2011","Ländlicher Raum","255","0.0822642634425321","0.0725336768650384","0.0919948500200259"
"Günstig","2011","Städtischer Raum","1303","0.294193517262372","0.28090187682088","0.307485157703864"
"Günstig","2011","Ländlicher Raum","895","0.295120302551881","0.278968104271714","0.311272500832047"
"Angemessen","2011","Städtischer Raum","2307","0.496507104219508","0.481923038230814","0.511091170208202"
"Angemessen","2011","Ländlicher Raum","1561","0.507540081794605","0.489835111208198","0.525245052381012"
"Etwas zu hoch","2011","Städtischer Raum","374","0.0855654177846409","0.0774062723901893","0.0937245631790924"
"Etwas zu hoch","2011","Ländlicher Raum","301","0.0978664061444731","0.0873437145850362","0.10838909770391"
"Viel zu hoch","2011","Städtischer Raum","56","0.0112790355258929","0.00819874225280364","0.0143593287989822"
"Viel zu hoch","2011","Ländlicher Raum","51","0.0172089460665094","0.0126033873168193","0.0218145048161995"
"Sehr günstig","2012","Städtischer Raum","464","0.105740765499454","0.0967008337793565","0.114780697219552"
"Sehr günstig","2012","Ländlicher Raum","253","0.0789506115575879","0.0693647642314841","0.0885364588836916"
"Günstig","2012","Städtischer Raum","1268","0.279891349734513","0.266693415481636","0.293089283987391"
"Günstig","2012","Ländlicher Raum","924","0.303196906308327","0.286857784248906","0.319536028367749"
"Angemessen","2012","Städtischer Raum","2274","0.513996078788248","0.499303027386486","0.52868913019001"
"Angemessen","2012","Ländlicher Raum","1542","0.508144513506843","0.490373030128115","0.525915996885571"
"Etwas zu hoch","2012","Städtischer Raum","378","0.0872564348932325","0.0789601180334868","0.0955527517529782"
"Etwas zu hoch","2012","Ländlicher Raum","266","0.0898753429699484","0.0797085958878082","0.100042090052089"
"Viel zu hoch","2012","Städtischer Raum","61","0.0131153710845517","0.00977083649204145","0.0164599056770619"
"Viel zu hoch","2012","Ländlicher Raum","55","0.0198326256572934","0.0148763947938214","0.0247888565207655"
"Sehr günstig","2013","Städtischer Raum","494","0.108203927638297","0.0992192718884968","0.117188583388097"
"Sehr günstig","2013","Ländlicher Raum","255","0.0904299273992439","0.080144918968906","0.100714935829582"
"Günstig","2013","Städtischer Raum","1345","0.304175473941484","0.290869118682191","0.317481829200778"
"Günstig","2013","Ländlicher Raum","877","0.294545748830751","0.278198627476305","0.310892870185197"
"Angemessen","2013","Städtischer Raum","2280","0.484614515257817","0.470159736399736","0.499069294115898"
"Angemessen","2013","Ländlicher Raum","1562","0.512458809960917","0.49453354358697","0.530384076334863"
"Etwas zu hoch","2013","Städtischer Raum","415","0.089621765302708","0.0813601526070369","0.0978833779983791"
"Etwas zu hoch","2013","Ländlicher Raum","246","0.0878389622417214","0.0776879386592135","0.0979899858242293"
"Viel zu hoch","2013","Städtischer Raum","58","0.0133843178596939","0.0100606372805245","0.0167079984388633"
"Viel zu hoch","2013","Ländlicher Raum","47","0.0147265515673673","0.0104067937358834","0.0190463093988511"
"Sehr günstig","2014","Städtischer Raum","460","0.118260506835192","0.108494580131495","0.12802643353889"
"Sehr günstig","2014","Ländlicher Raum","273","0.105993825840818","0.0944634911877059","0.117524160493931"
"Günstig","2014","Städtischer Raum","1284","0.312286658766168","0.29827131075408","0.326302006778257"
"Günstig","2014","Ländlicher Raum","784","0.286624245409504","0.269686835282344","0.303561655536664"
"Angemessen","2014","Städtischer Raum","2088","0.476756723178071","0.46165162030833","0.491861826047811"
"Angemessen","2014","Ländlicher Raum","1427","0.496889179392196","0.478161111814632","0.515617246969759"
"Etwas zu hoch","2014","Städtischer Raum","308","0.0787675397400725","0.0706208401438795","0.0869142393362656"
"Etwas zu hoch","2014","Ländlicher Raum","222","0.0980053622753691","0.0868686175188478","0.10914210703189"
"Viel zu hoch","2014","Städtischer Raum","60","0.0139285714804963","0.0103842678294525","0.0174728751315401"
"Viel zu hoch","2014","Ländlicher Raum","32","0.0124873870821129","0.00832791243195246","0.0166468617322734"
