year,bula_h,quintil_oecd,ple0187,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2021,Bremen,1st Quintile,No,0.93228,60,60,0.86816,0.99639
2021,North Rhine-Westphalia,1st Quintile,No,0.97179,1109,1109,0.96204,0.98154
2021,North Rhine-Westphalia,2nd Quintile,Yes,0.04623,36,730,0.03099,0.06148
2021,North Rhine-Westphalia,2nd Quintile,No,0.95377,694,730,0.93852,0.96901
2021,North Rhine-Westphalia,3rd Quintile,Yes,0.05553,37,618,0.03746,0.07360
2021,North Rhine-Westphalia,3rd Quintile,No,0.94447,581,618,0.92640,0.96254
2021,North Rhine-Westphalia,4th Quintile,Yes,0.05896,31,640,0.04070,0.07723
2021,North Rhine-Westphalia,4th Quintile,No,0.94104,609,640,0.92277,0.95930
2021,North Rhine-Westphalia,5th Quintile,Yes,0.05211,45,879,0.03741,0.06682
2021,North Rhine-Westphalia,5th Quintile,No,0.94789,834,879,0.93318,0.96259
2021,Hesse,1st Quintile,No,0.90124,365,365,0.87059,0.93189
2021,Hesse,2nd Quintile,No,0.97571,174,174,0.95276,0.99865
2021,Hesse,3rd Quintile,No,0.95485,178,178,0.92426,0.98544
2021,Hesse,4th Quintile,No,0.91574,199,199,0.87705,0.95443
2021,Hesse,5th Quintile,No,0.95951,327,327,0.93812,0.98091
2021,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.92463,250,250,0.89184,0.95742
2021,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.97323,182,182,0.94972,0.99675
2021,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.97628,179,179,0.95392,0.99863
2021,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.93545,149,149,0.89586,0.97504
2021,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.92484,163,163,0.88424,0.96544
2021,Baden-Wuerttemberg,1st Quintile,No,0.97533,411,411,0.96032,0.99035
2021,Baden-Wuerttemberg,2nd Quintile,No,0.96623,339,339,0.94697,0.98549
2021,Baden-Wuerttemberg,3rd Quintile,No,0.95776,331,331,0.93606,0.97946
2021,Baden-Wuerttemberg,4th Quintile,No,0.92160,386,386,0.89475,0.94845
2021,Baden-Wuerttemberg,5th Quintile,Yes,0.07269,37,631,0.05242,0.09297
2021,Baden-Wuerttemberg,5th Quintile,No,0.92731,594,631,0.90703,0.94758
2021,Bavaria,1st Quintile,No,0.97244,509,509,0.95821,0.98668
2021,Bavaria,2nd Quintile,No,0.96526,495,495,0.94911,0.98141
2021,Bavaria,3rd Quintile,No,0.96279,480,480,0.94584,0.97974
2021,Bavaria,4th Quintile,Yes,0.07565,34,545,0.05343,0.09787
2021,Bavaria,4th Quintile,No,0.92435,511,545,0.90213,0.94657
2021,Bavaria,5th Quintile,No,0.95140,702,702,0.93548,0.96732
2021,Berlin,1st Quintile,No,0.96024,230,230,0.93494,0.98555
2021,Berlin,2nd Quintile,No,0.97022,153,153,0.94320,0.99724
2021,Berlin,3rd Quintile,No,0.90248,109,109,0.84652,0.95843
2021,Berlin,4th Quintile,No,0.99367,142,142,0.98058,1.00676
2021,Berlin,5th Quintile,No,0.92691,195,195,0.89029,0.96354
2021,Brandenburg,1st Quintile,No,0.95098,160,160,0.91742,0.98454
2021,Brandenburg,2nd Quintile,No,0.98843,153,153,0.97144,1.00543
2021,Brandenburg,3rd Quintile,No,0.98745,129,129,0.96816,1.00674
2021,Brandenburg,4th Quintile,No,0.90806,100,100,0.85114,0.96498
2021,Brandenburg,5th Quintile,No,0.97671,123,123,0.94995,1.00347
2021,Mecklenburg-Western Pomerania,1st Quintile,No,0.96743,101,101,0.93264,1.00222
2021,Mecklenburg-Western Pomerania,2nd Quintile,No,0.89717,103,103,0.83822,0.95612
2021,Mecklenburg-Western Pomerania,3rd Quintile,No,0.94404,61,61,0.88587,1.00220
2021,Mecklenburg-Western Pomerania,4th Quintile,No,0.98395,56,56,0.95074,1.01716
2021,Mecklenburg-Western Pomerania,5th Quintile,No,0.97385,65,65,0.93475,1.01295
2021,Saxony,1st Quintile,No,0.95102,274,274,0.92542,0.97662
2021,Saxony,2nd Quintile,No,0.95226,258,258,0.92620,0.97833
2021,Saxony,3rd Quintile,No,0.99460,253,253,0.98554,1.00365
2021,Saxony,4th Quintile,No,0.94533,169,169,0.91095,0.97970
2021,Saxony,5th Quintile,No,0.96418,167,167,0.93591,0.99245
2021,Saxony-Anhalt,1st Quintile,No,0.97407,181,181,0.95085,0.99728
2021,Saxony-Anhalt,2nd Quintile,No,0.99562,133,133,0.98435,1.00689
2021,Saxony-Anhalt,3rd Quintile,No,0.98619,88,88,0.96167,1.01071
2021,Saxony-Anhalt,4th Quintile,No,0.97841,88,88,0.94786,1.00895
2021,Saxony-Anhalt,5th Quintile,No,0.98964,84,84,0.96785,1.01142
2021,Thuringa,1st Quintile,No,0.96185,171,171,0.93305,0.99064
2021,Thuringa,2nd Quintile,No,0.92144,148,148,0.87795,0.96494
2021,Thuringa,3rd Quintile,No,0.97785,87,87,0.94674,1.00895
2021,Thuringa,4th Quintile,No,0.93439,93,93,0.88379,0.98498
2021,Thuringa,5th Quintile,No,0.98330,106,106,0.95880,1.00781
