,Unnamed: 0,year,pgisced97,quintil_oecd,ple0187,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
54,54,2019,Upper Secondary Level,1st Quintile,No,0.96539,1984,21958,0.91086,1.02199
55,55,2019,Upper Secondary Level,2nd Quintile,Yes,0.03213,81,21958,0.02302,0.04019
56,56,2019,Upper Secondary Level,2nd Quintile,No,0.96787,2479,21958,0.92238,1.01048
57,57,2019,Upper Secondary Level,3rd Quintile,Yes,0.03725,80,21958,0.02876,0.04607
58,58,2019,Upper Secondary Level,3rd Quintile,No,0.96275,2171,21958,0.92102,1.00811
59,59,2019,Upper Secondary Level,4th Quintile,Yes,0.03771,68,21958,0.02838,0.05023
60,60,2019,Upper Secondary Level,4th Quintile,No,0.96229,1852,21958,0.92186,1.01268
61,61,2019,Upper Secondary Level,5th Quintile,Yes,0.04623,57,21958,0.03551,0.05885
62,62,2019,Upper Secondary Level,5th Quintile,No,0.95377,1396,21958,0.89795,1.01133
63,63,2019,Post-secondary Non-tertiary Level,1st Quintile,No,1.0,289,21958,0.86076,1.13792
64,64,2019,Post-secondary Non-tertiary Level,2nd Quintile,No,1.0,401,21958,0.89938,1.1293
65,65,2019,Post-secondary Non-tertiary Level,3rd Quintile,No,1.0,432,21958,0.87444,1.11578
66,66,2019,Post-secondary Non-tertiary Level,4th Quintile,No,1.0,356,21958,0.8927,1.14567
67,67,2019,Post-secondary Non-tertiary Level,5th Quintile,No,1.0,336,21958,0.88394,1.1117
68,68,2019,First Stage of Tertiary Education,1st Quintile,No,1.0,86,21958,0.78822,1.20691
69,69,2019,First Stage of Tertiary Education,2nd Quintile,No,1.0,228,21958,0.86743,1.15827
70,70,2019,First Stage of Tertiary Education,3rd Quintile,No,1.0,271,21958,0.85074,1.16317
71,71,2019,First Stage of Tertiary Education,4th Quintile,No,1.0,327,21958,0.86375,1.14059
72,72,2019,First Stage of Tertiary Education,5th Quintile,No,1.0,358,21958,0.88148,1.11963
73,73,2019,Second Stage of Tertiary Education,1st Quintile,No,1.0,466,21958,0.89658,1.10775
74,74,2019,Second Stage of Tertiary Education,2nd Quintile,No,1.0,600,21958,0.88508,1.10145
75,75,2019,Second Stage of Tertiary Education,3rd Quintile,Yes,0.03236,34,21958,0.02389,0.04162
76,76,2019,Second Stage of Tertiary Education,3rd Quintile,No,0.96764,933,21958,0.90016,1.03086
77,77,2019,Second Stage of Tertiary Education,4th Quintile,Yes,0.04913,55,21958,0.03435,0.06511
78,78,2019,Second Stage of Tertiary Education,4th Quintile,No,0.95087,1222,21958,0.88067,1.01496
79,79,2019,Second Stage of Tertiary Education,5th Quintile,Yes,0.03825,100,21958,0.03128,0.04717
80,80,2019,Second Stage of Tertiary Education,5th Quintile,No,0.96175,2304,21958,0.91993,1.00449
81,81,2021,Pre-primary Level,1st Quintile,No,1.0,48,17756,0.43006,1.63298
82,82,2021,Pre-primary Level,2nd Quintile,No,1.0,35,17756,0.63608,1.4463
83,83,2021,Pre-primary Level,4th Quintile,No,1.0,40,17756,0.60672,1.57316
84,84,2021,Primary Level,1st Quintile,No,1.0,681,17756,0.8423,1.24343
85,85,2021,Primary Level,2nd Quintile,No,1.0,102,17756,0.55741,1.43974
86,86,2021,Lower Secondary Level,1st Quintile,No,1.0,801,17756,0.85757,1.11325
87,87,2021,Lower Secondary Level,2nd Quintile,No,1.0,393,17756,0.86574,1.12634
88,88,2021,Lower Secondary Level,3rd Quintile,No,1.0,219,17756,0.84134,1.15087
89,89,2021,Lower Secondary Level,4th Quintile,No,1.0,138,17756,0.80922,1.24609
90,90,2021,Lower Secondary Level,5th Quintile,No,1.0,86,17756,0.7461,1.33672
91,91,2021,Upper Secondary Level,1st Quintile,Yes,0.05136,70,17756,0.03797,0.06757
92,92,2021,Upper Secondary Level,1st Quintile,No,0.94864,1666,17756,0.89153,1.0005
93,93,2021,Upper Secondary Level,2nd Quintile,Yes,0.03797,75,17756,0.02852,0.04783
94,94,2021,Upper Secondary Level,2nd Quintile,No,0.96203,1641,17756,0.89999,1.02447
95,95,2021,Upper Secondary Level,3rd Quintile,Yes,0.04707,66,17756,0.03512,0.05925
96,96,2021,Upper Secondary Level,3rd Quintile,No,0.95293,1303,17756,0.89126,1.03437
97,97,2021,Upper Secondary Level,4th Quintile,Yes,0.05366,71,17756,0.03911,0.0705
98,98,2021,Upper Secondary Level,4th Quintile,No,0.94634,1227,17756,0.88143,1.01145
99,99,2021,Upper Secondary Level,5th Quintile,Yes,0.06622,69,17756,0.04972,0.08357
100,100,2021,Upper Secondary Level,5th Quintile,No,0.93378,1056,17756,0.85622,1.00601
101,101,2021,Post-secondary Non-tertiary Level,1st Quintile,No,1.0,277,17756,0.85738,1.19162
102,102,2021,Post-secondary Non-tertiary Level,2nd Quintile,No,1.0,337,17756,0.85496,1.14202
103,103,2021,Post-secondary Non-tertiary Level,3rd Quintile,No,1.0,313,17756,0.85127,1.12909
104,104,2021,Post-secondary Non-tertiary Level,4th Quintile,No,1.0,276,17756,0.84737,1.15068
105,105,2021,Post-secondary Non-tertiary Level,5th Quintile,No,1.0,294,17756,0.83623,1.17769
106,106,2021,First Stage of Tertiary Education,1st Quintile,No,1.0,77,17756,0.71794,1.30945
107,107,2021,First Stage of Tertiary Education,2nd Quintile,No,1.0,165,17756,0.82789,1.1734
108,108,2021,First Stage of Tertiary Education,3rd Quintile,No,1.0,175,17756,0.82589,1.18961
109,109,2021,First Stage of Tertiary Education,4th Quintile,No,1.0,223,17756,0.83806,1.16523
110,110,2021,First Stage of Tertiary Education,5th Quintile,No,1.0,289,17756,0.83569,1.17748
111,111,2021,Second Stage of Tertiary Education,1st Quintile,No,1.0,709,17756,0.87652,1.14209
112,112,2021,Second Stage of Tertiary Education,2nd Quintile,No,1.0,636,17756,0.8756,1.11534
113,113,2021,Second Stage of Tertiary Education,3rd Quintile,Yes,0.04105,45,17756,0.0275,0.05595
114,114,2021,Second Stage of Tertiary Education,3rd Quintile,No,0.95895,738,17756,0.88584,1.04417
115,115,2021,Second Stage of Tertiary Education,4th Quintile,Yes,0.06391,49,17756,0.03809,0.08893
116,116,2021,Second Stage of Tertiary Education,4th Quintile,No,0.93609,1103,17756,0.86482,1.0165
117,117,2021,Second Stage of Tertiary Education,5th Quintile,Yes,0.0509,102,17756,0.03881,0.0665
118,118,2021,Second Stage of Tertiary Education,5th Quintile,No,0.9491,2161,17756,0.89615,1.01256
