,Unnamed: 0,year,pgisced97,quintil_oecd,pli0098_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
75,75,1992,Lower Secondary Level,1st Quintile,Never,0.55475,411,12177,0.51767,0.5984
76,76,1992,Lower Secondary Level,2nd Quintile,At least once per week,0.18623,100,12177,0.16067,0.21115
77,77,1992,Lower Secondary Level,2nd Quintile,At least once per month,0.11861,71,12177,0.09532,0.13967
78,78,1992,Lower Secondary Level,2nd Quintile,Seldom,0.27617,160,12177,0.249,0.30254
79,79,1992,Lower Secondary Level,2nd Quintile,Never,0.41899,319,12177,0.38629,0.45345
80,80,1992,Lower Secondary Level,3rd Quintile,At least once per week,0.1743,85,12177,0.15033,0.20037
81,81,1992,Lower Secondary Level,3rd Quintile,At least once per month,0.12606,73,12177,0.10546,0.14768
82,82,1992,Lower Secondary Level,3rd Quintile,Seldom,0.25306,129,12177,0.22056,0.28572
83,83,1992,Lower Secondary Level,3rd Quintile,Never,0.44657,273,12177,0.41127,0.48906
84,84,1992,Lower Secondary Level,4th Quintile,At least once per week,0.12375,68,12177,0.10503,0.14241
85,85,1992,Lower Secondary Level,4th Quintile,At least once per month,0.1036,63,12177,0.08599,0.12122
86,86,1992,Lower Secondary Level,4th Quintile,Seldom,0.28481,152,12177,0.25483,0.31761
87,87,1992,Lower Secondary Level,4th Quintile,Never,0.48784,257,12177,0.44814,0.54074
88,88,1992,Lower Secondary Level,5th Quintile,At least once per week,0.13718,38,12177,0.11076,0.16071
89,89,1992,Lower Secondary Level,5th Quintile,At least once per month,0.11377,34,12177,0.09074,0.14682
90,90,1992,Lower Secondary Level,5th Quintile,Seldom,0.32412,92,12177,0.29421,0.35414
91,91,1992,Lower Secondary Level,5th Quintile,Never,0.42494,123,12177,0.38482,0.47398
92,92,1992,Upper Secondary Level,1st Quintile,At least once per week,0.08241,95,12177,0.06899,0.09531
93,93,1992,Upper Secondary Level,1st Quintile,At least once per month,0.06266,82,12177,0.054,0.07128
94,94,1992,Upper Secondary Level,1st Quintile,Seldom,0.16491,207,12177,0.15224,0.18023
95,95,1992,Upper Secondary Level,1st Quintile,Never,0.69001,1000,12177,0.66232,0.71649
96,96,1992,Upper Secondary Level,2nd Quintile,At least once per week,0.09021,114,12177,0.0787,0.10356
97,97,1992,Upper Secondary Level,2nd Quintile,At least once per month,0.08902,109,12177,0.07894,0.09961
98,98,1992,Upper Secondary Level,2nd Quintile,Seldom,0.25609,330,12177,0.23652,0.27754
99,99,1992,Upper Secondary Level,2nd Quintile,Never,0.56468,865,12177,0.53919,0.59103
100,100,1992,Upper Secondary Level,3rd Quintile,At least once per week,0.11063,136,12177,0.09817,0.1226
101,101,1992,Upper Secondary Level,3rd Quintile,At least once per month,0.09034,118,12177,0.0811,0.10133
102,102,1992,Upper Secondary Level,3rd Quintile,Seldom,0.31451,383,12177,0.29582,0.33268
103,103,1992,Upper Secondary Level,3rd Quintile,Never,0.48452,673,12177,0.45937,0.51032
104,104,1992,Upper Secondary Level,4th Quintile,At least once per week,0.08862,115,12177,0.07827,0.09713
105,105,1992,Upper Secondary Level,4th Quintile,At least once per month,0.08501,128,12177,0.07561,0.09374
106,106,1992,Upper Secondary Level,4th Quintile,Seldom,0.3442,476,12177,0.32473,0.36448
107,107,1992,Upper Secondary Level,4th Quintile,Never,0.48217,669,12177,0.4603,0.5056
108,108,1992,Upper Secondary Level,5th Quintile,At least once per week,0.10148,105,12177,0.09213,0.11273
109,109,1992,Upper Secondary Level,5th Quintile,At least once per month,0.07068,90,12177,0.06392,0.07682
110,110,1992,Upper Secondary Level,5th Quintile,Seldom,0.3278,376,12177,0.31182,0.34399
111,111,1992,Upper Secondary Level,5th Quintile,Never,0.50004,584,12177,0.4772,0.52458
112,112,1992,Post-secondary Non-tertiary Level,1st Quintile,Never,1.0,38,12177,0.74421,1.23442
113,113,1992,Post-secondary Non-tertiary Level,2nd Quintile,Never,1.0,35,12177,0.7159,1.34011
114,114,1992,Post-secondary Non-tertiary Level,3rd Quintile,Never,1.0,38,12177,0.8203,1.26973
115,115,1992,Post-secondary Non-tertiary Level,4th Quintile,Never,1.0,56,12177,0.75892,1.2232
116,116,1992,Post-secondary Non-tertiary Level,5th Quintile,Never,1.0,53,12177,0.82751,1.19988
117,117,1992,First Stage of Tertiary Education,1st Quintile,Never,1.0,57,12177,0.81937,1.26177
118,118,1992,First Stage of Tertiary Education,2nd Quintile,Seldom,0.30583,37,12177,0.2518,0.38223
119,119,1992,First Stage of Tertiary Education,2nd Quintile,Never,0.69417,82,12177,0.57667,0.83089
120,120,1992,First Stage of Tertiary Education,3rd Quintile,Seldom,0.44379,48,12177,0.35662,0.51482
121,121,1992,First Stage of Tertiary Education,3rd Quintile,Never,0.55621,69,12177,0.4666,0.64572
122,122,1992,First Stage of Tertiary Education,4th Quintile,Seldom,0.44023,51,12177,0.38094,0.51551
123,123,1992,First Stage of Tertiary Education,4th Quintile,Never,0.55977,69,12177,0.48802,0.65907
124,124,1992,First Stage of Tertiary Education,5th Quintile,At least once per week,0.19384,32,12177,0.15291,0.23983
125,125,1992,First Stage of Tertiary Education,5th Quintile,Seldom,0.30792,63,12177,0.27478,0.34437
126,126,1992,First Stage of Tertiary Education,5th Quintile,Never,0.49824,104,12177,0.44699,0.54486
127,127,1992,Second Stage of Tertiary Education,1st Quintile,Seldom,0.17426,41,12177,0.13636,0.21393
128,128,1992,Second Stage of Tertiary Education,1st Quintile,Never,0.82574,184,12177,0.75492,0.90011
129,129,1992,Second Stage of Tertiary Education,2nd Quintile,Seldom,0.2457,57,12177,0.20361,0.29746
130,130,1992,Second Stage of Tertiary Education,2nd Quintile,Never,0.7543,224,12177,0.68251,0.84019
131,131,1992,Second Stage of Tertiary Education,3rd Quintile,Seldom,0.1798,56,12177,0.1537,0.21152
132,132,1992,Second Stage of Tertiary Education,3rd Quintile,Never,0.8202,226,12177,0.75836,0.90185
133,133,1992,Second Stage of Tertiary Education,4th Quintile,At least once per week,0.16249,33,12177,0.14253,0.18584
134,134,1992,Second Stage of Tertiary Education,4th Quintile,Seldom,0.2765,60,12177,0.23374,0.32296
135,135,1992,Second Stage of Tertiary Education,4th Quintile,Never,0.561,153,12177,0.50004,0.62935
136,136,1992,Second Stage of Tertiary Education,5th Quintile,At least once per week,0.12533,56,12177,0.10774,0.14034
137,137,1992,Second Stage of Tertiary Education,5th Quintile,At least once per month,0.10042,42,12177,0.08215,0.12287
138,138,1992,Second Stage of Tertiary Education,5th Quintile,Seldom,0.29918,150,12177,0.2705,0.32332
139,139,1992,Second Stage of Tertiary Education,5th Quintile,Never,0.47507,247,12177,0.44509,0.50356
140,140,1994,Pre-primary Level,2nd Quintile,Never,1.0,34,11777,0.76138,1.19477
141,141,1994,Pre-primary Level,3rd Quintile,Never,1.0,35,11777,0.82855,1.16934
142,142,1994,Primary Level,1st Quintile,At least once per week,0.18021,46,11777,0.14745,0.21639
143,143,1994,Primary Level,1st Quintile,Seldom,0.27688,44,11777,0.20684,0.35864
144,144,1994,Primary Level,1st Quintile,Never,0.54291,83,11777,0.46172,0.64665
145,145,1994,Primary Level,2nd Quintile,At least once per week,0.18303,34,11777,0.13772,0.22937
146,146,1994,Primary Level,2nd Quintile,Seldom,0.24262,34,11777,0.17084,0.32826
147,147,1994,Primary Level,2nd Quintile,Never,0.57436,58,11777,0.44834,0.72006
148,148,1994,Primary Level,3rd Quintile,Seldom,0.45903,37,11777,0.35145,0.57695
149,149,1994,Primary Level,3rd Quintile,Never,0.54097,38,11777,0.38348,0.75426
150,150,1994,Lower Secondary Level,1st Quintile,At least once per week,0.15434,106,11777,0.12825,0.1802
151,151,1994,Lower Secondary Level,1st Quintile,At least once per month,0.0976,76,11777,0.07909,0.11498
152,152,1994,Lower Secondary Level,1st Quintile,Seldom,0.2308,149,11777,0.20575,0.26017
153,153,1994,Lower Secondary Level,1st Quintile,Never,0.51726,385,11777,0.47736,0.55859
154,154,1994,Lower Secondary Level,2nd Quintile,At least once per week,0.15994,83,11777,0.13748,0.18809
155,155,1994,Lower Secondary Level,2nd Quintile,At least once per month,0.12418,67,11777,0.10164,0.14937
156,156,1994,Lower Secondary Level,2nd Quintile,Seldom,0.29178,158,11777,0.25621,0.33413
157,157,1994,Lower Secondary Level,2nd Quintile,Never,0.4241,261,11777,0.38735,0.46815
158,158,1994,Lower Secondary Level,3rd Quintile,At least once per week,0.1639,75,11777,0.13757,0.19038
159,159,1994,Lower Secondary Level,3rd Quintile,At least once per month,0.12357,63,11777,0.10286,0.14429
160,160,1994,Lower Secondary Level,3rd Quintile,Seldom,0.23728,135,11777,0.21169,0.26285
161,161,1994,Lower Secondary Level,3rd Quintile,Never,0.47525,259,11777,0.43864,0.51513
162,162,1994,Lower Secondary Level,4th Quintile,At least once per week,0.13627,49,11777,0.11241,0.15987
163,163,1994,Lower Secondary Level,4th Quintile,At least once per month,0.10067,52,11777,0.08243,0.11879
164,164,1994,Lower Secondary Level,4th Quintile,Seldom,0.31461,126,11777,0.27134,0.35579
165,165,1994,Lower Secondary Level,4th Quintile,Never,0.44844,180,11777,0.40601,0.49646
166,166,1994,Lower Secondary Level,5th Quintile,At least once per week,0.15836,35,11777,0.13542,0.17815
167,167,1994,Lower Secondary Level,5th Quintile,At least once per month,0.13172,36,11777,0.09941,0.16522
168,168,1994,Lower Secondary Level,5th Quintile,Seldom,0.26533,70,11777,0.23222,0.3057
169,169,1994,Lower Secondary Level,5th Quintile,Never,0.44459,107,11777,0.38522,0.50456
170,170,1994,Upper Secondary Level,1st Quintile,At least once per week,0.10552,112,11777,0.09072,0.12131
171,171,1994,Upper Secondary Level,1st Quintile,At least once per month,0.07575,80,11777,0.06455,0.09057
172,172,1994,Upper Secondary Level,1st Quintile,Seldom,0.21132,236,11777,0.19337,0.23066
173,173,1994,Upper Secondary Level,1st Quintile,Never,0.60741,763,11777,0.57326,0.63286
174,174,1994,Upper Secondary Level,2nd Quintile,At least once per week,0.07745,105,11777,0.06673,0.0861
175,175,1994,Upper Secondary Level,2nd Quintile,At least once per month,0.09017,112,11777,0.0794,0.1002
176,176,1994,Upper Secondary Level,2nd Quintile,Seldom,0.28036,383,11777,0.26179,0.30036
177,177,1994,Upper Secondary Level,2nd Quintile,Never,0.55202,830,11777,0.52693,0.57622
178,178,1994,Upper Secondary Level,3rd Quintile,At least once per week,0.09485,122,11777,0.08347,0.10987
179,179,1994,Upper Secondary Level,3rd Quintile,At least once per month,0.09357,123,11777,0.08299,0.10381
180,180,1994,Upper Secondary Level,3rd Quintile,Seldom,0.30173,385,11777,0.28078,0.32212
181,181,1994,Upper Secondary Level,3rd Quintile,Never,0.50985,731,11777,0.48141,0.53492
182,182,1994,Upper Secondary Level,4th Quintile,At least once per week,0.10655,125,11777,0.09541,0.11761
183,183,1994,Upper Secondary Level,4th Quintile,At least once per month,0.09257,131,11777,0.07986,0.10337
184,184,1994,Upper Secondary Level,4th Quintile,Seldom,0.31593,412,11777,0.29741,0.33258
185,185,1994,Upper Secondary Level,4th Quintile,Never,0.48496,697,11777,0.46263,0.51025
186,186,1994,Upper Secondary Level,5th Quintile,At least once per week,0.09251,98,11777,0.08256,0.10184
187,187,1994,Upper Secondary Level,5th Quintile,At least once per month,0.07827,106,11777,0.07039,0.08886
188,188,1994,Upper Secondary Level,5th Quintile,Seldom,0.32744,373,11777,0.30575,0.34297
189,189,1994,Upper Secondary Level,5th Quintile,Never,0.50178,602,11777,0.47534,0.53536
190,190,1994,Post-secondary Non-tertiary Level,1st Quintile,Never,1.0,39,11777,0.74392,1.38086
191,191,1994,Post-secondary Non-tertiary Level,3rd Quintile,Never,1.0,49,11777,0.82018,1.21935
192,192,1994,Post-secondary Non-tertiary Level,4th Quintile,Seldom,0.43851,35,11777,0.34944,0.53381
193,193,1994,Post-secondary Non-tertiary Level,4th Quintile,Never,0.56149,46,11777,0.43105,0.70729
194,194,1994,Post-secondary Non-tertiary Level,5th Quintile,Never,1.0,47,11777,0.80724,1.21088
195,195,1994,First Stage of Tertiary Education,1st Quintile,Never,1.0,44,11777,0.78814,1.27992
196,196,1994,First Stage of Tertiary Education,2nd Quintile,Seldom,0.37099,41,11777,0.29643,0.44246
197,197,1994,First Stage of Tertiary Education,2nd Quintile,Never,0.62901,67,11777,0.53397,0.74829
198,198,1994,First Stage of Tertiary Education,3rd Quintile,Seldom,0.24663,36,11777,0.20799,0.3087
199,199,1994,First Stage of Tertiary Education,3rd Quintile,Never,0.75337,93,11777,0.63044,0.85299
200,200,1994,First Stage of Tertiary Education,4th Quintile,Seldom,0.38337,49,11777,0.33257,0.44428
201,201,1994,First Stage of Tertiary Education,4th Quintile,Never,0.61663,77,11777,0.51484,0.7273
202,202,1994,First Stage of Tertiary Education,5th Quintile,Seldom,0.45053,76,11777,0.39497,0.52073
203,203,1994,First Stage of Tertiary Education,5th Quintile,Never,0.54947,85,11777,0.48875,0.6174
204,204,1994,Second Stage of Tertiary Education,1st Quintile,Never,1.0,87,11777,0.83611,1.13872
205,205,1994,Second Stage of Tertiary Education,2nd Quintile,Seldom,0.23959,49,11777,0.19958,0.28699
206,206,1994,Second Stage of Tertiary Education,2nd Quintile,Never,0.76041,175,11777,0.67431,0.84936
207,207,1994,Second Stage of Tertiary Education,3rd Quintile,Seldom,0.25291,82,11777,0.2153,0.28888
208,208,1994,Second Stage of Tertiary Education,3rd Quintile,Never,0.74709,228,11777,0.67044,0.83368
209,209,1994,Second Stage of Tertiary Education,4th Quintile,At least once per week,0.12504,32,11777,0.10121,0.14917
210,210,1994,Second Stage of Tertiary Education,4th Quintile,At least once per month,0.10039,31,11777,0.08556,0.1136
211,211,1994,Second Stage of Tertiary Education,4th Quintile,Seldom,0.22694,77,11777,0.18881,0.26301
212,212,1994,Second Stage of Tertiary Education,4th Quintile,Never,0.54763,213,11777,0.49982,0.60305
213,213,1994,Second Stage of Tertiary Education,5th Quintile,At least once per week,0.11778,64,11777,0.10148,0.13536
214,214,1994,Second Stage of Tertiary Education,5th Quintile,At least once per month,0.09286,47,11777,0.07693,0.11342
215,215,1994,Second Stage of Tertiary Education,5th Quintile,Seldom,0.29994,175,11777,0.27172,0.33114
216,216,1994,Second Stage of Tertiary Education,5th Quintile,Never,0.48942,292,11777,0.45015,0.51902
217,217,1995,Pre-primary Level,1st Quintile,Never,1.0,43,12052,0.79444,1.2232
218,218,1995,Pre-primary Level,2nd Quintile,Never,1.0,31,12052,0.79184,1.23218
219,219,1995,Pre-primary Level,3rd Quintile,Never,1.0,38,12052,0.81761,1.19022
220,220,1995,Primary Level,1st Quintile,At least once per week,0.20019,44,12052,0.15934,0.24272
221,221,1995,Primary Level,1st Quintile,Seldom,0.23294,33,12052,0.16371,0.30888
222,222,1995,Primary Level,1st Quintile,Never,0.56687,87,12052,0.47501,0.67288
223,223,1995,Primary Level,2nd Quintile,At least once per week,0.32887,44,12052,0.26186,0.41044
224,224,1995,Primary Level,2nd Quintile,Never,0.67113,63,12052,0.56172,0.82822
225,225,1995,Primary Level,4th Quintile,Never,1.0,34,12052,0.65285,1.40031
226,226,1995,Lower Secondary Level,1st Quintile,At least once per week,0.16339,119,12052,0.13589,0.1887
227,227,1995,Lower Secondary Level,1st Quintile,At least once per month,0.10982,80,12052,0.08898,0.13116
228,228,1995,Lower Secondary Level,1st Quintile,Seldom,0.22133,164,12052,0.19485,0.24634
229,229,1995,Lower Secondary Level,1st Quintile,Never,0.50546,355,12052,0.46486,0.55023
230,230,1995,Lower Secondary Level,2nd Quintile,At least once per week,0.17898,102,12052,0.15495,0.20277
231,231,1995,Lower Secondary Level,2nd Quintile,At least once per month,0.12116,72,12052,0.0987,0.14377
232,232,1995,Lower Secondary Level,2nd Quintile,Seldom,0.26476,153,12052,0.23315,0.30004
233,233,1995,Lower Secondary Level,2nd Quintile,Never,0.4351,272,12052,0.38994,0.48556
234,234,1995,Lower Secondary Level,3rd Quintile,At least once per week,0.16987,74,12052,0.14534,0.19417
235,235,1995,Lower Secondary Level,3rd Quintile,At least once per month,0.15338,78,12052,0.12529,0.1807
236,236,1995,Lower Secondary Level,3rd Quintile,Seldom,0.26704,130,12052,0.23042,0.30104
237,237,1995,Lower Secondary Level,3rd Quintile,Never,0.40972,211,12052,0.36918,0.44936
238,238,1995,Lower Secondary Level,4th Quintile,At least once per week,0.16509,55,12052,0.13587,0.19284
239,239,1995,Lower Secondary Level,4th Quintile,At least once per month,0.10297,52,12052,0.08338,0.12398
240,240,1995,Lower Secondary Level,4th Quintile,Seldom,0.28862,117,12052,0.25572,0.32746
241,241,1995,Lower Secondary Level,4th Quintile,Never,0.44332,193,12052,0.3998,0.49128
242,242,1995,Lower Secondary Level,5th Quintile,At least once per week,0.18989,48,12052,0.16319,0.22037
243,243,1995,Lower Secondary Level,5th Quintile,At least once per month,0.12711,37,12052,0.09998,0.15434
244,244,1995,Lower Secondary Level,5th Quintile,Seldom,0.33029,76,12052,0.26332,0.38705
245,245,1995,Lower Secondary Level,5th Quintile,Never,0.35271,88,12052,0.31616,0.39941
246,246,1995,Upper Secondary Level,1st Quintile,At least once per week,0.09914,129,12052,0.08772,0.11423
247,247,1995,Upper Secondary Level,1st Quintile,At least once per month,0.08956,95,12052,0.0741,0.10647
248,248,1995,Upper Secondary Level,1st Quintile,Seldom,0.20463,226,12052,0.18325,0.22924
249,249,1995,Upper Secondary Level,1st Quintile,Never,0.60667,728,12052,0.57858,0.63947
250,250,1995,Upper Secondary Level,2nd Quintile,At least once per week,0.10947,143,12052,0.09661,0.12204
251,251,1995,Upper Secondary Level,2nd Quintile,At least once per month,0.09884,139,12052,0.08521,0.10971
252,252,1995,Upper Secondary Level,2nd Quintile,Seldom,0.25986,344,12052,0.23906,0.27823
253,253,1995,Upper Secondary Level,2nd Quintile,Never,0.53183,850,12052,0.50862,0.55669
254,254,1995,Upper Secondary Level,3rd Quintile,At least once per week,0.10708,131,12052,0.09611,0.12245
255,255,1995,Upper Secondary Level,3rd Quintile,At least once per month,0.08275,109,12052,0.06966,0.09413
256,256,1995,Upper Secondary Level,3rd Quintile,Seldom,0.27762,404,12052,0.25553,0.29705
257,257,1995,Upper Secondary Level,3rd Quintile,Never,0.53255,787,12052,0.50152,0.55687
258,258,1995,Upper Secondary Level,4th Quintile,At least once per week,0.09196,122,12052,0.08076,0.10294
259,259,1995,Upper Secondary Level,4th Quintile,At least once per month,0.08983,128,12052,0.08197,0.10097
260,260,1995,Upper Secondary Level,4th Quintile,Seldom,0.33942,458,12052,0.32143,0.36429
261,261,1995,Upper Secondary Level,4th Quintile,Never,0.4788,714,12052,0.45335,0.50414
262,262,1995,Upper Secondary Level,5th Quintile,At least once per week,0.10947,113,12052,0.09437,0.12067
263,263,1995,Upper Secondary Level,5th Quintile,At least once per month,0.08841,109,12052,0.07786,0.10182
264,264,1995,Upper Secondary Level,5th Quintile,Seldom,0.28532,326,12052,0.26542,0.30816
265,265,1995,Upper Secondary Level,5th Quintile,Never,0.5168,619,12052,0.48653,0.54426
266,266,1995,Post-secondary Non-tertiary Level,1st Quintile,Never,1.0,50,12052,0.76787,1.20705
267,267,1995,Post-secondary Non-tertiary Level,2nd Quintile,Never,1.0,34,12052,0.78913,1.23123
268,268,1995,Post-secondary Non-tertiary Level,3rd Quintile,Never,1.0,52,12052,0.79373,1.22964
269,269,1995,Post-secondary Non-tertiary Level,4th Quintile,Seldom,0.34757,31,12052,0.27996,0.42023
270,270,1995,Post-secondary Non-tertiary Level,4th Quintile,Never,0.65243,58,12052,0.53197,0.79547
271,271,1995,Post-secondary Non-tertiary Level,5th Quintile,Never,1.0,42,12052,0.79587,1.20054
272,272,1995,First Stage of Tertiary Education,1st Quintile,Never,1.0,39,12052,0.72284,1.32807
273,273,1995,First Stage of Tertiary Education,2nd Quintile,Seldom,0.33202,34,12052,0.25635,0.4298
274,274,1995,First Stage of Tertiary Education,2nd Quintile,Never,0.66798,72,12052,0.56382,0.76352
275,275,1995,First Stage of Tertiary Education,3rd Quintile,Seldom,0.40496,51,12052,0.30694,0.51305
276,276,1995,First Stage of Tertiary Education,3rd Quintile,Never,0.59504,87,12052,0.50989,0.6993
277,277,1995,First Stage of Tertiary Education,4th Quintile,Seldom,0.42547,66,12052,0.37271,0.50521
278,278,1995,First Stage of Tertiary Education,4th Quintile,Never,0.57453,79,12052,0.48652,0.6788
