"pli0098_h","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Taeglich","1994","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Taeglich","1994","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Taeglich","1994","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Min 1x pro Woche","1994","Westdeutschland, alte Bundeslaender","maennlich","524","0.105745717456216","0.0966759643073681","0.114815470605064"
"Min 1x pro Woche","1994","Westdeutschland, alte Bundeslaender","weiblich","682","0.157287846315744","0.146860513779937","0.167715178851551"
"Min 1x pro Woche","1994","Ostdeutschland, neue Bundeslaender","maennlich","64","0.0346622343842277","0.0261715959909888","0.0431528727774665"
"Min 1x pro Woche","1994","Ostdeutschland, neue Bundeslaender","weiblich","77","0.0355919106758934","0.0274271958388897","0.0437566255128972"
"Min 1x pro Monat","1994","Westdeutschland, alte Bundeslaender","maennlich","463","0.0934740273618145","0.0848884568015914","0.102059597922038"
"Min 1x pro Monat","1994","Westdeutschland, alte Bundeslaender","weiblich","582","0.109775122615653","0.100821725636927","0.118728519594379"
"Min 1x pro Monat","1994","Ostdeutschland, neue Bundeslaender","maennlich","44","0.0211488016781407","0.0144703830283747","0.0278272203279067"
"Min 1x pro Monat","1994","Ostdeutschland, neue Bundeslaender","weiblich","88","0.0499872822570456","0.0403837849335989","0.0595907795804923"
"Seltener","1994","Westdeutschland, alte Bundeslaender","maennlich","1358","0.31297032145359","0.299293887082733","0.326646755824448"
"Seltener","1994","Westdeutschland, alte Bundeslaender","weiblich","1490","0.312699808168466","0.299422102046311","0.325977514290621"
"Seltener","1994","Ostdeutschland, neue Bundeslaender","maennlich","257","0.143984437182329","0.127688812023362","0.160280062341295"
"Seltener","1994","Ostdeutschland, neue Bundeslaender","weiblich","337","0.154602847320358","0.138670708501935","0.17053498613878"
"Nie","1994","Westdeutschland, alte Bundeslaender","maennlich","2071","0.487809933728379","0.473067321101167","0.502552546355592"
"Nie","1994","Westdeutschland, alte Bundeslaender","weiblich","1929","0.420237222900137","0.406100184575689","0.434374261224585"
"Nie","1994","Ostdeutschland, neue Bundeslaender","maennlich","1418","0.800204526755303","0.781645049341305","0.818764004169301"
"Nie","1994","Ostdeutschland, neue Bundeslaender","weiblich","1476","0.759817959746703","0.740991875857237","0.778644043636169"
"Taeglich","1995","Westdeutschland, alte Bundeslaender","maennlich","48","0.00674523164860262","0.00439337780672393","0.00909708549048131"
"Taeglich","1995","Westdeutschland, alte Bundeslaender","weiblich","38","0.00795195318354088","0.00547692358883994","0.0104269827782418"
"Taeglich","1995","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Taeglich","1995","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Min 1x pro Woche","1995","Westdeutschland, alte Bundeslaender","maennlich","546","0.10456786405312","0.0957756749253174","0.113360053180923"
"Min 1x pro Woche","1995","Westdeutschland, alte Bundeslaender","weiblich","758","0.156159718413419","0.146044115543766","0.166275321283071"
"Min 1x pro Woche","1995","Ostdeutschland, neue Bundeslaender","maennlich","58","0.0301549280440828","0.0221311167682365","0.038178739319929"
"Min 1x pro Woche","1995","Ostdeutschland, neue Bundeslaender","weiblich","76","0.0357555471156396","0.0274695025329734","0.0440415916983059"
"Min 1x pro Monat","1995","Westdeutschland, alte Bundeslaender","maennlich","514","0.0987076728359238","0.0901374945204479","0.1072778511514"
"Min 1x pro Monat","1995","Westdeutschland, alte Bundeslaender","weiblich","623","0.116477150680286","0.107537791288574","0.125416510071999"
"Min 1x pro Monat","1995","Ostdeutschland, neue Bundeslaender","maennlich","47","0.0263526032906969","0.0188370148290684","0.0338681917523254"
"Min 1x pro Monat","1995","Ostdeutschland, neue Bundeslaender","weiblich","89","0.0550041293839208","0.0448300626938519","0.0651781960739898"
"Seltener","1995","Westdeutschland, alte Bundeslaender","maennlich","1339","0.296827737633423","0.283700762236829","0.309954713030017"
"Seltener","1995","Westdeutschland, alte Bundeslaender","weiblich","1504","0.300687810354141","0.287909583431034","0.313466037277249"
"Seltener","1995","Ostdeutschland, neue Bundeslaender","maennlich","264","0.140498928128071","0.124194330251438","0.156803526004703"
"Seltener","1995","Ostdeutschland, neue Bundeslaender","weiblich","336","0.166610939133583","0.149982264674703","0.183239613592463"
"Nie","1995","Westdeutschland, alte Bundeslaender","maennlich","2206","0.49315149382893","0.478786321950193","0.507516665707667"
"Nie","1995","Westdeutschland, alte Bundeslaender","weiblich","2024","0.418723367368613","0.404975600239128","0.432471134498098"
"Nie","1995","Ostdeutschland, neue Bundeslaender","maennlich","1375","0.802169525482482","0.783478632483859","0.820860418481105"
"Nie","1995","Ostdeutschland, neue Bundeslaender","weiblich","1427","0.742450696841552","0.722936711412015","0.761964682271089"
"Taeglich","1996","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Taeglich","1996","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Taeglich","1996","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Taeglich","1996","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Min 1x pro Woche","1996","Westdeutschland, alte Bundeslaender","maennlich","524","0.103951084057439","0.0950772909193858","0.112824877195493"
"Min 1x pro Woche","1996","Westdeutschland, alte Bundeslaender","weiblich","678","0.148241169158452","0.138241740368701","0.158240597948203"
"Min 1x pro Woche","1996","Ostdeutschland, neue Bundeslaender","maennlich","60","0.0336264515189446","0.025178211899911","0.0420746911379781"
"Min 1x pro Woche","1996","Ostdeutschland, neue Bundeslaender","weiblich","68","0.0357840689428163","0.0275034237531547","0.0440647141324779"
"Min 1x pro Monat","1996","Westdeutschland, alte Bundeslaender","maennlich","475","0.0976580325571723","0.0890268859543388","0.106289179160006"
"Min 1x pro Monat","1996","Westdeutschland, alte Bundeslaender","weiblich","595","0.108157754873618","0.0994178781748273","0.116897631572409"
"Min 1x pro Monat","1996","Ostdeutschland, neue Bundeslaender","maennlich","51","0.0279223307625654","0.0202012249673808","0.0356434365577499"
"Min 1x pro Monat","1996","Ostdeutschland, neue Bundeslaender","weiblich","86","0.0481376249632111","0.0385951380335617","0.0576801118928605"
"Seltener","1996","Westdeutschland, alte Bundeslaender","maennlich","1398","0.31650336369718","0.302979951506573","0.330026775887788"
"Seltener","1996","Westdeutschland, alte Bundeslaender","weiblich","1574","0.338982947779124","0.32566222742126","0.352303668136989"
"Seltener","1996","Ostdeutschland, neue Bundeslaender","maennlich","290","0.169272852716781","0.151698633295703","0.186847072137858"
"Seltener","1996","Ostdeutschland, neue Bundeslaender","weiblich","363","0.178649861746357","0.161573408495665","0.195726314997049"
"Nie","1996","Westdeutschland, alte Bundeslaender","maennlich","2147","0.481887519688208","0.46735925325038","0.496415786126036"
"Nie","1996","Westdeutschland, alte Bundeslaender","weiblich","2004","0.404618128188806","0.390806244082314","0.418430012295298"
"Nie","1996","Ostdeutschland, neue Bundeslaender","maennlich","1348","0.76917836500171","0.749431190095767","0.788925539907652"
"Nie","1996","Ostdeutschland, neue Bundeslaender","weiblich","1416","0.737428444347616","0.71781219626542","0.757044692429811"
"Taeglich","1997","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Taeglich","1997","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Taeglich","1997","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Taeglich","1997","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Min 1x pro Woche","1997","Westdeutschland, alte Bundeslaender","maennlich","514","0.104896493401081","0.0959036345673867","0.113889352234775"
"Min 1x pro Woche","1997","Westdeutschland, alte Bundeslaender","weiblich","677","0.15181508533209","0.141609222142585","0.162020948521596"
"Min 1x pro Woche","1997","Ostdeutschland, neue Bundeslaender","maennlich","55","0.0321556458992286","0.0238761054927792","0.0404351863056779"
"Min 1x pro Woche","1997","Ostdeutschland, neue Bundeslaender","weiblich","61","0.0330047370580121","0.0249399533271841","0.0410695207888401"
"Min 1x pro Monat","1997","Westdeutschland, alte Bundeslaender","maennlich","418","0.0839232364246402","0.0757857981525295","0.0920606746967508"
"Min 1x pro Monat","1997","Westdeutschland, alte Bundeslaender","weiblich","541","0.106338819328292","0.0975712467458934","0.115106391910691"
"Min 1x pro Monat","1997","Ostdeutschland, neue Bundeslaender","maennlich","61","0.0387604744671861","0.0297013713480776","0.0478195775862946"
"Min 1x pro Monat","1997","Ostdeutschland, neue Bundeslaender","weiblich","112","0.0609997389762911","0.0501956224749926","0.0718038554775895"
"Seltener","1997","Westdeutschland, alte Bundeslaender","maennlich","1444","0.327214397499369","0.313444357289977","0.340984437708761"
"Seltener","1997","Westdeutschland, alte Bundeslaender","weiblich","1624","0.333026111687529","0.319621921986392","0.346430301388666"
"Seltener","1997","Ostdeutschland, neue Bundeslaender","maennlich","261","0.148123701279645","0.131452173664248","0.164795228895042"
"Seltener","1997","Ostdeutschland, neue Bundeslaender","weiblich","333","0.176032441340381","0.158839751587451","0.193225131093311"
"Nie","1997","Westdeutschland, alte Bundeslaender","maennlich","2084","0.48396587267491","0.4692993471382","0.498632398211619"
"Nie","1997","Westdeutschland, alte Bundeslaender","weiblich","1907","0.408819983652088","0.394837866485594","0.422802100818582"
"Nie","1997","Ostdeutschland, neue Bundeslaender","maennlich","1367","0.78096017835394","0.761549047643372","0.800371309064508"
"Nie","1997","Ostdeutschland, neue Bundeslaender","weiblich","1379","0.729963082625316","0.709920465379232","0.7500056998714"
"Taeglich","1998","Westdeutschland, alte Bundeslaender","maennlich","49","0.00728268467497889","0.0049287136568372","0.00963665569312058"
"Taeglich","1998","Westdeutschland, alte Bundeslaender","weiblich","42","0.00626680849572173","0.0041539796272763","0.00837963736416716"
"Taeglich","1998","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Taeglich","1998","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Min 1x pro Woche","1998","Westdeutschland, alte Bundeslaender","maennlich","531","0.101368968110288","0.0930132115512269","0.10972472466935"
"Min 1x pro Woche","1998","Westdeutschland, alte Bundeslaender","weiblich","701","0.134594716535547","0.125457161836514","0.143732271234579"
"Min 1x pro Woche","1998","Ostdeutschland, neue Bundeslaender","maennlich","54","0.0291850513836474","0.0215518255102637","0.036818277257031"
"Min 1x pro Woche","1998","Ostdeutschland, neue Bundeslaender","weiblich","70","0.0383403070042497","0.0299165404606364","0.046764073547863"
"Min 1x pro Monat","1998","Westdeutschland, alte Bundeslaender","maennlich","483","0.0974144598993139","0.0892053048360988","0.105623614962529"
"Min 1x pro Monat","1998","Westdeutschland, alte Bundeslaender","weiblich","679","0.122091152689073","0.113325726795825","0.130856578582321"
"Min 1x pro Monat","1998","Ostdeutschland, neue Bundeslaender","maennlich","76","0.0386488723136731","0.0299077119364259","0.0473900326909203"
"Min 1x pro Monat","1998","Ostdeutschland, neue Bundeslaender","weiblich","100","0.0539018115804837","0.0439949154690833","0.063808707691884"
"Seltener","1998","Westdeutschland, alte Bundeslaender","maennlich","1642","0.323693150232874","0.310739826862048","0.336646473603701"
"Seltener","1998","Westdeutschland, alte Bundeslaender","weiblich","1828","0.337471020448544","0.324811218995906","0.350130821901183"
"Seltener","1998","Ostdeutschland, neue Bundeslaender","maennlich","304","0.16338087792519","0.146615082557065","0.180146673293314"
"Seltener","1998","Ostdeutschland, neue Bundeslaender","weiblich","379","0.172965059093308","0.156372669312014","0.189557448874602"
"Nie","1998","Westdeutschland, alte Bundeslaender","maennlich","2307","0.470240737082545","0.456422839666273","0.484058634498816"
"Nie","1998","Westdeutschland, alte Bundeslaender","weiblich","2109","0.399576301831114","0.386462307651082","0.412690296011147"
"Nie","1998","Ostdeutschland, neue Bundeslaender","maennlich","1432","0.76827624762426","0.749142341687239","0.787410153561281"
"Nie","1998","Ostdeutschland, neue Bundeslaender","weiblich","1442","0.730705388981791","0.711244942100134","0.750165835863448"
"Taeglich","1999","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Taeglich","1999","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Taeglich","1999","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Taeglich","1999","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Min 1x pro Woche","1999","Westdeutschland, alte Bundeslaender","maennlich","499","0.101210894340408","0.0926785179878836","0.109743270692932"
"Min 1x pro Woche","1999","Westdeutschland, alte Bundeslaender","weiblich","640","0.132406890552083","0.123128511080964","0.141685270023202"
"Min 1x pro Woche","1999","Ostdeutschland, neue Bundeslaender","maennlich","53","0.0288814452136986","0.0211767517794228","0.0365861386479744"
"Min 1x pro Woche","1999","Ostdeutschland, neue Bundeslaender","weiblich","64","0.0367360380419302","0.0284059481621672","0.0450661279216932"
"Min 1x pro Monat","1999","Westdeutschland, alte Bundeslaender","maennlich","423","0.0790629171320575","0.071429326437036","0.086696507827079"
"Min 1x pro Monat","1999","Westdeutschland, alte Bundeslaender","weiblich","611","0.113399705043673","0.104719525901089","0.122079884186257"
"Min 1x pro Monat","1999","Ostdeutschland, neue Bundeslaender","maennlich","74","0.0421021117774517","0.0328631892747257","0.0513410342801777"
"Min 1x pro Monat","1999","Ostdeutschland, neue Bundeslaender","weiblich","94","0.0453738142821823","0.0361576503933688","0.0545899781709957"
"Seltener","1999","Westdeutschland, alte Bundeslaender","maennlich","1652","0.344771468668551","0.331325579354547","0.358217357982556"
"Seltener","1999","Westdeutschland, alte Bundeslaender","weiblich","1803","0.345896716644659","0.33287539176954","0.358918041519778"
"Seltener","1999","Ostdeutschland, neue Bundeslaender","maennlich","306","0.165978213678474","0.148861356886401","0.183095070470546"
"Seltener","1999","Ostdeutschland, neue Bundeslaender","weiblich","392","0.195095768707997","0.17754779789284","0.212643739523154"
"Nie","1999","Westdeutschland, alte Bundeslaender","maennlich","2226","0.474954719858983","0.460827654460986","0.489081785256981"
"Nie","1999","Westdeutschland, alte Bundeslaender","weiblich","2072","0.408296687759585","0.394841222518533","0.421752153000637"
"Nie","1999","Ostdeutschland, neue Bundeslaender","maennlich","1382","0.763038229330376","0.7434758323334","0.782600626327352"
"Nie","1999","Ostdeutschland, neue Bundeslaender","weiblich","1409","0.72279437896789","0.702972753196683","0.742616004739097"
"Taeglich","2000","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Taeglich","2000","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Taeglich","2000","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Taeglich","2000","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Min 1x pro Woche","2000","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Min 1x pro Woche","2000","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Min 1x pro Woche","2000","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Min 1x pro Woche","2000","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Min 1x pro Monat","2000","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Min 1x pro Monat","2000","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Min 1x pro Monat","2000","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Min 1x pro Monat","2000","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Seltener","2000","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Seltener","2000","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Seltener","2000","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Seltener","2000","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Nie","2000","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Nie","2000","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Nie","2000","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Nie","2000","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Taeglich","2001","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Taeglich","2001","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Taeglich","2001","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Taeglich","2001","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Min 1x pro Woche","2001","Westdeutschland, alte Bundeslaender","maennlich","782","0.09627963892668","0.0897692945095762","0.102789983343784"
"Min 1x pro Woche","2001","Westdeutschland, alte Bundeslaender","weiblich","1078","0.132783003902314","0.125598565673608","0.13996744213102"
"Min 1x pro Woche","2001","Ostdeutschland, neue Bundeslaender","maennlich","73","0.0282523587623031","0.0219065870321923","0.034598130492414"
"Min 1x pro Woche","2001","Ostdeutschland, neue Bundeslaender","weiblich","106","0.0392293950808946","0.0320589283510897","0.0463998618106994"
"Min 1x pro Monat","2001","Westdeutschland, alte Bundeslaender","maennlich","781","0.0951387975234543","0.0886630558264482","0.10161453922046"
"Min 1x pro Monat","2001","Westdeutschland, alte Bundeslaender","weiblich","1092","0.120694944142175","0.113797757090081","0.127592131194269"
"Min 1x pro Monat","2001","Ostdeutschland, neue Bundeslaender","maennlich","105","0.0358583984076721","0.0287373129571926","0.0429794838581515"
"Min 1x pro Monat","2001","Ostdeutschland, neue Bundeslaender","weiblich","147","0.0515693822051482","0.0434011041525752","0.0597376602577213"
"Seltener","2001","Westdeutschland, alte Bundeslaender","maennlich","2638","0.323652889010433","0.31332660017954","0.333979177841326"
"Seltener","2001","Westdeutschland, alte Bundeslaender","weiblich","2893","0.334065566219766","0.324079618857809","0.344051513581723"
"Seltener","2001","Ostdeutschland, neue Bundeslaender","maennlich","420","0.16108001892921","0.1470013548399","0.17515868301852"
"Seltener","2001","Ostdeutschland, neue Bundeslaender","weiblich","518","0.169274794935394","0.155424576980257","0.18312501289053"
"Nie","2001","Westdeutschland, alte Bundeslaender","maennlich","3685","0.484928674539433","0.473898247564607","0.495959101514259"
"Nie","2001","Westdeutschland, alte Bundeslaender","weiblich","3507","0.412456485735746","0.402034109013735","0.422878862457756"
"Nie","2001","Ostdeutschland, neue Bundeslaender","maennlich","2021","0.774809223900815","0.758811690272686","0.790806757528944"
"Nie","2001","Ostdeutschland, neue Bundeslaender","weiblich","2045","0.739926427778563","0.72372422188234","0.756128633674786"
"Taeglich","2002","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Taeglich","2002","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Taeglich","2002","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Taeglich","2002","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Min 1x pro Woche","2002","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Min 1x pro Woche","2002","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Min 1x pro Woche","2002","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Min 1x pro Woche","2002","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Min 1x pro Monat","2002","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Min 1x pro Monat","2002","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Min 1x pro Monat","2002","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Min 1x pro Monat","2002","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Seltener","2002","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Seltener","2002","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Seltener","2002","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Seltener","2002","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Nie","2002","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Nie","2002","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Nie","2002","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Nie","2002","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Taeglich","2003","Westdeutschland, alte Bundeslaender","maennlich","","","",""
