year,pgisced97,pli0098_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Pre-primary Level,At least once per month,0.06785,38,536,0.04654,0.08916
2001,Pre-primary Level,Seldom,0.34399,175,536,0.30374,0.38425
2001,Pre-primary Level,Never,0.52266,288,536,0.48033,0.56499
2001,Primary Level,At least once per week,0.15106,43,312,0.11126,0.19086
2001,Primary Level,At least once per month,0.13677,40,312,0.09858,0.17496
2001,Primary Level,Seldom,0.22756,77,312,0.18096,0.27415
2001,Primary Level,Never,0.48461,152,312,0.42907,0.54016
2001,Lower Secondary Level,At least once per week,0.14062,398,3057,0.12829,0.15294
2001,Lower Secondary Level,At least once per month,0.10476,328,3057,0.09390,0.11562
2001,Lower Secondary Level,Seldom,0.28303,845,3057,0.26706,0.29900
2001,Lower Secondary Level,Never,0.47160,1486,3057,0.45390,0.48930
2001,Upper Secondary Level,At least once per week,0.08972,969,11489,0.08450,0.09495
2001,Upper Secondary Level,At least once per month,0.09811,1127,11489,0.09267,0.10355
2001,Upper Secondary Level,Seldom,0.29844,3418,11489,0.29007,0.30680
2001,Upper Secondary Level,Never,0.51373,5975,11489,0.50459,0.52287
2001,Post-secondary Non-tertiary Level,At least once per week,0.08398,97,1058,0.06725,0.10070
2001,Post-secondary Non-tertiary Level,At least once per month,0.07695,89,1058,0.06089,0.09302
2001,Post-secondary Non-tertiary Level,Seldom,0.34714,355,1058,0.31844,0.37584
2001,Post-secondary Non-tertiary Level,Never,0.49193,517,1058,0.46179,0.52207
2001,First Stage of Tertiary Education,At least once per week,0.10664,169,1659,0.09179,0.12150
2001,First Stage of Tertiary Education,At least once per month,0.09660,173,1659,0.08238,0.11082
2001,First Stage of Tertiary Education,Seldom,0.31940,543,1659,0.29695,0.34184
2001,First Stage of Tertiary Education,Never,0.47736,774,1659,0.45331,0.50140
2001,Second Stage of Tertiary Education,At least once per week,0.09766,310,3523,0.08786,0.10747
2001,Second Stage of Tertiary Education,At least once per month,0.08531,305,3523,0.07609,0.09454
2001,Second Stage of Tertiary Education,Seldom,0.29145,1004,3523,0.27644,0.30645
2001,Second Stage of Tertiary Education,Never,0.52558,1904,3523,0.50909,0.54207
2003,No answer / don't know,Seldom,0.21631,52,218,0.16153,0.27109
2003,No answer / don't know,Never,0.69846,166,218,0.63740,0.75953
2003,Pre-primary Level,At least once per week,0.09591,46,615,0.07261,0.11920
2003,Pre-primary Level,At least once per month,0.07273,55,615,0.05219,0.09327
2003,Pre-primary Level,Seldom,0.31109,192,615,0.27448,0.34771
2003,Pre-primary Level,Never,0.52027,322,615,0.48075,0.55979
2003,Primary Level,At least once per week,0.18223,44,242,0.13349,0.23096
2003,Primary Level,Seldom,0.25268,68,242,0.19782,0.30754
2003,Primary Level,Never,0.46307,130,242,0.40011,0.52602
2003,Lower Secondary Level,At least once per week,0.13349,354,2714,0.12070,0.14629
2003,Lower Secondary Level,At least once per month,0.11676,312,2714,0.10467,0.12884
2003,Lower Secondary Level,Seldom,0.26561,743,2714,0.24899,0.28223
2003,Lower Secondary Level,Never,0.48414,1305,2714,0.46533,0.50295
2003,Upper Secondary Level,At least once per week,0.09016,954,11045,0.08482,0.09550
2003,Upper Secondary Level,At least once per month,0.08979,997,11045,0.08446,0.09512
2003,Upper Secondary Level,Seldom,0.31674,3469,11045,0.30806,0.32541
2003,Upper Secondary Level,Never,0.50331,5625,11045,0.49399,0.51264
2003,Post-secondary Non-tertiary Level,At least once per week,0.08511,90,1144,0.06894,0.10129
2003,Post-secondary Non-tertiary Level,At least once per month,0.08238,111,1144,0.06644,0.09832
2003,Post-secondary Non-tertiary Level,Seldom,0.33367,385,1144,0.30633,0.36100
2003,Post-secondary Non-tertiary Level,Never,0.49884,558,1144,0.46985,0.52782
2003,First Stage of Tertiary Education,At least once per week,0.10529,167,1668,0.09056,0.12003
2003,First Stage of Tertiary Education,At least once per month,0.08947,167,1668,0.07577,0.10317
2003,First Stage of Tertiary Education,Seldom,0.33522,541,1668,0.31255,0.35788
2003,First Stage of Tertiary Education,Never,0.47002,793,1668,0.44606,0.49398
2003,Second Stage of Tertiary Education,At least once per week,0.09776,370,4328,0.08891,0.10660
2003,Second Stage of Tertiary Education,At least once per month,0.09820,413,4328,0.08933,0.10707
2003,Second Stage of Tertiary Education,Seldom,0.26968,1229,4328,0.25646,0.28290
2003,Second Stage of Tertiary Education,Never,0.53436,2316,4328,0.51950,0.54922
2005,No answer / don't know,Seldom,0.16710,60,272,0.12269,0.21152
2005,No answer / don't know,Never,0.71154,212,272,0.65760,0.76548
2005,Pre-primary Level,At least once per week,0.08351,47,646,0.06216,0.10486
2005,Pre-primary Level,At least once per month,0.10216,62,646,0.07879,0.12554
2005,Pre-primary Level,Seldom,0.31496,210,646,0.27911,0.35080
2005,Pre-primary Level,Never,0.49937,327,646,0.46078,0.53796
2005,Primary Level,Seldom,0.23967,59,193,0.17929,0.30005
2005,Primary Level,Never,0.56225,134,193,0.49208,0.63243
2005,Lower Secondary Level,At least once per week,0.12587,294,2374,0.11252,0.13921
2005,Lower Secondary Level,At least once per month,0.10090,260,2374,0.08878,0.11302
2005,Lower Secondary Level,Seldom,0.26677,629,2374,0.24897,0.28456
2005,Lower Secondary Level,Never,0.50646,1191,2374,0.48635,0.52658
2005,Upper Secondary Level,At least once per week,0.08303,808,10198,0.07767,0.08839
2005,Upper Secondary Level,At least once per month,0.08164,884,10198,0.07632,0.08695
2005,Upper Secondary Level,Seldom,0.31337,3136,10198,0.30437,0.32238
2005,Upper Secondary Level,Never,0.52196,5370,10198,0.51226,0.53165
2005,Post-secondary Non-tertiary Level,At least once per week,0.08477,88,1120,0.06845,0.10109
2005,Post-secondary Non-tertiary Level,At least once per month,0.08182,103,1120,0.06576,0.09788
2005,Post-secondary Non-tertiary Level,Seldom,0.33702,385,1120,0.30932,0.36471
2005,Post-secondary Non-tertiary Level,Never,0.49639,544,1120,0.46709,0.52568
2005,First Stage of Tertiary Education,At least once per week,0.09209,141,1551,0.07770,0.10649
2005,First Stage of Tertiary Education,At least once per month,0.09118,150,1551,0.07685,0.10551
2005,First Stage of Tertiary Education,Seldom,0.33468,517,1551,0.31119,0.35817
2005,First Stage of Tertiary Education,Never,0.48205,743,1551,0.45717,0.50692
2005,Second Stage of Tertiary Education,At least once per week,0.08736,342,4144,0.07877,0.09596
2005,Second Stage of Tertiary Education,At least once per month,0.09269,394,4144,0.08386,0.10152
2005,Second Stage of Tertiary Education,Seldom,0.30614,1303,4144,0.29211,0.32017
2005,Second Stage of Tertiary Education,Never,0.51380,2105,4144,0.49858,0.52902
2007,No answer / don't know,Seldom,0.17905,64,287,0.13462,0.22349
2007,No answer / don't know,Never,0.68454,223,287,0.63068,0.73840
2007,Pre-primary Level,At least once per month,0.09020,33,319,0.05872,0.12169
2007,Pre-primary Level,Seldom,0.28258,105,319,0.23310,0.33207
2007,Pre-primary Level,Never,0.56219,181,319,0.50766,0.61672
2007,Primary Level,At least once per week,0.14460,31,197,0.09536,0.19384
2007,Primary Level,Seldom,0.18221,39,197,0.12817,0.23625
2007,Primary Level,Never,0.60825,127,197,0.53991,0.67659
2007,Lower Secondary Level,At least once per week,0.11787,263,2189,0.10436,0.13138
2007,Lower Secondary Level,At least once per month,0.09443,216,2189,0.08218,0.10668
2007,Lower Secondary Level,Seldom,0.26030,600,2189,0.24191,0.27868
2007,Lower Secondary Level,Never,0.52740,1110,2189,0.50648,0.54832
2007,Upper Secondary Level,At least once per week,0.08016,825,10273,0.07491,0.08541
2007,Upper Secondary Level,At least once per month,0.08165,880,10273,0.07636,0.08695
2007,Upper Secondary Level,Seldom,0.29047,3029,10273,0.28169,0.29925
2007,Upper Secondary Level,Never,0.54772,5539,10273,0.53809,0.55734
2007,Post-secondary Non-tertiary Level,At least once per week,0.07708,82,1164,0.06175,0.09241
2007,Post-secondary Non-tertiary Level,At least once per month,0.05776,84,1164,0.04435,0.07116
2007,Post-secondary Non-tertiary Level,Seldom,0.34233,387,1164,0.31506,0.36960
2007,Post-secondary Non-tertiary Level,Never,0.52283,611,1164,0.49413,0.55154
2007,First Stage of Tertiary Education,At least once per week,0.08756,140,1521,0.07335,0.10177
2007,First Stage of Tertiary Education,At least once per month,0.09318,148,1521,0.07856,0.10779
2007,First Stage of Tertiary Education,Seldom,0.31561,484,1521,0.29225,0.33898
2007,First Stage of Tertiary Education,Never,0.50365,749,1521,0.47851,0.52879
2007,Second Stage of Tertiary Education,At least once per week,0.08072,380,4371,0.07265,0.08880
2007,Second Stage of Tertiary Education,At least once per month,0.10236,430,4371,0.09337,0.11134
2007,Second Stage of Tertiary Education,Seldom,0.28113,1292,4371,0.26780,0.29446
2007,Second Stage of Tertiary Education,Never,0.53579,2269,4371,0.52101,0.55058
2008,No answer / don't know,Seldom,0.25574,87,296,0.20595,0.30552
2008,No answer / don't know,Never,0.62978,209,296,0.57468,0.68488
2008,Pre-primary Level,At least once per week,0.08732,31,331,0.05686,0.11778
2008,Pre-primary Level,Seldom,0.36534,137,331,0.31338,0.41729
2008,Pre-primary Level,Never,0.48336,163,331,0.42944,0.53727
2008,Primary Level,Seldom,0.20267,38,140,0.13584,0.26950
2008,Primary Level,Never,0.54940,102,140,0.46668,0.63211
2008,Lower Secondary Level,At least once per week,0.11114,229,2006,0.09738,0.12489
2008,Lower Secondary Level,At least once per month,0.09889,201,2006,0.08582,0.11196
2008,Lower Secondary Level,Seldom,0.26581,538,2006,0.24647,0.28515
2008,Lower Secondary Level,Never,0.52416,1038,2006,0.50230,0.54602
2008,Upper Secondary Level,At least once per week,0.07596,740,9679,0.07068,0.08123
2008,Upper Secondary Level,At least once per month,0.08252,844,9679,0.07704,0.08800
2008,Upper Secondary Level,Seldom,0.29516,2913,9679,0.28607,0.30425
2008,Upper Secondary Level,Never,0.54637,5182,9679,0.53645,0.55629
2008,Post-secondary Non-tertiary Level,At least once per week,0.06604,69,1083,0.05124,0.08084
2008,Post-secondary Non-tertiary Level,At least once per month,0.06953,91,1083,0.05438,0.08469
2008,Post-secondary Non-tertiary Level,Seldom,0.36165,373,1083,0.33302,0.39028
