"pli0098_h","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"Taeglich","1991","Berlin","Ost","","","",""
"Taeglich","1991","Brandenburg","West","","","",""
"Taeglich","1991","Brandenburg","Ost","","","",""
"Taeglich","1991","Mecklenburg-Vorpommern","West","","","",""
"Taeglich","1991","Mecklenburg-Vorpommern","Ost","","","",""
"Taeglich","1991","Sachsen","West","","","",""
"Taeglich","1991","Sachsen","Ost","","","",""
"Taeglich","1991","Sachsen-Anhalt","West","","","",""
"Taeglich","1991","Sachsen-Anhalt","Ost","","","",""
"Taeglich","1991","Thüringen","West","","","",""
"Taeglich","1991","Thüringen","Ost","","","",""
"Min 1x pro Woche","1991","Schleswig-Holstein","West","","","",""
"Min 1x pro Woche","1991","Schleswig-Holstein","Ost","","","",""
"Min 1x pro Woche","1991","Hamburg","West","","","",""
"Min 1x pro Woche","1991","Hamburg","Ost","","","",""
"Min 1x pro Woche","1991","Niedersachsen","West","","","",""
"Min 1x pro Woche","1991","Niedersachsen","Ost","","","",""
"Min 1x pro Woche","1991","Bremen","West","","","",""
"Min 1x pro Woche","1991","Bremen","Ost","","","",""
"Min 1x pro Woche","1991","Nordrhein-Westfalen","West","","","",""
"Min 1x pro Woche","1991","Nordrhein-Westfalen","Ost","","","",""
"Min 1x pro Woche","1991","Hessen","West","","","",""
"Min 1x pro Woche","1991","Hessen","Ost","","","",""
"Min 1x pro Woche","1991","Rheinland-Pfalz,Saarland","West","","","",""
"Min 1x pro Woche","1991","Rheinland-Pfalz,Saarland","Ost","","","",""
"Min 1x pro Woche","1991","Baden-Württemberg","West","","","",""
"Min 1x pro Woche","1991","Baden-Württemberg","Ost","","","",""
"Min 1x pro Woche","1991","Bayern","West","","","",""
"Min 1x pro Woche","1991","Bayern","Ost","","","",""
"Min 1x pro Woche","1991","Saarland","West","","","",""
"Min 1x pro Woche","1991","Saarland","Ost","","","",""
"Min 1x pro Woche","1991","Berlin","West","","","",""
"Min 1x pro Woche","1991","Berlin","Ost","","","",""
"Min 1x pro Woche","1991","Brandenburg","West","","","",""
"Min 1x pro Woche","1991","Brandenburg","Ost","","","",""
"Min 1x pro Woche","1991","Mecklenburg-Vorpommern","West","","","",""
"Min 1x pro Woche","1991","Mecklenburg-Vorpommern","Ost","","","",""
"Min 1x pro Woche","1991","Sachsen","West","","","",""
"Min 1x pro Woche","1991","Sachsen","Ost","","","",""
"Min 1x pro Woche","1991","Sachsen-Anhalt","West","","","",""
"Min 1x pro Woche","1991","Sachsen-Anhalt","Ost","","","",""
"Min 1x pro Woche","1991","Thüringen","West","","","",""
"Min 1x pro Woche","1991","Thüringen","Ost","","","",""
"Min 1x pro Monat","1991","Schleswig-Holstein","West","","","",""
"Min 1x pro Monat","1991","Schleswig-Holstein","Ost","","","",""
"Min 1x pro Monat","1991","Hamburg","West","","","",""
"Min 1x pro Monat","1991","Hamburg","Ost","","","",""
"Min 1x pro Monat","1991","Niedersachsen","West","","","",""
"Min 1x pro Monat","1991","Niedersachsen","Ost","","","",""
"Min 1x pro Monat","1991","Bremen","West","","","",""
"Min 1x pro Monat","1991","Bremen","Ost","","","",""
"Min 1x pro Monat","1991","Nordrhein-Westfalen","West","","","",""
"Min 1x pro Monat","1991","Nordrhein-Westfalen","Ost","","","",""
"Min 1x pro Monat","1991","Hessen","West","","","",""
"Min 1x pro Monat","1991","Hessen","Ost","","","",""
"Min 1x pro Monat","1991","Rheinland-Pfalz,Saarland","West","","","",""
"Min 1x pro Monat","1991","Rheinland-Pfalz,Saarland","Ost","","","",""
"Min 1x pro Monat","1991","Baden-Württemberg","West","","","",""
"Min 1x pro Monat","1991","Baden-Württemberg","Ost","","","",""
"Min 1x pro Monat","1991","Bayern","West","","","",""
"Min 1x pro Monat","1991","Bayern","Ost","","","",""
"Min 1x pro Monat","1991","Saarland","West","","","",""
"Min 1x pro Monat","1991","Saarland","Ost","","","",""
"Min 1x pro Monat","1991","Berlin","West","","","",""
"Min 1x pro Monat","1991","Berlin","Ost","","","",""
"Min 1x pro Monat","1991","Brandenburg","West","","","",""
"Min 1x pro Monat","1991","Brandenburg","Ost","","","",""
"Min 1x pro Monat","1991","Mecklenburg-Vorpommern","West","","","",""
"Min 1x pro Monat","1991","Mecklenburg-Vorpommern","Ost","","","",""
"Min 1x pro Monat","1991","Sachsen","West","","","",""
"Min 1x pro Monat","1991","Sachsen","Ost","","","",""
"Min 1x pro Monat","1991","Sachsen-Anhalt","West","","","",""
"Min 1x pro Monat","1991","Sachsen-Anhalt","Ost","","","",""
"Min 1x pro Monat","1991","Thüringen","West","","","",""
"Min 1x pro Monat","1991","Thüringen","Ost","","","",""
"Seltener","1991","Schleswig-Holstein","West","","","",""
"Seltener","1991","Schleswig-Holstein","Ost","","","",""
"Seltener","1991","Hamburg","West","","","",""
"Seltener","1991","Hamburg","Ost","","","",""
"Seltener","1991","Niedersachsen","West","","","",""
"Seltener","1991","Niedersachsen","Ost","","","",""
"Seltener","1991","Bremen","West","","","",""
"Seltener","1991","Bremen","Ost","","","",""
"Seltener","1991","Nordrhein-Westfalen","West","","","",""
"Seltener","1991","Nordrhein-Westfalen","Ost","","","",""
"Seltener","1991","Hessen","West","","","",""
"Seltener","1991","Hessen","Ost","","","",""
"Seltener","1991","Rheinland-Pfalz,Saarland","West","","","",""
"Seltener","1991","Rheinland-Pfalz,Saarland","Ost","","","",""
"Seltener","1991","Baden-Württemberg","West","","","",""
"Seltener","1991","Baden-Württemberg","Ost","","","",""
"Seltener","1991","Bayern","West","","","",""
"Seltener","1991","Bayern","Ost","","","",""
"Seltener","1991","Saarland","West","","","",""
"Seltener","1991","Saarland","Ost","","","",""
"Seltener","1991","Berlin","West","","","",""
"Seltener","1991","Berlin","Ost","","","",""
"Seltener","1991","Brandenburg","West","","","",""
"Seltener","1991","Brandenburg","Ost","","","",""
"Seltener","1991","Mecklenburg-Vorpommern","West","","","",""
"Seltener","1991","Mecklenburg-Vorpommern","Ost","","","",""
"Seltener","1991","Sachsen","West","","","",""
"Seltener","1991","Sachsen","Ost","","","",""
"Seltener","1991","Sachsen-Anhalt","West","","","",""
"Seltener","1991","Sachsen-Anhalt","Ost","","","",""
"Seltener","1991","Thüringen","West","","","",""
"Seltener","1991","Thüringen","Ost","","","",""
"Nie","1991","Schleswig-Holstein","West","","","",""
"Nie","1991","Schleswig-Holstein","Ost","","","",""
"Nie","1991","Hamburg","West","","","",""
"Nie","1991","Hamburg","Ost","","","",""
"Nie","1991","Niedersachsen","West","","","",""
"Nie","1991","Niedersachsen","Ost","","","",""
"Nie","1991","Bremen","West","","","",""
"Nie","1991","Bremen","Ost","","","",""
"Nie","1991","Nordrhein-Westfalen","West","","","",""
"Nie","1991","Nordrhein-Westfalen","Ost","","","",""
"Nie","1991","Hessen","West","","","",""
"Nie","1991","Hessen","Ost","","","",""
"Nie","1991","Rheinland-Pfalz,Saarland","West","","","",""
"Nie","1991","Rheinland-Pfalz,Saarland","Ost","","","",""
"Nie","1991","Baden-Württemberg","West","","","",""
"Nie","1991","Baden-Württemberg","Ost","","","",""
"Nie","1991","Bayern","West","","","",""
"Nie","1991","Bayern","Ost","","","",""
"Nie","1991","Saarland","West","","","",""
"Nie","1991","Saarland","Ost","","","",""
"Nie","1991","Berlin","West","","","",""
"Nie","1991","Berlin","Ost","","","",""
"Nie","1991","Brandenburg","West","","","",""
"Nie","1991","Brandenburg","Ost","","","",""
"Nie","1991","Mecklenburg-Vorpommern","West","","","",""
"Nie","1991","Mecklenburg-Vorpommern","Ost","","","",""
"Nie","1991","Sachsen","West","","","",""
"Nie","1991","Sachsen","Ost","","","",""
"Nie","1991","Sachsen-Anhalt","West","","","",""
"Nie","1991","Sachsen-Anhalt","Ost","","","",""
"Nie","1991","Thüringen","West","","","",""
"Nie","1991","Thüringen","Ost","","","",""
"Taeglich","1992","Schleswig-Holstein","West","","","",""
"Taeglich","1992","Schleswig-Holstein","Ost","","","",""
"Taeglich","1992","Hamburg","West","","","",""
"Taeglich","1992","Hamburg","Ost","","","",""
"Taeglich","1992","Niedersachsen","West","","","",""
"Taeglich","1992","Niedersachsen","Ost","","","",""
"Taeglich","1992","Bremen","West","","","",""
"Taeglich","1992","Bremen","Ost","","","",""
"Taeglich","1992","Nordrhein-Westfalen","West","","","",""
"Taeglich","1992","Nordrhein-Westfalen","Ost","","","",""
"Taeglich","1992","Hessen","West","","","",""
"Taeglich","1992","Hessen","Ost","","","",""
"Taeglich","1992","Rheinland-Pfalz,Saarland","West","","","",""
"Taeglich","1992","Rheinland-Pfalz,Saarland","Ost","","","",""
"Taeglich","1992","Baden-Württemberg","West","","","",""
"Taeglich","1992","Baden-Württemberg","Ost","","","",""
"Taeglich","1992","Bayern","West","","","",""
"Taeglich","1992","Bayern","Ost","","","",""
"Taeglich","1992","Saarland","West","","","",""
"Taeglich","1992","Saarland","Ost","","","",""
"Taeglich","1992","Berlin","West","","","",""
"Taeglich","1992","Berlin","Ost","","","",""
"Taeglich","1992","Brandenburg","West","","","",""
"Taeglich","1992","Brandenburg","Ost","","","",""
"Taeglich","1992","Mecklenburg-Vorpommern","West","","","",""
"Taeglich","1992","Mecklenburg-Vorpommern","Ost","","","",""
"Taeglich","1992","Sachsen","West","","","",""
"Taeglich","1992","Sachsen","Ost","","","",""
"Taeglich","1992","Sachsen-Anhalt","West","","","",""
"Taeglich","1992","Sachsen-Anhalt","Ost","","","",""
"Taeglich","1992","Thüringen","West","","","",""
"Taeglich","1992","Thüringen","Ost","","","",""
"Min 1x pro Woche","1992","Schleswig-Holstein","West","","","",""
"Min 1x pro Woche","1992","Schleswig-Holstein","Ost","","","",""
"Min 1x pro Woche","1992","Hamburg","West","","","",""
"Min 1x pro Woche","1992","Hamburg","Ost","","","",""
"Min 1x pro Woche","1992","Niedersachsen","West","75","0.0777904338561197","0.060829754464326","0.0947511132479134"
"Min 1x pro Woche","1992","Niedersachsen","Ost","","","",""
"Min 1x pro Woche","1992","Bremen","West","","","",""
"Min 1x pro Woche","1992","Bremen","Ost","","","",""
"Min 1x pro Woche","1992","Nordrhein-Westfalen","West","356","0.142256777132291","0.128563947108957","0.155949607155625"
"Min 1x pro Woche","1992","Nordrhein-Westfalen","Ost","","","",""
"Min 1x pro Woche","1992","Hessen","West","107","0.112757125902998","0.0926440011609226","0.132870250645074"
"Min 1x pro Woche","1992","Hessen","Ost","","","",""
"Min 1x pro Woche","1992","Rheinland-Pfalz,Saarland","West","83","0.13598372519593","0.109773555372581","0.162193895019279"
"Min 1x pro Woche","1992","Rheinland-Pfalz,Saarland","Ost","","","",""
"Min 1x pro Woche","1992","Baden-Württemberg","West","289","0.155922854897596","0.138896534159631","0.172949175635561"
"Min 1x pro Woche","1992","Baden-Württemberg","Ost","","","",""
"Min 1x pro Woche","1992","Bayern","West","289","0.188729459412434","0.169704483776831","0.207754435048037"
"Min 1x pro Woche","1992","Bayern","Ost","","","",""
"Min 1x pro Woche","1992","Saarland","West","","","",""
"Min 1x pro Woche","1992","Saarland","Ost","","","",""
"Min 1x pro Woche","1992","Berlin","West","","","",""
"Min 1x pro Woche","1992","Berlin","Ost","","","",""
"Min 1x pro Woche","1992","Brandenburg","West","","","",""
"Min 1x pro Woche","1992","Brandenburg","Ost","","","",""
"Min 1x pro Woche","1992","Mecklenburg-Vorpommern","West","","","",""
"Min 1x pro Woche","1992","Mecklenburg-Vorpommern","Ost","","","",""
"Min 1x pro Woche","1992","Sachsen","West","","","",""
"Min 1x pro Woche","1992","Sachsen","Ost","40","0.0405480486802493","0.0291234239761346","0.0519726733843641"
"Min 1x pro Woche","1992","Sachsen-Anhalt","West","","","",""
"Min 1x pro Woche","1992","Sachsen-Anhalt","Ost","","","",""
"Min 1x pro Woche","1992","Thüringen","West","","","",""
"Min 1x pro Woche","1992","Thüringen","Ost","47","0.08016234961953","0.0597377282684764","0.100586970970584"
"Min 1x pro Monat","1992","Schleswig-Holstein","West","","","",""
"Min 1x pro Monat","1992","Schleswig-Holstein","Ost","","","",""
"Min 1x pro Monat","1992","Hamburg","West","","","",""
"Min 1x pro Monat","1992","Hamburg","Ost","","","",""
"Min 1x pro Monat","1992","Niedersachsen","West","55","0.0626381595109242","0.0472941639030995","0.0779821551187489"
"Min 1x pro Monat","1992","Niedersachsen","Ost","","","",""
"Min 1x pro Monat","1992","Bremen","West","","","",""
"Min 1x pro Monat","1992","Bremen","Ost","","","",""
"Min 1x pro Monat","1992","Nordrhein-Westfalen","West","212","0.0831654126940069","0.0723412339718672","0.0939895914161467"
"Min 1x pro Monat","1992","Nordrhein-Westfalen","Ost","","","",""
"Min 1x pro Monat","1992","Hessen","West","137","0.101109248105951","0.081938671090562","0.120279825121341"
"Min 1x pro Monat","1992","Hessen","Ost","","","",""
"Min 1x pro Monat","1992","Rheinland-Pfalz,Saarland","West","71","0.0967265356785349","0.0741244847575597","0.11932858659951"
"Min 1x pro Monat","1992","Rheinland-Pfalz,Saarland","Ost","","","",""
"Min 1x pro Monat","1992","Baden-Württemberg","West","267","0.150571470255038","0.133786923505542","0.167356017004533"
"Min 1x pro Monat","1992","Baden-Württemberg","Ost","","","",""
"Min 1x pro Monat","1992","Bayern","West","201","0.12131012517958","0.105436075146365","0.137184175212794"
"Min 1x pro Monat","1992","Bayern","Ost","","","",""
"Min 1x pro Monat","1992","Saarland","West","","","",""
"Min 1x pro Monat","1992","Saarland","Ost","","","",""
"Min 1x pro Monat","1992","Berlin","West","","","",""
"Min 1x pro Monat","1992","Berlin","Ost","","","",""
"Min 1x pro Monat","1992","Brandenburg","West","","","",""
"Min 1x pro Monat","1992","Brandenburg","Ost","","","",""
"Min 1x pro Monat","1992","Mecklenburg-Vorpommern","West","","","",""
"Min 1x pro Monat","1992","Mecklenburg-Vorpommern","Ost","","","",""
"Min 1x pro Monat","1992","Sachsen","West","","","",""
"Min 1x pro Monat","1992","Sachsen","Ost","50","0.0457296902630826","0.0336298347736195","0.0578295457525456"
"Min 1x pro Monat","1992","Sachsen-Anhalt","West","","","",""
"Min 1x pro Monat","1992","Sachsen-Anhalt","Ost","","","",""
"Min 1x pro Monat","1992","Thüringen","West","","","",""
"Min 1x pro Monat","1992","Thüringen","Ost","","","",""
"Seltener","1992","Schleswig-Holstein","West","80","0.312100651987153","0.256626524419666","0.367574779554641"
"Seltener","1992","Schleswig-Holstein","Ost","","","",""
"Seltener","1992","Hamburg","West","30","0.171110395308484","0.110640181988305","0.231580608628662"
"Seltener","1992","Hamburg","Ost","","","",""
"Seltener","1992","Niedersachsen","West","306","0.33221552588217","0.302389632724623","0.362041419039717"
"Seltener","1992","Niedersachsen","Ost","","","",""
"Seltener","1992","Bremen","West","","","",""
"Seltener","1992","Bremen","Ost","","","",""
"Seltener","1992","Nordrhein-Westfalen","West","684","0.295159615528552","0.277280256540922","0.313038974516182"
"Seltener","1992","Nordrhein-Westfalen","Ost","","","",""
"Seltener","1992","Hessen","West","290","0.332624752820169","0.30266428308622","0.362585222554119"
"Seltener","1992","Hessen","Ost","","","",""
"Seltener","1992","Rheinland-Pfalz,Saarland","West","230","0.344102852205946","0.307776029558997","0.380429674852895"
"Seltener","1992","Rheinland-Pfalz,Saarland","Ost","","","",""
"Seltener","1992","Baden-Württemberg","West","581","0.342072503449772","0.319807490488338","0.364337516411206"
"Seltener","1992","Baden-Württemberg","Ost","","","",""
"Seltener","1992","Bayern","West","478","0.290889449831386","0.268807248411303","0.312971651251469"
"Seltener","1992","Bayern","Ost","","","",""
"Seltener","1992","Saarland","West","","","",""
