"pli0098_h","year","alter_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Min 1x pro Monat","1990","66 und älter","AkademikerInnen","","","",""
"Seltener","1990","16-34 Jahre alt","(noch) kein Abschluss","92","0.337836740935422","0.288143828794513","0.387529653076331"
"Seltener","1990","16-34 Jahre alt","Hauptschulabschluss","539","0.318544271665036","0.296887888049569","0.340200655280502"
"Seltener","1990","16-34 Jahre alt","Realschulabschluss","451","0.260130927904251","0.240502566968622","0.27975928883988"
"Seltener","1990","16-34 Jahre alt","(Fach-)Abitur","155","0.268997508681842","0.233604050976666","0.304390966387017"
"Seltener","1990","16-34 Jahre alt","AkademikerInnen","130","0.312272186802313","0.272209370282149","0.352335003322477"
"Seltener","1990","35-65 Jahre alt","(noch) kein Abschluss","112","0.228011026712222","0.191670050936017","0.264352002488427"
"Seltener","1990","35-65 Jahre alt","Hauptschulabschluss","1221","0.326983109171974","0.312651793919687","0.341314424424261"
"Seltener","1990","35-65 Jahre alt","Realschulabschluss","282","0.29413043256914","0.26666143522662","0.32159942991166"
"Seltener","1990","35-65 Jahre alt","(Fach-)Abitur","72","0.267531884577015","0.210692120431867","0.324371648722163"
"Seltener","1990","35-65 Jahre alt","AkademikerInnen","239","0.252313775111962","0.226054852486779","0.278572697737144"
"Seltener","1990","66 und älter","(noch) kein Abschluss","","","",""
"Seltener","1990","66 und älter","Hauptschulabschluss","234","0.200448695981902","0.176801523607432","0.224095868356372"
"Seltener","1990","66 und älter","Realschulabschluss","49","0.239634003985059","0.179412027902399","0.299855980067719"
"Seltener","1990","66 und älter","(Fach-)Abitur","","","",""
"Seltener","1990","66 und älter","AkademikerInnen","","","",""
"Nie","1990","16-34 Jahre alt","(noch) kein Abschluss","165","0.411378360888372","0.359677556202259","0.463079165574485"
"Nie","1990","16-34 Jahre alt","Hauptschulabschluss","912","0.525664704108456","0.502454479541617","0.548874928675296"
"Nie","1990","16-34 Jahre alt","Realschulabschluss","1217","0.595935206619031","0.573980095923514","0.617890317314549"
"Nie","1990","16-34 Jahre alt","(Fach-)Abitur","334","0.557342205656543","0.517697567457926","0.596986843855161"
"Nie","1990","16-34 Jahre alt","AkademikerInnen","324","0.554347046925464","0.511377992668484","0.597316101182443"
"Nie","1990","35-65 Jahre alt","(noch) kein Abschluss","217","0.494345626169774","0.45103890112481","0.537652351214738"
"Nie","1990","35-65 Jahre alt","Hauptschulabschluss","1920","0.422169734742768","0.407080955714409","0.437258513771127"
"Nie","1990","35-65 Jahre alt","Realschulabschluss","579","0.498185319028253","0.468042925095327","0.528327712961179"
"Nie","1990","35-65 Jahre alt","(Fach-)Abitur","111","0.518973817344557","0.45481930436081","0.583128330328304"
"Nie","1990","35-65 Jahre alt","AkademikerInnen","642","0.541011807277933","0.510885155923069","0.571138458632798"
"Nie","1990","66 und älter","(noch) kein Abschluss","","","",""
"Nie","1990","66 und älter","Hauptschulabschluss","503","0.435327500166475","0.406041450010782","0.464613550322168"
"Nie","1990","66 und älter","Realschulabschluss","70","0.378792899916333","0.310356279157985","0.44722952067468"
"Nie","1990","66 und älter","(Fach-)Abitur","","","",""
"Nie","1990","66 und älter","AkademikerInnen","48","0.38133837030862","0.288873449481278","0.473803291135962"
"Taeglich","1991","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Taeglich","1991","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Taeglich","1991","16-34 Jahre alt","Realschulabschluss","","","",""
"Taeglich","1991","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Taeglich","1991","16-34 Jahre alt","AkademikerInnen","","","",""
"Taeglich","1991","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Taeglich","1991","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Taeglich","1991","35-65 Jahre alt","Realschulabschluss","","","",""
"Taeglich","1991","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Taeglich","1991","35-65 Jahre alt","AkademikerInnen","","","",""
"Taeglich","1991","66 und älter","(noch) kein Abschluss","","","",""
"Taeglich","1991","66 und älter","Hauptschulabschluss","","","",""
"Taeglich","1991","66 und älter","Realschulabschluss","","","",""
"Taeglich","1991","66 und älter","(Fach-)Abitur","","","",""
"Taeglich","1991","66 und älter","AkademikerInnen","","","",""
"Min 1x pro Woche","1991","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1991","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Min 1x pro Woche","1991","16-34 Jahre alt","Realschulabschluss","","","",""
"Min 1x pro Woche","1991","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1991","16-34 Jahre alt","AkademikerInnen","","","",""
"Min 1x pro Woche","1991","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1991","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Min 1x pro Woche","1991","35-65 Jahre alt","Realschulabschluss","","","",""
"Min 1x pro Woche","1991","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1991","35-65 Jahre alt","AkademikerInnen","","","",""
"Min 1x pro Woche","1991","66 und älter","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1991","66 und älter","Hauptschulabschluss","","","",""
"Min 1x pro Woche","1991","66 und älter","Realschulabschluss","","","",""
"Min 1x pro Woche","1991","66 und älter","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1991","66 und älter","AkademikerInnen","","","",""
"Min 1x pro Monat","1991","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1991","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Min 1x pro Monat","1991","16-34 Jahre alt","Realschulabschluss","","","",""
"Min 1x pro Monat","1991","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1991","16-34 Jahre alt","AkademikerInnen","","","",""
"Min 1x pro Monat","1991","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1991","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Min 1x pro Monat","1991","35-65 Jahre alt","Realschulabschluss","","","",""
"Min 1x pro Monat","1991","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1991","35-65 Jahre alt","AkademikerInnen","","","",""
"Min 1x pro Monat","1991","66 und älter","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1991","66 und älter","Hauptschulabschluss","","","",""
"Min 1x pro Monat","1991","66 und älter","Realschulabschluss","","","",""
"Min 1x pro Monat","1991","66 und älter","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1991","66 und älter","AkademikerInnen","","","",""
"Seltener","1991","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Seltener","1991","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Seltener","1991","16-34 Jahre alt","Realschulabschluss","","","",""
"Seltener","1991","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Seltener","1991","16-34 Jahre alt","AkademikerInnen","","","",""
"Seltener","1991","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Seltener","1991","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Seltener","1991","35-65 Jahre alt","Realschulabschluss","","","",""
"Seltener","1991","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Seltener","1991","35-65 Jahre alt","AkademikerInnen","","","",""
"Seltener","1991","66 und älter","(noch) kein Abschluss","","","",""
"Seltener","1991","66 und älter","Hauptschulabschluss","","","",""
"Seltener","1991","66 und älter","Realschulabschluss","","","",""
"Seltener","1991","66 und älter","(Fach-)Abitur","","","",""
"Seltener","1991","66 und älter","AkademikerInnen","","","",""
"Nie","1991","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Nie","1991","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Nie","1991","16-34 Jahre alt","Realschulabschluss","","","",""
"Nie","1991","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Nie","1991","16-34 Jahre alt","AkademikerInnen","","","",""
"Nie","1991","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Nie","1991","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Nie","1991","35-65 Jahre alt","Realschulabschluss","","","",""
"Nie","1991","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Nie","1991","35-65 Jahre alt","AkademikerInnen","","","",""
"Nie","1991","66 und älter","(noch) kein Abschluss","","","",""
"Nie","1991","66 und älter","Hauptschulabschluss","","","",""
"Nie","1991","66 und älter","Realschulabschluss","","","",""
"Nie","1991","66 und älter","(Fach-)Abitur","","","",""
"Nie","1991","66 und älter","AkademikerInnen","","","",""
"Taeglich","1992","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Taeglich","1992","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Taeglich","1992","16-34 Jahre alt","Realschulabschluss","","","",""
"Taeglich","1992","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Taeglich","1992","16-34 Jahre alt","AkademikerInnen","","","",""
"Taeglich","1992","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Taeglich","1992","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Taeglich","1992","35-65 Jahre alt","Realschulabschluss","","","",""
"Taeglich","1992","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Taeglich","1992","35-65 Jahre alt","AkademikerInnen","","","",""
"Taeglich","1992","66 und älter","(noch) kein Abschluss","","","",""
"Taeglich","1992","66 und älter","Hauptschulabschluss","","","",""
"Taeglich","1992","66 und älter","Realschulabschluss","","","",""
"Taeglich","1992","66 und älter","(Fach-)Abitur","","","",""
"Taeglich","1992","66 und älter","AkademikerInnen","","","",""
"Min 1x pro Woche","1992","16-34 Jahre alt","(noch) kein Abschluss","41","0.109334395304277","0.0770990308343631","0.141569759774192"
"Min 1x pro Woche","1992","16-34 Jahre alt","Hauptschulabschluss","130","0.060752721157728","0.0491562159032888","0.0723492264121672"
"Min 1x pro Woche","1992","16-34 Jahre alt","Realschulabschluss","107","0.0629265385842593","0.0515946435928826","0.074258433575636"
"Min 1x pro Woche","1992","16-34 Jahre alt","(Fach-)Abitur","57","0.0838915125130184","0.0618375713735104","0.105945453652526"
"Min 1x pro Woche","1992","16-34 Jahre alt","AkademikerInnen","","","",""
"Min 1x pro Woche","1992","35-65 Jahre alt","(noch) kein Abschluss","105","0.185725613264108","0.151115859511243","0.220335367016973"
"Min 1x pro Woche","1992","35-65 Jahre alt","Hauptschulabschluss","421","0.116696538177417","0.106501953069777","0.126891123285058"
"Min 1x pro Woche","1992","35-65 Jahre alt","Realschulabschluss","96","0.107747011573014","0.0897166038431698","0.125777419302859"
"Min 1x pro Woche","1992","35-65 Jahre alt","(Fach-)Abitur","33","0.139703189128607","0.0963812533633272","0.183025124893888"
"Min 1x pro Woche","1992","35-65 Jahre alt","AkademikerInnen","99","0.116098027830934","0.0970981309240529","0.135097924737816"
"Min 1x pro Woche","1992","66 und älter","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1992","66 und älter","Hauptschulabschluss","194","0.192251888876002","0.168727844289579","0.215775933462426"
"Min 1x pro Woche","1992","66 und älter","Realschulabschluss","35","0.166185654620004","0.113255551760119","0.219115757479889"
"Min 1x pro Woche","1992","66 und älter","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1992","66 und älter","AkademikerInnen","","","",""
"Min 1x pro Monat","1992","16-34 Jahre alt","(noch) kein Abschluss","34","0.0694765594611115","0.043211423614793","0.09574169530743"
"Min 1x pro Monat","1992","16-34 Jahre alt","Hauptschulabschluss","143","0.0634521813924461","0.0516178821765921","0.0752864806083002"
"Min 1x pro Monat","1992","16-34 Jahre alt","Realschulabschluss","99","0.0544611160467365","0.0438714621624345","0.0650507699310386"
"Min 1x pro Monat","1992","16-34 Jahre alt","(Fach-)Abitur","51","0.0813304044765181","0.0595853808877234","0.103075428065313"
"Min 1x pro Monat","1992","16-34 Jahre alt","AkademikerInnen","","","",""
"Min 1x pro Monat","1992","35-65 Jahre alt","(noch) kein Abschluss","65","0.107037438559055","0.0795229337478978","0.134551943370212"
"Min 1x pro Monat","1992","35-65 Jahre alt","Hauptschulabschluss","376","0.0919941851264244","0.0828169870276652","0.101171383225184"
"Min 1x pro Monat","1992","35-65 Jahre alt","Realschulabschluss","66","0.0615811025739375","0.0476019441102113","0.0755602610376637"
"Min 1x pro Monat","1992","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1992","35-65 Jahre alt","AkademikerInnen","58","0.0670115125557667","0.052181223202018","0.0818418019095153"
"Min 1x pro Monat","1992","66 und älter","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1992","66 und älter","Hauptschulabschluss","125","0.12732809401907","0.107429319672329","0.147226868365812"
"Min 1x pro Monat","1992","66 und älter","Realschulabschluss","","","",""
"Min 1x pro Monat","1992","66 und älter","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1992","66 und älter","AkademikerInnen","","","",""
"Seltener","1992","16-34 Jahre alt","(noch) kein Abschluss","79","0.261292039951512","0.215908714052844","0.30667536585018"
"Seltener","1992","16-34 Jahre alt","Hauptschulabschluss","473","0.32351020448204","0.300799588915219","0.34622082004886"
"Seltener","1992","16-34 Jahre alt","Realschulabschluss","411","0.256400868770818","0.236024444083127","0.27677729345851"
"Seltener","1992","16-34 Jahre alt","(Fach-)Abitur","153","0.249708415318582","0.215274582032207","0.284142248604957"
"Seltener","1992","16-34 Jahre alt","AkademikerInnen","97","0.229401971272977","0.190293654382042","0.268510288163912"
"Seltener","1992","35-65 Jahre alt","(noch) kein Abschluss","114","0.221062493337198","0.184131918997787","0.257993067676609"
"Seltener","1992","35-65 Jahre alt","Hauptschulabschluss","1054","0.307683264797581","0.293028125334348","0.322338404260813"
"Seltener","1992","35-65 Jahre alt","Realschulabschluss","314","0.313422224820607","0.286446775307896","0.340397674333319"
"Seltener","1992","35-65 Jahre alt","(Fach-)Abitur","64","0.244817119596861","0.191085801125269","0.298548438068452"
"Seltener","1992","35-65 Jahre alt","AkademikerInnen","243","0.242293569161878","0.216880436581727","0.267706701742029"
"Seltener","1992","66 und älter","(noch) kein Abschluss","","","",""
"Seltener","1992","66 und älter","Hauptschulabschluss","236","0.217374918018426","0.192753089213287","0.241996746823566"
"Seltener","1992","66 und älter","Realschulabschluss","48","0.264725270728097","0.201992595111418","0.327457946344775"
"Seltener","1992","66 und älter","(Fach-)Abitur","","","",""
"Seltener","1992","66 und älter","AkademikerInnen","","","",""
"Nie","1992","16-34 Jahre alt","(noch) kein Abschluss","206","0.5598970052831","0.508619359875833","0.611174650690366"
"Nie","1992","16-34 Jahre alt","Hauptschulabschluss","884","0.552284892967786","0.528144921906162","0.57642486402941"
"Nie","1992","16-34 Jahre alt","Realschulabschluss","1147","0.626211476598186","0.603634161541486","0.648788791654886"
"Nie","1992","16-34 Jahre alt","(Fach-)Abitur","346","0.585069667691882","0.545873362638693","0.62426597274507"
"Nie","1992","16-34 Jahre alt","AkademikerInnen","293","0.634202576839138","0.58940124466509","0.679003909013186"
"Nie","1992","35-65 Jahre alt","(noch) kein Abschluss","201","0.486174454839639","0.441692779547583","0.530656130131695"
"Nie","1992","35-65 Jahre alt","Hauptschulabschluss","1959","0.483626011898578","0.467757996715374","0.499494027081781"
"Nie","1992","35-65 Jahre alt","Realschulabschluss","660","0.517249661032441","0.488191352785495","0.546307969279387"
"Nie","1992","35-65 Jahre alt","(Fach-)Abitur","130","0.525265610372211","0.462864061707529","0.587667159036893"
"Nie","1992","35-65 Jahre alt","AkademikerInnen","692","0.574596890451421","0.545273192487795","0.603920588415047"
"Nie","1992","66 und älter","(noch) kein Abschluss","","","",""
"Nie","1992","66 und älter","Hauptschulabschluss","523","0.463045099086501","0.433279182397361","0.492811015775641"
"Nie","1992","66 und älter","Realschulabschluss","82","0.425479370729853","0.3551780703379","0.495780671121805"
"Nie","1992","66 und älter","(Fach-)Abitur","","","",""
"Nie","1992","66 und älter","AkademikerInnen","52","0.412063584311953","0.319234618641608","0.504892549982297"
"Taeglich","1993","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Taeglich","1993","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Taeglich","1993","16-34 Jahre alt","Realschulabschluss","","","",""
"Taeglich","1993","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Taeglich","1993","16-34 Jahre alt","AkademikerInnen","","","",""
"Taeglich","1993","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Taeglich","1993","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Taeglich","1993","35-65 Jahre alt","Realschulabschluss","","","",""
"Taeglich","1993","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Taeglich","1993","35-65 Jahre alt","AkademikerInnen","","","",""
"Taeglich","1993","66 und älter","(noch) kein Abschluss","","","",""
"Taeglich","1993","66 und älter","Hauptschulabschluss","","","",""
"Taeglich","1993","66 und älter","Realschulabschluss","","","",""
"Taeglich","1993","66 und älter","(Fach-)Abitur","","","",""
"Taeglich","1993","66 und älter","AkademikerInnen","","","",""
"Min 1x pro Woche","1993","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1993","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Min 1x pro Woche","1993","16-34 Jahre alt","Realschulabschluss","","","",""
"Min 1x pro Woche","1993","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1993","16-34 Jahre alt","AkademikerInnen","","","",""
"Min 1x pro Woche","1993","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1993","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Min 1x pro Woche","1993","35-65 Jahre alt","Realschulabschluss","","","",""
"Min 1x pro Woche","1993","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1993","35-65 Jahre alt","AkademikerInnen","","","",""
"Min 1x pro Woche","1993","66 und älter","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1993","66 und älter","Hauptschulabschluss","","","",""
"Min 1x pro Woche","1993","66 und älter","Realschulabschluss","","","",""
"Min 1x pro Woche","1993","66 und älter","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1993","66 und älter","AkademikerInnen","","","",""
"Min 1x pro Monat","1993","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1993","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Min 1x pro Monat","1993","16-34 Jahre alt","Realschulabschluss","","","",""
"Min 1x pro Monat","1993","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1993","16-34 Jahre alt","AkademikerInnen","","","",""
"Min 1x pro Monat","1993","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1993","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Min 1x pro Monat","1993","35-65 Jahre alt","Realschulabschluss","","","",""
"Min 1x pro Monat","1993","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1993","35-65 Jahre alt","AkademikerInnen","","","",""
"Min 1x pro Monat","1993","66 und älter","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1993","66 und älter","Hauptschulabschluss","","","",""
"Min 1x pro Monat","1993","66 und älter","Realschulabschluss","","","",""
"Min 1x pro Monat","1993","66 und älter","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1993","66 und älter","AkademikerInnen","","","",""
"Seltener","1993","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Seltener","1993","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Seltener","1993","16-34 Jahre alt","Realschulabschluss","","","",""
"Seltener","1993","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Seltener","1993","16-34 Jahre alt","AkademikerInnen","","","",""
"Seltener","1993","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Seltener","1993","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Seltener","1993","35-65 Jahre alt","Realschulabschluss","","","",""
"Seltener","1993","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Seltener","1993","35-65 Jahre alt","AkademikerInnen","","","",""
"Seltener","1993","66 und älter","(noch) kein Abschluss","","","",""
"Seltener","1993","66 und älter","Hauptschulabschluss","","","",""
"Seltener","1993","66 und älter","Realschulabschluss","","","",""
"Seltener","1993","66 und älter","(Fach-)Abitur","","","",""
"Seltener","1993","66 und älter","AkademikerInnen","","","",""
"Nie","1993","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Nie","1993","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Nie","1993","16-34 Jahre alt","Realschulabschluss","","","",""
"Nie","1993","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Nie","1993","16-34 Jahre alt","AkademikerInnen","","","",""
"Nie","1993","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Nie","1993","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Nie","1993","35-65 Jahre alt","Realschulabschluss","","","",""
"Nie","1993","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Nie","1993","35-65 Jahre alt","AkademikerInnen","","","",""
"Nie","1993","66 und älter","(noch) kein Abschluss","","","",""
"Nie","1993","66 und älter","Hauptschulabschluss","","","",""
"Nie","1993","66 und älter","Realschulabschluss","","","",""
"Nie","1993","66 und älter","(Fach-)Abitur","","","",""
"Nie","1993","66 und älter","AkademikerInnen","","","",""
"Taeglich","1994","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Taeglich","1994","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Taeglich","1994","16-34 Jahre alt","Realschulabschluss","","","",""
"Taeglich","1994","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Taeglich","1994","16-34 Jahre alt","AkademikerInnen","","","",""
"Taeglich","1994","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Taeglich","1994","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Taeglich","1994","35-65 Jahre alt","Realschulabschluss","","","",""
"Taeglich","1994","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Taeglich","1994","35-65 Jahre alt","AkademikerInnen","","","",""
"Taeglich","1994","66 und älter","(noch) kein Abschluss","","","",""
"Taeglich","1994","66 und älter","Hauptschulabschluss","","","",""
"Taeglich","1994","66 und älter","Realschulabschluss","","","",""
"Taeglich","1994","66 und älter","(Fach-)Abitur","","","",""
"Taeglich","1994","66 und älter","AkademikerInnen","","","",""
"Min 1x pro Woche","1994","16-34 Jahre alt","(noch) kein Abschluss","45","0.100672798113564","0.0706944607152191","0.130651135511909"
"Min 1x pro Woche","1994","16-34 Jahre alt","Hauptschulabschluss","107","0.0500792770344558","0.0389029620186666","0.0612555920502451"
"Min 1x pro Woche","1994","16-34 Jahre alt","Realschulabschluss","84","0.0488330907747164","0.0384716999776264","0.0591944815718065"
"Min 1x pro Woche","1994","16-34 Jahre alt","(Fach-)Abitur","52","0.0818185748640933","0.0606989520652892","0.102938197662897"
"Min 1x pro Woche","1994","16-34 Jahre alt","AkademikerInnen","37","0.0722766414250207","0.0474824867006114","0.09707079614943"
"Min 1x pro Woche","1994","35-65 Jahre alt","(noch) kein Abschluss","82","0.155529251007255","0.121275178792103","0.189783323222407"
"Min 1x pro Woche","1994","35-65 Jahre alt","Hauptschulabschluss","395","0.111868799865956","0.101485401578111","0.122252198153801"
