,Unnamed: 0,year,regtyp,sampreg,pli0098_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
56,56,1995,Rural regions,West,At least once per week,0.16829,315,13191,0.15524,0.18045
57,57,1995,Rural regions,West,At least once per month,0.14789,290,13191,0.13577,0.15933
58,58,1995,Rural regions,West,Seldom,0.33354,699,13191,0.31839,0.35183
59,59,1995,Rural regions,West,Never,0.35028,777,13191,0.33028,0.37099
60,60,1995,Rural regions,East,At least once per week,0.03251,85,13191,0.02798,0.037
61,61,1995,Rural regions,East,At least once per month,0.04304,90,13191,0.03798,0.04897
62,62,1995,Rural regions,East,Seldom,0.16288,420,13191,0.15326,0.17355
63,63,1995,Rural regions,East,Never,0.76157,1857,13191,0.73627,0.7805
64,64,1996,Urban regions,West,At least once per week,0.11886,900,13000,0.11225,0.12509
65,65,1996,Urban regions,West,At least once per month,0.09439,790,13000,0.0886,0.09932
66,66,1996,Urban regions,West,Seldom,0.31569,2241,13000,0.30704,0.3243
67,67,1996,Urban regions,West,Never,0.47107,3326,13000,0.45867,0.48256
68,68,1996,Urban regions,East,At least once per week,0.03196,40,13000,0.02827,0.03642
69,69,1996,Urban regions,East,At least once per month,0.03303,43,13000,0.02734,0.03926
70,70,1996,Urban regions,East,Seldom,0.16355,187,13000,0.14886,0.1795
71,71,1996,Urban regions,East,Never,0.77146,962,13000,0.7386,0.80241
72,72,1996,Rural regions,West,At least once per week,0.15437,294,13000,0.14013,0.16631
73,73,1996,Rural regions,West,At least once per month,0.13625,274,13000,0.12718,0.1456
74,74,1996,Rural regions,West,Seldom,0.35366,716,13000,0.33646,0.37407
75,75,1996,Rural regions,West,Never,0.35573,789,13000,0.33836,0.37697
76,76,1996,Rural regions,East,At least once per week,0.0369,87,13000,0.03231,0.04109
77,77,1996,Rural regions,East,At least once per month,0.03977,91,13000,0.03499,0.0448
78,78,1996,Rural regions,East,Seldom,0.18481,466,13000,0.1733,0.19593
79,79,1996,Rural regions,East,Never,0.73852,1794,13000,0.71812,0.75934
80,80,1997,Urban regions,West,At least once per week,0.12096,898,12751,0.11424,0.12695
81,81,1997,Urban regions,West,At least once per month,0.09114,722,12751,0.0862,0.09667
82,82,1997,Urban regions,West,Seldom,0.31378,2267,12751,0.30329,0.32337
83,83,1997,Urban regions,West,Never,0.47412,3227,12751,0.46094,0.48856
84,84,1997,Urban regions,East,At least once per week,0.02689,35,12751,0.02282,0.03113
85,85,1997,Urban regions,East,At least once per month,0.05726,62,12751,0.04837,0.06638
86,86,1997,Urban regions,East,Seldom,0.17118,190,12751,0.15387,0.18843
87,87,1997,Urban regions,East,Never,0.74467,912,12751,0.71842,0.77038
88,88,1997,Rural regions,West,At least once per week,0.15152,283,12751,0.13969,0.16106
89,89,1997,Rural regions,West,At least once per month,0.11216,231,12751,0.10365,0.12299
90,90,1997,Rural regions,West,Seldom,0.3775,780,12751,0.35747,0.39806
91,91,1997,Rural regions,West,Never,0.35882,731,12751,0.3392,0.38065
92,92,1997,Rural regions,East,At least once per week,0.03464,78,12751,0.03006,0.0401
93,93,1997,Rural regions,East,At least once per month,0.04811,111,12751,0.04337,0.05341
94,94,1997,Rural regions,East,Seldom,0.16061,400,12751,0.14849,0.1733
95,95,1997,Rural regions,East,Never,0.75664,1824,12751,0.7364,0.77732
96,96,1998,Urban regions,West,At least once per week,0.11778,970,14144,0.11209,0.12288
97,97,1998,Urban regions,West,At least once per month,0.103,837,14144,0.09703,0.10846
98,98,1998,Urban regions,West,Seldom,0.31222,2560,14144,0.30402,0.32205
99,99,1998,Urban regions,West,Never,0.46701,3590,14144,0.45628,0.47607
100,100,1998,Urban regions,East,At least once per week,0.03832,45,14144,0.03279,0.04481
101,101,1998,Urban regions,East,At least once per month,0.0495,63,14144,0.04217,0.05661
102,102,1998,Urban regions,East,Seldom,0.14958,185,14144,0.13846,0.1643
103,103,1998,Urban regions,East,Never,0.7626,957,14144,0.74063,0.79546
104,104,1998,Rural regions,West,At least once per week,0.15343,344,14144,0.14371,0.16465
105,105,1998,Rural regions,West,At least once per month,0.13428,315,14144,0.12519,0.14303
106,106,1998,Rural regions,West,Seldom,0.38496,890,14144,0.36701,0.40037
107,107,1998,Rural regions,West,Never,0.32732,794,14144,0.31192,0.34316
108,108,1998,Rural regions,East,At least once per week,0.03524,84,14144,0.03011,0.03967
109,109,1998,Rural regions,East,At least once per month,0.04759,113,14144,0.04357,0.05209
110,110,1998,Rural regions,East,Seldom,0.18336,494,14144,0.17116,0.19549
111,111,1998,Rural regions,East,Never,0.73381,1903,14144,0.7131,0.75374
112,112,1999,Urban regions,West,At least once per week,0.10889,815,13605,0.10418,0.11536
113,113,1999,Urban regions,West,At least once per month,0.09105,765,13605,0.08636,0.09554
114,114,1999,Urban regions,West,Seldom,0.33466,2574,13605,0.32522,0.34552
115,115,1999,Urban regions,West,Never,0.4654,3455,13605,0.45515,0.47684
116,116,1999,Urban regions,East,At least once per week,0.03145,37,13605,0.02661,0.03731
117,117,1999,Urban regions,East,At least once per month,0.05286,66,13605,0.04547,0.06106
118,118,1999,Urban regions,East,Seldom,0.18144,213,13605,0.16372,0.19779
119,119,1999,Urban regions,East,Never,0.73424,904,13605,0.70738,0.76103
120,120,1999,Rural regions,West,At least once per week,0.14617,313,13605,0.1344,0.15987
121,121,1999,Rural regions,West,At least once per month,0.11376,257,13605,0.10386,0.12278
122,122,1999,Rural regions,West,Seldom,0.38527,864,13605,0.36858,0.40201
123,123,1999,Rural regions,West,Never,0.35479,808,13605,0.33618,0.37074
124,124,1999,Rural regions,East,At least once per week,0.03313,77,13605,0.02836,0.03807
125,125,1999,Rural regions,East,At least once per month,0.04153,101,13605,0.03782,0.04591
126,126,1999,Rural regions,East,Seldom,0.18476,484,13605,0.17171,0.19721
127,127,1999,Rural regions,East,Never,0.74057,1872,13605,0.71899,0.76095
128,128,2001,Urban regions,West,At least once per week,0.10601,1297,21751,0.10292,0.10935
129,129,2001,Urban regions,West,At least once per month,0.09887,1290,21751,0.09526,0.10178
130,130,2001,Urban regions,West,Seldom,0.31791,4058,21751,0.31231,0.32494
131,131,2001,Urban regions,West,Never,0.47721,5796,21751,0.47041,0.48453
132,132,2001,Urban regions,East,At least once per week,0.03857,67,21751,0.0329,0.04492
133,133,2001,Urban regions,East,At least once per month,0.04375,85,21751,0.03776,0.05031
134,134,2001,Urban regions,East,Seldom,0.1587,288,21751,0.14634,0.16996
135,135,2001,Urban regions,East,Never,0.75898,1298,21751,0.73898,0.78449
136,136,2001,Rural regions,West,At least once per week,0.14422,554,21751,0.13704,0.15169
137,137,2001,Rural regions,West,At least once per month,0.135,565,21751,0.12916,0.14098
138,138,2001,Rural regions,West,Seldom,0.36727,1446,21751,0.35494,0.37729
139,139,2001,Rural regions,West,Never,0.35351,1338,21751,0.34149,0.36393
140,140,2001,Rural regions,East,At least once per week,0.02968,110,21751,0.02693,0.03336
141,141,2001,Rural regions,East,At least once per month,0.04503,166,21751,0.04096,0.04992
142,142,2001,Rural regions,East,Seldom,0.17169,650,21751,0.16284,0.17972
143,143,2001,Rural regions,East,Never,0.75359,2743,21751,0.7369,0.76919
144,144,2003,Urban regions,West,At least once per week,0.11032,1351,22024,0.10628,0.11528
145,145,2003,Urban regions,West,At least once per month,0.09937,1352,22024,0.09584,0.10381
146,146,2003,Urban regions,West,Seldom,0.32355,4334,22024,0.31605,0.33094
147,147,2003,Urban regions,West,Never,0.46676,5836,22024,0.45799,0.47534
148,148,2003,Urban regions,East,At least once per week,0.03451,67,22024,0.02906,0.04088
149,149,2003,Urban regions,East,At least once per month,0.05073,99,22024,0.0434,0.06024
150,150,2003,Urban regions,East,Seldom,0.15082,288,22024,0.13992,0.16435
151,151,2003,Urban regions,East,Never,0.76393,1305,22024,0.73711,0.79668
152,152,2003,Rural regions,West,At least once per week,0.13345,525,22024,0.12379,0.14144
153,153,2003,Rural regions,West,At least once per month,0.12453,479,22024,0.11778,0.13382
154,154,2003,Rural regions,West,Seldom,0.37461,1449,22024,0.36018,0.38859
155,155,2003,Rural regions,West,Never,0.36741,1373,22024,0.35387,0.38254
156,156,2003,Rural regions,East,At least once per week,0.02613,92,22024,0.02287,0.02911
157,157,2003,Rural regions,East,At least once per month,0.04108,165,22024,0.03721,0.04527
158,158,2003,Rural regions,East,Seldom,0.16507,608,22024,0.15497,0.17515
159,159,2003,Rural regions,East,Never,0.76771,2701,22024,0.74881,0.78491
160,160,2005,Urban regions,West,At least once per week,0.09971,1161,20584,0.09456,0.10449
161,161,2005,Urban regions,West,At least once per month,0.09106,1191,20584,0.08725,0.0949
162,162,2005,Urban regions,West,Seldom,0.32509,4054,20584,0.31593,0.33375
163,163,2005,Urban regions,West,Never,0.48414,5569,20584,0.47236,0.49345
164,164,2005,Urban regions,East,At least once per week,0.03259,65,20584,0.02759,0.03818
165,165,2005,Urban regions,East,At least once per month,0.05007,95,20584,0.04231,0.05968
166,166,2005,Urban regions,East,Seldom,0.15722,298,20584,0.14009,0.17312
167,167,2005,Urban regions,East,Never,0.76012,1240,20584,0.72977,0.7916
168,168,2005,Rural regions,West,At least once per week,0.11943,441,20584,0.11079,0.12888
169,169,2005,Rural regions,West,At least once per month,0.12051,472,20584,0.11274,0.1274
170,170,2005,Rural regions,West,Seldom,0.37646,1370,20584,0.36131,0.39405
171,171,2005,Rural regions,West,Never,0.3836,1315,20584,0.36756,0.40082
172,172,2005,Rural regions,East,At least once per week,0.02601,94,20584,0.02175,0.0293
173,173,2005,Rural regions,East,At least once per month,0.03465,140,20584,0.03,0.04057
174,174,2005,Rural regions,East,Seldom,0.17276,577,20584,0.15979,0.18416
175,175,2005,Rural regions,East,Never,0.76659,2502,20584,0.74095,0.7926
176,176,2007,Urban regions,West,At least once per week,0.09379,1137,20404,0.08918,0.09888
177,177,2007,Urban regions,West,At least once per month,0.0874,1095,20404,0.08307,0.09216
178,178,2007,Urban regions,West,Seldom,0.31127,3862,20404,0.30321,0.31882
179,179,2007,Urban regions,West,Never,0.50754,5620,20404,0.49684,0.51717
180,180,2007,Urban regions,East,At least once per week,0.03554,71,20404,0.02923,0.04149
181,181,2007,Urban regions,East,At least once per month,0.04736,89,20404,0.03881,0.05694
182,182,2007,Urban regions,East,Seldom,0.14647,278,20404,0.13411,0.15958
183,183,2007,Urban regions,East,Never,0.77063,1228,20404,0.73918,0.81259
184,184,2007,Rural regions,West,At least once per week,0.11692,463,20404,0.1086,0.12504
185,185,2007,Rural regions,West,At least once per month,0.11787,490,20404,0.10851,0.12636
186,186,2007,Rural regions,West,Seldom,0.34401,1313,20404,0.32947,0.35932
187,187,2007,Rural regions,West,Never,0.4212,1444,20404,0.40371,0.44261
188,188,2007,Rural regions,East,At least once per week,0.02498,93,20404,0.02072,0.03002
189,189,2007,Rural regions,East,At least once per month,0.04816,157,20404,0.041,0.05664
190,190,2007,Rural regions,East,Seldom,0.14582,547,20404,0.13609,0.15811
191,191,2007,Rural regions,East,Never,0.78104,2517,20404,0.7492,0.80937
192,192,2008,Urban regions,West,At least once per week,0.08857,1017,19234,0.08405,0.09446
193,193,2008,Urban regions,West,At least once per month,0.08708,1018,19234,0.08248,0.09119
194,194,2008,Urban regions,West,Seldom,0.32026,3695,19234,0.31198,0.32871
195,195,2008,Urban regions,West,Never,0.50409,5269,19234,0.49235,0.51582
196,196,2008,Urban regions,East,At least once per week,0.03415,65,19234,0.02847,0.04088
197,197,2008,Urban regions,East,At least once per month,0.05049,87,19234,0.04461,0.05902
198,198,2008,Urban regions,East,Seldom,0.16635,291,19234,0.14835,0.18455
199,199,2008,Urban regions,East,Never,0.74901,1171,19234,0.70972,0.79066
200,200,2008,Rural regions,West,At least once per week,0.11477,414,19234,0.1069,0.12269
201,201,2008,Rural regions,West,At least once per month,0.11936,473,19234,0.11083,0.12773
202,202,2008,Rural regions,West,Seldom,0.35794,1299,19234,0.33929,0.37502
203,203,2008,Rural regions,West,Never,0.40793,1296,19234,0.39087,0.42389
204,204,2008,Rural regions,East,At least once per week,0.02249,78,19234,0.01815,0.02722
205,205,2008,Rural regions,East,At least once per month,0.0441,167,19234,0.03838,0.0496
206,206,2008,Rural regions,East,Seldom,0.15669,521,19234,0.14523,0.16875
207,207,2008,Rural regions,East,Never,0.77672,2373,19234,0.74801,0.80368
208,208,2009,Urban regions,West,At least once per week,0.08325,886,17925,0.078,0.08885
209,209,2009,Urban regions,West,At least once per month,0.08379,929,17925,0.07983,0.08905
210,210,2009,Urban regions,West,Seldom,0.30917,3322,17925,0.29948,0.32053
211,211,2009,Urban regions,West,Never,0.52379,4961,17925,0.5097,0.54019
212,212,2009,Urban regions,East,At least once per week,0.03912,75,17925,0.03215,0.04771
213,213,2009,Urban regions,East,At least once per month,0.04682,87,17925,0.03729,0.05772
214,214,2009,Urban regions,East,Seldom,0.15439,246,17925,0.13827,0.17829
215,215,2009,Urban regions,East,Never,0.75966,1119,17925,0.71529,0.80772
216,216,2009,Rural regions,West,At least once per week,0.09709,357,17925,0.08908,0.10557
217,217,2009,Rural regions,West,At least once per month,0.12238,436,17925,0.11155,0.13338
218,218,2009,Rural regions,West,Seldom,0.35429,1208,17925,0.33542,0.37228
219,219,2009,Rural regions,West,Never,0.42624,1312,17925,0.40584,0.4466
220,220,2009,Rural regions,East,At least once per week,0.02823,85,17925,0.02264,0.03469
221,221,2009,Rural regions,East,At least once per month,0.0437,137,17925,0.03614,0.05473
222,222,2009,Rural regions,East,Seldom,0.16973,510,17925,0.15587,0.18852
223,223,2009,Rural regions,East,Never,0.75834,2255,17925,0.73402,0.78766
224,224,2011,Urban regions,West,At least once per week,0.08878,1530,28293,0.08414,0.09286
225,225,2011,Urban regions,West,At least once per month,0.08628,1570,28293,0.08098,0.09122
226,226,2011,Urban regions,West,Seldom,0.28697,4708,28293,0.27883,0.2958
227,227,2011,Urban regions,West,Never,0.53797,8133,28293,0.52502,0.55119
228,228,2011,Urban regions,East,At least once per week,0.04279,116,28293,0.03572,0.05254
229,229,2011,Urban regions,East,At least once per month,0.03698,120,28293,0.03169,0.04418
230,230,2011,Urban regions,East,Seldom,0.15477,324,28293,0.13769,0.17523
231,231,2011,Urban regions,East,Never,0.76546,1616,28293,0.73035,0.80264
232,232,2011,Rural regions,West,At least once per week,0.09712,640,28293,0.08877,0.10528
233,233,2011,Rural regions,West,At least once per month,0.12364,840,28293,0.11279,0.13484
234,234,2011,Rural regions,West,Seldom,0.32614,1989,28293,0.31179,0.34497
235,235,2011,Rural regions,West,Never,0.45309,2593,28293,0.43701,0.47159
236,236,2011,Rural regions,East,At least once per week,0.02847,135,28293,0.02248,0.03633
237,237,2011,Rural regions,East,At least once per month,0.04475,205,28293,0.03696,0.05249
238,238,2011,Rural regions,East,Seldom,0.15279,595,28293,0.14012,0.16427
239,239,2011,Rural regions,East,Never,0.77399,3179,28293,0.74214,0.80169
240,240,2013,Urban regions,West,At least once per week,0.0896,1282,25381,0.08442,0.09488
241,241,2013,Urban regions,West,At least once per month,0.08116,1347,25381,0.07622,0.08625
242,242,2013,Urban regions,West,Seldom,0.28718,4193,25381,0.27831,0.29637
243,243,2013,Urban regions,West,Never,0.54206,7338,25381,0.52737,0.55854
244,244,2013,Urban regions,East,At least once per week,0.03906,103,25381,0.03044,0.04907
245,245,2013,Urban regions,East,At least once per month,0.03952,94,25381,0.03355,0.04572
246,246,2013,Urban regions,East,Seldom,0.1516,278,25381,0.13263,0.17098
247,247,2013,Urban regions,East,Never,0.76981,1475,25381,0.72849,0.81033
248,248,2013,Rural regions,West,At least once per week,0.1059,606,25381,0.09661,0.1156
249,249,2013,Rural regions,West,At least once per month,0.12864,742,25381,0.11717,0.1375
250,250,2013,Rural regions,West,Seldom,0.32062,1846,25381,0.30593,0.33563
251,251,2013,Rural regions,West,Never,0.44484,2340,25381,0.42484,0.46354
252,252,2013,Rural regions,East,At least once per week,0.02983,145,25381,0.02308,0.03623
253,253,2013,Rural regions,East,At least once per month,0.04149,180,25381,0.03517,0.04701
254,254,2013,Rural regions,East,Seldom,0.14892,570,25381,0.13551,0.16668
255,255,2013,Rural regions,East,Never,0.77976,2842,25381,0.74619,0.80561
256,256,2015,Urban regions,West,At least once per week,0.08696,1351,26697,0.0813,0.09306
257,257,2015,Urban regions,West,At least once per month,0.07891,1471,26697,0.07386,0.08331
258,258,2015,Urban regions,West,Seldom,0.26815,4270,26697,0.25815,0.27654
259,259,2015,Urban regions,West,Never,0.56598,8419,26697,0.5506,0.57921
260,260,2015,Urban regions,East,At least once per week,0.03632,103,26697,0.02784,0.04565
261,261,2015,Urban regions,East,At least once per month,0.04685,101,26697,0.03647,0.05721
262,262,2015,Urban regions,East,Seldom,0.1484,268,26697,0.1325,0.17176
263,263,2015,Urban regions,East,Never,0.76842,1441,26697,0.71848,0.81379
264,264,2015,Rural regions,West,At least once per week,0.09204,542,26697,0.08221,0.10191
265,265,2015,Rural regions,West,At least once per month,0.10527,725,26697,0.09462,0.11565
266,266,2015,Rural regions,West,Seldom,0.3175,1831,26697,0.3006,0.33375
267,267,2015,Rural regions,West,Never,0.48519,2706,26697,0.46485,0.50912
268,268,2015,Rural regions,East,At least once per week,0.02163,118,26697,0.01794,0.02527
269,269,2015,Rural regions,East,At least once per month,0.03462,159,26697,0.02741,0.04185
270,270,2015,Rural regions,East,Seldom,0.13988,501,26697,0.12559,0.15111
271,271,2015,Rural regions,East,Never,0.80388,2691,26697,0.76727,0.83099
272,272,2017,Urban regions,West,At least once per week,0.08536,1768,30405,0.08038,0.09002
273,273,2017,Urban regions,West,At least once per month,0.08296,1586,30405,0.07744,0.08839
274,274,2017,Urban regions,West,Seldom,0.252,4385,30405,0.24327,0.26095
275,275,2017,Urban regions,West,Never,0.57968,9888,30405,0.56424,0.59528
276,276,2017,Urban regions,East,At least once per week,0.03965,154,30405,0.03038,0.0519
277,277,2017,Urban regions,East,At least once per month,0.04387,118,30405,0.0349,0.05465
278,278,2017,Urban regions,East,Seldom,0.14984,297,30405,0.12752,0.17533
279,279,2017,Urban regions,East,Never,0.76665,1639,30405,0.72367,0.80986
280,280,2017,Rural regions,West,At least once per week,0.09522,647,30405,0.08711,0.10525
281,281,2017,Rural regions,West,At least once per month,0.11566,752,30405,0.10509,0.12551
282,282,2017,Rural regions,West,Seldom,0.29983,1920,30405,0.28563,0.31466
283,283,2017,Rural regions,West,Never,0.4893,3313,30405,0.46677,0.51127
284,284,2017,Rural regions,East,At least once per week,0.02158,150,30405,0.01797,0.02672
285,285,2017,Rural regions,East,At least once per month,0.03984,179,30405,0.03284,0.04731
286,286,2017,Rural regions,East,Seldom,0.13998,574,30405,0.12866,0.15345
287,287,2017,Rural regions,East,Never,0.7986,3035,30405,0.76471,0.82953
288,288,2018,Urban regions,West,At least once per week,0.19147,372,3106,0.17017,0.20997
289,289,2018,Urban regions,West,At least once per month,0.1082,189,3106,0.09034,0.12535
290,290,2018,Urban regions,West,Seldom,0.17928,388,3106,0.15941,0.20474
291,291,2018,Urban regions,West,Never,0.52105,1125,3106,0.48119,0.56132
292,292,2018,Urban regions,East,At least once per week,0.21174,42,3106,0.16236,0.2706
293,293,2018,Urban regions,East,Seldom,0.16846,40,3106,0.12445,0.21497
294,294,2018,Urban regions,East,Never,0.6198,139,3106,0.52824,0.71516
295,295,2018,Rural regions,West,At least once per week,0.13093,68,3106,0.09581,0.16909
296,296,2018,Rural regions,West,At least once per month,0.10562,65,3106,0.07643,0.1392
297,297,2018,Rural regions,West,Seldom,0.1629,114,3106,0.13266,0.20166
298,298,2018,Rural regions,West,Never,0.60054,372,3106,0.52822,0.68516
299,299,2018,Rural regions,East,At least once per week,0.23641,46,3106,0.1578,0.34429
300,300,2018,Rural regions,East,Never,0.76359,146,3106,0.62191,0.91739
301,301,2019,Urban regions,West,At least once per week,0.08221,1453,28144,0.07497,0.08928
302,302,2019,Urban regions,West,At least once per month,0.07042,1349,28144,0.06517,0.07486
303,303,2019,Urban regions,West,Seldom,0.27001,4473,28144,0.25888,0.28095
304,304,2019,Urban regions,West,Never,0.57736,9169,28144,0.5612,0.59495
305,305,2019,Urban regions,East,At least once per week,0.03458,113,28144,0.0261,0.0447
306,306,2019,Urban regions,East,At least once per month,0.04437,92,28144,0.03542,0.05733
307,307,2019,Urban regions,East,Seldom,0.15385,345,28144,0.12486,0.18245
308,308,2019,Urban regions,East,Never,0.76721,1559,28144,0.71395,0.81932
309,309,2019,Rural regions,West,At least once per week,0.08622,518,28144,0.07894,0.09704
310,310,2019,Rural regions,West,At least once per month,0.11042,656,28144,0.10007,0.12107
311,311,2019,Rural regions,West,Seldom,0.30469,1792,28144,0.28903,0.3248
312,312,2019,Rural regions,West,Never,0.49868,2860,28144,0.4734,0.52375
313,313,2019,Rural regions,East,At least once per week,0.02351,163,28144,0.01756,0.03005
314,314,2019,Rural regions,East,At least once per month,0.04088,186,28144,0.03302,0.05024
315,315,2019,Rural regions,East,Seldom,0.1506,651,28144,0.13642,0.16347
316,316,2019,Rural regions,East,Never,0.78501,2765,28144,0.74951,0.82735
