,Unnamed: 0,year,bula_h,pgisced97,pli0098_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
43,43,1990,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Seldom,0.37162,117,11295,0.34518,0.39576
44,44,1990,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Never,0.34869,117,11295,0.31649,0.38758
45,45,1990,Baden-Wuerttemberg,Primary Level,At least once per week,0.17748,45,11295,0.12609,0.25176
46,46,1990,Baden-Wuerttemberg,Primary Level,Seldom,0.38516,48,11295,0.26551,0.51821
47,47,1990,Baden-Wuerttemberg,Primary Level,Never,0.43736,60,11295,0.34217,0.55504
48,48,1990,Baden-Wuerttemberg,Lower Secondary Level,At least once per week,0.25148,113,11295,0.21943,0.28629
49,49,1990,Baden-Wuerttemberg,Lower Secondary Level,At least once per month,0.13613,80,11295,0.11104,0.16069
50,50,1990,Baden-Wuerttemberg,Lower Secondary Level,Seldom,0.29321,151,11295,0.26017,0.32916
51,51,1990,Baden-Wuerttemberg,Lower Secondary Level,Never,0.31918,167,11295,0.27414,0.36095
52,52,1990,Baden-Wuerttemberg,Upper Secondary Level,At least once per week,0.18601,146,11295,0.17113,0.20277
53,53,1990,Baden-Wuerttemberg,Upper Secondary Level,At least once per month,0.13051,104,11295,0.11414,0.14422
54,54,1990,Baden-Wuerttemberg,Upper Secondary Level,Seldom,0.35616,280,11295,0.33277,0.37934
55,55,1990,Baden-Wuerttemberg,Upper Secondary Level,Never,0.32732,259,11295,0.30061,0.35476
56,56,1990,Baden-Wuerttemberg,Second Stage of Tertiary Education,Seldom,0.47502,35,11295,0.4058,0.53191
57,57,1990,Baden-Wuerttemberg,Second Stage of Tertiary Education,Never,0.52498,36,11295,0.44261,0.61666
58,58,1990,Bavaria,Primary Level,Never,1.0,31,11295,0.74949,1.35486
59,59,1990,Bavaria,Lower Secondary Level,At least once per week,0.28599,103,11295,0.25727,0.31564
60,60,1990,Bavaria,Lower Secondary Level,At least once per month,0.19916,72,11295,0.1724,0.2238
61,61,1990,Bavaria,Lower Secondary Level,Seldom,0.22893,98,11295,0.20096,0.25877
62,62,1990,Bavaria,Lower Secondary Level,Never,0.28592,128,11295,0.24101,0.32891
63,63,1990,Bavaria,Upper Secondary Level,At least once per week,0.17721,147,11295,0.16138,0.19256
64,64,1990,Bavaria,Upper Secondary Level,At least once per month,0.15877,130,11295,0.14756,0.17288
65,65,1990,Bavaria,Upper Secondary Level,Seldom,0.33025,268,11295,0.31236,0.35121
66,66,1990,Bavaria,Upper Secondary Level,Never,0.33377,261,11295,0.31052,0.35419
67,67,1990,Bavaria,First Stage of Tertiary Education,Never,1.0,33,11295,0.86875,1.1187
68,68,1990,Bavaria,Second Stage of Tertiary Education,Seldom,0.46476,37,11295,0.38909,0.53967
69,69,1990,Bavaria,Second Stage of Tertiary Education,Never,0.53524,44,11295,0.47104,0.60727
70,70,1990,Berlin,Lower Secondary Level,Never,1.0,73,11295,0.82468,1.19541
71,71,1990,Berlin,Upper Secondary Level,Seldom,0.20865,46,11295,0.17393,0.24471
72,72,1990,Berlin,Upper Secondary Level,Never,0.79135,200,11295,0.71686,0.86283
73,73,1990,Berlin,Second Stage of Tertiary Education,Never,1.0,114,11295,0.91047,1.11218
74,74,1990,Brandenburg,Lower Secondary Level,Never,1.0,67,11295,0.89538,1.12189
75,75,1990,Brandenburg,Upper Secondary Level,Seldom,0.09386,34,11295,0.08227,0.1068
76,76,1990,Brandenburg,Upper Secondary Level,Never,0.90614,334,11295,0.86257,0.95307
77,77,1990,Brandenburg,First Stage of Tertiary Education,Never,1.0,36,11295,0.86593,1.18339
78,78,1990,Brandenburg,Second Stage of Tertiary Education,Seldom,0.22715,32,11295,0.19884,0.26249
79,79,1990,Brandenburg,Second Stage of Tertiary Education,Never,0.77285,126,11295,0.71523,0.83904
80,80,1990,Mecklenburg-Western Pomerania,Lower Secondary Level,Never,1.0,51,11295,0.87019,1.13602
81,81,1990,Mecklenburg-Western Pomerania,Upper Secondary Level,Seldom,0.16164,41,11295,0.1381,0.18999
82,82,1990,Mecklenburg-Western Pomerania,Upper Secondary Level,Never,0.83836,220,11295,0.80212,0.883
83,83,1990,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Never,1.0,76,11295,0.9239,1.07916
84,84,1990,Saxony,Lower Secondary Level,Seldom,0.21931,32,11295,0.19269,0.24706
85,85,1990,Saxony,Lower Secondary Level,Never,0.78069,96,11295,0.70309,0.85155
86,86,1990,Saxony,Upper Secondary Level,At least once per month,0.05757,40,11295,0.04857,0.06694
87,87,1990,Saxony,Upper Secondary Level,Seldom,0.18489,141,11295,0.17334,0.19454
88,88,1990,Saxony,Upper Secondary Level,Never,0.75754,544,11295,0.73495,0.78537
89,89,1990,Saxony,First Stage of Tertiary Education,Never,1.0,41,11295,0.87392,1.16019
90,90,1990,Saxony,Second Stage of Tertiary Education,Seldom,0.18905,52,11295,0.17224,0.20587
91,91,1990,Saxony,Second Stage of Tertiary Education,Never,0.81095,210,11295,0.77773,0.84736
92,92,1990,Saxony-Anhalt,Lower Secondary Level,Never,1.0,86,11295,0.90689,1.10241
93,93,1990,Saxony-Anhalt,Upper Secondary Level,Seldom,0.13095,60,11295,0.11808,0.14586
94,94,1990,Saxony-Anhalt,Upper Secondary Level,Never,0.86905,352,11295,0.83098,0.91587
95,95,1990,Saxony-Anhalt,First Stage of Tertiary Education,Never,1.0,37,11295,0.85503,1.15274
96,96,1990,Saxony-Anhalt,Second Stage of Tertiary Education,Never,1.0,129,11295,0.92112,1.08627
97,97,1990,Thuringa,Lower Secondary Level,Never,1.0,47,11295,0.88824,1.11133
98,98,1990,Thuringa,Upper Secondary Level,Seldom,0.19992,100,11295,0.18664,0.2126
99,99,1990,Thuringa,Upper Secondary Level,Never,0.80008,335,11295,0.7594,0.84076
100,100,1990,Thuringa,Second Stage of Tertiary Education,Never,1.0,89,11295,0.92891,1.08926
101,101,1992,Schleswig-Holstein,Lower Secondary Level,Never,1.0,34,10739,0.78493,1.18934
102,102,1992,Schleswig-Holstein,Upper Secondary Level,Seldom,0.31762,45,10739,0.27637,0.36227
103,103,1992,Schleswig-Holstein,Upper Secondary Level,Never,0.68238,98,10739,0.6262,0.73904
104,104,1992,Hamburg,Upper Secondary Level,Never,1.0,56,10739,0.87634,1.13752
105,105,1992,Lower Saxony,Lower Secondary Level,Seldom,0.38975,64,10739,0.34466,0.43671
106,106,1992,Lower Saxony,Lower Secondary Level,Never,0.61025,122,10739,0.55115,0.69518
107,107,1992,Lower Saxony,Upper Secondary Level,Seldom,0.37595,162,10739,0.34636,0.40834
108,108,1992,Lower Saxony,Upper Secondary Level,Never,0.62405,276,10739,0.58239,0.65931
109,109,1992,Lower Saxony,First Stage of Tertiary Education,Seldom,1.0,32,10739,0.82633,1.20643
110,110,1992,Lower Saxony,Second Stage of Tertiary Education,Never,1.0,43,10739,0.84953,1.19568
111,111,1992,North Rhine-Westphalia,Primary Level,At least once per week,0.17471,32,10739,0.15154,0.19928
112,112,1992,North Rhine-Westphalia,Primary Level,Seldom,0.22337,35,10739,0.15539,0.31159
113,113,1992,North Rhine-Westphalia,Primary Level,Never,0.60192,84,10739,0.51624,0.68337
114,114,1992,North Rhine-Westphalia,Lower Secondary Level,At least once per week,0.13921,78,10739,0.12137,0.16095
115,115,1992,North Rhine-Westphalia,Lower Secondary Level,At least once per month,0.10126,55,10739,0.07716,0.11985
116,116,1992,North Rhine-Westphalia,Lower Secondary Level,Seldom,0.24823,129,10739,0.22177,0.27649
117,117,1992,North Rhine-Westphalia,Lower Secondary Level,Never,0.51129,320,10739,0.47386,0.54843
118,118,1992,North Rhine-Westphalia,Upper Secondary Level,At least once per week,0.13006,154,10739,0.11515,0.14465
119,119,1992,North Rhine-Westphalia,Upper Secondary Level,At least once per month,0.0716,93,10739,0.06384,0.08058
120,120,1992,North Rhine-Westphalia,Upper Secondary Level,Seldom,0.329,379,10739,0.31085,0.34799
121,121,1992,North Rhine-Westphalia,Upper Secondary Level,Never,0.46935,584,10739,0.44655,0.48933
122,122,1992,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Never,1.0,51,10739,0.79849,1.20834
123,123,1992,North Rhine-Westphalia,First Stage of Tertiary Education,Seldom,0.42891,41,10739,0.37427,0.49559
124,124,1992,North Rhine-Westphalia,First Stage of Tertiary Education,Never,0.57109,61,10739,0.47575,0.67177
125,125,1992,North Rhine-Westphalia,Second Stage of Tertiary Education,At least once per week,0.21984,40,10739,0.1929,0.25316
126,126,1992,North Rhine-Westphalia,Second Stage of Tertiary Education,Seldom,0.34044,65,10739,0.29087,0.38837
127,127,1992,North Rhine-Westphalia,Second Stage of Tertiary Education,Never,0.43972,86,10739,0.38531,0.49644
128,128,1992,Hesse,Lower Secondary Level,At least once per week,0.15179,37,10739,0.10765,0.1987
129,129,1992,Hesse,Lower Secondary Level,At least once per month,0.15012,52,10739,0.11532,0.18752
130,130,1992,Hesse,Lower Secondary Level,Seldom,0.28999,64,10739,0.24327,0.33819
131,131,1992,Hesse,Lower Secondary Level,Never,0.4081,93,10739,0.34102,0.48031
132,132,1992,Hesse,Upper Secondary Level,At least once per week,0.11045,37,10739,0.08998,0.13507
133,133,1992,Hesse,Upper Secondary Level,At least once per month,0.08751,51,10739,0.06849,0.10817
134,134,1992,Hesse,Upper Secondary Level,Seldom,0.38028,152,10739,0.35061,0.41564
135,135,1992,Hesse,Upper Secondary Level,Never,0.42175,188,10739,0.37603,0.46844
136,136,1992,Hesse,Second Stage of Tertiary Education,Never,1.0,55,10739,0.85822,1.13865
137,137,1992,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Seldom,0.41771,62,10739,0.35826,0.47732
138,138,1992,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Never,0.58229,85,10739,0.50488,0.6609
139,139,1992,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Seldom,0.48996,130,10739,0.44276,0.5441
140,140,1992,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Never,0.51004,133,10739,0.46494,0.56209
141,141,1992,Baden-Wuerttemberg,Primary Level,At least once per week,0.19148,44,10739,0.1427,0.26152
142,142,1992,Baden-Wuerttemberg,Primary Level,Seldom,0.32469,52,10739,0.23903,0.42965
143,143,1992,Baden-Wuerttemberg,Primary Level,Never,0.48383,58,10739,0.38183,0.56077
144,144,1992,Baden-Wuerttemberg,Lower Secondary Level,At least once per week,0.23107,89,10739,0.19702,0.26823
145,145,1992,Baden-Wuerttemberg,Lower Secondary Level,At least once per month,0.1549,80,10739,0.12384,0.19078
146,146,1992,Baden-Wuerttemberg,Lower Secondary Level,Seldom,0.3075,152,10739,0.27229,0.34397
147,147,1992,Baden-Wuerttemberg,Lower Secondary Level,Never,0.30652,161,10739,0.27244,0.3521
148,148,1992,Baden-Wuerttemberg,Upper Secondary Level,At least once per week,0.12711,104,10739,0.11128,0.14151
149,149,1992,Baden-Wuerttemberg,Upper Secondary Level,At least once per month,0.15833,121,10739,0.13991,0.17615
150,150,1992,Baden-Wuerttemberg,Upper Secondary Level,Seldom,0.35431,267,10739,0.32338,0.38766
151,151,1992,Baden-Wuerttemberg,Upper Secondary Level,Never,0.36026,281,10739,0.3286,0.39226
152,152,1992,Baden-Wuerttemberg,First Stage of Tertiary Education,Seldom,1.0,36,10739,0.82214,1.14487
153,153,1992,Baden-Wuerttemberg,Second Stage of Tertiary Education,Seldom,0.47514,41,10739,0.39236,0.54858
154,154,1992,Baden-Wuerttemberg,Second Stage of Tertiary Education,Never,0.52486,38,10739,0.45273,0.6184
155,155,1992,Bavaria,Primary Level,Never,1.0,36,10739,0.7588,1.2955
156,156,1992,Bavaria,Lower Secondary Level,At least once per week,0.25612,88,10739,0.22609,0.28155
157,157,1992,Bavaria,Lower Secondary Level,At least once per month,0.13662,48,10739,0.11247,0.15636
158,158,1992,Bavaria,Lower Secondary Level,Seldom,0.26628,101,10739,0.2366,0.29801
159,159,1992,Bavaria,Lower Secondary Level,Never,0.34098,149,10739,0.30141,0.3857
160,160,1992,Bavaria,Upper Secondary Level,At least once per week,0.16418,130,10739,0.14875,0.17687
161,161,1992,Bavaria,Upper Secondary Level,At least once per month,0.12354,109,10739,0.11138,0.13656
162,162,1992,Bavaria,Upper Secondary Level,Seldom,0.3033,252,10739,0.28421,0.32339
163,163,1992,Bavaria,Upper Secondary Level,Never,0.40898,326,10739,0.38773,0.43653
164,164,1992,Bavaria,First Stage of Tertiary Education,Seldom,0.45065,34,10739,0.37835,0.51947
165,165,1992,Bavaria,First Stage of Tertiary Education,Never,0.54935,40,10739,0.44685,0.64097
166,166,1992,Bavaria,Second Stage of Tertiary Education,Seldom,0.39455,44,10739,0.3381,0.46206
167,167,1992,Bavaria,Second Stage of Tertiary Education,Never,0.60545,63,10739,0.5159,0.6749
168,168,1992,Berlin,Lower Secondary Level,Never,1.0,67,10739,0.86343,1.15317
169,169,1992,Berlin,Upper Secondary Level,Never,1.0,204,10739,0.91877,1.09059
170,170,1992,Berlin,Second Stage of Tertiary Education,Never,1.0,111,10739,0.88719,1.09186
171,171,1992,Brandenburg,Lower Secondary Level,Never,1.0,58,10739,0.8585,1.16947
172,172,1992,Brandenburg,Upper Secondary Level,Seldom,0.11164,34,10739,0.09405,0.13771
173,173,1992,Brandenburg,Upper Secondary Level,Never,0.88836,303,10739,0.83877,0.944
174,174,1992,Brandenburg,First Stage of Tertiary Education,Never,1.0,36,10739,0.85918,1.17067
175,175,1992,Brandenburg,Second Stage of Tertiary Education,Never,1.0,126,10739,0.90642,1.08681
176,176,1992,Mecklenburg-Western Pomerania,Lower Secondary Level,Never,1.0,42,10739,0.84337,1.18757
177,177,1992,Mecklenburg-Western Pomerania,Upper Secondary Level,Never,1.0,191,10739,0.93486,1.06927
178,178,1992,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Never,1.0,72,10739,0.90376,1.08384
179,179,1992,Saxony,Lower Secondary Level,Never,1.0,99,10739,0.87852,1.10968
180,180,1992,Saxony,Upper Secondary Level,At least once per month,0.05205,31,10739,0.04242,0.06334
181,181,1992,Saxony,Upper Secondary Level,Seldom,0.14842,104,10739,0.13851,0.15781
182,182,1992,Saxony,Upper Secondary Level,Never,0.79953,491,10739,0.76629,0.83737
183,183,1992,Saxony,First Stage of Tertiary Education,Never,1.0,36,10739,0.84445,1.1666
184,184,1992,Saxony,Second Stage of Tertiary Education,Seldom,0.22716,51,10739,0.2029,0.25328
185,185,1992,Saxony,Second Stage of Tertiary Education,Never,0.77284,180,10739,0.72562,0.82481
186,186,1992,Saxony-Anhalt,Lower Secondary Level,Never,1.0,80,10739,0.86643,1.14824
187,187,1992,Saxony-Anhalt,Upper Secondary Level,Seldom,0.12245,60,10739,0.10239,0.14606
188,188,1992,Saxony-Anhalt,Upper Secondary Level,Never,0.87755,334,10739,0.82163,0.92817
189,189,1992,Saxony-Anhalt,First Stage of Tertiary Education,Never,1.0,38,10739,0.844,1.20616
190,190,1992,Saxony-Anhalt,Second Stage of Tertiary Education,Never,1.0,135,10739,0.90774,1.09477
191,191,1992,Thuringa,Lower Secondary Level,Never,1.0,43,10739,0.84647,1.17567
192,192,1992,Thuringa,Upper Secondary Level,At least once per week,0.09396,32,10739,0.08116,0.10798
193,193,1992,Thuringa,Upper Secondary Level,Seldom,0.18438,91,10739,0.15878,0.2053
194,194,1992,Thuringa,Upper Secondary Level,Never,0.72165,297,10739,0.67662,0.76742
195,195,1992,Thuringa,Second Stage of Tertiary Education,Never,1.0,91,10739,0.90107,1.12422
196,196,1994,Schleswig-Holstein,Lower Secondary Level,Never,1.0,33,10377,0.81153,1.21154
197,197,1994,Schleswig-Holstein,Upper Secondary Level,Seldom,0.36311,48,10377,0.31676,0.40859
198,198,1994,Schleswig-Holstein,Upper Secondary Level,Never,0.63689,98,10377,0.57291,0.70678
199,199,1994,Hamburg,Upper Secondary Level,Never,1.0,57,10377,0.86354,1.13304
200,200,1994,Lower Saxony,Lower Secondary Level,Seldom,0.41221,68,10377,0.36241,0.46699
201,201,1994,Lower Saxony,Lower Secondary Level,Never,0.58779,107,10377,0.49997,0.66892
202,202,1994,Lower Saxony,Upper Secondary Level,At least once per week,0.05844,32,10377,0.0469,0.07063
203,203,1994,Lower Saxony,Upper Secondary Level,At least once per month,0.06999,35,10377,0.05755,0.08609
204,204,1994,Lower Saxony,Upper Secondary Level,Seldom,0.32018,154,10377,0.29617,0.35342
205,205,1994,Lower Saxony,Upper Secondary Level,Never,0.55139,277,10377,0.50611,0.59061
206,206,1994,Lower Saxony,Second Stage of Tertiary Education,Never,1.0,43,10377,0.84798,1.18826
207,207,1994,Bremen,Upper Secondary Level,Never,1.0,31,10377,0.84138,1.19626
208,208,1994,North Rhine-Westphalia,Primary Level,At least once per week,0.16485,32,10377,0.13675,0.19639
209,209,1994,North Rhine-Westphalia,Primary Level,Seldom,0.33084,38,10377,0.27459,0.4038
210,210,1994,North Rhine-Westphalia,Primary Level,Never,0.50431,64,10377,0.37294,0.61422
211,211,1994,North Rhine-Westphalia,Lower Secondary Level,At least once per week,0.17649,84,10377,0.14638,0.20478
212,212,1994,North Rhine-Westphalia,Lower Secondary Level,At least once per month,0.10372,54,10377,0.0824,0.12976
213,213,1994,North Rhine-Westphalia,Lower Secondary Level,Seldom,0.24808,122,10377,0.2178,0.27746
214,214,1994,North Rhine-Westphalia,Lower Secondary Level,Never,0.4717,252,10377,0.43372,0.51381
215,215,1994,North Rhine-Westphalia,Upper Secondary Level,At least once per week,0.11165,138,10377,0.09914,0.12387
216,216,1994,North Rhine-Westphalia,Upper Secondary Level,At least once per month,0.08947,107,10377,0.0788,0.09866
217,217,1994,North Rhine-Westphalia,Upper Secondary Level,Seldom,0.32907,400,10377,0.31172,0.34982
218,218,1994,North Rhine-Westphalia,Upper Secondary Level,Never,0.46981,575,10377,0.43949,0.49924
219,219,1994,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Never,1.0,46,10377,0.81756,1.19733
220,220,1994,North Rhine-Westphalia,First Stage of Tertiary Education,Seldom,0.37858,41,10377,0.3332,0.44114
221,221,1994,North Rhine-Westphalia,First Stage of Tertiary Education,Never,0.62142,48,10377,0.51209,0.75842
222,222,1994,North Rhine-Westphalia,Second Stage of Tertiary Education,At least once per week,0.20777,43,10377,0.17282,0.24735
223,223,1994,North Rhine-Westphalia,Second Stage of Tertiary Education,Seldom,0.39205,71,10377,0.33411,0.45619
224,224,1994,North Rhine-Westphalia,Second Stage of Tertiary Education,Never,0.40019,87,10377,0.34399,0.45243
225,225,1994,Hesse,Lower Secondary Level,At least once per week,0.12873,31,10377,0.09134,0.17509
226,226,1994,Hesse,Lower Secondary Level,At least once per month,0.18872,46,10377,0.14283,0.2478
227,227,1994,Hesse,Lower Secondary Level,Seldom,0.23187,52,10377,0.18756,0.28676
228,228,1994,Hesse,Lower Secondary Level,Never,0.45069,97,10377,0.35999,0.52246
229,229,1994,Hesse,Upper Secondary Level,At least once per week,0.08432,32,10377,0.05832,0.1083
230,230,1994,Hesse,Upper Secondary Level,At least once per month,0.10375,47,10377,0.07571,0.13118
231,231,1994,Hesse,Upper Secondary Level,Seldom,0.37789,154,10377,0.34642,0.40807
232,232,1994,Hesse,Upper Secondary Level,Never,0.43404,180,10377,0.39415,0.47678
233,233,1994,Hesse,Second Stage of Tertiary Education,Never,1.0,56,10377,0.83941,1.15385
234,234,1994,"Rhineland-Palatinate, Saarland",Lower Secondary Level,At least once per week,0.22963,35,10377,0.18983,0.27605
235,235,1994,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Seldom,0.32801,59,10377,0.28381,0.37912
236,236,1994,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Never,0.44237,69,10377,0.38908,0.50127
237,237,1994,"Rhineland-Palatinate, Saarland",Upper Secondary Level,At least once per week,0.12389,36,10377,0.10789,0.13928
238,238,1994,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Seldom,0.39396,117,10377,0.35568,0.42882
239,239,1994,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Never,0.48215,138,10377,0.44217,0.5342
240,240,1994,Baden-Wuerttemberg,Primary Level,At least once per week,0.16658,38,10377,0.1353,0.20025
241,241,1994,Baden-Wuerttemberg,Primary Level,At least once per month,0.17788,36,10377,0.14689,0.21151
242,242,1994,Baden-Wuerttemberg,Primary Level,Seldom,0.29822,52,10377,0.22835,0.38863
243,243,1994,Baden-Wuerttemberg,Primary Level,Never,0.35732,48,10377,0.28779,0.43931
244,244,1994,Baden-Wuerttemberg,Lower Secondary Level,At least once per week,0.22901,81,10377,0.19507,0.27639
245,245,1994,Baden-Wuerttemberg,Lower Secondary Level,At least once per month,0.1432,73,10377,0.11354,0.17487
246,246,1994,Baden-Wuerttemberg,Lower Secondary Level,Seldom,0.31996,139,10377,0.2692,0.37557
247,247,1994,Baden-Wuerttemberg,Lower Secondary Level,Never,0.30783,137,10377,0.25925,0.35527
248,248,1994,Baden-Wuerttemberg,Upper Secondary Level,At least once per week,0.13113,100,10377,0.11393,0.14588
249,249,1994,Baden-Wuerttemberg,Upper Secondary Level,At least once per month,0.16303,127,10377,0.14253,0.18285
250,250,1994,Baden-Wuerttemberg,Upper Secondary Level,Seldom,0.35541,289,10377,0.32967,0.38311
251,251,1994,Baden-Wuerttemberg,Upper Secondary Level,Never,0.35043,267,10377,0.31195,0.38258
252,252,1994,Baden-Wuerttemberg,First Stage of Tertiary Education,Seldom,0.51012,36,10377,0.40615,0.60484
253,253,1994,Baden-Wuerttemberg,First Stage of Tertiary Education,Never,0.48988,31,10377,0.40552,0.57174
254,254,1994,Baden-Wuerttemberg,Second Stage of Tertiary Education,Seldom,0.41176,41,10377,0.33987,0.4911
255,255,1994,Baden-Wuerttemberg,Second Stage of Tertiary Education,Never,0.58824,44,10377,0.48894,0.71922
256,256,1994,Bavaria,Lower Secondary Level,At least once per week,0.25855,78,10377,0.22294,0.28661
257,257,1994,Bavaria,Lower Secondary Level,At least once per month,0.15327,53,10377,0.13326,0.18197
258,258,1994,Bavaria,Lower Secondary Level,Seldom,0.26347,99,10377,0.22617,0.30906
259,259,1994,Bavaria,Lower Secondary Level,Never,0.32471,118,10377,0.28499,0.37131
260,260,1994,Bavaria,Upper Secondary Level,At least once per week,0.17693,131,10377,0.15764,0.19351
261,261,1994,Bavaria,Upper Secondary Level,At least once per month,0.13082,114,10377,0.11871,0.1455
262,262,1994,Bavaria,Upper Secondary Level,Seldom,0.34144,271,10377,0.31405,0.3699
263,263,1994,Bavaria,Upper Secondary Level,Never,0.35081,288,10377,0.32059,0.37729
264,264,1994,Bavaria,First Stage of Tertiary Education,Never,1.0,42,10377,0.81215,1.20868
265,265,1994,Bavaria,Second Stage of Tertiary Education,Seldom,0.36898,50,10377,0.2999,0.44044
266,266,1994,Bavaria,Second Stage of Tertiary Education,Never,0.63102,70,10377,0.54785,0.72654
267,267,1994,Berlin,Lower Secondary Level,Never,1.0,54,10377,0.82992,1.17913
268,268,1994,Berlin,Upper Secondary Level,Seldom,0.16164,34,10377,0.12421,0.19471
269,269,1994,Berlin,Upper Secondary Level,Never,0.83836,185,10377,0.77478,0.92634
