,Unnamed: 0,year,bula_h,sex,pli0098_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
113,113,1992,"Rhineland-Palatinate, Saarland",female,At least once per week,0.15514,52,12694,0.13294,0.17821
114,114,1992,"Rhineland-Palatinate, Saarland",female,At least once per month,0.1207,45,12694,0.10021,0.14339
115,115,1992,"Rhineland-Palatinate, Saarland",female,Seldom,0.32458,117,12694,0.28611,0.35685
116,116,1992,"Rhineland-Palatinate, Saarland",female,Never,0.39958,133,12694,0.36002,0.44006
117,117,1992,Baden-Wuerttemberg,male,At least once per week,0.13147,133,12694,0.11289,0.14975
118,118,1992,Baden-Wuerttemberg,male,At least once per month,0.13423,128,12694,0.11675,0.15216
119,119,1992,Baden-Wuerttemberg,male,Seldom,0.34769,285,12694,0.31842,0.3803
120,120,1992,Baden-Wuerttemberg,male,Never,0.38661,323,12694,0.35232,0.41883
121,121,1992,Baden-Wuerttemberg,female,At least once per week,0.17801,156,12694,0.155,0.20423
122,122,1992,Baden-Wuerttemberg,female,At least once per month,0.16525,139,12694,0.1448,0.1873
123,123,1992,Baden-Wuerttemberg,female,Seldom,0.337,296,12694,0.30684,0.36308
124,124,1992,Baden-Wuerttemberg,female,Never,0.31974,284,12694,0.29119,0.3515
125,125,1992,Bavaria,male,At least once per week,0.17086,132,12694,0.1526,0.19088
126,126,1992,Bavaria,male,At least once per month,0.11722,96,12694,0.10457,0.13421
127,127,1992,Bavaria,male,Seldom,0.27302,228,12694,0.25232,0.29029
128,128,1992,Bavaria,male,Never,0.43891,352,12694,0.41108,0.47035
129,129,1992,Bavaria,female,At least once per week,0.20629,157,12694,0.19019,0.22112
130,130,1992,Bavaria,female,At least once per month,0.1253,105,12694,0.1111,0.14235
131,131,1992,Bavaria,female,Seldom,0.30859,250,12694,0.28907,0.32999
132,132,1992,Bavaria,female,Never,0.35981,305,12694,0.33018,0.38666
133,133,1992,Berlin,male,Seldom,0.14243,35,12694,0.11561,0.1878
134,134,1992,Berlin,male,Never,0.85757,218,12694,0.76995,0.93937
135,135,1992,Berlin,female,Seldom,0.18188,41,12694,0.15621,0.20579
136,136,1992,Berlin,female,Never,0.81812,239,12694,0.75124,0.8921
137,137,1992,Brandenburg,male,Seldom,0.1038,32,12694,0.08222,0.13007
138,138,1992,Brandenburg,male,Never,0.8962,272,12694,0.84031,0.94349
139,139,1992,Brandenburg,female,Seldom,0.1729,49,12694,0.14825,0.20198
140,140,1992,Brandenburg,female,Never,0.8271,274,12694,0.77919,0.87131
141,141,1992,Mecklenburg-Western Pomerania,male,Never,1.0,176,12694,0.92938,1.066
142,142,1992,Mecklenburg-Western Pomerania,female,Seldom,0.16935,32,12694,0.143,0.19895
143,143,1992,Mecklenburg-Western Pomerania,female,Never,0.83065,165,12694,0.76867,0.89399
144,144,1992,Saxony,male,Seldom,0.17461,89,12694,0.15983,0.19007
145,145,1992,Saxony,male,Never,0.82539,408,12694,0.78415,0.87178
146,146,1992,Saxony,female,At least once per month,0.06035,32,12694,0.05064,0.07464
147,147,1992,Saxony,female,Seldom,0.19615,120,12694,0.18115,0.21239
148,148,1992,Saxony,female,Never,0.7435,438,12694,0.70892,0.77645
149,149,1992,Saxony-Anhalt,male,Seldom,0.12769,47,12694,0.10509,0.1481
150,150,1992,Saxony-Anhalt,male,Never,0.87231,295,12694,0.80942,0.94112
151,151,1992,Saxony-Anhalt,female,Seldom,0.12575,57,12694,0.10917,0.14426
152,152,1992,Saxony-Anhalt,female,Never,0.87425,311,12694,0.81891,0.92894
153,153,1992,Thuringa,male,Seldom,0.17159,60,12694,0.14553,0.2028
154,154,1992,Thuringa,male,Never,0.82841,230,12694,0.77447,0.87931
155,155,1992,Thuringa,female,Seldom,0.22843,78,12694,0.19828,0.25654
156,156,1992,Thuringa,female,Never,0.77157,235,12694,0.71908,0.83097
157,157,1994,Schleswig-Holstein,male,Seldom,0.34769,38,12176,0.29438,0.41126
158,158,1994,Schleswig-Holstein,male,Never,0.65231,83,12176,0.58615,0.72219
159,159,1994,Schleswig-Holstein,female,Seldom,0.39858,48,12176,0.34779,0.4491
160,160,1994,Schleswig-Holstein,female,Never,0.60142,87,12176,0.52834,0.67201
161,161,1994,Hamburg,male,Never,1.0,41,12176,0.81832,1.20783
162,162,1994,Hamburg,female,Never,1.0,50,12176,0.83844,1.16755
163,163,1994,Lower Saxony,male,Seldom,0.35073,140,12176,0.32174,0.38995
164,164,1994,Lower Saxony,male,Never,0.64927,280,12176,0.59052,0.69687
165,165,1994,Lower Saxony,female,At least once per week,0.06969,37,12176,0.05223,0.08368
166,166,1994,Lower Saxony,female,At least once per month,0.11007,48,12176,0.08943,0.13032
167,167,1994,Lower Saxony,female,Seldom,0.31854,157,12176,0.2913,0.3427
168,168,1994,Lower Saxony,female,Never,0.50169,241,12176,0.45744,0.54457
169,169,1994,North Rhine-Westphalia,male,At least once per week,0.10235,158,12176,0.09195,0.11294
170,170,1994,North Rhine-Westphalia,male,At least once per month,0.07962,94,12176,0.0695,0.08808
171,171,1994,North Rhine-Westphalia,male,Seldom,0.31857,357,12176,0.30043,0.34096
172,172,1994,North Rhine-Westphalia,male,Never,0.49946,568,12176,0.46952,0.53114
173,173,1994,North Rhine-Westphalia,female,At least once per week,0.16939,187,12176,0.15389,0.18683
174,174,1994,North Rhine-Westphalia,female,At least once per month,0.10708,141,12176,0.09322,0.12104
175,175,1994,North Rhine-Westphalia,female,Seldom,0.30295,375,12176,0.28273,0.32012
176,176,1994,North Rhine-Westphalia,female,Never,0.42057,558,12176,0.39584,0.44479
177,177,1994,Hesse,male,At least once per week,0.0551,36,12176,0.03696,0.07341
178,178,1994,Hesse,male,At least once per month,0.10947,57,12176,0.08419,0.14312
179,179,1994,Hesse,male,Seldom,0.32867,140,12176,0.29741,0.36373
180,180,1994,Hesse,male,Never,0.50676,212,12176,0.45863,0.55963
181,181,1994,Hesse,female,At least once per week,0.12221,59,12176,0.09342,0.15175
182,182,1994,Hesse,female,At least once per month,0.13709,70,12176,0.11276,0.16677
183,183,1994,Hesse,female,Seldom,0.30509,143,12176,0.27216,0.3372
184,184,1994,Hesse,female,Never,0.43561,194,12176,0.38893,0.48042
185,185,1994,"Rhineland-Palatinate, Saarland",male,At least once per week,0.12917,35,12176,0.11179,0.145
186,186,1994,"Rhineland-Palatinate, Saarland",male,Seldom,0.3538,102,12176,0.31636,0.40575
187,187,1994,"Rhineland-Palatinate, Saarland",male,Never,0.51704,136,12176,0.46359,0.5728
