year,regtyp,pli0098_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Rural regions,Seldom,0.24029,1709,6263,0.22971,0.25088
2009,Rural regions,Never,0.46336,3550,6263,0.45101,0.47571
2011,Urban regions,At least once per week,0.07079,1653,18167,0.06706,0.07452
2011,Urban regions,At least once per month,0.06803,1697,18167,0.06437,0.07170
2011,Urban regions,Seldom,0.22852,5043,18167,0.22242,0.23463
2011,Urban regions,Never,0.46557,9774,18167,0.45832,0.47283
2011,Rural regions,At least once per week,0.06026,768,10126,0.05562,0.06489
2011,Rural regions,At least once per month,0.07973,1038,10126,0.07445,0.08501
2011,Rural regions,Seldom,0.22028,2573,10126,0.21221,0.22835
2011,Rural regions,Never,0.47681,5747,10126,0.46708,0.48654
2013,Urban regions,At least once per week,0.06338,1392,16148,0.05962,0.06714
2013,Urban regions,At least once per month,0.05724,1447,16148,0.05366,0.06083
2013,Urban regions,Seldom,0.20311,4481,16148,0.19690,0.20931
2013,Urban regions,Never,0.41864,8828,16148,0.41103,0.42625
2013,Rural regions,At least once per week,0.06056,744,9233,0.05570,0.06543
2013,Rural regions,At least once per month,0.07642,916,9233,0.07100,0.08184
2013,Rural regions,Seldom,0.20338,2406,9233,0.19517,0.21159
2013,Rural regions,Never,0.45262,5167,9233,0.44247,0.46277
2015,Urban regions,At least once per week,0.06967,1457,17453,0.06589,0.07345
2015,Urban regions,At least once per month,0.06379,1574,17453,0.06017,0.06742
2015,Urban regions,Seldom,0.21571,4549,17453,0.20961,0.22181
2015,Urban regions,Never,0.49062,9873,17453,0.48320,0.49804
2015,Rural regions,At least once per week,0.05563,657,9244,0.05096,0.06031
2015,Rural regions,At least once per month,0.06806,882,9244,0.06292,0.07319
2015,Rural regions,Seldom,0.21551,2321,9244,0.20713,0.22390
2015,Rural regions,Never,0.50458,5384,9244,0.49439,0.51477
2017,Urban regions,At least once per week,0.06791,1925,19868,0.06442,0.07141
2017,Urban regions,At least once per month,0.06642,1706,19868,0.06296,0.06988
2017,Urban regions,Seldom,0.20259,4691,19868,0.19700,0.20818
2017,Urban regions,Never,0.49781,11546,19868,0.49086,0.50476
2017,Rural regions,At least once per week,0.05810,794,10537,0.05363,0.06257
2017,Rural regions,At least once per month,0.07443,929,10537,0.06942,0.07944
2017,Rural regions,Seldom,0.20492,2485,10537,0.19722,0.21263
2017,Rural regions,Never,0.50103,6329,10537,0.49148,0.51058
2018,Urban regions,At least once per week,0.00113,414,2312,-0.00024,0.00250
2018,Urban regions,At least once per month,0.00061,206,2312,-0.00040,0.00162
2018,Urban regions,Seldom,0.00103,428,2312,-0.00028,0.00234
2018,Urban regions,Never,0.00309,1264,2312,0.00082,0.00535
2018,Rural regions,At least once per week,0.00070,114,854,-0.00107,0.00247
2018,Rural regions,At least once per month,0.00051,82,854,-0.00101,0.00203
2018,Rural regions,Seldom,0.00080,140,854,-0.00110,0.00269
2018,Rural regions,Never,0.00288,518,854,-0.00072,0.00648
2019,Urban regions,At least once per week,0.06497,1567,18579,0.06142,0.06851
2019,Urban regions,At least once per month,0.05715,1446,18579,0.05381,0.06048
2019,Urban regions,Seldom,0.21621,4823,18579,0.21029,0.22213
2019,Urban regions,Never,0.49452,10743,18579,0.48733,0.50171
2019,Rural regions,At least once per week,0.05326,681,9566,0.04876,0.05777
2019,Rural regions,At least once per month,0.07105,837,9566,0.06590,0.07620
2019,Rural regions,Seldom,0.20956,2438,9566,0.20141,0.21772
2019,Rural regions,Never,0.50205,5610,9566,0.49203,0.51207
