year,quintil_oecd_hh,regtyp,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,2nd Quintile,Urban regions,Yes,0.06716,111,1331,0.05371,0.08061
2006,2nd Quintile,Urban regions,No,0.93284,1220,1331,0.91939,0.94629
2006,2nd Quintile,Rural regions,Yes,0.12017,128,891,0.09880,0.14153
2006,2nd Quintile,Rural regions,No,0.87983,763,891,0.85847,0.90120
2006,3rd Quintile,Urban regions,Yes,0.09057,144,1498,0.07603,0.10510
2006,3rd Quintile,Urban regions,No,0.90943,1354,1498,0.89490,0.92397
2006,3rd Quintile,Rural regions,Yes,0.11324,109,889,0.09239,0.13408
2006,3rd Quintile,Rural regions,No,0.88676,780,889,0.86592,0.90761
2006,4th Quintile,Urban regions,Yes,0.07501,169,1686,0.06244,0.08759
2006,4th Quintile,Urban regions,No,0.92499,1517,1686,0.91241,0.93756
2006,4th Quintile,Rural regions,Yes,0.09562,88,807,0.07532,0.11592
2006,4th Quintile,Rural regions,No,0.90438,719,807,0.88408,0.92468
2006,5th Quintile,Urban regions,Yes,0.04943,135,2318,0.04060,0.05825
2006,5th Quintile,Urban regions,No,0.95057,2183,2318,0.94175,0.95940
2006,5th Quintile,Rural regions,Yes,0.07486,70,743,0.05592,0.09379
2006,5th Quintile,Rural regions,No,0.92514,673,743,0.90621,0.94408
2011,1st Quintile,Urban regions,Yes,0.04502,100,1387,0.03410,0.05594
2011,1st Quintile,Urban regions,No,0.95498,1287,1387,0.94406,0.96590
2011,1st Quintile,Rural regions,Yes,0.07928,83,868,0.06129,0.09726
2011,1st Quintile,Rural regions,No,0.92072,785,868,0.90274,0.93871
2011,2nd Quintile,Urban regions,Yes,0.05973,101,1332,0.04700,0.07246
2011,2nd Quintile,Urban regions,No,0.94027,1231,1332,0.92754,0.95300
2011,2nd Quintile,Rural regions,Yes,0.07622,92,907,0.05894,0.09350
2011,2nd Quintile,Rural regions,No,0.92378,815,907,0.90650,0.94106
2011,3rd Quintile,Urban regions,Yes,0.06808,123,1450,0.05511,0.08105
2011,3rd Quintile,Urban regions,No,0.93192,1327,1450,0.91895,0.94489
2011,3rd Quintile,Rural regions,Yes,0.09710,117,925,0.07801,0.11620
2011,3rd Quintile,Rural regions,No,0.90290,808,925,0.88380,0.92199
2011,4th Quintile,Urban regions,Yes,0.05979,137,1637,0.04830,0.07128
2011,4th Quintile,Urban regions,No,0.94021,1500,1637,0.92872,0.95170
2011,4th Quintile,Rural regions,Yes,0.09557,92,799,0.07517,0.11597
2011,4th Quintile,Rural regions,No,0.90443,707,799,0.88403,0.92483
2011,5th Quintile,Urban regions,Yes,0.04575,128,2064,0.03673,0.05476
2011,5th Quintile,Urban regions,No,0.95425,1936,2064,0.94524,0.96327
2011,5th Quintile,Rural regions,Yes,0.09184,63,712,0.07061,0.11307
2011,5th Quintile,Rural regions,No,0.90816,649,712,0.88693,0.92939
2016,1st Quintile,Urban regions,Yes,0.01685,56,1987,0.01119,0.02251
2016,1st Quintile,Urban regions,No,0.98315,1931,1987,0.97749,0.98881
2016,1st Quintile,Rural regions,Yes,0.02836,45,1109,0.01859,0.03814
2016,1st Quintile,Rural regions,No,0.97164,1064,1109,0.96186,0.98141
2016,2nd Quintile,Urban regions,Yes,0.01371,40,1849,0.00841,0.01901
2016,2nd Quintile,Urban regions,No,0.98629,1809,1849,0.98099,0.99159
2016,2nd Quintile,Rural regions,Yes,0.05047,69,1192,0.03804,0.06290
2016,2nd Quintile,Rural regions,No,0.94953,1123,1192,0.93710,0.96196
2016,3rd Quintile,Urban regions,Yes,0.02376,53,1725,0.01657,0.03095
2016,3rd Quintile,Urban regions,No,0.97624,1672,1725,0.96905,0.98343
2016,3rd Quintile,Rural regions,Yes,0.03338,33,1018,0.02234,0.04442
2016,3rd Quintile,Rural regions,No,0.96662,985,1018,0.95558,0.97766
2016,4th Quintile,Urban regions,Yes,0.02379,53,1761,0.01667,0.03090
2016,4th Quintile,Urban regions,No,0.97621,1708,1761,0.96910,0.98333
2016,4th Quintile,Rural regions,Yes,0.02736,34,901,0.01670,0.03802
2016,4th Quintile,Rural regions,No,0.97264,867,901,0.96198,0.98330
2016,5th Quintile,Urban regions,Yes,0.01443,35,2049,0.00926,0.01959
2016,5th Quintile,Urban regions,No,0.98557,2014,2049,0.98041,0.99074
2016,5th Quintile,Rural regions,No,0.96544,682,682,0.95172,0.97916
2021,1st Quintile,Urban regions,No,0.98484,1324,1324,0.97825,0.99142
2021,1st Quintile,Rural regions,No,0.97889,670,670,0.96800,0.98978
2021,2nd Quintile,Urban regions,Yes,0.02054,33,1332,0.01292,0.02816
2021,2nd Quintile,Urban regions,No,0.97946,1299,1332,0.97184,0.98708
2021,2nd Quintile,Rural regions,Yes,0.03386,43,852,0.02171,0.04601
2021,2nd Quintile,Rural regions,No,0.96614,809,852,0.95399,0.97829
2021,3rd Quintile,Urban regions,Yes,0.02667,46,1299,0.01790,0.03543
2021,3rd Quintile,Urban regions,No,0.97333,1253,1299,0.96457,0.98210
2021,3rd Quintile,Rural regions,Yes,0.04734,46,725,0.03187,0.06281
2021,3rd Quintile,Rural regions,No,0.95266,679,725,0.93719,0.96813
2021,4th Quintile,Urban regions,Yes,0.03019,51,1396,0.02121,0.03917
2021,4th Quintile,Urban regions,No,0.96981,1345,1396,0.96083,0.97879
2021,4th Quintile,Rural regions,Yes,0.05920,40,682,0.04148,0.07693
2021,4th Quintile,Rural regions,No,0.94080,642,682,0.92307,0.95852
2021,5th Quintile,Urban regions,Yes,0.02082,57,2018,0.01459,0.02706
2021,5th Quintile,Urban regions,No,0.97918,1961,2018,0.97294,0.98541
2021,5th Quintile,Rural regions,Yes,0.04256,35,691,0.02750,0.05762
2021,5th Quintile,Rural regions,No,0.95744,656,691,0.94238,0.97250
