year,bula_h,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,"Rhineland-Palatinate, Saarland",No,0.90712,647,727,0.88601,0.92824
2006,Baden-Wuerttemberg,Yes,0.06754,117,1473,0.05472,0.08036
2006,Baden-Wuerttemberg,No,0.93246,1356,1473,0.91964,0.94528
2006,Bavaria,Yes,0.07737,161,1730,0.06478,0.08997
2006,Bavaria,No,0.92263,1569,1730,0.91003,0.93522
2006,Berlin,Yes,0.06724,36,484,0.04491,0.08958
2006,Berlin,No,0.93276,448,484,0.91042,0.95509
2006,Brandenburg,Yes,0.12615,68,532,0.09791,0.15439
2006,Brandenburg,No,0.87385,464,532,0.84561,0.90209
2006,Mecklenburg-Western Pomerania,Yes,0.08539,31,304,0.05392,0.11686
2006,Mecklenburg-Western Pomerania,No,0.91461,273,304,0.88314,0.94608
2006,Saxony,Yes,0.07916,88,877,0.06128,0.09704
2006,Saxony,No,0.92084,789,877,0.90296,0.93872
2006,Saxony-Anhalt,Yes,0.12361,67,492,0.09450,0.15273
2006,Saxony-Anhalt,No,0.87639,425,492,0.84727,0.90550
2006,Thuringa,Yes,0.12624,76,515,0.09753,0.15496
2006,Thuringa,No,0.87376,439,515,0.84504,0.90247
2011,Schleswig-Holstein,Yes,0.07568,37,406,0.04992,0.10144
2011,Schleswig-Holstein,No,0.92432,369,406,0.89856,0.95008
2011,Hamburg,No,0.97337,185,185,0.95011,0.99663
2011,Lower Saxony,Yes,0.07796,91,1087,0.06202,0.09391
2011,Lower Saxony,No,0.92204,996,1087,0.90609,0.93798
2011,Bremen,No,0.96900,75,75,0.92950,1.00849
2011,North Rhine-Westphalia,Yes,0.05175,172,2353,0.04280,0.06070
2011,North Rhine-Westphalia,No,0.94825,2181,2353,0.93930,0.95720
2011,Hesse,Yes,0.06475,67,830,0.04800,0.08150
2011,Hesse,No,0.93525,763,830,0.91850,0.95200
2011,"Rhineland-Palatinate, Saarland",Yes,0.05614,53,710,0.03919,0.07308
2011,"Rhineland-Palatinate, Saarland",No,0.94386,657,710,0.92692,0.96081
2011,Baden-Wuerttemberg,Yes,0.06212,107,1401,0.04947,0.07476
2011,Baden-Wuerttemberg,No,0.93788,1294,1401,0.92524,0.95053
2011,Bavaria,Yes,0.05248,147,1839,0.04228,0.06267
2011,Bavaria,No,0.94752,1692,1839,0.93733,0.95772
2011,Berlin,Yes,0.05033,33,513,0.03139,0.06927
2011,Berlin,No,0.94967,480,513,0.93073,0.96861
2011,Brandenburg,Yes,0.08156,52,518,0.05797,0.10516
2011,Brandenburg,No,0.91844,466,518,0.89484,0.94203
2011,Mecklenburg-Western Pomerania,Yes,0.08460,31,315,0.05382,0.11538
2011,Mecklenburg-Western Pomerania,No,0.91540,284,315,0.88462,0.94618
2011,Saxony,Yes,0.11449,94,808,0.09252,0.13646
2011,Saxony,No,0.88551,714,808,0.86354,0.90748
2011,Saxony-Anhalt,Yes,0.11530,68,509,0.08752,0.14307
2011,Saxony-Anhalt,No,0.88470,441,509,0.85693,0.91248
2011,Thuringa,Yes,0.11464,68,519,0.08720,0.14207
2011,Thuringa,No,0.88536,451,519,0.85793,0.91280
2016,Schleswig-Holstein,No,0.98317,496,496,0.97184,0.99450
2016,Hamburg,No,0.99593,261,261,0.98819,1.00367
2016,Lower Saxony,Yes,0.02597,51,1348,0.01748,0.03446
2016,Lower Saxony,No,0.97403,1297,1348,0.96554,0.98252
2016,Bremen,No,0.97663,101,101,0.94702,1.00624
2016,North Rhine-Westphalia,Yes,0.01522,64,2907,0.01077,0.01967
2016,North Rhine-Westphalia,No,0.98478,2843,2907,0.98033,0.98923
2016,Hesse,No,0.98584,956,956,0.97835,0.99334
2016,"Rhineland-Palatinate, Saarland",No,0.98303,833,833,0.97425,0.99180
2016,Baden-Wuerttemberg,Yes,0.02986,59,1627,0.02158,0.03813
2016,Baden-Wuerttemberg,No,0.97014,1568,1627,0.96187,0.97842
2016,Bavaria,Yes,0.01653,62,2300,0.01132,0.02174
2016,Bavaria,No,0.98347,2238,2300,0.97826,0.98868
2016,Berlin,No,0.98548,600,600,0.97590,0.99506
2016,Brandenburg,No,0.93659,536,536,0.91594,0.95724
2016,Mecklenburg-Western Pomerania,No,0.95584,314,314,0.93308,0.97860
2016,Saxony,Yes,0.05411,47,865,0.03902,0.06919
2016,Saxony,No,0.94589,818,865,0.93081,0.96098
2016,Saxony-Anhalt,No,0.95744,483,483,0.93942,0.97546
2016,Thuringa,No,0.96011,516,516,0.94321,0.97701
2021,Schleswig-Holstein,No,0.96851,414,414,0.95166,0.98535
2021,Hamburg,No,0.99429,264,264,0.98518,1.00340
2021,Lower Saxony,Yes,0.03160,49,1062,0.02107,0.04213
2021,Lower Saxony,No,0.96840,1013,1062,0.95787,0.97893
2021,Bremen,No,0.99272,77,77,0.97361,1.01183
2021,North Rhine-Westphalia,Yes,0.01988,54,2283,0.01416,0.02561
2021,North Rhine-Westphalia,No,0.98012,2229,2283,0.97439,0.98584
2021,Hesse,Yes,0.02988,31,694,0.01720,0.04255
2021,Hesse,No,0.97012,663,694,0.95745,0.98280
2021,"Rhineland-Palatinate, Saarland",No,0.96628,518,518,0.95072,0.98184
2021,Baden-Wuerttemberg,Yes,0.02321,39,1215,0.01474,0.03168
2021,Baden-Wuerttemberg,No,0.97679,1176,1215,0.96832,0.98526
2021,Bavaria,Yes,0.02371,60,1747,0.01657,0.03084
2021,Bavaria,No,0.97629,1687,1747,0.96916,0.98343
2021,Berlin,No,0.98384,546,546,0.97326,0.99443
2021,Brandenburg,No,0.97165,426,426,0.95587,0.98743
2021,Mecklenburg-Western Pomerania,No,0.96808,250,250,0.94625,0.98992
2021,Saxony,Yes,0.04412,39,733,0.02925,0.05900
2021,Saxony,No,0.95588,694,733,0.94100,0.97075
2021,Saxony-Anhalt,No,0.91303,340,340,0.88304,0.94303
2021,Thuringa,No,0.93124,360,360,0.90506,0.95741
