year,quintil_oecd_hh,sampreg,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,1st Quintile,West,No,0.92633,1303,1433,0.91280,0.93986
2006,1st Quintile,East,Yes,0.10593,83,663,0.08248,0.12937
2006,1st Quintile,East,No,0.89407,580,663,0.87063,0.91752
2006,2nd Quintile,West,Yes,0.07888,141,1491,0.06519,0.09256
2006,2nd Quintile,West,No,0.92112,1350,1491,0.90744,0.93481
2006,2nd Quintile,East,Yes,0.10895,98,731,0.08635,0.13155
2006,2nd Quintile,East,No,0.89105,633,731,0.86845,0.91365
2006,3rd Quintile,West,Yes,0.09547,178,1713,0.08155,0.10939
2006,3rd Quintile,West,No,0.90453,1535,1713,0.89061,0.91845
2006,3rd Quintile,East,Yes,0.10763,75,674,0.08421,0.13104
2006,3rd Quintile,East,No,0.89237,599,674,0.86896,0.91579
2006,4th Quintile,West,Yes,0.07864,197,1984,0.06679,0.09049
2006,4th Quintile,West,No,0.92136,1787,1984,0.90951,0.93321
2006,4th Quintile,East,Yes,0.09398,60,509,0.06860,0.11935
2006,4th Quintile,East,No,0.90602,449,509,0.88065,0.93140
2006,5th Quintile,West,Yes,0.05534,174,2711,0.04673,0.06395
2006,5th Quintile,West,No,0.94466,2537,2711,0.93605,0.95327
2006,5th Quintile,East,Yes,0.05594,31,350,0.03183,0.08005
2006,5th Quintile,East,No,0.94406,319,350,0.91995,0.96817
2011,1st Quintile,West,Yes,0.04176,99,1539,0.03176,0.05176
2011,1st Quintile,West,No,0.95824,1440,1539,0.94824,0.96824
2011,1st Quintile,East,Yes,0.10063,84,716,0.07858,0.12268
2011,1st Quintile,East,No,0.89937,632,716,0.87732,0.92142
2011,2nd Quintile,West,Yes,0.05611,118,1498,0.04445,0.06776
2011,2nd Quintile,West,No,0.94389,1380,1498,0.93224,0.95555
2011,2nd Quintile,East,Yes,0.09403,75,741,0.07300,0.11506
2011,2nd Quintile,East,No,0.90597,666,741,0.88494,0.92700
2011,3rd Quintile,West,Yes,0.07125,152,1721,0.05909,0.08341
2011,3rd Quintile,West,No,0.92875,1569,1721,0.91659,0.94091
2011,3rd Quintile,East,Yes,0.10513,88,654,0.08160,0.12865
2011,3rd Quintile,East,No,0.89487,566,654,0.87135,0.91840
2011,4th Quintile,West,Yes,0.06358,177,1980,0.05282,0.07433
2011,4th Quintile,West,No,0.93642,1803,1980,0.92567,0.94718
2011,4th Quintile,East,Yes,0.11393,52,456,0.08474,0.14313
2011,4th Quintile,East,No,0.88607,404,456,0.85687,0.91526
2011,5th Quintile,West,Yes,0.05426,159,2451,0.04529,0.06323
2011,5th Quintile,West,No,0.94574,2292,2451,0.93677,0.95471
2011,5th Quintile,East,Yes,0.08299,32,325,0.05295,0.11303
2011,5th Quintile,East,No,0.91701,293,325,0.88697,0.94705
2016,1st Quintile,West,Yes,0.01788,65,2276,0.01244,0.02333
2016,1st Quintile,West,No,0.98212,2211,2276,0.97667,0.98756
2016,1st Quintile,East,Yes,0.02910,36,820,0.01759,0.04061
2016,1st Quintile,East,No,0.97090,784,820,0.95939,0.98241
2016,2nd Quintile,West,Yes,0.01753,55,2242,0.01210,0.02297
2016,2nd Quintile,West,No,0.98247,2187,2242,0.97703,0.98790
2016,2nd Quintile,East,Yes,0.05824,54,799,0.04199,0.07449
2016,2nd Quintile,East,No,0.94176,745,799,0.92551,0.95801
2016,3rd Quintile,West,Yes,0.01792,54,2071,0.01221,0.02364
2016,3rd Quintile,West,No,0.98208,2017,2071,0.97636,0.98779
2016,3rd Quintile,East,Yes,0.06168,32,672,0.04348,0.07988
2016,3rd Quintile,East,No,0.93832,640,672,0.92012,0.95652
2016,4th Quintile,West,Yes,0.02178,69,2205,0.01568,0.02787
2016,4th Quintile,West,No,0.97822,2136,2205,0.97213,0.98432
2016,4th Quintile,East,No,0.95509,439,439,0.93570,0.97449
2016,5th Quintile,West,Yes,0.01784,48,2428,0.01258,0.02311
2016,5th Quintile,West,No,0.98216,2380,2428,0.97689,0.98742
2016,5th Quintile,East,No,0.96477,316,316,0.94441,0.98513
2021,1st Quintile,West,No,0.98584,1480,1480,0.97982,0.99186
2021,1st Quintile,East,No,0.97288,515,515,0.95884,0.98693
2021,2nd Quintile,West,Yes,0.01876,42,1617,0.01214,0.02537
2021,2nd Quintile,West,No,0.98124,1575,1617,0.97463,0.98786
2021,2nd Quintile,East,Yes,0.05049,34,567,0.03245,0.06853
2021,2nd Quintile,East,No,0.94951,533,567,0.93147,0.96755
2021,3rd Quintile,West,Yes,0.02748,55,1549,0.01933,0.03562
2021,3rd Quintile,West,No,0.97252,1494,1549,0.96438,0.98067
2021,3rd Quintile,East,Yes,0.06015,37,475,0.03874,0.08155
2021,3rd Quintile,East,No,0.93985,438,475,0.91845,0.96126
2021,4th Quintile,West,Yes,0.03259,70,1688,0.02412,0.04107
2021,4th Quintile,West,No,0.96741,1618,1688,0.95893,0.97588
2021,4th Quintile,East,No,0.92349,369,369,0.89633,0.95065
2021,5th Quintile,West,Yes,0.02618,77,2288,0.01963,0.03272
2021,5th Quintile,West,No,0.97382,2211,2288,0.96728,0.98037
2021,5th Quintile,East,No,0.97477,406,406,0.95950,0.99004
