year,bula_h,quintil_oecd,plj0092,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2014,Hesse,3rd Quintile,No,1.0,34,2378,1.0,1.0
2014,Hesse,4th Quintile,No,1.0,45,2378,1.0,1.0
2014,Hesse,5th Quintile,No,1.0,65,2378,1.0,1.0
2014,"Rhineland-Palatinate, Saarland",1st Quintile,No,1.0,36,2378,1.0,1.0
2014,"Rhineland-Palatinate, Saarland",3rd Quintile,No,1.0,35,2378,1.0,1.0
2014,Baden-Wuerttemberg,1st Quintile,No,1.0,78,2378,1.0,1.0
2014,Baden-Wuerttemberg,2nd Quintile,No,1.0,75,2378,1.0,1.0
2014,Baden-Wuerttemberg,3rd Quintile,No,1.0,74,2378,1.0,1.0
2014,Baden-Wuerttemberg,4th Quintile,No,1.0,98,2378,1.0,1.0
2014,Baden-Wuerttemberg,5th Quintile,No,1.0,107,2378,1.0,1.0
2014,Bavaria,1st Quintile,No,1.0,110,2378,1.0,1.0
2014,Bavaria,2nd Quintile,No,1.0,91,2378,1.0,1.0
2014,Bavaria,3rd Quintile,No,1.0,104,2378,1.0,1.0
2014,Bavaria,4th Quintile,No,1.0,103,2378,1.0,1.0
2014,Bavaria,5th Quintile,No,1.0,136,2378,1.0,1.0
2014,Berlin,1st Quintile,No,1.0,47,2378,1.0,1.0
2014,Berlin,2nd Quintile,No,1.0,32,2378,1.0,1.0
2019,Lower Saxony,1st Quintile,No,1.0,51,2043,1.0,1.0
2019,Lower Saxony,2nd Quintile,No,1.0,54,2043,1.0,1.0
2019,Lower Saxony,3rd Quintile,No,1.0,36,2043,1.0,1.0
2019,Lower Saxony,4th Quintile,No,1.0,51,2043,1.0,1.0
2019,Lower Saxony,5th Quintile,No,1.0,39,2043,1.0,1.0
2019,North Rhine-Westphalia,1st Quintile,No,1.0,159,2043,1.0,1.0
2019,North Rhine-Westphalia,2nd Quintile,No,1.0,135,2043,1.0,1.0
2019,North Rhine-Westphalia,3rd Quintile,No,1.0,103,2043,1.0,1.0
2019,North Rhine-Westphalia,4th Quintile,No,1.0,110,2043,1.0,1.0
2019,North Rhine-Westphalia,5th Quintile,No,1.0,126,2043,1.0,1.0
2019,Hesse,1st Quintile,No,1.0,51,2043,1.0,1.0
2019,Hesse,2nd Quintile,No,1.0,33,2043,1.0,1.0
2019,Hesse,3rd Quintile,No,1.0,41,2043,1.0,1.0
2019,Hesse,4th Quintile,No,1.0,32,2043,1.0,1.0
2019,Hesse,5th Quintile,No,1.0,56,2043,1.0,1.0
2019,"Rhineland-Palatinate, Saarland",2nd Quintile,No,1.0,35,2043,1.0,1.0
2019,Baden-Wuerttemberg,1st Quintile,No,1.0,58,2043,1.0,1.0
2019,Baden-Wuerttemberg,2nd Quintile,No,1.0,64,2043,1.0,1.0
2019,Baden-Wuerttemberg,3rd Quintile,No,1.0,74,2043,1.0,1.0
2019,Baden-Wuerttemberg,4th Quintile,No,1.0,58,2043,1.0,1.0
2019,Baden-Wuerttemberg,5th Quintile,No,1.0,98,2043,1.0,1.0
2019,Bavaria,1st Quintile,No,1.0,66,2043,1.0,1.0
2019,Bavaria,2nd Quintile,No,1.0,71,2043,1.0,1.0
2019,Bavaria,3rd Quintile,No,1.0,93,2043,1.0,1.0
2019,Bavaria,4th Quintile,No,1.0,81,2043,1.0,1.0
2019,Bavaria,5th Quintile,No,1.0,121,2043,1.0,1.0
2019,Berlin,1st Quintile,No,1.0,44,2043,1.0,1.0
2019,Berlin,5th Quintile,No,1.0,39,2043,1.0,1.0
2019,Saxony,3rd Quintile,No,1.0,32,2043,1.0,1.0
2019,Saxony-Anhalt,1st Quintile,No,1.0,32,2043,1.0,1.0
